tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
Pro Tour Grand Finals Beijing 2004,2004-12-10,WANG Liqin,SAIVE Jean-Michel,4,2,"6,11,12,11,11,12|11,8,10,7,13,10",R16,GRAND_SLAM,MS,1716,Main Draw,WANG Liqin (CHN),SAIVE Jean-Michel (BEL)
Pro Tour Grand Finals Beijing 2004,2004-12-10,LAU Sui Fei,GANINA Svetlana,4,2,"8,11,11,11,9,17|11,8,8,7,11,15",R16,GRAND_SLAM,WS,1716,Main Draw,LAU Sui Fei (HKG),GANINA Svetlana (RUS)
Pro Tour Grand Finals Beijing 2004,2004-12-10,BOROS Tamara,LANG Kristin,4,0,"11,11,11,11|6,7,4,3",R16,GRAND_SLAM,WS,1716,Main Draw,BOROS Tamara (CRO),LANG Kristin (GER)
Pro Tour Grand Finals Beijing 2004,2004-12-10,NIU Jianfeng,TIE Yana,4,0,"11,11,12,11|9,6,10,6",R16,GRAND_SLAM,WS,1716,Main Draw,NIU Jianfeng (CHN),TIE Yana (HKG)
Pro Tour Grand Finals Beijing 2004,2004-12-10,WANG Nan,ZHANG Yining,4,1,"12,4,11,11,12|10,11,7,9,10",QF,GRAND_SLAM,WS,1716,Main Draw,WANG Nan (CHN),ZHANG Yining (CHN)
Pro Tour Grand Finals Beijing 2004,2004-12-10,GUO Yue,KIM Kyungah,4,1,"11,11,11,11,11|5,13,9,6,4",QF,GRAND_SLAM,WS,1716,Main Draw,GUO Yue (CHN),KIM Kyungah (KOR)
Pro Tour Grand Finals Beijing 2004,2004-12-10,LIU Jia,LAU Sui Fei,4,1,"11,5,11,11,11|7,11,3,3,9",QF,GRAND_SLAM,WS,1716,Main Draw,LIU Jia (AUT),LAU Sui Fei (HKG)
Pro Tour Grand Finals Beijing 2004,2004-12-10,NIU Jianfeng,BOROS Tamara,4,2,"9,11,11,8,11,11|11,7,3,11,4,4",QF,GRAND_SLAM,WS,1716,Main Draw,NIU Jianfeng (CHN),BOROS Tamara (CRO)
Pro Tour Grand Finals Beijing 2004,2004-12-10,GUO Yue,WANG Nan,4,1,"11,11,8,11,11|9,9,11,9,7",SF,GRAND_SLAM,WS,1716,Main Draw,GUO Yue (CHN),WANG Nan (CHN)
Pro Tour Grand Finals Beijing 2004,2004-12-10,NIU Jianfeng,LIU Jia,4,1,"11,11,7,11,11|8,9,11,5,5",SF,GRAND_SLAM,WS,1716,Main Draw,NIU Jianfeng (CHN),LIU Jia (AUT)
Pro Tour Grand Finals Beijing 2004,2004-12-10,GUO Yue,NIU Jianfeng,4,2,"11,12,11,12,14,11|8,10,3,14,16,8",F,GRAND_SLAM,WS,1716,Main Draw,GUO Yue (CHN),NIU Jianfeng (CHN)
Pro Tour Grand Finals Beijing 2004,2004-12-10,KONG Linghui/WANG Hao,JINDRAK Karl/SCHLAGER Werner,4,2,"6,11,11,11,10,11|11,7,9,7,12,4",QF,GRAND_SLAM,MD,1716,Main Draw,KONG Linghui (CHN) / WANG Hao (CHN),JINDRAK Karl (AUT) / SCHLAGER Werner (AUT)
Pro Tour Grand Finals Beijing 2004,2004-12-10,CHEN Qi/MA Lin,FRANZ Peter/LUNDQVIST Jens,4,1,"6,11,11,11,11|11,5,9,6,7",QF,GRAND_SLAM,MD,1716,Main Draw,CHEN Qi (CHN) / MA Lin (CHN),FRANZ Peter (GER) / LUNDQVIST Jens (SWE)
Pro Tour Grand Finals Beijing 2004,2004-12-10,CHEN Qi/MA Lin,MAZE Michael/TUGWELL Finn,4,3,"11,11,9,6,11,10,11|8,9,11,11,5,12,8",SF,GRAND_SLAM,MD,1716,Main Draw,CHEN Qi (CHN) / MA Lin (CHN),MAZE Michael (DEN) / TUGWELL Finn (DEN)
Pro Tour Grand Finals Beijing 2004,2004-12-10,CHEN Qi/MA Lin,KONG Linghui/WANG Hao,4,3,"7,11,10,11,11,10,11|11,8,12,7,4,12,9",F,GRAND_SLAM,MD,1716,Main Draw,CHEN Qi (CHN) / MA Lin (CHN),KONG Linghui (CHN) / WANG Hao (CHN)
Pro Tour Grand Finals Beijing 2004,2004-12-10,MAZE Michael/TUGWELL Finn,BOLL Timo/SUSS Christian,4,3,"11,8,18,11,7,12,11|13,11,16,3,11,10,5",QF,GRAND_SLAM,MD,1716,Main Draw,MAZE Michael (DEN) / TUGWELL Finn (DEN),BOLL Timo (GER) / SUSS Christian (GER)
Pro Tour Grand Finals Beijing 2004,2004-12-10,LI Ching/KO Lai Chak,CHEUNG Yuk/LEUNG Chu Yan,4,3,"9,11,11,7,11,7,11|11,4,7,11,7,11,6",QF,GRAND_SLAM,MD,1716,Main Draw,LI Ching (HKG) / KO Lai Chak (HKG),CHEUNG Yuk (HKG) / LEUNG Chu Yan (HKG)
Pro Tour Grand Finals Beijing 2004,2004-12-10,KONG Linghui/WANG Hao,LI Ching/KO Lai Chak,4,1,"11,11,9,11,11|3,3,11,6,8",SF,GRAND_SLAM,MD,1716,Main Draw,KONG Linghui (CHN) / WANG Hao (CHN),LI Ching (HKG) / KO Lai Chak (HKG)
Pro Tour Grand Finals Beijing 2004,2004-12-10,WANG Nan/ZHANG Yining,LIU Jia/HEINE Veronika,4,0,"11,11,11,11|5,4,5,6",QF,GRAND_SLAM,WD,1716,Main Draw,WANG Nan (CHN) / ZHANG Yining (CHN),LIU Jia (AUT) / HEINE Veronika (AUT)
Pro Tour Grand Finals Beijing 2004,2004-12-10,GUO Yue/NIU Jianfeng,KOSTROMINA Tatyana (1973)/PAVLOVICH Viktoria,4,1,"11,11,6,11,11|4,7,11,2,7",QF,GRAND_SLAM,WD,1716,Main Draw,GUO Yue (CHN) / NIU Jianfeng (CHN),KOSTROMINA Tatyana (1973) (BLR) / PAVLOVICH Viktoria (BLR)
Pro Tour Grand Finals Beijing 2004,2004-12-10,GUO Yue/NIU Jianfeng,TIE Yana/SONG Ah Sim,4,0,"11,11,11,11|8,9,6,6",SF,GRAND_SLAM,WD,1716,Main Draw,GUO Yue (CHN) / NIU Jianfeng (CHN),TIE Yana (HKG) / SONG Ah Sim (HKG)
Pro Tour Grand Finals Beijing 2004,2004-12-10,WANG Nan/ZHANG Yining,GUO Yue/NIU Jianfeng,4,1,"11,11,11,8,14|6,7,3,11,12",F,GRAND_SLAM,WD,1716,Main Draw,WANG Nan (CHN) / ZHANG Yining (CHN),GUO Yue (CHN) / NIU Jianfeng (CHN)
Pro Tour Grand Finals Beijing 2004,2004-12-10,LEE Eunsil/SUK Eunmi,ZHANG Rui/LAU Sui Fei,4,0,"11,11,11,11|8,5,9,4",QF,GRAND_SLAM,WD,1716,Main Draw,LEE Eunsil (KOR) / SUK Eunmi (KOR),ZHANG Rui (HKG) / LAU Sui Fei (HKG)
Pro Tour Grand Finals Beijing 2004,2004-12-10,WANG Nan/ZHANG Yining,LEE Eunsil/SUK Eunmi,4,2,"11,11,3,11,5,11|3,8,11,1,11,6",SF,GRAND_SLAM,WD,1716,Main Draw,WANG Nan (CHN) / ZHANG Yining (CHN),LEE Eunsil (KOR) / SUK Eunmi (KOR)
Pro Tour Grand Finals Beijing 2004,2004-12-10,TIE Yana/SONG Ah Sim,LU Yun-Feng/HUANG Yi-Hua,4,2,"11,15,11,13,8,11|7,13,5,15,11,6",QF,GRAND_SLAM,WD,1716,Main Draw,TIE Yana (HKG) / SONG Ah Sim (HKG),LU Yun-Feng (TPE) / HUANG Yi-Hua (TPE)
