tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
China Smash 2024 Presented by Zhonghui Life,2024-09-26,ZENG Beixun,MINO Alberto,3,2,"11,11,11,2,11|2,13,9,11,1",QR1,GRAND_SLAM,MS,2942,Qualification,ZENG Beixun (CHN),MINO Alberto (ECU),ZENG Beixun
China Smash 2024 Presented by Zhonghui Life,2024-09-26,STOYANOV Niagol,NUYTINCK Cedric,3,2,"14,10,11,11,13|16,12,7,9,11",QR1,GRAND_SLAM,MS,2942,Qualification,STOYANOV Niagol (ITA),NUYTINCK Cedric (BEL),STOYANOV Niagol
China Smash 2024 Presented by Zhonghui Life,2024-09-26,MONTEIRO Joao,DIXON Xavier,3,0,"11,11,11|4,7,8",QR1,GRAND_SLAM,MS,2942,Qualification,MONTEIRO Joao (POR),DIXON Xavier (AUS),MONTEIRO Joao
China Smash 2024 Presented by Zhonghui Life,2024-09-26,YANG Yiyun,SAWETTABUT Jinnipa,3,0,"11,11,11|8,3,6",QR1,GRAND_SLAM,WS,2942,Qualification,YANG Yiyun (CHN),SAWETTABUT Jinnipa (THA),YANG Yiyun
China Smash 2024 Presented by Zhonghui Life,2024-09-26,WINTER Sabine,HELMY Yousra,3,1,"6,11,11,11|11,8,8,5",QR1,GRAND_SLAM,WS,2942,Qualification,WINTER Sabine (GER),HELMY Yousra (EGY),WINTER Sabine
China Smash 2024 Presented by Zhonghui Life,2024-09-26,LI Yu-Jhun,WAN Yuan,3,2,"11,8,11,4,11|8,11,7,11,7",QR1,GRAND_SLAM,WS,2942,Qualification,LI Yu-Jhun (TPE),WAN Yuan (GER),LI Yu-Jhun
China Smash 2024 Presented by Zhonghui Life,2024-09-26,KOZUL Deni,IONESCU Eduard,3,2,"7,8,12,11,15|11,11,10,3,13",QR1,GRAND_SLAM,MS,2942,Qualification,KOZUL Deni (SLO),IONESCU Eduard (ROU),KOZUL Deni
China Smash 2024 Presented by Zhonghui Life,2024-09-26,SHAH Manush Utpalbhai,CHAN Baldwin,3,2,"4,11,11,3,11|11,5,4,11,8",QR1,GRAND_SLAM,MS,2942,Qualification,SHAH Manush Utpalbhai (IND),CHAN Baldwin (HKG),SHAH Manush Utpalbhai
China Smash 2024 Presented by Zhonghui Life,2024-09-26,OLAH Benedek,PANG Koen,3,1,"11,11,9,11|9,8,11,3",QR1,GRAND_SLAM,MS,2942,Qualification,OLAH Benedek (FIN),PANG Koen (SGP),OLAH Benedek
China Smash 2024 Presented by Zhonghui Life,2024-09-26,MUKHERJEE Ayhika,CODINA Ana,3,0,"11,11,11|3,9,3",QR1,GRAND_SLAM,WS,2942,Qualification,MUKHERJEE Ayhika (IND),CODINA Ana (ARG),MUKHERJEE Ayhika
China Smash 2024 Presented by Zhonghui Life,2024-09-26,MONFARDINI Gaia,MASSART Lilou,3,0,"11,11,11|5,5,6",QR1,GRAND_SLAM,WS,2942,Qualification,MONFARDINI Gaia (ITA),MASSART Lilou (BEL),MONFARDINI Gaia
China Smash 2024 Presented by Zhonghui Life,2024-09-26,GOMEZ Gustavo,KUBIK Maciej,3,2,"11,6,9,11,11|8,11,11,7,8",QR1,GRAND_SLAM,MS,2942,Qualification,GOMEZ Gustavo (CHI),KUBIK Maciej (POL),GOMEZ Gustavo
China Smash 2024 Presented by Zhonghui Life,2024-09-26,TODOROVIC Andrea,MORET Rachel,3,1,"12,11,7,11|10,9,11,7",QR1,GRAND_SLAM,WS,2942,Qualification,TODOROVIC Andrea (SRB),MORET Rachel (SUI),TODOROVIC Andrea
China Smash 2024 Presented by Zhonghui Life,2024-09-26,WANG Yang,LORENZO Santiago,3,0,"11,11,11|6,7,2",QR1,GRAND_SLAM,MS,2942,Qualification,WANG Yang (SVK),LORENZO Santiago (ARG),WANG Yang
China Smash 2024 Presented by Zhonghui Life,2024-09-27,FILUS Ruwen,GACINA Andrej,3,2,"12,8,5,14,11|10,11,11,12,6",QR2,GRAND_SLAM,MS,2942,Qualification,FILUS Ruwen (GER),GACINA Andrej (CRO),FILUS Ruwen
China Smash 2024 Presented by Zhonghui Life,2024-09-27,DIACONU Adina,BALAZOVA Barbora,3,0,"12,11,11|10,6,5",QR2,GRAND_SLAM,WS,2942,Qualification,DIACONU Adina (ROU),BALAZOVA Barbora (SVK),DIACONU Adina
China Smash 2024 Presented by Zhonghui Life,2024-09-27,LIAO Cheng-Ting,LAM Siu Hang,3,2,"6,7,11,12,15|11,11,2,10,13",QR2,GRAND_SLAM,MS,2942,Qualification,LIAO Cheng-Ting (TPE),LAM Siu Hang (HKG),LIAO Cheng-Ting
China Smash 2024 Presented by Zhonghui Life,2024-09-27,FAN Siqi,MUKHERJEE Sutirtha,3,0,"11,11,11|5,6,6",QR2,GRAND_SLAM,WS,2942,Qualification,FAN Siqi (CHN),MUKHERJEE Sutirtha (IND),FAN Siqi
China Smash 2024 Presented by Zhonghui Life,2024-09-27,QUEK Izaac,ROLLAND Jules,3,0,"11,11,11|8,8,5",QR2,GRAND_SLAM,MS,2942,Qualification,QUEK Izaac (SGP),ROLLAND Jules (FRA),QUEK Izaac
China Smash 2024 Presented by Zhonghui Life,2024-09-27,WANG Yang,JHA Kanak,3,1,"9,11,11,11|11,8,8,6",QR2,GRAND_SLAM,MS,2942,Qualification,WANG Yang (SVK),JHA Kanak (USA),WANG Yang
China Smash 2024 Presented by Zhonghui Life,2024-09-27,CHEN Yi,SURJAN Sabina,3,0,"11,11,11|8,5,8",QR2,GRAND_SLAM,WS,2942,Qualification,CHEN Yi (CHN),SURJAN Sabina (SRB),CHEN Yi
China Smash 2024 Presented by Zhonghui Life,2024-09-27,WINTER Sabine,WIELGOS Zuzanna,3,0,"12,11,11|10,9,8",QR2,GRAND_SLAM,WS,2942,Qualification,WINTER Sabine (GER),WIELGOS Zuzanna (POL),WINTER Sabine
China Smash 2024 Presented by Zhonghui Life,2024-09-27,XUE Fei,SHAH Manush Utpalbhai,3,2,"9,12,11,11,11|11,14,5,7,8",QR2,GRAND_SLAM,MS,2942,Qualification,XUE Fei (CHN),SHAH Manush Utpalbhai (IND),XUE Fei
China Smash 2024 Presented by Zhonghui Life,2024-09-27,MATELOVA Hana,ALTINKAYA Sibel,3,0,"11,11,11|7,2,6",QR2,GRAND_SLAM,WS,2942,Qualification,MATELOVA Hana (CZE),ALTINKAYA Sibel (TUR),MATELOVA Hana
China Smash 2024 Presented by Zhonghui Life,2024-09-27,WEN Ruibo,PORET Thibault,3,0,"11,11,11|8,2,7",QR2,GRAND_SLAM,MS,2942,Qualification,WEN Ruibo (CHN),PORET Thibault (FRA),WEN Ruibo
China Smash 2024 Presented by Zhonghui Life,2024-09-27,HABESOHN Daniel,ZELJKO Filip,3,1,"3,11,11,11|11,9,8,8",QR2,GRAND_SLAM,MS,2942,Qualification,HABESOHN Daniel (AUT),ZELJKO Filip (CRO),HABESOHN Daniel
China Smash 2024 Presented by Zhonghui Life,2024-09-27,LI Yu-Jhun,TODOROVIC Andrea,3,0,"11,11,11|6,6,4",QR2,GRAND_SLAM,WS,2942,Qualification,LI Yu-Jhun (TPE),TODOROVIC Andrea (SRB),LI Yu-Jhun
China Smash 2024 Presented by Zhonghui Life,2024-09-27,WANG Xiaotong,LIU Hsing-Yin,3,0,"11,11,11|4,7,8",QR2,GRAND_SLAM,WS,2942,Qualification,WANG Xiaotong (CHN),LIU Hsing-Yin (TPE),WANG Xiaotong
China Smash 2024 Presented by Zhonghui Life,2024-09-27,CHEN Yuanyu,LEVENKO Andreas,3,0,"11,13,11|9,11,9",QR2,GRAND_SLAM,MS,2942,Qualification,CHEN Yuanyu (CHN),LEVENKO Andreas (AUT),CHEN Yuanyu
China Smash 2024 Presented by Zhonghui Life,2024-09-27,MALOBABIC Ivana,MUKHERJEE Ayhika,3,2,"11,6,6,13,11|6,11,11,11,8",QR2,GRAND_SLAM,WS,2942,Qualification,MALOBABIC Ivana (CRO),MUKHERJEE Ayhika (IND),MALOBABIC Ivana
China Smash 2024 Presented by Zhonghui Life,2024-09-27,OLAH Benedek,KARLSSON Kristian,3,1,"6,11,11,12|11,8,3,10",QR2,GRAND_SLAM,MS,2942,Qualification,OLAH Benedek (FIN),KARLSSON Kristian (SWE),OLAH Benedek
China Smash 2024 Presented by Zhonghui Life,2024-09-27,MONFARDINI Gaia,LUTZ Camille,3,2,"11,4,11,8,11|7,11,7,11,9",QR2,GRAND_SLAM,WS,2942,Qualification,MONFARDINI Gaia (ITA),LUTZ Camille (FRA),MONFARDINI Gaia
China Smash 2024 Presented by Zhonghui Life,2024-09-27,LIU Weishan,YANG Yiyun,3,0,"11,11,11|7,9,6",QR2,GRAND_SLAM,WS,2942,Qualification,LIU Weishan (CHN),YANG Yiyun (CHN),LIU Weishan
China Smash 2024 Presented by Zhonghui Life,2024-09-27,KOZUL Deni,GOMEZ Gustavo,3,0,"12,11,11|10,5,8",QR2,GRAND_SLAM,MS,2942,Qualification,KOZUL Deni (SLO),GOMEZ Gustavo (CHI),KOZUL Deni
China Smash 2024 Presented by Zhonghui Life,2024-09-27,PARK Gahyeon,SINGEORZAN Ioana,3,1,"5,11,11,11|11,7,6,8",QR1,GRAND_SLAM,WS,2942,Qualification,PARK Gahyeon (KOR),SINGEORZAN Ioana (ROU),PARK Gahyeon
China Smash 2024 Presented by Zhonghui Life,2024-09-27,HUANG Yan-Cheng,AFANADOR Brian,3,1,"7,11,11,11|11,4,8,2",QR1,GRAND_SLAM,MS,2942,Qualification,HUANG Yan-Cheng (TPE),AFANADOR Brian (PUR),HUANG Yan-Cheng
China Smash 2024 Presented by Zhonghui Life,2024-09-27,WEGRZYN Katarzyna,CHITALE Diya Parag,3,2,"7,11,3,11,11|11,7,11,7,9",QR1,GRAND_SLAM,WS,2942,Qualification,WEGRZYN Katarzyna (POL),CHITALE Diya Parag (IND),WEGRZYN Katarzyna
China Smash 2024 Presented by Zhonghui Life,2024-09-27,ZHOU Kai,JOUTI Eric,3,0,"11,11,11|3,2,0",QR1,GRAND_SLAM,MS,2942,Qualification,ZHOU Kai (CHN),JOUTI Eric (BRA),ZHOU Kai
China Smash 2024 Presented by Zhonghui Life,2024-09-27,BARDET Lilian,ABDEL-AZIZ Youssef,3,0,"11,11,12|5,6,10",QR1,GRAND_SLAM,MS,2942,Qualification,BARDET Lilian (FRA),ABDEL-AZIZ Youssef (EGY),BARDET Lilian
China Smash 2024 Presented by Zhonghui Life,2024-09-27,BERGAND Filippa,HURSEY Anna,3,0,"11,11,14|7,8,12",QR1,GRAND_SLAM,WS,2942,Qualification,BERGAND Filippa (SWE),HURSEY Anna (WAL),BERGAND Filippa
China Smash 2024 Presented by Zhonghui Life,2024-09-27,CHANG Yu-An,ALLEGRO Martin,3,0,"11,11,11|6,4,8",QR1,GRAND_SLAM,MS,2942,Qualification,CHANG Yu-An (TPE),ALLEGRO Martin (BEL),CHANG Yu-An
China Smash 2024 Presented by Zhonghui Life,2024-09-27,BALAZOVA Barbora,BURGOS Brianna,3,1,"11,11,5,11|4,2,11,6",QR1,GRAND_SLAM,WS,2942,Qualification,BALAZOVA Barbora (SVK),BURGOS Brianna (PUR),BALAZOVA Barbora
China Smash 2024 Presented by Zhonghui Life,2024-09-27,AGUIRRE Marcelo,MUTTI Matteo,3,2,"11,9,12,10,11|9,11,10,12,5",QR1,GRAND_SLAM,MS,2942,Qualification,AGUIRRE Marcelo (PAR),MUTTI Matteo (ITA),AGUIRRE Marcelo
China Smash 2024 Presented by Zhonghui Life,2024-09-27,ZARIF Audrey,GHORPADE Yashaswini,3,2,"11,11,12,11,11|6,9,14,13,7",QR1,GRAND_SLAM,WS,2942,Qualification,ZARIF Audrey (FRA),GHORPADE Yashaswini (IND),ZARIF Audrey
China Smash 2024 Presented by Zhonghui Life,2024-09-27,REDZIMSKI Milosz,GONZALEZ Daniel,3,2,"7,11,6,12,11|11,7,11,10,2",QR1,GRAND_SLAM,MS,2942,Qualification,REDZIMSKI Milosz (POL),GONZALEZ Daniel (PUR),REDZIMSKI Milosz
China Smash 2024 Presented by Zhonghui Life,2024-09-27,SURJAN Sabina,DE NUTTE Sarah,3,1,"8,11,11,11|11,5,6,8",QR1,GRAND_SLAM,WS,2942,Qualification,SURJAN Sabina (SRB),DE NUTTE Sarah (LUX),SURJAN Sabina
China Smash 2024 Presented by Zhonghui Life,2024-09-27,JHA Kanak,JANCARIK Lubomir,3,0,"11,11,11|9,9,5",QR1,GRAND_SLAM,MS,2942,Qualification,JHA Kanak (USA),JANCARIK Lubomir (CZE),JHA Kanak
