tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
World Team Table Tennis Championships Tokyo 2014,2014-04-28,BJARNADOTTIR Kolfinna,RADITLOKO Oabona,3,1,"9,11,11,11|11,7,4,6",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,BJARNADOTTIR Kolfinna (ISL),RADITLOKO Oabona (BOT),BJARNADOTTIR Kolfinna
World Team Table Tennis Championships Tokyo 2014,2014-04-28,BOFFA Chiara,GRANADOS Nicole,3,0,"11,11,11|6,5,8",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,GRANADOS Nicole (CRC),BOFFA Chiara (SMR),BOFFA Chiara
World Team Table Tennis Championships Tokyo 2014,2014-04-28,MOHAMED Mueena,AKTER Rahima,3,0,"11,11,11|7,9,3",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,MOHAMED Mueena (MDV),AKTER Rahima (BAN),MOHAMED Mueena
World Team Table Tennis Championships Tokyo 2014,2014-04-28,NISA Aishath,ZOHORA Fatema,3,0,"11,11,11|9,8,9",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,NISA Aishath (MDV),ZOHORA Fatema (BAN),NISA Aishath
World Team Table Tennis Championships Tokyo 2014,2014-04-28,AKTER Rahima,SHAREEF Aminath,3,0,"11,11,11|5,3,9",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,SHAREEF Aminath (MDV),AKTER Rahima (BAN),AKTER Rahima
World Team Table Tennis Championships Tokyo 2014,2014-04-28,MOHAMED Mueena,MINARA Sarmin,3,1,"11,11,9,11|6,5,11,8",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,MOHAMED Mueena (MDV),MINARA Sarmin (BAN),MOHAMED Mueena
World Team Table Tennis Championships Tokyo 2014,2014-04-28,HARVEY Krystle,MORGAN Dawn,3,0,"14,11,11|12,9,5",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,MORGAN Dawn (GGY),HARVEY Krystle (BAR),HARVEY Krystle
World Team Table Tennis Championships Tokyo 2014,2014-04-28,REID Angela,PRIEST Elizabeth,3,0,"11,11,11|9,5,4",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,PRIEST Elizabeth (GGY),REID Angela (BAR),REID Angela
World Team Table Tennis Championships Tokyo 2014,2014-04-28,HARVEY Krystle,LE TISSIER Chloe,3,0,"13,11,11|11,5,6",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,LE TISSIER Chloe (GGY),HARVEY Krystle (BAR),HARVEY Krystle
World Team Table Tennis Championships Tokyo 2014,2014-04-28,MORGAN Dawn,FELIX Sherrice,3,1,"9,11,11,11|11,4,4,5",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,MORGAN Dawn (GGY),FELIX Sherrice (BAR),MORGAN Dawn
World Team Table Tennis Championships Tokyo 2014,2014-04-28,FOSTER Yvonne,RATSIMBAZAFY Tiana,3,2,"11,11,1,10,11|7,7,11,12,8",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,FOSTER Yvonne (JAM),RATSIMBAZAFY Tiana (MAD),FOSTER Yvonne
World Team Table Tennis Championships Tokyo 2014,2014-04-28,CARNEY Kaydian,RASAMIMALALA Lantosoa Joelle,3,0,"11,11,11|8,8,9",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,CARNEY Kaydian (JAM),RASAMIMALALA Lantosoa Joelle (MAD),CARNEY Kaydian
World Team Table Tennis Championships Tokyo 2014,2014-04-28,CLARE Shenique,RATSIMBAZAFY Tiana,3,0,"13,13,13|11,11,11",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,CLARE Shenique (JAM),RATSIMBAZAFY Tiana (MAD),CLARE Shenique
World Team Table Tennis Championships Tokyo 2014,2014-04-28,RAJAONAH Rondro,FOSTER Yvonne,3,0,"13,11,12|11,5,10",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,FOSTER Yvonne (JAM),RAJAONAH Rondro (MAD),RAJAONAH Rondro
World Team Table Tennis Championships Tokyo 2014,2014-04-28,PRIEST Elizabeth,RADITLOKO Oabona,3,1,"5,15,12,11|11,13,10,6",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,RADITLOKO Oabona (BOT),PRIEST Elizabeth (GGY),PRIEST Elizabeth
World Team Table Tennis Championships Tokyo 2014,2014-04-28,MORGAN Dawn,BUTALE Boitshwarelo,3,0,"11,11,11|3,1,3",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,BUTALE Boitshwarelo (BOT),MORGAN Dawn (GGY),MORGAN Dawn
World Team Table Tennis Championships Tokyo 2014,2014-04-28,LE TISSIER Chloe,REBATENNE Tshepiso,3,0,"11,11,11|3,6,1",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,REBATENNE Tshepiso (BOT),LE TISSIER Chloe (GGY),LE TISSIER Chloe
World Team Table Tennis Championships Tokyo 2014,2014-04-28,RATSIMBAZAFY Tiana,BJARNADOTTIR Kolfinna,3,0,"12,11,11|10,6,3",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,RATSIMBAZAFY Tiana (MAD),BJARNADOTTIR Kolfinna (ISL),RATSIMBAZAFY Tiana
World Team Table Tennis Championships Tokyo 2014,2014-04-28,RAJAONAH Rondro,TOMASDOTTIR Sigrun Ebba,3,2,"11,6,11,8,11|4,11,9,11,7",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,RAJAONAH Rondro (MAD),TOMASDOTTIR Sigrun Ebba (ISL),RAJAONAH Rondro
World Team Table Tennis Championships Tokyo 2014,2014-04-28,BJARNADOTTIR Kolfinna,RASAMIMALALA Lantosoa Joelle,3,2,"11,11,9,8,11|6,8,11,11,8",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,RASAMIMALALA Lantosoa Joelle (MAD),BJARNADOTTIR Kolfinna (ISL),BJARNADOTTIR Kolfinna
World Team Table Tennis Championships Tokyo 2014,2014-04-28,RATSIMBAZAFY Tiana,LARUSDOTTIR Aldis Run,3,0,"11,11,14|8,2,12",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,RATSIMBAZAFY Tiana (MAD),LARUSDOTTIR Aldis Run (ISL),RATSIMBAZAFY Tiana
World Team Table Tennis Championships Tokyo 2014,2014-04-28,KASSAM Raghad,KILINDO Christy,3,2,"11,7,9,11,11|9,11,11,6,9",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,KILINDO Christy (SEY),KASSAM Raghad (SYR),KASSAM Raghad
World Team Table Tennis Championships Tokyo 2014,2014-04-28,BENSTRONG Anniesa,EBRAHEM Worod,3,1,"4,11,11,11|11,6,5,4",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,BENSTRONG Anniesa (SEY),EBRAHEM Worod (SYR),BENSTRONG Anniesa
World Team Table Tennis Championships Tokyo 2014,2014-04-28,ASAAD Zena,SINON Laura,3,1,"4,11,11,11|11,8,9,1",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,SINON Laura (SEY),ASAAD Zena (SYR),ASAAD Zena
World Team Table Tennis Championships Tokyo 2014,2014-04-28,EBRAHEM Worod,KILINDO Christy,3,0,"11,11,11|8,9,8",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,KILINDO Christy (SEY),EBRAHEM Worod (SYR),EBRAHEM Worod
World Team Table Tennis Championships Tokyo 2014,2014-04-28,BENSTRONG Anniesa,KASSAM Raghad,3,1,"7,11,11,11|11,7,7,9",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,BENSTRONG Anniesa (SEY),KASSAM Raghad (SYR),BENSTRONG Anniesa
World Team Table Tennis Championships Tokyo 2014,2014-04-28,BALLYYEVA Enejan,SHRESTHA Nabita,3,0,"11,11,12|5,6,10",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,SHRESTHA Nabita (NEP),BALLYYEVA Enejan (TKM),BALLYYEVA Enejan
World Team Table Tennis Championships Tokyo 2014,2014-04-28,MAMEDOVA Nasiba,PRAJAPATI Rita,3,1,"12,6,11,11|10,11,8,9",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,PRAJAPATI Rita (NEP),MAMEDOVA Nasiba (TKM),MAMEDOVA Nasiba
World Team Table Tennis Championships Tokyo 2014,2014-04-28,BALLYYEVA Enejan,MAHARJAN Elina,3,2,"11,8,11,10,11|6,11,6,12,5",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,MAHARJAN Elina (NEP),BALLYYEVA Enejan (TKM),BALLYYEVA Enejan
World Team Table Tennis Championships Tokyo 2014,2014-04-28,SHRESTHA Nabita,MEHTIYEVA Mahriban,3,0,"11,11,11|6,8,5",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,SHRESTHA Nabita (NEP),MEHTIYEVA Mahriban (TKM),SHRESTHA Nabita
World Team Table Tennis Championships Tokyo 2014,2014-04-28,SY Jamaica Dianne,MANICHANH Dalavone,3,1,"12,11,11,11|14,6,2,8",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,SY Jamaica Dianne (PHI),MANICHANH Dalavone (LAO),SY Jamaica Dianne
World Team Table Tennis Championships Tokyo 2014,2014-04-28,BALATBAT Sendrina,DOUANGPANYA Seangdavieng,3,2,"11,11,5,11,11|13,5,11,8,8",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,BALATBAT Sendrina (PHI),DOUANGPANYA Seangdavieng (LAO),BALATBAT Sendrina
World Team Table Tennis Championships Tokyo 2014,2014-04-28,LARIBA Ian,SOUTHAMMAVONG Thiphakone,3,1,"11,9,11,11|5,11,2,5",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,LARIBA Ian (PHI),SOUTHAMMAVONG Thiphakone (LAO),LARIBA Ian
World Team Table Tennis Championships Tokyo 2014,2014-04-28,SY Jamaica Dianne,JANKOVIC Sonja,3,2,"5,11,9,11,11|11,5,11,9,5",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,JANKOVIC Sonja (MNE),SY Jamaica Dianne (PHI),SY Jamaica Dianne
World Team Table Tennis Championships Tokyo 2014,2014-04-28,LARIBA Ian,ROGIC Suncica,3,0,"11,11,11|8,6,5",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,ROGIC Suncica (MNE),LARIBA Ian (PHI),LARIBA Ian
World Team Table Tennis Championships Tokyo 2014,2014-04-28,BALATBAT Sendrina,MILACIC Neda,3,2,"11,11,6,8,16|8,7,11,11,14",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,MILACIC Neda (MNE),BALATBAT Sendrina (PHI),BALATBAT Sendrina
World Team Table Tennis Championships Tokyo 2014,2014-04-28,SOUTHAMMAVONG Thiphakone,KASHIF Rahila,3,0,"11,11,11|8,8,9",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,KASHIF Rahila (PAK),SOUTHAMMAVONG Thiphakone (LAO),SOUTHAMMAVONG Thiphakone
World Team Table Tennis Championships Tokyo 2014,2014-04-28,DOUANGPANYA Seangdavieng,BILAL Shabnam,3,1,"11,5,11,11|7,11,5,8",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,BILAL Shabnam (PAK),DOUANGPANYA Seangdavieng (LAO),DOUANGPANYA Seangdavieng
World Team Table Tennis Championships Tokyo 2014,2014-04-28,ANSARI Aisha,MANICHANH Dalavone,3,0,"11,12,11|3,10,6",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,ANSARI Aisha (PAK),MANICHANH Dalavone (LAO),ANSARI Aisha
World Team Table Tennis Championships Tokyo 2014,2014-04-28,DOUANGPANYA Seangdavieng,KASHIF Rahila,3,1,"11,8,11,11|7,11,8,7",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,KASHIF Rahila (PAK),DOUANGPANYA Seangdavieng (LAO),DOUANGPANYA Seangdavieng
World Team Table Tennis Championships Tokyo 2014,2014-04-28,BILAL Shabnam,SOUTHAMMAVONG Thiphakone,3,0,"11,11,11|7,7,6",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,BILAL Shabnam (PAK),SOUTHAMMAVONG Thiphakone (LAO),BILAL Shabnam
World Team Table Tennis Championships Tokyo 2014,2014-04-28,ROGIC Suncica,NIELSEN Henrietta,3,1,"4,11,13,11|11,4,11,6",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,ROGIC Suncica (MNE),NIELSEN Henrietta (FRO),ROGIC Suncica
World Team Table Tennis Championships Tokyo 2014,2014-04-28,JANKOVIC Sonja,JENSEN Durita,3,0,"11,11,11|9,1,3",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,JANKOVIC Sonja (MNE),JENSEN Durita (FRO),JANKOVIC Sonja
World Team Table Tennis Championships Tokyo 2014,2014-04-28,NIELSEN Henrietta,MILACIC Neda,3,2,"7,11,5,11,11|11,7,11,8,4",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,MILACIC Neda (MNE),NIELSEN Henrietta (FRO),NIELSEN Henrietta
World Team Table Tennis Championships Tokyo 2014,2014-04-28,ROGIC Suncica,MIKKJALSDOTTIR Anna,3,0,"11,11,11|6,7,4",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,ROGIC Suncica (MNE),MIKKJALSDOTTIR Anna (FRO),ROGIC Suncica
World Team Table Tennis Championships Tokyo 2014,2014-04-28,SY Jamaica Dianne,SASMAN Jade,3,1,"11,11,11,11|3,13,7,4",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,SY Jamaica Dianne (PHI),SASMAN Jade (RSA),SY Jamaica Dianne
World Team Table Tennis Championships Tokyo 2014,2014-04-28,BALATBAT Sendrina,MADLALA Khanyisile,3,0,"11,11,11|8,4,7",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,BALATBAT Sendrina (PHI),MADLALA Khanyisile (RSA),BALATBAT Sendrina
World Team Table Tennis Championships Tokyo 2014,2014-04-28,LARIBA Ian,LINGEVELDT Caitlin,3,0,"11,11,11|3,6,5",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,LARIBA Ian (PHI),LINGEVELDT Caitlin (RSA),LARIBA Ian
World Team Table Tennis Championships Tokyo 2014,2014-04-28,BILAL Shabnam,ALYASSI Kaltham,3,2,"13,11,8,11,11|11,5,11,13,3",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,BILAL Shabnam (PAK),ALYASSI Kaltham (BRN),BILAL Shabnam
World Team Table Tennis Championships Tokyo 2014,2014-04-28,ANSARI Aisha,ALHAIKI Fatema,3,0,"11,11,11|9,5,4",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,ANSARI Aisha (PAK),ALHAIKI Fatema (BRN),ANSARI Aisha
World Team Table Tennis Championships Tokyo 2014,2014-04-28,KASHIF Rahila,ALYASSI Kaltham,3,0,"11,11,11|9,6,5",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,KASHIF Rahila (PAK),ALYASSI Kaltham (BRN),KASHIF Rahila
World Team Table Tennis Championships Tokyo 2014,2014-04-28,ALQASIMI Maryam,BILAL Shabnam,3,2,"12,8,11,9,11|10,11,4,11,6",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,BILAL Shabnam (PAK),ALQASIMI Maryam (BRN),ALQASIMI Maryam
World Team Table Tennis Championships Tokyo 2014,2014-04-28,MANICHANH Dalavone,AL ABRI Noora,3,1,"11,11,12,11|9,5,14,5",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,AL ABRI Noora (QAT),MANICHANH Dalavone (LAO),MANICHANH Dalavone
World Team Table Tennis Championships Tokyo 2014,2014-04-28,DOUANGPANYA Seangdavieng,FARAMARZI Maha,3,0,"11,11,11|4,4,5",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,FARAMARZI Maha (QAT),DOUANGPANYA Seangdavieng (LAO),DOUANGPANYA Seangdavieng
World Team Table Tennis Championships Tokyo 2014,2014-04-28,SOUTHAMMAVONG Thiphakone,MOHAMED Aia,3,2,"11,4,11,15,12|5,11,7,17,10",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,MOHAMED Aia (QAT),SOUTHAMMAVONG Thiphakone (LAO),SOUTHAMMAVONG Thiphakone
World Team Table Tennis Championships Tokyo 2014,2014-04-28,NIELSEN Henrietta,EBRAHEM Worod,3,0,"11,11,11|9,5,8",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,EBRAHEM Worod (SYR),NIELSEN Henrietta (FRO),NIELSEN Henrietta
World Team Table Tennis Championships Tokyo 2014,2014-04-28,JENSEN Durita,ASAAD Zena,3,2,"11,9,7,11,12|8,11,11,3,10",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,ASAAD Zena (SYR),JENSEN Durita (FRO),JENSEN Durita
World Team Table Tennis Championships Tokyo 2014,2014-04-28,NIELSEN Henrietta,KASSAM Raghad,3,0,"11,11,11|9,7,6",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,KASSAM Raghad (SYR),NIELSEN Henrietta (FRO),NIELSEN Henrietta
World Team Table Tennis Championships Tokyo 2014,2014-04-28,EBRAHEM Worod,MIKKJALSDOTTIR Anna,3,2,"11,11,8,7,11|8,6,11,11,9",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,EBRAHEM Worod (SYR),MIKKJALSDOTTIR Anna (FRO),EBRAHEM Worod
World Team Table Tennis Championships Tokyo 2014,2014-04-28,MADLALA Khanyisile,BENSTRONG Anniesa,3,0,"11,11,11|8,9,9",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,BENSTRONG Anniesa (SEY),MADLALA Khanyisile (RSA),MADLALA Khanyisile
World Team Table Tennis Championships Tokyo 2014,2014-04-28,LINGEVELDT Caitlin,SINON Laura,3,0,"11,11,11|3,6,4",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,SINON Laura (SEY),LINGEVELDT Caitlin (RSA),LINGEVELDT Caitlin
World Team Table Tennis Championships Tokyo 2014,2014-04-28,MADLALA Khanyisile,KILINDO Christy,3,0,"11,11,11|7,3,6",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,KILINDO Christy (SEY),MADLALA Khanyisile (RSA),MADLALA Khanyisile
World Team Table Tennis Championships Tokyo 2014,2014-04-28,BENSTRONG Anniesa,SASMAN Jade,3,0,"11,11,11|5,9,9",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,BENSTRONG Anniesa (SEY),SASMAN Jade (RSA),BENSTRONG Anniesa
World Team Table Tennis Championships Tokyo 2014,2014-04-28,ALHAIKI Fatema,PRAJAPATI Rita,3,1,"1,11,11,11|11,5,6,9",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,PRAJAPATI Rita (NEP),ALHAIKI Fatema (BRN),ALHAIKI Fatema
World Team Table Tennis Championships Tokyo 2014,2014-04-28,ALYASSI Kaltham,MAHARJAN Elina,3,1,"11,8,11,11|6,11,8,9",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,MAHARJAN Elina (NEP),ALYASSI Kaltham (BRN),ALYASSI Kaltham
World Team Table Tennis Championships Tokyo 2014,2014-04-28,ALQASIMI Maryam,SHRESTHA Nabita,3,2,"9,11,8,11,14|11,6,11,8,12",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,SHRESTHA Nabita (NEP),ALQASIMI Maryam (BRN),ALQASIMI Maryam
World Team Table Tennis Championships Tokyo 2014,2014-04-28,MOHAMED Aia,BALLYYEVA Enejan,3,0,"11,11,11|6,4,9",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,BALLYYEVA Enejan (TKM),MOHAMED Aia (QAT),MOHAMED Aia
World Team Table Tennis Championships Tokyo 2014,2014-04-28,MEHTIYEVA Mahriban,FARAMARZI Maha,3,1,"5,11,11,12|11,7,7,10",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,MEHTIYEVA Mahriban (TKM),FARAMARZI Maha (QAT),MEHTIYEVA Mahriban
World Team Table Tennis Championships Tokyo 2014,2014-04-28,AL ABRI Noora,MAMEDOVA Nasiba,3,2,"13,9,6,13,11|11,11,11,11,9",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,MAMEDOVA Nasiba (TKM),AL ABRI Noora (QAT),AL ABRI Noora
World Team Table Tennis Championships Tokyo 2014,2014-04-28,BALLYYEVA Enejan,FARAMARZI Maha,3,0,"11,11,11|6,9,3",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,BALLYYEVA Enejan (TKM),FARAMARZI Maha (QAT),BALLYYEVA Enejan
World Team Table Tennis Championships Tokyo 2014,2014-04-28,MOHAMED Aia,MEHTIYEVA Mahriban,3,2,"11,5,11,11,12|6,11,13,7,10",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,MEHTIYEVA Mahriban (TKM),MOHAMED Aia (QAT),MOHAMED Aia
World Team Table Tennis Championships Tokyo 2014,2014-04-28,HALITI Ilirjana,SEIDALIEVA Burulai,3,0,"11,11,12|4,5,10",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,HALITI Ilirjana (KOS),SEIDALIEVA Burulai (KGZ),HALITI Ilirjana
World Team Table Tennis Championships Tokyo 2014,2014-04-28,MALOKU Vlona,MODUBASHOVA Elina,3,0,"11,11,11|2,8,4",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,MALOKU Vlona (KOS),MODUBASHOVA Elina (KGZ),MALOKU Vlona
World Team Table Tennis Championships Tokyo 2014,2014-04-28,JANJEVA Amare,MASHANLOEVA Kamila,3,0,"11,11,11|2,4,7",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,JANJEVA Amare (KOS),MASHANLOEVA Kamila (KGZ),JANJEVA Amare
World Team Table Tennis Championships Tokyo 2014,2014-04-28,IMANOVA Maryam,GAUTHIER Cathy,3,0,"11,11,11|8,5,8",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,GAUTHIER Cathy (NCL),IMANOVA Maryam (AZE),IMANOVA Maryam
World Team Table Tennis Championships Tokyo 2014,2014-04-28,BOUTEILLE Ornella,MAMMADOVA Dinara,3,2,"5,11,11,5,11|11,7,7,11,4",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,BOUTEILLE Ornella (NCL),MAMMADOVA Dinara (AZE),BOUTEILLE Ornella
World Team Table Tennis Championships Tokyo 2014,2014-04-28,IMANOVA Maryam,LAI VAN Lea,3,1,"11,8,11,11|3,11,2,4",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,LAI VAN Lea (NCL),IMANOVA Maryam (AZE),IMANOVA Maryam
World Team Table Tennis Championships Tokyo 2014,2014-04-28,GULIYEVA Rufat,GAUTHIER Cathy,3,1,"9,11,11,15|11,6,4,13",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,GAUTHIER Cathy (NCL),GULIYEVA Rufat (AZE),GULIYEVA Rufat
World Team Table Tennis Championships Tokyo 2014,2014-04-28,CHEONG Cheng I,WANG De Ying,3,0,"11,11,11|6,9,8",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,CHEONG Cheng I (MAC),WANG De Ying (ESA),CHEONG Cheng I
World Team Table Tennis Championships Tokyo 2014,2014-04-28,U Sio Mei,PEREZ Karla,3,1,"11,12,11,12|8,10,13,10",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,U Sio Mei (MAC),PEREZ Karla (ESA),U Sio Mei
World Team Table Tennis Championships Tokyo 2014,2014-04-28,WANG De Ying,MA Chao In,3,2,"8,11,7,11,11|11,9,11,6,7",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,MA Chao In (MAC),WANG De Ying (ESA),WANG De Ying
World Team Table Tennis Championships Tokyo 2014,2014-04-28,CHEONG Cheng I,ARIAS Emme,3,0,"11,12,11|8,10,5",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,CHEONG Cheng I (MAC),ARIAS Emme (ESA),CHEONG Cheng I
