tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
11th African Games Brazzaville 2015,2015-09-10,INGIL Miguel,ALASSANI Soudes,4,0,"12,11,11,11|10,1,7,7",R128,OTHER,MS,250,Main Draw,ALASSANI Soudes (TOG),INGIL Miguel (MRI),INGIL Miguel
11th African Games Brazzaville 2015,2015-09-10,ARNACHELLUM Allan,LARIFI Hisham,4,1,"11,11,6,15,11|5,6,11,13,7",R128,OTHER,MS,250,Main Draw,LARIFI Hisham (LBA),ARNACHELLUM Allan (MRI),ARNACHELLUM Allan
11th African Games Brazzaville 2015,2015-09-10,ANDRE Elizandro,ZOMBO Junior,4,0,"11,11,11,11|3,4,1,6",R128,OTHER,MS,250,Main Draw,ANDRE Elizandro (ANG),ZOMBO Junior (COD),ANDRE Elizandro
11th African Games Brazzaville 2015,2015-09-10,ASSAR Omar,INGIL Miguel,4,0,"11,11,11,11|3,3,3,6",R64,OTHER,MS,250,Main Draw,ASSAR Omar (EGY),INGIL Miguel (MRI),ASSAR Omar
11th African Games Brazzaville 2015,2015-09-10,NADIR Mohamed,STANLEY Reinhardt,4,1,"11,12,8,11,11|6,10,11,8,9",R64,OTHER,MS,250,Main Draw,NADIR Mohamed (SUD),STANLEY Reinhardt (NAM),NADIR Mohamed
11th African Games Brazzaville 2015,2015-09-10,ABIODUN Bode,KASSA Gedeon,4,0,"12,11,11,11|10,6,2,7",R64,OTHER,MS,250,Main Draw,KASSA Gedeon (COD),ABIODUN Bode (NGR),ABIODUN Bode
11th African Games Brazzaville 2015,2015-09-10,BOUDJADJA Sofiene,ALGALLAL Abdelgader,4,0,"11,11,11,11|8,6,9,4",R64,OTHER,MS,250,Main Draw,ALGALLAL Abdelgader (LBA),BOUDJADJA Sofiene (ALG),BOUDJADJA Sofiene
11th African Games Brazzaville 2015,2015-09-10,AJETUNMOBI Seun,WANDERA Josiah,4,0,"11,11,11,11|3,8,6,5",R64,OTHER,MS,250,Main Draw,AJETUNMOBI Seun (NGR),WANDERA Josiah (KEN),AJETUNMOBI Seun
11th African Games Brazzaville 2015,2015-09-10,ANTONIO Alessio,KOROMA Joseph,4,0,"11,11,14,11|7,3,12,4",R64,OTHER,MS,250,Main Draw,KOROMA Joseph (SLE),ANTONIO Alessio (ANG),ANTONIO Alessio
11th African Games Brazzaville 2015,2015-09-10,GUEYE Mohamed,EL-ARBI Mohamed Musbah,4,0,"11,11,11,11|4,3,9,2",R64,OTHER,MS,250,Main Draw,EL-ARBI Mohamed Musbah (LBA),GUEYE Mohamed (SEN),GUEYE Mohamed
11th African Games Brazzaville 2015,2015-09-10,IDOWU Saheed,SAM Bernard,4,2,"13,11,4,15,11,11|15,4,11,13,8,5",R64,OTHER,MS,250,Main Draw,SAM Bernard (GHA),IDOWU Saheed (CGO),IDOWU Saheed
11th African Games Brazzaville 2015,2015-09-10,TORIOLA Segun,MABOTE Bonolo,4,0,"11,11,11,11|7,7,6,2",R64,OTHER,MS,250,Main Draw,TORIOLA Segun (NGR),MABOTE Bonolo (BOT),TORIOLA Segun
11th African Games Brazzaville 2015,2015-09-10,NYAIKA Ronald,MUTURI Peter,4,1,"11,16,8,12,11|3,14,11,10,5",R64,OTHER,MS,250,Main Draw,MUTURI Peter (KEN),NYAIKA Ronald (UGA),NYAIKA Ronald
11th African Games Brazzaville 2015,2015-09-10,LARTEY Felix,NTUMBA NGELEKA Christian,4,1,"11,11,7,11,11|9,6,11,9,6",R64,OTHER,MS,250,Main Draw,LARTEY Felix (GHA),NTUMBA NGELEKA Christian (COD),LARTEY Felix
11th African Games Brazzaville 2015,2015-09-10,NATIVEL Jonathan,AGBETOGLO Mawussi,4,1,"11,11,14,4,13|7,7,12,11,11",R64,OTHER,MS,250,Main Draw,NATIVEL Jonathan (MAD),AGBETOGLO Mawussi (TOG),NATIVEL Jonathan
11th African Games Brazzaville 2015,2015-09-10,WANG Jianan,HMAM Adam,4,1,"13,11,11,4,12|11,9,2,11,10",R64,OTHER,MS,250,Main Draw,HMAM Adam (TUN),WANG Jianan (CGO),WANG Jianan
11th African Games Brazzaville 2015,2015-09-10,FARIS Aden,PONTOISE Jason,4,2,"7,12,11,4,11,11|11,10,6,11,5,7",R64,OTHER,MS,250,Main Draw,FARIS Aden (ETH),PONTOISE Jason (MRI),FARIS Aden
11th African Games Brazzaville 2015,2015-09-10,ABUSHUWASHI Adir,KAI-TONGI Prince,4,1,"12,6,12,12,11|10,11,10,10,6",R64,OTHER,MS,250,Main Draw,ABUSHUWASHI Adir (LBA),KAI-TONGI Prince (SLE),ABUSHUWASHI Adir
11th African Games Brazzaville 2015,2015-09-10,ELBEIALI Mohamed,BOURIAH Larbi,4,2,"11,11,10,11,11,12|8,9,12,1,13,10",R64,OTHER,MS,250,Main Draw,BOURIAH Larbi (ALG),ELBEIALI Mohamed (EGY),ELBEIALI Mohamed
11th African Games Brazzaville 2015,2015-09-10,LASHIN Elsayed,SOW Hamidou,4,0,"11,11,11,11|9,4,8,6",R64,OTHER,MS,250,Main Draw,LASHIN Elsayed (EGY),SOW Hamidou (SEN),LASHIN Elsayed
11th African Games Brazzaville 2015,2015-09-10,BIZAKU Jonathan,KAMARA Ibrahim,4,2,"9,11,13,9,13,11|11,9,11,11,11,5",R64,OTHER,MS,250,Main Draw,KAMARA Ibrahim (SLE),BIZAKU Jonathan (COD),BIZAKU Jonathan
11th African Games Brazzaville 2015,2015-09-10,ONAOLAPO Ojo,BIENATIKI Christ,4,1,"11,11,11,8,11|9,8,8,11,6",R64,OTHER,MS,250,Main Draw,BIENATIKI Christ (CGO),ONAOLAPO Ojo (NGR),ONAOLAPO Ojo
11th African Games Brazzaville 2015,2015-09-10,HU Bin,ABREFA Derek,4,0,"11,11,11,12|6,9,7,10",R64,OTHER,MS,250,Main Draw,ABREFA Derek (GHA),HU Bin (CGO),HU Bin
11th African Games Brazzaville 2015,2015-09-10,FANNY Kokou,TAIT Fabian,4,0,"11,11,11,11|4,3,6,9",R64,OTHER,MS,250,Main Draw,TAIT Fabian (NAM),FANNY Kokou (TOG),FANNY Kokou
11th African Games Brazzaville 2015,2015-09-10,KHEROUF Sami,AL-SHAWESH Wasim,4,0,"11,11,11,11|4,5,6,6",R64,OTHER,MS,250,Main Draw,AL-SHAWESH Wasim (LBA),KHEROUF Sami (ALG),KHEROUF Sami
11th African Games Brazzaville 2015,2015-09-10,ASSAR Khalid,SEBASTIAO Hermenegildo,4,0,"11,11,11,11|9,5,8,6",R64,OTHER,MS,250,Main Draw,SEBASTIAO Hermenegildo (ANG),ASSAR Khalid (EGY),ASSAR Khalid
11th African Games Brazzaville 2015,2015-09-10,SALEH Ahmed,FARAH Abdourazack,4,0,"11,11,11,11|2,5,7,6",R64,OTHER,MS,250,Main Draw,SALEH Ahmed (EGY),FARAH Abdourazack (DJI),SALEH Ahmed
11th African Games Brazzaville 2015,2015-09-10,COMMEY Emmanuel,LUKATIKISU Beni,4,1,"15,11,11,11,11|17,4,7,3,7",R64,OTHER,MS,250,Main Draw,LUKATIKISU Beni (COD),COMMEY Emmanuel (GHA),COMMEY Emmanuel
11th African Games Brazzaville 2015,2015-09-10,DAIM Fahad,FLEIDL Heiko,4,0,"11,11,11,11|2,5,5,4",R64,OTHER,MS,250,Main Draw,DAIM Fahad (KEN),FLEIDL Heiko (NAM),DAIM Fahad
11th African Games Brazzaville 2015,2015-09-10,SAKA Suraju,ARNACHELLUM Allan,4,0,"11,11,11,11|5,5,7,2",R64,OTHER,MS,250,Main Draw,ARNACHELLUM Allan (MRI),SAKA Suraju (CGO),SAKA Suraju
11th African Games Brazzaville 2015,2015-09-10,KHOURTA Idir,JAMES Isaac,4,0,"11,11,11,11|3,6,2,3",R64,OTHER,MS,250,Main Draw,KHOURTA Idir (ALG),JAMES Isaac (SLE),KHOURTA Idir
11th African Games Brazzaville 2015,2015-09-10,RINGUI Anthony,ABDELRAHMAN Farah,4,0,"11,11,11,11|7,7,9,8",R64,OTHER,MS,250,Main Draw,ABDELRAHMAN Farah (SUD),RINGUI Anthony (KEN),RINGUI Anthony
11th African Games Brazzaville 2015,2015-09-10,MAMIA Thameur,AMEDEE Amatey,4,0,"11,11,11,11|8,6,9,1",R64,OTHER,MS,250,Main Draw,MAMIA Thameur (TUN),AMEDEE Amatey (TOG),MAMIA Thameur
11th African Games Brazzaville 2015,2015-09-10,ARUNA Quadri,ANDRE Elizandro,4,0,"11,11,11,11|4,8,4,5",R64,OTHER,MS,250,Main Draw,ANDRE Elizandro (ANG),ARUNA Quadri (NGR),ARUNA Quadri
11th African Games Brazzaville 2015,2015-09-10,ASSAR Omar,NADIR Mohamed,4,0,"11,11,11,11|2,7,7,3",R32,OTHER,MS,250,Main Draw,ASSAR Omar (EGY),NADIR Mohamed (SUD),ASSAR Omar
11th African Games Brazzaville 2015,2015-09-10,ABIODUN Bode,BOUDJADJA Sofiene,4,0,"11,11,11,11|5,1,7,7",R32,OTHER,MS,250,Main Draw,ABIODUN Bode (NGR),BOUDJADJA Sofiene (ALG),ABIODUN Bode
11th African Games Brazzaville 2015,2015-09-10,AJETUNMOBI Seun,ANTONIO Alessio,4,0,"11,11,11,11|4,2,3,6",R32,OTHER,MS,250,Main Draw,AJETUNMOBI Seun (NGR),ANTONIO Alessio (ANG),AJETUNMOBI Seun
11th African Games Brazzaville 2015,2015-09-10,IDOWU Saheed,GUEYE Mohamed,4,0,"11,11,12,11|9,9,10,9",R32,OTHER,MS,250,Main Draw,GUEYE Mohamed (SEN),IDOWU Saheed (CGO),IDOWU Saheed
11th African Games Brazzaville 2015,2015-09-10,TORIOLA Segun,NYAIKA Ronald,4,0,"11,11,11,11|7,5,3,5",R32,OTHER,MS,250,Main Draw,TORIOLA Segun (NGR),NYAIKA Ronald (UGA),TORIOLA Segun
11th African Games Brazzaville 2015,2015-09-10,NATIVEL Jonathan,LARTEY Felix,4,0,"11,11,11,11|8,5,5,7",R32,OTHER,MS,250,Main Draw,LARTEY Felix (GHA),NATIVEL Jonathan (MAD),NATIVEL Jonathan
11th African Games Brazzaville 2015,2015-09-10,WANG Jianan,FARIS Aden,4,0,"11,11,14,11|7,8,12,4",R32,OTHER,MS,250,Main Draw,WANG Jianan (CGO),FARIS Aden (ETH),WANG Jianan
11th African Games Brazzaville 2015,2015-09-10,ELBEIALI Mohamed,ABUSHUWASHI Adir,4,0,"11,11,11,11|2,7,6,2",R32,OTHER,MS,250,Main Draw,ABUSHUWASHI Adir (LBA),ELBEIALI Mohamed (EGY),ELBEIALI Mohamed
11th African Games Brazzaville 2015,2015-09-10,ONAOLAPO Ojo,BIZAKU Jonathan,4,0,"11,11,11,11|2,1,6,6",R32,OTHER,MS,250,Main Draw,BIZAKU Jonathan (COD),ONAOLAPO Ojo (NGR),ONAOLAPO Ojo
11th African Games Brazzaville 2015,2015-09-10,HU Bin,FANNY Kokou,4,0,"11,11,11,11|5,8,4,6",R32,OTHER,MS,250,Main Draw,HU Bin (CGO),FANNY Kokou (TOG),HU Bin
11th African Games Brazzaville 2015,2015-09-10,ASSAR Khalid,KHEROUF Sami,4,2,"12,11,11,6,7,11|10,5,6,11,11,6",R32,OTHER,MS,250,Main Draw,KHEROUF Sami (ALG),ASSAR Khalid (EGY),ASSAR Khalid
11th African Games Brazzaville 2015,2015-09-10,SALEH Ahmed,COMMEY Emmanuel,4,0,"11,11,12,11|5,9,10,2",R32,OTHER,MS,250,Main Draw,SALEH Ahmed (EGY),COMMEY Emmanuel (GHA),SALEH Ahmed
11th African Games Brazzaville 2015,2015-09-10,SAKA Suraju,DAIM Fahad,4,0,"11,11,11,11|4,8,4,1",R32,OTHER,MS,250,Main Draw,DAIM Fahad (KEN),SAKA Suraju (CGO),SAKA Suraju
11th African Games Brazzaville 2015,2015-09-10,KHOURTA Idir,RINGUI Anthony,4,0,"11,11,11,11|2,1,6,6",R32,OTHER,MS,250,Main Draw,KHOURTA Idir (ALG),RINGUI Anthony (KEN),KHOURTA Idir
11th African Games Brazzaville 2015,2015-09-10,ARUNA Quadri,MAMIA Thameur,4,0,"11,11,11,11|4,5,4,4",R32,OTHER,MS,250,Main Draw,MAMIA Thameur (TUN),ARUNA Quadri (NGR),ARUNA Quadri
11th African Games Brazzaville 2015,2015-09-10,BORQUAYE Bernice,MKUNDA Ruth,4,0,"11,11,11,11|7,5,3,8",R64,OTHER,WS,250,Main Draw,BORQUAYE Bernice (GHA),MKUNDA Ruth (COD),BORQUAYE Bernice
11th African Games Brazzaville 2015,2015-09-10,LI Yuheng,THAKKAR Sejal,4,0,"11,11,11,11|2,3,4,3",R64,OTHER,WS,250,Main Draw,THAKKAR Sejal (KEN),LI Yuheng (CGO),LI Yuheng
11th African Games Brazzaville 2015,2015-09-10,MEKURIA Meron,HOUSSEIN Rahma,4,0,"11,11,11,11|5,1,2,4",R64,OTHER,WS,250,Main Draw,HOUSSEIN Rahma (DJI),MEKURIA Meron (ETH),MEKURIA Meron
11th African Games Brazzaville 2015,2015-09-10,JALIM Pratna,PATEL Danisha,4,2,"11,15,11,12,11,11|8,13,13,14,8,9",R64,OTHER,WS,250,Main Draw,JALIM Pratna (MRI),PATEL Danisha (RSA),JALIM Pratna
11th African Games Brazzaville 2015,2015-09-10,KIBONE Amina,GRANT Stella,4,0,"11,11,11,11|6,6,9,7",R64,OTHER,WS,250,Main Draw,GRANT Stella (SLE),KIBONE Amina (UGA),KIBONE Amina
11th African Games Brazzaville 2015,2015-09-10,REBATENNE Tshepiso,ANNOR Linda,4,2,"11,11,8,12,8,11|9,7,11,10,11,8",R64,OTHER,WS,250,Main Draw,ANNOR Linda (GHA),REBATENNE Tshepiso (BOT),REBATENNE Tshepiso
11th African Games Brazzaville 2015,2015-09-10,OGUNDELE Rashidat,TAVARES Ruth,4,0,"11,11,11,11|9,7,5,3",R64,OTHER,WS,250,Main Draw,OGUNDELE Rashidat (NGR),TAVARES Ruth (ANG),OGUNDELE Rashidat
11th African Games Brazzaville 2015,2015-09-10,SAIDANI Safa,LUKAAYA Amina,4,0,"11,11,11,11|3,7,5,5",R64,OTHER,WS,250,Main Draw,SAIDANI Safa (TUN),LUKAAYA Amina (UGA),SAIDANI Safa
11th African Games Brazzaville 2015,2015-09-10,MAZOMBO Sabrina,GYASI Beatrice,4,1,"11,13,11,7,11|7,11,7,11,4",R64,OTHER,WS,250,Main Draw,GYASI Beatrice (GHA),MAZOMBO Sabrina (CGO),MAZOMBO Sabrina
11th African Games Brazzaville 2015,2015-09-10,MAPHANGA Zodwa,GEORGE Bregida,4,0,"11,11,11,11|6,6,3,3",R64,OTHER,WS,250,Main Draw,GEORGE Bregida (NAM),MAPHANGA Zodwa (RSA),MAPHANGA Zodwa
11th African Games Brazzaville 2015,2015-09-10,LAGSIR Sannah,MONGONDI Dacha,4,1,"11,11,11,13,13|4,13,8,11,11",R64,OTHER,WS,250,Main Draw,MONGONDI Dacha (COD),LAGSIR Sannah (MON),LAGSIR Sannah
11th African Games Brazzaville 2015,2015-09-10,NJANI Della,ATTEYEH Oumalkaire,4,0,"13,12,11,11|11,10,4,9",R64,OTHER,WS,250,Main Draw,ATTEYEH Oumalkaire (DJI),NJANI Della (KEN),NJANI Della
11th African Games Brazzaville 2015,2015-09-10,NZANGANI Cyntia,ALBINO Isabel,4,1,"11,13,8,11,11|8,11,11,7,7",R64,OTHER,WS,250,Main Draw,ALBINO Isabel (ANG),NZANGANI Cyntia (COD),NZANGANI Cyntia
11th African Games Brazzaville 2015,2015-09-10,BENSTRONG Anniesa,NOAH Everlyn,4,0,"11,11,11,11|1,5,3,2",R64,OTHER,WS,250,Main Draw,BENSTRONG Anniesa (SEY),NOAH Everlyn (KEN),BENSTRONG Anniesa
11th African Games Brazzaville 2015,2015-09-10,LAID Islem,LINGEVELDT Caitlin,4,1,"9,11,11,11,12|11,9,3,8,10",R64,OTHER,WS,250,Main Draw,LAID Islem (ALG),LINGEVELDT Caitlin (RSA),LAID Islem
11th African Games Brazzaville 2015,2015-09-10,CHOWREE Isabelle,FARAH Safa,4,0,"11,11,11,11|8,2,5,4",R64,OTHER,WS,250,Main Draw,CHOWREE Isabelle (MRI),FARAH Safa (DJI),CHOWREE Isabelle
11th African Games Brazzaville 2015,2015-09-10,OWUSU-AGYEI Efua Oforiwah,BUTALE Boitshwarelo,4,1,"11,11,11,11,11|8,13,4,8,8",R64,OTHER,WS,250,Main Draw,BUTALE Boitshwarelo (BOT),OWUSU-AGYEI Efua Oforiwah (GHA),OWUSU-AGYEI Efua Oforiwah
11th African Games Brazzaville 2015,2015-09-10,MESHREF Dina,BORQUAYE Bernice,4,0,"11,11,11,11|6,6,6,3",R32,OTHER,WS,250,Main Draw,MESHREF Dina (EGY),BORQUAYE Bernice (GHA),MESHREF Dina
11th African Games Brazzaville 2015,2015-09-10,LI Yuheng,MEKURIA Meron,4,0,"11,11,11,11|2,4,4,3",R32,OTHER,WS,250,Main Draw,LI Yuheng (CGO),MEKURIA Meron (ETH),LI Yuheng
11th African Games Brazzaville 2015,2015-09-10,LOGHRAIBI Lynda,JALIM Pratna,4,0,"11,11,11,11|7,8,5,3",R32,OTHER,WS,250,Main Draw,LOGHRAIBI Lynda (ALG),JALIM Pratna (MRI),LOGHRAIBI Lynda
11th African Games Brazzaville 2015,2015-09-10,EDEM Offiong,KIBONE Amina,4,0,"11,11,11,11|4,6,5,7",R32,OTHER,WS,250,Main Draw,KIBONE Amina (UGA),EDEM Offiong (NGR),EDEM Offiong
11th African Games Brazzaville 2015,2015-09-10,ABDELAZIZ Farah,KESSACI Katia,4,2,"11,9,11,11,6,11|6,11,3,7,11,4",R32,OTHER,WS,250,Main Draw,ABDELAZIZ Farah (EGY),KESSACI Katia (ALG),ABDELAZIZ Farah
11th African Games Brazzaville 2015,2015-09-10,LITOBAKA Ammadine,REBATENNE Tshepiso,4,0,"11,11,11,11|5,2,9,4",R32,OTHER,WS,250,Main Draw,REBATENNE Tshepiso (BOT),LITOBAKA Ammadine (COD),LITOBAKA Ammadine
11th African Games Brazzaville 2015,2015-09-10,OGUNDELE Rashidat,GUKHOOL Widaad,4,1,"11,8,11,11,11|9,11,8,8,6",R32,OTHER,WS,250,Main Draw,GUKHOOL Widaad (MRI),OGUNDELE Rashidat (NGR),OGUNDELE Rashidat
11th African Games Brazzaville 2015,2015-09-10,HAN Xing,MADLALA Khanyisile,4,0,"11,11,11,11|4,4,6,3",R32,OTHER,WS,250,Main Draw,MADLALA Khanyisile (RSA),HAN Xing (CGO),HAN Xing
11th African Games Brazzaville 2015,2015-09-10,OSHONAIKE Olufunke,SAIDANI Safa,4,2,"4,11,7,11,11,11|11,4,11,3,4,3",R32,OTHER,WS,250,Main Draw,OSHONAIKE Olufunke (NGR),SAIDANI Safa (TUN),OSHONAIKE Olufunke
11th African Games Brazzaville 2015,2015-09-10,MAZOMBO Sabrina,MAPHANGA Zodwa,4,3,"11,10,3,11,8,11,11|3,12,11,9,11,9,5",R32,OTHER,WS,250,Main Draw,MAZOMBO Sabrina (CGO),MAPHANGA Zodwa (RSA),MAZOMBO Sabrina
11th African Games Brazzaville 2015,2015-09-10,LAGSIR Sannah,GULTI Marta,4,2,"6,11,8,11,11,12|11,1,11,1,5,10",R32,OTHER,WS,250,Main Draw,GULTI Marta (ETH),LAGSIR Sannah (MON),LAGSIR Sannah
11th African Games Brazzaville 2015,2015-09-10,HELMY Yousra,NJANI Della,4,0,"11,11,11,11|4,4,4,4",R32,OTHER,WS,250,Main Draw,NJANI Della (KEN),HELMY Yousra (EGY),HELMY Yousra
11th African Games Brazzaville 2015,2015-09-10,AKPAN Cecilia,NZANGANI Cyntia,4,0,"11,13,11,11|3,11,7,7",R32,OTHER,WS,250,Main Draw,AKPAN Cecilia (NGR),NZANGANI Cyntia (COD),AKPAN Cecilia
11th African Games Brazzaville 2015,2015-09-10,BENSTRONG Anniesa,NWACHUKWU Onyinyechi,4,2,"11,11,9,11,7,11|9,5,11,9,11,6",R32,OTHER,WS,250,Main Draw,BENSTRONG Anniesa (SEY),NWACHUKWU Onyinyechi (CGO),BENSTRONG Anniesa
11th African Games Brazzaville 2015,2015-09-10,LAID Islem,CHOWREE Isabelle,4,0,"11,11,11,11|2,8,5,8",R32,OTHER,WS,250,Main Draw,LAID Islem (ALG),CHOWREE Isabelle (MRI),LAID Islem
11th African Games Brazzaville 2015,2015-09-10,ELDAWLATLY Nadeen,OWUSU-AGYEI Efua Oforiwah,4,0,"11,11,11,11|3,4,7,9",R32,OTHER,WS,250,Main Draw,OWUSU-AGYEI Efua Oforiwah (GHA),ELDAWLATLY Nadeen (EGY),ELDAWLATLY Nadeen
11th African Games Brazzaville 2015,2015-09-10,AJETUNMOBI Seun,ABIODUN Bode,4,3,"8,11,11,10,11,12,11|11,9,8,12,13,10,8",QF,OTHER,MS,250,Main Draw,ABIODUN Bode (NGR),AJETUNMOBI Seun (NGR),AJETUNMOBI Seun
11th African Games Brazzaville 2015,2015-09-10,ELBEIALI Mohamed,NATIVEL Jonathan,4,2,"11,7,11,8,13,11|8,11,8,11,11,9",QF,OTHER,MS,250,Main Draw,NATIVEL Jonathan (MAD),ELBEIALI Mohamed (EGY),ELBEIALI Mohamed
11th African Games Brazzaville 2015,2015-09-10,SAKA Suraju,KHOURTA Idir,4,1,"6,11,11,11,11|11,8,8,7,8",QF,OTHER,MS,250,Main Draw,SAKA Suraju (CGO),KHOURTA Idir (ALG),SAKA Suraju
11th African Games Brazzaville 2015,2015-09-10,WANG Jianan,ASSAR Khalid,4,3,"11,8,11,11,11,8,12|8,11,8,13,7,11,10",3RD,OTHER,MS,250,Main Draw,WANG Jianan (CGO),ASSAR Khalid (EGY),WANG Jianan
11th African Games Brazzaville 2015,2015-09-10,ASSAR Omar,ABIODUN Bode,4,1,"11,11,13,11,12|5,6,15,7,10",R16,OTHER,MS,250,Main Draw,ASSAR Omar (EGY),ABIODUN Bode (NGR),ASSAR Omar
11th African Games Brazzaville 2015,2015-09-10,IDOWU Saheed,AJETUNMOBI Seun,4,3,"11,11,7,9,4,11,11|6,9,11,11,11,8,8",R16,OTHER,MS,250,Main Draw,AJETUNMOBI Seun (NGR),IDOWU Saheed (CGO),IDOWU Saheed
11th African Games Brazzaville 2015,2015-09-10,TORIOLA Segun,NATIVEL Jonathan,4,1,"11,6,11,11,13|6,11,7,7,11",R16,OTHER,MS,250,Main Draw,TORIOLA Segun (NGR),NATIVEL Jonathan (MAD),TORIOLA Segun
11th African Games Brazzaville 2015,2015-09-10,WANG Jianan,ELBEIALI Mohamed,4,2,"7,11,9,11,11,11|11,8,11,7,7,3",R16,OTHER,MS,250,Main Draw,WANG Jianan (CGO),ELBEIALI Mohamed (EGY),WANG Jianan
11th African Games Brazzaville 2015,2015-09-10,ONAOLAPO Ojo,LASHIN Elsayed,4,0,"11,11,11,11|8,9,9,9",R16,OTHER,MS,250,Main Draw,LASHIN Elsayed (EGY),ONAOLAPO Ojo (NGR),ONAOLAPO Ojo
11th African Games Brazzaville 2015,2015-09-10,ASSAR Khalid,HU Bin,4,1,"11,11,11,6,11|5,4,7,11,9",R16,OTHER,MS,250,Main Draw,HU Bin (CGO),ASSAR Khalid (EGY),ASSAR Khalid
11th African Games Brazzaville 2015,2015-09-10,SALEH Ahmed,SAKA Suraju,4,3,"3,12,8,11,10,11,11|11,10,11,9,12,2,9",R16,OTHER,MS,250,Main Draw,SALEH Ahmed (EGY),SAKA Suraju (CGO),SALEH Ahmed
11th African Games Brazzaville 2015,2015-09-10,ARUNA Quadri,KHOURTA Idir,4,1,"11,11,11,9,11|6,8,9,11,8",R16,OTHER,MS,250,Main Draw,KHOURTA Idir (ALG),ARUNA Quadri (NGR),ARUNA Quadri
11th African Games Brazzaville 2015,2015-09-10,ASSAR Omar,IDOWU Saheed,4,0,"11,11,11,11|6,5,9,6",QF,OTHER,MS,250,Main Draw,ASSAR Omar (EGY),IDOWU Saheed (CGO),ASSAR Omar
11th African Games Brazzaville 2015,2015-09-10,WANG Jianan,TORIOLA Segun,4,1,"11,10,11,11,11|6,12,6,8,7",QF,OTHER,MS,250,Main Draw,TORIOLA Segun (NGR),WANG Jianan (CGO),WANG Jianan
11th African Games Brazzaville 2015,2015-09-10,ASSAR Khalid,ONAOLAPO Ojo,4,1,"11,13,11,11,11|9,15,3,9,5",QF,OTHER,MS,250,Main Draw,ONAOLAPO Ojo (NGR),ASSAR Khalid (EGY),ASSAR Khalid
11th African Games Brazzaville 2015,2015-09-10,ARUNA Quadri,SALEH Ahmed,4,1,"7,11,11,11,11|11,8,9,6,9",QF,OTHER,MS,250,Main Draw,SALEH Ahmed (EGY),ARUNA Quadri (NGR),ARUNA Quadri
11th African Games Brazzaville 2015,2015-09-10,ASSAR Omar,WANG Jianan,4,3,"11,7,11,12,5,11,11|5,11,1,14,11,9,7",SF,OTHER,MS,250,Main Draw,ASSAR Omar (EGY),WANG Jianan (CGO),ASSAR Omar
