tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
ITTF Challenge Brazil Open Sao Paulo 2017,2017-05-03,LIMA Livia,MORALES Judith,4,2,"17,16,8,9,11,19|15,14,11,11,8,17",,OLYMPICS,WS,466,Qualification,MORALES Judith (CHI),LIMA Livia (BRA),LIMA Livia
ITTF Challenge Brazil Open Sao Paulo 2017,2017-05-03,FUKASE Tamyres,AMARAL Brenda,4,1,"11,11,11,5,11|5,6,6,11,4",,OLYMPICS,WS,466,Qualification,AMARAL Brenda (BRA),FUKASE Tamyres (BRA),FUKASE Tamyres
ITTF Challenge Brazil Open Sao Paulo 2017,2017-05-03,KOHATSU Martina,KODAMA Fernanda,4,3,"10,11,8,11,5,11,11|12,7,11,2,11,3,8",,OLYMPICS,WS,466,Qualification,KOHATSU Martina (BRA),KODAMA Fernanda (BRA),KOHATSU Martina
ITTF Challenge Brazil Open Sao Paulo 2017,2017-05-03,MENESES Cristal,KIMOTO Beatriz,4,0,"11,11,12,11|8,8,10,4",,OLYMPICS,WS,466,Qualification,KIMOTO Beatriz (BRA),MENESES Cristal (CHI),MENESES Cristal
ITTF Challenge Brazil Open Sao Paulo 2017,2017-05-03,KOHATSU Martina,MENESES Cristal,4,2,"11,11,2,4,12,11|8,9,11,11,10,8",,OLYMPICS,WS,466,Qualification,KOHATSU Martina (BRA),MENESES Cristal (CHI),KOHATSU Martina
ITTF Challenge Brazil Open Sao Paulo 2017,2017-05-03,KIMOTO Beatriz,KODAMA Fernanda,4,2,"11,11,7,4,13,11|4,5,11,11,11,5",,OLYMPICS,WS,466,Qualification,KIMOTO Beatriz (BRA),KODAMA Fernanda (BRA),KIMOTO Beatriz
ITTF Challenge Brazil Open Sao Paulo 2017,2017-05-03,KOHATSU Martina,KIMOTO Beatriz,4,0,"11,11,11,11|6,6,9,1",,OLYMPICS,WS,466,Qualification,KOHATSU Martina (BRA),KIMOTO Beatriz (BRA),KOHATSU Martina
ITTF Challenge Brazil Open Sao Paulo 2017,2017-05-03,MENESES Cristal,KODAMA Fernanda,4,2,"7,11,11,9,11,11|11,6,4,11,9,4",,OLYMPICS,WS,466,Qualification,MENESES Cristal (CHI),KODAMA Fernanda (BRA),MENESES Cristal
ITTF Challenge Brazil Open Sao Paulo 2017,2017-05-03,TOMA Danilo,TEODORO Guilherme,4,0,"11,12,11,12|5,10,3,10",,OLYMPICS,MS,466,Qualification,TEODORO Guilherme (BRA),TOMA Danilo (BRA),TOMA Danilo
ITTF Challenge Brazil Open Sao Paulo 2017,2017-05-03,JOUTI Eric,TOMA Danilo,4,2,"11,11,8,11,8,11|9,6,11,6,11,6",,OLYMPICS,MS,466,Qualification,JOUTI Eric (BRA),TOMA Danilo (BRA),JOUTI Eric
ITTF Challenge Brazil Open Sao Paulo 2017,2017-05-03,JOUTI Eric,TEODORO Guilherme,4,0,"11,11,12,11|2,5,10,9",,OLYMPICS,MS,466,Qualification,JOUTI Eric (BRA),TEODORO Guilherme (BRA),JOUTI Eric
ITTF Challenge Brazil Open Sao Paulo 2017,2017-05-03,BARRETO Israel,FOGACA Leonardo,4,0,"11,11,11,11|2,7,9,7",,OLYMPICS,MS,466,Qualification,FOGACA Leonardo (BRA),BARRETO Israel (BRA),BARRETO Israel
ITTF Challenge Brazil Open Sao Paulo 2017,2017-05-03,KEINATH Thomas,BARRETO Israel,4,1,"11,7,11,11,11|8,11,4,4,7",,OLYMPICS,MS,466,Qualification,KEINATH Thomas (SVK),BARRETO Israel (BRA),KEINATH Thomas
ITTF Challenge Brazil Open Sao Paulo 2017,2017-05-03,KEINATH Thomas,FOGACA Leonardo,4,0,"11,11,11,11|4,5,6,5",,OLYMPICS,MS,466,Qualification,KEINATH Thomas (SVK),FOGACA Leonardo (BRA),KEINATH Thomas
ITTF Challenge Brazil Open Sao Paulo 2017,2017-05-03,FLORITZ Philipp,COSTA Mario,4,0,"11,11,11,11|2,9,5,8",,OLYMPICS,MS,466,Qualification,FLORITZ Philipp (BUL),COSTA Mario (BRA),FLORITZ Philipp
ITTF Challenge Brazil Open Sao Paulo 2017,2017-05-03,MANHANI Humberto,ZAULI Isaac,4,0,"11,11,11,11|3,8,6,3",,OLYMPICS,MS,466,Qualification,MANHANI Humberto (BRA),ZAULI Isaac (BRA),MANHANI Humberto
ITTF Challenge Brazil Open Sao Paulo 2017,2017-05-03,FLORITZ Philipp,ZAULI Isaac,4,1,"11,11,9,11,11|6,7,11,8,9",,OLYMPICS,MS,466,Qualification,FLORITZ Philipp (BUL),ZAULI Isaac (BRA),FLORITZ Philipp
ITTF Challenge Brazil Open Sao Paulo 2017,2017-05-03,MANHANI Humberto,COSTA Mario,4,1,"11,9,11,11,11|6,11,3,4,6",,OLYMPICS,MS,466,Qualification,MANHANI Humberto (BRA),COSTA Mario (BRA),MANHANI Humberto
ITTF Challenge Brazil Open Sao Paulo 2017,2017-05-03,FLORITZ Philipp,MANHANI Humberto,4,2,"8,11,11,9,11,11|11,9,5,11,7,8",,OLYMPICS,MS,466,Qualification,FLORITZ Philipp (BUL),MANHANI Humberto (BRA),FLORITZ Philipp
ITTF Challenge Brazil Open Sao Paulo 2017,2017-05-03,ZAULI Isaac,COSTA Mario,4,0,"11,11,11,11|6,9,6,4",,OLYMPICS,MS,466,Qualification,ZAULI Isaac (BRA),COSTA Mario (BRA),ZAULI Isaac
ITTF Challenge Brazil Open Sao Paulo 2017,2017-05-03,GOMEZ Gustavo,SILVA Diogo,4,1,"11,11,7,11,11|3,8,11,8,7",,OLYMPICS,MS,466,Qualification,GOMEZ Gustavo (CHI),SILVA Diogo (BRA),GOMEZ Gustavo
ITTF Challenge Brazil Open Sao Paulo 2017,2017-05-03,SANTOS Vitor,ROSENBERG Rafael,4,1,"11,11,11,10,11|9,4,8,12,9",,OLYMPICS,MS,466,Qualification,ROSENBERG Rafael (BRA),SANTOS Vitor (BRA),SANTOS Vitor
ITTF Challenge Brazil Open Sao Paulo 2017,2017-05-03,GOMEZ Gustavo,SANTOS Vitor,4,2,"11,13,11,6,8,11|9,11,9,11,11,4",,OLYMPICS,MS,466,Qualification,GOMEZ Gustavo (CHI),SANTOS Vitor (BRA),GOMEZ Gustavo
ITTF Challenge Brazil Open Sao Paulo 2017,2017-05-03,SILVA Diogo,ROSENBERG Rafael,4,0,"11,11,11,11|5,8,7,8",,OLYMPICS,MS,466,Qualification,ROSENBERG Rafael (BRA),SILVA Diogo (BRA),SILVA Diogo
ITTF Challenge Brazil Open Sao Paulo 2017,2017-05-03,GOMEZ Gustavo,ROSENBERG Rafael,4,0,"11,11,11,11|5,6,5,7",,OLYMPICS,MS,466,Qualification,GOMEZ Gustavo (CHI),ROSENBERG Rafael (BRA),GOMEZ Gustavo
ITTF Challenge Brazil Open Sao Paulo 2017,2017-05-03,SILVA Diogo,SANTOS Vitor,4,3,"12,13,10,8,11,5,11|10,11,12,11,5,11,2",,OLYMPICS,MS,466,Qualification,SANTOS Vitor (BRA),SILVA Diogo (BRA),SILVA Diogo
ITTF Challenge Brazil Open Sao Paulo 2017,2017-05-03,LAMADRID Juan,PRADELLA Thiago,4,1,"11,11,7,11,11|6,6,11,7,3",,OLYMPICS,MS,466,Qualification,LAMADRID Juan (CHI),PRADELLA Thiago (BRA),LAMADRID Juan
ITTF Challenge Brazil Open Sao Paulo 2017,2017-05-03,ARASAKI Fabio,KODAMA Gustavo,4,1,"11,6,11,15,11|8,11,6,13,7",,OLYMPICS,MS,466,Qualification,KODAMA Gustavo (BRA),ARASAKI Fabio (BRA),ARASAKI Fabio
ITTF Challenge Brazil Open Sao Paulo 2017,2017-05-03,LAMADRID Juan,ARASAKI Fabio,4,0,"11,11,11,11|9,2,8,5",,OLYMPICS,MS,466,Qualification,LAMADRID Juan (CHI),ARASAKI Fabio (BRA),LAMADRID Juan
ITTF Challenge Brazil Open Sao Paulo 2017,2017-05-03,LAMADRID Juan,KODAMA Gustavo,4,2,"6,10,13,11,11,11|11,12,11,6,6,6",,OLYMPICS,MS,466,Qualification,LAMADRID Juan (CHI),KODAMA Gustavo (BRA),LAMADRID Juan
ITTF Challenge Brazil Open Sao Paulo 2017,2017-05-03,PRADELLA Thiago,ARASAKI Fabio,4,1,"11,11,8,11,11|7,7,11,8,9",,OLYMPICS,MS,466,Qualification,ARASAKI Fabio (BRA),PRADELLA Thiago (BRA),PRADELLA Thiago
ITTF Challenge Brazil Open Sao Paulo 2017,2017-05-03,RODRIGUEZ Alejandro,ROSA Wesley,4,0,"11,11,11,12|6,8,5,10",,OLYMPICS,MS,466,Qualification,RODRIGUEZ Alejandro (CHI),ROSA Wesley (BRA),RODRIGUEZ Alejandro
ITTF Challenge Brazil Open Sao Paulo 2017,2017-05-03,RODRIGUEZ Alejandro,BIGNARDI Sergio,4,0,"11,11,11,11|4,5,6,3",,OLYMPICS,MS,466,Qualification,RODRIGUEZ Alejandro (CHI),BIGNARDI Sergio (BRA),RODRIGUEZ Alejandro
ITTF Challenge Brazil Open Sao Paulo 2017,2017-05-03,ANJOS Luiz,ROSA Wesley,4,2,"11,10,11,11,12,11|13,12,5,7,10,4",,OLYMPICS,MS,466,Qualification,ANJOS Luiz (BRA),ROSA Wesley (BRA),ANJOS Luiz
ITTF Challenge Brazil Open Sao Paulo 2017,2017-05-03,ANJOS Luiz,RODRIGUEZ Alejandro,4,2,"10,11,11,5,11,11|12,7,8,11,7,6",,OLYMPICS,MS,466,Qualification,RODRIGUEZ Alejandro (CHI),ANJOS Luiz (BRA),ANJOS Luiz
ITTF Challenge Brazil Open Sao Paulo 2017,2017-05-03,ROSA Wesley,BIGNARDI Sergio,4,2,"11,11,9,13,8,11|8,8,11,11,11,4",,OLYMPICS,MS,466,Qualification,BIGNARDI Sergio (BRA),ROSA Wesley (BRA),ROSA Wesley
ITTF Challenge Brazil Open Sao Paulo 2017,2017-05-03,ISHIDA Carlos,NARITA Henrique,4,2,"15,15,8,12,7,11|13,13,11,10,11,5",,OLYMPICS,MS,466,Qualification,ISHIDA Carlos (BRA),NARITA Henrique (BRA),ISHIDA Carlos
ITTF Challenge Brazil Open Sao Paulo 2017,2017-05-03,TOMOIKE Eduardo,BERNALES Mauricio,4,1,"11,11,14,7,11|2,8,12,11,6",,OLYMPICS,MS,466,Qualification,TOMOIKE Eduardo (BRA),BERNALES Mauricio (CHI),TOMOIKE Eduardo
ITTF Challenge Brazil Open Sao Paulo 2017,2017-05-03,ISHIDA Carlos,BERNALES Mauricio,4,0,"11,11,11,11|4,7,8,4",,OLYMPICS,MS,466,Qualification,ISHIDA Carlos (BRA),BERNALES Mauricio (CHI),ISHIDA Carlos
ITTF Challenge Brazil Open Sao Paulo 2017,2017-05-03,NARITA Henrique,TOMOIKE Eduardo,4,3,"12,11,11,8,8,11,11|14,6,9,11,11,9,9",,OLYMPICS,MS,466,Qualification,TOMOIKE Eduardo (BRA),NARITA Henrique (BRA),NARITA Henrique
ITTF Challenge Brazil Open Sao Paulo 2017,2017-05-03,ISHIDA Carlos,TOMOIKE Eduardo,4,2,"11,11,8,11,8,11|6,7,11,7,11,3",,OLYMPICS,MS,466,Qualification,ISHIDA Carlos (BRA),TOMOIKE Eduardo (BRA),ISHIDA Carlos
ITTF Challenge Brazil Open Sao Paulo 2017,2017-05-03,NARITA Henrique,BERNALES Mauricio,4,0,"11,11,11,11|7,4,2,3",,OLYMPICS,MS,466,Qualification,BERNALES Mauricio (CHI),NARITA Henrique (BRA),NARITA Henrique
ITTF Challenge Brazil Open Sao Paulo 2017,2017-05-03,KOHATSU Massao,ALMEIDA Siddharta,4,0,"11,11,11,11|6,9,4,7",,OLYMPICS,MS,466,Qualification,ALMEIDA Siddharta (BRA),KOHATSU Massao (BRA),KOHATSU Massao
