tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
JOOLA European Nations League Premier 2011,2011-09-05,CHTCHETININE Evgueni,AKERSTROM Fabian,3,0,,GROUP,OTHER,MT,1971,Main Draw,CHTCHETININE Evgueni (BLR),AKERSTROM Fabian (SWE),CHTCHETININE Evgueni
JOOLA European Nations League Premier 2011,2011-09-05,FRANZISKA Patrick,MERZLIKIN Taras,3,0,,GROUP,OTHER,MT,1971,Main Draw,FRANZISKA Patrick (GER),MERZLIKIN Taras (RUS),FRANZISKA Patrick
JOOLA European Nations League Premier 2011,2011-09-05,FILUS Ruwen,VNUKOV Artem,3,0,,GROUP,OTHER,MT,1971,Main Draw,FILUS Ruwen (GER),VNUKOV Artem (RUS),FILUS Ruwen
JOOLA European Nations League Premier 2011,2011-09-05,FLORITZ Philipp,GADIEV Vildan,3,0,,GROUP,OTHER,MT,1971,Main Draw,FLORITZ Philipp (BUL),GADIEV Vildan (RUS),FLORITZ Philipp
JOOLA European Nations League Premier 2011,2011-09-05,CRISAN Adrian,ASMUSSEN Jakob,3,0,,GROUP,OTHER,MT,1971,Main Draw,CRISAN Adrian (ROU),ASMUSSEN Jakob (DEN),CRISAN Adrian
JOOLA European Nations League Premier 2011,2011-09-05,STERNBERG Kasper,FILIMON Andrei,3,0,,GROUP,OTHER,MT,1971,Main Draw,STERNBERG Kasper (DEN),FILIMON Andrei (ROU),STERNBERG Kasper
JOOLA European Nations League Premier 2011,2011-09-05,IONESCU Ovidiu,HINDERSSON Mikkel,3,0,,GROUP,OTHER,MT,1971,Main Draw,IONESCU Ovidiu (ROU),HINDERSSON Mikkel (DEN),IONESCU Ovidiu
JOOLA European Nations League Premier 2011,2011-09-05,CRISAN Adrian,STERNBERG Kasper,3,0,,GROUP,OTHER,MT,1971,Main Draw,CRISAN Adrian (ROU),STERNBERG Kasper (DEN),CRISAN Adrian
JOOLA European Nations League Premier 2011,2011-09-05,FEGERL Stefan,KORBEL Petr,3,0,,GROUP,OTHER,MT,1971,Main Draw,FEGERL Stefan (AUT),KORBEL Petr (CZE),FEGERL Stefan
JOOLA European Nations League Premier 2011,2011-09-05,SIMONCIK Josef,HABESOHN Daniel,3,0,,GROUP,OTHER,MT,1971,Main Draw,SIMONCIK Josef (CZE),HABESOHN Daniel (AUT),SIMONCIK Josef
JOOLA European Nations League Premier 2011,2011-09-05,PROKOPCOV Dmitrij,FENG Xiaoquan,3,0,,GROUP,OTHER,MT,1971,Main Draw,PROKOPCOV Dmitrij (CZE),FENG Xiaoquan (AUT),PROKOPCOV Dmitrij
JOOLA European Nations League Premier 2011,2011-09-05,HABESOHN Daniel,KORBEL Petr,3,0,,GROUP,OTHER,MT,1971,Main Draw,HABESOHN Daniel (AUT),KORBEL Petr (CZE),HABESOHN Daniel
JOOLA European Nations League Premier 2011,2011-09-05,DVORAK Galia,GALITSCHITSCH Nicole,3,0,,GROUP,OTHER,WT,1971,Main Draw,DVORAK Galia (ESP),GALITSCHITSCH Nicole (AUT),DVORAK Galia
JOOLA European Nations League Premier 2011,2011-09-05,RAMIREZ Sara,STEINBACHER Claudia,3,0,,GROUP,OTHER,WT,1971,Main Draw,RAMIREZ Sara (ESP),STEINBACHER Claudia (AUT),RAMIREZ Sara
JOOLA European Nations League Premier 2011,2011-09-05,LI Qiangbing,DE LA VEGA Marta,3,0,,GROUP,OTHER,WT,1971,Main Draw,LI Qiangbing (AUT),DE LA VEGA Marta (ESP),LI Qiangbing
JOOLA European Nations League Premier 2011,2011-09-05,RAMIREZ Sara,GALITSCHITSCH Nicole,3,0,,GROUP,OTHER,WT,1971,Main Draw,RAMIREZ Sara (ESP),GALITSCHITSCH Nicole (AUT),RAMIREZ Sara
JOOLA European Nations League Premier 2011,2011-09-05,KOSOWSKI Jakub,ROBLES Alvaro,3,0,,GROUP,OTHER,MT,1971,Main Draw,KOSOWSKI Jakub (POL),ROBLES Alvaro (ESP),KOSOWSKI Jakub
JOOLA European Nations League Premier 2011,2011-09-05,SUCH Bartosz,CANTERO Jesus,3,0,,GROUP,OTHER,MT,1971,Main Draw,SUCH Bartosz (POL),CANTERO Jesus (ESP),SUCH Bartosz
JOOLA European Nations League Premier 2011,2011-09-05,WANG Zengyi,CARNEROS Alfredo,3,0,,GROUP,OTHER,MT,1971,Main Draw,WANG Zengyi (POL),CARNEROS Alfredo (ESP),WANG Zengyi
JOOLA European Nations League Premier 2011,2011-09-05,LUNDQVIST Jens,OBESLO Michal,3,0,,GROUP,OTHER,MT,1971,Main Draw,LUNDQVIST Jens (SWE),OBESLO Michal (CZE),LUNDQVIST Jens
JOOLA European Nations League Premier 2011,2011-09-05,KONECNY Tomas,KARLSSON Mattias,3,0,,GROUP,OTHER,MT,1971,Main Draw,KONECNY Tomas (CZE),KARLSSON Mattias (SWE),KONECNY Tomas
JOOLA European Nations League Premier 2011,2011-09-05,SVENSSON Robert,SIRUCEK Pavel,3,0,,GROUP,OTHER,MT,1971,Main Draw,SVENSSON Robert (SWE),SIRUCEK Pavel (CZE),SVENSSON Robert
JOOLA European Nations League Premier 2011,2011-09-05,LUNDQVIST Jens,KONECNY Tomas,3,0,,GROUP,OTHER,MT,1971,Main Draw,LUNDQVIST Jens (SWE),KONECNY Tomas (CZE),LUNDQVIST Jens
JOOLA European Nations League Premier 2011,2011-09-05,FILUS Ruwen,HABESOHN Daniel,3,0,,GROUP,OTHER,MT,1971,Main Draw,FILUS Ruwen (GER),HABESOHN Daniel (AUT),FILUS Ruwen
JOOLA European Nations League Premier 2011,2011-09-05,GARDOS Robert,FLORITZ Philipp,3,0,,GROUP,OTHER,MT,1971,Main Draw,GARDOS Robert (AUT),FLORITZ Philipp (BUL),GARDOS Robert
JOOLA European Nations League Premier 2011,2011-09-05,FRANZISKA Patrick,FEGERL Stefan,3,0,,GROUP,OTHER,MT,1971,Main Draw,FRANZISKA Patrick (GER),FEGERL Stefan (AUT),FRANZISKA Patrick
JOOLA European Nations League Premier 2011,2011-09-05,FILUS Ruwen,GARDOS Robert,3,0,,GROUP,OTHER,MT,1971,Main Draw,FILUS Ruwen (GER),GARDOS Robert (AUT),FILUS Ruwen
JOOLA European Nations League Premier 2011,2011-09-05,LI Jie,SZOCS Bernadette,3,0,,GROUP,OTHER,WT,1971,Main Draw,LI Jie (NED),SZOCS Bernadette (ROU),LI Jie
JOOLA European Nations League Premier 2011,2011-09-05,DODEAN Daniela,LI Jiao,3,0,,GROUP,OTHER,WT,1971,Main Draw,DODEAN Daniela (ROU),LI Jiao (NED),DODEAN Daniela
JOOLA European Nations League Premier 2011,2011-09-05,SAMARA Elizabeta,CREEMERS Linda,3,0,,GROUP,OTHER,WT,1971,Main Draw,SAMARA Elizabeta (ROU),CREEMERS Linda (NED),SAMARA Elizabeta
JOOLA European Nations League Premier 2011,2011-09-05,LI Jie,DODEAN Daniela,3,0,,GROUP,OTHER,WT,1971,Main Draw,LI Jie (NED),DODEAN Daniela (ROU),LI Jie
JOOLA European Nations League Premier 2011,2011-09-05,WU Jiaduo,NAGYVARADI Mercedes,3,0,,GROUP,OTHER,WT,1971,Main Draw,WU Jiaduo (GER),NAGYVARADI Mercedes (HUN),WU Jiaduo
JOOLA European Nations League Premier 2011,2011-09-05,WINTER Sabine,MADARASZ Dora,3,0,,GROUP,OTHER,WT,1971,Main Draw,WINTER Sabine (GER),MADARASZ Dora (HUN),WINTER Sabine
JOOLA European Nations League Premier 2011,2011-09-05,BARTHEL Zhenqi,AMBRUS Krisztina,3,0,,GROUP,OTHER,WT,1971,Main Draw,BARTHEL Zhenqi (GER),AMBRUS Krisztina (HUN),BARTHEL Zhenqi
JOOLA European Nations League Premier 2011,2011-09-05,KOSOWSKI Jakub,ZWICKL Daniel,3,0,,GROUP,OTHER,MT,1971,Main Draw,KOSOWSKI Jakub (POL),ZWICKL Daniel (HUN),KOSOWSKI Jakub
JOOLA European Nations League Premier 2011,2011-09-05,PATTANTYUS Adam,SUCH Bartosz,3,0,,GROUP,OTHER,MT,1971,Main Draw,PATTANTYUS Adam (HUN),SUCH Bartosz (POL),PATTANTYUS Adam
JOOLA European Nations League Premier 2011,2011-09-05,GOLEBIOWSKI Mateusz,KOSIBA Daniel,3,0,,GROUP,OTHER,MT,1971,Main Draw,GOLEBIOWSKI Mateusz (POL),KOSIBA Daniel (HUN),GOLEBIOWSKI Mateusz
JOOLA European Nations League Premier 2011,2011-09-05,SUCH Bartosz,ZWICKL Daniel,3,0,,GROUP,OTHER,MT,1971,Main Draw,SUCH Bartosz (POL),ZWICKL Daniel (HUN),SUCH Bartosz
JOOLA European Nations League Premier 2011,2011-09-05,KOVAC Borna,CANTERO Jesus,3,0,,GROUP,OTHER,MT,1971,Main Draw,KOVAC Borna (CRO),CANTERO Jesus (ESP),KOVAC Borna
JOOLA European Nations League Premier 2011,2011-09-05,DIEZ Endika,KOLAREK Tomislav,3,0,,GROUP,OTHER,MT,1971,Main Draw,DIEZ Endika (ESP),KOLAREK Tomislav (CRO),DIEZ Endika
JOOLA European Nations League Premier 2011,2011-09-05,DURAN Marc,KOJIC Frane,3,0,,GROUP,OTHER,MT,1971,Main Draw,DURAN Marc (ESP),KOJIC Frane (CRO),DURAN Marc
JOOLA European Nations League Premier 2011,2011-09-05,CANTERO Jesus,KOLAREK Tomislav,3,0,,GROUP,OTHER,MT,1971,Main Draw,CANTERO Jesus (ESP),KOLAREK Tomislav (CRO),CANTERO Jesus
JOOLA European Nations League Premier 2011,2011-09-05,STRBIKOVA Renata,PAVLOVICH Veronika,3,0,,GROUP,OTHER,WT,1971,Main Draw,STRBIKOVA Renata (CZE),PAVLOVICH Veronika (BLR),STRBIKOVA Renata
JOOLA European Nations League Premier 2011,2011-09-05,PAVLOVICH Viktoria,PENKAVOVA Katerina,3,0,,GROUP,OTHER,WT,1971,Main Draw,PAVLOVICH Viktoria (BLR),PENKAVOVA Katerina (CZE),PAVLOVICH Viktoria
JOOLA European Nations League Premier 2011,2011-09-05,DUBKOVA Elena,CECHOVA Dana,3,0,,GROUP,OTHER,WT,1971,Main Draw,DUBKOVA Elena (BLR),CECHOVA Dana (CZE),DUBKOVA Elena
JOOLA European Nations League Premier 2011,2011-09-05,PAVLOVICH Viktoria,STRBIKOVA Renata,3,0,,GROUP,OTHER,WT,1971,Main Draw,PAVLOVICH Viktoria (BLR),STRBIKOVA Renata (CZE),PAVLOVICH Viktoria
JOOLA European Nations League Premier 2011,2011-09-05,PARTYKA Natalia,VOROBEVA Olga,3,0,,GROUP,OTHER,WT,1971,Main Draw,PARTYKA Natalia (POL),VOROBEVA Olga (RUS),PARTYKA Natalia
JOOLA European Nations League Premier 2011,2011-09-05,GANINA Svetlana,GRZYBOWSKA-FRANC Katarzyna,3,0,,GROUP,OTHER,WT,1971,Main Draw,GANINA Svetlana (RUS),GRZYBOWSKA-FRANC Katarzyna (POL),GANINA Svetlana
JOOLA European Nations League Premier 2011,2011-09-05,SZCZERKOWSKA Magdalena,PROKHOROVA Yulia,3,0,,GROUP,OTHER,WT,1971,Main Draw,SZCZERKOWSKA Magdalena (POL),PROKHOROVA Yulia (RUS),SZCZERKOWSKA Magdalena
JOOLA European Nations League Premier 2011,2011-09-05,GANINA Svetlana,PARTYKA Natalia,3,0,,GROUP,OTHER,WT,1971,Main Draw,GANINA Svetlana (RUS),PARTYKA Natalia (POL),GANINA Svetlana
JOOLA European Nations League Premier 2011,2011-09-05,HABESOHN Daniel,FRANZISKA Patrick,3,0,,GROUP,OTHER,MT,1971,Main Draw,HABESOHN Daniel (AUT),FRANZISKA Patrick (GER),HABESOHN Daniel
JOOLA European Nations League Premier 2011,2011-09-05,GARDOS Robert,FEJER-KONNERTH Zoltan,3,0,,GROUP,OTHER,MT,1971,Main Draw,GARDOS Robert (AUT),FEJER-KONNERTH Zoltan (GER),GARDOS Robert
JOOLA European Nations League Premier 2011,2011-09-05,FILUS Ruwen,FEGERL Stefan,3,0,,GROUP,OTHER,MT,1971,Main Draw,FILUS Ruwen (GER),FEGERL Stefan (AUT),FILUS Ruwen
JOOLA European Nations League Premier 2011,2011-09-05,FEJER-KONNERTH Zoltan,HABESOHN Daniel,3,0,,GROUP,OTHER,MT,1971,Main Draw,FEJER-KONNERTH Zoltan (GER),HABESOHN Daniel (AUT),FEJER-KONNERTH Zoltan
JOOLA European Nations League Premier 2011,2011-09-05,VRABLIK Jiri,KARLSSON Mattias,3,0,,GROUP,OTHER,MT,1971,Main Draw,VRABLIK Jiri (CZE),KARLSSON Mattias (SWE),VRABLIK Jiri
JOOLA European Nations League Premier 2011,2011-09-05,LUNDQVIST Jens,SIMONCIK Josef,3,0,,GROUP,OTHER,MT,1971,Main Draw,LUNDQVIST Jens (SWE),SIMONCIK Josef (CZE),LUNDQVIST Jens
JOOLA European Nations League Premier 2011,2011-09-05,KONECNY Tomas,SVENSSON Robert,3,0,,GROUP,OTHER,MT,1971,Main Draw,KONECNY Tomas (CZE),SVENSSON Robert (SWE),KONECNY Tomas
JOOLA European Nations League Premier 2011,2011-09-05,LUNDQVIST Jens,VRABLIK Jiri,3,0,,GROUP,OTHER,MT,1971,Main Draw,LUNDQVIST Jens (SWE),VRABLIK Jiri (CZE),LUNDQVIST Jens
JOOLA European Nations League Premier 2011,2011-09-05,LI Jiao,SAMARA Elizabeta,3,0,,GROUP,OTHER,WT,1971,Main Draw,LI Jiao (NED),SAMARA Elizabeta (ROU),LI Jiao
JOOLA European Nations League Premier 2011,2011-09-05,TIMINA Elena,SZOCS Bernadette,3,0,,GROUP,OTHER,WT,1971,Main Draw,TIMINA Elena (NED),SZOCS Bernadette (ROU),TIMINA Elena
JOOLA European Nations League Premier 2011,2011-09-05,WINTER Sabine,AMBRUS Krisztina,3,0,,GROUP,OTHER,WT,1971,Main Draw,WINTER Sabine (GER),AMBRUS Krisztina (HUN),WINTER Sabine
JOOLA European Nations League Premier 2011,2011-09-05,MADARASZ Dora,BARTHEL Zhenqi,3,0,,GROUP,OTHER,WT,1971,Main Draw,MADARASZ Dora (HUN),BARTHEL Zhenqi (GER),MADARASZ Dora
JOOLA European Nations League Premier 2011,2011-09-05,MUHLBACH Kathrin,TOTH Edina,3,0,,GROUP,OTHER,WT,1971,Main Draw,MUHLBACH Kathrin (GER),TOTH Edina (HUN),MUHLBACH Kathrin
JOOLA European Nations League Premier 2011,2011-09-05,KOSOWSKI Jakub,KOSIBA Daniel,3,0,,GROUP,OTHER,MT,1971,Main Draw,KOSOWSKI Jakub (POL),KOSIBA Daniel (HUN),KOSOWSKI Jakub
