tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
World Tour Australian Open Gold Coast 2017,2017-07-02,CHEN Meng,WANG Manyu,4,2,"3,12,3,12,11,11|11,10,11,10,2,7",F,GRAND_SLAM,WS,460,Main Draw,WANG Manyu (CHN),CHEN Meng (CHN),CHEN Meng
World Tour Australian Open Gold Coast 2017,2017-07-02,TSAO Erny,ZHAO Anthony,3,1,"10,11,11,11|12,1,7,4",R32,GRAND_SLAM,U21MS,460,Main Draw,TSAO Erny (AUS),ZHAO Anthony (AUS),TSAO Erny
World Tour Australian Open Gold Coast 2017,2017-07-02,CHAMBERS Dillon,LITTLER Richard,3,1,"11,11,8,11|4,1,11,6",R32,GRAND_SLAM,U21MS,460,Main Draw,LITTLER Richard (AUS),CHAMBERS Dillon (AUS),CHAMBERS Dillon
World Tour Australian Open Gold Coast 2017,2017-07-02,LYU Zhe,LIANG Mike,3,0,"12,11,11|10,5,8",R32,GRAND_SLAM,U21MS,460,Main Draw,LYU Zhe (AUS),LIANG Mike (AUS),LYU Zhe
World Tour Australian Open Gold Coast 2017,2017-07-02,XU Fred,HOUGHTON Benjamin,3,2,"7,10,11,11,11|11,12,9,9,5",R32,GRAND_SLAM,U21MS,460,Main Draw,XU Fred (AUS),HOUGHTON Benjamin (AUS),XU Fred
World Tour Australian Open Gold Coast 2017,2017-07-02,LIM Jonghoon,TSAO Erny,3,0,"11,11,11|1,7,9",R16,GRAND_SLAM,U21MS,460,Main Draw,LIM Jonghoon (KOR),TSAO Erny (AUS),LIM Jonghoon
World Tour Australian Open Gold Coast 2017,2017-07-02,SUN Chia-Hung,AMOR Kelsey,3,0,"11,11,11|7,2,2",R16,GRAND_SLAM,U21MS,460,Main Draw,AMOR Kelsey (NZL),SUN Chia-Hung (TPE),SUN Chia-Hung
World Tour Australian Open Gold Coast 2017,2017-07-02,LIN Xuqi,HUANG Dominic,3,2,"11,10,9,11,11|8,12,11,9,9",R16,GRAND_SLAM,U21MS,460,Main Draw,HUANG Dominic (AUS),LIN Xuqi (AUS),LIN Xuqi
World Tour Australian Open Gold Coast 2017,2017-07-02,KIM Minhyeok,CHAMBERS Dillon,3,2,"11,13,11,7,11|3,15,4,11,7",R16,GRAND_SLAM,U21MS,460,Main Draw,CHAMBERS Dillon (AUS),KIM Minhyeok (KOR),KIM Minhyeok
World Tour Australian Open Gold Coast 2017,2017-07-02,PARK Ganghyeon,LYU Zhe,3,0,"11,11,11|3,1,3",R16,GRAND_SLAM,U21MS,460,Main Draw,PARK Ganghyeon (KOR),LYU Zhe (AUS),PARK Ganghyeon
World Tour Australian Open Gold Coast 2017,2017-07-02,SHU Dean,LIANG Bob,3,0,"11,14,11|7,12,7",R16,GRAND_SLAM,U21MS,460,Main Draw,LIANG Bob (AUS),SHU Dean (NZL),SHU Dean
World Tour Australian Open Gold Coast 2017,2017-07-02,TANAKA Yuta,DAHL Olav,3,0,"11,11,11|6,3,7",R16,GRAND_SLAM,U21MS,460,Main Draw,TANAKA Yuta (JPN),DAHL Olav (AUS),TANAKA Yuta
