tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
World Tour Australian Open Gold Coast 2017,2017-07-02,CHEN Xingtong/WANG Manyu,HAYATA Hina/ITO Mima,3,1,"9,11,11,11|11,5,3,7",SF,GRAND_SLAM,WD,460,Main Draw,CHEN Xingtong (CHN) / WANG Manyu (CHN),HAYATA Hina (JPN) / ITO Mima (JPN),CHEN Xingtong
World Tour Australian Open Gold Coast 2017,2017-07-02,CHEN Meng/ZHU Yuling,CHEN Xingtong/WANG Manyu,3,0,"11,11,11|8,9,7",F,GRAND_SLAM,WD,460,Main Draw,CHEN Meng (CHN) / ZHU Yuling (MAC),CHEN Xingtong (CHN) / WANG Manyu (CHN),CHEN Meng
World Tour Australian Open Gold Coast 2017,2017-07-02,FLORE Tristan/GAUZY Simon,DUDA Benedikt/KEINATH Thomas,3,1,"11,8,11,11|8,11,2,9",R16,GRAND_SLAM,MD,460,Main Draw,FLORE Tristan (FRA) / GAUZY Simon (FRA),DUDA Benedikt (GER) / KEINATH Thomas (SVK),FLORE Tristan
World Tour Australian Open Gold Coast 2017,2017-07-02,CHEN Chien-An/CHIANG Hung-Chieh,FLORE Tristan/GAUZY Simon,3,1,"5,11,11,11|11,8,7,9",QF,GRAND_SLAM,MD,460,Main Draw,CHEN Chien-An (TPE) / CHIANG Hung-Chieh (TPE),FLORE Tristan (FRA) / GAUZY Simon (FRA),CHEN Chien-An
World Tour Australian Open Gold Coast 2017,2017-07-02,GNANASEKARAN Sathiyan/SHETTY Sanil,POWELL David/TOWNSEND Kane,3,1,"12,7,11,11|10,11,6,7",R16,GRAND_SLAM,MD,460,Main Draw,GNANASEKARAN Sathiyan (IND) / SHETTY Sanil (IND),POWELL David (AUS) / TOWNSEND Kane (AUS),GNANASEKARAN Sathiyan
World Tour Australian Open Gold Coast 2017,2017-07-02,CHEN Chien-An/CHIANG Hung-Chieh,ANTHONY Amalraj/DESAI Harmeet,3,2,"5,6,11,11,11|11,11,7,8,7",R16,GRAND_SLAM,MD,460,Main Draw,CHEN Chien-An (TPE) / CHIANG Hung-Chieh (TPE),ANTHONY Amalraj (IND) / DESAI Harmeet (IND),CHEN Chien-An
World Tour Australian Open Gold Coast 2017,2017-07-02,UEDA Jin/YOSHIMURA Maharu,GNANASEKARAN Sathiyan/SHETTY Sanil,3,2,"11,11,7,6,11|8,9,11,11,5",QF,GRAND_SLAM,MD,460,Main Draw,UEDA Jin (JPN) / YOSHIMURA Maharu (JPN),GNANASEKARAN Sathiyan (IND) / SHETTY Sanil (IND),UEDA Jin
World Tour Australian Open Gold Coast 2017,2017-07-02,MUKHERJEE Sutirtha/SAHASRABUDHE Pooja,CHEN Szu-Yu/CHENG I-Ching,3,0,,R16,GRAND_SLAM,WD,460,Main Draw,MUKHERJEE Sutirtha (IND) / SAHASRABUDHE Pooja (IND),CHEN Szu-Yu (TPE) / CHENG I-Ching (TPE),MUKHERJEE Sutirtha
World Tour Australian Open Gold Coast 2017,2017-07-02,HAYATA Hina/ITO Mima,BATRA Manika/PATKAR Madhurika,3,1,"11,11,11,11|8,13,3,8",R16,GRAND_SLAM,WD,460,Main Draw,HAYATA Hina (JPN) / ITO Mima (JPN),BATRA Manika (IND) / PATKAR Madhurika (IND),HAYATA Hina
World Tour Australian Open Gold Coast 2017,2017-07-02,JANG Woojin/PARK Ganghyeon,HU Heming/YAN Xin,3,0,"11,11,11|8,5,2",QF,GRAND_SLAM,MD,460,Main Draw,JANG Woojin (KOR) / PARK Ganghyeon (KOR),HU Heming (AUS) / YAN Xin (AUS),JANG Woojin
World Tour Australian Open Gold Coast 2017,2017-07-02,JANG Woojin/PARK Ganghyeon,UEDA Jin/YOSHIMURA Maharu,3,0,"11,11,11|9,5,8",SF,GRAND_SLAM,MD,460,Main Draw,JANG Woojin (KOR) / PARK Ganghyeon (KOR),UEDA Jin (JPN) / YOSHIMURA Maharu (JPN),JANG Woojin
World Tour Australian Open Gold Coast 2017,2017-07-02,JANG Woojin/PARK Ganghyeon,CHEN Chien-An/CHIANG Hung-Chieh,3,1,"11,11,11,11|2,13,5,6",F,GRAND_SLAM,MD,460,Main Draw,JANG Woojin (KOR) / PARK Ganghyeon (KOR),CHEN Chien-An (TPE) / CHIANG Hung-Chieh (TPE),JANG Woojin
World Tour Australian Open Gold Coast 2017,2017-07-02,HU Heming/YAN Xin,CHENG Zhiyang/LIU Tengteng,3,0,"11,11,11|5,6,3",R16,GRAND_SLAM,MD,460,Main Draw,HU Heming (AUS) / YAN Xin (AUS),CHENG Zhiyang (NZL) / LIU Tengteng (NZL),HU Heming
World Tour Australian Open Gold Coast 2017,2017-07-02,LEE Chia-Sheng/LIAO Cheng-Ting,AMOR Kelsey/SHU Dean,3,0,"11,11,11|6,4,5",R16,GRAND_SLAM,MD,460,Main Draw,LEE Chia-Sheng (TPE) / LIAO Cheng-Ting (TPE),AMOR Kelsey (NZL) / SHU Dean (NZL),LEE Chia-Sheng
World Tour Australian Open Gold Coast 2017,2017-07-02,UEDA Jin/YOSHIMURA Maharu,DRINKHALL Paul/RUMGAY Gavin,3,2,"11,7,11,4,11|8,11,3,11,8",R16,GRAND_SLAM,MD,460,Main Draw,UEDA Jin (JPN) / YOSHIMURA Maharu (JPN),DRINKHALL Paul (ENG) / RUMGAY Gavin (SCO),UEDA Jin
World Tour Australian Open Gold Coast 2017,2017-07-02,GAO Ning/PANG Xue Jie,CARTER Trent/TOWNSEND Wade,3,0,"11,13,11|4,11,8",R16,GRAND_SLAM,MD,460,Main Draw,GAO Ning (SGP) / PANG Xue Jie (SGP),CARTER Trent (AUS) / TOWNSEND Wade (AUS),GAO Ning
World Tour Australian Open Gold Coast 2017,2017-07-02,GAO Ning/PANG Xue Jie,LEE Chia-Sheng/LIAO Cheng-Ting,3,2,"11,8,11,9,11|8,11,9,11,6",QF,GRAND_SLAM,MD,460,Main Draw,GAO Ning (SGP) / PANG Xue Jie (SGP),LEE Chia-Sheng (TPE) / LIAO Cheng-Ting (TPE),GAO Ning
World Tour Australian Open Gold Coast 2017,2017-07-02,CHEN Chien-An/CHIANG Hung-Chieh,GAO Ning/PANG Xue Jie,3,2,"12,11,8,11,11|14,7,11,4,7",SF,GRAND_SLAM,MD,460,Main Draw,CHEN Chien-An (TPE) / CHIANG Hung-Chieh (TPE),GAO Ning (SGP) / PANG Xue Jie (SGP),CHEN Chien-An
World Tour Australian Open Gold Coast 2017,2017-07-02,FENG Tianwei/YU Mengyu,CAREY Charlotte/REUST Celine,3,0,"11,11,11|4,2,6",R16,GRAND_SLAM,WD,460,Main Draw,FENG Tianwei (SGP) / YU Mengyu (SGP),CAREY Charlotte (WAL) / REUST Celine (SUI),FENG Tianwei
World Tour Australian Open Gold Coast 2017,2017-07-02,LIN Ye/ZHOU Yihan,PENG Kai/ZHU Fiona,3,2,"13,11,9,9,11|11,6,11,11,4",R16,GRAND_SLAM,WD,460,Main Draw,LIN Ye (CAN) / ZHOU Yihan (SGP),PENG Kai (AUS) / ZHU Fiona (AUS),LIN Ye
World Tour Australian Open Gold Coast 2017,2017-07-02,CHEN Xingtong/WANG Manyu,FENG Tianwei/YU Mengyu,3,0,"11,11,11|7,5,5",QF,GRAND_SLAM,WD,460,Main Draw,CHEN Xingtong (CHN) / WANG Manyu (CHN),FENG Tianwei (SGP) / YU Mengyu (SGP),CHEN Xingtong
World Tour Australian Open Gold Coast 2017,2017-07-02,HAYATA Hina/ITO Mima,LIN Ye/ZHOU Yihan,3,0,"11,11,11|9,5,4",QF,GRAND_SLAM,WD,460,Main Draw,HAYATA Hina (JPN) / ITO Mima (JPN),LIN Ye (CAN) / ZHOU Yihan (SGP),HAYATA Hina
