tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
WTT Contender Tunis 2023 Presented by KIA,2023-06-23,LIU Yebo/LIU Weishan,ISHIY Vitor/TAKAHASHI Bruna,3,0,"11,11,11|6,6,6",QF,WTT_CONTENDER,XD,2691,Main Draw,LIU Yebo/LIU Weishan (CHN),ISHIY Vitor/TAKAHASHI Bruna (BRA)
WTT Contender Tunis 2023 Presented by KIA,2023-06-24,LIN Yun-Ju/CHEN Szu-Yu,LIM Jonghoon/SHIN Yubin,3,0,"11,13,11|6,11,9",F,WTT_CONTENDER,XD,2691,Main Draw,LIN Yun-Ju/CHEN Szu-Yu (TPE),LIM Jonghoon/SHIN Yubin (KOR)
WTT Contender Tunis 2023 Presented by KIA,2023-06-24,KALLBERG Anton,FALCK Mattias,3,1,"11,7,11,11|6,11,4,4",SF,WTT_CONTENDER,MS,2691,Main Draw,KALLBERG Anton (SWE),FALCK Mattias (SWE)
WTT Contender Tunis 2023 Presented by KIA,2023-06-24,HARIMOTO Miwa,NAGASAKI Miyu,3,2,"8,11,11,11,13|11,13,7,7,11",SF,WTT_CONTENDER,WS,2691,Main Draw,HARIMOTO Miwa (JPN),NAGASAKI Miyu (JPN)
WTT Contender Tunis 2023 Presented by KIA,2023-06-24,FRANZISKA Patrick,SUN Wen,3,1,"11,6,11,12|5,11,7,10",SF,WTT_CONTENDER,MS,2691,Main Draw,FRANZISKA Patrick (GER),SUN Wen (CHN)
WTT Contender Tunis 2023 Presented by KIA,2023-06-24,SHIN Yubin,TAKAHASHI Bruna,3,0,"11,11,11|4,7,9",SF,WTT_CONTENDER,WS,2691,Main Draw,SHIN Yubin (KOR),TAKAHASHI Bruna (BRA)
WTT Contender Tunis 2023 Presented by KIA,2023-06-24,CHO Seungmin/CHO Daeseong,THAKKAR Manav Vikash/SHAH Manush Utpalbhai,3,0,"11,14,11|3,12,7",SF,WTT_CONTENDER,MD,2691,Main Draw,CHO Seungmin/CHO Daeseong (KOR),THAKKAR Manav Vikash/SHAH Manush Utpalbhai (IND)
WTT Contender Tunis 2023 Presented by KIA,2023-06-24,KIHARA Miyuu/HARIMOTO Miwa,HIRANO Miu/NAGASAKI Miyu,3,1,"11,10,11,11|7,12,8,5",SF,WTT_CONTENDER,WD,2691,Main Draw,KIHARA Miyuu/HARIMOTO Miwa (JPN),HIRANO Miu/NAGASAKI Miyu (JPN)
WTT Contender Tunis 2023 Presented by KIA,2023-06-24,JANG Woojin/PARK Ganghyeon,AN Jaehyun/LIM Jonghoon,3,0,"11,11,12|6,3,10",SF,WTT_CONTENDER,MD,2691,Main Draw,JANG Woojin/PARK Ganghyeon (KOR),AN Jaehyun/LIM Jonghoon (KOR)
WTT Contender Tunis 2023 Presented by KIA,2023-06-24,MUKHERJEE Sutirtha/MUKHERJEE Ayhika,JEON Jihee/SHIN Yubin,3,2,"7,11,11,7,11|11,9,9,11,9",SF,WTT_CONTENDER,WD,2691,Main Draw,MUKHERJEE Sutirtha/MUKHERJEE Ayhika (IND),JEON Jihee/SHIN Yubin (KOR)
WTT Contender Tunis 2023 Presented by KIA,2023-06-24,FALCK Mattias,APOLONIA Tiago,3,1,"6,13,11,11|11,11,7,7",QF,WTT_CONTENDER,MS,2691,Main Draw,FALCK Mattias (SWE),APOLONIA Tiago (POR)
WTT Contender Tunis 2023 Presented by KIA,2023-06-24,SUN Wen,AKKUZU Can,3,0,"11,11,11|9,7,6",QF,WTT_CONTENDER,MS,2691,Main Draw,SUN Wen (CHN),AKKUZU Can (FRA)
WTT Contender Tunis 2023 Presented by KIA,2023-06-24,TAKAHASHI Bruna,HIRANO Miu,3,1,"11,9,11,13|9,11,9,11",QF,WTT_CONTENDER,WS,2691,Main Draw,TAKAHASHI Bruna (BRA),HIRANO Miu (JPN)
WTT Contender Tunis 2023 Presented by KIA,2023-06-24,NAGASAKI Miyu,KIHARA Miyuu,3,2,"4,5,11,11,11|11,11,8,7,4",QF,WTT_CONTENDER,WS,2691,Main Draw,NAGASAKI Miyu (JPN),KIHARA Miyuu (JPN)
WTT Contender Tunis 2023 Presented by KIA,2023-06-24,FRANZISKA Patrick,OIKAWA Mizuki,3,2,"8,12,3,11,11|11,10,11,9,9",QF,WTT_CONTENDER,MS,2691,Main Draw,FRANZISKA Patrick (GER),OIKAWA Mizuki (JPN)
WTT Contender Tunis 2023 Presented by KIA,2023-06-24,KALLBERG Anton,LIANG Yanning,3,2,"5,11,11,9,11|11,9,9,11,4",QF,WTT_CONTENDER,MS,2691,Main Draw,KALLBERG Anton (SWE),LIANG Yanning (CHN)
WTT Contender Tunis 2023 Presented by KIA,2023-06-24,HARIMOTO Miwa,YANG Ha Eun,3,1,"8,11,11,11|11,6,6,3",QF,WTT_CONTENDER,WS,2691,Main Draw,HARIMOTO Miwa (JPN),YANG Ha Eun (KOR)
WTT Contender Tunis 2023 Presented by KIA,2023-06-24,SHIN Yubin,YANG Yiyun,3,0,"11,11,11|8,6,5",QF,WTT_CONTENDER,WS,2691,Main Draw,SHIN Yubin (KOR),YANG Yiyun (CHN)
WTT Contender Tunis 2023 Presented by KIA,2023-06-25,JANG Woojin/PARK Ganghyeon,CHO Seungmin/CHO Daeseong,3,2,"11,8,5,12,11|9,11,11,10,5",F,WTT_CONTENDER,MD,2691,Main Draw,JANG Woojin/PARK Ganghyeon (KOR),CHO Seungmin/CHO Daeseong (KOR)
WTT Contender Tunis 2023 Presented by KIA,2023-06-25,MUKHERJEE Sutirtha/MUKHERJEE Ayhika,KIHARA Miyuu/HARIMOTO Miwa,3,1,"11,11,5,13|5,6,11,11",F,WTT_CONTENDER,WD,2691,Main Draw,MUKHERJEE Sutirtha/MUKHERJEE Ayhika (IND),KIHARA Miyuu/HARIMOTO Miwa (JPN)
WTT Contender Tunis 2023 Presented by KIA,2023-06-25,KALLBERG Anton,FRANZISKA Patrick,4,1,"17,11,14,10,11|15,7,12,12,9",F,WTT_CONTENDER,MS,2691,Main Draw,KALLBERG Anton (SWE),FRANZISKA Patrick (GER)
WTT Contender Tunis 2023 Presented by KIA,2023-06-25,HARIMOTO Miwa,SHIN Yubin,4,2,"11,11,11,7,7,11|8,5,9,11,11,8",F,WTT_CONTENDER,WS,2691,Main Draw,HARIMOTO Miwa (JPN),SHIN Yubin (KOR)
