tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
WTT Contender Tunis 2023 Presented by KIA,2023-06-20,WOO Hyeonggyu,ALIM Azzam,3,0,"11,11,12|1,9,10",,WTT_CONTENDER,MS,2691,Qualification,WOO Hyeonggyu (KOR),ALIM Azzam (KSA)
WTT Contender Tunis 2023 Presented by KIA,2023-06-20,AIDA Satoshi,PICARD Vincent,3,2,"11,6,7,11,13|9,11,11,9,11",,WTT_CONTENDER,MS,2691,Qualification,AIDA Satoshi (JPN),PICARD Vincent (FRA)
WTT Contender Tunis 2023 Presented by KIA,2023-06-20,WANG Xiaotong,GUISNEL Oceane,3,0,"11,11,11|9,6,9",,WTT_CONTENDER,WS,2691,Qualification,WANG Xiaotong (CHN),GUISNEL Oceane (FRA)
WTT Contender Tunis 2023 Presented by KIA,2023-06-20,CHEN Yuanyu,BEN ATTIA Youssef,3,0,"11,11,11|5,8,7",,WTT_CONTENDER,MS,2691,Qualification,CHEN Yuanyu (CHN),BEN ATTIA Youssef (TUN)
WTT Contender Tunis 2023 Presented by KIA,2023-06-20,TSCHANZ Cedric,KENZHIGULOV Dastan,3,0,"11,11,11|4,7,9",,WTT_CONTENDER,MS,2691,Qualification,TSCHANZ Cedric (SUI),KENZHIGULOV Dastan (KAZ)
WTT Contender Tunis 2023 Presented by KIA,2023-06-20,JIN Takuya,THAKKAR Manav Vikash,3,1,"6,13,11,11|11,11,7,8",,WTT_CONTENDER,MS,2691,Qualification,JIN Takuya (JPN),THAKKAR Manav Vikash (IND)
WTT Contender Tunis 2023 Presented by KIA,2023-06-20,HODAEI Amir Hossein,KHEROUF Sami,3,0,"11,11,11|9,4,8",,WTT_CONTENDER,MS,2691,Qualification,HODAEI Amir Hossein (IRI),KHEROUF Sami (ALG)
WTT Contender Tunis 2023 Presented by KIA,2023-06-20,ROLLAND Jules,ALMUTAIRI Turki,3,0,"11,11,11|7,3,8",,WTT_CONTENDER,MS,2691,Qualification,ROLLAND Jules (FRA),ALMUTAIRI Turki (KSA)
WTT Contender Tunis 2023 Presented by KIA,2023-06-20,PARK Ganghyeon,NARESH Sid,3,0,"11,11,11|6,8,8",,WTT_CONTENDER,MS,2691,Qualification,PARK Ganghyeon (KOR),NARESH Sid (USA)
WTT Contender Tunis 2023 Presented by KIA,2023-06-20,LIU Dingshuo/HE Zhuojia,PARK Ganghyeon/YANG Ha Eun,3,1,"14,10,11,11|12,12,7,3",,WTT_CONTENDER,XD,2691,Qualification,LIU Dingshuo/HE Zhuojia (CHN),PARK Ganghyeon/YANG Ha Eun (KOR)
WTT Contender Tunis 2023 Presented by KIA,2023-06-20,LY Edward/COK Isa,BOURASS Aboubaker/GARCI Fadwa,3,0,"11,12,13|3,10,11",,WTT_CONTENDER,XD,2691,Qualification,LY Edward/COK Isa (CAN/FRA),BOURASS Aboubaker/GARCI Fadwa (TUN)
WTT Contender Tunis 2023 Presented by KIA,2023-06-21,MEISSNER Cedric,SEYFRIED Joe,3,2,"7,11,9,11,11|11,3,11,6,7",,WTT_CONTENDER,MS,2691,Qualification,MEISSNER Cedric (GER),SEYFRIED Joe (FRA)
WTT Contender Tunis 2023 Presented by KIA,2023-06-21,CHO Daeseong,MENG Fanbo,3,1,"11,11,6,12|8,3,11,10",,WTT_CONTENDER,MS,2691,Qualification,CHO Daeseong (KOR),MENG Fanbo (GER)
WTT Contender Tunis 2023 Presented by KIA,2023-06-21,JIN Takuya,HODAEI Amir Hossein,3,2,"8,7,11,14,11|11,11,2,12,7",,WTT_CONTENDER,MS,2691,Qualification,JIN Takuya (JPN),HODAEI Amir Hossein (IRI)
WTT Contender Tunis 2023 Presented by KIA,2023-06-21,SUN Wen,OH Junsung,3,0,"11,12,16|8,10,14",,WTT_CONTENDER,MS,2691,Qualification,SUN Wen (CHN),OH Junsung (KOR)
WTT Contender Tunis 2023 Presented by KIA,2023-06-21,HUANG Yan-Cheng,LIANG Jishan,3,0,"11,11,11|1,9,7",,WTT_CONTENDER,MS,2691,Qualification,HUANG Yan-Cheng (TPE),LIANG Jishan (USA)
WTT Contender Tunis 2023 Presented by KIA,2023-06-21,DIAW Ibrahima,ZELINKA Jakub,3,2,"7,11,5,11,11|11,8,11,5,8",,WTT_CONTENDER,MS,2691,Qualification,DIAW Ibrahima (SEN),ZELINKA Jakub (SVK)
WTT Contender Tunis 2023 Presented by KIA,2023-06-21,AIDA Satoshi,CHEN Yuanyu,3,1,"13,11,8,11|11,7,11,5",,WTT_CONTENDER,MS,2691,Qualification,AIDA Satoshi (JPN),CHEN Yuanyu (CHN)
WTT Contender Tunis 2023 Presented by KIA,2023-06-21,LAMBIET Florent,JOUTI Eric,3,2,"11,11,7,8,11|4,6,11,11,8",,WTT_CONTENDER,MS,2691,Qualification,LAMBIET Florent (BEL),JOUTI Eric (BRA)
WTT Contender Tunis 2023 Presented by KIA,2023-06-21,YANG Ha Eun,ZANG Xiaotong,3,1,"11,8,11,11|8,11,6,5",,WTT_CONTENDER,WS,2691,Qualification,YANG Ha Eun (KOR),ZANG Xiaotong (CHN)
WTT Contender Tunis 2023 Presented by KIA,2023-06-21,COK Isa,RAKOVAC Lea,3,2,"6,13,11,3,11|11,11,7,11,7",,WTT_CONTENDER,WS,2691,Qualification,COK Isa (FRA),RAKOVAC Lea (CRO)
WTT Contender Tunis 2023 Presented by KIA,2023-06-21,CHASSELIN Pauline,ZARIF Audrey,3,1,"11,6,11,11|9,11,6,9",,WTT_CONTENDER,WS,2691,Qualification,CHASSELIN Pauline (FRA),ZARIF Audrey (FRA)
WTT Contender Tunis 2023 Presented by KIA,2023-06-21,YOON Hyobin,KIM Seoyun,3,0,"11,11,11|6,5,5",,WTT_CONTENDER,WS,2691,Qualification,YOON Hyobin (KOR),KIM Seoyun (KOR)
WTT Contender Tunis 2023 Presented by KIA,2023-06-21,WANG Xiaotong,LAM Yee Lok,3,2,"11,5,9,11,11|5,11,11,7,7",,WTT_CONTENDER,WS,2691,Qualification,WANG Xiaotong (CHN),LAM Yee Lok (HKG)
WTT Contender Tunis 2023 Presented by KIA,2023-06-21,YANG Yiyun,GUO Yuhan,3,0,"11,11,11|9,8,8",,WTT_CONTENDER,WS,2691,Qualification,YANG Yiyun (CHN),GUO Yuhan (CHN)
WTT Contender Tunis 2023 Presented by KIA,2023-06-21,CHITALE Diya Parag,MUKHERJEE Ayhika,3,0,"11,11,11|7,5,6",,WTT_CONTENDER,WS,2691,Qualification,CHITALE Diya Parag (IND),MUKHERJEE Ayhika (IND)
WTT Contender Tunis 2023 Presented by KIA,2023-06-21,AKULA Sreeja,SUNG Rachel,3,0,"11,11,13|4,5,11",,WTT_CONTENDER,WS,2691,Qualification,AKULA Sreeja (IND),SUNG Rachel (USA)
