tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
Chile Open Santiago 2004,2004-06-16,KREANGA Kalinikos,MARTINEZ Rodrigo,4,0,"11,11,11,13|5,9,5,11",R64,GRAND_SLAM,MS,1683,Main Draw,KREANGA Kalinikos (GRE),MARTINEZ Rodrigo (CHI)
Chile Open Santiago 2004,2004-06-16,KLASEK Marek,RODRIGUEZ Alejandro,4,0,"11,11,11,11|8,9,5,7",R16,GRAND_SLAM,MS,1683,Main Draw,KLASEK Marek (CZE),RODRIGUEZ Alejandro (CHI)
Chile Open Santiago 2004,2004-06-16,KREANGA Kalinikos,MONTEIRO Thiago,4,1,"11,9,11,11,11|2,11,6,8,8",QF,GRAND_SLAM,MS,1683,Main Draw,KREANGA Kalinikos (GRE),MONTEIRO Thiago (BRA)
Chile Open Santiago 2004,2004-06-16,KEINATH Thomas,ERLANDSEN Geir,4,2,"11,12,11,9,9,11|5,10,6,11,11,6",QF,GRAND_SLAM,MS,1683,Main Draw,KEINATH Thomas (SVK),ERLANDSEN Geir (NOR)
Chile Open Santiago 2004,2004-06-16,GARDOS Robert,CARNEROS Alfredo,4,3,"11,11,10,7,10,11,11|5,9,12,11,12,3,6",QF,GRAND_SLAM,MS,1683,Main Draw,GARDOS Robert (AUT),CARNEROS Alfredo (ESP)
Chile Open Santiago 2004,2004-06-16,KLASEK Marek,PICHLER Michael,4,1,"9,11,11,11,12|11,5,2,6,10",QF,GRAND_SLAM,MS,1683,Main Draw,KLASEK Marek (CZE),PICHLER Michael (AUT)
Chile Open Santiago 2004,2004-06-16,KREANGA Kalinikos,KEINATH Thomas,4,1,"11,9,11,11,11|3,11,7,7,5",SF,GRAND_SLAM,MS,1683,Main Draw,KREANGA Kalinikos (GRE),KEINATH Thomas (SVK)
Chile Open Santiago 2004,2004-06-16,KLASEK Marek,GARDOS Robert,4,2,"11,11,8,11,9,11|8,5,11,4,11,9",SF,GRAND_SLAM,MS,1683,Main Draw,KLASEK Marek (CZE),GARDOS Robert (AUT)
Chile Open Santiago 2004,2004-06-16,KREANGA Kalinikos,KLASEK Marek,4,3,"10,8,13,11,11,11,11|12,11,15,9,9,4,8",F,GRAND_SLAM,MS,1683,Main Draw,KREANGA Kalinikos (GRE),KLASEK Marek (CZE)
Chile Open Santiago 2004,2004-06-16,FLORES Patricio,BASALETTI Carlos,4,0,"11,11,11,11|5,7,4,5",QR2,GRAND_SLAM,MS,1683,Qualification,FLORES Patricio (CHI),BASALETTI Carlos (CHI)
Chile Open Santiago 2004,2004-06-16,CORTES Andres,BASALETTI Carlos,4,0,"11,11,11,11|3,2,5,6",3,GRAND_SLAM,MS,1683,Qualification,CORTES Andres (CHI),BASALETTI Carlos (CHI)
Chile Open Santiago 2004,2004-06-16,CHIU Carlos Alfonso,MANCIAT David,4,1,"11,7,11,11,14|6,11,4,7,12",,GRAND_SLAM,MS,1683,Qualification,CHIU Carlos Alfonso (MEX),MANCIAT David (CHI)
Chile Open Santiago 2004,2004-06-16,MANCIAT David,CONTRERAS Matias,4,3,"12,12,11,8,11,12,13|10,14,9,11,8,14,11",QR2,GRAND_SLAM,MS,1683,Qualification,MANCIAT David (CHI),CONTRERAS Matias (CHI)
Chile Open Santiago 2004,2004-06-16,CONTRERAS Matias,CHIU Carlos Alfonso,4,0,"11,11,11,11|4,9,8,6",3,GRAND_SLAM,MS,1683,Qualification,CONTRERAS Matias (CHI),CHIU Carlos Alfonso (MEX)
Chile Open Santiago 2004,2004-06-16,ACUNA Felipe,GRECO Juan,4,0,"11,11,11,11|1,6,5,5",3,GRAND_SLAM,MS,1683,Qualification,ACUNA Felipe (CHI),GRECO Juan (ARG)
Chile Open Santiago 2004,2004-06-16,FERNANDEZ Emiliano,ZARATE Juan Carlos,4,0,"11,11,11,11|3,9,7,6",,GRAND_SLAM,MS,1683,Qualification,FERNANDEZ Emiliano (URU),ZARATE Juan Carlos (CHI)
Chile Open Santiago 2004,2004-06-16,LEVIS Bruno,ZARATE Juan Carlos,4,0,"11,11,11,11|6,1,4,5",QR2,GRAND_SLAM,MS,1683,Qualification,LEVIS Bruno (CHI),ZARATE Juan Carlos (CHI)
Chile Open Santiago 2004,2004-06-16,LEVIS Bruno,FERNANDEZ Emiliano,4,1,"11,12,11,6,11|9,10,9,11,9",3,GRAND_SLAM,MS,1683,Qualification,LEVIS Bruno (CHI),FERNANDEZ Emiliano (URU)
Chile Open Santiago 2004,2004-06-16,CAMPUSANO Guillermo,VERGARA Alexis,4,1,"11,11,8,11,11|8,6,11,3,7",,GRAND_SLAM,MS,1683,Qualification,CAMPUSANO Guillermo (CHI),VERGARA Alexis (CHI)
Chile Open Santiago 2004,2004-06-16,JOFRE Marcelo,VERGARA Alexis,4,3,"14,8,11,9,8,11,11|12,11,8,11,11,6,4",QR2,GRAND_SLAM,MS,1683,Qualification,JOFRE Marcelo (CHI),VERGARA Alexis (CHI)
Chile Open Santiago 2004,2004-06-16,OPAZO Rodrigo,FUENZALIDA Cristian,4,1,"11,11,11,11,11|13,6,3,2,9",QR2,GRAND_SLAM,MS,1683,Qualification,OPAZO Rodrigo (CHI),FUENZALIDA Cristian (CHI)
Chile Open Santiago 2004,2004-06-16,NAVAS Marco,SANDOVAL Rodrigo,4,0,"11,11,11,11|8,6,8,7",,GRAND_SLAM,MS,1683,Qualification,NAVAS Marco (VEN),SANDOVAL Rodrigo (CHI)
Chile Open Santiago 2004,2004-06-16,GONZALEZ Felipe,SANDOVAL Rodrigo,4,2,"11,7,4,12,11,11|5,11,11,10,7,8",QR2,GRAND_SLAM,MS,1683,Qualification,GONZALEZ Felipe (CHI),SANDOVAL Rodrigo (CHI)
Chile Open Santiago 2004,2004-06-16,NAVAS Marco,GONZALEZ Felipe,4,0,"11,11,11,13|7,9,5,11",3,GRAND_SLAM,MS,1683,Qualification,NAVAS Marco (VEN),GONZALEZ Felipe (CHI)
Chile Open Santiago 2004,2004-06-16,VIAL Gonzalo,DECAP Julio,4,0,"11,11,11,11|4,5,6,8",,GRAND_SLAM,MS,1683,Qualification,VIAL Gonzalo (CHI),DECAP Julio (CHI)
Chile Open Santiago 2004,2004-06-16,GONZALES Rudy,VIAL Gonzalo,4,1,"9,11,11,13,11|11,9,6,11,1",QR2,GRAND_SLAM,MS,1683,Qualification,GONZALES Rudy (CHI),VIAL Gonzalo (CHI)
Chile Open Santiago 2004,2004-06-16,GONZALES Rudy,DECAP Julio,4,0,"11,11,11,11|0,0,4,4",3,GRAND_SLAM,MS,1683,Qualification,GONZALES Rudy (CHI),DECAP Julio (CHI)
Chile Open Santiago 2004,2004-06-16,QUIROZ Rodrigo,BRAVO Sergio,4,0,"11,11,11,11|4,9,8,8",,GRAND_SLAM,MS,1683,Qualification,QUIROZ Rodrigo (CHI),BRAVO Sergio (CHI)
Chile Open Santiago 2004,2004-06-16,QUIROZ Rodrigo,FERNANDEZ Marcelo,4,1,"11,11,11,8,11|5,8,5,11,4",QR2,GRAND_SLAM,MS,1683,Qualification,QUIROZ Rodrigo (CHI),FERNANDEZ Marcelo (CHI)
Chile Open Santiago 2004,2004-06-16,BRAVO Sergio,FERNANDEZ Marcelo,4,1,"11,11,11,7,11|9,4,8,11,5",3,GRAND_SLAM,MS,1683,Qualification,BRAVO Sergio (CHI),FERNANDEZ Marcelo (CHI)
Chile Open Santiago 2004,2004-06-16,BELTRAN Jorge,FREDES Rafael,4,0,"11,11,11,11|3,8,6,5",3,GRAND_SLAM,MS,1683,Qualification,BELTRAN Jorge (CHI),FREDES Rafael (CHI)
Chile Open Santiago 2004,2004-06-16,CARTAGENA Christopher,SOTO Ricardo,4,2,"8,13,7,11,11,11|11,11,11,6,3,8",,GRAND_SLAM,MS,1683,Qualification,CARTAGENA Christopher (CHI),SOTO Ricardo (CHI)
Chile Open Santiago 2004,2004-06-16,SOTO Ricardo,GUAJARDO Gonzalo,4,0,"12,11,11,11|10,6,7,7",QR2,GRAND_SLAM,MS,1683,Qualification,SOTO Ricardo (CHI),GUAJARDO Gonzalo (CHI)
Chile Open Santiago 2004,2004-06-16,CARTAGENA Christopher,GUAJARDO Gonzalo,4,1,"11,11,11,11,12|8,7,13,8,10",3,GRAND_SLAM,MS,1683,Qualification,CARTAGENA Christopher (CHI),GUAJARDO Gonzalo (CHI)
Chile Open Santiago 2004,2004-06-16,SZENFELD Jorge,ASTUDILLOS Marcos,4,0,"11,11,11,11|5,7,5,7",,GRAND_SLAM,MS,1683,Qualification,SZENFELD Jorge (CHI),ASTUDILLOS Marcos (CHI)
Chile Open Santiago 2004,2004-06-16,SZENFELD Jorge,LOW Raul,4,0,"11,11,13,11|5,8,11,6",QR2,GRAND_SLAM,MS,1683,Qualification,SZENFELD Jorge (CHI),LOW Raul (CHI)
Chile Open Santiago 2004,2004-06-16,ASTUDILLOS Marcos,LOW Raul,4,3,"11,11,12,5,8,7,14|2,7,10,11,11,11,12",3,GRAND_SLAM,MS,1683,Qualification,ASTUDILLOS Marcos (CHI),LOW Raul (CHI)
Chile Open Santiago 2004,2004-06-16,CARLIER Andres,SALAS Guillermo,4,1,"11,10,11,11,11|9,12,4,7,7",,GRAND_SLAM,MS,1683,Qualification,CARLIER Andres (CHI),SALAS Guillermo (CHI)
Chile Open Santiago 2004,2004-06-16,MARTINEZ Rodrigo,SALAS Guillermo,4,0,"11,12,11,11|4,10,6,9",QR2,GRAND_SLAM,MS,1683,Qualification,MARTINEZ Rodrigo (CHI),SALAS Guillermo (CHI)
Chile Open Santiago 2004,2004-06-16,CARLIER Andres,MARTINEZ Rodrigo,4,3,"11,8,11,12,11,7,11|5,11,2,14,4,11,4",3,GRAND_SLAM,MS,1683,Qualification,CARLIER Andres (CHI),MARTINEZ Rodrigo (CHI)
Chile Open Santiago 2004,2004-06-16,NEIRA Marco,DIAZ Gerardo,4,3,"8,11,12,12,9,11,11|11,3,10,10,11,13,7",,GRAND_SLAM,MS,1683,Qualification,NEIRA Marco (CHI),DIAZ Gerardo (CHI)
Chile Open Santiago 2004,2004-06-16,NEIRA Marco,LARA Ricardo,4,3,"11,10,11,11,7,11,11|9,12,8,13,11,6,7",QR2,GRAND_SLAM,MS,1683,Qualification,NEIRA Marco (CHI),LARA Ricardo (CHI)
Chile Open Santiago 2004,2004-06-16,LARA Ricardo,DIAZ Gerardo,4,0,"11,11,11,11|4,4,4,8",3,GRAND_SLAM,MS,1683,Qualification,LARA Ricardo (CHI),DIAZ Gerardo (CHI)
Chile Open Santiago 2004,2004-06-16,GAETE Pablo,ALAMOS Pedro,4,0,"11,11,11,11|6,9,6,6",3,GRAND_SLAM,MS,1683,Qualification,GAETE Pablo (CHI),ALAMOS Pedro (CHI)
Chile Open Santiago 2004,2004-06-16,ALVEAR Julian,TILLERIAS Rodrigo,4,1,"11,13,10,11,11|8,11,12,3,8",,GRAND_SLAM,MS,1683,Qualification,ALVEAR Julian (CHI),TILLERIAS Rodrigo (CHI)
Chile Open Santiago 2004,2004-06-16,NILO Felipe,FREDES Luis,4,3,"11,11,12,8,17,10,11|7,13,10,11,15,12,7",QR2,GRAND_SLAM,MS,1683,Qualification,NILO Felipe (CHI),FREDES Luis (CHI)
Chile Open Santiago 2004,2004-06-16,PINTO Martin,COLLIO Fernando,4,2,"10,12,11,4,11,11|12,10,8,11,4,7",,GRAND_SLAM,MS,1683,Qualification,PINTO Martin (CHI),COLLIO Fernando (CHI)
Chile Open Santiago 2004,2004-06-16,PINTO Martin,LABARCA Nicolas,4,3,"2,11,11,14,8,9,11|11,9,5,12,11,11,8",QR2,GRAND_SLAM,MS,1683,Qualification,PINTO Martin (CHI),LABARCA Nicolas (CHI)
Chile Open Santiago 2004,2004-06-16,LABARCA Nicolas,COLLIO Fernando,4,2,"11,9,11,10,11,11|7,11,9,12,5,9",3,GRAND_SLAM,MS,1683,Qualification,LABARCA Nicolas (CHI),COLLIO Fernando (CHI)
Chile Open Santiago 2004,2004-06-16,COELLO Geovanny,MAUREIRA Raul,4,1,"6,11,11,11,11|11,6,7,9,5",,GRAND_SLAM,MS,1683,Qualification,COELLO Geovanny (ECU),MAUREIRA Raul (CHI)
Chile Open Santiago 2004,2004-06-16,FLORES Jose Manuel,MAUREIRA Raul,4,1,"11,11,11,11,11|6,13,7,5,6",QR2,GRAND_SLAM,MS,1683,Qualification,FLORES Jose Manuel (CHI),MAUREIRA Raul (CHI)
Chile Open Santiago 2004,2004-06-16,COELLO Geovanny,FLORES Jose Manuel,4,0,"11,11,11,11|7,8,9,7",3,GRAND_SLAM,MS,1683,Qualification,COELLO Geovanny (ECU),FLORES Jose Manuel (CHI)
Chile Open Santiago 2004,2004-06-16,TOTH Krisztina,ISLA Yurisam,4,0,"11,11,11,11|1,0,3,2",R32,GRAND_SLAM,WS,1683,Main Draw,TOTH Krisztina (HUN),ISLA Yurisam (CHI)
Chile Open Santiago 2004,2004-06-16,SILVA Ligia,GOMEZ Giovanna,4,0,"11,11,11,11|6,7,8,8",R32,GRAND_SLAM,WS,1683,Main Draw,SILVA Ligia (BRA),GOMEZ Giovanna (CHI)
Chile Open Santiago 2004,2004-06-16,VEGA Paulina,DUARTE Paola,4,0,"11,11,11,11|3,5,8,6",R32,GRAND_SLAM,WS,1683,Main Draw,VEGA Paulina (CHI),DUARTE Paola (CHI)
Chile Open Santiago 2004,2004-06-16,FAZEKAS Maria,CASTILLO Camila,4,0,"11,11,11,11|3,4,3,2",R32,GRAND_SLAM,WS,1683,Main Draw,FAZEKAS Maria (HUN),CASTILLO Camila (CHI)
Chile Open Santiago 2004,2004-06-16,NEGRISOLI Laura,CONCHA Romina,4,0,"11,11,11,11|5,7,3,5",R32,GRAND_SLAM,WS,1683,Main Draw,NEGRISOLI Laura (ITA),CONCHA Romina (CHI)
Chile Open Santiago 2004,2004-06-16,KERTAI Rita,CASTELLANO Natalia,4,3,"11,11,8,10,11,10,12|9,9,11,12,5,12,10",R32,GRAND_SLAM,WS,1683,Main Draw,KERTAI Rita (HUN),CASTELLANO Natalia (CHI)
Chile Open Santiago 2004,2004-06-16,LOVAS Petra,RUZ Angela,4,0,"11,11,11,11|8,9,1,2",R32,GRAND_SLAM,WS,1683,Main Draw,LOVAS Petra (HUN),RUZ Angela (CHI)
Chile Open Santiago 2004,2004-06-16,STEFANOVA Nikoleta,ARENAS Carmen Paz,4,0,"11,11,11,11|2,5,1,5",R32,GRAND_SLAM,WS,1683,Main Draw,STEFANOVA Nikoleta (ITA),ARENAS Carmen Paz (CHI)
Chile Open Santiago 2004,2004-06-16,BATORFI Csilla,LOYOLA Fernanda,4,0,"11,11,11,11|3,3,2,1",R32,GRAND_SLAM,WS,1683,Main Draw,BATORFI Csilla (HUN),LOYOLA Fernanda (CHI)
