tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
WTT Champions Chongqing 2026 Presented by AITO,2026-03-13,HARIMOTO Miwa,HURSEY Anna,3,0,"13,12,11|11,10,7",R16,WTT_CHAMPIONS,WS,3235,Main Draw,HARIMOTO Miwa (JPN),HURSEY Anna (WAL)
WTT Champions Chongqing 2026 Presented by AITO,2026-03-13,LIN Yun-Ju,ZHOU Qihao,3,1,"11,11,6,11|3,5,11,7",R16,WTT_CHAMPIONS,MS,3235,Main Draw,LIN Yun-Ju (TPE),ZHOU Qihao (CHN)
WTT Champions Chongqing 2026 Presented by AITO,2026-03-13,ODO Satsuki,CHENG I-Ching,3,1,"9,11,16,11|11,3,14,9",R16,WTT_CHAMPIONS,WS,3235,Main Draw,ODO Satsuki (JPN),CHENG I-Ching (TPE)
WTT Champions Chongqing 2026 Presented by AITO,2026-03-14,LEBRUN Felix,CALDERANO Hugo,4,3,"10,11,10,10,11,13,13|12,9,12,12,8,11,11",QF,WTT_CHAMPIONS,MS,3235,Main Draw,LEBRUN Felix (FRA),CALDERANO Hugo (BRA)
WTT Champions Chongqing 2026 Presented by AITO,2026-03-14,HARIMOTO Miwa,SHI Xunyao,4,2,"11,9,11,11,9,11|5,11,1,9,11,9",QF,WTT_CHAMPIONS,WS,3235,Main Draw,HARIMOTO Miwa (JPN),SHI Xunyao (CHN)
WTT Champions Chongqing 2026 Presented by AITO,2026-03-14,MATSUSHIMA Sora,WANG Chuqin,4,2,"8,11,11,11,8,11|11,9,9,8,11,9",QF,WTT_CHAMPIONS,MS,3235,Main Draw,MATSUSHIMA Sora (JPN),WANG Chuqin (CHN)
WTT Champions Chongqing 2026 Presented by AITO,2026-03-14,ODO Satsuki,CHEN Yi,4,3,"11,12,11,11,5,7,12|6,14,6,7,11,11,10",QF,WTT_CHAMPIONS,WS,3235,Main Draw,ODO Satsuki (JPN),CHEN Yi (CHN)
WTT Champions Chongqing 2026 Presented by AITO,2026-03-14,HARIMOTO Tomokazu,LIN Yun-Ju,4,2,"11,5,11,2,11,11|8,11,9,11,7,6",QF,WTT_CHAMPIONS,MS,3235,Main Draw,HARIMOTO Tomokazu (JPN),LIN Yun-Ju (TPE)
WTT Champions Chongqing 2026 Presented by AITO,2026-03-14,KUAI Man,SUN Yingsha,4,2,"6,11,16,11,9,11|11,7,14,7,11,2",QF,WTT_CHAMPIONS,WS,3235,Main Draw,KUAI Man (CHN),SUN Yingsha (CHN)
WTT Champions Chongqing 2026 Presented by AITO,2026-03-14,WEN Ruibo,QIU Dang,4,2,"11,11,12,8,5,14|4,7,10,11,11,12",QF,WTT_CHAMPIONS,MS,3235,Main Draw,WEN Ruibo (CHN),QIU Dang (GER)
WTT Champions Chongqing 2026 Presented by AITO,2026-03-14,WANG Yidi,SHIN Yubin,4,3,"11,11,11,10,7,6,11|7,5,6,12,11,11,2",QF,WTT_CHAMPIONS,WS,3235,Main Draw,WANG Yidi (CHN),SHIN Yubin (KOR)
WTT Champions Chongqing 2026 Presented by AITO,2026-03-15,KUAI Man,WANG Yidi,4,1,"13,11,11,8,11|11,6,8,11,6",SF,WTT_CHAMPIONS,WS,3235,Main Draw,KUAI Man (CHN),WANG Yidi (CHN)
WTT Champions Chongqing 2026 Presented by AITO,2026-03-15,LEBRUN Felix,WEN Ruibo,4,1,"11,11,9,11,13|5,8,11,7,11",F,WTT_CHAMPIONS,MS,3235,Main Draw,LEBRUN Felix (FRA),WEN Ruibo (CHN)
WTT Champions Chongqing 2026 Presented by AITO,2026-03-15,HARIMOTO Miwa,KUAI Man,4,3,"11,9,7,11,11,9,11|6,11,11,9,6,11,5",F,WTT_CHAMPIONS,WS,3235,Main Draw,HARIMOTO Miwa (JPN),KUAI Man (CHN)
WTT Champions Chongqing 2026 Presented by AITO,2026-03-15,WEN Ruibo,HARIMOTO Tomokazu,4,2,"6,15,11,7,11,21|11,13,5,11,7,19",SF,WTT_CHAMPIONS,MS,3235,Main Draw,WEN Ruibo (CHN),HARIMOTO Tomokazu (JPN)
WTT Champions Chongqing 2026 Presented by AITO,2026-03-15,LEBRUN Felix,MATSUSHIMA Sora,4,3,"7,11,9,11,11,11,11|11,8,11,13,6,6,6",SF,WTT_CHAMPIONS,MS,3235,Main Draw,LEBRUN Felix (FRA),MATSUSHIMA Sora (JPN)
WTT Champions Chongqing 2026 Presented by AITO,2026-03-15,HARIMOTO Miwa,ODO Satsuki,4,1,"8,11,11,11,13|11,6,9,2,11",SF,WTT_CHAMPIONS,WS,3235,Main Draw,HARIMOTO Miwa (JPN),ODO Satsuki (JPN)
