tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
World Table Tennis Championships Dusseldorf 2017,2017-05-29,MA Long,BOBOCICA Mihai,4,0,"11,11,11,11|9,5,5,5",R128,WORLD_CHAMPIONSHIPS,MS,472,Main Draw,MA Long (CHN),BOBOCICA Mihai (ITA)
World Table Tennis Championships Dusseldorf 2017,2017-05-29,HARIMOTO Tomokazu,NUYTINCK Cedric,4,0,"11,11,11,11|8,9,3,7",R128,WORLD_CHAMPIONSHIPS,MS,472,Main Draw,NUYTINCK Cedric (BEL),HARIMOTO Tomokazu (JPN)
World Table Tennis Championships Dusseldorf 2017,2017-05-29,HO Kwan Kit,MINO Alberto,4,0,"11,11,11,12|7,9,9,10",R128,WORLD_CHAMPIONSHIPS,MS,472,Main Draw,HO Kwan Kit (HKG),MINO Alberto (ECU)
World Table Tennis Championships Dusseldorf 2017,2017-05-29,LIAO Cheng-Ting,KARLSSON Kristian,4,1,"11,11,12,9,11|9,7,10,11,9",R128,WORLD_CHAMPIONSHIPS,MS,472,Main Draw,LIAO Cheng-Ting (TPE),KARLSSON Kristian (SWE)
World Table Tennis Championships Dusseldorf 2017,2017-05-29,STEGER Bastian,LIN Yun-Ju,4,3,"12,11,7,11,16,8,11|10,3,11,9,18,11,5",R128,WORLD_CHAMPIONSHIPS,MS,472,Main Draw,STEGER Bastian (GER),LIN Yun-Ju (TPE)
World Table Tennis Championships Dusseldorf 2017,2017-05-29,LAKATOS Tamas,VLASOV Grigory,4,2,"12,6,14,11,10,11|10,11,12,5,12,4",R128,WORLD_CHAMPIONSHIPS,MS,472,Main Draw,LAKATOS Tamas (HUN),VLASOV Grigory (RUS)
World Table Tennis Championships Dusseldorf 2017,2017-05-29,OLAH Benedek,KARAKASEVIC Aleksandar,4,1,"11,11,9,11,11|8,6,11,8,5",R128,WORLD_CHAMPIONSHIPS,MS,472,Main Draw,OLAH Benedek (FIN),KARAKASEVIC Aleksandar (SRB)
World Table Tennis Championships Dusseldorf 2017,2017-05-29,PISTEJ Lubomir,JEOUNG Youngsik,4,1,"12,11,12,7,11|10,6,10,11,5",R128,WORLD_CHAMPIONSHIPS,MS,472,Main Draw,PISTEJ Lubomir (SVK),JEOUNG Youngsik (KOR)
World Table Tennis Championships Dusseldorf 2017,2017-05-29,HABESOHN Daniel,MATSUDAIRA Kenta,4,3,"7,11,11,12,13,7,11|11,13,6,10,11,11,8",R128,WORLD_CHAMPIONSHIPS,MS,472,Main Draw,MATSUDAIRA Kenta (JPN),HABESOHN Daniel (AUT)
World Table Tennis Championships Dusseldorf 2017,2017-05-29,LIN Gaoyuan,KHANIN Aleksandr,4,0,"11,11,11,11|4,3,2,4",R128,WORLD_CHAMPIONSHIPS,MS,472,Main Draw,KHANIN Aleksandr (BLR),LIN Gaoyuan (CHN)
World Table Tennis Championships Dusseldorf 2017,2017-05-29,ACHANTA Sharath,CANTERO Jesus,4,1,"11,11,6,11,11|7,9,11,8,8",R128,WORLD_CHAMPIONSHIPS,MS,472,Main Draw,ACHANTA Sharath (IND),CANTERO Jesus (ESP)
World Table Tennis Championships Dusseldorf 2017,2017-05-29,KOU Lei,RINIOTIS Anastasios,4,2,"4,11,4,11,11,11|11,3,11,6,6,9",R128,WORLD_CHAMPIONSHIPS,MS,472,Main Draw,RINIOTIS Anastasios (GRE),KOU Lei (UKR)
World Table Tennis Championships Dusseldorf 2017,2017-05-29,CALDERANO Hugo,DESAI Harmeet,4,1,"11,11,11,11,11|8,8,5,13,4",R128,WORLD_CHAMPIONSHIPS,MS,472,Main Draw,CALDERANO Hugo (BRA),DESAI Harmeet (IND)
World Table Tennis Championships Dusseldorf 2017,2017-05-29,ALAMIYAN Noshad,LAMBIET Florent,4,0,"11,11,11,13|8,7,4,11",R128,WORLD_CHAMPIONSHIPS,MS,472,Main Draw,LAMBIET Florent (BEL),ALAMIYAN Noshad (IRI)
World Table Tennis Championships Dusseldorf 2017,2017-05-29,WANG Zengyi,KENJAEV Zokhid,4,0,,R128,WORLD_CHAMPIONSHIPS,MS,472,Main Draw,WANG Zengyi (POL),KENJAEV Zokhid (UZB)
World Table Tennis Championships Dusseldorf 2017,2017-05-29,XU Xin,POLANSKY Tomas,4,2,"10,11,11,11,17,11|12,9,6,6,19,9",R128,WORLD_CHAMPIONSHIPS,MS,472,Main Draw,POLANSKY Tomas (CZE),XU Xin (CHN)
World Table Tennis Championships Dusseldorf 2017,2017-05-29,ZHANG Jike,NAGY Krisztian,4,0,"11,11,11,11|7,7,6,7",R128,WORLD_CHAMPIONSHIPS,MS,472,Main Draw,ZHANG Jike (CHN),NAGY Krisztian (HUN)
World Table Tennis Championships Dusseldorf 2017,2017-05-29,GARDOS Robert,CHEW Clarence,4,2,"5,11,11,12,7,11|11,4,3,10,11,9",R128,WORLD_CHAMPIONSHIPS,MS,472,Main Draw,CHEW Clarence (SGP),GARDOS Robert (AUT)
World Table Tennis Championships Dusseldorf 2017,2017-05-29,CHO Seungmin,MLADENOVIC Luka,4,3,"9,11,11,7,15,9,11|11,4,6,11,13,11,8",R128,WORLD_CHAMPIONSHIPS,MS,472,Main Draw,CHO Seungmin (KOR),MLADENOVIC Luka (LUX)
World Table Tennis Championships Dusseldorf 2017,2017-05-29,LEE Sang Su,JORGIC Darko,4,3,"11,8,4,11,12,11,11|9,11,11,5,14,2,5",R128,WORLD_CHAMPIONSHIPS,MS,472,Main Draw,JORGIC Darko (SLO),LEE Sang Su (KOR)
World Table Tennis Championships Dusseldorf 2017,2017-05-29,GIONIS Panagiotis,CHOE Il,4,2,"9,13,11,11,16,11|11,11,5,7,18,7",R128,WORLD_CHAMPIONSHIPS,MS,472,Main Draw,GIONIS Panagiotis (GRE),CHOE Il (PRK)
World Table Tennis Championships Dusseldorf 2017,2017-05-29,WANG Yang,GERASSIMENKO Kirill,4,3,"11,7,11,10,6,12,11|8,11,7,12,11,10,6",R128,WORLD_CHAMPIONSHIPS,MS,472,Main Draw,GERASSIMENKO Kirill (KAZ),WANG Yang (SVK)
World Table Tennis Championships Dusseldorf 2017,2017-05-29,PAK Sin Hyok,KONECNY Tomas,4,1,"11,11,11,9,13|5,6,7,11,11",R128,WORLD_CHAMPIONSHIPS,MS,472,Main Draw,KONECNY Tomas (CZE),PAK Sin Hyok (PRK)
World Table Tennis Championships Dusseldorf 2017,2017-05-29,SAMSONOV Vladimir,YANG Xinyu,4,0,"11,11,11,11|8,5,3,2",R128,WORLD_CHAMPIONSHIPS,MS,472,Main Draw,YANG Xinyu (AZE),SAMSONOV Vladimir (BLR)
World Table Tennis Championships Dusseldorf 2017,2017-05-29,GAUZY Simon,GLOD Eric,4,0,"11,11,11,11|8,6,7,6",R128,WORLD_CHAMPIONSHIPS,MS,472,Main Draw,GAUZY Simon (FRA),GLOD Eric (LUX)
World Table Tennis Championships Dusseldorf 2017,2017-05-29,JEONG Sangeun,TSUBOI Gustavo,4,2,"13,11,11,4,8,11|11,8,6,11,11,6",R128,WORLD_CHAMPIONSHIPS,MS,472,Main Draw,TSUBOI Gustavo (BRA),JEONG Sangeun (KOR)
World Table Tennis Championships Dusseldorf 2017,2017-05-29,TOKIC Bojan,MADRID Marcos,4,2,"5,11,9,11,12,11|11,8,11,7,10,6",R128,WORLD_CHAMPIONSHIPS,MS,472,Main Draw,TOKIC Bojan (SLO),MADRID Marcos (MEX)
World Table Tennis Championships Dusseldorf 2017,2017-05-29,FEGERL Stefan,LASHIN Elsayed,4,1,"11,11,8,11,11|7,4,11,6,9",R128,WORLD_CHAMPIONSHIPS,MS,472,Main Draw,LASHIN Elsayed (EGY),FEGERL Stefan (AUT)
World Table Tennis Championships Dusseldorf 2017,2017-05-29,KARLSSON Mattias,TORIOLA Segun,4,0,"11,11,11,11|8,6,5,1",R128,WORLD_CHAMPIONSHIPS,MS,472,Main Draw,KARLSSON Mattias (SWE),TORIOLA Segun (NGR)
World Table Tennis Championships Dusseldorf 2017,2017-05-29,JHA Kanak,CRISAN Adrian,4,3,"11,11,5,11,9,11,11|8,8,11,13,11,8,9",R128,WORLD_CHAMPIONSHIPS,MS,472,Main Draw,JHA Kanak (USA),CRISAN Adrian (ROU)
World Table Tennis Championships Dusseldorf 2017,2017-05-29,ASSAR Omar,RECH DALDOSSO Marco,4,3,"6,6,6,12,11,11,11|11,11,11,10,9,9,5",R128,WORLD_CHAMPIONSHIPS,MS,472,Main Draw,ASSAR Omar (EGY),RECH DALDOSSO Marco (ITA)
World Table Tennis Championships Dusseldorf 2017,2017-05-29,WONG Chun Ting,LIVENTSOV Alexey,4,3,"13,8,4,13,9,11,11|11,11,11,11,11,4,8",R128,WORLD_CHAMPIONSHIPS,MS,472,Main Draw,LIVENTSOV Alexey (RUS),WONG Chun Ting (HKG)
World Table Tennis Championships Dusseldorf 2017,2017-05-29,OVTCHAROV Dimitrij,JANCARIK Lubomir,4,2,"11,11,6,7,11,13|9,5,11,11,5,11",R128,WORLD_CHAMPIONSHIPS,MS,472,Main Draw,OVTCHAROV Dimitrij (GER),JANCARIK Lubomir (CZE)
World Table Tennis Championships Dusseldorf 2017,2017-05-29,DRINKHALL Paul,MATSUMOTO Cazuo,4,2,"8,11,11,9,11,11|11,3,1,11,7,7",R128,WORLD_CHAMPIONSHIPS,MS,472,Main Draw,MATSUMOTO Cazuo (BRA),DRINKHALL Paul (ENG)
World Table Tennis Championships Dusseldorf 2017,2017-05-29,SZOCS Hunor,GNANASEKARAN Sathiyan,4,1,"11,9,11,11,11|8,11,7,8,8",R128,WORLD_CHAMPIONSHIPS,MS,472,Main Draw,SZOCS Hunor (ROU),GNANASEKARAN Sathiyan (IND)
World Table Tennis Championships Dusseldorf 2017,2017-05-29,GACINA Andrej,ROBINOT Alexandre,4,0,"11,12,11,11|7,10,7,7",R128,WORLD_CHAMPIONSHIPS,MS,472,Main Draw,ROBINOT Alexandre (FRA),GACINA Andrej (CRO)
World Table Tennis Championships Dusseldorf 2017,2017-05-29,ARUNA Quadri,GOMEZ Gustavo,4,0,"11,11,11,11|2,7,5,3",R128,WORLD_CHAMPIONSHIPS,MS,472,Main Draw,ARUNA Quadri (NGR),GOMEZ Gustavo (CHI)
World Table Tennis Championships Dusseldorf 2017,2017-05-29,GROTH Jonathan,SALEH Ahmed,4,1,"11,9,11,11,11|5,11,6,6,7",R128,WORLD_CHAMPIONSHIPS,MS,472,Main Draw,SALEH Ahmed (EGY),GROTH Jonathan (DEN)
World Table Tennis Championships Dusseldorf 2017,2017-05-29,GAO Ning,BEN ARI Omri,4,0,"11,11,11,11|4,8,7,6",R128,WORLD_CHAMPIONSHIPS,MS,472,Main Draw,GAO Ning (SGP),BEN ARI Omri (ISR)
World Table Tennis Championships Dusseldorf 2017,2017-05-29,NIWA Koki,LEVENKO Andreas,4,0,"11,11,11,11|3,8,6,8",R128,WORLD_CHAMPIONSHIPS,MS,472,Main Draw,LEVENKO Andreas (AUT),NIWA Koki (JPN)
World Table Tennis Championships Dusseldorf 2017,2017-05-29,NG Pak Nam,APOLONIA Tiago,4,3,"11,8,16,7,10,14,11|6,11,14,11,12,12,6",R128,WORLD_CHAMPIONSHIPS,MS,472,Main Draw,APOLONIA Tiago (POR),NG Pak Nam (HKG)
World Table Tennis Championships Dusseldorf 2017,2017-05-29,CHEN Weixing,TANVIRIYAVECHAKUL Padasak,4,1,"12,11,7,13,11|10,4,11,11,6",R128,WORLD_CHAMPIONSHIPS,MS,472,Main Draw,TANVIRIYAVECHAKUL Padasak (THA),CHEN Weixing (AUT)
World Table Tennis Championships Dusseldorf 2017,2017-05-29,GERALDO Joao,ROBLES Alvaro,4,3,"12,11,11,5,6,6,13|10,7,4,11,11,11,11",R128,WORLD_CHAMPIONSHIPS,MS,472,Main Draw,GERALDO Joao (POR),ROBLES Alvaro (ESP)
World Table Tennis Championships Dusseldorf 2017,2017-05-29,FILUS Ruwen,CARVALHO Diogo,4,2,"11,10,11,5,11,11|7,12,9,11,5,6",R128,WORLD_CHAMPIONSHIPS,MS,472,Main Draw,CARVALHO Diogo (POR),FILUS Ruwen (GER)
World Table Tennis Championships Dusseldorf 2017,2017-05-29,SHIBAEV Alexander,ELBEIALI Mohamed,4,2,"12,10,7,11,11,11|10,12,11,8,5,7",R128,WORLD_CHAMPIONSHIPS,MS,472,Main Draw,SHIBAEV Alexander (RUS),ELBEIALI Mohamed (EGY)
World Table Tennis Championships Dusseldorf 2017,2017-05-29,WALTHER Ricardo,KOJIC Frane,4,1,"11,11,11,8,11|6,9,8,11,6",R128,WORLD_CHAMPIONSHIPS,MS,472,Main Draw,KOJIC Frane (CRO),WALTHER Ricardo (GER)
World Table Tennis Championships Dusseldorf 2017,2017-05-29,GERELL Par,DEVOS Robin,4,0,"11,11,11,11|9,7,5,9",R128,WORLD_CHAMPIONSHIPS,MS,472,Main Draw,GERELL Par (SWE),DEVOS Robin (BEL)
World Table Tennis Championships Dusseldorf 2017,2017-05-29,FAN Zhendong,ROBINOT Quentin,4,0,"11,11,11,11|6,4,4,1",R128,WORLD_CHAMPIONSHIPS,MS,472,Main Draw,ROBINOT Quentin (FRA),FAN Zhendong (CHN)
World Table Tennis Championships Dusseldorf 2017,2017-05-29,MA Long,KALLBERG Anton,4,2,"4,11,11,11,8,11|11,5,6,4,11,9",R64,WORLD_CHAMPIONSHIPS,MS,472,Main Draw,MA Long (CHN),KALLBERG Anton (SWE)
World Table Tennis Championships Dusseldorf 2017,2017-05-29,IONESCU Ovidiu,LEBESSON Emmanuel,4,0,"11,12,11,11|8,10,9,8",R64,WORLD_CHAMPIONSHIPS,MS,472,Main Draw,IONESCU Ovidiu (ROU),LEBESSON Emmanuel (FRA)
World Table Tennis Championships Dusseldorf 2017,2017-05-29,MURAMATSU Yuto,MONTEIRO Joao,4,3,"11,6,11,9,11,11,11|9,11,8,11,9,13,8",R64,WORLD_CHAMPIONSHIPS,MS,472,Main Draw,MURAMATSU Yuto (JPN),MONTEIRO Joao (POR)
World Table Tennis Championships Dusseldorf 2017,2017-05-29,CHUANG Chih-Yuan,JIANG Tianyi,4,1,"11,4,11,11,11|4,11,6,5,9",R64,WORLD_CHAMPIONSHIPS,MS,472,Main Draw,JIANG Tianyi (HKG),CHUANG Chih-Yuan (TPE)
World Table Tennis Championships Dusseldorf 2017,2017-05-29,FREITAS Marcos,ALAMIAN Nima,4,0,"11,11,11,11|6,5,9,6",R64,WORLD_CHAMPIONSHIPS,MS,472,Main Draw,FREITAS Marcos (POR),ALAMIAN Nima (IRI)
World Table Tennis Championships Dusseldorf 2017,2017-05-29,FLORE Tristan,CHEN Chien-An,4,3,"15,11,10,7,7,12,11|13,9,12,11,11,10,6",R64,WORLD_CHAMPIONSHIPS,MS,472,Main Draw,FLORE Tristan (FRA),CHEN Chien-An (TPE)
World Table Tennis Championships Dusseldorf 2017,2017-05-29,JANG Woojin,FRANZISKA Patrick,4,0,"11,11,11,11|5,8,9,5",R64,WORLD_CHAMPIONSHIPS,MS,472,Main Draw,JANG Woojin (KOR),FRANZISKA Patrick (GER)
World Table Tennis Championships Dusseldorf 2017,2017-05-29,BOLL Timo,DYJAS Jakub,4,0,"11,11,11,11|7,8,8,8",R64,WORLD_CHAMPIONSHIPS,MS,472,Main Draw,DYJAS Jakub (POL),BOLL Timo (GER)
World Table Tennis Championships Dusseldorf 2017,2017-05-29,HARIMOTO Tomokazu,MIZUTANI Jun,4,1,"11,11,14,7,11|7,6,12,11,8",R64,WORLD_CHAMPIONSHIPS,MS,472,Main Draw,MIZUTANI Jun (JPN),HARIMOTO Tomokazu (JPN)
World Table Tennis Championships Dusseldorf 2017,2017-05-29,LIAO Cheng-Ting,HO Kwan Kit,4,2,"12,5,10,11,11,12|10,11,12,3,7,10",R64,WORLD_CHAMPIONSHIPS,MS,472,Main Draw,HO Kwan Kit (HKG),LIAO Cheng-Ting (TPE)
World Table Tennis Championships Dusseldorf 2017,2017-05-29,LAKATOS Tamas,STEGER Bastian,4,2,"11,14,8,8,11,11|8,12,11,11,6,9",R64,WORLD_CHAMPIONSHIPS,MS,472,Main Draw,STEGER Bastian (GER),LAKATOS Tamas (HUN)
World Table Tennis Championships Dusseldorf 2017,2017-05-29,PISTEJ Lubomir,OLAH Benedek,4,1,"11,6,15,11,11|9,11,13,5,9",R64,WORLD_CHAMPIONSHIPS,MS,472,Main Draw,OLAH Benedek (FIN),PISTEJ Lubomir (SVK)
World Table Tennis Championships Dusseldorf 2017,2017-05-29,LIN Gaoyuan,HABESOHN Daniel,4,1,"11,11,11,8,11|1,2,6,11,4",R64,WORLD_CHAMPIONSHIPS,MS,472,Main Draw,HABESOHN Daniel (AUT),LIN Gaoyuan (CHN)
World Table Tennis Championships Dusseldorf 2017,2017-05-29,ACHANTA Sharath,KOU Lei,4,0,"11,11,14,11|3,9,12,3",R64,WORLD_CHAMPIONSHIPS,MS,472,Main Draw,ACHANTA Sharath (IND),KOU Lei (UKR)
World Table Tennis Championships Dusseldorf 2017,2017-05-29,CALDERANO Hugo,ALAMIYAN Noshad,4,0,"11,11,11,11|7,8,7,5",R64,WORLD_CHAMPIONSHIPS,MS,472,Main Draw,CALDERANO Hugo (BRA),ALAMIYAN Noshad (IRI)
World Table Tennis Championships Dusseldorf 2017,2017-05-29,XU Xin,WANG Zengyi,4,0,"11,11,11,11|5,9,7,5",R64,WORLD_CHAMPIONSHIPS,MS,472,Main Draw,WANG Zengyi (POL),XU Xin (CHN)
World Table Tennis Championships Dusseldorf 2017,2017-05-29,ZHANG Jike,GARDOS Robert,4,2,"11,11,11,11,7,11|6,5,13,9,11,8",R64,WORLD_CHAMPIONSHIPS,MS,472,Main Draw,ZHANG Jike (CHN),GARDOS Robert (AUT)
World Table Tennis Championships Dusseldorf 2017,2017-05-29,LEE Sang Su,CHO Seungmin,4,1,"12,11,8,11,11|10,5,11,6,3",R64,WORLD_CHAMPIONSHIPS,MS,472,Main Draw,CHO Seungmin (KOR),LEE Sang Su (KOR)
World Table Tennis Championships Dusseldorf 2017,2017-05-29,GIONIS Panagiotis,WANG Yang,4,3,"6,12,5,11,7,12,12|11,10,11,5,11,10,10",R64,WORLD_CHAMPIONSHIPS,MS,472,Main Draw,GIONIS Panagiotis (GRE),WANG Yang (SVK)
World Table Tennis Championships Dusseldorf 2017,2017-05-29,SAMSONOV Vladimir,PAK Sin Hyok,4,1,"11,13,11,11,11|8,15,9,4,2",R64,WORLD_CHAMPIONSHIPS,MS,472,Main Draw,PAK Sin Hyok (PRK),SAMSONOV Vladimir (BLR)
World Table Tennis Championships Dusseldorf 2017,2017-05-29,JEONG Sangeun,GAUZY Simon,4,2,"9,11,8,11,12,11|11,8,11,9,10,9",R64,WORLD_CHAMPIONSHIPS,MS,472,Main Draw,GAUZY Simon (FRA),JEONG Sangeun (KOR)
World Table Tennis Championships Dusseldorf 2017,2017-05-29,FEGERL Stefan,TOKIC Bojan,4,3,"11,11,8,8,9,11,11|6,9,11,11,11,9,8",R64,WORLD_CHAMPIONSHIPS,MS,472,Main Draw,TOKIC Bojan (SLO),FEGERL Stefan (AUT)
World Table Tennis Championships Dusseldorf 2017,2017-05-29,KARLSSON Mattias,JHA Kanak,4,2,"11,9,8,11,11,11|6,11,11,6,9,7",R64,WORLD_CHAMPIONSHIPS,MS,472,Main Draw,KARLSSON Mattias (SWE),JHA Kanak (USA)
World Table Tennis Championships Dusseldorf 2017,2017-05-29,WONG Chun Ting,ASSAR Omar,4,2,"11,7,11,11,7,11|7,11,6,5,11,4",R64,WORLD_CHAMPIONSHIPS,MS,472,Main Draw,ASSAR Omar (EGY),WONG Chun Ting (HKG)
World Table Tennis Championships Dusseldorf 2017,2017-05-29,OVTCHAROV Dimitrij,DRINKHALL Paul,4,1,"11,5,11,11,11|3,11,4,5,5",R64,WORLD_CHAMPIONSHIPS,MS,472,Main Draw,OVTCHAROV Dimitrij (GER),DRINKHALL Paul (ENG)
World Table Tennis Championships Dusseldorf 2017,2017-05-29,SZOCS Hunor,GACINA Andrej,4,3,"11,9,11,9,11,6,11|7,11,6,11,7,11,9",R64,WORLD_CHAMPIONSHIPS,MS,472,Main Draw,SZOCS Hunor (ROU),GACINA Andrej (CRO)
World Table Tennis Championships Dusseldorf 2017,2017-05-29,GROTH Jonathan,ARUNA Quadri,4,0,"14,11,11,11|12,9,5,6",R64,WORLD_CHAMPIONSHIPS,MS,472,Main Draw,ARUNA Quadri (NGR),GROTH Jonathan (DEN)
World Table Tennis Championships Dusseldorf 2017,2017-05-29,NIWA Koki,GAO Ning,4,3,"9,12,11,11,5,12,11|11,10,7,8,11,14,4",R64,WORLD_CHAMPIONSHIPS,MS,472,Main Draw,GAO Ning (SGP),NIWA Koki (JPN)
World Table Tennis Championships Dusseldorf 2017,2017-05-29,NG Pak Nam,CHEN Weixing,4,3,"5,11,9,6,11,11,11|11,8,11,11,7,8,9",R64,WORLD_CHAMPIONSHIPS,MS,472,Main Draw,NG Pak Nam (HKG),CHEN Weixing (AUT)
World Table Tennis Championships Dusseldorf 2017,2017-05-29,FILUS Ruwen,GERALDO Joao,4,1,"11,7,12,12,11|8,11,10,10,9",R64,WORLD_CHAMPIONSHIPS,MS,472,Main Draw,GERALDO Joao (POR),FILUS Ruwen (GER)
World Table Tennis Championships Dusseldorf 2017,2017-05-29,SHIBAEV Alexander,WALTHER Ricardo,4,2,"7,11,3,11,12,11|11,5,11,5,10,7",R64,WORLD_CHAMPIONSHIPS,MS,472,Main Draw,SHIBAEV Alexander (RUS),WALTHER Ricardo (GER)
World Table Tennis Championships Dusseldorf 2017,2017-05-29,FAN Zhendong,GERELL Par,4,0,"11,11,11,11|3,5,1,8",R64,WORLD_CHAMPIONSHIPS,MS,472,Main Draw,GERELL Par (SWE),FAN Zhendong (CHN)
World Table Tennis Championships Dusseldorf 2017,2017-05-29,MA Long,IONESCU Ovidiu,4,1,"11,11,9,11,11|8,7,11,5,5",R32,WORLD_CHAMPIONSHIPS,MS,472,Main Draw,MA Long (CHN),IONESCU Ovidiu (ROU)
World Table Tennis Championships Dusseldorf 2017,2017-05-29,CHUANG Chih-Yuan,MURAMATSU Yuto,4,0,"11,11,11,11|7,1,3,8",R32,WORLD_CHAMPIONSHIPS,MS,472,Main Draw,MURAMATSU Yuto (JPN),CHUANG Chih-Yuan (TPE)
World Table Tennis Championships Dusseldorf 2017,2017-05-29,FREITAS Marcos,FLORE Tristan,4,3,"11,11,11,6,8,8,12|4,4,8,11,11,11,10",R32,WORLD_CHAMPIONSHIPS,MS,472,Main Draw,FREITAS Marcos (POR),FLORE Tristan (FRA)
World Table Tennis Championships Dusseldorf 2017,2017-05-29,BOLL Timo,JANG Woojin,4,1,"11,8,12,11,11|9,11,10,8,5",R32,WORLD_CHAMPIONSHIPS,MS,472,Main Draw,JANG Woojin (KOR),BOLL Timo (GER)
