tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,XU Xin,APOLONIA Tiago,4,2,"2,11,11,11,8,11|11,7,9,8,11,5",R16,GRAND_SLAM,MS,11,Main Draw,APOLONIA Tiago (POR),XU Xin (CHN),XU Xin
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,SHANG Kun,MURAMATSU Yuto,4,1,"10,11,11,11,11|12,5,8,9,5",QF,GRAND_SLAM,MS,11,Main Draw,SHANG Kun (CHN),MURAMATSU Yuto (JPN),SHANG Kun
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,YOSHIMURA Maharu,JOO Saehyuk,4,2,"11,6,11,6,11,12|9,11,3,11,8,10",QF,GRAND_SLAM,MS,11,Main Draw,YOSHIMURA Maharu (JPN),JOO Saehyuk (KOR),YOSHIMURA Maharu
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,FAN Zhendong,YAN An,4,3,"10,18,11,11,5,3,11|12,16,7,6,11,11,5",QF,GRAND_SLAM,MS,11,Main Draw,FAN Zhendong (CHN),YAN An (CHN),FAN Zhendong
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,XU Xin,WONG Chun Ting,4,0,"12,11,11,13|10,4,9,11",QF,GRAND_SLAM,MS,11,Main Draw,WONG Chun Ting (HKG),XU Xin (CHN),XU Xin
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,YOSHIMURA Maharu,SHANG Kun,4,3,"7,6,11,11,11,5,11|11,11,6,9,6,11,8",SF,GRAND_SLAM,MS,11,Main Draw,SHANG Kun (CHN),YOSHIMURA Maharu (JPN),YOSHIMURA Maharu
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,XU Xin,FAN Zhendong,4,3,"11,11,3,11,3,4,11|7,8,11,8,11,11,8",SF,GRAND_SLAM,MS,11,Main Draw,FAN Zhendong (CHN),XU Xin (CHN),XU Xin
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,XU Xin,YOSHIMURA Maharu,4,1,"9,11,14,11,11|11,2,12,7,7",F,GRAND_SLAM,MS,11,Main Draw,YOSHIMURA Maharu (JPN),XU Xin (CHN),XU Xin
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,KALLBERG Anton,MURAMATSU Yuto,3,1,"11,10,14,13|9,12,12,11",R16,GRAND_SLAM,U21MS,11,Main Draw,MURAMATSU Yuto (JPN),KALLBERG Anton (SWE),KALLBERG Anton
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,JANG Woojin,ANGLES Enzo,3,0,"11,11,11|5,5,5",R16,GRAND_SLAM,U21MS,11,Main Draw,ANGLES Enzo (FRA),JANG Woojin (KOR),JANG Woojin
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,OIKAWA Mizuki,HO Kwan Kit,3,2,"11,12,7,9,11|5,10,11,11,9",R16,GRAND_SLAM,U21MS,11,Main Draw,HO Kwan Kit (HKG),OIKAWA Mizuki (JPN),OIKAWA Mizuki
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,YOSHIDA Masaki,CHEW Clarence,3,1,"11,11,6,11|8,8,11,8",R16,GRAND_SLAM,U21MS,11,Main Draw,CHEW Clarence (SGP),YOSHIDA Masaki (JPN),YOSHIDA Masaki
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,OSHIMA Yuya,RANEFUR Elias,3,0,"11,11,11|8,6,9",R16,GRAND_SLAM,U21MS,11,Main Draw,OSHIMA Yuya (JPN),RANEFUR Elias (SWE),OSHIMA Yuya
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,KANG Dongsoo,MACHI Asuka,3,2,"9,11,9,11,11|11,4,11,7,7",R16,GRAND_SLAM,U21MS,11,Main Draw,KANG Dongsoo (KOR),MACHI Asuka (JPN),KANG Dongsoo
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,SAMBE Kohei,LIAO Cheng-Ting,3,2,"11,5,9,13,15|6,11,11,11,13",R16,GRAND_SLAM,U21MS,11,Main Draw,SAMBE Kohei (JPN),LIAO Cheng-Ting (TPE),SAMBE Kohei
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,KIM Donghyun,SAKANE Shodai,3,2,"11,11,7,2,11|6,8,11,11,7",R16,GRAND_SLAM,U21MS,11,Main Draw,SAKANE Shodai (JPN),KIM Donghyun (KOR),KIM Donghyun
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,KALLBERG Anton,JANG Woojin,3,0,"11,11,11|6,7,8",QF,GRAND_SLAM,U21MS,11,Main Draw,KALLBERG Anton (SWE),JANG Woojin (KOR),KALLBERG Anton
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,YOSHIDA Masaki,OIKAWA Mizuki,3,1,"11,11,10,11|8,5,12,9",QF,GRAND_SLAM,U21MS,11,Main Draw,OIKAWA Mizuki (JPN),YOSHIDA Masaki (JPN),YOSHIDA Masaki
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,OSHIMA Yuya,KANG Dongsoo,3,1,"11,9,11,11|4,11,7,8",QF,GRAND_SLAM,U21MS,11,Main Draw,OSHIMA Yuya (JPN),KANG Dongsoo (KOR),OSHIMA Yuya
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,SAMBE Kohei,KIM Donghyun,3,1,"11,6,11,11|5,11,9,9",QF,GRAND_SLAM,U21MS,11,Main Draw,SAMBE Kohei (JPN),KIM Donghyun (KOR),SAMBE Kohei
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,YOSHIDA Masaki,KALLBERG Anton,3,1,"8,11,11,13|11,6,8,11",SF,GRAND_SLAM,U21MS,11,Main Draw,KALLBERG Anton (SWE),YOSHIDA Masaki (JPN),YOSHIDA Masaki
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,OSHIMA Yuya,SAMBE Kohei,3,0,"11,11,11|7,7,7",SF,GRAND_SLAM,U21MS,11,Main Draw,OSHIMA Yuya (JPN),SAMBE Kohei (JPN),OSHIMA Yuya
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,OSHIMA Yuya,YOSHIDA Masaki,3,1,"11,11,7,11|4,6,11,6",F,GRAND_SLAM,U21MS,11,Main Draw,YOSHIDA Masaki (JPN),OSHIMA Yuya (JPN),OSHIMA Yuya
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,MATSUDAIRA Shiho,LIN Ye,3,0,"11,11,11|9,8,7",R16,GRAND_SLAM,U21WS,11,Main Draw,LIN Ye (CAN),MATSUDAIRA Shiho (JPN),MATSUDAIRA Shiho
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,SZOCS Bernadette,MORI Sakura,3,2,"9,9,11,11,11|11,11,7,4,8",R16,GRAND_SLAM,U21WS,11,Main Draw,MORI Sakura (JPN),SZOCS Bernadette (ROU),SZOCS Bernadette
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,ZENG Jian,MAEDA Miyu,3,2,"8,12,11,2,11|11,10,3,11,9",R16,GRAND_SLAM,U21WS,11,Main Draw,MAEDA Miyu (JPN),ZENG Jian (SGP),ZENG Jian
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,HAYATA Hina,CHOI Jeongmin,3,2,"11,8,11,11,11|13,11,9,6,5",R16,GRAND_SLAM,U21WS,11,Main Draw,CHOI Jeongmin (KOR),HAYATA Hina (JPN),HAYATA Hina
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,KATO Miyu,LEE Dasom,3,0,"14,11,11|12,7,6",R16,GRAND_SLAM,U21WS,11,Main Draw,KATO Miyu (JPN),LEE Dasom (KOR),KATO Miyu
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,ZHOU Yihan,KIHARA Miyuu,3,2,"7,5,11,11,11|11,11,8,7,4",R16,GRAND_SLAM,U21WS,11,Main Draw,KIHARA Miyuu (JPN),ZHOU Yihan (SGP),ZHOU Yihan
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,HAMAMOTO Yui,ZHU Chengzhu,3,0,"11,11,11|4,7,3",R16,GRAND_SLAM,U21WS,11,Main Draw,HAMAMOTO Yui (AUT),ZHU Chengzhu (HKG),HAMAMOTO Yui
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,SATO Hitomi,LEE Yu-Peng,3,1,"11,2,11,11|2,11,6,5",R16,GRAND_SLAM,U21WS,11,Main Draw,LEE Yu-Peng (TPE),SATO Hitomi (JPN),SATO Hitomi
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,SZOCS Bernadette,MATSUDAIRA Shiho,3,1,"11,9,11,11|6,11,7,6",QF,GRAND_SLAM,U21WS,11,Main Draw,MATSUDAIRA Shiho (JPN),SZOCS Bernadette (ROU),SZOCS Bernadette
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,ZENG Jian,HAYATA Hina,3,0,"11,11,11|3,8,6",QF,GRAND_SLAM,U21WS,11,Main Draw,ZENG Jian (SGP),HAYATA Hina (JPN),ZENG Jian
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,ZHOU Yihan,KATO Miyu,3,0,"11,11,11|8,7,7",QF,GRAND_SLAM,U21WS,11,Main Draw,KATO Miyu (JPN),ZHOU Yihan (SGP),ZHOU Yihan
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,SATO Hitomi,HAMAMOTO Yui,3,1,"6,11,11,11|11,9,5,9",QF,GRAND_SLAM,U21WS,11,Main Draw,HAMAMOTO Yui (AUT),SATO Hitomi (JPN),SATO Hitomi
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,ZENG Jian,SZOCS Bernadette,3,2,"9,11,11,7,11|11,5,3,11,2",SF,GRAND_SLAM,U21WS,11,Main Draw,SZOCS Bernadette (ROU),ZENG Jian (SGP),ZENG Jian
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,SATO Hitomi,ZHOU Yihan,3,1,"15,11,11,11|17,9,9,8",SF,GRAND_SLAM,U21WS,11,Main Draw,ZHOU Yihan (SGP),SATO Hitomi (JPN),SATO Hitomi
