tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
YOG Asia Continental Qualification Greater Noida 2017,2017-11-03,KAMATH Archana,STOJANOVSKA Ana,4,0,"11,11,11,11|4,6,8,3",,OTHER,JGS,861,Qualification,KAMATH Archana (IND),STOJANOVSKA Ana (MKD),KAMATH Archana
YOG Asia Continental Qualification Greater Noida 2017,2017-11-03,SAWETTABUT Jinnipa,STOJANOVSKA Ana,4,0,"11,12,11,12|7,10,5,10",,OTHER,JGS,861,Qualification,SAWETTABUT Jinnipa (THA),STOJANOVSKA Ana (MKD),SAWETTABUT Jinnipa
YOG Asia Continental Qualification Greater Noida 2017,2017-11-03,KAMATH Archana,LEE Daeun,4,3,"11,11,11,11,7,11,11|6,13,8,13,11,7,8",,OTHER,JGS,861,Qualification,KAMATH Archana (IND),LEE Daeun (KOR),KAMATH Archana
YOG Asia Continental Qualification Greater Noida 2017,2017-11-03,SAWETTABUT Jinnipa,KAMATH Archana,4,0,"11,12,11,11|7,10,7,7",,OTHER,JGS,861,Qualification,SAWETTABUT Jinnipa (THA),KAMATH Archana (IND),SAWETTABUT Jinnipa
YOG Asia Continental Qualification Greater Noida 2017,2017-11-03,LEE Daeun,STOJANOVSKA Ana,4,0,"11,11,11,11|9,5,8,6",,OTHER,JGS,861,Qualification,LEE Daeun (KOR),STOJANOVSKA Ana (MKD),LEE Daeun
YOG Asia Continental Qualification Greater Noida 2017,2017-11-03,SU Pei-Ling,KHALIKOVA Kamila,4,0,"11,11,11,11|9,5,5,4",,OTHER,JGS,861,Qualification,SU Pei-Ling (TPE),KHALIKOVA Kamila (UZB),SU Pei-Ling
YOG Asia Continental Qualification Greater Noida 2017,2017-11-03,CHAU Wing Sze,AZAR Laetitia,4,1,"9,11,11,11,11|11,3,2,3,1",,OTHER,JGS,861,Qualification,CHAU Wing Sze (HKG),AZAR Laetitia (LBN),CHAU Wing Sze
YOG Asia Continental Qualification Greater Noida 2017,2017-11-03,SU Pei-Ling,AZAR Laetitia,4,0,"11,11,11,11|2,7,4,2",,OTHER,JGS,861,Qualification,SU Pei-Ling (TPE),AZAR Laetitia (LBN),SU Pei-Ling
YOG Asia Continental Qualification Greater Noida 2017,2017-11-03,CHAU Wing Sze,KHALIKOVA Kamila,4,0,"11,11,11,11|2,8,4,7",,OTHER,JGS,861,Qualification,CHAU Wing Sze (HKG),KHALIKOVA Kamila (UZB),CHAU Wing Sze
YOG Asia Continental Qualification Greater Noida 2017,2017-11-03,SU Pei-Ling,CHAU Wing Sze,4,0,"11,11,12,11|8,2,10,6",,OTHER,JGS,861,Qualification,SU Pei-Ling (TPE),CHAU Wing Sze (HKG),SU Pei-Ling
YOG Asia Continental Qualification Greater Noida 2017,2017-11-03,KHALIKOVA Kamila,AZAR Laetitia,4,0,"11,11,11,11|4,7,9,6",,OTHER,JGS,861,Qualification,KHALIKOVA Kamila (UZB),AZAR Laetitia (LBN),KHALIKOVA Kamila
YOG Asia Continental Qualification Greater Noida 2017,2017-11-03,HARIMOTO Tomokazu,PANG Koen,4,1,"11,12,11,11,11|7,14,7,9,3",,OTHER,JBS,861,Main Draw,HARIMOTO Tomokazu (JPN),PANG Koen (SGP),HARIMOTO Tomokazu
YOG Asia Continental Qualification Greater Noida 2017,2017-11-03,PANAGITGUN Yanapong,PANG Koen,4,2,"12,6,11,11,10,11|10,11,6,8,12,9",,OTHER,JBS,861,Main Draw,PANAGITGUN Yanapong (THA),PANG Koen (SGP),PANAGITGUN Yanapong
YOG Asia Continental Qualification Greater Noida 2017,2017-11-03,HARIMOTO Tomokazu,PANAGITGUN Yanapong,4,1,"8,11,11,11,11|11,7,3,2,9",,OTHER,JBS,861,Main Draw,HARIMOTO Tomokazu (JPN),PANAGITGUN Yanapong (THA),HARIMOTO Tomokazu
YOG Asia Continental Qualification Greater Noida 2017,2017-11-03,LIN Yun-Ju,CHONG Kai Ning,4,2,"11,11,11,9,9,11|7,3,4,11,11,5",,OTHER,JBS,861,Main Draw,LIN Yun-Ju (TPE),CHONG Kai Ning (HKG),LIN Yun-Ju
YOG Asia Continental Qualification Greater Noida 2017,2017-11-03,NAYRE Jann Mari,CHONG Kai Ning,4,3,"11,9,11,4,11,13,11|6,11,6,11,6,15,9",,OTHER,JBS,861,Main Draw,NAYRE Jann Mari (PHI),CHONG Kai Ning (HKG),NAYRE Jann Mari
YOG Asia Continental Qualification Greater Noida 2017,2017-11-03,LIN Yun-Ju,NAYRE Jann Mari,4,0,"11,11,11,11|3,2,4,6",,OTHER,JBS,861,Main Draw,LIN Yun-Ju (TPE),NAYRE Jann Mari (PHI),LIN Yun-Ju
YOG Asia Continental Qualification Greater Noida 2017,2017-11-03,WANG Chuqin,KHADER Khaled,4,0,"11,11,11,11|2,9,3,3",,OTHER,JBS,861,Main Draw,WANG Chuqin (CHN),KHADER Khaled (JOR),WANG Chuqin
YOG Asia Continental Qualification Greater Noida 2017,2017-11-03,THAKKAR Manav,KHADER Khaled,4,0,"11,11,11,11|9,5,6,3",,OTHER,JBS,861,Main Draw,THAKKAR Manav (IND),KHADER Khaled (JOR),THAKKAR Manav
YOG Asia Continental Qualification Greater Noida 2017,2017-11-03,WANG Chuqin,THAKKAR Manav,4,0,"11,11,11,11|3,5,4,8",,OTHER,JBS,861,Main Draw,WANG Chuqin (CHN),THAKKAR Manav (IND),WANG Chuqin
YOG Asia Continental Qualification Greater Noida 2017,2017-11-03,CHO Daeseong,KENZHIGULOV Aidos,4,0,"11,11,11,11|9,8,4,6",,OTHER,JBS,861,Main Draw,CHO Daeseong (KOR),KENZHIGULOV Aidos (KAZ),CHO Daeseong
YOG Asia Continental Qualification Greater Noida 2017,2017-11-03,AHMADIAN Amin,KENZHIGULOV Aidos,4,1,"13,11,11,15,11|11,5,4,17,9",,OTHER,JBS,861,Main Draw,AHMADIAN Amin (IRI),KENZHIGULOV Aidos (KAZ),AHMADIAN Amin
YOG Asia Continental Qualification Greater Noida 2017,2017-11-03,CHO Daeseong,AHMADIAN Amin,4,1,"11,8,11,11,11|9,11,7,5,3",,OTHER,JBS,861,Main Draw,CHO Daeseong (KOR),AHMADIAN Amin (IRI),CHO Daeseong
YOG Asia Continental Qualification Greater Noida 2017,2017-11-03,HIRANO Miu,LEE Daeun,4,0,"11,11,11,11|8,3,8,6",,OTHER,JGS,861,Main Draw,HIRANO Miu (JPN),LEE Daeun (KOR),HIRANO Miu
YOG Asia Continental Qualification Greater Noida 2017,2017-11-03,LEE Daeun,LYNE Karen,4,1,"11,11,9,11,11|6,6,11,9,9",,OTHER,JGS,861,Main Draw,LYNE Karen (MAS),LEE Daeun (KOR),LEE Daeun
YOG Asia Continental Qualification Greater Noida 2017,2017-11-03,HIRANO Miu,LYNE Karen,4,0,"11,11,11,11|5,4,3,4",,OTHER,JGS,861,Main Draw,HIRANO Miu (JPN),LYNE Karen (MAS),HIRANO Miu
YOG Asia Continental Qualification Greater Noida 2017,2017-11-03,SUN Yingsha,KHALIKOVA Kamila,4,0,"11,11,11,11|4,5,4,3",,OTHER,JGS,861,Main Draw,SUN Yingsha (CHN),KHALIKOVA Kamila (UZB),SUN Yingsha
YOG Asia Continental Qualification Greater Noida 2017,2017-11-03,KHALIKOVA Kamila,AKASHEVA Zauresh,4,1,"11,12,8,13,11|7,10,11,11,9",,OTHER,JGS,861,Main Draw,AKASHEVA Zauresh (KAZ),KHALIKOVA Kamila (UZB),KHALIKOVA Kamila
YOG Asia Continental Qualification Greater Noida 2017,2017-11-03,SUN Yingsha,AKASHEVA Zauresh,4,0,"11,11,11,11|6,3,4,2",,OTHER,JGS,861,Main Draw,SUN Yingsha (CHN),AKASHEVA Zauresh (KAZ),SUN Yingsha
YOG Asia Continental Qualification Greater Noida 2017,2017-11-03,SAWETTABUT Jinnipa,ZHANG Wanling,4,0,"11,11,11,11|9,3,6,3",,OTHER,JGS,861,Main Draw,SAWETTABUT Jinnipa (THA),ZHANG Wanling (SGP),SAWETTABUT Jinnipa
