tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,DUDA Benedikt,SADAMATSU Yusuke,4,1,"11,6,14,11,11|6,11,12,5,9",QR64,GRAND_SLAM,MS,2021,Qualification,DUDA Benedikt (GER),SADAMATSU Yusuke (JPN),DUDA Benedikt
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,YAN An,WANG Chuqin,4,2,"10,11,11,11,8,11|12,8,9,7,11,9",QR64,GRAND_SLAM,MS,2021,Qualification,WANG Chuqin (CHN),YAN An (CHN),YAN An
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,OSHIMA Yuya,VALUCH Alexander,4,1,"11,11,11,11,11|5,9,13,4,3",QR64,GRAND_SLAM,MS,2021,Qualification,OSHIMA Yuya (JPN),VALUCH Alexander (SVK),OSHIMA Yuya
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,XU Yingbin,NUYTINCK Cedric,4,2,"11,15,11,6,10,12|6,13,2,11,12,10",QR64,GRAND_SLAM,MS,2021,Qualification,XU Yingbin (CHN),NUYTINCK Cedric (BEL),XU Yingbin
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,CHOI Deokhwa,WISUTMAYTHANGKOON Supanut,4,1,"11,12,11,10,11|6,10,7,12,9",QR64,GRAND_SLAM,MS,2021,Qualification,CHOI Deokhwa (KOR),WISUTMAYTHANGKOON Supanut (THA),CHOI Deokhwa
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,AN Jaehyun,KWAN Man Ho,4,0,"11,11,11,11|8,2,8,9",QR64,GRAND_SLAM,MS,2021,Qualification,KWAN Man Ho (HKG),AN Jaehyun (KOR),AN Jaehyun
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,CHEN Chien-An,BADOWSKI Marek,4,3,"11,11,7,12,5,11,11|7,7,11,14,11,6,6",QR64,GRAND_SLAM,MS,2021,Qualification,BADOWSKI Marek (POL),CHEN Chien-An (TPE),CHEN Chien-An
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,YANG Heng-Wei,AKKUZU Can,4,3,"10,11,11,13,11,7,11|12,13,8,11,7,11,5",QR64,GRAND_SLAM,MS,2021,Qualification,AKKUZU Can (FRA),YANG Heng-Wei (TPE),YANG Heng-Wei
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,SUN Wen,YOSHIMURA Maharu,4,2,"11,11,11,8,10,11|8,8,7,11,12,9",QR64,GRAND_SLAM,MS,2021,Qualification,YOSHIMURA Maharu (JPN),SUN Wen (CHN),SUN Wen
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,HIRANO Yuki,PISTEJ Lubomir,4,3,"11,13,11,9,7,8,11|2,11,5,11,11,11,6",QR64,GRAND_SLAM,MS,2021,Qualification,PISTEJ Lubomir (SVK),HIRANO Yuki (JPN),HIRANO Yuki
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,APOLONIA Tiago,DEVOS Robin,4,2,"12,13,11,9,11,11|10,15,8,11,7,4",QR64,GRAND_SLAM,MS,2021,Qualification,DEVOS Robin (BEL),APOLONIA Tiago (POR),APOLONIA Tiago
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,GERASSIMENKO Kirill,SAMBE Kohei,4,2,"11,12,9,14,9,11|7,10,11,12,11,7",QR64,GRAND_SLAM,MS,2021,Qualification,GERASSIMENKO Kirill (KAZ),SAMBE Kohei (JPN),GERASSIMENKO Kirill
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,CHO Seungmin,MOREGARD Truls,4,2,"11,12,9,11,0,12|9,10,11,8,11,10",QR64,GRAND_SLAM,MS,2021,Qualification,MOREGARD Truls (SWE),CHO Seungmin (KOR),CHO Seungmin
