tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,LEE Sang Su,ZHAO Zihao,4,2,"11,11,11,9,11,11|6,13,7,11,7,3",R32,GRAND_SLAM,MS,2021,Main Draw,ZHAO Zihao (CHN),LEE Sang Su (KOR),LEE Sang Su
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,GU Yuting,ITO Mima,4,2,"7,11,11,11,12,12|11,7,8,9,14,10",R32,GRAND_SLAM,WS,2021,Main Draw,ITO Mima (JPN),GU Yuting (CHN),GU Yuting
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,LIU Fei,CHENG I-Ching,4,1,"13,8,11,11,11|11,11,8,5,7",R32,GRAND_SLAM,WS,2021,Main Draw,CHENG I-Ching (TPE),LIU Fei (CHN),LIU Fei
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,CHEN Meng,HAYATA Hina,4,2,"3,11,12,8,11,11|11,9,10,11,8,7",R32,GRAND_SLAM,WS,2021,Main Draw,HAYATA Hina (JPN),CHEN Meng (CHN),CHEN Meng
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,DING Ning,ZHANG Rui,4,0,"11,11,11,11|5,3,8,4",R32,GRAND_SLAM,WS,2021,Main Draw,DING Ning (CHN),ZHANG Rui (CHN),DING Ning
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,CHEN Xingtong,CHE Xiaoxi,4,3,"11,11,7,11,7,9,11|9,7,11,4,11,11,8",R32,GRAND_SLAM,WS,2021,Main Draw,CHE Xiaoxi (CHN),CHEN Xingtong (CHN),CHEN Xingtong
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,LEE Ho Ching,DOO Hoi Kem,4,0,"11,11,11,12|7,8,8,10",R32,GRAND_SLAM,WS,2021,Main Draw,DOO Hoi Kem (HKG),LEE Ho Ching (HKG),LEE Ho Ching
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,WANG Manyu,WU Yang,4,2,"12,11,7,5,11,11|10,9,11,11,4,7",R32,GRAND_SLAM,WS,2021,Main Draw,WANG Manyu (CHN),WU Yang (CHN),WANG Manyu
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,MORI Sakura,SHIBATA Saki,4,3,"9,11,4,11,11,11,11|11,9,11,3,7,13,6",R32,GRAND_SLAM,WS,2021,Main Draw,MORI Sakura (JPN),SHIBATA Saki (JPN),MORI Sakura
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,MIZUTANI Jun,OIKAWA Mizuki,4,2,"10,11,13,11,13,12|12,13,11,5,11,10",R32,GRAND_SLAM,MS,2021,Main Draw,MIZUTANI Jun (JPN),OIKAWA Mizuki (JPN),MIZUTANI Jun
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,OVTCHAROV Dimitrij,HIRANO Yuki,4,1,"11,4,11,11,11|7,11,2,3,8",R32,GRAND_SLAM,MS,2021,Main Draw,HIRANO Yuki (JPN),OVTCHAROV Dimitrij (GER),OVTCHAROV Dimitrij
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,MA Long,AN Jaehyun,4,1,"11,11,8,11,11|8,8,11,6,6",R32,GRAND_SLAM,MS,2021,Main Draw,AN Jaehyun (KOR),MA Long (CHN),MA Long
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,LIANG Jingkun,PENG Wang-Wei,4,0,"11,11,11,11|5,9,6,8",R32,GRAND_SLAM,MS,2021,Main Draw,PENG Wang-Wei (TPE),LIANG Jingkun (CHN),LIANG Jingkun
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,CALDERANO Hugo,JIN Takuya,4,3,"11,8,12,8,11,8,11|2,11,10,11,7,11,6",R32,GRAND_SLAM,MS,2021,Main Draw,CALDERANO Hugo (BRA),JIN Takuya (JPN),CALDERANO Hugo
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,JEOUNG Youngsik,YAN An,4,3,"6,8,11,11,12,5,11|11,11,7,2,10,11,6",R32,GRAND_SLAM,MS,2021,Main Draw,JEOUNG Youngsik (KOR),YAN An (CHN),JEOUNG Youngsik
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,JANG Woojin,YOSHIDA Masaki,4,1,"11,11,11,11,11|7,13,7,6,8",R32,GRAND_SLAM,MS,2021,Main Draw,JANG Woojin (KOR),YOSHIDA Masaki (JPN),JANG Woojin
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,CHUANG Chih-Yuan,LIM Jonghoon,4,3,"7,9,11,11,7,11,11|11,11,8,8,11,5,7",R32,GRAND_SLAM,MS,2021,Main Draw,LIM Jonghoon (KOR),CHUANG Chih-Yuan (TPE),CHUANG Chih-Yuan
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,KIHARA Miyuu/NAGASAKI Miyu,LEE Ho Ching/NG Wing Nam,3,1,"11,11,2,11|5,6,11,6",QF,GRAND_SLAM,WD,2021,Main Draw,KIHARA Miyuu (JPN) / NAGASAKI Miyu (JPN),LEE Ho Ching (HKG) / NG Wing Nam (HKG),KIHARA Miyuu
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,CHEN Meng/LIU Shiwen,DOO Hoi Kem/SOO Wai Yam,3,0,"11,11,11|6,7,9",QF,GRAND_SLAM,WD,2021,Main Draw,CHEN Meng (CHN) / LIU Shiwen (CHN),DOO Hoi Kem (HKG) / SOO Wai Yam (HKG),CHEN Meng
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,SUN Yingsha/WANG Manyu,CHOI Hyojoo/KIM Jiho,3,0,"11,11,11|8,6,8",QF,GRAND_SLAM,WD,2021,Main Draw,SUN Yingsha (CHN) / WANG Manyu (CHN),CHOI Hyojoo (KOR) / KIM Jiho (KOR),SUN Yingsha
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,CHEN Szu-Yu/CHENG Hsien-Tzu,BAJOR Natalia/PARTYKA Natalia,3,1,"11,7,11,11|9,11,5,9",QF,GRAND_SLAM,WD,2021,Main Draw,CHEN Szu-Yu (TPE) / CHENG Hsien-Tzu (TPE),BAJOR Natalia (POL) / PARTYKA Natalia (POL),CHEN Szu-Yu
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,CHEN Chien-An/CHUANG Chih-Yuan,TOGAMI Shunsuke/UDA Yukiya,3,0,"11,11,11|8,9,9",QF,GRAND_SLAM,MD,2021,Main Draw,CHEN Chien-An (TPE) / CHUANG Chih-Yuan (TPE),TOGAMI Shunsuke (JPN) / UDA Yukiya (JPN),CHEN Chien-An
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,LIANG Jingkun/LIN Gaoyuan,ACHANTA Sharath/GNANASEKARAN Sathiyan,3,1,"11,8,11,11|8,11,4,9",QF,GRAND_SLAM,MD,2021,Main Draw,LIANG Jingkun (CHN) / LIN Gaoyuan (CHN),ACHANTA Sharath (IND) / GNANASEKARAN Sathiyan (IND),LIANG Jingkun
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,DUDA Benedikt/QIU Dang,AFANADOR Brian/GONZALEZ Daniel,3,1,"8,12,11,11|11,10,6,8",QF,GRAND_SLAM,MD,2021,Main Draw,DUDA Benedikt (GER) / QIU Dang (GER),AFANADOR Brian (PUR) / GONZALEZ Daniel (PUR),DUDA Benedikt
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,FAN Zhendong/XU Xin,LIAO Cheng-Ting/LIN Yun-Ju,3,0,"11,11,11|4,4,4",QF,GRAND_SLAM,MD,2021,Main Draw,FAN Zhendong (CHN) / XU Xin (CHN),LIAO Cheng-Ting (TPE) / LIN Yun-Ju (TPE),FAN Zhendong
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,HARIMOTO Tomokazu/HAYATA Hina,LEE Sang Su/JEON Jihee,3,0,"11,11,11|6,9,6",QF,GRAND_SLAM,XD,2021,Main Draw,HARIMOTO Tomokazu (JPN) / HAYATA Hina (JPN),LEE Sang Su (KOR) / JEON Jihee (KOR),HARIMOTO Tomokazu
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,LIN Yun-Ju/CHENG I-Ching,NIWA Koki/ITO Mima,3,1,"11,11,4,11|9,8,11,7",QF,GRAND_SLAM,XD,2021,Main Draw,LIN Yun-Ju (TPE) / CHENG I-Ching (TPE),NIWA Koki (JPN) / ITO Mima (JPN),LIN Yun-Ju
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,XU Xin/ZHU Yuling,WONG Chun Ting/DOO Hoi Kem,3,1,"9,11,11,11|11,5,6,9",QF,GRAND_SLAM,XD,2021,Main Draw,XU Xin (CHN) / ZHU Yuling (MAC),WONG Chun Ting (HKG) / DOO Hoi Kem (HKG),XU Xin
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,FAN Zhendong/DING Ning,CHO Daeseong/SHIN Yubin,3,0,"11,11,11|5,7,5",QF,GRAND_SLAM,XD,2021,Main Draw,FAN Zhendong (CHN) / DING Ning (CHN),CHO Daeseong (KOR) / SHIN Yubin (KOR),FAN Zhendong
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,SUN Yingsha,ISHIKAWA Kasumi,4,0,"11,11,11,11|8,6,5,6",R16,GRAND_SLAM,WS,2021,Main Draw,SUN Yingsha (CHN),ISHIKAWA Kasumi (JPN),SUN Yingsha
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,SATO Hitomi,DING Ning,4,2,"12,6,3,12,11,11|10,11,11,10,6,9",R16,GRAND_SLAM,WS,2021,Main Draw,DING Ning (CHN),SATO Hitomi (JPN),SATO Hitomi
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,LIU Shiwen,JEON Jihee,4,2,"6,11,7,11,11,11|11,5,11,3,5,3",R16,GRAND_SLAM,WS,2021,Main Draw,JEON Jihee (KOR),LIU Shiwen (CHN),LIU Shiwen
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,CHEN Meng,LEE Ho Ching,4,0,"11,11,11,14|5,4,4,12",R16,GRAND_SLAM,WS,2021,Main Draw,LEE Ho Ching (HKG),CHEN Meng (CHN),CHEN Meng
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,HIRANO Miu,NAGASAKI Miyu,4,1,"8,11,11,12,11|11,5,5,10,9",R16,GRAND_SLAM,WS,2021,Main Draw,HIRANO Miu (JPN),NAGASAKI Miyu (JPN),HIRANO Miu
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,LIU Fei,MORI Sakura,4,3,"11,9,11,11,12,7,13|13,11,6,6,10,11,11",R16,GRAND_SLAM,WS,2021,Main Draw,LIU Fei (CHN),MORI Sakura (JPN),LIU Fei
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,WANG Manyu,CHEN Xingtong,4,0,"11,11,11,11|9,5,2,8",R16,GRAND_SLAM,WS,2021,Main Draw,WANG Manyu (CHN),CHEN Xingtong (CHN),WANG Manyu
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,GU Yuting,HE Zhuojia,4,2,"11,7,5,11,11,11|5,11,11,5,3,9",R16,GRAND_SLAM,WS,2021,Main Draw,GU Yuting (CHN),HE Zhuojia (CHN),GU Yuting
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,LIANG Jingkun,MIZUTANI Jun,4,2,"3,9,11,16,12,11|11,11,8,14,10,5",R16,GRAND_SLAM,MS,2021,Main Draw,MIZUTANI Jun (JPN),LIANG Jingkun (CHN),LIANG Jingkun
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,CALDERANO Hugo,FILUS Ruwen,4,3,"5,11,9,11,9,11,11|11,5,11,7,11,5,3",R16,GRAND_SLAM,MS,2021,Main Draw,CALDERANO Hugo (BRA),FILUS Ruwen (GER),CALDERANO Hugo
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,FAN Zhendong,YOSHIMURA Kazuhiro,4,0,"11,11,11,13|2,7,6,11",R16,GRAND_SLAM,MS,2021,Main Draw,FAN Zhendong (CHN),YOSHIMURA Kazuhiro (JPN),FAN Zhendong
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,MA Long,JEOUNG Youngsik,4,3,"11,7,11,9,9,12,11|9,11,9,11,11,10,5",R16,GRAND_SLAM,MS,2021,Main Draw,JEOUNG Youngsik (KOR),MA Long (CHN),MA Long
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,JANG Woojin,OVTCHAROV Dimitrij,4,0,"11,11,11,11|7,8,9,7",R16,GRAND_SLAM,MS,2021,Main Draw,JANG Woojin (KOR),OVTCHAROV Dimitrij (GER),JANG Woojin
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,XU Xin,CHUANG Chih-Yuan,4,0,"11,11,17,11|6,7,15,4",R16,GRAND_SLAM,MS,2021,Main Draw,CHUANG Chih-Yuan (TPE),XU Xin (CHN),XU Xin
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,SUN Wen,LEE Sang Su,4,1,"11,8,11,11,11|3,11,8,8,7",R16,GRAND_SLAM,MS,2021,Main Draw,SUN Wen (CHN),LEE Sang Su (KOR),SUN Wen
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,LIN Yun-Ju,LIN Gaoyuan,4,2,"9,9,21,11,11,11|11,11,19,9,7,9",R16,GRAND_SLAM,MS,2021,Main Draw,LIN Yun-Ju (TPE),LIN Gaoyuan (CHN),LIN Yun-Ju
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,HARIMOTO Tomokazu/HAYATA Hina,FAN Zhendong/DING Ning,3,1,"11,11,13,11|7,9,15,9",SF,GRAND_SLAM,XD,2021,Main Draw,HARIMOTO Tomokazu (JPN) / HAYATA Hina (JPN),FAN Zhendong (CHN) / DING Ning (CHN),HARIMOTO Tomokazu
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,XU Xin/ZHU Yuling,LIN Yun-Ju/CHENG I-Ching,3,0,"11,11,11|6,7,4",SF,GRAND_SLAM,XD,2021,Main Draw,XU Xin (CHN) / ZHU Yuling (MAC),LIN Yun-Ju (TPE) / CHENG I-Ching (TPE),XU Xin
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,SUN Yingsha/WANG Manyu,KIHARA Miyuu/NAGASAKI Miyu,3,2,"9,11,11,7,11|11,3,8,11,6",SF,GRAND_SLAM,WD,2021,Main Draw,SUN Yingsha (CHN) / WANG Manyu (CHN),KIHARA Miyuu (JPN) / NAGASAKI Miyu (JPN),SUN Yingsha
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,CHEN Meng/LIU Shiwen,CHEN Szu-Yu/CHENG Hsien-Tzu,3,1,"11,11,9,11|5,3,11,6",SF,GRAND_SLAM,WD,2021,Main Draw,CHEN Meng (CHN) / LIU Shiwen (CHN),CHEN Szu-Yu (TPE) / CHENG Hsien-Tzu (TPE),CHEN Meng
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,FAN Zhendong/XU Xin,LIANG Jingkun/LIN Gaoyuan,3,0,"11,11,11|5,8,5",SF,GRAND_SLAM,MD,2021,Main Draw,FAN Zhendong (CHN) / XU Xin (CHN),LIANG Jingkun (CHN) / LIN Gaoyuan (CHN),FAN Zhendong
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,DUDA Benedikt/QIU Dang,CHEN Chien-An/CHUANG Chih-Yuan,3,1,"11,9,11,11|7,11,9,1",SF,GRAND_SLAM,MD,2021,Main Draw,DUDA Benedikt (GER) / QIU Dang (GER),CHEN Chien-An (TPE) / CHUANG Chih-Yuan (TPE),DUDA Benedikt
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,CHEN Meng,GU Yuting,4,3,"11,7,11,7,11,10,11|6,11,4,11,7,12,5",QF,GRAND_SLAM,WS,2021,Main Draw,GU Yuting (CHN),CHEN Meng (CHN),CHEN Meng
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,LIU Shiwen,LIU Fei,4,1,"11,11,7,11,11|8,7,11,1,5",QF,GRAND_SLAM,WS,2021,Main Draw,LIU Fei (CHN),LIU Shiwen (CHN),LIU Shiwen
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,SUN Wen,LIANG Jingkun,4,2,"11,13,2,11,9,11|6,11,11,8,11,7",QF,GRAND_SLAM,MS,2021,Main Draw,SUN Wen (CHN),LIANG Jingkun (CHN),SUN Wen
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,LIN Yun-Ju,CALDERANO Hugo,4,0,"13,11,11,12|11,9,7,10",QF,GRAND_SLAM,MS,2021,Main Draw,CALDERANO Hugo (BRA),LIN Yun-Ju (TPE),LIN Yun-Ju
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,XU Xin/ZHU Yuling,HARIMOTO Tomokazu/HAYATA Hina,3,0,"12,11,11|10,6,5",F,GRAND_SLAM,XD,2021,Main Draw,XU Xin (CHN) / ZHU Yuling (MAC),HARIMOTO Tomokazu (JPN) / HAYATA Hina (JPN),XU Xin
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,HIRANO Miu,SATO Hitomi,4,0,"12,11,11,11|10,6,5,8",QF,GRAND_SLAM,WS,2021,Main Draw,SATO Hitomi (JPN),HIRANO Miu (JPN),HIRANO Miu
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,FAN Zhendong,MA Long,4,1,"14,11,8,11,11|12,6,11,7,5",QF,GRAND_SLAM,MS,2021,Main Draw,FAN Zhendong (CHN),MA Long (CHN),FAN Zhendong
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,SUN Yingsha,WANG Manyu,4,0,"11,12,11,11|8,10,4,9",QF,GRAND_SLAM,WS,2021,Main Draw,WANG Manyu (CHN),SUN Yingsha (CHN),SUN Yingsha
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,XU Xin,JANG Woojin,4,0,"11,11,11,11|5,5,9,6",QF,GRAND_SLAM,MS,2021,Main Draw,JANG Woojin (KOR),XU Xin (CHN),XU Xin
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,SUN Yingsha,CHEN Meng,4,1,"5,11,11,14,11|11,8,7,12,6",SF,GRAND_SLAM,WS,2021,Main Draw,SUN Yingsha (CHN),CHEN Meng (CHN),SUN Yingsha
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,LIU Shiwen,HIRANO Miu,4,1,"9,11,11,11,12|11,5,4,3,10",SF,GRAND_SLAM,WS,2021,Main Draw,HIRANO Miu (JPN),LIU Shiwen (CHN),LIU Shiwen
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,LIN Yun-Ju,SUN Wen,4,1,"6,11,11,11,11|11,2,4,9,4",SF,GRAND_SLAM,MS,2021,Main Draw,SUN Wen (CHN),LIN Yun-Ju (TPE),LIN Yun-Ju
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,XU Xin,FAN Zhendong,4,3,"5,11,11,5,6,11,11|11,4,7,11,11,8,3",SF,GRAND_SLAM,MS,2021,Main Draw,FAN Zhendong (CHN),XU Xin (CHN),XU Xin
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,CHEN Meng/LIU Shiwen,SUN Yingsha/WANG Manyu,3,1,"11,11,7,11|9,6,11,9",F,GRAND_SLAM,WD,2021,Main Draw,CHEN Meng (CHN) / LIU Shiwen (CHN),SUN Yingsha (CHN) / WANG Manyu (CHN),CHEN Meng
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,FAN Zhendong/XU Xin,DUDA Benedikt/QIU Dang,3,0,"12,11,11|10,9,7",F,GRAND_SLAM,MD,2021,Main Draw,FAN Zhendong (CHN) / XU Xin (CHN),DUDA Benedikt (GER) / QIU Dang (GER),FAN Zhendong
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,SUN Yingsha,LIU Shiwen,4,3,"11,11,4,6,7,11,11|4,9,11,11,11,8,3",F,GRAND_SLAM,WS,2021,Main Draw,LIU Shiwen (CHN),SUN Yingsha (CHN),SUN Yingsha
