tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
WTT Contender Rio de Janeiro 2023,2023-08-07,CHO Daeseong,AGUIRRE Marcelo,3,2,"6,13,11,7,11|11,11,6,11,8",QR1,WTT_CONTENDER,MS,2722,Qualification,CHO Daeseong (KOR),AGUIRRE Marcelo (PAR)
WTT Contender Rio de Janeiro 2023,2023-08-07,OH Junsung,OYEBODE John,3,1,"11,11,8,11|8,9,11,4",QR1,WTT_CONTENDER,MS,2722,Qualification,OH Junsung (KOR),OYEBODE John (ITA)
WTT Contender Rio de Janeiro 2023,2023-08-07,BURGOS Nicolas,SARMENTO Allan,3,0,"11,11,11|5,7,7",QR1,WTT_CONTENDER,MS,2722,Qualification,BURGOS Nicolas (CHI),SARMENTO Allan (BRA)
WTT Contender Rio de Janeiro 2023,2023-08-07,ROLLAND Jules,ISHIDA Carlos,3,1,"15,11,12,11|17,7,10,5",QR1,WTT_CONTENDER,MS,2722,Qualification,ROLLAND Jules (FRA),ISHIDA Carlos (BRA)
WTT Contender Rio de Janeiro 2023,2023-08-07,TEODORO Guilherme,ARATA Leonardo,3,0,"13,11,11|11,5,9",QR1,WTT_CONTENDER,MS,2722,Qualification,TEODORO Guilherme (BRA),ARATA Leonardo (BRA)
WTT Contender Rio de Janeiro 2023,2023-08-07,YANG Tzu-Yi,JAIN Payas,3,2,"9,11,13,1,11|11,9,11,11,9",QR1,WTT_CONTENDER,MS,2722,Qualification,YANG Tzu-Yi (TPE),JAIN Payas (IND)
WTT Contender Rio de Janeiro 2023,2023-08-07,LAMBIET Florent,TSUBOI Gustavo,3,2,"7,13,7,11,11|11,11,11,5,5",QR1,WTT_CONTENDER,MS,2722,Qualification,LAMBIET Florent (BEL),TSUBOI Gustavo (BRA)
WTT Contender Rio de Janeiro 2023,2023-08-07,AFANADOR Brian,HUANG Yan-Cheng,3,0,"11,11,11|0,0,0",QR1,WTT_CONTENDER,MS,2722,Qualification,AFANADOR Brian (PUR),HUANG Yan-Cheng (TPE)
WTT Contender Rio de Janeiro 2023,2023-08-07,ECSEKI Nandor,DUFFOO Felipe,3,1,"8,11,11,11|11,8,4,8",QR1,WTT_CONTENDER,MS,2722,Qualification,ECSEKI Nandor (HUN),DUFFOO Felipe (PER)
WTT Contender Rio de Janeiro 2023,2023-08-07,PISTEJ Lubomir,PRADELLA Thiago,3,0,"11,11,11|3,8,4",QR1,WTT_CONTENDER,MS,2722,Qualification,PISTEJ Lubomir (SVK),PRADELLA Thiago (BRA)
WTT Contender Rio de Janeiro 2023,2023-08-07,HIDALGO Rodrigo,OLAVE Alfonso,3,0,"11,11,12|8,9,10",QR1,WTT_CONTENDER,MS,2722,Qualification,HIDALGO Rodrigo (PER),OLAVE Alfonso (CHI)
WTT Contender Rio de Janeiro 2023,2023-08-07,PEREZ Juan,RASSENFOSSE Adrien,3,0,"11,12,11|8,10,6",QR1,WTT_CONTENDER,MS,2722,Qualification,PEREZ Juan (ESP),RASSENFOSSE Adrien (BEL)
WTT Contender Rio de Janeiro 2023,2023-08-07,GNANASEKARAN Sathiyan,KEINATH Thomas,3,0,"11,11,12|7,8,10",QR1,WTT_CONTENDER,MS,2722,Qualification,GNANASEKARAN Sathiyan (IND),KEINATH Thomas (SVK)
WTT Contender Rio de Janeiro 2023,2023-08-07,MA Jinbao,NOGUTI Henrique,3,0,"11,11,11|4,6,9",QR1,WTT_CONTENDER,MS,2722,Qualification,MA Jinbao (USA),NOGUTI Henrique (BRA)
WTT Contender Rio de Janeiro 2023,2023-08-07,YAMADA Jessica,SCHOLZ Vivien,3,2,"7,7,11,13,11|11,11,8,11,7",QR1,WTT_CONTENDER,WS,2722,Qualification,YAMADA Jessica (BRA),SCHOLZ Vivien (LUX)
WTT Contender Rio de Janeiro 2023,2023-08-07,KIM Hayeong,VIVARELLI Debora,3,2,"9,14,11,11,11|11,16,7,6,7",QR1,WTT_CONTENDER,WS,2722,Qualification,KIM Hayeong (KOR),VIVARELLI Debora (ITA)
WTT Contender Rio de Janeiro 2023,2023-08-07,BARCENAS Clio,STRASSBURGER Victoria,3,2,"7,10,11,11,14|11,12,8,3,12",QR1,WTT_CONTENDER,WS,2722,Qualification,BARCENAS Clio (MEX),STRASSBURGER Victoria (BRA)
WTT Contender Rio de Janeiro 2023,2023-08-07,YOON Hyobin,KAMATH Archana Girish,3,1,"11,5,11,11|9,11,9,8",QR1,WTT_CONTENDER,WS,2722,Qualification,YOON Hyobin (KOR),KAMATH Archana Girish (IND)
WTT Contender Rio de Janeiro 2023,2023-08-07,DARI Helga,SENAGA SHIRAY Karina Ayumi,3,0,"11,11,11|9,3,6",QR1,WTT_CONTENDER,WS,2722,Qualification,DARI Helga (HUN),SENAGA SHIRAY Karina Ayumi (BRA)
WTT Contender Rio de Janeiro 2023,2023-08-07,HUANG Yu-Wen,ZENG Zhiying,3,2,"9,2,11,11,11|11,11,9,9,3",QR1,WTT_CONTENDER,WS,2722,Qualification,HUANG Yu-Wen (TPE),ZENG Zhiying (CHI)
WTT Contender Rio de Janeiro 2023,2023-08-07,BURGOS Brianna,RODRIGUEZ Alondra,3,1,"11,5,11,11|8,11,7,8",QR1,WTT_CONTENDER,WS,2722,Qualification,BURGOS Brianna (PUR),RODRIGUEZ Alondra (PUR)
WTT Contender Rio de Janeiro 2023,2023-08-07,MISCHEK Karoline,PRATES Jessica,3,0,"11,11,11|6,8,5",QR1,WTT_CONTENDER,WS,2722,Qualification,MISCHEK Karoline (AUT),PRATES Jessica (BRA)
WTT Contender Rio de Janeiro 2023,2023-08-07,RIOS Valentina,PINCERATO Gabrielle,3,0,"11,11,11|5,2,2",QR1,WTT_CONTENDER,WS,2722,Qualification,RIOS Valentina (CHI),PINCERATO Gabrielle (BRA)
WTT Contender Rio de Janeiro 2023,2023-08-07,MORALES Judith,SERIKAWA Camila,3,1,"10,11,11,11|12,7,9,5",QR1,WTT_CONTENDER,WS,2722,Qualification,MORALES Judith (CHI),SERIKAWA Camila (BRA)
WTT Contender Rio de Janeiro 2023,2023-08-07,DE NUTTE Sarah,HARTBRICH Leonie,3,0,"11,11,11|7,6,9",QR1,WTT_CONTENDER,WS,2722,Qualification,DE NUTTE Sarah (LUX),HARTBRICH Leonie (HUN)
WTT Contender Rio de Janeiro 2023,2023-08-07,COSSIO ACEVES Arantxa,SARDA Mahayla Aime,3,0,"11,11,11|6,7,2",QR1,WTT_CONTENDER,WS,2722,Qualification,COSSIO ACEVES Arantxa (MEX),SARDA Mahayla Aime (BRA)
WTT Contender Rio de Janeiro 2023,2023-08-07,HURSEY Anna,GONDERINGER Tessy,3,0,"11,11,11|7,1,6",QR1,WTT_CONTENDER,WS,2722,Qualification,HURSEY Anna (WAL),GONDERINGER Tessy (LUX)
WTT Contender Rio de Janeiro 2023,2023-08-08,DE NUTTE Sarah,LIU Hsing-Yin,3,2,"10,11,9,11,12|12,3,11,4,10",QR2,WTT_CONTENDER,WS,2722,Qualification,DE NUTTE Sarah (LUX),LIU Hsing-Yin (TPE)
WTT Contender Rio de Janeiro 2023,2023-08-08,MONFARDINI Gaia,DIAZ Fabiola,3,2,"8,7,11,11,11|11,11,5,8,5",QR2,WTT_CONTENDER,WS,2722,Qualification,MONFARDINI Gaia (ITA),DIAZ Fabiola (PUR)
WTT Contender Rio de Janeiro 2023,2023-08-08,ORTEGA Daniela,DIAZ Melanie,3,1,"11,7,11,11|9,11,9,6",QR2,WTT_CONTENDER,WS,2722,Qualification,ORTEGA Daniela (CHI),DIAZ Melanie (PUR)
WTT Contender Rio de Janeiro 2023,2023-08-08,KIM Nayeong,MORALES Judith,3,1,"11,11,7,11|3,9,11,7",QR2,WTT_CONTENDER,WS,2722,Qualification,KIM Nayeong (KOR),MORALES Judith (CHI)
WTT Contender Rio de Janeiro 2023,2023-08-08,ZARIF Audrey,RIOS Valentina,3,0,"11,11,11|5,9,4",QR2,WTT_CONTENDER,WS,2722,Qualification,ZARIF Audrey (FRA),RIOS Valentina (CHI)
WTT Contender Rio de Janeiro 2023,2023-08-08,DARI Helga,ALTINKAYA Sibel,3,2,"8,11,6,11,17|11,8,11,7,15",QR2,WTT_CONTENDER,WS,2722,Qualification,DARI Helga (HUN),ALTINKAYA Sibel (TUR)
WTT Contender Rio de Janeiro 2023,2023-08-08,ZHANG Sofia-Xuan,VEGA Paulina,3,0,"11,13,11|5,11,9",QR2,WTT_CONTENDER,WS,2722,Qualification,ZHANG Sofia-Xuan (ESP),VEGA Paulina (CHI)
WTT Contender Rio de Janeiro 2023,2023-08-08,LEE Eunhye,BURGOS Brianna,3,0,"11,11,11|8,6,6",QR2,WTT_CONTENDER,WS,2722,Qualification,LEE Eunhye (KOR),BURGOS Brianna (PUR)
WTT Contender Rio de Janeiro 2023,2023-08-08,DRINKHALL Paul,HAUG Borgar,3,2,"9,16,11,13,11|11,18,8,11,7",QR2,WTT_CONTENDER,MS,2722,Qualification,DRINKHALL Paul (ENG),HAUG Borgar (NOR)
WTT Contender Rio de Janeiro 2023,2023-08-08,TEODORO Guilherme,LIAO Cheng-Ting,3,2,"3,6,11,11,13|11,11,7,6,11",QR2,WTT_CONTENDER,MS,2722,Qualification,TEODORO Guilherme (BRA),LIAO Cheng-Ting (TPE)
WTT Contender Rio de Janeiro 2023,2023-08-08,WALTHER Ricardo,STUMPER Kay,3,2,"11,11,8,3,11|9,6,11,11,8",QR2,WTT_CONTENDER,MS,2722,Qualification,WALTHER Ricardo (GER),STUMPER Kay (GER)
WTT Contender Rio de Janeiro 2023,2023-08-08,OIKAWA Mizuki,PENG Wang-Wei,3,1,"11,15,11,11|5,17,8,9",QR2,WTT_CONTENDER,MS,2722,Qualification,OIKAWA Mizuki (JPN),PENG Wang-Wei (TPE)
WTT Contender Rio de Janeiro 2023,2023-08-08,CHO Daeseong,GNANASEKARAN Sathiyan,3,1,"11,11,6,11|4,7,11,6",QR2,WTT_CONTENDER,MS,2722,Qualification,CHO Daeseong (KOR),GNANASEKARAN Sathiyan (IND)
WTT Contender Rio de Janeiro 2023,2023-08-08,JARVIS Tom,MEISSNER Cedric,3,1,"11,11,5,12|9,3,11,10",QR2,WTT_CONTENDER,MS,2722,Qualification,JARVIS Tom (ENG),MEISSNER Cedric (GER)
WTT Contender Rio de Janeiro 2023,2023-08-08,MATSUSHIMA Sora,MONTEIRO Joao,3,0,"11,11,13|7,1,11",QR2,WTT_CONTENDER,MS,2722,Qualification,MATSUSHIMA Sora (JPN),MONTEIRO Joao (POR)
WTT Contender Rio de Janeiro 2023,2023-08-08,DESAI Harmeet,BURGOS Nicolas,3,0,"11,11,11|6,4,8",QR2,WTT_CONTENDER,MS,2722,Qualification,DESAI Harmeet (IND),BURGOS Nicolas (CHI)
WTT Contender Rio de Janeiro 2023,2023-08-08,GOMEZ Gustavo/ORTEGA Daniela,NOGUTI Henrique/SENAGA SHIRAY Karina Ayumi,3,1,"11,13,10,11|9,11,12,8",QR1,WTT_CONTENDER,XD,2722,Qualification,GOMEZ Gustavo/ORTEGA Daniela (CHI),NOGUTI Henrique/SENAGA SHIRAY Karina Ayumi (BRA)
WTT Contender Rio de Janeiro 2023,2023-08-08,OYEBODE John/MONFARDINI Gaia,PITCHFORD Liam/HURSEY Anna,3,0,"11,11,11|5,5,6",QR1,WTT_CONTENDER,XD,2722,Qualification,OYEBODE John/MONFARDINI Gaia (ITA),PITCHFORD Liam/HURSEY Anna (ENG/WAL)
WTT Contender Rio de Janeiro 2023,2023-08-08,WANG Yang/KUKULKOVA Tatiana,GOMEZ Juan Jesus/COSSIO ACEVES Arantxa,3,0,"11,11,11|4,1,9",QR1,WTT_CONTENDER,XD,2722,Qualification,WANG Yang/KUKULKOVA Tatiana (SVK),GOMEZ Juan Jesus/COSSIO ACEVES Arantxa (MEX)
WTT Contender Rio de Janeiro 2023,2023-08-08,AFANADOR Brian/DIAZ Adriana,DUFFOO Felipe/SCHOLZ Vivien,3,0,"11,11,11|0,0,0",QR1,WTT_CONTENDER,XD,2722,Qualification,AFANADOR Brian/DIAZ Adriana (PUR),DUFFOO Felipe/SCHOLZ Vivien (PER/LUX)
WTT Contender Rio de Janeiro 2023,2023-08-08,KIM Hayeong,BALAZOVA Barbora,3,1,"8,11,11,11|11,7,6,9",QR2,WTT_CONTENDER,WS,2722,Qualification,KIM Hayeong (KOR),BALAZOVA Barbora (SVK)
WTT Contender Rio de Janeiro 2023,2023-08-08,AKULA Sreeja,BARCENAS Clio,3,2,"11,11,12,9,11|5,8,14,11,7",QR2,WTT_CONTENDER,WS,2722,Qualification,AKULA Sreeja (IND),BARCENAS Clio (MEX)
WTT Contender Rio de Janeiro 2023,2023-08-08,KALLBERG Christina,MISCHEK Karoline,3,0,"11,11,11|3,7,6",QR2,WTT_CONTENDER,WS,2722,Qualification,KALLBERG Christina (SWE),MISCHEK Karoline (AUT)
WTT Contender Rio de Janeiro 2023,2023-08-08,PICCOLIN Giorgia,HURSEY Anna,3,2,"5,11,11,8,11|11,9,8,11,7",QR2,WTT_CONTENDER,WS,2722,Qualification,PICCOLIN Giorgia (ITA),HURSEY Anna (WAL)
WTT Contender Rio de Janeiro 2023,2023-08-08,MADARASZ Dora,HUANG Yu-Wen,3,1,"9,13,11,13|11,11,7,11",QR2,WTT_CONTENDER,WS,2722,Qualification,MADARASZ Dora (HUN),HUANG Yu-Wen (TPE)
WTT Contender Rio de Janeiro 2023,2023-08-08,HUANG Yi-Hua,YAMADA Jessica,3,1,"11,6,11,11|4,11,4,3",QR2,WTT_CONTENDER,WS,2722,Qualification,HUANG Yi-Hua (TPE),YAMADA Jessica (BRA)
WTT Contender Rio de Janeiro 2023,2023-08-08,COSSIO ACEVES Arantxa,LUTZ Camille,3,1,"5,11,11,11|11,7,6,4",QR2,WTT_CONTENDER,WS,2722,Qualification,COSSIO ACEVES Arantxa (MEX),LUTZ Camille (FRA)
WTT Contender Rio de Janeiro 2023,2023-08-08,MA Jinbao,ZHMUDENKO Yaroslav,3,2,"8,11,5,11,11|11,6,11,5,3",QR2,WTT_CONTENDER,MS,2722,Qualification,MA Jinbao (USA),ZHMUDENKO Yaroslav (UKR)
WTT Contender Rio de Janeiro 2023,2023-08-08,GOMEZ Gustavo,IIZUKA Leonardo,3,2,"11,11,9,8,12|8,9,11,11,10",QR2,WTT_CONTENDER,MS,2722,Qualification,GOMEZ Gustavo (CHI),IIZUKA Leonardo (BRA)
WTT Contender Rio de Janeiro 2023,2023-08-08,BRATEYKO Solomiya,YOON Hyobin,3,0,"11,11,11|2,6,8",QR2,WTT_CONTENDER,WS,2722,Qualification,BRATEYKO Solomiya (UKR),YOON Hyobin (KOR)
WTT Contender Rio de Janeiro 2023,2023-08-08,PEREZ Juan,LAMBIET Florent,3,2,"11,6,11,9,11|8,11,7,11,3",QR2,WTT_CONTENDER,MS,2722,Qualification,PEREZ Juan (ESP),LAMBIET Florent (BEL)
WTT Contender Rio de Janeiro 2023,2023-08-08,ROLLAND Jules,LORENZO Santiago,3,1,"11,9,11,11|2,11,7,5",QR2,WTT_CONTENDER,MS,2722,Qualification,ROLLAND Jules (FRA),LORENZO Santiago (ARG)
WTT Contender Rio de Janeiro 2023,2023-08-08,YANG Tzu-Yi,OH Junsung,3,2,"11,11,7,10,11|9,8,11,12,5",QR2,WTT_CONTENDER,MS,2722,Qualification,YANG Tzu-Yi (TPE),OH Junsung (KOR)
WTT Contender Rio de Janeiro 2023,2023-08-08,ALLEGRO Martin,ECSEKI Nandor,3,0,"11,12,11|5,10,8",QR2,WTT_CONTENDER,MS,2722,Qualification,ALLEGRO Martin (BEL),ECSEKI Nandor (HUN)
WTT Contender Rio de Janeiro 2023,2023-08-08,PISTEJ Lubomir,CIFUENTES Horacio,3,1,"11,8,11,11|8,11,7,9",QR2,WTT_CONTENDER,MS,2722,Qualification,PISTEJ Lubomir (SVK),CIFUENTES Horacio (ARG)
WTT Contender Rio de Janeiro 2023,2023-08-08,AFANADOR Brian,HIDALGO Rodrigo,3,0,"11,13,11|7,11,7",QR2,WTT_CONTENDER,MS,2722,Qualification,AFANADOR Brian (PUR),HIDALGO Rodrigo (PER)
WTT Contender Rio de Janeiro 2023,2023-08-08,HARTBRICH Leonie/DARI Helga,SARDA Mahayla Aime/PRATES Jessica,3,1,"11,7,11,11|7,11,6,8",QR1,WTT_CONTENDER,WD,2722,Qualification,HARTBRICH Leonie/DARI Helga (HUN),SARDA Mahayla Aime/PRATES Jessica (BRA)
WTT Contender Rio de Janeiro 2023,2023-08-08,DE NUTTE Sarah/GONDERINGER Tessy,MORALES Judith/ZENG Zhiying,3,0,"11,11,11|7,7,7",QR1,WTT_CONTENDER,WD,2722,Qualification,DE NUTTE Sarah/GONDERINGER Tessy (LUX),MORALES Judith/ZENG Zhiying (CHI)
WTT Contender Rio de Janeiro 2023,2023-08-08,LEE Eunhye/YANG Ha Eun,VEGA Paulina/ORTEGA Daniela,3,0,"12,11,11|10,8,7",QR1,WTT_CONTENDER,WD,2722,Qualification,LEE Eunhye/YANG Ha Eun (KOR),VEGA Paulina/ORTEGA Daniela (CHI)
WTT Contender Rio de Janeiro 2023,2023-08-08,ZARIF Audrey/ZHANG Sofia-Xuan,ALEXANDRE Bruna/STRASSBURGER Victoria,3,0,"11,11,11|4,5,8",QR1,WTT_CONTENDER,WD,2722,Qualification,ZARIF Audrey/ZHANG Sofia-Xuan (FRA/ESP),ALEXANDRE Bruna/STRASSBURGER Victoria (BRA)
WTT Contender Rio de Janeiro 2023,2023-08-08,ROSSI Carlo/OYEBODE John,IIZUKA Leonardo/NOGUTI Henrique,3,2,"10,11,11,6,11|12,5,5,11,8",QR1,WTT_CONTENDER,MD,2722,Qualification,ROSSI Carlo/OYEBODE John (ITA),IIZUKA Leonardo/NOGUTI Henrique (BRA)
WTT Contender Rio de Janeiro 2023,2023-08-08,VIVARELLI Debora/MONFARDINI Gaia,SENAGA SHIRAY Karina Ayumi/WATANABE Laura,3,2,"10,2,15,11,11|12,11,13,7,2",QR1,WTT_CONTENDER,WD,2722,Qualification,VIVARELLI Debora/MONFARDINI Gaia (ITA),SENAGA SHIRAY Karina Ayumi/WATANABE Laura (BRA)
WTT Contender Rio de Janeiro 2023,2023-08-08,AGUIRRE Marcelo/TORANZOS Alejandro,GOMBOS Ludovic/PEREZ Juan,3,0,"11,13,11|9,11,4",QR1,WTT_CONTENDER,MD,2722,Qualification,AGUIRRE Marcelo/TORANZOS Alejandro (PAR),GOMBOS Ludovic/PEREZ Juan (USA/ESP)
WTT Contender Rio de Janeiro 2023,2023-08-08,OIKAWA Mizuki/MATSUSHIMA Sora,LIANG Jishan/MA Jinbao,3,1,"10,11,11,11|12,5,8,8",QR1,WTT_CONTENDER,MD,2722,Qualification,OIKAWA Mizuki/MATSUSHIMA Sora (JPN),LIANG Jishan/MA Jinbao (USA)
WTT Contender Rio de Janeiro 2023,2023-08-09,HUANG Yi-Hua,ORTEGA Daniela,3,0,"11,11,13|8,2,11",QR3,WTT_CONTENDER,WS,2722,Qualification,HUANG Yi-Hua (TPE),ORTEGA Daniela (CHI)
WTT Contender Rio de Janeiro 2023,2023-08-09,BRATEYKO Solomiya,KIM Hayeong,3,1,"11,8,11,11|7,11,9,5",QR3,WTT_CONTENDER,WS,2722,Qualification,BRATEYKO Solomiya (UKR),KIM Hayeong (KOR)
WTT Contender Rio de Janeiro 2023,2023-08-09,COSSIO ACEVES Arantxa,PICCOLIN Giorgia,3,1,"11,13,6,11|5,11,11,6",QR3,WTT_CONTENDER,WS,2722,Qualification,COSSIO ACEVES Arantxa (MEX),PICCOLIN Giorgia (ITA)
WTT Contender Rio de Janeiro 2023,2023-08-09,KALLBERG Christina,ZARIF Audrey,3,2,"11,11,9,7,11|8,9,11,11,8",QR3,WTT_CONTENDER,WS,2722,Qualification,KALLBERG Christina (SWE),ZARIF Audrey (FRA)
WTT Contender Rio de Janeiro 2023,2023-08-09,LEE Eunhye,MADARASZ Dora,3,0,"11,11,11|8,6,5",QR3,WTT_CONTENDER,WS,2722,Qualification,LEE Eunhye (KOR),MADARASZ Dora (HUN)
WTT Contender Rio de Janeiro 2023,2023-08-09,DE NUTTE Sarah,MONFARDINI Gaia,3,1,"8,11,11,11|11,7,7,6",QR3,WTT_CONTENDER,WS,2722,Qualification,DE NUTTE Sarah (LUX),MONFARDINI Gaia (ITA)
WTT Contender Rio de Janeiro 2023,2023-08-09,KIM Nayeong,ZHANG Sofia-Xuan,3,0,"11,11,11|7,1,8",QR3,WTT_CONTENDER,WS,2722,Qualification,KIM Nayeong (KOR),ZHANG Sofia-Xuan (ESP)
WTT Contender Rio de Janeiro 2023,2023-08-09,AKULA Sreeja,DARI Helga,3,0,"11,11,11|6,7,9",QR3,WTT_CONTENDER,WS,2722,Qualification,AKULA Sreeja (IND),DARI Helga (HUN)
WTT Contender Rio de Janeiro 2023,2023-08-09,WALTHER Ricardo,DRINKHALL Paul,3,1,"11,11,12,14|6,4,14,12",QR3,WTT_CONTENDER,MS,2722,Qualification,WALTHER Ricardo (GER),DRINKHALL Paul (ENG)
WTT Contender Rio de Janeiro 2023,2023-08-09,TEODORO Guilherme,GOMEZ Gustavo,3,1,"11,11,9,11|5,8,11,5",QR3,WTT_CONTENDER,MS,2722,Qualification,TEODORO Guilherme (BRA),GOMEZ Gustavo (CHI)
WTT Contender Rio de Janeiro 2023,2023-08-09,OIKAWA Mizuki,AFANADOR Brian,3,1,"13,11,6,11|11,5,11,9",QR3,WTT_CONTENDER,MS,2722,Qualification,OIKAWA Mizuki (JPN),AFANADOR Brian (PUR)
WTT Contender Rio de Janeiro 2023,2023-08-09,DESAI Harmeet,JARVIS Tom,3,0,"11,11,12|6,5,10",QR3,WTT_CONTENDER,MS,2722,Qualification,DESAI Harmeet (IND),JARVIS Tom (ENG)
WTT Contender Rio de Janeiro 2023,2023-08-09,ROLLAND Jules,ALLEGRO Martin,3,2,"8,11,11,7,11|11,6,6,11,9",QR3,WTT_CONTENDER,MS,2722,Qualification,ROLLAND Jules (FRA),ALLEGRO Martin (BEL)
WTT Contender Rio de Janeiro 2023,2023-08-09,PISTEJ Lubomir,YANG Tzu-Yi,3,1,"8,11,11,11|11,5,8,7",QR3,WTT_CONTENDER,MS,2722,Qualification,PISTEJ Lubomir (SVK),YANG Tzu-Yi (TPE)
WTT Contender Rio de Janeiro 2023,2023-08-09,CHO Daeseong,MA Jinbao,3,1,"11,11,10,11|3,4,12,3",QR3,WTT_CONTENDER,MS,2722,Qualification,CHO Daeseong (KOR),MA Jinbao (USA)
WTT Contender Rio de Janeiro 2023,2023-08-09,MATSUSHIMA Sora,PEREZ Juan,3,0,"11,11,11|8,5,8",QR3,WTT_CONTENDER,MS,2722,Qualification,MATSUSHIMA Sora (JPN),PEREZ Juan (ESP)
WTT Contender Rio de Janeiro 2023,2023-08-09,DE NUTTE Sarah/GONDERINGER Tessy,BARCENAS Clio/COSSIO ACEVES Arantxa,3,1,"11,8,15,11|4,11,13,7",QR2,WTT_CONTENDER,WD,2722,Qualification,DE NUTTE Sarah/GONDERINGER Tessy (LUX),BARCENAS Clio/COSSIO ACEVES Arantxa (MEX)
