tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,LEVIS Bruno,MANCINI Eric,4,1,"11,11,5,12,11|9,9,11,10,7",,GRAND_SLAM,MS,768,Qualification,LEVIS Bruno (CHI),MANCINI Eric (BRA)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,JOVER Sebastien,UEDA Jin,4,0,"12,11,11,11|10,5,8,8",,GRAND_SLAM,MS,768,Qualification,JOVER Sebastien (FRA),UEDA Jin (JPN)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,MANHANI Humberto,MADRID Marcos,4,3,"11,11,4,8,4,11,12|4,6,11,11,11,9,10",,GRAND_SLAM,MS,768,Qualification,MANHANI Humberto (BRA),MADRID Marcos (MEX)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,LIVENTSOV Alexey,MANHANI Humberto,4,1,"11,11,11,9,13|4,7,5,11,11",,GRAND_SLAM,MS,768,Qualification,LIVENTSOV Alexey (RUS),MANHANI Humberto (BRA)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,LIVENTSOV Alexey,MADRID Marcos,4,0,"11,15,11,11|9,13,6,8",,GRAND_SLAM,MS,768,Qualification,LIVENTSOV Alexey (RUS),MADRID Marcos (MEX)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,ROGIERS Benjamin,ROCHA Paulo,4,0,"11,11,11,11|7,9,9,6",,GRAND_SLAM,MS,768,Qualification,ROGIERS Benjamin (BEL),ROCHA Paulo (BRA)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,LEBESSON Emmanuel,ROCHA Paulo,4,0,"11,11,11,11|3,4,3,8",,GRAND_SLAM,MS,768,Qualification,LEBESSON Emmanuel (FRA),ROCHA Paulo (BRA)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,LEBESSON Emmanuel,ROGIERS Benjamin,4,2,"12,8,6,11,11,13|10,11,11,5,5,11",,GRAND_SLAM,MS,768,Qualification,LEBESSON Emmanuel (FRA),ROGIERS Benjamin (BEL)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,LEE Sang Su,JOUTI Eric,4,0,"11,11,11,11|3,7,7,7",,GRAND_SLAM,MS,768,Qualification,LEE Sang Su (KOR),JOUTI Eric (BRA)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,CARNEROS Alfredo,JOUTI Eric,4,0,"11,11,11,11|8,5,4,5",,GRAND_SLAM,MS,768,Qualification,CARNEROS Alfredo (ESP),JOUTI Eric (BRA)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,CARNEROS Alfredo,LEE Sang Su,4,3,"13,6,10,10,11,11,11|10,11,12,12,8,4,7",,GRAND_SLAM,MS,768,Qualification,CARNEROS Alfredo (ESP),LEE Sang Su (KOR)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,ANTHONY Amalraj,SALAZAR Sergio,4,3,"11,12,11,11,2,9,11|7,14,6,3,11,11,6",,GRAND_SLAM,MS,768,Qualification,ANTHONY Amalraj (IND),SALAZAR Sergio (CHI)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,TSUBOI Gustavo,SALAZAR Sergio,4,0,"11,11,16,11|5,4,14,7",,GRAND_SLAM,MS,768,Qualification,TSUBOI Gustavo (BRA),SALAZAR Sergio (CHI)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,TSUBOI Gustavo,ANTHONY Amalraj,4,0,"12,11,11,11|8,6,7,9",,GRAND_SLAM,MS,768,Qualification,TSUBOI Gustavo (BRA),ANTHONY Amalraj (IND)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,VENTURA DOS ANJOS Bruno,SCHAIBLE Rene,4,0,"11,11,11,11|5,5,3,7",,GRAND_SLAM,MS,768,Qualification,VENTURA DOS ANJOS Bruno (BRA),SCHAIBLE Rene (PAN)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,JEONG Sangeun,SCHAIBLE Rene,4,0,"11,11,11,11|2,4,6,2",,GRAND_SLAM,MS,768,Qualification,JEONG Sangeun (KOR),SCHAIBLE Rene (PAN)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,JEONG Sangeun,VENTURA DOS ANJOS Bruno,4,2,"3,11,11,8,11,11|11,7,8,11,6,5",,GRAND_SLAM,MS,768,Qualification,JEONG Sangeun (KOR),VENTURA DOS ANJOS Bruno (BRA)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,HAN Jimin,TOMIOKA Douglas,4,0,"11,11,11,11|6,8,3,3",,GRAND_SLAM,MS,768,Qualification,HAN Jimin (KOR),TOMIOKA Douglas (BRA)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,OYA Hidetoshi,TOMIOKA Douglas,4,1,"11,11,11,8,11|5,3,2,11,4",,GRAND_SLAM,MS,768,Qualification,OYA Hidetoshi (JPN),TOMIOKA Douglas (BRA)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,OYA Hidetoshi,HAN Jimin,4,2,"12,11,8,11,6,11|6,4,11,7,11,7",,GRAND_SLAM,MS,768,Qualification,OYA Hidetoshi (JPN),HAN Jimin (KOR)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,SAHA Subhajit,TIAPKIN Sergei,4,2,"2,11,6,11,11,12|11,9,11,8,4,10",,GRAND_SLAM,MS,768,Qualification,SAHA Subhajit (IND),TIAPKIN Sergei (RUS)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,MATSUMOTO Cazuo,TIAPKIN Sergei,4,3,"11,6,8,11,9,11,11|6,11,11,5,11,5,8",,GRAND_SLAM,MS,768,Qualification,MATSUMOTO Cazuo (BRA),TIAPKIN Sergei (RUS)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,MATSUMOTO Cazuo,SAHA Subhajit,4,3,"8,6,11,11,11,6,11|11,11,9,5,9,11,9",,GRAND_SLAM,MS,768,Qualification,MATSUMOTO Cazuo (BRA),SAHA Subhajit (IND)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,SALIFOU Abdel-Kader,WIEST Renan,4,1,"11,11,6,14,11|6,6,11,12,9",,GRAND_SLAM,MS,768,Qualification,SALIFOU Abdel-Kader (BEN),WIEST Renan (BRA)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,HUANG Sheng-Sheng,WIEST Renan,4,2,"12,13,6,11,8,11|10,11,11,5,11,6",,GRAND_SLAM,MS,768,Qualification,HUANG Sheng-Sheng (TPE),WIEST Renan (BRA)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,SALIFOU Abdel-Kader,HUANG Sheng-Sheng,4,2,"8,11,11,11,10,11|12,7,6,4,12,8",,GRAND_SLAM,MS,768,Qualification,SALIFOU Abdel-Kader (BEN),HUANG Sheng-Sheng (TPE)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,MATSUDAIRA Kenji,YAMADA Jeff,4,0,"11,11,11,11|7,7,4,9",,GRAND_SLAM,MS,768,Qualification,MATSUDAIRA Kenji (JPN),YAMADA Jeff (BRA)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,KO Junhyung,YAMADA Jeff,4,0,"11,11,11,11|7,3,7,9",,GRAND_SLAM,MS,768,Qualification,KO Junhyung (KOR),YAMADA Jeff (BRA)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,MATSUDAIRA Kenji,KO Junhyung,4,0,"11,11,13,11|8,5,11,6",,GRAND_SLAM,MS,768,Qualification,MATSUDAIRA Kenji (JPN),KO Junhyung (KOR)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,MATTENET Adrien,VIEIRA LEAO Mario Julio,4,1,"11,11,11,5,11|4,4,5,11,5",,GRAND_SLAM,MS,768,Qualification,MATTENET Adrien (FRA),VIEIRA LEAO Mario Julio (BRA)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,VOSTES Yannick,PAULINO Lucas de Medeiros,4,0,"11,11,11,11|8,7,4,2",,GRAND_SLAM,MS,768,Qualification,VOSTES Yannick (BEL),PAULINO Lucas de Medeiros (BRA)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,MATTENET Adrien,PAULINO Lucas de Medeiros,4,0,"11,11,11,12|6,6,8,10",,GRAND_SLAM,MS,768,Qualification,MATTENET Adrien (FRA),PAULINO Lucas de Medeiros (BRA)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,VOSTES Yannick,VIEIRA LEAO Mario Julio,4,0,"11,11,11,11|6,5,3,2",,GRAND_SLAM,MS,768,Qualification,VOSTES Yannick (BEL),VIEIRA LEAO Mario Julio (BRA)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,MATTENET Adrien,VOSTES Yannick,4,1,"12,7,12,11,11|9,11,10,9,7",,GRAND_SLAM,MS,768,Qualification,MATTENET Adrien (FRA),VOSTES Yannick (BEL)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,PAULINO Lucas de Medeiros,VIEIRA LEAO Mario Julio,4,2,"12,9,11,6,11,11|5,11,7,11,8,5",,GRAND_SLAM,MS,768,Qualification,PAULINO Lucas de Medeiros (BRA),VIEIRA LEAO Mario Julio (BRA)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,ROCHA Paulo,SALAZAR Sergio,3,0,"12,11,12|8,5,10",,GRAND_SLAM,U21MS,768,Qualification,ROCHA Paulo (BRA),SALAZAR Sergio (CHI)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,HAN Jimin,SALAZAR Sergio,3,1,"11,11,6,11|6,2,11,5",,GRAND_SLAM,U21MS,768,Qualification,HAN Jimin (KOR),SALAZAR Sergio (CHI)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,HAN Jimin,ROCHA Paulo,3,0,"11,11,11|6,8,5",,GRAND_SLAM,U21MS,768,Qualification,HAN Jimin (KOR),ROCHA Paulo (BRA)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,YAMAZATO Fernando,JOUTI Eric,3,0,"12,11,11|6,8,5",,GRAND_SLAM,U21MS,768,Qualification,YAMAZATO Fernando (BRA),JOUTI Eric (BRA)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,LEE Sang Su,YAMAZATO Fernando,3,1,"11,11,12,11|7,2,14,6",,GRAND_SLAM,U21MS,768,Qualification,LEE Sang Su (KOR),YAMAZATO Fernando (BRA)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,KIM Bumseob,PAULINO Lucas de Medeiros,3,1,"12,9,11,11|7,11,4,7",,GRAND_SLAM,U21MS,768,Qualification,KIM Bumseob (KOR),PAULINO Lucas de Medeiros (BRA)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,ROGIERS Benjamin,PAULINO Lucas de Medeiros,3,0,"11,11,11|7,3,5",,GRAND_SLAM,U21MS,768,Qualification,ROGIERS Benjamin (BEL),PAULINO Lucas de Medeiros (BRA)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,ROGIERS Benjamin,KIM Bumseob,3,1,"11,11,11,11|7,3,13,7",,GRAND_SLAM,U21MS,768,Qualification,ROGIERS Benjamin (BEL),KIM Bumseob (KOR)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,MANHANI Humberto,TOMIOKA Douglas,3,0,"11,11,11|5,7,3",,GRAND_SLAM,U21MS,768,Qualification,MANHANI Humberto (BRA),TOMIOKA Douglas (BRA)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,UEDA Jin,TOMIOKA Douglas,3,0,"11,11,11|7,7,3",,GRAND_SLAM,U21MS,768,Qualification,UEDA Jin (JPN),TOMIOKA Douglas (BRA)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,UEDA Jin,MANHANI Humberto,3,0,"11,11,12|5,8,10",,GRAND_SLAM,U21MS,768,Qualification,UEDA Jin (JPN),MANHANI Humberto (BRA)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,KIM Kyungmin,WIEST Renan,3,0,"11,12,11|8,10,5",,GRAND_SLAM,U21MS,768,Qualification,KIM Kyungmin (KOR),WIEST Renan (BRA)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,WIEST Renan,VITTA Kilomo,3,2,"11,11,12,4,11|9,7,14,11,9",,GRAND_SLAM,U21MS,768,Qualification,WIEST Renan (BRA),VITTA Kilomo (BEL)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,MANCINI Eric,YAMADA Jeff,3,0,"11,11,11|7,8,5",,GRAND_SLAM,U21MS,768,Qualification,MANCINI Eric (BRA),YAMADA Jeff (BRA)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,LEVIS Bruno,YAMADA Jeff,3,1,"11,12,5,11|9,10,11,8",,GRAND_SLAM,U21MS,768,Qualification,LEVIS Bruno (CHI),YAMADA Jeff (BRA)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,MANCINI Eric,LEVIS Bruno,3,2,"11,7,7,11,12|6,11,11,8,10",,GRAND_SLAM,U21MS,768,Qualification,MANCINI Eric (BRA),LEVIS Bruno (CHI)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,LEE Sang Su,GAO Ning,4,3,"14,11,11,4,8,11,11|12,9,13,11,11,6,9",R32,GRAND_SLAM,MS,768,Main Draw,LEE Sang Su (KOR),GAO Ning (SGP)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,RUBTSOV Igor,SALIFOU Abdel-Kader,4,1,"11,6,11,11,11|6,11,9,9,5",R32,GRAND_SLAM,MS,768,Main Draw,RUBTSOV Igor (RUS),SALIFOU Abdel-Kader (BEN)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,SHMYREV Maxim,APOLONIA Tiago,4,1,"11,3,12,11,11|9,11,10,7,4",R32,GRAND_SLAM,MS,768,Main Draw,SHMYREV Maxim (RUS),APOLONIA Tiago (POR)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,YANG Zi,MATSUMOTO Cazuo,4,2,"11,20,5,11,4,11|8,18,11,9,11,9",R32,GRAND_SLAM,MS,768,Main Draw,YANG Zi (SGP),MATSUMOTO Cazuo (BRA)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,MATSUDAIRA Kenji,HE Zhiwen,4,2,"11,11,11,10,11,11|13,9,5,12,6,7",R32,GRAND_SLAM,MS,768,Main Draw,MATSUDAIRA Kenji (JPN),HE Zhiwen (ESP)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,WU Chih-Chi,TSUBOI Gustavo,4,0,"11,11,12,14|7,7,10,12",R32,GRAND_SLAM,MS,768,Main Draw,WU Chih-Chi (TPE),TSUBOI Gustavo (BRA)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,JIANG Tianyi,KIM Kyungmin,4,2,"9,11,9,11,11,11|11,0,11,8,9,9",R32,GRAND_SLAM,MS,768,Main Draw,JIANG Tianyi (HKG),KIM Kyungmin (KOR)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,KAN Yo,MATTENET Adrien,4,0,"12,11,11,15|10,5,6,13",R32,GRAND_SLAM,MS,768,Main Draw,KAN Yo (JPN),MATTENET Adrien (FRA)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,TANG Peng,JOVER Sebastien,4,2,"9,11,1,11,11,11|11,6,11,8,5,9",R32,GRAND_SLAM,MS,768,Main Draw,TANG Peng (HKG),JOVER Sebastien (FRA)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,KIM Junghoon,GACINA Andrej,4,1,"11,11,11,9,11|7,6,9,11,5",R32,GRAND_SLAM,MS,768,Main Draw,KIM Junghoon (KOR),GACINA Andrej (CRO)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,MONTEIRO Thiago,CARNEROS Alfredo,4,3,"2,11,13,6,8,11,11|11,8,11,11,11,8,5",R32,GRAND_SLAM,MS,768,Main Draw,MONTEIRO Thiago (BRA),CARNEROS Alfredo (ESP)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,JEONG Sangeun,YOSHIDA Kaii,4,3,"5,7,4,12,11,11,11|11,11,11,10,6,6,7",R32,GRAND_SLAM,MS,768,Main Draw,JEONG Sangeun (KOR),YOSHIDA Kaii (JPN)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,FREITAS Marcos,PRIMORAC Zoran,4,3,"12,5,9,11,11,11,11|14,11,11,6,8,9,6",R32,GRAND_SLAM,MS,768,Main Draw,FREITAS Marcos (POR),PRIMORAC Zoran (CRO)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,OYA Hidetoshi,ACHANTA Sharath,4,1,"11,11,11,7,11|7,6,8,11,4",R32,GRAND_SLAM,MS,768,Main Draw,OYA Hidetoshi (JPN),ACHANTA Sharath (IND)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,LEBESSON Emmanuel,YOON Jaeyoung,4,1,"11,11,7,11,11|9,9,11,9,6",R32,GRAND_SLAM,MS,768,Main Draw,LEBESSON Emmanuel (FRA),YOON Jaeyoung (KOR)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,LIVENTSOV Alexey,CHUANG Chih-Yuan,4,0,"11,11,11,12|9,8,8,10",R32,GRAND_SLAM,MS,768,Main Draw,LIVENTSOV Alexey (RUS),CHUANG Chih-Yuan (TPE)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,RUBTSOV Igor,LEE Sang Su,4,3,"7,12,12,11,10,4,11|11,10,10,6,12,11,8",R16,GRAND_SLAM,MS,768,Main Draw,RUBTSOV Igor (RUS),LEE Sang Su (KOR)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,SHMYREV Maxim,YANG Zi,4,2,"12,11,11,6,3,13|10,8,6,11,11,11",R16,GRAND_SLAM,MS,768,Main Draw,SHMYREV Maxim (RUS),YANG Zi (SGP)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,MATSUDAIRA Kenji,WU Chih-Chi,4,1,"9,11,11,11,11|11,5,6,7,7",R16,GRAND_SLAM,MS,768,Main Draw,MATSUDAIRA Kenji (JPN),WU Chih-Chi (TPE)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,JIANG Tianyi,KAN Yo,4,1,"12,11,14,5,11|10,7,12,11,7",R16,GRAND_SLAM,MS,768,Main Draw,JIANG Tianyi (HKG),KAN Yo (JPN)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,KIM Junghoon,TANG Peng,4,3,"11,11,7,11,8,9,11|9,7,11,7,11,11,6",R16,GRAND_SLAM,MS,768,Main Draw,KIM Junghoon (KOR),TANG Peng (HKG)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,MONTEIRO Thiago,JEONG Sangeun,4,0,"11,11,11,11|9,8,7,9",R16,GRAND_SLAM,MS,768,Main Draw,MONTEIRO Thiago (BRA),JEONG Sangeun (KOR)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,OYA Hidetoshi,FREITAS Marcos,4,3,"11,11,12,7,6,11,11|7,8,14,11,11,9,6",R16,GRAND_SLAM,MS,768,Main Draw,OYA Hidetoshi (JPN),FREITAS Marcos (POR)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,LIVENTSOV Alexey,LEBESSON Emmanuel,4,2,"11,5,11,8,11,13|6,11,8,11,6,11",R16,GRAND_SLAM,MS,768,Main Draw,LIVENTSOV Alexey (RUS),LEBESSON Emmanuel (FRA)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,SHMYREV Maxim,RUBTSOV Igor,4,1,"11,11,7,11,11|5,9,11,6,9",QuarterFinal,GRAND_SLAM,MS,768,Main Draw,SHMYREV Maxim (RUS),RUBTSOV Igor (RUS)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,JIANG Tianyi,MATSUDAIRA Kenji,4,1,"11,8,11,12,11|5,11,3,10,8",QuarterFinal,GRAND_SLAM,MS,768,Main Draw,JIANG Tianyi (HKG),MATSUDAIRA Kenji (JPN)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,KIM Junghoon,MONTEIRO Thiago,4,1,"11,11,11,5,11|6,5,9,11,9",QuarterFinal,GRAND_SLAM,MS,768,Main Draw,KIM Junghoon (KOR),MONTEIRO Thiago (BRA)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,OYA Hidetoshi,LIVENTSOV Alexey,4,0,"12,11,11,14|10,5,7,12",QuarterFinal,GRAND_SLAM,MS,768,Main Draw,OYA Hidetoshi (JPN),LIVENTSOV Alexey (RUS)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,JIANG Tianyi,SHMYREV Maxim,4,1,"8,11,12,11,11|11,3,10,5,6",SemiFinal,GRAND_SLAM,MS,768,Main Draw,JIANG Tianyi (HKG),SHMYREV Maxim (RUS)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,KIM Junghoon,OYA Hidetoshi,4,2,"11,13,11,11,9,11|4,15,8,8,11,8",SemiFinal,GRAND_SLAM,MS,768,Main Draw,KIM Junghoon (KOR),OYA Hidetoshi (JPN)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,JIANG Tianyi,KIM Junghoon,4,3,"11,15,10,8,11,10,11|7,13,12,11,8,12,6",Final,GRAND_SLAM,MS,768,Main Draw,JIANG Tianyi (HKG),KIM Junghoon (KOR)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,FREITAS Marcos,LEVIS Bruno,4,2,"9,11,7,11,11,11|11,8,11,3,6,5",R16,GRAND_SLAM,U21MS,768,Main Draw,FREITAS Marcos (POR),LEVIS Bruno (CHI)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,HUANG Sheng-Sheng,ROGIERS Benjamin,4,1,"11,5,11,11,11|4,11,7,7,2",R16,GRAND_SLAM,U21MS,768,Main Draw,HUANG Sheng-Sheng (TPE),ROGIERS Benjamin (BEL)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,KIM Kyungmin,SALIFOU Abdel-Kader,4,0,"11,11,11,11|5,7,1,6",R16,GRAND_SLAM,U21MS,768,Main Draw,KIM Kyungmin (KOR),SALIFOU Abdel-Kader (BEN)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,OYA Hidetoshi,MANCINI Eric,4,0,"11,11,11,11|9,2,7,4",R16,GRAND_SLAM,U21MS,768,Main Draw,OYA Hidetoshi (JPN),MANCINI Eric (BRA)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,UEDA Jin,JEONG Sangeun,4,3,"6,11,8,11,12,9,14|11,4,11,9,10,11,12",R16,GRAND_SLAM,U21MS,768,Main Draw,UEDA Jin (JPN),JEONG Sangeun (KOR)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,HAN Jimin,MATTENET Adrien,4,2,"11,9,11,8,11,11|9,11,3,11,9,9",R16,GRAND_SLAM,U21MS,768,Main Draw,HAN Jimin (KOR),MATTENET Adrien (FRA)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,MATSUDAIRA Kenji,LEE Sang Su,4,0,"11,11,12,11|8,8,10,8",R16,GRAND_SLAM,U21MS,768,Main Draw,MATSUDAIRA Kenji (JPN),LEE Sang Su (KOR)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,LEBESSON Emmanuel,WIEST Renan,4,0,"11,15,13,11|3,13,11,5",R16,GRAND_SLAM,U21MS,768,Main Draw,LEBESSON Emmanuel (FRA),WIEST Renan (BRA)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,HUANG Sheng-Sheng,FREITAS Marcos,4,2,"11,11,9,11,9,11|8,8,11,6,11,2",QuarterFinal,GRAND_SLAM,U21MS,768,Main Draw,HUANG Sheng-Sheng (TPE),FREITAS Marcos (POR)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,KIM Kyungmin,OYA Hidetoshi,4,2,"12,6,11,4,12,11|10,11,7,11,10,7",QuarterFinal,GRAND_SLAM,U21MS,768,Main Draw,KIM Kyungmin (KOR),OYA Hidetoshi (JPN)
