tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
Brazilian Open Sao Paulo 2002,2002-07-11,COELLO Geovanny,CAVALCANTE Andre,4,2,"4,11,11,7,11,11|11,7,8,11,7,9",,GRAND_SLAM,MS,1318,Qualification,COELLO Geovanny (ECU),CAVALCANTE Andre (BRA),COELLO Geovanny
Brazilian Open Sao Paulo 2002,2002-07-11,MATSUMOTO Cazuo,WEITZ Daniel,4,2,"11,6,11,9,11,14|8,11,6,11,6,12",,GRAND_SLAM,MS,1318,Qualification,MATSUMOTO Cazuo (BRA),WEITZ Daniel (GER),MATSUMOTO Cazuo
Brazilian Open Sao Paulo 2002,2002-07-11,MATSUMOTO Cazuo,RAMOS FILHO Pedro,4,1,"12,11,11,3,11|10,5,5,11,9",,GRAND_SLAM,MS,1318,Qualification,MATSUMOTO Cazuo (BRA),RAMOS FILHO Pedro (BRA),MATSUMOTO Cazuo
Brazilian Open Sao Paulo 2002,2002-07-11,WEITZ Daniel,KISHIKAWA Seiya,4,2,"11,10,11,11,11,11|13,12,8,9,9,4",,GRAND_SLAM,MS,1318,Qualification,WEITZ Daniel (GER),KISHIKAWA Seiya (JPN),WEITZ Daniel
Brazilian Open Sao Paulo 2002,2002-07-11,KISHIKAWA Seiya,MATSUMOTO Cazuo,4,3,"8,11,8,13,11,6,14|11,5,11,11,8,11,12",,GRAND_SLAM,MS,1318,Qualification,KISHIKAWA Seiya (JPN),MATSUMOTO Cazuo (BRA),KISHIKAWA Seiya
Brazilian Open Sao Paulo 2002,2002-07-11,WEITZ Daniel,RAMOS FILHO Pedro,4,1,"11,11,11,8,11|5,5,5,11,8",,GRAND_SLAM,MS,1318,Qualification,WEITZ Daniel (GER),RAMOS FILHO Pedro (BRA),WEITZ Daniel
Brazilian Open Sao Paulo 2002,2002-07-11,SCHLAGER Werner,ARAI Shu,4,3,"3,7,10,11,11,12,11|11,11,12,8,7,10,3",R32,GRAND_SLAM,MS,1318,Main Draw,SCHLAGER Werner (AUT),ARAI Shu (JPN),SCHLAGER Werner
Brazilian Open Sao Paulo 2002,2002-07-11,WOSIK Torben,MONTEIRO Thiago,4,0,"11,11,11,11|3,7,4,8",R32,GRAND_SLAM,MS,1318,Main Draw,WOSIK Torben (GER),MONTEIRO Thiago (BRA),WOSIK Torben
Brazilian Open Sao Paulo 2002,2002-07-11,SMIRNOV Alexey,TANIGUCHI Yuji,4,1,"11,11,9,11,11|3,7,11,4,6",R32,GRAND_SLAM,MS,1318,Main Draw,SMIRNOV Alexey (RUS),TANIGUCHI Yuji (JPN),SMIRNOV Alexey
Brazilian Open Sao Paulo 2002,2002-07-11,TASAKI Toshio,YAMAMOTO Reinaldo,4,0,"11,11,11,11|4,8,9,6",R32,GRAND_SLAM,MS,1318,Main Draw,TASAKI Toshio (JPN),YAMAMOTO Reinaldo (BRA),TASAKI Toshio
Brazilian Open Sao Paulo 2002,2002-07-11,LEE Chulseung,MATSUMOTO Cazuo,4,1,"11,8,11,11,11|6,11,4,5,5",R32,GRAND_SLAM,MS,1318,Main Draw,LEE Chulseung (KOR),MATSUMOTO Cazuo (BRA),LEE Chulseung
Brazilian Open Sao Paulo 2002,2002-07-11,KIHO Shinnosuke,MONRAD Martin,4,3,"9,6,9,11,11,11,11|11,11,11,6,9,9,9",R32,GRAND_SLAM,MS,1318,Main Draw,KIHO Shinnosuke (JPN),MONRAD Martin (DEN),KIHO Shinnosuke
Brazilian Open Sao Paulo 2002,2002-07-11,MAZE Michael,FEJER-KONNERTH Zoltan,4,2,"11,11,8,7,11,11|7,8,11,11,6,9",R32,GRAND_SLAM,MS,1318,Main Draw,MAZE Michael (DEN),FEJER-KONNERTH Zoltan (GER),MAZE Michael
Brazilian Open Sao Paulo 2002,2002-07-11,KEEN Trinko,TAKAMORI Hidero,4,1,"11,12,9,11,12|8,10,11,6,10",R32,GRAND_SLAM,MS,1318,Main Draw,KEEN Trinko (NED),TAKAMORI Hidero (JPN),KEEN Trinko
Brazilian Open Sao Paulo 2002,2002-07-11,RYU Seungmin,HANASHIRO Hugo,4,1,"11,11,11,9,11|8,5,5,11,4",R32,GRAND_SLAM,MS,1318,Main Draw,RYU Seungmin (KOR),HANASHIRO Hugo (BRA),RYU Seungmin
Brazilian Open Sao Paulo 2002,2002-07-11,SANADA Koji,TUGWELL Finn,4,3,"7,11,13,12,11,11,11|11,6,15,14,5,3,4",R32,GRAND_SLAM,MS,1318,Main Draw,SANADA Koji (JPN),TUGWELL Finn (DEN),SANADA Koji
Brazilian Open Sao Paulo 2002,2002-07-11,JINDRAK Karl,HOYAMA Hugo,4,2,"11,11,11,11,10,11|13,3,4,6,12,9",R32,GRAND_SLAM,MS,1318,Main Draw,JINDRAK Karl (AUT),HOYAMA Hugo (BRA),JINDRAK Karl
Brazilian Open Sao Paulo 2002,2002-07-11,HEISTER Danny,FETH Stefan,4,0,"11,11,11,12|9,3,3,10",R32,GRAND_SLAM,MS,1318,Main Draw,HEISTER Danny (NED),FETH Stefan (GER),HEISTER Danny
Brazilian Open Sao Paulo 2002,2002-07-11,CHEN Weixing,COELLO Geovanny,4,0,"11,11,11,11|3,1,2,2",R32,GRAND_SLAM,MS,1318,Main Draw,CHEN Weixing (AUT),COELLO Geovanny (ECU),CHEN Weixing
Brazilian Open Sao Paulo 2002,2002-07-11,KEINATH Thomas,PAPIC Juan,4,0,"11,11,11,13|7,5,4,11",R32,GRAND_SLAM,MS,1318,Main Draw,KEINATH Thomas (SVK),PAPIC Juan (CHI),KEINATH Thomas
Brazilian Open Sao Paulo 2002,2002-07-11,GARDOS Robert,CLOSSET Marc,4,3,"11,11,9,12,8,7,11|5,7,11,10,11,11,5",R32,GRAND_SLAM,MS,1318,Main Draw,GARDOS Robert (AUT),CLOSSET Marc (BEL),GARDOS Robert
Brazilian Open Sao Paulo 2002,2002-07-11,OH Sangeun,BITZIGEIO Jorg,4,0,"11,11,11,11|7,8,5,7",R32,GRAND_SLAM,MS,1318,Main Draw,OH Sangeun (KOR),BITZIGEIO Jorg (GER),OH Sangeun
Brazilian Open Sao Paulo 2002,2002-07-11,SCHLAGER Werner,WOSIK Torben,4,3,"6,11,8,11,6,11,11|11,9,11,8,11,5,6",R16,GRAND_SLAM,MS,1318,Main Draw,SCHLAGER Werner (AUT),WOSIK Torben (GER),SCHLAGER Werner
Brazilian Open Sao Paulo 2002,2002-07-11,SMIRNOV Alexey,TASAKI Toshio,4,3,"11,11,6,11,9,8,11|6,4,11,6,11,11,7",R16,GRAND_SLAM,MS,1318,Main Draw,SMIRNOV Alexey (RUS),TASAKI Toshio (JPN),SMIRNOV Alexey
Brazilian Open Sao Paulo 2002,2002-07-11,LEE Chulseung,KIHO Shinnosuke,4,1,"11,11,11,6,12|8,8,6,11,10",R16,GRAND_SLAM,MS,1318,Main Draw,LEE Chulseung (KOR),KIHO Shinnosuke (JPN),LEE Chulseung
Brazilian Open Sao Paulo 2002,2002-07-11,MAZE Michael,KEEN Trinko,4,2,"11,5,11,5,15,11|7,11,9,11,13,3",R16,GRAND_SLAM,MS,1318,Main Draw,MAZE Michael (DEN),KEEN Trinko (NED),MAZE Michael
Brazilian Open Sao Paulo 2002,2002-07-11,RYU Seungmin,SANADA Koji,4,0,"11,11,11,11|6,4,3,9",R16,GRAND_SLAM,MS,1318,Main Draw,RYU Seungmin (KOR),SANADA Koji (JPN),RYU Seungmin
Brazilian Open Sao Paulo 2002,2002-07-11,HEISTER Danny,JINDRAK Karl,4,0,"11,11,11,11|7,6,8,9",R16,GRAND_SLAM,MS,1318,Main Draw,HEISTER Danny (NED),JINDRAK Karl (AUT),HEISTER Danny
Brazilian Open Sao Paulo 2002,2002-07-11,KEINATH Thomas,CHEN Weixing,4,0,"13,11,11,11|11,8,8,2",R16,GRAND_SLAM,MS,1318,Main Draw,KEINATH Thomas (SVK),CHEN Weixing (AUT),KEINATH Thomas
Brazilian Open Sao Paulo 2002,2002-07-11,OH Sangeun,GARDOS Robert,4,0,"11,11,11,11|5,7,8,5",R16,GRAND_SLAM,MS,1318,Main Draw,OH Sangeun (KOR),GARDOS Robert (AUT),OH Sangeun
Brazilian Open Sao Paulo 2002,2002-07-11,SCHLAGER Werner,SMIRNOV Alexey,4,3,"6,11,8,11,6,11,11|11,9,11,8,11,5,6",QF,GRAND_SLAM,MS,1318,Main Draw,SCHLAGER Werner (AUT),SMIRNOV Alexey (RUS),SCHLAGER Werner
Brazilian Open Sao Paulo 2002,2002-07-11,MAZE Michael,LEE Chulseung,4,3,"7,8,7,11,12,11,11|11,11,11,6,10,8,5",QF,GRAND_SLAM,MS,1318,Main Draw,MAZE Michael (DEN),LEE Chulseung (KOR),MAZE Michael
Brazilian Open Sao Paulo 2002,2002-07-11,RYU Seungmin,HEISTER Danny,4,2,"12,11,12,11,7,11|10,8,14,7,11,8",QF,GRAND_SLAM,MS,1318,Main Draw,RYU Seungmin (KOR),HEISTER Danny (NED),RYU Seungmin
Brazilian Open Sao Paulo 2002,2002-07-11,KEINATH Thomas,OH Sangeun,4,2,"2,11,11,14,1,11|11,8,8,12,11,8",QF,GRAND_SLAM,MS,1318,Main Draw,KEINATH Thomas (SVK),OH Sangeun (KOR),KEINATH Thomas
Brazilian Open Sao Paulo 2002,2002-07-11,SCHLAGER Werner,MAZE Michael,4,2,"11,7,11,11,8,11|9,11,5,9,11,8",SF,GRAND_SLAM,MS,1318,Main Draw,SCHLAGER Werner (AUT),MAZE Michael (DEN),SCHLAGER Werner
Brazilian Open Sao Paulo 2002,2002-07-11,RYU Seungmin,KEINATH Thomas,4,1,"13,9,11,11,11|11,11,5,5,7",SF,GRAND_SLAM,MS,1318,Main Draw,RYU Seungmin (KOR),KEINATH Thomas (SVK),RYU Seungmin
Brazilian Open Sao Paulo 2002,2002-07-11,FERNANDES Simone,MEDINA Iizzwa,4,3,"5,8,11,5,11,11,11|11,11,9,11,9,6,9",,GRAND_SLAM,WS,1318,Qualification,FERNANDES Simone (BRA),MEDINA Iizzwa (HON),FERNANDES Simone
Brazilian Open Sao Paulo 2002,2002-07-11,NISHII Miyuki,MEDINA Iizzwa,4,0,"11,11,11,11|5,3,8,4",,GRAND_SLAM,WS,1318,Qualification,NISHII Miyuki (JPN),MEDINA Iizzwa (HON),NISHII Miyuki
Brazilian Open Sao Paulo 2002,2002-07-11,NISHII Miyuki,FERNANDES Simone,4,0,"11,11,11,15|5,7,5,13",,GRAND_SLAM,WS,1318,Qualification,NISHII Miyuki (JPN),FERNANDES Simone (BRA),NISHII Miyuki
Brazilian Open Sao Paulo 2002,2002-07-11,IKEIZUMI Claudia,SAKO Karin,4,2,"10,11,13,9,11,11|12,7,11,11,6,7",,GRAND_SLAM,WS,1318,Qualification,IKEIZUMI Claudia (BRA),SAKO Karin (BRA),IKEIZUMI Claudia
Brazilian Open Sao Paulo 2002,2002-07-11,KRAMER Tanja,SAKO Karin,4,1,"11,11,11,7,11|2,6,6,11,8",,GRAND_SLAM,WS,1318,Qualification,KRAMER Tanja (GER),SAKO Karin (BRA),KRAMER Tanja
Brazilian Open Sao Paulo 2002,2002-07-11,KRAMER Tanja,IKEIZUMI Claudia,4,0,"11,15,12,12|5,13,10,10",,GRAND_SLAM,WS,1318,Qualification,KRAMER Tanja (GER),IKEIZUMI Claudia (BRA),KRAMER Tanja
Brazilian Open Sao Paulo 2002,2002-07-11,HASEGAVA Thais,SHIWA Silvia,4,0,"11,11,11,11|9,6,8,3",,GRAND_SLAM,WS,1318,Qualification,HASEGAVA Thais (BRA),SHIWA Silvia (BRA),HASEGAVA Thais
Brazilian Open Sao Paulo 2002,2002-07-11,HAN Kwangsun,SHIWA Silvia,4,0,"12,11,11,11|10,6,4,3",,GRAND_SLAM,WS,1318,Qualification,HAN Kwangsun (KOR),SHIWA Silvia (BRA),HAN Kwangsun
Brazilian Open Sao Paulo 2002,2002-07-11,HAN Kwangsun,HASEGAVA Thais,4,0,"11,11,11,11|6,4,3,2",,GRAND_SLAM,WS,1318,Qualification,HAN Kwangsun (KOR),HASEGAVA Thais (BRA),HAN Kwangsun
Brazilian Open Sao Paulo 2002,2002-07-11,NONAKA Mariany,SOUZA Caroline,4,2,"9,11,11,11,7,11|11,6,4,8,11,5",,GRAND_SLAM,WS,1318,Qualification,NONAKA Mariany (BRA),SOUZA Caroline (BRA),NONAKA Mariany
Brazilian Open Sao Paulo 2002,2002-07-11,BARREIRA Nathalia,KOCK Luciana,4,0,"11,11,11,11|4,6,6,9",,GRAND_SLAM,WS,1318,Qualification,BARREIRA Nathalia (BRA),KOCK Luciana (BRA),BARREIRA Nathalia
Brazilian Open Sao Paulo 2002,2002-07-11,SUK Eunmi,IKEIZUMI Claudia,4,0,"11,11,11,11|8,3,4,7",R32,GRAND_SLAM,WS,1318,Main Draw,SUK Eunmi (KOR),IKEIZUMI Claudia (BRA),SUK Eunmi
Brazilian Open Sao Paulo 2002,2002-07-11,NISHII Yuka,SAKO Karin,4,0,"11,11,11,11|3,3,5,3",R32,GRAND_SLAM,WS,1318,Main Draw,NISHII Yuka (JPN),SAKO Karin (BRA),NISHII Yuka
Brazilian Open Sao Paulo 2002,2002-07-11,NEMES Olga,SHIWA Silvia,4,0,"11,11,11,11|2,5,5,3",R32,GRAND_SLAM,WS,1318,Main Draw,NEMES Olga (ROU),SHIWA Silvia (BRA),NEMES Olga
Brazilian Open Sao Paulo 2002,2002-07-11,SCHALL Elke,NONAKA Mariany,4,1,"11,7,11,11,11|2,11,6,8,4",R32,GRAND_SLAM,WS,1318,Main Draw,SCHALL Elke (GER),NONAKA Mariany (BRA),SCHALL Elke
Brazilian Open Sao Paulo 2002,2002-07-11,KISHIDA Satoko,KRAMER Tanja,4,1,"11,9,11,11,11|7,11,7,4,6",R32,GRAND_SLAM,WS,1318,Main Draw,KISHIDA Satoko (JPN),KRAMER Tanja (GER),KISHIDA Satoko
Brazilian Open Sao Paulo 2002,2002-07-11,LIU Jia,SOUZA Caroline,4,0,"11,11,11,11|2,1,3,3",R32,GRAND_SLAM,WS,1318,Main Draw,LIU Jia (AUT),SOUZA Caroline (BRA),LIU Jia
Brazilian Open Sao Paulo 2002,2002-07-11,FUKUHARA Ai,HAN Kwangsun,4,3,"14,6,10,11,11,11,11|16,11,12,8,4,6,8",R32,GRAND_SLAM,WS,1318,Main Draw,FUKUHARA Ai (JPN),HAN Kwangsun (KOR),FUKUHARA Ai
Brazilian Open Sao Paulo 2002,2002-07-11,NISHII Miyuki,SILVA Ligia,4,0,"11,14,11,11|4,12,3,4",R32,GRAND_SLAM,WS,1318,Main Draw,NISHII Miyuki (JPN),SILVA Ligia (BRA),NISHII Miyuki
Brazilian Open Sao Paulo 2002,2002-07-11,STRUSE Nicole,KOCK Luciana,4,0,"11,11,11,11|2,2,3,4",R32,GRAND_SLAM,WS,1318,Main Draw,STRUSE Nicole (GER),KOCK Luciana (BRA),STRUSE Nicole
Brazilian Open Sao Paulo 2002,2002-07-11,LEE Eunsil,FERNANDES Simone,4,0,"11,11,11,11|8,4,2,3",R32,GRAND_SLAM,WS,1318,Main Draw,LEE Eunsil (KOR),FERNANDES Simone (BRA),LEE Eunsil
Brazilian Open Sao Paulo 2002,2002-07-11,FUJINUMA Ai,HASEGAVA Thais,4,0,"11,11,11,11|1,4,4,0",R32,GRAND_SLAM,WS,1318,Main Draw,FUJINUMA Ai (JPN),HASEGAVA Thais (BRA),FUJINUMA Ai
Brazilian Open Sao Paulo 2002,2002-07-11,HIURA Reiko,BARREIRA Nathalia,4,0,"11,11,11,11|9,3,6,7",R32,GRAND_SLAM,WS,1318,Main Draw,HIURA Reiko (JPN),BARREIRA Nathalia (BRA),HIURA Reiko
Brazilian Open Sao Paulo 2002,2002-07-11,SUK Eunmi,RYU Jihae,4,0,"11,11,14,11|6,8,12,9",R16,GRAND_SLAM,WS,1318,Main Draw,SUK Eunmi (KOR),RYU Jihae (KOR),SUK Eunmi
Brazilian Open Sao Paulo 2002,2002-07-11,NISHII Yuka,TASEI Mikie,4,1,"6,11,11,11,11|11,8,7,7,2",R16,GRAND_SLAM,WS,1318,Main Draw,NISHII Yuka (JPN),TASEI Mikie (JPN),NISHII Yuka
Brazilian Open Sao Paulo 2002,2002-07-11,NEMES Olga,SCHALL Elke,4,0,"13,11,12,11|11,4,10,4",R16,GRAND_SLAM,WS,1318,Main Draw,NEMES Olga (ROU),SCHALL Elke (GER),NEMES Olga
Brazilian Open Sao Paulo 2002,2002-07-11,UMEMURA Aya,KISHIDA Satoko,4,3,"11,7,11,6,11,5,11|5,11,6,11,8,11,9",R16,GRAND_SLAM,WS,1318,Main Draw,UMEMURA Aya (JPN),KISHIDA Satoko (JPN),UMEMURA Aya
Brazilian Open Sao Paulo 2002,2002-07-11,LIU Jia,FUKUHARA Ai,4,3,"11,11,11,12,9,10,11|5,7,13,10,11,12,7",R16,GRAND_SLAM,WS,1318,Main Draw,LIU Jia (AUT),FUKUHARA Ai (JPN),LIU Jia
Brazilian Open Sao Paulo 2002,2002-07-11,STRUSE Nicole,NISHII Miyuki,4,3,"11,11,5,9,10,11,11|8,9,11,11,12,5,6",R16,GRAND_SLAM,WS,1318,Main Draw,STRUSE Nicole (GER),NISHII Miyuki (JPN),STRUSE Nicole
Brazilian Open Sao Paulo 2002,2002-07-11,FUJINUMA Ai,LEE Eunsil,4,2,"11,8,15,11,7,11|9,11,13,7,11,7",R16,GRAND_SLAM,WS,1318,Main Draw,FUJINUMA Ai (JPN),LEE Eunsil (KOR),FUJINUMA Ai
Brazilian Open Sao Paulo 2002,2002-07-11,KIM Mookyo,HIURA Reiko,4,3,"8,11,8,11,11,11,11|11,5,11,5,4,13,7",R16,GRAND_SLAM,WS,1318,Main Draw,KIM Mookyo (KOR),HIURA Reiko (JPN),KIM Mookyo
Brazilian Open Sao Paulo 2002,2002-07-11,SUK Eunmi,NISHII Yuka,4,3,"16,6,7,11,11,9,11|14,11,11,4,9,12,9",QF,GRAND_SLAM,WS,1318,Main Draw,SUK Eunmi (KOR),NISHII Yuka (JPN),SUK Eunmi
Brazilian Open Sao Paulo 2002,2002-07-11,UMEMURA Aya,NEMES Olga,4,0,"11,14,14,12|2,12,12,10",QF,GRAND_SLAM,WS,1318,Main Draw,UMEMURA Aya (JPN),NEMES Olga (ROU),UMEMURA Aya
Brazilian Open Sao Paulo 2002,2002-07-11,STRUSE Nicole,LIU Jia,4,2,"9,11,5,15,11,11|11,6,11,13,9,3",QF,GRAND_SLAM,WS,1318,Main Draw,STRUSE Nicole (GER),LIU Jia (AUT),STRUSE Nicole
Brazilian Open Sao Paulo 2002,2002-07-11,FUJINUMA Ai,KIM Mookyo,4,2,"11,13,11,14,5,11|8,11,9,16,11,7",QF,GRAND_SLAM,WS,1318,Main Draw,FUJINUMA Ai (JPN),KIM Mookyo (KOR),FUJINUMA Ai
Brazilian Open Sao Paulo 2002,2002-07-11,UMEMURA Aya,SUK Eunmi,4,1,"11,12,11,10,12|3,10,7,12,10",SF,GRAND_SLAM,WS,1318,Main Draw,UMEMURA Aya (JPN),SUK Eunmi (KOR),UMEMURA Aya
Brazilian Open Sao Paulo 2002,2002-07-11,STRUSE Nicole,FUJINUMA Ai,4,2,"10,2,11,11,11,11|12,11,8,3,6,7",SF,GRAND_SLAM,WS,1318,Main Draw,STRUSE Nicole (GER),FUJINUMA Ai (JPN),STRUSE Nicole
Brazilian Open Sao Paulo 2002,2002-07-11,CHEN Weixing/GARDOS Robert,CARDOSO Rivalino/RAMOS FILHO Pedro,3,0,"11,11,11|9,5,6",14,GRAND_SLAM,MD,1318,Qualification,CHEN Weixing (AUT) / GARDOS Robert (AUT),CARDOSO Rivalino (BRA) / RAMOS FILHO Pedro (BRA),CHEN Weixing
Brazilian Open Sao Paulo 2002,2002-07-11,CHEN Weixing/GARDOS Robert,CLOSSET Marc/TUGWELL Finn,3,2,"11,7,13,11,11|8,11,15,6,9",R16,GRAND_SLAM,MD,1318,Main Draw,CHEN Weixing (AUT) / GARDOS Robert (AUT),CLOSSET Marc (BEL) / TUGWELL Finn (DEN),CHEN Weixing
Brazilian Open Sao Paulo 2002,2002-07-11,OH Sangeun/SMIRNOV Alexey,CHEN Weixing/GARDOS Robert,3,0,"11,11,11|9,7,6",QF,GRAND_SLAM,MD,1318,Main Draw,OH Sangeun (KOR) / SMIRNOV Alexey (RUS),CHEN Weixing (AUT) / GARDOS Robert (AUT),OH Sangeun
Brazilian Open Sao Paulo 2002,2002-07-11,JINDRAK Karl/SCHLAGER Werner,TANIGUCHI Yuji/TASAKI Toshio,3,0,"11,11,11|6,5,9",QF,GRAND_SLAM,MD,1318,Main Draw,JINDRAK Karl (AUT) / SCHLAGER Werner (AUT),TANIGUCHI Yuji (JPN) / TASAKI Toshio (JPN),JINDRAK Karl
Brazilian Open Sao Paulo 2002,2002-07-11,JINDRAK Karl/SCHLAGER Werner,OH Sangeun/SMIRNOV Alexey,4,1,"11,11,9,11,11|9,7,11,6,5",SF,GRAND_SLAM,MD,1318,Main Draw,JINDRAK Karl (AUT) / SCHLAGER Werner (AUT),OH Sangeun (KOR) / SMIRNOV Alexey (RUS),JINDRAK Karl
Brazilian Open Sao Paulo 2002,2002-07-11,JINDRAK Karl/SCHLAGER Werner,FEJER-KONNERTH Zoltan/WOSIK Torben,4,0,"11,11,11,11|4,6,9,9",F,GRAND_SLAM,MD,1318,Main Draw,JINDRAK Karl (AUT) / SCHLAGER Werner (AUT),FEJER-KONNERTH Zoltan (GER) / WOSIK Torben (GER),JINDRAK Karl
Brazilian Open Sao Paulo 2002,2002-07-11,ARAI Shu/TAKAMORI Hidero,ABDALA Bruno/CARVALHO Efraim,3,0,"11,11,11|7,4,4",14,GRAND_SLAM,MD,1318,Qualification,ARAI Shu (JPN) / TAKAMORI Hidero (JPN),ABDALA Bruno (BRA) / CARVALHO Efraim (BRA),ARAI Shu
