tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
2022 Commonwealth Games,2022-07-28,ARUNA Quadri,RUMGAY Gavin,4,0,"11,11,11,11|2,8,3,9",R16,OTHER,MS,2614,Main Draw,ARUNA Quadri (NGR),RUMGAY Gavin (SCO),ARUNA Quadri
2022 Commonwealth Games,2022-07-28,PITCHFORD Liam,SHETTY Sanil,4,1,"9,11,11,11,11|11,6,8,8,4",QF,OTHER,MS,2614,Main Draw,PITCHFORD Liam (ENG),SHETTY Sanil (IND),PITCHFORD Liam
2022 Commonwealth Games,2022-07-28,ACHANTA Sharath,DRINKHALL Paul,4,2,"11,11,8,11,9,11|8,8,11,7,11,8",SF,OTHER,MS,2614,Main Draw,ACHANTA Sharath (IND),DRINKHALL Paul (ENG),ACHANTA Sharath
2022 Commonwealth Games,2022-07-28,PITCHFORD Liam,GNANASEKARAN Sathiyan,4,1,"11,4,11,11,11|5,11,8,9,9",SF,OTHER,MS,2614,Main Draw,PITCHFORD Liam (ENG),GNANASEKARAN Sathiyan (IND),PITCHFORD Liam
2022 Commonwealth Games,2022-07-28,ACHANTA Sharath,PITCHFORD Liam,4,1,"11,11,11,11,11|13,7,7,6,8",F,OTHER,MS,2614,Main Draw,ACHANTA Sharath (IND),PITCHFORD Liam (ENG),ACHANTA Sharath
2022 Commonwealth Games,2022-07-28,FENG Tianwei,TENNISON Reeth,4,1,"11,11,9,11,11|2,4,11,3,4",R16,OTHER,WS,2614,Main Draw,FENG Tianwei (SGP),TENNISON Reeth (IND),FENG Tianwei
2022 Commonwealth Games,2022-07-28,LAY Jian Fang,EDEM Offiong,4,1,"13,11,11,9,11|11,3,6,11,7",R16,OTHER,WS,2614,Main Draw,LAY Jian Fang (AUS),EDEM Offiong (NGR),LAY Jian Fang
2022 Commonwealth Games,2022-07-28,AKULA Sreeja,CAREY Charlotte,4,3,"8,11,12,9,11,15,12|11,7,14,11,4,13,10",R16,OTHER,WS,2614,Main Draw,AKULA Sreeja (IND),CAREY Charlotte (WAL),AKULA Sreeja
2022 Commonwealth Games,2022-07-28,ZHANG Mo,EARLEY Sophie,4,3,"11,5,7,10,11,11,11|6,11,11,12,8,7,4",R16,OTHER,WS,2614,Main Draw,ZHANG Mo (CAN),EARLEY Sophie (ENG),ZHANG Mo
2022 Commonwealth Games,2022-07-28,HURSEY Anna,CUMMINGS Natalie,4,0,"11,11,11,11|4,3,4,7",R16,OTHER,WS,2614,Main Draw,HURSEY Anna (WAL),CUMMINGS Natalie (GUY),HURSEY Anna
2022 Commonwealth Games,2022-07-28,LIU Yangzi,HO Tin-Tin,4,0,"11,14,11,11|8,12,6,6",R16,OTHER,WS,2614,Main Draw,LIU Yangzi (AUS),HO Tin-Tin (ENG),LIU Yangzi
2022 Commonwealth Games,2022-07-28,ZENG Jian,THOMAS WU ZHANG Chloe Anna,4,1,"11,11,11,11,11|13,4,8,3,3",R16,OTHER,WS,2614,Main Draw,ZENG Jian (SGP),THOMAS WU ZHANG Chloe Anna (WAL),ZENG Jian
2022 Commonwealth Games,2022-07-28,BATRA Manika,JEE Minhyung,4,0,"11,11,11,12|4,8,6,10",R16,OTHER,WS,2614,Main Draw,BATRA Manika (IND),JEE Minhyung (AUS),BATRA Manika
2022 Commonwealth Games,2022-07-28,FENG Tianwei,LAY Jian Fang,4,0,"11,11,11,11|6,7,9,3",QF,OTHER,WS,2614,Main Draw,FENG Tianwei (SGP),LAY Jian Fang (AUS),FENG Tianwei
2022 Commonwealth Games,2022-07-28,AKULA Sreeja,ZHANG Mo,4,3,"9,11,6,9,11,11,11|11,4,11,11,5,4,8",QF,OTHER,WS,2614,Main Draw,AKULA Sreeja (IND),ZHANG Mo (CAN),AKULA Sreeja
2022 Commonwealth Games,2022-07-28,LIU Yangzi,HURSEY Anna,4,1,"8,11,11,12,11|11,6,6,10,8",QF,OTHER,WS,2614,Main Draw,LIU Yangzi (AUS),HURSEY Anna (WAL),LIU Yangzi
2022 Commonwealth Games,2022-07-28,ZENG Jian,BATRA Manika,4,0,"12,11,11,11|10,9,4,7",QF,OTHER,WS,2614,Main Draw,ZENG Jian (SGP),BATRA Manika (IND),ZENG Jian
2022 Commonwealth Games,2022-07-28,FENG Tianwei,AKULA Sreeja,4,3,"11,8,6,11,11,8,12|6,11,11,9,8,11,10",SF,OTHER,WS,2614,Main Draw,FENG Tianwei (SGP),AKULA Sreeja (IND),FENG Tianwei
2022 Commonwealth Games,2022-07-28,ZENG Jian,LIU Yangzi,4,2,"7,9,12,11,11,11|11,11,10,4,6,9",SF,OTHER,WS,2614,Main Draw,ZENG Jian (SGP),LIU Yangzi (AUS),ZENG Jian
2022 Commonwealth Games,2022-07-28,FENG Tianwei,ZENG Jian,4,3,"6,5,8,11,11,11,11|11,11,11,4,6,8,5",F,OTHER,WS,2614,Main Draw,FENG Tianwei (SGP),ZENG Jian (SGP),FENG Tianwei
2022 Commonwealth Games,2022-07-28,DRINKHALL Paul/PITCHFORD Liam,KNIGHT Tyrese/MAXWELL Ramon,3,0,"11,11,11|5,5,6",R16,OTHER,MD,2614,Main Draw,DRINKHALL Paul (ENG) / PITCHFORD Liam (ENG),KNIGHT Tyrese (BAR) / MAXWELL Ramon (BAR),DRINKHALL Paul
2022 Commonwealth Games,2022-07-28,OMEH Amadi/OMOTAYO Olajide,BRITTON Shemar/FRANKLIN Christopher,3,1,"11,11,9,11|6,6,11,5",R16,OTHER,MD,2614,Main Draw,OMEH Amadi (NGR) / OMOTAYO Olajide (NGR),BRITTON Shemar (GUY) / FRANKLIN Christopher (GUY),OMEH Amadi
2022 Commonwealth Games,2022-07-28,CHEW Clarence/POH Ethan,CHEN Hongtao/WANG Eugene,3,1,"11,11,4,11|5,9,11,6",R16,OTHER,MD,2614,Main Draw,CHEW Clarence (SGP) / POH Ethan (SGP),CHEN Hongtao (CAN) / WANG Eugene (CAN),CHEW Clarence
2022 Commonwealth Games,2022-07-28,DESAI Harmeet/SHETTY Sanil,CHAMBERS Dillon/YAN Xin,3,1,"11,9,11,11|3,11,9,7",R16,OTHER,MD,2614,Main Draw,DESAI Harmeet (IND) / SHETTY Sanil (IND),CHAMBERS Dillon (AUS) / YAN Xin (AUS),DESAI Harmeet
2022 Commonwealth Games,2022-07-28,ABIODUN Bode/ARUNA Quadri,PANG Koen/QUEK Izaac,3,2,"11,11,7,7,11|8,9,11,11,8",R16,OTHER,MD,2614,Main Draw,ABIODUN Bode (NGR) / ARUNA Quadri (NGR),PANG Koen (SGP) / QUEK Izaac (SGP),ABIODUN Bode
2022 Commonwealth Games,2022-07-28,LUM Nicholas/LUU Finn,HAZIN Jeremy/LY Edward,3,1,"7,11,11,11|11,6,7,6",R16,OTHER,MD,2614,Main Draw,LUM Nicholas (AUS) / LUU Finn (AUS),HAZIN Jeremy (CAN) / LY Edward (CAN),LUM Nicholas
2022 Commonwealth Games,2022-07-28,JARVIS Tom/WALKER Samuel,COGILL Theo/NATHOO Chetan,3,0,"11,11,11|8,4,5",R16,OTHER,MD,2614,Main Draw,JARVIS Tom (ENG) / WALKER Samuel (ENG),COGILL Theo (RSA) / NATHOO Chetan (RSA),JARVIS Tom
2022 Commonwealth Games,2022-07-28,ACHANTA Sharath/GNANASEKARAN Sathiyan,BAWM Ramhimlian/RIDOY Mohutasin,3,0,"11,11,11|6,1,4",R16,OTHER,MD,2614,Main Draw,ACHANTA Sharath (IND) / GNANASEKARAN Sathiyan (IND),BAWM Ramhimlian (BAN) / RIDOY Mohutasin (BAN),ACHANTA Sharath
2022 Commonwealth Games,2022-07-28,DRINKHALL Paul/PITCHFORD Liam,OMEH Amadi/OMOTAYO Olajide,3,0,"11,11,11|9,3,5",QF,OTHER,MD,2614,Main Draw,DRINKHALL Paul (ENG) / PITCHFORD Liam (ENG),OMEH Amadi (NGR) / OMOTAYO Olajide (NGR),DRINKHALL Paul
2022 Commonwealth Games,2022-07-28,CHEW Clarence/POH Ethan,DESAI Harmeet/SHETTY Sanil,3,0,"12,11,11|10,7,7",QF,OTHER,MD,2614,Main Draw,CHEW Clarence (SGP) / POH Ethan (SGP),DESAI Harmeet (IND) / SHETTY Sanil (IND),CHEW Clarence
2022 Commonwealth Games,2022-07-28,LUM Nicholas/LUU Finn,ABIODUN Bode/ARUNA Quadri,3,2,"14,11,4,9,11|12,8,11,11,8",QF,OTHER,MD,2614,Main Draw,LUM Nicholas (AUS) / LUU Finn (AUS),ABIODUN Bode (NGR) / ARUNA Quadri (NGR),LUM Nicholas
2022 Commonwealth Games,2022-07-28,ACHANTA Sharath/GNANASEKARAN Sathiyan,JARVIS Tom/WALKER Samuel,3,0,"11,11,11|6,8,4",QF,OTHER,MD,2614,Main Draw,ACHANTA Sharath (IND) / GNANASEKARAN Sathiyan (IND),JARVIS Tom (ENG) / WALKER Samuel (ENG),ACHANTA Sharath
2022 Commonwealth Games,2022-07-28,ACHANTA Sharath/GNANASEKARAN Sathiyan,LUM Nicholas/LUU Finn,3,2,"8,11,10,11,11|11,9,12,1,8",SF,OTHER,MD,2614,Main Draw,ACHANTA Sharath (IND) / GNANASEKARAN Sathiyan (IND),LUM Nicholas (AUS) / LUU Finn (AUS),ACHANTA Sharath
2022 Commonwealth Games,2022-07-28,DRINKHALL Paul/PITCHFORD Liam,ACHANTA Sharath/GNANASEKARAN Sathiyan,3,2,"8,11,11,7,11|11,8,3,11,4",F,OTHER,MD,2614,Main Draw,DRINKHALL Paul (ENG) / PITCHFORD Liam (ENG),ACHANTA Sharath (IND) / GNANASEKARAN Sathiyan (IND),DRINKHALL Paul
2022 Commonwealth Games,2022-07-28,BATRA Manika/CHITALE Diya,HOSENALLY Oumehani/JALIM Nandeshwaree,3,0,"11,11,11|5,5,3",R16,OTHER,WD,2614,Main Draw,BATRA Manika (IND) / CHITALE Diya (IND),HOSENALLY Oumehani (MRI) / JALIM Nandeshwaree (MRI),BATRA Manika
2022 Commonwealth Games,2022-07-28,CAREY Charlotte/HURSEY Anna,FU Ching Nam/ZHANG Mo,3,0,"12,11,11|10,6,9",R16,OTHER,WD,2614,Main Draw,CAREY Charlotte (WAL) / HURSEY Anna (WAL),FU Ching Nam (CAN) / ZHANG Mo (CAN),CAREY Charlotte
2022 Commonwealth Games,2022-07-28,FENG Chunyi/LIU Yangzi,CUMMINGS Natalie/EDGHILL Chelsea,3,0,"11,11,11|2,6,4",R16,OTHER,WD,2614,Main Draw,FENG Chunyi (AUS) / LIU Yangzi (AUS),CUMMINGS Natalie (GUY) / EDGHILL Chelsea (GUY),FENG Chunyi
2022 Commonwealth Games,2022-07-28,FENG Tianwei/ZENG Jian,BARDSLEY Charlotte/BOLTON Emily,3,0,"11,11,11|5,5,2",R16,OTHER,WD,2614,Main Draw,FENG Tianwei (SGP) / ZENG Jian (SGP),BARDSLEY Charlotte (ENG) / BOLTON Emily (ENG),FENG Tianwei
2022 Commonwealth Games,2022-07-28,BELLO Fatimo/EDEM Offiong,EDWARDS Lailaa/KALAM Musfiquh,3,0,"11,11,11|8,8,2",R16,OTHER,WD,2614,Main Draw,BELLO Fatimo (NGR) / EDEM Offiong (NGR),EDWARDS Lailaa (RSA) / KALAM Musfiquh (RSA),BELLO Fatimo
2022 Commonwealth Games,2022-07-28,JEE Minhyung/LAY Jian Fang,HO Tin-Tin/TSAPTSINOS Maria,3,1,"5,11,11,14|11,8,3,12",R16,OTHER,WD,2614,Main Draw,JEE Minhyung (AUS) / LAY Jian Fang (AUS),HO Tin-Tin (ENG) / TSAPTSINOS Maria (ENG),JEE Minhyung
2022 Commonwealth Games,2022-07-28,AKULA Sreeja/TENNISON Reeth,THOMAS WU ZHANG Chloe Anna/WHITTON Lara,3,0,"11,11,11|7,4,3",R16,OTHER,WD,2614,Main Draw,AKULA Sreeja (IND) / TENNISON Reeth (IND),THOMAS WU ZHANG Chloe Anna (WAL) / WHITTON Lara (WAL),AKULA Sreeja
2022 Commonwealth Games,2022-07-28,WONG Xin Ru/ZHOU Jingyi,CUMBERBATCH Leah/VELOX Unica,3,0,"11,11,11|3,2,5",R16,OTHER,WD,2614,Main Draw,WONG Xin Ru (SGP) / ZHOU Jingyi (SGP),CUMBERBATCH Leah (VIN) / VELOX Unica (VIN),WONG Xin Ru
2022 Commonwealth Games,2022-07-28,CAREY Charlotte/HURSEY Anna,BATRA Manika/CHITALE Diya,3,1,"11,11,11,12|7,6,13,10",QF,OTHER,WD,2614,Main Draw,CAREY Charlotte (WAL) / HURSEY Anna (WAL),BATRA Manika (IND) / CHITALE Diya (IND),CAREY Charlotte
2022 Commonwealth Games,2022-07-28,FENG Tianwei/ZENG Jian,FENG Chunyi/LIU Yangzi,3,1,"9,11,11,11|11,7,7,3",QF,OTHER,WD,2614,Main Draw,FENG Tianwei (SGP) / ZENG Jian (SGP),FENG Chunyi (AUS) / LIU Yangzi (AUS),FENG Tianwei
2022 Commonwealth Games,2022-07-28,JEE Minhyung/LAY Jian Fang,BELLO Fatimo/EDEM Offiong,3,0,"11,11,11|5,5,6",QF,OTHER,WD,2614,Main Draw,JEE Minhyung (AUS) / LAY Jian Fang (AUS),BELLO Fatimo (NGR) / EDEM Offiong (NGR),JEE Minhyung
2022 Commonwealth Games,2022-07-28,WONG Xin Ru/ZHOU Jingyi,AKULA Sreeja/TENNISON Reeth,3,1,"16,13,6,11|14,11,11,8",QF,OTHER,WD,2614,Main Draw,WONG Xin Ru (SGP) / ZHOU Jingyi (SGP),AKULA Sreeja (IND) / TENNISON Reeth (IND),WONG Xin Ru
2022 Commonwealth Games,2022-07-28,FENG Tianwei/ZENG Jian,CAREY Charlotte/HURSEY Anna,3,2,"11,8,9,11,11|5,11,11,7,3",SF,OTHER,WD,2614,Main Draw,FENG Tianwei (SGP) / ZENG Jian (SGP),CAREY Charlotte (WAL) / HURSEY Anna (WAL),FENG Tianwei
2022 Commonwealth Games,2022-07-28,JEE Minhyung/LAY Jian Fang,WONG Xin Ru/ZHOU Jingyi,3,0,"11,11,11|9,9,3",SF,OTHER,WD,2614,Main Draw,JEE Minhyung (AUS) / LAY Jian Fang (AUS),WONG Xin Ru (SGP) / ZHOU Jingyi (SGP),JEE Minhyung
2022 Commonwealth Games,2022-07-28,FENG Tianwei/ZENG Jian,JEE Minhyung/LAY Jian Fang,3,0,"11,11,11|1,8,8",F,OTHER,WD,2614,Main Draw,FENG Tianwei (SGP) / ZENG Jian (SGP),JEE Minhyung (AUS) / LAY Jian Fang (AUS),FENG Tianwei
2022 Commonwealth Games,2022-07-28,GNANASEKARAN Sathiyan/BATRA Manika,OMOTAYO Olajide/OJOMU Ajoke,3,0,"11,11,11|7,6,7",R16,OTHER,XD,2614,Main Draw,GNANASEKARAN Sathiyan (IND) / BATRA Manika (IND),OMOTAYO Olajide (NGR) / OJOMU Ajoke (NGR),GNANASEKARAN Sathiyan
2022 Commonwealth Games,2022-07-28,CHOONG Javen/LYNE Karen,WANG Eugene/ZHANG Mo,3,1,"11,9,11,11|2,11,6,7",R16,OTHER,XD,2614,Main Draw,CHOONG Javen (MAS) / LYNE Karen (MAS),WANG Eugene (CAN) / ZHANG Mo (CAN),CHOONG Javen
2022 Commonwealth Games,2022-07-28,LUU Finn/LIU Yangzi,ABIODUN Bode/BELLO Fatimo,3,0,"11,12,11|7,10,7",R16,OTHER,XD,2614,Main Draw,LUU Finn (AUS) / LIU Yangzi (AUS),ABIODUN Bode (NGR) / BELLO Fatimo (NGR),LUU Finn
2022 Commonwealth Games,2022-07-28,CHEW Clarence/ZENG Jian,WONG Qi Shen/TEE Ai Xin,3,0,"11,11,11|7,6,9",R16,OTHER,XD,2614,Main Draw,CHEW Clarence (SGP) / ZENG Jian (SGP),WONG Qi Shen (MAS) / TEE Ai Xin (MAS),CHEW Clarence
2022 Commonwealth Games,2022-07-28,PITCHFORD Liam/HO Tin-Tin,LY Edward/GAUTHIER Sophie,3,0,"11,11,11|7,9,2",R16,OTHER,XD,2614,Main Draw,PITCHFORD Liam (ENG) / HO Tin-Tin (ENG),LY Edward (CAN) / GAUTHIER Sophie (CAN),PITCHFORD Liam
2022 Commonwealth Games,2022-07-28,ACHANTA Sharath/AKULA Sreeja,LEONG Chee Feng/HO Ying,3,1,"5,11,11,11|11,2,6,5",R16,OTHER,XD,2614,Main Draw,ACHANTA Sharath (IND) / AKULA Sreeja (IND),LEONG Chee Feng (MAS) / HO Ying (MAS),ACHANTA Sharath
2022 Commonwealth Games,2022-07-28,LUM Nicholas/JEE Minhyung,ABREFA Derek/KWABI Cynthia,3,0,"11,11,11|4,3,5",R16,OTHER,XD,2614,Main Draw,LUM Nicholas (AUS) / JEE Minhyung (AUS),ABREFA Derek (GHA) / KWABI Cynthia (GHA),LUM Nicholas
2022 Commonwealth Games,2022-07-28,JARVIS Tom/BARDSLEY Charlotte,HAZIN Jeremy/FU Ching Nam,3,2,"8,12,11,13,11|11,10,7,15,8",R16,OTHER,XD,2614,Main Draw,JARVIS Tom (ENG) / BARDSLEY Charlotte (ENG),HAZIN Jeremy (CAN) / FU Ching Nam (CAN),JARVIS Tom
2022 Commonwealth Games,2022-07-28,CHOONG Javen/LYNE Karen,GNANASEKARAN Sathiyan/BATRA Manika,3,2,"12,9,8,11,11|10,11,11,7,7",QF,OTHER,XD,2614,Main Draw,CHOONG Javen (MAS) / LYNE Karen (MAS),GNANASEKARAN Sathiyan (IND) / BATRA Manika (IND),CHOONG Javen
2022 Commonwealth Games,2022-07-28,CHEW Clarence/ZENG Jian,LUU Finn/LIU Yangzi,3,0,"11,16,11|8,14,7",QF,OTHER,XD,2614,Main Draw,CHEW Clarence (SGP) / ZENG Jian (SGP),LUU Finn (AUS) / LIU Yangzi (AUS),CHEW Clarence
2022 Commonwealth Games,2022-07-28,LUM Nicholas/JEE Minhyung,JARVIS Tom/BARDSLEY Charlotte,3,0,"11,11,11|6,7,9",QF,OTHER,XD,2614,Main Draw,LUM Nicholas (AUS) / JEE Minhyung (AUS),JARVIS Tom (ENG) / BARDSLEY Charlotte (ENG),LUM Nicholas
2022 Commonwealth Games,2022-07-28,CHOONG Javen/LYNE Karen,CHEW Clarence/ZENG Jian,3,1,"11,5,11,11|7,11,7,7",SF,OTHER,XD,2614,Main Draw,CHOONG Javen (MAS) / LYNE Karen (MAS),CHEW Clarence (SGP) / ZENG Jian (SGP),CHOONG Javen
2022 Commonwealth Games,2022-07-28,ACHANTA Sharath/AKULA Sreeja,CHOONG Javen/LYNE Karen,3,1,"11,9,11,11|4,11,5,6",F,OTHER,XD,2614,Main Draw,ACHANTA Sharath (IND) / AKULA Sreeja (IND),CHOONG Javen (MAS) / LYNE Karen (MAS),ACHANTA Sharath
