tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
World Table Tennis Championships Suzhou 2015,2015-04-26,ELBEIALI Mohamed/ELDAWLATLY Nadeen,ISMAYILOV Farhad/GULIYEVA Rufat,4,0,"12,11,11,11|10,5,3,9",R128,WORLD_CHAMPIONSHIPS,XD,326,Main Draw,ELBEIALI Mohamed (EGY) / ELDAWLATLY Nadeen (EGY),ISMAYILOV Farhad (AZE) / GULIYEVA Rufat (AZE)
World Table Tennis Championships Suzhou 2015,2015-04-26,LEE Sang Su/SEO Hyundeok,PLATONOV Pavel/SAMSONOV Vladimir,4,0,"11,12,11,11|7,10,5,4",R64,WORLD_CHAMPIONSHIPS,MD,326,Main Draw,LEE Sang Su (KOR) / SEO Hyundeok (KOR),PLATONOV Pavel (BLR) / SAMSONOV Vladimir (BLR)
World Table Tennis Championships Suzhou 2015,2015-04-26,DVORAK Galia/RAMIREZ Sara,FINS Rita/TRIGOLOS Daria,4,0,"11,11,11,11|9,9,7,9",R64,WORLD_CHAMPIONSHIPS,WD,326,Main Draw,DVORAK Galia (ESP) / RAMIREZ Sara (ESP),FINS Rita (POR) / TRIGOLOS Daria (BLR)
World Table Tennis Championships Suzhou 2015,2015-04-26,MATSUMOTO Cazuo/MONTEIRO Thiago,GOMEZ Gustavo/MOYA Manuel,4,0,"11,11,11,11|5,3,9,9",R64,WORLD_CHAMPIONSHIPS,MD,326,Main Draw,MATSUMOTO Cazuo (BRA) / MONTEIRO Thiago (BRA),GOMEZ Gustavo (CHI) / MOYA Manuel (CHI)
World Table Tennis Championships Suzhou 2015,2015-04-26,CALDERANO Hugo/TSUBOI Gustavo,BEN ARI Omri/RABINOVICH Shimon,4,2,"11,7,11,11,9,11|3,11,7,8,11,8",R64,WORLD_CHAMPIONSHIPS,MD,326,Main Draw,CALDERANO Hugo (BRA) / TSUBOI Gustavo (BRA),BEN ARI Omri (ISR) / RABINOVICH Shimon (ISR)
World Table Tennis Championships Suzhou 2015,2015-04-26,CALDERANO Hugo/TSUBOI Gustavo,KUZMIN Fedor/VLASOV Grigory,4,2,"9,11,11,11,4,11|11,8,8,6,11,3",R32,WORLD_CHAMPIONSHIPS,MD,326,Main Draw,CALDERANO Hugo (BRA) / TSUBOI Gustavo (BRA),KUZMIN Fedor (RUS) / VLASOV Grigory (RUS)
World Table Tennis Championships Suzhou 2015,2015-04-26,MATSUMOTO Cazuo/MONTEIRO Thiago,GAUZY Simon/LEBESSON Emmanuel,4,3,"11,7,8,12,6,11,11|4,11,11,10,11,9,7",R16,WORLD_CHAMPIONSHIPS,MD,326,Main Draw,MATSUMOTO Cazuo (BRA) / MONTEIRO Thiago (BRA),GAUZY Simon (FRA) / LEBESSON Emmanuel (FRA)
World Table Tennis Championships Suzhou 2015,2015-04-26,GUI Lin/KUMAHARA Luca,SUN Yang/YANG Annie,4,2,"11,11,11,2,11,11|13,5,7,11,4,6",R64,WORLD_CHAMPIONSHIPS,WD,326,Main Draw,GUI Lin (BRA) / KUMAHARA Luca (BRA),SUN Yang (NZL) / YANG Annie (NZL)
World Table Tennis Championships Suzhou 2015,2015-04-26,GRZYBOWSKA-FRANC Katarzyna/PARTYKA Natalia,GUI Lin/KUMAHARA Luca,4,0,"11,11,11,11|9,9,5,4",R32,WORLD_CHAMPIONSHIPS,WD,326,Main Draw,GRZYBOWSKA-FRANC Katarzyna (POL) / PARTYKA Natalia (POL),GUI Lin (BRA) / KUMAHARA Luca (BRA)
World Table Tennis Championships Suzhou 2015,2015-04-26,TSUBOI Gustavo/GUI Lin,TAUBER Michael/SHOIFER Neli,4,1,"11,11,11,8,13|8,4,5,11,11",R128,WORLD_CHAMPIONSHIPS,XD,326,Main Draw,TSUBOI Gustavo (BRA) / GUI Lin (BRA),TAUBER Michael (ISR) / SHOIFER Neli (ISR)
World Table Tennis Championships Suzhou 2015,2015-04-26,O'CONNELL Daniel/CAREY Charlotte,TSUBOI Gustavo/GUI Lin,4,3,"4,11,4,11,3,11,11|11,9,11,7,11,5,3",R64,WORLD_CHAMPIONSHIPS,XD,326,Main Draw,O'CONNELL Daniel (WAL) / CAREY Charlotte (WAL),TSUBOI Gustavo (BRA) / GUI Lin (BRA)
World Table Tennis Championships Suzhou 2015,2015-04-26,TROMER Laurens/EERLAND Britt,CALDERANO Hugo/KUMAHARA Luca,4,2,"13,11,9,11,9,13|11,9,11,6,11,11",R32,WORLD_CHAMPIONSHIPS,XD,326,Main Draw,TROMER Laurens (NED) / EERLAND Britt (NED),CALDERANO Hugo (BRA) / KUMAHARA Luca (BRA)
World Table Tennis Championships Suzhou 2015,2015-04-26,ZHMUDENKO Yaroslav/BILENKO Tetyana,ALEXANDROV Teodor/ZAMFIROVA Elitsa,4,0,"11,11,11,11|9,6,7,4",R128,WORLD_CHAMPIONSHIPS,XD,326,Main Draw,ZHMUDENKO Yaroslav (UKR) / BILENKO Tetyana (UKR),ALEXANDROV Teodor (BUL) / ZAMFIROVA Elitsa (BUL)
World Table Tennis Championships Suzhou 2015,2015-04-26,DOLGIKH Maria/MIKHAILOVA Polina,LUO Anqi/ZHANG Mo,4,2,"11,11,12,11,8,11|7,4,14,2,11,3",R64,WORLD_CHAMPIONSHIPS,WD,326,Main Draw,DOLGIKH Maria (RUS) / MIKHAILOVA Polina (RUS),LUO Anqi (CAN) / ZHANG Mo (CAN)
World Table Tennis Championships Suzhou 2015,2015-04-26,HE Zhiwen/RAMIREZ Sara,BERNADET Antoine/LUO Anqi,4,0,"11,11,14,11|4,8,12,8",R128,WORLD_CHAMPIONSHIPS,XD,326,Main Draw,HE Zhiwen (ESP) / RAMIREZ Sara (ESP),BERNADET Antoine (CAN) / LUO Anqi (CAN)
