tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
World Table Tennis Championships Suzhou 2015,2015-04-26,CHAITAT Chaisit/KOMWONG Nanthana,GERASSIMENKO Kirill/LAVROVA Anastassiya,4,0,"11,11,11,11|7,7,8,9",R128,WORLD_CHAMPIONSHIPS,XD,326,Main Draw,CHAITAT Chaisit (THA) / KOMWONG Nanthana (THA),GERASSIMENKO Kirill (KAZ) / LAVROVA Anastassiya (KAZ)
World Table Tennis Championships Suzhou 2015,2015-04-26,JEOUNG Youngsik/KIM Minseok,DRINKHALL Paul/PITCHFORD Liam,4,2,"11,11,4,7,11,11|7,6,11,11,8,8",R64,WORLD_CHAMPIONSHIPS,MD,326,Main Draw,JEOUNG Youngsik (KOR) / KIM Minseok (KOR),DRINKHALL Paul (ENG) / PITCHFORD Liam (ENG)
World Table Tennis Championships Suzhou 2015,2015-04-26,JEOUNG Youngsik/KIM Minseok,KONECNY Tomas/TREGLER Tomas,4,0,"11,11,11,11|9,9,5,7",R32,WORLD_CHAMPIONSHIPS,MD,326,Main Draw,JEOUNG Youngsik (KOR) / KIM Minseok (KOR),KONECNY Tomas (CZE) / TREGLER Tomas (CZE)
World Table Tennis Championships Suzhou 2015,2015-04-26,JEOUNG Youngsik/KIM Minseok,CALDERANO Hugo/TSUBOI Gustavo,4,2,"7,11,11,8,11,11|11,8,8,11,8,3",R16,WORLD_CHAMPIONSHIPS,MD,326,Main Draw,JEOUNG Youngsik (KOR) / KIM Minseok (KOR),CALDERANO Hugo (BRA) / TSUBOI Gustavo (BRA)
World Table Tennis Championships Suzhou 2015,2015-04-26,LEE Sang Su/SEO Hyundeok,MATSUMOTO Cazuo/MONTEIRO Thiago,4,3,"11,6,6,11,11,6,11|6,11,11,5,7,11,7",QF,WORLD_CHAMPIONSHIPS,MD,326,Main Draw,LEE Sang Su (KOR) / SEO Hyundeok (KOR),MATSUMOTO Cazuo (BRA) / MONTEIRO Thiago (BRA)
World Table Tennis Championships Suzhou 2015,2015-04-26,PARK Youngsook/YANG Ha Eun,PASKAUSKIENE Ruta/PESOTSKA Margaryta,4,1,"11,13,4,11,11|6,11,11,9,7",R64,WORLD_CHAMPIONSHIPS,WD,326,Main Draw,PARK Youngsook (KOR) / YANG Ha Eun (KOR),PASKAUSKIENE Ruta (LTU) / PESOTSKA Margaryta (UKR)
World Table Tennis Championships Suzhou 2015,2015-04-26,PARK Youngsook/YANG Ha Eun,PENKAVOVA Katerina/STRBIKOVA Renata,4,0,"11,11,11,11|7,1,3,7",R32,WORLD_CHAMPIONSHIPS,WD,326,Main Draw,PARK Youngsook (KOR) / YANG Ha Eun (KOR),PENKAVOVA Katerina (CZE) / STRBIKOVA Renata (CZE)
World Table Tennis Championships Suzhou 2015,2015-04-26,PARK Youngsook/YANG Ha Eun,LIU Jia/VACENOVSKA Iveta,4,2,"8,6,11,13,13,12|11,11,6,11,11,10",R16,WORLD_CHAMPIONSHIPS,WD,326,Main Draw,PARK Youngsook (KOR) / YANG Ha Eun (KOR),LIU Jia (AUT) / VACENOVSKA Iveta (CZE)
World Table Tennis Championships Suzhou 2015,2015-04-26,FENG Tianwei/YU Mengyu,PARK Youngsook/YANG Ha Eun,4,1,"11,11,11,6,11|8,5,7,11,9",QF,WORLD_CHAMPIONSHIPS,WD,326,Main Draw,FENG Tianwei (SGP) / YU Mengyu (SGP),PARK Youngsook (KOR) / YANG Ha Eun (KOR)
World Table Tennis Championships Suzhou 2015,2015-04-26,XU Xin/YANG Ha Eun,TOKIC Bojan/FAJMUT Manca,4,0,"11,11,11,11|7,8,6,1",R128,WORLD_CHAMPIONSHIPS,XD,326,Main Draw,XU Xin (CHN) / YANG Ha Eun (KOR),TOKIC Bojan (SLO) / FAJMUT Manca (SLO)
World Table Tennis Championships Suzhou 2015,2015-04-26,XU Xin/YANG Ha Eun,ZHMUDENKO Yaroslav/BILENKO Tetyana,4,0,"11,11,11,11|7,5,5,6",R64,WORLD_CHAMPIONSHIPS,XD,326,Main Draw,XU Xin (CHN) / YANG Ha Eun (KOR),ZHMUDENKO Yaroslav (UKR) / BILENKO Tetyana (UKR)
World Table Tennis Championships Suzhou 2015,2015-04-26,XU Xin/YANG Ha Eun,VLASOV Grigory/NOSKOVA Yana,4,0,"11,11,11,11|9,6,6,7",R32,WORLD_CHAMPIONSHIPS,XD,326,Main Draw,XU Xin (CHN) / YANG Ha Eun (KOR),VLASOV Grigory (RUS) / NOSKOVA Yana (RUS)
World Table Tennis Championships Suzhou 2015,2015-04-26,XU Xin/YANG Ha Eun,LIVENTSOV Alexey/PROKHOROVA Yulia,4,2,"12,11,10,11,11,11|14,7,12,2,9,3",R16,WORLD_CHAMPIONSHIPS,XD,326,Main Draw,XU Xin (CHN) / YANG Ha Eun (KOR),LIVENTSOV Alexey (RUS) / PROKHOROVA Yulia (RUS)
World Table Tennis Championships Suzhou 2015,2015-04-26,XU Xin/YANG Ha Eun,MENGEL Steffen/SOLJA Petrissa,4,0,"13,11,11,11|11,6,9,7",QF,WORLD_CHAMPIONSHIPS,XD,326,Main Draw,XU Xin (CHN) / YANG Ha Eun (KOR),MENGEL Steffen (GER) / SOLJA Petrissa (GER)
World Table Tennis Championships Suzhou 2015,2015-04-26,GLOD Eric/DE NUTTE Sarah,CITAKU Baton/JANJEVA Amare,4,0,"11,11,11,11|7,5,5,8",R128,WORLD_CHAMPIONSHIPS,XD,326,Main Draw,GLOD Eric (LUX) / DE NUTTE Sarah (LUX),CITAKU Baton (KOS) / JANJEVA Amare (KOS)
World Table Tennis Championships Suzhou 2015,2015-04-26,YAN An/WU Yang,KARAKASEVIC Aleksandar/PASKAUSKIENE Ruta,4,3,"11,11,9,11,7,8,11|7,8,11,6,11,11,8",R128,WORLD_CHAMPIONSHIPS,XD,326,Main Draw,YAN An (CHN) / WU Yang (CHN),KARAKASEVIC Aleksandar (SRB) / PASKAUSKIENE Ruta (LTU)
World Table Tennis Championships Suzhou 2015,2015-04-26,KARLSSON Mattias/EKHOLM Matilda,STANKEVICIUS Medardas/STUCKYTE Egle,4,1,"11,9,11,12,12|1,11,6,10,10",R128,WORLD_CHAMPIONSHIPS,XD,326,Main Draw,KARLSSON Mattias (SWE) / EKHOLM Matilda (SWE),STANKEVICIUS Medardas (LTU) / STUCKYTE Egle (LTU)
World Table Tennis Championships Suzhou 2015,2015-04-26,PLATONOV Pavel/BARAVOK Katsiaryna,CHE Long Lam/KUOK Cheng I,4,1,"11,11,12,9,11|5,7,10,11,7",R128,WORLD_CHAMPIONSHIPS,XD,326,Main Draw,PLATONOV Pavel (BLR) / BARAVOK Katsiaryna (BLR),CHE Long Lam (MAC) / KUOK Cheng I (MAC)
World Table Tennis Championships Suzhou 2015,2015-04-26,VLASOV Grigory/NOSKOVA Yana,CHANG Hoi Wa/WONG Choi Chi,4,0,"11,11,11,11|3,5,8,7",R128,WORLD_CHAMPIONSHIPS,XD,326,Main Draw,VLASOV Grigory (RUS) / NOSKOVA Yana (RUS),CHANG Hoi Wa (MAC) / WONG Choi Chi (MAC)
World Table Tennis Championships Suzhou 2015,2015-04-26,LEE Sang Su/PARK Youngsook,LEONG Chee Feng/HO Ying,4,1,"6,11,11,11,11|11,3,3,2,9",R128,WORLD_CHAMPIONSHIPS,XD,326,Main Draw,LEE Sang Su (KOR) / PARK Youngsook (KOR),LEONG Chee Feng (MAS) / HO Ying (MAS)
World Table Tennis Championships Suzhou 2015,2015-04-26,MADRID Mercedes/SILVA Yadira,ARGUELLES Camila/CODINA Ana,4,0,,R64,WORLD_CHAMPIONSHIPS,WD,326,Main Draw,MADRID Mercedes (MEX) / SILVA Yadira (MEX),ARGUELLES Camila (ARG) / CODINA Ana (ARG)
World Table Tennis Championships Suzhou 2015,2015-04-26,MADRID Marcos/SILVA Yadira,SALAH Mohamed/ELZIBAG Kauther,4,0,"11,11,11,11|2,2,3,1",R128,WORLD_CHAMPIONSHIPS,XD,326,Main Draw,MADRID Marcos (MEX) / SILVA Yadira (MEX),SALAH Mohamed (SUD) / ELZIBAG Kauther (SUD)
World Table Tennis Championships Suzhou 2015,2015-04-26,MADRID Marcos/SILVA Yadira,RABINOVICH Shimon/TROSMAN Nicole,4,3,"11,11,7,11,11,11,11|13,13,11,6,8,4,7",R64,WORLD_CHAMPIONSHIPS,XD,326,Main Draw,MADRID Marcos (MEX) / SILVA Yadira (MEX),RABINOVICH Shimon (ISR) / TROSMAN Nicole (ISR)
World Table Tennis Championships Suzhou 2015,2015-04-26,YOSHIMURA Maharu/ISHIKAWA Kasumi,MADRID Marcos/SILVA Yadira,4,0,"11,11,11,11|4,5,3,2",R32,WORLD_CHAMPIONSHIPS,XD,326,Main Draw,YOSHIMURA Maharu (JPN) / ISHIKAWA Kasumi (JPN),MADRID Marcos (MEX) / SILVA Yadira (MEX)
World Table Tennis Championships Suzhou 2015,2015-04-26,CALDERANO Hugo/KUMAHARA Luca,ENKHBAT Lkhagvasuren/BATBAYAR Doljinzuu,4,1,"6,11,11,11,11|11,7,4,5,3",R128,WORLD_CHAMPIONSHIPS,XD,326,Main Draw,CALDERANO Hugo (BRA) / KUMAHARA Luca (BRA),ENKHBAT Lkhagvasuren (MGL) / BATBAYAR Doljinzuu (MGL)
World Table Tennis Championships Suzhou 2015,2015-04-26,PISTEJ Lubomir/VARADY Barbora,BATKHISHIG Bilegt/GUNDEGMAA Indra,4,0,"11,11,11,11|3,4,3,4",R128,WORLD_CHAMPIONSHIPS,XD,326,Main Draw,PISTEJ Lubomir (SVK) / VARADY Barbora (SVK),BATKHISHIG Bilegt (MGL) / GUNDEGMAA Indra (MGL)
World Table Tennis Championships Suzhou 2015,2015-04-26,TROMER Laurens/EERLAND Britt,SAKA Suraju/HAN Xing,4,3,"11,11,10,11,7,4,11|9,9,12,3,11,11,7",R64,WORLD_CHAMPIONSHIPS,XD,326,Main Draw,TROMER Laurens (NED) / EERLAND Britt (NED),SAKA Suraju (CGO) / HAN Xing (CGO)
World Table Tennis Championships Suzhou 2015,2015-04-26,KARLSSON Mattias/EKHOLM Matilda,OOSTWOUDER Ewout/LI Jiao,4,2,"11,11,11,6,10,15|5,5,8,11,12,13",R64,WORLD_CHAMPIONSHIPS,XD,326,Main Draw,KARLSSON Mattias (SWE) / EKHOLM Matilda (SWE),OOSTWOUDER Ewout (NED) / LI Jiao (NED)
World Table Tennis Championships Suzhou 2015,2015-04-26,WONG Chun Ting/DOO Hoi Kem,MALLA Amar/MAHARJAN Elina,4,0,"11,11,11,11|1,2,1,4",R128,WORLD_CHAMPIONSHIPS,XD,326,Main Draw,WONG Chun Ting (HKG) / DOO Hoi Kem (HKG),MALLA Amar (NEP) / MAHARJAN Elina (NEP)
World Table Tennis Championships Suzhou 2015,2015-04-26,ARUNA Quadri/KAZEEM Makanjuola,ALKHADRAWI Ali/BU SHULAYBI Abdulaziz,4,1,"11,11,11,9,11|6,6,4,11,4",R64,WORLD_CHAMPIONSHIPS,MD,326,Main Draw,ARUNA Quadri (NGR) / KAZEEM Makanjuola (NGR),ALKHADRAWI Ali (KSA) / BU SHULAYBI Abdulaziz (KSA)
World Table Tennis Championships Suzhou 2015,2015-04-26,MATSUDAIRA Kenta/NIWA Koki,ONAOLAPO Ojo/TORIOLA Segun,4,0,,R64,WORLD_CHAMPIONSHIPS,MD,326,Main Draw,MATSUDAIRA Kenta (JPN) / NIWA Koki (JPN),ONAOLAPO Ojo (NGR) / TORIOLA Segun (NGR)
World Table Tennis Championships Suzhou 2015,2015-04-26,MATSUMOTO Cazuo/MONTEIRO Thiago,ARUNA Quadri/KAZEEM Makanjuola,4,1,"7,11,11,11,11|11,7,5,6,5",R32,WORLD_CHAMPIONSHIPS,MD,326,Main Draw,MATSUMOTO Cazuo (BRA) / MONTEIRO Thiago (BRA),ARUNA Quadri (NGR) / KAZEEM Makanjuola (NGR)
World Table Tennis Championships Suzhou 2015,2015-04-26,HANFFOU Sarah/OSHONAIKE Olufunke,ELDAWLATLY Nadeen/MESHREF Dina,4,1,"11,14,11,11,11|7,16,7,6,4",R64,WORLD_CHAMPIONSHIPS,WD,326,Main Draw,HANFFOU Sarah (CMR) / OSHONAIKE Olufunke (NGR),ELDAWLATLY Nadeen (EGY) / MESHREF Dina (EGY)
World Table Tennis Championships Suzhou 2015,2015-04-26,LIU Jia/VACENOVSKA Iveta,EDEM Offiong/EFFIOM Janet,4,0,,R64,WORLD_CHAMPIONSHIPS,WD,326,Main Draw,LIU Jia (AUT) / VACENOVSKA Iveta (CZE),EDEM Offiong (NGR) / EFFIOM Janet (NGR)
World Table Tennis Championships Suzhou 2015,2015-04-26,OOSTWOUDER Ewout/LI Jiao,TORIOLA Segun/OSHONAIKE Olufunke,4,1,"15,11,11,8,11|13,6,8,11,5",R128,WORLD_CHAMPIONSHIPS,XD,326,Main Draw,OOSTWOUDER Ewout (NED) / LI Jiao (NED),TORIOLA Segun (NGR) / OSHONAIKE Olufunke (NGR)
World Table Tennis Championships Suzhou 2015,2015-04-26,RODRIGUEZ Diego/NIETO Janina,AHMED Mohamed/NIMAL Fathimath,4,0,,R128,WORLD_CHAMPIONSHIPS,XD,326,Main Draw,RODRIGUEZ Diego (PER) / NIETO Janina (PER),AHMED Mohamed (MDV) / NIMAL Fathimath (MDV)
World Table Tennis Championships Suzhou 2015,2015-04-26,HE Zhiwen/RAMIREZ Sara,RODRIGUEZ Diego/NIETO Janina,4,0,"11,11,11,11|4,5,5,6",R64,WORLD_CHAMPIONSHIPS,XD,326,Main Draw,HE Zhiwen (ESP) / RAMIREZ Sara (ESP),RODRIGUEZ Diego (PER) / NIETO Janina (PER)
World Table Tennis Championships Suzhou 2015,2015-04-26,DYJAS Jakub/GORAK Daniel,MATTENET Adrien/SALIFOU Abdel-Kader,4,1,"11,11,11,7,11|8,9,2,11,9",R64,WORLD_CHAMPIONSHIPS,MD,326,Main Draw,DYJAS Jakub (POL) / GORAK Daniel (POL),MATTENET Adrien (FRA) / SALIFOU Abdel-Kader (BEN)
World Table Tennis Championships Suzhou 2015,2015-04-26,TAN Ruiwu/WANG Zengyi,BURGIS Matiss/JANCARIK Lubomir,4,1,"11,9,11,13,11|8,11,8,11,5",R64,WORLD_CHAMPIONSHIPS,MD,326,Main Draw,TAN Ruiwu (CRO) / WANG Zengyi (POL),BURGIS Matiss (LAT) / JANCARIK Lubomir (CZE)
World Table Tennis Championships Suzhou 2015,2015-04-26,APOLONIA Tiago/MONTEIRO Joao,TAN Ruiwu/WANG Zengyi,4,1,"11,11,6,11,11|2,7,11,9,8",R32,WORLD_CHAMPIONSHIPS,MD,326,Main Draw,APOLONIA Tiago (POR) / MONTEIRO Joao (POR),TAN Ruiwu (CRO) / WANG Zengyi (POL)
World Table Tennis Championships Suzhou 2015,2015-04-26,MORIZONO Masataka/OSHIMA Yuya,DYJAS Jakub/GORAK Daniel,4,0,"11,11,11,12|7,6,7,10",R16,WORLD_CHAMPIONSHIPS,MD,326,Main Draw,MORIZONO Masataka (JPN) / OSHIMA Yuya (JPN),DYJAS Jakub (POL) / GORAK Daniel (POL)
World Table Tennis Championships Suzhou 2015,2015-04-26,LI Jie/LI Qian,HIRANO Miu/ITO Mima,4,3,"11,6,11,11,9,4,11|8,11,8,8,11,11,9",R32,WORLD_CHAMPIONSHIPS,WD,326,Main Draw,LI Jie (NED) / LI Qian (POL),HIRANO Miu (JPN) / ITO Mima (JPN)
World Table Tennis Championships Suzhou 2015,2015-04-26,FERTIKOWSKI Pawel/GRZYBOWSKA-FRANC Katarzyna,MUTTI Leonardo/PICCOLIN Giorgia,4,3,"3,8,11,11,8,11,11|11,11,7,7,11,8,7",R128,WORLD_CHAMPIONSHIPS,XD,326,Main Draw,FERTIKOWSKI Pawel (POL) / GRZYBOWSKA-FRANC Katarzyna (POL),MUTTI Leonardo (ITA) / PICCOLIN Giorgia (ITA)
World Table Tennis Championships Suzhou 2015,2015-04-26,FERTIKOWSKI Pawel/GRZYBOWSKA-FRANC Katarzyna,GOMEZ Gustavo/LOW Katherine,4,1,"11,10,11,11,11|3,12,7,8,5",R64,WORLD_CHAMPIONSHIPS,XD,326,Main Draw,FERTIKOWSKI Pawel (POL) / GRZYBOWSKA-FRANC Katarzyna (POL),GOMEZ Gustavo (CHI) / LOW Katherine (CHI)
World Table Tennis Championships Suzhou 2015,2015-04-26,FERTIKOWSKI Pawel/GRZYBOWSKA-FRANC Katarzyna,KONECNY Tomas/MATELOVA Hana,4,0,"12,12,11,14|10,10,8,12",R32,WORLD_CHAMPIONSHIPS,XD,326,Main Draw,FERTIKOWSKI Pawel (POL) / GRZYBOWSKA-FRANC Katarzyna (POL),KONECNY Tomas (CZE) / MATELOVA Hana (CZE)
World Table Tennis Championships Suzhou 2015,2015-04-26,FERTIKOWSKI Pawel/GRZYBOWSKA-FRANC Katarzyna,PISTEJ Lubomir/VARADY Barbora,4,1,"12,11,11,8,11|10,8,0,11,9",R16,WORLD_CHAMPIONSHIPS,XD,326,Main Draw,FERTIKOWSKI Pawel (POL) / GRZYBOWSKA-FRANC Katarzyna (POL),PISTEJ Lubomir (SVK) / VARADY Barbora (SVK)
World Table Tennis Championships Suzhou 2015,2015-04-26,KIM Hyok Bong/PAK Sin Hyok,CHEN Diogo/FREITAS Marcos,4,2,"11,9,12,9,14,11|6,11,10,11,12,5",R16,WORLD_CHAMPIONSHIPS,MD,326,Main Draw,KIM Hyok Bong (PRK) / PAK Sin Hyok (PRK),CHEN Diogo (POR) / FREITAS Marcos (POR)
World Table Tennis Championships Suzhou 2015,2015-04-26,MATSUDAIRA Kenta/NIWA Koki,APOLONIA Tiago/MONTEIRO Joao,4,2,"11,9,11,3,11,11|8,11,9,11,6,5",R16,WORLD_CHAMPIONSHIPS,MD,326,Main Draw,MATSUDAIRA Kenta (JPN) / NIWA Koki (JPN),APOLONIA Tiago (POR) / MONTEIRO Joao (POR)
World Table Tennis Championships Suzhou 2015,2015-04-26,KIM Hye Song/KIM Jong,MARTINS Catia/OLIVEIRA Leila,4,0,"11,12,11,11|2,10,4,6",R64,WORLD_CHAMPIONSHIPS,WD,326,Main Draw,KIM Hye Song (PRK) / KIM Jong (PRK),MARTINS Catia (POR) / OLIVEIRA Leila (POR)
World Table Tennis Championships Suzhou 2015,2015-04-26,CHEN Diogo/OLIVEIRA Leila,ARUNA Quadri/EDEM Offiong,4,0,,R128,WORLD_CHAMPIONSHIPS,XD,326,Main Draw,CHEN Diogo (POR) / OLIVEIRA Leila (POR),ARUNA Quadri (NGR) / EDEM Offiong (NGR)
World Table Tennis Championships Suzhou 2015,2015-04-26,GERALDO Joao/FINS Rita,OLIVARES Felipe/CASTELLANO Natalia,4,0,"11,11,11,11|5,9,5,8",R128,WORLD_CHAMPIONSHIPS,XD,326,Main Draw,GERALDO Joao (POR) / FINS Rita (POR),OLIVARES Felipe (CHI) / CASTELLANO Natalia (CHI)
World Table Tennis Championships Suzhou 2015,2015-04-26,KIM Hyok Bong/PAK Sin Hyok,GROTH Jonathan/STERNBERG Kasper,4,2,"11,3,11,11,11,13|8,11,9,9,13,11",R64,WORLD_CHAMPIONSHIPS,MD,326,Main Draw,KIM Hyok Bong (PRK) / PAK Sin Hyok (PRK),GROTH Jonathan (DEN) / STERNBERG Kasper (DEN)
World Table Tennis Championships Suzhou 2015,2015-04-26,KIM Hyok Bong/PAK Sin Hyok,HE Zhiwen/MACHADO Carlos,4,2,"10,11,8,11,11,11|12,1,11,5,5,6",R32,WORLD_CHAMPIONSHIPS,MD,326,Main Draw,KIM Hyok Bong (PRK) / PAK Sin Hyok (PRK),HE Zhiwen (ESP) / MACHADO Carlos (ESP)
World Table Tennis Championships Suzhou 2015,2015-04-26,MATSUDAIRA Kenta/NIWA Koki,KIM Hyok Bong/PAK Sin Hyok,4,0,"11,11,12,16|3,7,10,14",QF,WORLD_CHAMPIONSHIPS,MD,326,Main Draw,MATSUDAIRA Kenta (JPN) / NIWA Koki (JPN),KIM Hyok Bong (PRK) / PAK Sin Hyok (PRK)
World Table Tennis Championships Suzhou 2015,2015-04-26,RI Mi Gyong/RI Myong Sun,GRUNDISCH Carole/XIAN Yifang,4,0,"11,11,13,11|5,5,11,7",R64,WORLD_CHAMPIONSHIPS,WD,326,Main Draw,RI Mi Gyong (PRK) / RI Myong Sun (PRK),GRUNDISCH Carole (FRA) / XIAN Yifang (FRA)
World Table Tennis Championships Suzhou 2015,2015-04-26,LI Jie/LI Qian,KIM Hye Song/KIM Jong,4,0,"11,11,11,12|6,7,6,10",R16,WORLD_CHAMPIONSHIPS,WD,326,Main Draw,LI Jie (NED) / LI Qian (POL),KIM Hye Song (PRK) / KIM Jong (PRK)
World Table Tennis Championships Suzhou 2015,2015-04-26,KIM Hyok Bong/KIM Jong,LARA Miguel/SERRANO Monica,4,0,"11,11,11,11|3,1,6,1",R128,WORLD_CHAMPIONSHIPS,XD,326,Main Draw,KIM Hyok Bong (PRK) / KIM Jong (PRK),LARA Miguel (MEX) / SERRANO Monica (MEX)
World Table Tennis Championships Suzhou 2015,2015-04-26,PAK Sin Hyok/KIM Hye Song,GUNDUZ Ibrahim/KARAHAN Ipek,4,0,"11,11,11,11|6,6,4,5",R128,WORLD_CHAMPIONSHIPS,XD,326,Main Draw,PAK Sin Hyok (PRK) / KIM Hye Song (PRK),GUNDUZ Ibrahim (TUR) / KARAHAN Ipek (TUR)
World Table Tennis Championships Suzhou 2015,2015-04-26,KIM Hyok Bong/KIM Jong,GHOSH Soumyajit/DAS Mouma,4,1,"11,11,5,11,11|7,3,11,7,9",R64,WORLD_CHAMPIONSHIPS,XD,326,Main Draw,KIM Hyok Bong (PRK) / KIM Jong (PRK),GHOSH Soumyajit (IND) / DAS Mouma (IND)
World Table Tennis Championships Suzhou 2015,2015-04-26,PAK Sin Hyok/KIM Hye Song,KOU Lei/PESOTSKA Margaryta,4,0,"11,11,11,11|4,5,6,6",R64,WORLD_CHAMPIONSHIPS,XD,326,Main Draw,PAK Sin Hyok (PRK) / KIM Hye Song (PRK),KOU Lei (UKR) / PESOTSKA Margaryta (UKR)
World Table Tennis Championships Suzhou 2015,2015-04-26,PAK Sin Hyok/KIM Hye Song,IONESCU Ovidiu/SZOCS Bernadette,4,0,"11,12,11,11|9,10,7,8",R32,WORLD_CHAMPIONSHIPS,XD,326,Main Draw,PAK Sin Hyok (PRK) / KIM Hye Song (PRK),IONESCU Ovidiu (ROU) / SZOCS Bernadette (ROU)
World Table Tennis Championships Suzhou 2015,2015-04-26,KIM Hyok Bong/KIM Jong,TROMER Laurens/EERLAND Britt,4,0,"11,11,11,11|8,4,5,8",R16,WORLD_CHAMPIONSHIPS,XD,326,Main Draw,KIM Hyok Bong (PRK) / KIM Jong (PRK),TROMER Laurens (NED) / EERLAND Britt (NED)
World Table Tennis Championships Suzhou 2015,2015-04-26,KIM Hyok Bong/KIM Jong,YAN An/WU Yang,4,3,"5,11,11,4,11,7,11|11,8,8,11,6,11,7",QF,WORLD_CHAMPIONSHIPS,XD,326,Main Draw,KIM Hyok Bong (PRK) / KIM Jong (PRK),YAN An (CHN) / WU Yang (CHN)
World Table Tennis Championships Suzhou 2015,2015-04-26,YOSHIMURA Maharu/ISHIKAWA Kasumi,PAK Sin Hyok/KIM Hye Song,4,2,"11,6,10,11,11,11|9,11,12,6,8,9",QF,WORLD_CHAMPIONSHIPS,XD,326,Main Draw,YOSHIMURA Maharu (JPN) / ISHIKAWA Kasumi (JPN),PAK Sin Hyok (PRK) / KIM Hye Song (PRK)
World Table Tennis Championships Suzhou 2015,2015-04-26,YOSHIMURA Maharu/ISHIKAWA Kasumi,KIM Hyok Bong/KIM Jong,4,2,"11,5,11,10,11,11|8,11,6,12,7,4",SF,WORLD_CHAMPIONSHIPS,XD,326,Main Draw,YOSHIMURA Maharu (JPN) / ISHIKAWA Kasumi (JPN),KIM Hyok Bong (PRK) / KIM Jong (PRK)
World Table Tennis Championships Suzhou 2015,2015-04-26,DIAZ Adriana/DIAZ Melanie,ASCHWANDEN Rahel/MORET Rachel,4,3,"4,11,7,11,5,11,11|11,7,11,8,11,7,4",R64,WORLD_CHAMPIONSHIPS,WD,326,Main Draw,DIAZ Adriana (PUR) / DIAZ Melanie (PUR),ASCHWANDEN Rahel (SUI) / MORET Rachel (SUI)
World Table Tennis Championships Suzhou 2015,2015-04-26,DOLGIKH Maria/MIKHAILOVA Polina,DIAZ Adriana/DIAZ Melanie,4,1,"3,11,11,11,11|11,6,3,4,2",R32,WORLD_CHAMPIONSHIPS,WD,326,Main Draw,DOLGIKH Maria (RUS) / MIKHAILOVA Polina (RUS),DIAZ Adriana (PUR) / DIAZ Melanie (PUR)
World Table Tennis Championships Suzhou 2015,2015-04-26,TOWNSEND Kane/DIAZ Adriana,WEBER Lionel/MORET Rachel,4,2,"11,13,11,11,7,12|3,11,13,5,11,10",R128,WORLD_CHAMPIONSHIPS,XD,326,Main Draw,TOWNSEND Kane (AUS) / DIAZ Adriana (PUR),WEBER Lionel (SUI) / MORET Rachel (SUI)
World Table Tennis Championships Suzhou 2015,2015-04-26,MINO Alberto/DIAZ Melanie,AHMED Moosa/MOHAMED Mueena,4,0,"11,11,11,11|3,6,7,2",R128,WORLD_CHAMPIONSHIPS,XD,326,Main Draw,MINO Alberto (ECU) / DIAZ Melanie (PUR),AHMED Moosa (MDV) / MOHAMED Mueena (MDV)
World Table Tennis Championships Suzhou 2015,2015-04-26,BURGIS Matiss/NI Xia Lian,OCONNOR Miikka/RIOS Daniely,4,1,"11,11,11,9,11|8,6,6,11,8",R128,WORLD_CHAMPIONSHIPS,XD,326,Main Draw,BURGIS Matiss (LAT) / NI Xia Lian (LUX),OCONNOR Miikka (FIN) / RIOS Daniely (PUR)
World Table Tennis Championships Suzhou 2015,2015-04-26,CALDERANO Hugo/KUMAHARA Luca,TOWNSEND Kane/DIAZ Adriana,4,0,"11,14,11,11|2,12,5,6",R64,WORLD_CHAMPIONSHIPS,XD,326,Main Draw,CALDERANO Hugo (BRA) / KUMAHARA Luca (BRA),TOWNSEND Kane (AUS) / DIAZ Adriana (PUR)
World Table Tennis Championships Suzhou 2015,2015-04-26,YOSHIMURA Maharu/ISHIKAWA Kasumi,MINO Alberto/DIAZ Melanie,4,0,"11,11,11,11|7,2,3,3",R64,WORLD_CHAMPIONSHIPS,XD,326,Main Draw,YOSHIMURA Maharu (JPN) / ISHIKAWA Kasumi (JPN),MINO Alberto (ECU) / DIAZ Melanie (PUR)
World Table Tennis Championships Suzhou 2015,2015-04-26,APOLONIA Tiago/MONTEIRO Joao,FILIMON Andrei/IONESCU Ovidiu,4,2,"12,11,11,8,11,11|10,4,13,11,8,2",R64,WORLD_CHAMPIONSHIPS,MD,326,Main Draw,APOLONIA Tiago (POR) / MONTEIRO Joao (POR),FILIMON Andrei (ROU) / IONESCU Ovidiu (ROU)
World Table Tennis Championships Suzhou 2015,2015-04-26,LI Jie/LI Qian,IACOB Camelia/SZOCS Bernadette,4,0,"11,11,11,11|5,9,7,5",R64,WORLD_CHAMPIONSHIPS,WD,326,Main Draw,LI Jie (NED) / LI Qian (POL),IACOB Camelia (ROU) / SZOCS Bernadette (ROU)
World Table Tennis Championships Suzhou 2015,2015-04-26,IONESCU Ovidiu/SZOCS Bernadette,CITAKU Linor/MALOKU Vlona,4,1,"11,11,12,9,11|6,3,10,11,4",R128,WORLD_CHAMPIONSHIPS,XD,326,Main Draw,IONESCU Ovidiu (ROU) / SZOCS Bernadette (ROU),CITAKU Linor (KOS) / MALOKU Vlona (KOS)
