tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
Danish Open Farum 2002,2002-11-21,HENZELL William,KRIVIC Jakov,4,3,"9,11,11,9,8,11,11|11,8,5,11,11,6,7",,GRAND_SLAM,MS,1508,Qualification,HENZELL William (AUS),KRIVIC Jakov (CRO),HENZELL William
Danish Open Farum 2002,2002-11-21,QUENTEL Dorian,SAKAMOTO Ryusuke,4,3,"11,9,7,11,11,5,11|6,11,11,1,6,11,2",3,GRAND_SLAM,MS,1508,Qualification,QUENTEL Dorian (FRA),SAKAMOTO Ryusuke (JPN),QUENTEL Dorian
Danish Open Farum 2002,2002-11-21,MA Lin,CABESTANY Cedrik,4,0,"11,11,11,11|9,4,6,6",R64,GRAND_SLAM,MS,1508,Main Draw,MA Lin (CHN),CABESTANY Cedrik (FRA),MA Lin
Danish Open Farum 2002,2002-11-21,BENTSEN Allan,CARNEROS Alfredo,4,1,"12,11,11,9,11|10,2,8,11,6",R64,GRAND_SLAM,MS,1508,Main Draw,BENTSEN Allan (DEN),CARNEROS Alfredo (ESP),BENTSEN Allan
Danish Open Farum 2002,2002-11-21,CRISAN Adrian,STEPANEK David,4,0,"11,11,11,11|2,8,6,5",R64,GRAND_SLAM,MS,1508,Main Draw,CRISAN Adrian (ROU),STEPANEK David (CZE),CRISAN Adrian
Danish Open Farum 2002,2002-11-21,BLASZCZYK Lucjan,SORENSEN Mads,4,2,"11,11,10,11,4,11|7,9,12,8,11,9",R64,GRAND_SLAM,MS,1508,Main Draw,BLASZCZYK Lucjan (POL),SORENSEN Mads (DEN),BLASZCZYK Lucjan
Danish Open Farum 2002,2002-11-21,CHILA Patrick,MOLDOVAN Istvan,4,3,"12,7,11,8,12,11,11|10,11,8,11,14,7,3",R64,GRAND_SLAM,MS,1508,Main Draw,CHILA Patrick (FRA),MOLDOVAN Istvan (NOR),CHILA Patrick
Danish Open Farum 2002,2002-11-21,TASAKI Toshio,TOSIC Roko,4,1,"11,11,10,11,11|4,9,12,8,7",R64,GRAND_SLAM,MS,1508,Main Draw,TASAKI Toshio (JPN),TOSIC Roko (CRO),TASAKI Toshio
Danish Open Farum 2002,2002-11-21,TANG Peng,DELOBBE Damien,4,1,"11,11,11,8,13|6,5,2,11,11",R64,GRAND_SLAM,MS,1508,Main Draw,TANG Peng (HKG),DELOBBE Damien (BEL),TANG Peng
Danish Open Farum 2002,2002-11-21,RYU Seungmin,LUCESOLI Francesco,4,0,"11,11,12,11|4,8,10,5",R64,GRAND_SLAM,MS,1508,Main Draw,RYU Seungmin (KOR),LUCESOLI Francesco (ITA),RYU Seungmin
Danish Open Farum 2002,2002-11-21,OH Sangeun,JOVER Sebastien,4,0,"11,11,11,11|7,8,5,6",R64,GRAND_SLAM,MS,1508,Main Draw,OH Sangeun (KOR),JOVER Sebastien (FRA),OH Sangeun
Danish Open Farum 2002,2002-11-21,TOKIC Bojan,KRZESZEWSKI Tomasz,4,1,"11,11,11,9,12|7,7,7,11,10",R64,GRAND_SLAM,MS,1508,Main Draw,TOKIC Bojan (SLO),KRZESZEWSKI Tomasz (POL),TOKIC Bojan
Danish Open Farum 2002,2002-11-21,MANSSON Magnus,DAUS David,4,3,"7,13,9,11,11,5,11|11,11,11,8,3,11,8",R64,GRAND_SLAM,MS,1508,Main Draw,MANSSON Magnus (SWE),DAUS David (GER),MANSSON Magnus
Danish Open Farum 2002,2002-11-21,KARLSSON Peter,GONZALES Raymond,4,0,"11,11,11,11|9,6,6,7",R64,GRAND_SLAM,MS,1508,Main Draw,KARLSSON Peter (SWE),GONZALES Raymond (NOR),KARLSSON Peter
Danish Open Farum 2002,2002-11-21,ELOI Damien,ARAI Shu,4,3,"11,11,7,6,11,4,11|9,7,11,11,4,11,6",R64,GRAND_SLAM,MS,1508,Main Draw,ELOI Damien (FRA),ARAI Shu (JPN),ELOI Damien
Danish Open Farum 2002,2002-11-21,GRUJIC Slobodan,TUGWELL Finn,4,2,"11,7,11,11,1,11|3,11,3,8,11,9",R64,GRAND_SLAM,MS,1508,Main Draw,GRUJIC Slobodan (SRB),TUGWELL Finn (DEN),GRUJIC Slobodan
Danish Open Farum 2002,2002-11-21,KARAKASEVIC Aleksandar,NILSSON Stefan,4,0,"11,11,13,11|6,9,11,3",R64,GRAND_SLAM,MS,1508,Main Draw,KARAKASEVIC Aleksandar (SRB),NILSSON Stefan (SWE),KARAKASEVIC Aleksandar
Danish Open Farum 2002,2002-11-21,SCHLAGER Werner,BRATANOV Martin,4,0,"11,11,11,11|6,5,6,8",R64,GRAND_SLAM,MS,1508,Main Draw,SCHLAGER Werner (AUT),BRATANOV Martin (BEL),SCHLAGER Werner
Danish Open Farum 2002,2002-11-21,BOLL Timo,VARIN Eric,4,3,"11,11,4,8,11,16,11|8,7,11,11,3,18,5",R64,GRAND_SLAM,MS,1508,Main Draw,BOLL Timo (GER),VARIN Eric (FRA),BOLL Timo
Danish Open Farum 2002,2002-11-21,QIN Zhijian,YUZAWA Ryo,4,2,"11,11,10,12,8,13|8,6,12,10,11,11",R64,GRAND_SLAM,MS,1508,Main Draw,QIN Zhijian (CHN),YUZAWA Ryo (JPN),QIN Zhijian
Danish Open Farum 2002,2002-11-21,SHMYREV Maxim,QUENTEL Dorian,4,2,"9,11,11,5,12,11|11,5,5,11,10,4",R64,GRAND_SLAM,MS,1508,Main Draw,SHMYREV Maxim (RUS),QUENTEL Dorian (FRA),SHMYREV Maxim
Danish Open Farum 2002,2002-11-21,LEE Chulseung,FADEEV Evgeny,4,2,"12,12,11,10,9,11|10,10,6,12,11,4",R64,GRAND_SLAM,MS,1508,Main Draw,LEE Chulseung (KOR),FADEEV Evgeny (RUS),LEE Chulseung
Danish Open Farum 2002,2002-11-21,WANG Jianfeng,HAKANSSON Fredrik,4,3,"5,11,10,11,11,5,11|11,9,12,8,7,11,6",R64,GRAND_SLAM,MS,1508,Main Draw,WANG Jianfeng (NOR),HAKANSSON Fredrik (SWE),WANG Jianfeng
Danish Open Farum 2002,2002-11-21,LEGOUT Christophe,STENBERG Mattias,4,1,"12,8,11,11,11|10,11,8,8,7",R64,GRAND_SLAM,MS,1508,Main Draw,LEGOUT Christophe (FRA),STENBERG Mattias (SWE),LEGOUT Christophe
Danish Open Farum 2002,2002-11-21,HIELSCHER Lars,PAVELKA Tomas,4,2,"10,11,9,11,11,11|12,8,11,7,7,7",R64,GRAND_SLAM,MS,1508,Main Draw,HIELSCHER Lars (GER),PAVELKA Tomas (CZE),HIELSCHER Lars
Danish Open Farum 2002,2002-11-21,KONG Linghui,MAZUNOV Dmitry,4,3,"11,11,9,16,8,7,11|8,1,11,14,11,11,6",R64,GRAND_SLAM,MS,1508,Main Draw,KONG Linghui (CHN),MAZUNOV Dmitry (RUS),KONG Linghui
Danish Open Farum 2002,2002-11-21,HEISTER Danny,MONRAD Martin,4,0,"11,11,11,11|7,5,6,4",R64,GRAND_SLAM,MS,1508,Main Draw,HEISTER Danny (NED),MONRAD Martin (DEN),HEISTER Danny
Danish Open Farum 2002,2002-11-21,WOSIK Torben,ROSVALL Henrik,4,3,"11,5,13,11,10,13,11|4,11,15,6,12,11,7",R64,GRAND_SLAM,MS,1508,Main Draw,WOSIK Torben (GER),ROSVALL Henrik (SWE),WOSIK Torben
Danish Open Farum 2002,2002-11-21,WANG Jianjun,LAKEEV Vasily,4,3,"12,11,11,7,9,11,11|14,7,6,11,11,6,9",R64,GRAND_SLAM,MS,1508,Main Draw,WANG Jianjun (CHN),LAKEEV Vasily (RUS),WANG Jianjun
