tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
ITTF World Tour Bulgarian Open Panagyurishte 2019,2019-08-13,ARUNA Quadri,MA Te,4,3,"11,8,11,7,11,7,11|8,11,7,11,7,11,7",R32,GRAND_SLAM,MS,2024,Main Draw,ARUNA Quadri (NGR),MA Te (CHN)
ITTF World Tour Bulgarian Open Panagyurishte 2019,2019-08-13,WONG Chun Ting,MONTEIRO Thiago,4,2,"8,11,11,10,11,11|11,8,4,12,5,9",R32,GRAND_SLAM,MS,2024,Main Draw,MONTEIRO Thiago (BRA),WONG Chun Ting (HKG)
ITTF World Tour Bulgarian Open Panagyurishte 2019,2019-08-13,MACHI Asuka,HABESOHN Daniel,4,1,"11,10,11,11,12|4,12,9,6,10",R32,GRAND_SLAM,MS,2024,Main Draw,MACHI Asuka (JPN),HABESOHN Daniel (AUT)
ITTF World Tour Bulgarian Open Panagyurishte 2019,2019-08-13,MIZUTANI Jun,YOSHIMURA Kazuhiro,4,0,"12,11,11,12|10,4,9,10",R32,GRAND_SLAM,MS,2024,Main Draw,MIZUTANI Jun (JPN),YOSHIMURA Kazuhiro (JPN)
ITTF World Tour Bulgarian Open Panagyurishte 2019,2019-08-13,OVTCHAROV Dimitrij,MORIZONO Masataka,4,0,"11,11,11,11|5,6,3,9",R32,GRAND_SLAM,MS,2024,Main Draw,MORIZONO Masataka (JPN),OVTCHAROV Dimitrij (GER)
ITTF World Tour Bulgarian Open Panagyurishte 2019,2019-08-13,ZHAO Zihao,GAUZY Simon,4,2,"11,9,11,11,4,11|9,11,6,4,11,4",R32,GRAND_SLAM,MS,2024,Main Draw,ZHAO Zihao (CHN),GAUZY Simon (FRA)
ITTF World Tour Bulgarian Open Panagyurishte 2019,2019-08-13,JORGIC Darko,LEE Sang Su,4,3,"11,11,11,11,10,9,11|6,13,7,5,12,11,6",R32,GRAND_SLAM,MS,2024,Main Draw,LEE Sang Su (KOR),JORGIC Darko (SLO)
ITTF World Tour Bulgarian Open Panagyurishte 2019,2019-08-13,FILUS Ruwen,ALEXANDROV Teodor,4,0,"11,11,11,11|4,5,8,9",R32,GRAND_SLAM,MS,2024,Main Draw,ALEXANDROV Teodor (BUL),FILUS Ruwen (GER)
ITTF World Tour Bulgarian Open Panagyurishte 2019,2019-08-13,MIZUTANI Jun,FEGERL Stefan,3,2,"11,10,11,7,11|6,12,8,11,3",QuarterFinal,GRAND_SLAM,XD,2024,Main Draw,MIZUTANI Jun (JPN),FEGERL Stefan (AUT)
ITTF World Tour Bulgarian Open Panagyurishte 2019,2019-08-13,IONESCU Ovidiu,CHO Daeseong,3,0,"11,11,12|9,6,10",QuarterFinal,GRAND_SLAM,XD,2024,Main Draw,IONESCU Ovidiu (ROU),CHO Daeseong (KOR)
ITTF World Tour Bulgarian Open Panagyurishte 2019,2019-08-13,MA Te,FLORE Tristan,3,1,"11,11,8,11|6,6,11,6",QuarterFinal,GRAND_SLAM,XD,2024,Main Draw,MA Te (CHN),FLORE Tristan (FRA)
ITTF World Tour Bulgarian Open Panagyurishte 2019,2019-08-13,HARIMOTO Tomokazu,TROMER Laurens,3,0,"14,11,11|12,8,8",QuarterFinal,GRAND_SLAM,XD,2024,Main Draw,HARIMOTO Tomokazu (JPN),TROMER Laurens (NED)
ITTF World Tour Bulgarian Open Panagyurishte 2019,2019-08-13,GU Yuting,JEON Jihee,3,2,"7,11,11,16,11|11,7,13,14,8",QuarterFinal,GRAND_SLAM,WD,2024,Main Draw,JEON Jihee (KOR),GU Yuting (CHN)
ITTF World Tour Bulgarian Open Panagyurishte 2019,2019-08-13,POLCANOVA Sofia,DVORAK Galia,3,0,"11,11,11|7,4,4",QuarterFinal,GRAND_SLAM,WD,2024,Main Draw,POLCANOVA Sofia (AUT),DVORAK Galia (ESP)
ITTF World Tour Bulgarian Open Panagyurishte 2019,2019-08-13,CHEN Xingtong,DODEAN Daniela,3,0,"11,12,11|6,10,8",QuarterFinal,GRAND_SLAM,WD,2024,Main Draw,DODEAN Daniela (ROU),CHEN Xingtong (CHN)
ITTF World Tour Bulgarian Open Panagyurishte 2019,2019-08-13,HIRANO Miu,KIHARA Miyuu,3,1,"11,16,4,11|3,14,11,9",QuarterFinal,GRAND_SLAM,WD,2024,Main Draw,HIRANO Miu (JPN),KIHARA Miyuu (JPN)
ITTF World Tour Bulgarian Open Panagyurishte 2019,2019-08-13,XIA Yizheng,CHEN Chien-An,3,2,"7,11,13,10,11|11,9,11,12,5",QuarterFinal,GRAND_SLAM,MD,2024,Main Draw,CHEN Chien-An (TPE),XIA Yizheng (CHN)
ITTF World Tour Bulgarian Open Panagyurishte 2019,2019-08-13,JEOUNG Youngsik,ALEXANDROV Teodor,3,0,"11,11,11|5,7,1",QuarterFinal,GRAND_SLAM,MD,2024,Main Draw,ALEXANDROV Teodor (BUL),JEOUNG Youngsik (KOR)
ITTF World Tour Bulgarian Open Panagyurishte 2019,2019-08-13,UDA Yukiya,ALLEGRO Martin,3,0,"11,11,13|8,7,11",QuarterFinal,GRAND_SLAM,MD,2024,Main Draw,UDA Yukiya (JPN),ALLEGRO Martin (BEL)
ITTF World Tour Bulgarian Open Panagyurishte 2019,2019-08-13,ALAMIAN Nima,ECSEKI Nandor,3,0,"0,0,0|0,0,0",QuarterFinal,GRAND_SLAM,MD,2024,Main Draw,ALAMIAN Nima (IRI),ECSEKI Nandor (HUN)
ITTF World Tour Bulgarian Open Panagyurishte 2019,2019-08-13,ITO Mima,FAN Siqi,4,0,"11,11,11,11|6,7,9,5",R16,GRAND_SLAM,WS,2024,Main Draw,FAN Siqi (CHN),ITO Mima (JPN)
ITTF World Tour Bulgarian Open Panagyurishte 2019,2019-08-13,YU Mengyu,KATO Miyu,4,2,"11,11,7,11,8,11|7,9,11,9,11,7",R16,GRAND_SLAM,WS,2024,Main Draw,YU Mengyu (SGP),KATO Miyu (JPN)
ITTF World Tour Bulgarian Open Panagyurishte 2019,2019-08-13,WU Yang,SUH Hyo Won,4,1,"11,11,11,3,11|9,3,2,11,5",R16,GRAND_SLAM,WS,2024,Main Draw,WU Yang (CHN),SUH Hyo Won (KOR)
