tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
27th ITTF-Asian Table Tennis Championships 2024,2024-10-07,LOY Ming Ying,LI YING Im,3,0,"11,11,11|5,8,8",GROUP,OTHER,WT,2994,Main Draw,LOY Ming Ying (SGP),LI YING Im (MAS),LOY Ming Ying
27th ITTF-Asian Table Tennis Championships 2024,2024-10-07,ZENG Jian,LYNE Karen,3,1,"8,11,11,11|11,6,9,1",GROUP,OTHER,WT,2994,Main Draw,ZENG Jian (SGP),LYNE Karen (MAS),ZENG Jian
27th ITTF-Asian Table Tennis Championships 2024,2024-10-07,AKASHEVA Zauresh,MUNKHBAT Undram,3,2,"11,6,11,10,11|7,11,6,12,7",GROUP,OTHER,WT,2994,Main Draw,AKASHEVA Zauresh (KAZ),MUNKHBAT Undram (MGL),AKASHEVA Zauresh
27th ITTF-Asian Table Tennis Championships 2024,2024-10-07,BATMUNKH Bolor-Erdene,MIRKADIROVA Sarvinoz,3,2,"6,9,11,12,11|11,11,7,10,7",GROUP,OTHER,WT,2994,Main Draw,BATMUNKH Bolor-Erdene (MGL),MIRKADIROVA Sarvinoz (KAZ),BATMUNKH Bolor-Erdene
27th ITTF-Asian Table Tennis Championships 2024,2024-10-07,LAVROVA Anastassiya,UVGUNBURGED Baljinnyam,3,1,"11,5,11,11|4,11,6,8",GROUP,OTHER,WT,2994,Main Draw,LAVROVA Anastassiya (KAZ),UVGUNBURGED Baljinnyam (MGL),LAVROVA Anastassiya
27th ITTF-Asian Table Tennis Championships 2024,2024-10-07,AKASHEVA Zauresh,BATMUNKH Bolor-Erdene,3,0,"11,11,11|6,4,7",GROUP,OTHER,WT,2994,Main Draw,AKASHEVA Zauresh (KAZ),BATMUNKH Bolor-Erdene (MGL),AKASHEVA Zauresh
27th ITTF-Asian Table Tennis Championships 2024,2024-10-07,SAFAEI Shima,HALAWATHAGE Shamalsha,3,0,"13,11,11|11,7,5",GROUP,OTHER,WT,2994,Main Draw,SAFAEI Shima (IRI),HALAWATHAGE Shamalsha (SRI),SAFAEI Shima
27th ITTF-Asian Table Tennis Championships 2024,2024-10-07,HAJILOU Parinaz,KULAPPUWAWADU Lesanya,3,0,"11,14,11|6,12,4",GROUP,OTHER,WT,2994,Main Draw,HAJILOU Parinaz (IRI),KULAPPUWAWADU Lesanya (SRI),HAJILOU Parinaz
27th ITTF-Asian Table Tennis Championships 2024,2024-10-07,YARISERAJI Fatemeh,GUSTHIGHGHA WADU Maneesha Shalindi,3,0,"11,11,13|4,4,11",GROUP,OTHER,WT,2994,Main Draw,YARISERAJI Fatemeh (IRI),GUSTHIGHGHA WADU Maneesha Shalindi (SRI),YARISERAJI Fatemeh
27th ITTF-Asian Table Tennis Championships 2024,2024-10-07,GERASSIMENKO Kirill,SHAH Syed,3,0,"11,11,11|6,4,4",GROUP,OTHER,MT,2994,Main Draw,GERASSIMENKO Kirill (KAZ),SHAH Syed (PAK),GERASSIMENKO Kirill
27th ITTF-Asian Table Tennis Championships 2024,2024-10-07,KURMANGALIYEV Alan,KHAN Muhammad,3,0,"11,11,11|1,4,6",GROUP,OTHER,MT,2994,Main Draw,KURMANGALIYEV Alan (KAZ),KHAN Muhammad (PAK),KURMANGALIYEV Alan
27th ITTF-Asian Table Tennis Championships 2024,2024-10-07,ZHUBANOV Sanzhar,KHAN Taimur,3,0,"11,11,11|5,8,3",GROUP,OTHER,MT,2994,Main Draw,ZHUBANOV Sanzhar (KAZ),KHAN Taimur (PAK),ZHUBANOV Sanzhar
27th ITTF-Asian Table Tennis Championships 2024,2024-10-07,LI Yu-Jhun,KHASANOVA Adelina,3,0,"11,11,11|4,3,4",GROUP,OTHER,WT,2994,Main Draw,LI Yu-Jhun (TPE),KHASANOVA Adelina (UZB),LI Yu-Jhun
27th ITTF-Asian Table Tennis Championships 2024,2024-10-07,WANG Yi-Ju,MAGDIEVA Markhabo,3,1,"11,11,8,11|8,4,11,9",GROUP,OTHER,WT,2994,Main Draw,WANG Yi-Ju (TPE),MAGDIEVA Markhabo (UZB),WANG Yi-Ju
27th ITTF-Asian Table Tennis Championships 2024,2024-10-07,HUANG Yi-Hua,TOJIOKHUNOVA Nasibakhon,3,0,"11,11,11|2,3,3",GROUP,OTHER,WT,2994,Main Draw,HUANG Yi-Hua (TPE),TOJIOKHUNOVA Nasibakhon (UZB),HUANG Yi-Hua
27th ITTF-Asian Table Tennis Championships 2024,2024-10-07,KUDUSOVA Saida,ALI Fathimath,3,2,"9,11,11,10,12|11,9,8,12,10",GROUP,OTHER,WT,2994,Main Draw,KUDUSOVA Saida (KGZ),ALI Fathimath (MDV),KUDUSOVA Saida
27th ITTF-Asian Table Tennis Championships 2024,2024-10-07,NAZIM Aishath,ABDIMITALIPOVA Ramida,3,2,"11,7,11,13,11|13,11,5,11,8",GROUP,OTHER,WT,2994,Main Draw,NAZIM Aishath (MDV),ABDIMITALIPOVA Ramida (KGZ),NAZIM Aishath
27th ITTF-Asian Table Tennis Championships 2024,2024-10-07,MISHKA Mohamed Ibrahim,MURATALIEVA Raiana,3,0,"11,11,12|4,6,10",GROUP,OTHER,WT,2994,Main Draw,MISHKA Mohamed Ibrahim (MDV),MURATALIEVA Raiana (KGZ),MISHKA Mohamed Ibrahim
27th ITTF-Asian Table Tennis Championships 2024,2024-10-07,ALI Fathimath,ABDIMITALIPOVA Ramida,3,0,"11,11,11|8,5,7",GROUP,OTHER,WT,2994,Main Draw,ALI Fathimath (MDV),ABDIMITALIPOVA Ramida (KGZ),ALI Fathimath
27th ITTF-Asian Table Tennis Championships 2024,2024-10-07,CHAN Baldwin,ALIMKULOV Marlen,3,0,"11,11,11|1,3,1",GROUP,OTHER,MT,2994,Main Draw,CHAN Baldwin (HKG),ALIMKULOV Marlen (KGZ),CHAN Baldwin
27th ITTF-Asian Table Tennis Championships 2024,2024-10-07,YIU Kwan To,KASYMOV Atai,3,0,"11,11,11|5,5,8",GROUP,OTHER,MT,2994,Main Draw,YIU Kwan To (HKG),KASYMOV Atai (KGZ),YIU Kwan To
27th ITTF-Asian Table Tennis Championships 2024,2024-10-07,LAM Siu Hang,ZARYLBEK Nursultan,3,0,"11,11,11|3,8,2",GROUP,OTHER,MT,2994,Main Draw,LAM Siu Hang (HKG),ZARYLBEK Nursultan (KGZ),LAM Siu Hang
27th ITTF-Asian Table Tennis Championships 2024,2024-10-07,SANGUANSIN Phakpoom,TESHABOEV Kutbidillo,3,0,"11,11,11|7,8,7",GROUP,OTHER,MT,2994,Main Draw,SANGUANSIN Phakpoom (THA),TESHABOEV Kutbidillo (UZB),SANGUANSIN Phakpoom
27th ITTF-Asian Table Tennis Championships 2024,2024-10-07,THANMATHIKOM Napat,ISKANDAROV Shokhrukh,3,0,"11,11,14|2,9,12",GROUP,OTHER,MT,2994,Main Draw,THANMATHIKOM Napat (THA),ISKANDAROV Shokhrukh (UZB),THANMATHIKOM Napat
27th ITTF-Asian Table Tennis Championships 2024,2024-10-07,SAELEE Puripong,GULOMOV Sarvarbek,3,0,"11,11,11|8,9,5",GROUP,OTHER,MT,2994,Main Draw,SAELEE Puripong (THA),GULOMOV Sarvarbek (UZB),SAELEE Puripong
27th ITTF-Asian Table Tennis Championships 2024,2024-10-07,WONG Qi Shen,MUNKH-OCHIR Manlaijargal,3,0,"11,11,11|7,9,5",GROUP,OTHER,MT,2994,Main Draw,WONG Qi Shen (MAS),MUNKH-OCHIR Manlaijargal (MGL),WONG Qi Shen
27th ITTF-Asian Table Tennis Championships 2024,2024-10-07,CHOONG Javen,GANKHUYAG Ser-Od,3,0,"11,11,11|3,7,7",GROUP,OTHER,MT,2994,Main Draw,CHOONG Javen (MAS),GANKHUYAG Ser-Od (MGL),CHOONG Javen
27th ITTF-Asian Table Tennis Championships 2024,2024-10-07,MYANDAL Temuulen,NG Wann Sing,3,2,"19,11,7,9,11|17,3,11,11,8",GROUP,OTHER,MT,2994,Main Draw,MYANDAL Temuulen (MGL),NG Wann Sing (MAS),MYANDAL Temuulen
27th ITTF-Asian Table Tennis Championships 2024,2024-10-07,WONG Qi Shen,GANKHUYAG Ser-Od,3,1,"11,10,11,11|8,12,7,4",GROUP,OTHER,MT,2994,Main Draw,WONG Qi Shen (MAS),GANKHUYAG Ser-Od (MGL),WONG Qi Shen
27th ITTF-Asian Table Tennis Championships 2024,2024-10-07,ALKHADRAWI Ali,KULAPPUWA Imantha,3,0,"11,11,11|3,7,4",GROUP,OTHER,MT,2994,Main Draw,ALKHADRAWI Ali (KSA),KULAPPUWA Imantha (SRI),ALKHADRAWI Ali
