tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
ITTF European Championships Budapest 2016,2016-10-18,OVTCHAROV Dimitrij,DURAN Marc,4,0,"11,11,11,13|6,9,3,11",R64,OTHER,MS,376,Main Draw,OVTCHAROV Dimitrij (GER),DURAN Marc (ESP),OVTCHAROV Dimitrij
ITTF European Championships Budapest 2016,2016-10-18,KARLSSON Kristian,MACHADO Carlos,4,1,"11,8,11,11,11|9,11,9,8,5",R64,OTHER,MS,376,Main Draw,KARLSSON Kristian (SWE),MACHADO Carlos (ESP),KARLSSON Kristian
ITTF European Championships Budapest 2016,2016-10-18,KHANIN Aleksandr,KONECNY Tomas,4,3,"9,17,11,5,11,11,11|11,19,8,11,9,7,5",R64,OTHER,MS,376,Main Draw,KHANIN Aleksandr (BLR),KONECNY Tomas (CZE),KHANIN Aleksandr
ITTF European Championships Budapest 2016,2016-10-18,DUDA Benedikt,VLASOV Grigory,4,1,"11,11,11,7,11|5,4,3,11,8",R64,OTHER,MS,376,Main Draw,VLASOV Grigory (RUS),DUDA Benedikt (GER),DUDA Benedikt
ITTF European Championships Budapest 2016,2016-10-18,FREITAS Marcos,SZUDI Adam,4,0,"11,11,11,11|5,8,4,8",R64,OTHER,MS,376,Main Draw,SZUDI Adam (HUN),FREITAS Marcos (POR),FREITAS Marcos
ITTF European Championships Budapest 2016,2016-10-18,BOLL Timo,HABESOHN Daniel,4,0,"11,11,11,11|4,9,4,4",R64,OTHER,MS,376,Main Draw,BOLL Timo (GER),HABESOHN Daniel (AUT),BOLL Timo
ITTF European Championships Budapest 2016,2016-10-18,GERELL Par,YEFIMOV Viktor,4,1,"8,12,11,11,11|11,10,7,2,9",R64,OTHER,MS,376,Main Draw,YEFIMOV Viktor (UKR),GERELL Par (SWE),GERELL Par
ITTF European Championships Budapest 2016,2016-10-18,PROKOPCOV Dmitrij,WANG Yang,4,0,"12,11,11,11|10,5,8,9",R64,OTHER,MS,376,Main Draw,WANG Yang (SVK),PROKOPCOV Dmitrij (CZE),PROKOPCOV Dmitrij
ITTF European Championships Budapest 2016,2016-10-18,GROTH Jonathan,PUCAR Tomislav,4,3,"10,11,11,6,11,8,12|12,8,6,11,9,11,10",R64,OTHER,MS,376,Main Draw,PUCAR Tomislav (CRO),GROTH Jonathan (DEN),GROTH Jonathan
ITTF European Championships Budapest 2016,2016-10-18,TOKIC Bojan,PAPAGEORGIOU Konstantinos,4,1,"11,5,13,11,11|5,11,11,7,7",R64,OTHER,MS,376,Main Draw,TOKIC Bojan (SLO),PAPAGEORGIOU Konstantinos (GRE),TOKIC Bojan
ITTF European Championships Budapest 2016,2016-10-18,OLAH Benedek,SERDAROGLU David,4,0,"11,11,11,11|7,9,6,5",R64,OTHER,MS,376,Main Draw,SERDAROGLU David (AUT),OLAH Benedek (FIN),OLAH Benedek
ITTF European Championships Budapest 2016,2016-10-18,GORAK Daniel,NUYTINCK Cedric,4,2,"9,11,11,11,8,11|11,8,9,7,11,7",R64,OTHER,MS,376,Main Draw,GORAK Daniel (POL),NUYTINCK Cedric (BEL),GORAK Daniel
ITTF European Championships Budapest 2016,2016-10-18,SZOCS Hunor,APOLONIA Tiago,4,2,"6,11,11,11,9,11|11,5,5,2,11,9",R64,OTHER,MS,376,Main Draw,SZOCS Hunor (ROU),APOLONIA Tiago (POR),SZOCS Hunor
ITTF European Championships Budapest 2016,2016-10-18,GAUZY Simon,CANTERO Jesus,4,1,"12,11,9,12,11|10,5,11,10,8",R64,OTHER,MS,376,Main Draw,GAUZY Simon (FRA),CANTERO Jesus (ESP),GAUZY Simon
ITTF European Championships Budapest 2016,2016-10-18,GERALDO Joao,JANCARIK Lubomir,4,3,"11,11,8,12,5,9,11|9,8,11,10,11,11,7",R64,OTHER,MS,376,Main Draw,JANCARIK Lubomir (CZE),GERALDO Joao (POR),GERALDO Joao
ITTF European Championships Budapest 2016,2016-10-18,IONESCU Ovidiu,KARAKASEVIC Aleksandar,4,2,"11,2,5,11,13,14|5,11,11,8,11,12",R64,OTHER,MS,376,Main Draw,IONESCU Ovidiu (ROU),KARAKASEVIC Aleksandar (SRB),IONESCU Ovidiu
ITTF European Championships Budapest 2016,2016-10-18,SHIBAEV Alexander,PLATONOV Pavel,4,2,"11,11,9,11,6,11|6,5,11,7,11,8",R64,OTHER,MS,376,Main Draw,PLATONOV Pavel (BLR),SHIBAEV Alexander (RUS),SHIBAEV Alexander
ITTF European Championships Budapest 2016,2016-10-18,DRINKHALL Paul,SGOUROPOULOS Ioannis,4,1,"11,11,12,11,11|7,7,14,1,5",R64,OTHER,MS,376,Main Draw,DRINKHALL Paul (ENG),SGOUROPOULOS Ioannis (GRE),DRINKHALL Paul
ITTF European Championships Budapest 2016,2016-10-18,GARDOS Robert,MENGEL Steffen,4,2,"11,7,10,11,13,11|5,11,12,6,11,5",R64,OTHER,MS,376,Main Draw,MENGEL Steffen (GER),GARDOS Robert (AUT),GARDOS Robert
ITTF European Championships Budapest 2016,2016-10-18,KARLSSON Mattias,PATTANTYUS Adam,4,2,"11,11,7,11,1,11|6,6,11,7,11,1",R64,OTHER,MS,376,Main Draw,KARLSSON Mattias (SWE),PATTANTYUS Adam (HUN),KARLSSON Mattias
ITTF European Championships Budapest 2016,2016-10-18,SAMSONOV Vladimir,SCHMID Elia,4,1,"10,11,11,11,11|12,7,5,5,9",R64,OTHER,MS,376,Main Draw,SCHMID Elia (SUI),SAMSONOV Vladimir (BLR),SAMSONOV Vladimir
ITTF European Championships Budapest 2016,2016-10-18,DYJAS Jakub,OVTCHAROV Dimitrij,4,2,"11,11,4,11,11,11|13,9,11,5,8,9",R32,OTHER,MS,376,Main Draw,OVTCHAROV Dimitrij (GER),DYJAS Jakub (POL),DYJAS Jakub
ITTF European Championships Budapest 2016,2016-10-18,MONTEIRO Joao,GIONIS Panagiotis,4,0,"11,11,12,11|7,8,10,9",R32,OTHER,MS,376,Main Draw,MONTEIRO Joao (POR),GIONIS Panagiotis (GRE),MONTEIRO Joao
ITTF European Championships Budapest 2016,2016-10-18,KOU Lei,LI Ahmet,4,0,"11,11,11,11|6,6,4,0",R32,OTHER,MS,376,Main Draw,KOU Lei (UKR),LI Ahmet (TUR),KOU Lei
ITTF European Championships Budapest 2016,2016-10-18,KALLBERG Anton,GACINA Andrej,4,3,"5,12,4,11,11,8,11|11,10,11,7,4,11,9",R32,OTHER,MS,376,Main Draw,KALLBERG Anton (SWE),GACINA Andrej (CRO),KALLBERG Anton
ITTF European Championships Budapest 2016,2016-10-18,FEGERL Stefan,PITCHFORD Liam,4,3,"11,12,11,9,4,10,11|9,10,9,11,11,12,4",R32,OTHER,MS,376,Main Draw,FEGERL Stefan (AUT),PITCHFORD Liam (ENG),FEGERL Stefan
ITTF European Championships Budapest 2016,2016-10-18,LEBESSON Emmanuel,FRANZISKA Patrick,4,1,"11,11,11,8,12|8,4,4,11,10",R32,OTHER,MS,376,Main Draw,FRANZISKA Patrick (GER),LEBESSON Emmanuel (FRA),LEBESSON Emmanuel
ITTF European Championships Budapest 2016,2016-10-18,KARLSSON Kristian,KHANIN Aleksandr,4,1,"12,4,11,11,11|10,11,8,8,5",R32,OTHER,MS,376,Main Draw,KARLSSON Kristian (SWE),KHANIN Aleksandr (BLR),KARLSSON Kristian
ITTF European Championships Budapest 2016,2016-10-18,FREITAS Marcos,DUDA Benedikt,4,3,"6,11,11,10,12,9,11|11,5,9,12,10,11,6",R32,OTHER,MS,376,Main Draw,DUDA Benedikt (GER),FREITAS Marcos (POR),FREITAS Marcos
ITTF European Championships Budapest 2016,2016-10-18,BOLL Timo,GERELL Par,4,0,"11,11,11,11|8,4,9,7",R32,OTHER,MS,376,Main Draw,BOLL Timo (GER),GERELL Par (SWE),BOLL Timo
ITTF European Championships Budapest 2016,2016-10-18,GROTH Jonathan,PROKOPCOV Dmitrij,4,2,"11,11,11,8,9,11|7,9,3,11,11,7",R32,OTHER,MS,376,Main Draw,PROKOPCOV Dmitrij (CZE),GROTH Jonathan (DEN),GROTH Jonathan
ITTF European Championships Budapest 2016,2016-10-18,OLAH Benedek,TOKIC Bojan,4,2,"13,11,6,9,11,12|11,9,11,11,7,10",R32,OTHER,MS,376,Main Draw,TOKIC Bojan (SLO),OLAH Benedek (FIN),OLAH Benedek
ITTF European Championships Budapest 2016,2016-10-18,GORAK Daniel,SZOCS Hunor,4,2,"11,12,12,12,7,17|6,10,14,10,11,15",R32,OTHER,MS,376,Main Draw,GORAK Daniel (POL),SZOCS Hunor (ROU),GORAK Daniel
ITTF European Championships Budapest 2016,2016-10-18,GAUZY Simon,GERALDO Joao,4,1,"14,11,9,11,11|12,9,11,3,6",R32,OTHER,MS,376,Main Draw,GAUZY Simon (FRA),GERALDO Joao (POR),GAUZY Simon
ITTF European Championships Budapest 2016,2016-10-18,SHIBAEV Alexander,IONESCU Ovidiu,4,3,"11,6,11,5,10,11,11|7,11,7,11,12,6,7",R32,OTHER,MS,376,Main Draw,IONESCU Ovidiu (ROU),SHIBAEV Alexander (RUS),SHIBAEV Alexander
ITTF European Championships Budapest 2016,2016-10-18,GARDOS Robert,DRINKHALL Paul,4,3,"12,11,11,9,8,9,11|10,3,9,11,11,11,8",R32,OTHER,MS,376,Main Draw,DRINKHALL Paul (ENG),GARDOS Robert (AUT),GARDOS Robert
ITTF European Championships Budapest 2016,2016-10-18,SAMSONOV Vladimir,KARLSSON Mattias,4,2,"11,6,11,11,8,11|8,11,4,9,11,9",R32,OTHER,MS,376,Main Draw,KARLSSON Mattias (SWE),SAMSONOV Vladimir (BLR),SAMSONOV Vladimir
ITTF European Championships Budapest 2016,2016-10-18,DYJAS Jakub,MONTEIRO Joao,4,1,"11,11,11,9,11|8,7,5,11,5",R16,OTHER,MS,376,Main Draw,DYJAS Jakub (POL),MONTEIRO Joao (POR),DYJAS Jakub
ITTF European Championships Budapest 2016,2016-10-18,KOU Lei,KALLBERG Anton,4,2,"10,11,11,11,5,11|12,8,6,9,11,9",R16,OTHER,MS,376,Main Draw,KOU Lei (UKR),KALLBERG Anton (SWE),KOU Lei
ITTF European Championships Budapest 2016,2016-10-18,LEBESSON Emmanuel,FEGERL Stefan,4,2,"11,8,12,12,10,11|6,11,10,10,12,9",R16,OTHER,MS,376,Main Draw,FEGERL Stefan (AUT),LEBESSON Emmanuel (FRA),LEBESSON Emmanuel
ITTF European Championships Budapest 2016,2016-10-18,FREITAS Marcos,KARLSSON Kristian,4,1,"6,11,11,11,11|11,6,4,3,7",R16,OTHER,MS,376,Main Draw,KARLSSON Kristian (SWE),FREITAS Marcos (POR),FREITAS Marcos
ITTF European Championships Budapest 2016,2016-10-18,BOLL Timo,GROTH Jonathan,4,3,"7,13,1,11,8,11,11|11,11,11,4,11,8,1",R16,OTHER,MS,376,Main Draw,BOLL Timo (GER),GROTH Jonathan (DEN),BOLL Timo
ITTF European Championships Budapest 2016,2016-10-18,OLAH Benedek,GORAK Daniel,4,2,"3,11,11,11,8,11|11,5,6,9,11,6",R16,OTHER,MS,376,Main Draw,OLAH Benedek (FIN),GORAK Daniel (POL),OLAH Benedek
ITTF European Championships Budapest 2016,2016-10-18,GAUZY Simon,SHIBAEV Alexander,4,2,"7,11,11,9,11,12|11,6,6,11,8,10",R16,OTHER,MS,376,Main Draw,GAUZY Simon (FRA),SHIBAEV Alexander (RUS),GAUZY Simon
ITTF European Championships Budapest 2016,2016-10-18,GARDOS Robert,SAMSONOV Vladimir,4,3,"12,11,4,6,11,7,11|10,8,11,11,5,11,7",R16,OTHER,MS,376,Main Draw,GARDOS Robert (AUT),SAMSONOV Vladimir (BLR),GARDOS Robert
ITTF European Championships Budapest 2016,2016-10-18,DYJAS Jakub,KOU Lei,4,1,"6,11,11,11,11|11,4,9,6,7",QF,OTHER,MS,376,Main Draw,DYJAS Jakub (POL),KOU Lei (UKR),DYJAS Jakub
ITTF European Championships Budapest 2016,2016-10-18,LEBESSON Emmanuel,FREITAS Marcos,4,2,"8,11,11,11,11,11|11,9,13,6,7,9",QF,OTHER,MS,376,Main Draw,LEBESSON Emmanuel (FRA),FREITAS Marcos (POR),LEBESSON Emmanuel
ITTF European Championships Budapest 2016,2016-10-18,BOLL Timo,OLAH Benedek,4,2,"6,8,11,11,11,11|11,11,8,3,5,8",QF,OTHER,MS,376,Main Draw,BOLL Timo (GER),OLAH Benedek (FIN),BOLL Timo
ITTF European Championships Budapest 2016,2016-10-18,GAUZY Simon,GARDOS Robert,4,2,"5,11,11,6,11,11|11,8,8,11,8,5",QF,OTHER,MS,376,Main Draw,GAUZY Simon (FRA),GARDOS Robert (AUT),GAUZY Simon
ITTF European Championships Budapest 2016,2016-10-18,LEBESSON Emmanuel,DYJAS Jakub,4,1,"11,11,5,11,11|8,5,11,6,6",SF,OTHER,MS,376,Main Draw,DYJAS Jakub (POL),LEBESSON Emmanuel (FRA),LEBESSON Emmanuel
ITTF European Championships Budapest 2016,2016-10-18,GAUZY Simon,BOLL Timo,4,1,"9,11,11,11,11|11,8,6,0,0",SF,OTHER,MS,376,Main Draw,BOLL Timo (GER),GAUZY Simon (FRA),GAUZY Simon
ITTF European Championships Budapest 2016,2016-10-18,LEBESSON Emmanuel,GAUZY Simon,4,1,"14,9,11,11,11|12,11,7,3,6",F,OTHER,MS,376,Main Draw,LEBESSON Emmanuel (FRA),GAUZY Simon (FRA),LEBESSON Emmanuel
ITTF European Championships Budapest 2016,2016-10-18,HAN Ying,ZHANG Sofia-Xuan,4,0,"11,11,11,11|6,5,5,2",R64,OTHER,WS,376,Main Draw,HAN Ying (GER),ZHANG Sofia-Xuan (ESP),HAN Ying
ITTF European Championships Budapest 2016,2016-10-18,SHAO Jieni,GALIC Alex,4,3,"11,11,8,6,11,11,11|13,6,11,11,7,9,6",R64,OTHER,WS,376,Main Draw,GALIC Alex (SLO),SHAO Jieni (POR),SHAO Jieni
ITTF European Championships Budapest 2016,2016-10-18,LOVAS Petra,HAPONOVA Hanna,4,0,"11,11,11,11|7,7,4,1",R64,OTHER,WS,376,Main Draw,LOVAS Petra (HUN),HAPONOVA Hanna (UKR),LOVAS Petra
ITTF European Championships Budapest 2016,2016-10-18,DODEAN Daniela,BERGSTROM Linda,4,0,"11,11,11,11|5,2,5,7",R64,OTHER,WS,376,Main Draw,BERGSTROM Linda (SWE),DODEAN Daniela (ROU),DODEAN Daniela
ITTF European Championships Budapest 2016,2016-10-18,MIKHAILOVA Polina,NAGYVARADI Mercedes,4,0,"11,11,15,11|5,5,13,5",R64,OTHER,WS,376,Main Draw,MIKHAILOVA Polina (RUS),NAGYVARADI Mercedes (HUN),MIKHAILOVA Polina
ITTF European Championships Budapest 2016,2016-10-18,POLCANOVA Sofia,DE NUTTE Sarah,4,0,"11,12,11,11|9,10,7,6",R64,OTHER,WS,376,Main Draw,DE NUTTE Sarah (LUX),POLCANOVA Sofia (AUT),POLCANOVA Sofia
ITTF European Championships Budapest 2016,2016-10-18,RAMIREZ Sara,STRBIKOVA Renata,4,3,"4,11,7,8,11,11,12|11,9,11,11,7,2,10",R64,OTHER,WS,376,Main Draw,STRBIKOVA Renata (CZE),RAMIREZ Sara (ESP),RAMIREZ Sara
ITTF European Championships Budapest 2016,2016-10-18,HU Melek,ARLOUSKAYA Alina,4,0,"11,11,11,11|3,6,4,6",R64,OTHER,WS,376,Main Draw,ARLOUSKAYA Alina (BLR),HU Melek (TUR),HU Melek
ITTF European Championships Budapest 2016,2016-10-18,LI Jie,FAJMUT Manca,4,0,"11,11,11,11|4,3,4,5",R64,OTHER,WS,376,Main Draw,LI Jie (NED),FAJMUT Manca (SLO),LI Jie
ITTF European Championships Budapest 2016,2016-10-18,PERGEL Szandra,PARTYKA Natalia,4,1,"11,12,10,12,12|7,10,12,10,10",R64,OTHER,WS,376,Main Draw,PERGEL Szandra (HUN),PARTYKA Natalia (POL),PERGEL Szandra
ITTF European Championships Budapest 2016,2016-10-18,XIAO Maria,SZOCS Bernadette,4,2,"1,11,9,11,11,11|11,6,11,9,8,7",R64,OTHER,WS,376,Main Draw,SZOCS Bernadette (ROU),XIAO Maria (ESP),XIAO Maria
ITTF European Championships Budapest 2016,2016-10-18,PAVLOVICH Viktoria,BAJOR Natalia,4,2,"11,11,8,9,11,11|1,8,11,11,8,8",R64,OTHER,WS,376,Main Draw,BAJOR Natalia (POL),PAVLOVICH Viktoria (BLR),PAVLOVICH Viktoria
ITTF European Championships Budapest 2016,2016-10-18,EKHOLM Matilda,OLIVEIRA Leila,4,0,"11,11,11,11|4,6,7,7",R64,OTHER,WS,376,Main Draw,EKHOLM Matilda (SWE),OLIVEIRA Leila (POR),EKHOLM Matilda
ITTF European Championships Budapest 2016,2016-10-18,ODOROVA Eva,PASKAUSKIENE Ruta,4,2,"9,8,11,12,11,11|11,11,9,10,5,8",R64,OTHER,WS,376,Main Draw,PASKAUSKIENE Ruta (LTU),ODOROVA Eva (SVK),ODOROVA Eva
ITTF European Championships Budapest 2016,2016-10-18,PROKHOROVA Yulia,LI Qiangbing,4,3,"11,11,14,2,10,11,11|9,9,16,11,12,6,9",R64,OTHER,WS,376,Main Draw,PROKHOROVA Yulia (RUS),LI Qiangbing (AUT),PROKHOROVA Yulia
ITTF European Championships Budapest 2016,2016-10-18,SHAN Xiaona,LOEUILLETTE Stephanie,4,3,"11,8,8,11,11,12,11|6,11,11,8,7,14,5",R64,OTHER,WS,376,Main Draw,LOEUILLETTE Stephanie (FRA),SHAN Xiaona (GER),SHAN Xiaona
ITTF European Championships Budapest 2016,2016-10-18,LIU Jia,TRIGOLOS Daria,4,1,"11,9,11,11,11|8,11,7,4,3",R64,OTHER,WS,376,Main Draw,LIU Jia (AUT),TRIGOLOS Daria (BLR),LIU Jia
ITTF European Championships Budapest 2016,2016-10-18,LANG Kristin,CECHOVA Dana,4,0,"11,11,11,11|7,7,3,7",R64,OTHER,WS,376,Main Draw,CECHOVA Dana (CZE),LANG Kristin (GER),LANG Kristin
ITTF European Championships Budapest 2016,2016-10-18,NI Xia Lian,MADARASZ Dora,4,2,"11,9,11,5,11,11|9,11,9,11,9,9",R64,OTHER,WS,376,Main Draw,NI Xia Lian (LUX),MADARASZ Dora (HUN),NI Xia Lian
ITTF European Championships Budapest 2016,2016-10-18,KUSINSKA Klaudia,BILENKO Tetyana,4,1,"11,5,13,11,11|4,11,11,9,4",R64,OTHER,WS,376,Main Draw,KUSINSKA Klaudia (POL),BILENKO Tetyana (UKR),KUSINSKA Klaudia
ITTF European Championships Budapest 2016,2016-10-18,WINTER Sabine,PAVLOVIC Andrea,4,2,"11,11,2,11,9,11|7,9,11,6,11,5",R64,OTHER,WS,376,Main Draw,WINTER Sabine (GER),PAVLOVIC Andrea (CRO),WINTER Sabine
ITTF European Championships Budapest 2016,2016-10-18,NOSKOVA Yana,EERLAND Britt,4,1,"12,11,11,12,11|14,5,1,10,9",R64,OTHER,WS,376,Main Draw,EERLAND Britt (NED),NOSKOVA Yana (RUS),NOSKOVA Yana
ITTF European Championships Budapest 2016,2016-10-18,DVORAK Galia,GRZYBOWSKA-FRANC Katarzyna,4,0,"11,11,11,11|7,7,3,8",R64,OTHER,WS,376,Main Draw,GRZYBOWSKA-FRANC Katarzyna (POL),DVORAK Galia (ESP),DVORAK Galia
ITTF European Championships Budapest 2016,2016-10-18,SAMARA Elizabeta,MAKSUTI Aneta,4,3,"8,11,7,3,12,12,11|11,9,11,11,10,10,2",R64,OTHER,WS,376,Main Draw,MAKSUTI Aneta (SRB),SAMARA Elizabeta (ROU),SAMARA Elizabeta
ITTF European Championships Budapest 2016,2016-10-18,POTA Georgina,HO Tin-Tin,4,3,"5,4,11,11,11,11,11|11,11,13,7,7,8,5",R64,OTHER,WS,376,Main Draw,POTA Georgina (HUN),HO Tin-Tin (ENG),POTA Georgina
ITTF European Championships Budapest 2016,2016-10-18,CIOBANU Irina,SOLJA Amelie,4,2,"11,11,8,11,9,11|6,9,11,5,11,9",R64,OTHER,WS,376,Main Draw,CIOBANU Irina (ROU),SOLJA Amelie (AUT),CIOBANU Irina
ITTF European Championships Budapest 2016,2016-10-18,MATELOVA Hana,MORET Rachel,4,1,"11,11,11,7,11|8,6,9,11,2",R64,OTHER,WS,376,Main Draw,MATELOVA Hana (CZE),MORET Rachel (SUI),MATELOVA Hana
ITTF European Championships Budapest 2016,2016-10-18,YU Fu,MALANINA Maria,4,0,"11,11,11,11|6,8,2,4",R64,OTHER,WS,376,Main Draw,MALANINA Maria (RUS),YU Fu (POR),YU Fu
ITTF European Championships Budapest 2016,2016-10-18,LI Fen,JEGER Mateja,4,0,"11,11,11,11|8,4,2,8",R64,OTHER,WS,376,Main Draw,LI Fen (SWE),JEGER Mateja (CRO),LI Fen
ITTF European Championships Budapest 2016,2016-10-18,DOLGIKH Maria,IACOB Camelia,4,2,"11,5,11,8,11,11|7,11,3,11,7,9",R64,OTHER,WS,376,Main Draw,IACOB Camelia (ROU),DOLGIKH Maria (RUS),DOLGIKH Maria
ITTF European Championships Budapest 2016,2016-10-18,VARADY Barbora,TODOROVIC Andrea,4,3,"9,11,11,7,11,4,11|11,8,9,11,8,11,9",R64,OTHER,WS,376,Main Draw,VARADY Barbora (SVK),TODOROVIC Andrea (SRB),VARADY Barbora
ITTF European Championships Budapest 2016,2016-10-18,SOLJA Petrissa,GUISNEL Oceane,4,1,"11,5,11,11,11|5,11,5,9,9",R64,OTHER,WS,376,Main Draw,GUISNEL Oceane (FRA),SOLJA Petrissa (GER),SOLJA Petrissa
ITTF European Championships Budapest 2016,2016-10-18,HAN Ying,SHAO Jieni,4,1,"11,11,5,11,11|3,5,11,2,4",R32,OTHER,WS,376,Main Draw,HAN Ying (GER),SHAO Jieni (POR),HAN Ying
ITTF European Championships Budapest 2016,2016-10-18,DODEAN Daniela,LOVAS Petra,4,2,"9,11,11,4,11,11|11,9,3,11,5,6",R32,OTHER,WS,376,Main Draw,LOVAS Petra (HUN),DODEAN Daniela (ROU),DODEAN Daniela
ITTF European Championships Budapest 2016,2016-10-18,MIKHAILOVA Polina,POLCANOVA Sofia,4,2,"13,11,9,11,9,11|11,7,11,7,11,5",R32,OTHER,WS,376,Main Draw,MIKHAILOVA Polina (RUS),POLCANOVA Sofia (AUT),MIKHAILOVA Polina
ITTF European Championships Budapest 2016,2016-10-18,HU Melek,RAMIREZ Sara,4,0,"11,11,11,11|5,8,7,7",R32,OTHER,WS,376,Main Draw,RAMIREZ Sara (ESP),HU Melek (TUR),HU Melek
ITTF European Championships Budapest 2016,2016-10-18,LI Jie,PERGEL Szandra,4,1,"11,11,11,7,11|6,5,3,11,3",R32,OTHER,WS,376,Main Draw,LI Jie (NED),PERGEL Szandra (HUN),LI Jie
ITTF European Championships Budapest 2016,2016-10-18,PAVLOVICH Viktoria,XIAO Maria,4,0,"11,11,13,11|6,6,11,8",R32,OTHER,WS,376,Main Draw,XIAO Maria (ESP),PAVLOVICH Viktoria (BLR),PAVLOVICH Viktoria
ITTF European Championships Budapest 2016,2016-10-18,EKHOLM Matilda,ODOROVA Eva,4,1,"11,11,6,11,11|5,7,11,9,6",R32,OTHER,WS,376,Main Draw,EKHOLM Matilda (SWE),ODOROVA Eva (SVK),EKHOLM Matilda
ITTF European Championships Budapest 2016,2016-10-18,SHAN Xiaona,PROKHOROVA Yulia,4,0,"11,11,11,11|4,6,6,6",R32,OTHER,WS,376,Main Draw,PROKHOROVA Yulia (RUS),SHAN Xiaona (GER),SHAN Xiaona
ITTF European Championships Budapest 2016,2016-10-18,LANG Kristin,LIU Jia,4,1,"11,11,11,9,11|5,9,8,11,7",R32,OTHER,WS,376,Main Draw,LIU Jia (AUT),LANG Kristin (GER),LANG Kristin
ITTF European Championships Budapest 2016,2016-10-18,NI Xia Lian,KUSINSKA Klaudia,4,3,"9,9,11,11,11,7,11|11,11,4,9,5,11,7",R32,OTHER,WS,376,Main Draw,NI Xia Lian (LUX),KUSINSKA Klaudia (POL),NI Xia Lian
ITTF European Championships Budapest 2016,2016-10-18,WINTER Sabine,NOSKOVA Yana,4,1,"11,11,11,3,11|7,7,6,11,4",R32,OTHER,WS,376,Main Draw,WINTER Sabine (GER),NOSKOVA Yana (RUS),WINTER Sabine
ITTF European Championships Budapest 2016,2016-10-18,SAMARA Elizabeta,DVORAK Galia,4,1,"11,11,11,9,13|9,4,5,11,11",R32,OTHER,WS,376,Main Draw,DVORAK Galia (ESP),SAMARA Elizabeta (ROU),SAMARA Elizabeta
ITTF European Championships Budapest 2016,2016-10-18,POTA Georgina,CIOBANU Irina,4,0,"11,11,11,11|9,8,6,5",R32,OTHER,WS,376,Main Draw,POTA Georgina (HUN),CIOBANU Irina (ROU),POTA Georgina
