tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
Chinese Taipei Open Taipei 2005,2005-06-16,CHUANG Chih-Yuan,HIDAKA Tatsuya,4,0,"11,11,11,11|6,8,2,4",R32,GRAND_SLAM,MS,1735,Main Draw,CHUANG Chih-Yuan (TPE),HIDAKA Tatsuya (AUS)
Chinese Taipei Open Taipei 2005,2005-06-16,OH Sangeun,BERTIN Christophe,4,1,"11,5,11,11,11|3,11,8,7,6",R32,GRAND_SLAM,MS,1735,Main Draw,OH Sangeun (KOR),BERTIN Christophe (FRA)
Chinese Taipei Open Taipei 2005,2005-06-16,CHUANG Chih-Yuan,CHANG Yen-Shu,4,1,"11,11,9,11,11|8,8,11,6,1",R16,GRAND_SLAM,MS,1735,Main Draw,CHUANG Chih-Yuan (TPE),CHANG Yen-Shu (TPE)
Chinese Taipei Open Taipei 2005,2005-06-16,YOSHIDA Kaii,LI Ching,4,1,"12,13,12,7,11|10,11,10,11,8",R16,GRAND_SLAM,MS,1735,Main Draw,YOSHIDA Kaii (JPN),LI Ching (HKG)
Chinese Taipei Open Taipei 2005,2005-06-16,KISHIKAWA Seiya,LEGOUT Christophe,4,3,"6,11,6,11,12,12,11|11,8,11,7,14,10,6",R16,GRAND_SLAM,MS,1735,Main Draw,KISHIKAWA Seiya (JPN),LEGOUT Christophe (FRA)
Chinese Taipei Open Taipei 2005,2005-06-16,LEE Jungwoo,CHIANG Peng-Lung,4,3,"11,11,4,6,9,11,11|9,8,11,11,11,8,7",R16,GRAND_SLAM,MS,1735,Main Draw,LEE Jungwoo (KOR),CHIANG Peng-Lung (TPE)
Chinese Taipei Open Taipei 2005,2005-06-16,CHEN Weixing,WU Chih-Chi,4,0,"11,11,11,11|1,5,7,6",R16,GRAND_SLAM,MS,1735,Main Draw,CHEN Weixing (AUT),WU Chih-Chi (TPE)
Chinese Taipei Open Taipei 2005,2005-06-16,KO Lai Chak,GARDOS Robert,4,1,"8,11,11,11,11|11,6,9,9,3",R16,GRAND_SLAM,MS,1735,Main Draw,KO Lai Chak (HKG),GARDOS Robert (AUT)
Chinese Taipei Open Taipei 2005,2005-06-16,GAO Ning,MATSUSHITA Koji,4,2,"6,11,13,7,11,11|11,5,11,11,6,5",R16,GRAND_SLAM,MS,1735,Main Draw,GAO Ning (SGP),MATSUSHITA Koji (JPN)
Chinese Taipei Open Taipei 2005,2005-06-16,OH Sangeun,YANG Zi,4,2,"5,11,11,5,11,11|11,4,4,11,3,4",R16,GRAND_SLAM,MS,1735,Main Draw,OH Sangeun (KOR),YANG Zi (SGP)
Chinese Taipei Open Taipei 2005,2005-06-16,CHUANG Chih-Yuan,YOSHIDA Kaii,4,0,"11,11,11,11|5,5,9,3",QF,GRAND_SLAM,MS,1735,Main Draw,CHUANG Chih-Yuan (TPE),YOSHIDA Kaii (JPN)
Chinese Taipei Open Taipei 2005,2005-06-16,LEE Jungwoo,KISHIKAWA Seiya,4,2,"11,11,5,10,13,11|6,5,11,12,11,5",QF,GRAND_SLAM,MS,1735,Main Draw,LEE Jungwoo (KOR),KISHIKAWA Seiya (JPN)
Chinese Taipei Open Taipei 2005,2005-06-16,CHEN Weixing,KO Lai Chak,4,2,"11,11,10,11,11,11|9,3,12,8,13,8",QF,GRAND_SLAM,MS,1735,Main Draw,CHEN Weixing (AUT),KO Lai Chak (HKG)
Chinese Taipei Open Taipei 2005,2005-06-16,OH Sangeun,GAO Ning,4,1,"11,11,13,10,11|8,1,11,12,4",QF,GRAND_SLAM,MS,1735,Main Draw,OH Sangeun (KOR),GAO Ning (SGP)
Chinese Taipei Open Taipei 2005,2005-06-16,LEE Jungwoo,CHUANG Chih-Yuan,4,3,"12,10,11,8,11,6,11|10,12,9,11,9,11,6",SF,GRAND_SLAM,MS,1735,Main Draw,LEE Jungwoo (KOR),CHUANG Chih-Yuan (TPE)
Chinese Taipei Open Taipei 2005,2005-06-16,CHEN Weixing,OH Sangeun,4,3,"4,7,13,11,11,7,11|11,11,11,9,9,11,4",SF,GRAND_SLAM,MS,1735,Main Draw,CHEN Weixing (AUT),OH Sangeun (KOR)
Chinese Taipei Open Taipei 2005,2005-06-16,LEE Jungwoo,CHEN Weixing,4,1,"11,11,11,11,11|4,13,9,7,3",F,GRAND_SLAM,MS,1735,Main Draw,LEE Jungwoo (KOR),CHEN Weixing (AUT)
Chinese Taipei Open Taipei 2005,2005-06-16,CHEN Chien-An,IBRAHIM Muhd Shakirin,4,0,"13,11,12,11|11,7,10,6",,GRAND_SLAM,MS,1735,Qualification,CHEN Chien-An (TPE),IBRAHIM Muhd Shakirin (MAS)
Chinese Taipei Open Taipei 2005,2005-06-16,YOON Jaeyoung,CHEN Chien-An,4,0,"11,11,11,11|7,6,7,5",QR2,GRAND_SLAM,MS,1735,Qualification,YOON Jaeyoung (KOR),CHEN Chien-An (TPE)
Chinese Taipei Open Taipei 2005,2005-06-16,YOON Jaeyoung,IBRAHIM Muhd Shakirin,4,0,"11,11,11,13|5,7,4,11",3,GRAND_SLAM,MS,1735,Qualification,YOON Jaeyoung (KOR),IBRAHIM Muhd Shakirin (MAS)
Chinese Taipei Open Taipei 2005,2005-06-16,TSE Ka Chun,CHEN Yi-Fan,4,1,"11,12,9,11,11|2,10,11,9,9",,GRAND_SLAM,MS,1735,Qualification,TSE Ka Chun (HKG),CHEN Yi-Fan (TPE)
Chinese Taipei Open Taipei 2005,2005-06-16,MIZUTANI Jun,CHEN Yi-Fan,4,1,"11,11,9,11,11|9,3,11,2,9",QR2,GRAND_SLAM,MS,1735,Qualification,MIZUTANI Jun (JPN),CHEN Yi-Fan (TPE)
Chinese Taipei Open Taipei 2005,2005-06-16,MIZUTANI Jun,TSE Ka Chun,4,0,"11,11,11,11|8,6,3,9",3,GRAND_SLAM,MS,1735,Qualification,MIZUTANI Jun (JPN),TSE Ka Chun (HKG)
Chinese Taipei Open Taipei 2005,2005-06-16,SUN Wen-Wei,WANG Yi-Tse,4,3,"11,11,8,7,12,6,11|4,6,11,11,10,11,8",,GRAND_SLAM,MS,1735,Qualification,SUN Wen-Wei (TPE),WANG Yi-Tse (TPE)
Chinese Taipei Open Taipei 2005,2005-06-16,CHOI Hyunjin,WANG Yi-Tse,4,0,"11,11,11,12|9,7,6,10",QR2,GRAND_SLAM,MS,1735,Qualification,CHOI Hyunjin (KOR),WANG Yi-Tse (TPE)
Chinese Taipei Open Taipei 2005,2005-06-16,CHOI Hyunjin,SUN Wen-Wei,4,0,"11,11,12,11|5,3,10,8",3,GRAND_SLAM,MS,1735,Qualification,CHOI Hyunjin (KOR),SUN Wen-Wei (TPE)
Chinese Taipei Open Taipei 2005,2005-06-16,ZHANG Yiqin,CHEN Yi-Chieh,4,2,"11,11,10,11,9,11|7,2,12,5,11,3",,GRAND_SLAM,MS,1735,Qualification,ZHANG Yiqin (SGP),CHEN Yi-Chieh (TPE)
Chinese Taipei Open Taipei 2005,2005-06-16,LIM Jaehyun,CHEN Yi-Chieh,4,0,"11,11,11,13|6,9,5,11",QR2,GRAND_SLAM,MS,1735,Qualification,LIM Jaehyun (KOR),CHEN Yi-Chieh (TPE)
Chinese Taipei Open Taipei 2005,2005-06-16,LIM Jaehyun,ZHANG Yiqin,4,3,"8,11,11,12,9,9,11|11,7,9,10,11,11,8",3,GRAND_SLAM,MS,1735,Qualification,LIM Jaehyun (KOR),ZHANG Yiqin (SGP)
Chinese Taipei Open Taipei 2005,2005-06-16,ELENSKY Gregory,SHIMOYAMA Takanori,4,2,"11,11,3,11,9,14|9,7,11,9,11,12",,GRAND_SLAM,MS,1735,Qualification,ELENSKY Gregory (ISR),SHIMOYAMA Takanori (JPN)
Chinese Taipei Open Taipei 2005,2005-06-16,WU Chih-Chi,ELENSKY Gregory,4,1,"11,11,9,11,11|7,3,11,4,5",QR2,GRAND_SLAM,MS,1735,Qualification,WU Chih-Chi (TPE),ELENSKY Gregory (ISR)
Chinese Taipei Open Taipei 2005,2005-06-16,WU Chih-Chi,SHIMOYAMA Takanori,4,0,"14,11,11,11|12,6,8,7",3,GRAND_SLAM,MS,1735,Qualification,WU Chih-Chi (TPE),SHIMOYAMA Takanori (JPN)
Chinese Taipei Open Taipei 2005,2005-06-16,HUANG Sheng-Sheng,WEI Chun-Ta,4,2,"6,9,11,11,11,11|11,11,8,9,7,6",,GRAND_SLAM,MS,1735,Qualification,HUANG Sheng-Sheng (TPE),WEI Chun-Ta (TPE)
Chinese Taipei Open Taipei 2005,2005-06-16,KISHIKAWA Seiya,WEI Chun-Ta,4,1,"11,11,3,11,11|2,9,11,8,9",QR2,GRAND_SLAM,MS,1735,Qualification,KISHIKAWA Seiya (JPN),WEI Chun-Ta (TPE)
Chinese Taipei Open Taipei 2005,2005-06-16,KISHIKAWA Seiya,HUANG Sheng-Sheng,4,3,"11,6,11,7,11,6,11|9,11,9,11,6,11,6",3,GRAND_SLAM,MS,1735,Qualification,KISHIKAWA Seiya (JPN),HUANG Sheng-Sheng (TPE)
Chinese Taipei Open Taipei 2005,2005-06-16,CHAN Koon Wah,CHANG Yao-Chun,4,0,"11,11,11,11|8,7,5,6",,GRAND_SLAM,MS,1735,Qualification,CHAN Koon Wah (MAS),CHANG Yao-Chun (TPE)
Chinese Taipei Open Taipei 2005,2005-06-16,LO Dany,CHANG Yao-Chun,4,1,"11,11,7,11,11|5,8,11,6,9",QR2,GRAND_SLAM,MS,1735,Qualification,LO Dany (FRA),CHANG Yao-Chun (TPE)
Chinese Taipei Open Taipei 2005,2005-06-16,LO Dany,CHAN Koon Wah,4,0,"11,11,11,11|4,9,4,9",3,GRAND_SLAM,MS,1735,Qualification,LO Dany (FRA),CHAN Koon Wah (MAS)
Chinese Taipei Open Taipei 2005,2005-06-16,LAI Kuan-Shen,GREEN Wally,4,0,"11,11,11,11|4,8,7,5",,GRAND_SLAM,MS,1735,Qualification,LAI Kuan-Shen (TPE),GREEN Wally (USA)
Chinese Taipei Open Taipei 2005,2005-06-16,BOBILLIER Loic,GREEN Wally,4,0,"11,11,11,11|8,6,1,9",QR2,GRAND_SLAM,MS,1735,Qualification,BOBILLIER Loic (FRA),GREEN Wally (USA)
Chinese Taipei Open Taipei 2005,2005-06-16,BOBILLIER Loic,LAI Kuan-Shen,4,3,"11,8,6,11,12,6,11|3,11,11,5,10,11,8",3,GRAND_SLAM,MS,1735,Qualification,BOBILLIER Loic (FRA),LAI Kuan-Shen (TPE)
Chinese Taipei Open Taipei 2005,2005-06-16,ZHANG Wilson,HUANG Wei-Chin,4,1,"7,11,11,11,11|11,6,3,8,8",,GRAND_SLAM,MS,1735,Qualification,ZHANG Wilson (CAN),HUANG Wei-Chin (TPE)
Chinese Taipei Open Taipei 2005,2005-06-16,SAKAMOTO Ryusuke,ZHANG Wilson,4,2,"11,7,12,4,11,11|6,11,10,11,6,6",QR2,GRAND_SLAM,MS,1735,Qualification,SAKAMOTO Ryusuke (JPN),ZHANG Wilson (CAN)
Chinese Taipei Open Taipei 2005,2005-06-16,SAKAMOTO Ryusuke,HUANG Wei-Chin,4,2,"7,11,10,11,11,11|11,7,12,3,5,1",3,GRAND_SLAM,MS,1735,Qualification,SAKAMOTO Ryusuke (JPN),HUANG Wei-Chin (TPE)
Chinese Taipei Open Taipei 2005,2005-06-16,LI Hang,HUANG Chang-Chun,4,1,"9,11,11,11,11|11,8,7,5,7",,GRAND_SLAM,MS,1735,Qualification,LI Hang (SGP),HUANG Chang-Chun (TPE)
Chinese Taipei Open Taipei 2005,2005-06-16,BERTIN Christophe,HUANG Chang-Chun,4,0,"11,11,11,11|9,7,9,8",QR2,GRAND_SLAM,MS,1735,Qualification,BERTIN Christophe (FRA),HUANG Chang-Chun (TPE)
Chinese Taipei Open Taipei 2005,2005-06-16,LI Hang,BERTIN Christophe,4,2,"11,11,12,6,10,11|5,7,10,11,12,7",3,GRAND_SLAM,MS,1735,Qualification,LI Hang (SGP),BERTIN Christophe (FRA)
Chinese Taipei Open Taipei 2005,2005-06-16,MORITA Yuki (YOB=1984),LIAO Hung-Wei,4,1,"9,11,11,11,11|11,5,3,6,5",,GRAND_SLAM,MS,1735,Qualification,MORITA Yuki (YOB=1984) (JPN),LIAO Hung-Wei (TPE)
Chinese Taipei Open Taipei 2005,2005-06-16,CAI Xiaoli,LIAO Hung-Wei,4,1,"11,11,7,11,11|2,2,11,8,9",QR2,GRAND_SLAM,MS,1735,Qualification,CAI Xiaoli (SGP),LIAO Hung-Wei (TPE)
Chinese Taipei Open Taipei 2005,2005-06-16,CAI Xiaoli,MORITA Yuki (YOB=1984),4,2,"11,6,9,11,15,11|9,11,11,4,13,7",3,GRAND_SLAM,MS,1735,Qualification,CAI Xiaoli (SGP),MORITA Yuki (YOB=1984) (JPN)
Chinese Taipei Open Taipei 2005,2005-06-16,ZHENG Qi,LIU Yi-Te,4,1,"6,12,11,11,11|11,10,8,9,5",,GRAND_SLAM,MS,1735,Qualification,ZHENG Qi (SGP),LIU Yi-Te (TPE)
Chinese Taipei Open Taipei 2005,2005-06-16,CHO Eonrae,LIU Yi-Te,4,0,"11,11,11,11|8,8,7,9",QR2,GRAND_SLAM,MS,1735,Qualification,CHO Eonrae (KOR),LIU Yi-Te (TPE)
Chinese Taipei Open Taipei 2005,2005-06-16,CHO Eonrae,ZHENG Qi,4,3,"11,5,7,11,6,11,11|6,11,11,2,11,8,6",3,GRAND_SLAM,MS,1735,Qualification,CHO Eonrae (KOR),ZHENG Qi (SGP)
Chinese Taipei Open Taipei 2005,2005-06-16,MIZUNO Yuya,CHIANG Hung-Chieh,4,3,"5,11,11,11,6,2,12|11,9,7,9,11,11,10",,GRAND_SLAM,MS,1735,Qualification,MIZUNO Yuya (JPN),CHIANG Hung-Chieh (TPE)
Chinese Taipei Open Taipei 2005,2005-06-16,MIZUNO Yuya,YOO Changjae,4,2,"8,11,11,11,5,11|11,7,7,6,11,6",QR2,GRAND_SLAM,MS,1735,Qualification,MIZUNO Yuya (JPN),YOO Changjae (KOR)
Chinese Taipei Open Taipei 2005,2005-06-16,CHIANG Hung-Chieh,YOO Changjae,4,2,"11,9,11,9,11,12|8,11,4,11,4,10",3,GRAND_SLAM,MS,1735,Qualification,CHIANG Hung-Chieh (TPE),YOO Changjae (KOR)
Chinese Taipei Open Taipei 2005,2005-06-16,TAKAKIWA Taku,LU Ching-Chun,4,1,"11,9,11,11,11|4,11,8,9,6",,GRAND_SLAM,MS,1735,Qualification,TAKAKIWA Taku (JPN),LU Ching-Chun (TPE)
Chinese Taipei Open Taipei 2005,2005-06-16,LEE Jungsam,LU Ching-Chun,4,0,"11,11,11,11|2,5,5,7",QR2,GRAND_SLAM,MS,1735,Qualification,LEE Jungsam (KOR),LU Ching-Chun (TPE)
Chinese Taipei Open Taipei 2005,2005-06-16,LEE Jungsam,TAKAKIWA Taku,4,3,"11,4,9,11,8,11,11|4,11,11,7,11,9,8",3,GRAND_SLAM,MS,1735,Qualification,LEE Jungsam (KOR),TAKAKIWA Taku (JPN)
Chinese Taipei Open Taipei 2005,2005-06-16,SHEN Chi-Min,CSABA Bence,4,2,"11,13,6,11,9,11|8,11,11,9,11,7",,GRAND_SLAM,MS,1735,Qualification,SHEN Chi-Min (TPE),CSABA Bence (CAN)
Chinese Taipei Open Taipei 2005,2005-06-16,SHEN Chi-Min,TAKAKIWA Kenichi,4,2,"9,11,13,9,13,11|11,9,11,11,11,7",QR2,GRAND_SLAM,MS,1735,Qualification,SHEN Chi-Min (TPE),TAKAKIWA Kenichi (JPN)
Chinese Taipei Open Taipei 2005,2005-06-16,TAKAKIWA Kenichi,CSABA Bence,4,0,"11,11,11,11|2,5,5,8",3,GRAND_SLAM,MS,1735,Qualification,TAKAKIWA Kenichi (JPN),CSABA Bence (CAN)
Chinese Taipei Open Taipei 2005,2005-06-16,HIDAKA Tatsuya,DESPRES Rodolphe,4,3,"4,5,19,11,11,12,11|11,11,21,6,7,10,8",,GRAND_SLAM,MS,1735,Qualification,HIDAKA Tatsuya (AUS),DESPRES Rodolphe (FRA)
Chinese Taipei Open Taipei 2005,2005-06-16,HIDAKA Tatsuya,CHOU Tung-Yu,4,3,"11,11,8,3,11,12,11|8,9,11,11,7,14,7",QR2,GRAND_SLAM,MS,1735,Qualification,HIDAKA Tatsuya (AUS),CHOU Tung-Yu (TPE)
Chinese Taipei Open Taipei 2005,2005-06-16,CHOU Tung-Yu,DESPRES Rodolphe,4,3,"11,11,11,9,3,7,11|8,7,9,11,11,11,5",3,GRAND_SLAM,MS,1735,Qualification,CHOU Tung-Yu (TPE),DESPRES Rodolphe (FRA)
Chinese Taipei Open Taipei 2005,2005-06-16,CHEN Chien-An,SHEN Chi-Min,3,2,"11,9,11,10,11|8,11,8,12,8",,GRAND_SLAM,U21MS,1735,Qualification,CHEN Chien-An (TPE),SHEN Chi-Min (TPE)
Chinese Taipei Open Taipei 2005,2005-06-16,LEE Jungsam,SHEN Chi-Min,3,2,"9,11,10,11,11|11,7,12,8,6",QR2,GRAND_SLAM,U21MS,1735,Qualification,LEE Jungsam (KOR),SHEN Chi-Min (TPE)
Chinese Taipei Open Taipei 2005,2005-06-16,LEE Jungsam,CHEN Chien-An,3,1,"16,11,6,11|14,9,11,4",3,GRAND_SLAM,U21MS,1735,Qualification,LEE Jungsam (KOR),CHEN Chien-An (TPE)
Chinese Taipei Open Taipei 2005,2005-06-16,CHEN Yi-Fan,IBRAHIM Muhd Shakirin,3,1,"3,11,11,15|11,3,4,13",,GRAND_SLAM,U21MS,1735,Qualification,CHEN Yi-Fan (TPE),IBRAHIM Muhd Shakirin (MAS)
Chinese Taipei Open Taipei 2005,2005-06-16,TAKAKIWA Kenichi,CHEN Yi-Fan,3,2,"7,11,11,2,11|11,4,4,11,7",QR2,GRAND_SLAM,U21MS,1735,Qualification,TAKAKIWA Kenichi (JPN),CHEN Yi-Fan (TPE)
Chinese Taipei Open Taipei 2005,2005-06-16,TAKAKIWA Kenichi,IBRAHIM Muhd Shakirin,3,0,"11,11,11|3,9,1",3,GRAND_SLAM,U21MS,1735,Qualification,TAKAKIWA Kenichi (JPN),IBRAHIM Muhd Shakirin (MAS)
Chinese Taipei Open Taipei 2005,2005-06-16,TSE Ka Chun,HIDAKA Tatsuya,3,2,"10,11,7,13,11|12,6,11,11,9",,GRAND_SLAM,U21MS,1735,Qualification,TSE Ka Chun (HKG),HIDAKA Tatsuya (AUS)
Chinese Taipei Open Taipei 2005,2005-06-16,CHOU Tung-Yu,HIDAKA Tatsuya,3,0,"12,11,11|10,9,9",QR2,GRAND_SLAM,U21MS,1735,Qualification,CHOU Tung-Yu (TPE),HIDAKA Tatsuya (AUS)
Chinese Taipei Open Taipei 2005,2005-06-16,CHOU Tung-Yu,TSE Ka Chun,3,1,"7,11,14,11|11,6,12,8",3,GRAND_SLAM,U21MS,1735,Qualification,CHOU Tung-Yu (TPE),TSE Ka Chun (HKG)
Chinese Taipei Open Taipei 2005,2005-06-16,SUN Wen-Wei,HUANG Chang-Chun,3,2,"11,9,8,11,11|7,11,11,9,6",,GRAND_SLAM,U21MS,1735,Qualification,SUN Wen-Wei (TPE),HUANG Chang-Chun (TPE)
Chinese Taipei Open Taipei 2005,2005-06-16,DESPRES Rodolphe,HUANG Chang-Chun,3,1,"12,11,11,11|14,8,5,6",QR2,GRAND_SLAM,U21MS,1735,Qualification,DESPRES Rodolphe (FRA),HUANG Chang-Chun (TPE)
Chinese Taipei Open Taipei 2005,2005-06-16,DESPRES Rodolphe,SUN Wen-Wei,3,2,"11,10,11,17,11|3,12,7,19,8",3,GRAND_SLAM,U21MS,1735,Qualification,DESPRES Rodolphe (FRA),SUN Wen-Wei (TPE)
Chinese Taipei Open Taipei 2005,2005-06-16,TAKAKIWA Taku,CHEN Yi-Chieh,3,0,"11,12,11|6,10,4",QR2,GRAND_SLAM,U21MS,1735,Qualification,TAKAKIWA Taku (JPN),CHEN Yi-Chieh (TPE)
Chinese Taipei Open Taipei 2005,2005-06-16,TAKAKIWA Taku,ZHANG Yiqin,3,2,"8,11,7,11,11|11,8,11,9,9",3,GRAND_SLAM,U21MS,1735,Qualification,TAKAKIWA Taku (JPN),ZHANG Yiqin (SGP)
Chinese Taipei Open Taipei 2005,2005-06-16,HUANG Sheng-Sheng,LU Ching-Chun,3,0,"11,11,11|2,5,3",,GRAND_SLAM,U21MS,1735,Qualification,HUANG Sheng-Sheng (TPE),LU Ching-Chun (TPE)
Chinese Taipei Open Taipei 2005,2005-06-16,SHIMOYAMA Takanori,WANG Yi-Tse,3,0,"11,15,17|6,13,15",,GRAND_SLAM,U21MS,1735,Qualification,SHIMOYAMA Takanori (JPN),WANG Yi-Tse (TPE)
Chinese Taipei Open Taipei 2005,2005-06-16,CHIANG Hung-Chieh,WANG Yi-Tse,3,0,"11,11,11|6,4,6",QR2,GRAND_SLAM,U21MS,1735,Qualification,CHIANG Hung-Chieh (TPE),WANG Yi-Tse (TPE)
Chinese Taipei Open Taipei 2005,2005-06-16,CHIANG Hung-Chieh,SHIMOYAMA Takanori,3,0,"12,11,11|10,6,7",3,GRAND_SLAM,U21MS,1735,Qualification,CHIANG Hung-Chieh (TPE),SHIMOYAMA Takanori (JPN)
Chinese Taipei Open Taipei 2005,2005-06-16,ELENSKY Gregory,MORITA Yuki (YOB=1984),3,2,"7,11,11,11,12|11,6,9,13,10",,GRAND_SLAM,U21MS,1735,Qualification,ELENSKY Gregory (ISR),MORITA Yuki (YOB=1984) (JPN)
Chinese Taipei Open Taipei 2005,2005-06-16,LAI Kuan-Shen,CHANG Yao-Chun,3,1,"13,11,9,11|11,8,11,6",QR2,GRAND_SLAM,U21MS,1735,Qualification,LAI Kuan-Shen (TPE),CHANG Yao-Chun (TPE)
Chinese Taipei Open Taipei 2005,2005-06-16,MORITA Yuki (YOB=1984),CHANG Yao-Chun,3,1,"14,9,11,11|12,11,3,7",3,GRAND_SLAM,U21MS,1735,Qualification,MORITA Yuki (YOB=1984) (JPN),CHANG Yao-Chun (TPE)
Chinese Taipei Open Taipei 2005,2005-06-16,ELENSKY Gregory,LAI Kuan-Shen,3,0,"11,11,15|9,6,13",QR4,GRAND_SLAM,U21MS,1735,Qualification,ELENSKY Gregory (ISR),LAI Kuan-Shen (TPE)
Chinese Taipei Open Taipei 2005,2005-06-16,MORITA Yuki (YOB=1984),LAI Kuan-Shen,3,0,"12,11,11|10,9,5",5,GRAND_SLAM,U21MS,1735,Qualification,MORITA Yuki (YOB=1984) (JPN),LAI Kuan-Shen (TPE)
Chinese Taipei Open Taipei 2005,2005-06-16,ELENSKY Gregory,CHANG Yao-Chun,3,0,"11,11,11|6,6,8",6,GRAND_SLAM,U21MS,1735,Qualification,ELENSKY Gregory (ISR),CHANG Yao-Chun (TPE)
Chinese Taipei Open Taipei 2005,2005-06-16,MIZUNO Yuya,LI Hang,3,0,"11,11,12|8,8,10",,GRAND_SLAM,U21MS,1735,Qualification,MIZUNO Yuya (JPN),LI Hang (SGP)
Chinese Taipei Open Taipei 2005,2005-06-16,HUANG Wei-Chin,LIAO Hung-Wei,3,0,"11,11,11|8,6,8",QR2,GRAND_SLAM,U21MS,1735,Qualification,HUANG Wei-Chin (TPE),LIAO Hung-Wei (TPE)
Chinese Taipei Open Taipei 2005,2005-06-16,LI Hang,LIAO Hung-Wei,3,1,"11,2,11,11|6,11,2,5",3,GRAND_SLAM,U21MS,1735,Qualification,LI Hang (SGP),LIAO Hung-Wei (TPE)
Chinese Taipei Open Taipei 2005,2005-06-16,MIZUNO Yuya,HUANG Wei-Chin,3,1,"4,11,11,11|11,4,8,5",QR4,GRAND_SLAM,U21MS,1735,Qualification,MIZUNO Yuya (JPN),HUANG Wei-Chin (TPE)
