tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
Pro Tour Slovenia Open Velenje 2010,2010-01-19,MENGEL Steffen,LAGOGIANNIS Konstantinos,4,2,"11,11,12,11,8,11|13,5,10,4,11,8",QR64,GRAND_SLAM,MS,65,Qualification,MENGEL Steffen (GER),LAGOGIANNIS Konstantinos (GRE)
Pro Tour Slovenia Open Velenje 2010,2010-01-19,DANIEL Artur,LIVENTSOV Alexey,4,3,"11,9,11,7,12,11,11|6,11,8,11,14,8,6",QR64,GRAND_SLAM,MS,65,Qualification,DANIEL Artur (POL),LIVENTSOV Alexey (RUS)
Pro Tour Slovenia Open Velenje 2010,2010-01-19,KIM Minseok,BOBILLIER Loic,4,1,"9,11,11,11,11|11,9,7,4,7",QR64,GRAND_SLAM,MS,65,Qualification,KIM Minseok (KOR),BOBILLIER Loic (FRA)
Pro Tour Slovenia Open Velenje 2010,2010-01-19,JEOUNG Youngsik,JEVTOVIC Marko,4,0,"11,11,12,11|6,9,10,5",QR64,GRAND_SLAM,MS,65,Qualification,JEOUNG Youngsik (KOR),JEVTOVIC Marko (SRB)
Pro Tour Slovenia Open Velenje 2010,2010-01-19,SHIBAEV Alexander,HABESOHN Daniel,4,1,"12,11,6,11,11|10,7,11,6,2",QR64,GRAND_SLAM,MS,65,Qualification,SHIBAEV Alexander (RUS),HABESOHN Daniel (AUT)
Pro Tour Slovenia Open Velenje 2010,2010-01-19,LEE Sang Su,LAKEEV Vasily,4,0,"11,13,11,11|8,11,4,8",QR64,GRAND_SLAM,MS,65,Qualification,LEE Sang Su (KOR),LAKEEV Vasily (RUS)
Pro Tour Slovenia Open Velenje 2010,2010-01-19,VLASOV Grigory,FAZEKAS Peter,4,2,"9,11,14,11,8,11|11,8,12,7,11,8",QR64,GRAND_SLAM,MS,65,Qualification,VLASOV Grigory (RUS),FAZEKAS Peter (HUN)
Pro Tour Slovenia Open Velenje 2010,2010-01-19,JOVER Sebastien,FENG Xiaoquan,4,0,"11,11,11,12|9,9,6,10",QR64,GRAND_SLAM,MS,65,Qualification,JOVER Sebastien (FRA),FENG Xiaoquan (AUT)
Pro Tour Slovenia Open Velenje 2010,2010-01-19,PETO Zsolt,JUZBASIC Ivan,4,2,"11,11,12,11,6,11|9,8,14,9,11,7",QR64,GRAND_SLAM,MS,65,Qualification,PETO Zsolt (SRB),JUZBASIC Ivan (CRO)
Pro Tour Slovenia Open Velenje 2010,2010-01-19,CHMIEL Pawel,STERNBERG Kasper,4,3,"11,11,11,8,7,6,11|4,2,4,11,11,11,8",QR64,GRAND_SLAM,MS,65,Qualification,CHMIEL Pawel (POL),STERNBERG Kasper (DEN)
Pro Tour Slovenia Open Velenje 2010,2010-01-19,CARNEROS Alfredo,ZHMUDENKO Yaroslav,4,3,"9,9,9,11,11,11,13|11,11,11,6,6,9,11",QR64,GRAND_SLAM,MS,65,Qualification,CARNEROS Alfredo (ESP),ZHMUDENKO Yaroslav (UKR)
Pro Tour Slovenia Open Velenje 2010,2010-01-19,BARDON Michal,SIMONCIK Josef,4,3,"11,11,11,9,6,8,11|8,5,9,11,11,11,9",QR64,GRAND_SLAM,MS,65,Qualification,BARDON Michal (SVK),SIMONCIK Josef (CZE)
Pro Tour Slovenia Open Velenje 2010,2010-01-19,TSUBOI Gustavo,JANCARIK Lubomir,4,0,"11,11,11,11|8,6,6,9",QR64,GRAND_SLAM,MS,65,Qualification,TSUBOI Gustavo (BRA),JANCARIK Lubomir (CZE)
Pro Tour Slovenia Open Velenje 2010,2010-01-19,REDJEP Ronald,OBESLO Michal,4,2,"12,11,11,9,6,15|10,8,6,11,11,13",QR64,GRAND_SLAM,MS,65,Qualification,REDJEP Ronald (CRO),OBESLO Michal (CZE)
Pro Tour Slovenia Open Velenje 2010,2010-01-19,ILLAS Erik,TREGLER Tomas,4,3,"9,6,11,11,6,11,13|11,11,7,7,11,9,11",QR64,GRAND_SLAM,MS,65,Qualification,ILLAS Erik (SVK),TREGLER Tomas (CZE)
Pro Tour Slovenia Open Velenje 2010,2010-01-19,VOSTES Yannick,GAVLAS Antonin,4,1,"11,11,6,11,12|8,4,11,9,10",QR64,GRAND_SLAM,MS,65,Qualification,VOSTES Yannick (BEL),GAVLAS Antonin (CZE)
Pro Tour Slovenia Open Velenje 2010,2010-01-19,IONESCU Ovidiu,SALIFOU Abdel-Kader,4,3,"10,14,4,11,9,11,11|12,12,11,7,11,9,6",QR64,GRAND_SLAM,MS,65,Qualification,IONESCU Ovidiu (ROU),SALIFOU Abdel-Kader (BEN)
Pro Tour Slovenia Open Velenje 2010,2010-01-19,BURGIS Matiss,KONECNY Tomas,4,1,"11,8,11,11,13|8,11,8,9,11",QR64,GRAND_SLAM,MS,65,Qualification,BURGIS Matiss (LAT),KONECNY Tomas (CZE)
Pro Tour Slovenia Open Velenje 2010,2010-01-19,SCHAFFER Daniel,CRHA Jakub,3,0,"11,11,11|4,2,8",QR8,GRAND_SLAM,U21MS,65,Qualification,SCHAFFER Daniel (HUN),CRHA Jakub (CZE)
Pro Tour Slovenia Open Velenje 2010,2010-01-19,GROTH Jonathan,MORICZ Mate,3,0,"11,11,11|5,7,9",QR8,GRAND_SLAM,U21MS,65,Qualification,GROTH Jonathan (DEN),MORICZ Mate (HUN)
Pro Tour Slovenia Open Velenje 2010,2010-01-19,DIEZ Endika,CREPULJA Bojan,3,1,"10,11,11,11|12,4,4,8",QR8,GRAND_SLAM,U21MS,65,Qualification,DIEZ Endika (ESP),CREPULJA Bojan (SRB)
Pro Tour Slovenia Open Velenje 2010,2010-01-19,PARK Miyoung,AMBRUS Timea,4,0,"11,11,11,11|5,3,3,6",R64,GRAND_SLAM,WS,65,Main Draw,PARK Miyoung (KOR),AMBRUS Timea (HUN)
Pro Tour Slovenia Open Velenje 2010,2010-01-19,RAMIREZ Sara,JONSSON Carina,4,1,"11,8,11,11,11|4,11,6,8,5",R64,GRAND_SLAM,WS,65,Main Draw,RAMIREZ Sara (ESP),JONSSON Carina (SWE)
Pro Tour Slovenia Open Velenje 2010,2010-01-19,LI Xue,WANG Yu (YOB=1981),4,0,"13,11,11,11|11,5,7,4",R64,GRAND_SLAM,WS,65,Main Draw,LI Xue (FRA),WANG Yu (YOB=1981) (ITA)
Pro Tour Slovenia Open Velenje 2010,2010-01-19,PESOTSKA Margaryta,KO Somi,4,0,"11,11,15,12|5,8,13,10",R64,GRAND_SLAM,WS,65,Main Draw,PESOTSKA Margaryta (UKR),KO Somi (KOR)
Pro Tour Slovenia Open Velenje 2010,2010-01-19,SOLJA Amelie,SEOK Hajung,4,3,"11,10,11,7,11,11,11|13,12,9,11,7,9,3",R64,GRAND_SLAM,WS,65,Main Draw,SOLJA Amelie (AUT),SEOK Hajung (KOR)
Pro Tour Slovenia Open Velenje 2010,2010-01-19,SUH Hyo Won,GANINA Svetlana,4,1,"11,9,11,11,11|5,11,5,9,9",R64,GRAND_SLAM,WS,65,Main Draw,SUH Hyo Won (KOR),GANINA Svetlana (RUS)
