tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
ITTF Challenge Indonesia Open Jogjakarta 2019,2019-11-13,COK Isa,CAI Fong-En,3,0,"11,11,11|5,5,5",,OLYMPICS,U21WS,2044,Qualification,CAI Fong-En (TPE),COK Isa (FRA),COK Isa
ITTF Challenge Indonesia Open Jogjakarta 2019,2019-11-13,YU Hsiu-Ting,RAHMA Lesty Salsabila,3,0,"11,11,11|4,3,5",,OLYMPICS,U21WS,2044,Qualification,YU Hsiu-Ting (TPE),RAHMA Lesty Salsabila (INA),YU Hsiu-Ting
ITTF Challenge Indonesia Open Jogjakarta 2019,2019-11-13,CRUZ Kheith,ZHANG Wanling,3,0,"11,11,11|9,9,5",,OLYMPICS,U21WS,2044,Qualification,ZHANG Wanling (SGP),CRUZ Kheith (PHI),CRUZ Kheith
ITTF Challenge Indonesia Open Jogjakarta 2019,2019-11-13,NOMURA Moe,LIM Eunice,3,0,"11,11,11|7,1,7",,OLYMPICS,U21WS,2044,Qualification,NOMURA Moe (JPN),LIM Eunice (SGP),NOMURA Moe
ITTF Challenge Indonesia Open Jogjakarta 2019,2019-11-13,GHOSH Swastika,KHOIRUNISA,3,0,"11,11,11|3,2,2",,OLYMPICS,U21WS,2044,Qualification,GHOSH Swastika (IND),KHOIRUNISA (INA),GHOSH Swastika
ITTF Challenge Indonesia Open Jogjakarta 2019,2019-11-13,YOKOTANI Jo,CHUA Josh,3,1,"11,11,11,11|13,4,6,5",,OLYMPICS,U21MS,2044,Qualification,CHUA Josh (SGP),YOKOTANI Jo (JPN),YOKOTANI Jo
ITTF Challenge Indonesia Open Jogjakarta 2019,2019-11-13,BHAGWANI Deepash,ALBALUSHI Salah,3,0,"11,11,11|8,6,7",,OLYMPICS,U21MS,2044,Qualification,ALBALUSHI Salah (UAE),BHAGWANI Deepash (INA),BHAGWANI Deepash
ITTF Challenge Indonesia Open Jogjakarta 2019,2019-11-13,ALBALOOSHI Abdulla,RIYANTO Muhammad Ilham,3,0,"11,11,11|2,7,7",,OLYMPICS,U21MS,2044,Qualification,ALBALOOSHI Abdulla (UAE),RIYANTO Muhammad Ilham (INA),ALBALOOSHI Abdulla
ITTF Challenge Indonesia Open Jogjakarta 2019,2019-11-13,BARDET Lilian,KOH Dominic,3,2,"11,11,12,14,11|5,8,14,16,4",,OLYMPICS,U21MS,2044,Qualification,BARDET Lilian (FRA),KOH Dominic (SGP),BARDET Lilian
ITTF Challenge Indonesia Open Jogjakarta 2019,2019-11-13,PICARD Vincent,ABDULWAHHAB Mohammed,3,2,"10,11,9,11,11|12,2,11,5,6",,OLYMPICS,U21MS,2044,Qualification,ABDULWAHHAB Mohammed (QAT),PICARD Vincent (FRA),PICARD Vincent
