tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
World Tour Kuwait Open Kuwait City 2013,2013-02-14,MIZUTANI Jun,GAUZY Simon,4,0,"11,11,11,11|4,4,9,5",R32,GRAND_SLAM,MS,108,Main Draw,MIZUTANI Jun (JPN),GAUZY Simon (FRA)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,YAN An,KISHIKAWA Seiya,4,2,"11,9,11,5,11,13|8,11,5,11,4,11",R32,GRAND_SLAM,MS,108,Main Draw,YAN An (CHN),KISHIKAWA Seiya (JPN)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,FREITAS Marcos,FEGERL Stefan,4,3,"11,3,7,8,12,13,11|7,11,11,11,10,11,6",R32,GRAND_SLAM,MS,108,Main Draw,FREITAS Marcos (POR),FEGERL Stefan (AUT)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,MA Long,LIVENTSOV Alexey,4,0,"12,11,11,11|10,7,6,7",R32,GRAND_SLAM,MS,108,Main Draw,MA Long (CHN),LIVENTSOV Alexey (RUS)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,WANG Hao,WANG Eugene,4,2,"9,13,11,11,10,11|11,11,8,8,12,9",R32,GRAND_SLAM,MS,108,Main Draw,WANG Hao (CHN),WANG Eugene (CAN)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,CHO Eonrae,JEONG Sangeun,4,3,"13,10,7,12,12,11,11|15,12,11,10,10,7,3",R32,GRAND_SLAM,MS,108,Main Draw,CHO Eonrae (KOR),JEONG Sangeun (KOR)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,KANG Dongsoo,FANG Bo,4,3,"8,11,7,11,7,11,11|11,9,11,9,11,8,7",R32,GRAND_SLAM,MS,108,Main Draw,KANG Dongsoo (KOR),FANG Bo (KAZ)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,CHUANG Chih-Yuan,GARDOS Robert,4,1,"14,9,11,11,11|12,11,8,7,3",R32,GRAND_SLAM,MS,108,Main Draw,CHUANG Chih-Yuan (TPE),GARDOS Robert (AUT)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,HUNG Tzu-Hsiang,MURAMATSU Yuto,4,1,"11,7,11,11,12|7,11,5,8,10",R32,GRAND_SLAM,MS,108,Main Draw,HUNG Tzu-Hsiang (TPE),MURAMATSU Yuto (JPN)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,STEGER Bastian,ACHANTA Sharath,4,0,"11,11,11,11|5,7,8,3",R32,GRAND_SLAM,MS,108,Main Draw,STEGER Bastian (GER),ACHANTA Sharath (IND)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,GAO Ning,ROBINOT Quentin,4,1,"12,11,6,11,11|10,3,11,9,6",R32,GRAND_SLAM,MS,108,Main Draw,GAO Ning (SGP),ROBINOT Quentin (FRA)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,ZHANG Jike,HABESOHN Daniel,4,0,"11,13,11,12|4,11,5,10",R32,GRAND_SLAM,MS,108,Main Draw,ZHANG Jike (CHN),HABESOHN Daniel (AUT)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,XU Xin,JEOUNG Youngsik,4,1,"12,14,11,9,11|10,12,5,11,6",R16,GRAND_SLAM,MS,108,Main Draw,XU Xin (CHN),JEOUNG Youngsik (KOR)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,OVTCHAROV Dimitrij,KIM Minseok,4,2,"6,11,11,11,9,11|11,3,3,9,11,6",R16,GRAND_SLAM,MS,108,Main Draw,OVTCHAROV Dimitrij (GER),KIM Minseok (KOR)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,MIZUTANI Jun,YAN An,4,3,"11,13,11,10,9,7,11|9,11,9,12,11,11,8",R16,GRAND_SLAM,MS,108,Main Draw,MIZUTANI Jun (JPN),YAN An (CHN)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,MA Long,FREITAS Marcos,4,0,"11,11,11,11|7,7,7,8",R16,GRAND_SLAM,MS,108,Main Draw,MA Long (CHN),FREITAS Marcos (POR)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,WANG Hao,CHO Eonrae,4,0,"11,11,11,11|4,3,5,9",R16,GRAND_SLAM,MS,108,Main Draw,WANG Hao (CHN),CHO Eonrae (KOR)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,CHUANG Chih-Yuan,KANG Dongsoo,4,3,"11,8,8,11,2,11,11|8,11,11,3,11,8,9",R16,GRAND_SLAM,MS,108,Main Draw,CHUANG Chih-Yuan (TPE),KANG Dongsoo (KOR)
