tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
GAC Group World Tour German Open Bremen 2015,2015-03-18,GU Ruochen,POTA Georgina,4,0,"11,11,11,11|6,4,7,5",R16,GRAND_SLAM,WS,5,Main Draw,GU Ruochen (CHN),POTA Georgina (HUN),GU Ruochen
GAC Group World Tour German Open Bremen 2015,2015-03-18,LI Qian,YANG Ha Eun,4,2,"11,8,11,14,8,11|6,11,8,12,11,7",R16,GRAND_SLAM,WS,5,Main Draw,YANG Ha Eun (KOR),LI Qian (POL),LI Qian
GAC Group World Tour German Open Bremen 2015,2015-03-18,ITO Mima,SHAN Xiaona,4,3,"10,12,6,10,11,14,12|12,10,11,12,4,12,10",R16,GRAND_SLAM,WS,5,Main Draw,ITO Mima (JPN),SHAN Xiaona (GER),ITO Mima
GAC Group World Tour German Open Bremen 2015,2015-03-18,CHE Xiaoxi,LIU Jia,4,0,"11,11,11,11|7,5,7,8",R16,GRAND_SLAM,WS,5,Main Draw,CHE Xiaoxi (CHN),LIU Jia (AUT),CHE Xiaoxi
GAC Group World Tour German Open Bremen 2015,2015-03-18,LIU Fei,DOO Hoi Kem,4,0,"11,12,11,11|6,10,3,7",R16,GRAND_SLAM,WS,5,Main Draw,DOO Hoi Kem (HKG),LIU Fei (CHN),LIU Fei
GAC Group World Tour German Open Bremen 2015,2015-03-18,FENG Tianwei,LI Jiayuan,4,3,"11,9,4,13,11,15,11|5,11,11,11,8,17,7",R16,GRAND_SLAM,WS,5,Main Draw,LI Jiayuan (CHN),FENG Tianwei (SGP),FENG Tianwei
GAC Group World Tour German Open Bremen 2015,2015-03-18,SOLJA Petrissa,ISHIKAWA Kasumi,4,0,"11,11,11,13|4,7,6,11",QF,GRAND_SLAM,WS,5,Main Draw,ISHIKAWA Kasumi (JPN),SOLJA Petrissa (GER),SOLJA Petrissa
GAC Group World Tour German Open Bremen 2015,2015-03-18,GU Ruochen,LI Qian,4,3,"3,7,11,11,9,14,11|11,11,5,8,11,12,9",QF,GRAND_SLAM,WS,5,Main Draw,GU Ruochen (CHN),LI Qian (POL),GU Ruochen
GAC Group World Tour German Open Bremen 2015,2015-03-18,ITO Mima,CHE Xiaoxi,4,0,"11,11,12,11|7,7,10,9",QF,GRAND_SLAM,WS,5,Main Draw,ITO Mima (JPN),CHE Xiaoxi (CHN),ITO Mima
GAC Group World Tour German Open Bremen 2015,2015-03-18,FENG Tianwei,LIU Fei,4,2,"7,15,11,11,9,16|11,13,9,9,11,14",QF,GRAND_SLAM,WS,5,Main Draw,LIU Fei (CHN),FENG Tianwei (SGP),FENG Tianwei
GAC Group World Tour German Open Bremen 2015,2015-03-18,SOLJA Petrissa,GU Ruochen,4,2,"11,11,11,6,7,11|6,5,9,11,11,8",SF,GRAND_SLAM,WS,5,Main Draw,SOLJA Petrissa (GER),GU Ruochen (CHN),SOLJA Petrissa
GAC Group World Tour German Open Bremen 2015,2015-03-18,ITO Mima,FENG Tianwei,4,0,"13,11,11,11|11,7,6,7",SF,GRAND_SLAM,WS,5,Main Draw,ITO Mima (JPN),FENG Tianwei (SGP),ITO Mima
GAC Group World Tour German Open Bremen 2015,2015-03-18,ITO Mima,SOLJA Petrissa,4,2,"9,13,7,11,14,12|11,11,11,7,12,10",F,GRAND_SLAM,WS,5,Main Draw,SOLJA Petrissa (GER),ITO Mima (JPN),ITO Mima
GAC Group World Tour German Open Bremen 2015,2015-03-18,KIM Minhyeok,MACHI Asuka,3,0,"11,11,11|9,4,0",R16,GRAND_SLAM,U21MS,5,Main Draw,MACHI Asuka (JPN),KIM Minhyeok (KOR),KIM Minhyeok
GAC Group World Tour German Open Bremen 2015,2015-03-18,SAKAI Asuka,LIM Jonghoon,3,0,"14,11,12|12,7,10",R16,GRAND_SLAM,U21MS,5,Main Draw,LIM Jonghoon (KOR),SAKAI Asuka (JPN),SAKAI Asuka
GAC Group World Tour German Open Bremen 2015,2015-03-18,DUDA Benedikt,CHEN Feng,3,2,"8,11,11,5,13|11,9,4,11,11",R16,GRAND_SLAM,U21MS,5,Main Draw,CHEN Feng (SGP),DUDA Benedikt (GER),DUDA Benedikt
GAC Group World Tour German Open Bremen 2015,2015-03-18,YOSHIDA Masaki,WALKER Samuel,3,0,"11,11,11|7,9,6",R16,GRAND_SLAM,U21MS,5,Main Draw,WALKER Samuel (ENG),YOSHIDA Masaki (JPN),YOSHIDA Masaki
GAC Group World Tour German Open Bremen 2015,2015-03-18,JANG Woojin,HACHARD Antoine,3,0,"11,11,11|7,7,4",R16,GRAND_SLAM,U21MS,5,Main Draw,JANG Woojin (KOR),HACHARD Antoine (FRA),JANG Woojin
