tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
GAC Group World Tour Polish Open Warsaw 2015,2015-10-21,OVTCHAROV Dimitrij,GACINA Andrej,4,1,"11,11,12,5,11|4,8,10,11,4",R16,GRAND_SLAM,MS,21,Main Draw,OVTCHAROV Dimitrij (GER),GACINA Andrej (CRO),OVTCHAROV Dimitrij
GAC Group World Tour Polish Open Warsaw 2015,2015-10-21,ZHANG Jike,GAO Ning,4,0,"11,11,11,11|4,2,6,5",R16,GRAND_SLAM,MS,21,Main Draw,GAO Ning (SGP),ZHANG Jike (CHN),ZHANG Jike
GAC Group World Tour Polish Open Warsaw 2015,2015-10-21,FAN Zhendong,SHIBAEV Alexander,4,1,"11,7,13,11,11|8,11,11,5,6",R16,GRAND_SLAM,MS,21,Main Draw,FAN Zhendong (CHN),SHIBAEV Alexander (RUS),FAN Zhendong
GAC Group World Tour Polish Open Warsaw 2015,2015-10-21,WANG Yang,CHUANG Chih-Yuan,4,3,"7,11,11,11,6,4,11|11,7,6,9,11,11,9",R16,GRAND_SLAM,MS,21,Main Draw,WANG Yang (SVK),CHUANG Chih-Yuan (TPE),WANG Yang
GAC Group World Tour Polish Open Warsaw 2015,2015-10-21,WONG Chun Ting,MIZUTANI Jun,4,3,"12,6,4,11,14,11,11|14,11,11,7,12,5,7",R16,GRAND_SLAM,MS,21,Main Draw,MIZUTANI Jun (JPN),WONG Chun Ting (HKG),WONG Chun Ting
GAC Group World Tour Polish Open Warsaw 2015,2015-10-21,XU Xin,FRANZISKA Patrick,4,0,"11,11,11,11|3,5,9,5",R16,GRAND_SLAM,MS,21,Main Draw,FRANZISKA Patrick (GER),XU Xin (CHN),XU Xin
GAC Group World Tour Polish Open Warsaw 2015,2015-10-21,FEGERL Stefan,KARLSSON Mattias,4,3,"11,11,8,11,11,7,11|3,6,11,13,5,11,8",QF,GRAND_SLAM,MS,21,Main Draw,KARLSSON Mattias (SWE),FEGERL Stefan (AUT),FEGERL Stefan
GAC Group World Tour Polish Open Warsaw 2015,2015-10-21,ZHANG Jike,OVTCHAROV Dimitrij,4,0,"11,11,11,11|2,0,0,0",QF,GRAND_SLAM,MS,21,Main Draw,OVTCHAROV Dimitrij (GER),ZHANG Jike (CHN),ZHANG Jike
GAC Group World Tour Polish Open Warsaw 2015,2015-10-21,FAN Zhendong,WANG Yang,4,0,"11,11,11,11|5,7,8,7",QF,GRAND_SLAM,MS,21,Main Draw,FAN Zhendong (CHN),WANG Yang (SVK),FAN Zhendong
GAC Group World Tour Polish Open Warsaw 2015,2015-10-21,XU Xin,WONG Chun Ting,4,1,"11,11,11,5,11|3,3,5,11,3",QF,GRAND_SLAM,MS,21,Main Draw,WONG Chun Ting (HKG),XU Xin (CHN),XU Xin
GAC Group World Tour Polish Open Warsaw 2015,2015-10-21,FEGERL Stefan,ZHANG Jike,4,2,"17,6,8,11,11,15|15,11,11,8,3,13",SF,GRAND_SLAM,MS,21,Main Draw,FEGERL Stefan (AUT),ZHANG Jike (CHN),FEGERL Stefan
GAC Group World Tour Polish Open Warsaw 2015,2015-10-21,FAN Zhendong,XU Xin,4,2,"12,4,7,11,11,11|10,11,11,8,8,6",SF,GRAND_SLAM,MS,21,Main Draw,FAN Zhendong (CHN),XU Xin (CHN),FAN Zhendong
GAC Group World Tour Polish Open Warsaw 2015,2015-10-21,FAN Zhendong,FEGERL Stefan,4,3,"11,9,9,11,11,8,11|1,11,11,3,7,11,7",F,GRAND_SLAM,MS,21,Main Draw,FEGERL Stefan (AUT),FAN Zhendong (CHN),FAN Zhendong
GAC Group World Tour Polish Open Warsaw 2015,2015-10-21,DING Ning,MATSUDAIRA Shiho,4,0,"11,11,11,11|7,3,6,4",R64,GRAND_SLAM,WS,21,Main Draw,DING Ning (CHN),MATSUDAIRA Shiho (JPN),DING Ning
GAC Group World Tour Polish Open Warsaw 2015,2015-10-21,PROKHOROVA Yulia,GRZYBOWSKA-FRANC Katarzyna,4,3,"12,11,9,7,11,8,11|10,9,11,11,8,11,8",R64,GRAND_SLAM,WS,21,Main Draw,PROKHOROVA Yulia (RUS),GRZYBOWSKA-FRANC Katarzyna (POL),PROKHOROVA Yulia
GAC Group World Tour Polish Open Warsaw 2015,2015-10-21,LEE Ho Ching,ZHOU Yihan,4,2,"11,11,11,5,14,11|13,6,7,11,12,9",R64,GRAND_SLAM,WS,21,Main Draw,LEE Ho Ching (HKG),ZHOU Yihan (SGP),LEE Ho Ching
GAC Group World Tour Polish Open Warsaw 2015,2015-10-21,HIRANO Miu,POLCANOVA Sofia,4,1,"11,13,7,11,11|3,11,11,4,4",R64,GRAND_SLAM,WS,21,Main Draw,POLCANOVA Sofia (AUT),HIRANO Miu (JPN),HIRANO Miu
GAC Group World Tour Polish Open Warsaw 2015,2015-10-21,SHAN Xiaona,MATELOVA Hana,4,0,"11,11,11,11|2,5,7,4",R64,GRAND_SLAM,WS,21,Main Draw,SHAN Xiaona (GER),MATELOVA Hana (CZE),SHAN Xiaona
GAC Group World Tour Polish Open Warsaw 2015,2015-10-21,SATO Hitomi,DIACONU Adina,4,1,"12,6,13,11,15|10,11,11,7,13",R64,GRAND_SLAM,WS,21,Main Draw,DIACONU Adina (ROU),SATO Hitomi (JPN),SATO Hitomi
GAC Group World Tour Polish Open Warsaw 2015,2015-10-21,TIE Yana,EKHOLM Matilda,4,0,"12,11,12,11|10,6,10,8",R64,GRAND_SLAM,WS,21,Main Draw,TIE Yana (HKG),EKHOLM Matilda (SWE),TIE Yana
GAC Group World Tour Polish Open Warsaw 2015,2015-10-21,FENG Tianwei,GRUNDISCH Carole,4,0,"11,11,11,11|8,6,4,8",R64,GRAND_SLAM,WS,21,Main Draw,GRUNDISCH Carole (FRA),FENG Tianwei (SGP),FENG Tianwei
GAC Group World Tour Polish Open Warsaw 2015,2015-10-21,PARTYKA Natalia,ISHIKAWA Kasumi,4,2,"5,12,11,11,4,11|11,10,9,9,11,4",R64,GRAND_SLAM,WS,21,Main Draw,ISHIKAWA Kasumi (JPN),PARTYKA Natalia (POL),PARTYKA Natalia
GAC Group World Tour Polish Open Warsaw 2015,2015-10-21,SAMARA Elizabeta,ODOROVA Eva,4,1,"11,11,11,9,11|9,8,9,11,6",R64,GRAND_SLAM,WS,21,Main Draw,ODOROVA Eva (SVK),SAMARA Elizabeta (ROU),SAMARA Elizabeta
GAC Group World Tour Polish Open Warsaw 2015,2015-10-21,WU Jiaduo,DVORAK Galia,4,3,"11,8,11,11,6,11,11|13,11,6,7,11,6,9",R64,GRAND_SLAM,WS,21,Main Draw,WU Jiaduo (GER),DVORAK Galia (ESP),WU Jiaduo
GAC Group World Tour Polish Open Warsaw 2015,2015-10-21,WU Yang,STRBIKOVA Renata,4,0,"11,11,11,11|6,8,9,4",R64,GRAND_SLAM,WS,21,Main Draw,STRBIKOVA Renata (CZE),WU Yang (CHN),WU Yang
GAC Group World Tour Polish Open Warsaw 2015,2015-10-21,ZENG Jian,HIRANO Sayaka,4,0,"11,11,11,11|5,6,3,7",R64,GRAND_SLAM,WS,21,Main Draw,HIRANO Sayaka (JPN),ZENG Jian (SGP),ZENG Jian
GAC Group World Tour Polish Open Warsaw 2015,2015-10-21,LI Qian,HAMAMOTO Yui,4,1,"11,11,6,12,11|7,5,11,10,8",R64,GRAND_SLAM,WS,21,Main Draw,HAMAMOTO Yui (AUT),LI Qian (POL),LI Qian
GAC Group World Tour Polish Open Warsaw 2015,2015-10-21,SOLJA Petrissa,SAKAI Haruka,4,1,"11,9,11,12,11|7,11,7,10,5",R64,GRAND_SLAM,WS,21,Main Draw,SOLJA Petrissa (GER),SAKAI Haruka (JPN),SOLJA Petrissa
GAC Group World Tour Polish Open Warsaw 2015,2015-10-21,LI Xiaoxia,HUANG Yu-Chiao,4,0,"11,17,11,11|9,15,5,7",R64,GRAND_SLAM,WS,21,Main Draw,HUANG Yu-Chiao (TPE),LI Xiaoxia (CHN),LI Xiaoxia
GAC Group World Tour Polish Open Warsaw 2015,2015-10-21,ZHU Yuling,BALINT Bernadett,4,0,"11,11,11,11|5,3,5,6",R64,GRAND_SLAM,WS,21,Main Draw,ZHU Yuling (MAC),BALINT Bernadett (HUN),ZHU Yuling
GAC Group World Tour Polish Open Warsaw 2015,2015-10-21,LIN Ye,KHETKHUAN Tamolwan,4,2,"11,11,11,11,8,11|9,13,7,4,11,6",R64,GRAND_SLAM,WS,21,Main Draw,KHETKHUAN Tamolwan (THA),LIN Ye (CAN),LIN Ye
GAC Group World Tour Polish Open Warsaw 2015,2015-10-21,WAKAMIYA Misako,NOSKOVA Yana,4,1,"11,8,11,15,11|5,11,9,13,6",R64,GRAND_SLAM,WS,21,Main Draw,WAKAMIYA Misako (JPN),NOSKOVA Yana (RUS),WAKAMIYA Misako
GAC Group World Tour Polish Open Warsaw 2015,2015-10-21,HAN Ying,IACOB Camelia,4,1,"11,10,11,12,11|7,12,7,10,4",R64,GRAND_SLAM,WS,21,Main Draw,IACOB Camelia (ROU),HAN Ying (GER),HAN Ying
GAC Group World Tour Polish Open Warsaw 2015,2015-10-21,JIANG Huajun,ZHANG Lily,4,1,"11,11,3,12,11|9,5,11,10,7",R64,GRAND_SLAM,WS,21,Main Draw,JIANG Huajun (HKG),ZHANG Lily (USA),JIANG Huajun
GAC Group World Tour Polish Open Warsaw 2015,2015-10-21,SHAO Jieni,YANG Xiaoxin,4,2,"9,12,11,13,7,11|11,10,8,11,11,9",R64,GRAND_SLAM,WS,21,Main Draw,SHAO Jieni (POR),YANG Xiaoxin (MON),SHAO Jieni
GAC Group World Tour Polish Open Warsaw 2015,2015-10-21,KATO Miyu,SAWETTABUT Suthasini,4,2,"11,3,12,11,9,11|8,11,10,7,11,8",R64,GRAND_SLAM,WS,21,Main Draw,SAWETTABUT Suthasini (THA),KATO Miyu (JPN),KATO Miyu
GAC Group World Tour Polish Open Warsaw 2015,2015-10-21,CHEN Meng,MIGOT Marie,4,0,"11,11,11,11|5,7,9,2",R64,GRAND_SLAM,WS,21,Main Draw,MIGOT Marie (FRA),CHEN Meng (CHN),CHEN Meng
GAC Group World Tour Polish Open Warsaw 2015,2015-10-21,FUKUHARA Ai,LEE I-Chen,4,1,"11,11,11,8,12|4,3,3,11,10",R64,GRAND_SLAM,WS,21,Main Draw,FUKUHARA Ai (JPN),LEE I-Chen (TPE),FUKUHARA Ai
GAC Group World Tour Polish Open Warsaw 2015,2015-10-21,LANG Kristin,PERGEL Szandra,4,1,"5,11,11,11,13|11,4,7,7,11",R64,GRAND_SLAM,WS,21,Main Draw,PERGEL Szandra (HUN),LANG Kristin (GER),LANG Kristin
GAC Group World Tour Polish Open Warsaw 2015,2015-10-21,POTA Georgina,KOMWONG Nanthana,4,0,"11,11,11,12|8,7,9,10",R64,GRAND_SLAM,WS,21,Main Draw,POTA Georgina (HUN),KOMWONG Nanthana (THA),POTA Georgina
GAC Group World Tour Polish Open Warsaw 2015,2015-10-21,ISHIGAKI Yuka,HUANG Yi-Hua,4,1,"8,11,11,13,12|11,3,7,11,10",R64,GRAND_SLAM,WS,21,Main Draw,HUANG Yi-Hua (TPE),ISHIGAKI Yuka (JPN),ISHIGAKI Yuka
GAC Group World Tour Polish Open Warsaw 2015,2015-10-21,ITO Mima,MADARASZ Dora,4,0,"11,11,11,11|7,5,7,7",R64,GRAND_SLAM,WS,21,Main Draw,ITO Mima (JPN),MADARASZ Dora (HUN),ITO Mima
GAC Group World Tour Polish Open Warsaw 2015,2015-10-21,YU Mengyu,PASKAUSKIENE Ruta,4,0,"11,11,11,11|8,3,6,9",R64,GRAND_SLAM,WS,21,Main Draw,PASKAUSKIENE Ruta (LTU),YU Mengyu (SGP),YU Mengyu
GAC Group World Tour Polish Open Warsaw 2015,2015-10-21,BILENKO Tetyana,KUSINSKA Klaudia,4,3,"11,14,11,9,6,3,11|5,12,8,11,11,11,9",R64,GRAND_SLAM,WS,21,Main Draw,BILENKO Tetyana (UKR),KUSINSKA Klaudia (POL),BILENKO Tetyana
GAC Group World Tour Polish Open Warsaw 2015,2015-10-21,LIU Shiwen,ZHENG Jiaqi,4,1,"9,11,11,11,11|11,9,7,8,7",R64,GRAND_SLAM,WS,21,Main Draw,ZHENG Jiaqi (USA),LIU Shiwen (CHN),LIU Shiwen
GAC Group World Tour Polish Open Warsaw 2015,2015-10-21,DING Ning,PROKHOROVA Yulia,4,0,"11,11,11,11|2,8,5,4",R32,GRAND_SLAM,WS,21,Main Draw,DING Ning (CHN),PROKHOROVA Yulia (RUS),DING Ning
GAC Group World Tour Polish Open Warsaw 2015,2015-10-21,HIRANO Miu,LEE Ho Ching,4,3,"7,11,11,6,8,11,11|11,4,7,11,11,7,7",R32,GRAND_SLAM,WS,21,Main Draw,LEE Ho Ching (HKG),HIRANO Miu (JPN),HIRANO Miu
