tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
World Tour Kuwait Open Kuwait City 2016,2016-03-16,MA Long,GERALDO Joao,4,0,"11,11,11,13|6,5,6,11",R32,GRAND_SLAM,MS,27,Main Draw,MA Long (CHN),GERALDO Joao (POR),MA Long
World Tour Kuwait Open Kuwait City 2016,2016-03-16,OVTCHAROV Dimitrij,HO Kwan Kit,4,3,"7,11,9,7,11,11,11|11,5,11,11,8,7,9",R32,GRAND_SLAM,MS,27,Main Draw,HO Kwan Kit (HKG),OVTCHAROV Dimitrij (GER),OVTCHAROV Dimitrij
World Tour Kuwait Open Kuwait City 2016,2016-03-16,CHUANG Chih-Yuan,ZHAI Yujia,4,0,"12,11,11,13|10,9,8,11",R32,GRAND_SLAM,MS,27,Main Draw,CHUANG Chih-Yuan (TPE),ZHAI Yujia (DEN),CHUANG Chih-Yuan
World Tour Kuwait Open Kuwait City 2016,2016-03-16,TANG Peng,PATTANTYUS Adam,4,3,"11,11,9,6,11,7,11|3,9,11,11,9,11,6",R32,GRAND_SLAM,MS,27,Main Draw,PATTANTYUS Adam (HUN),TANG Peng (HKG),TANG Peng
World Tour Kuwait Open Kuwait City 2016,2016-03-16,JEOUNG Youngsik,NUYTINCK Cedric,4,1,"8,11,11,11,11|11,6,8,1,3",R32,GRAND_SLAM,MS,27,Main Draw,JEOUNG Youngsik (KOR),NUYTINCK Cedric (BEL),JEOUNG Youngsik
World Tour Kuwait Open Kuwait City 2016,2016-03-16,FAN Zhendong,TOKIC Bojan,4,0,"11,11,11,11|9,9,8,9",R32,GRAND_SLAM,MS,27,Main Draw,TOKIC Bojan (SLO),FAN Zhendong (CHN),FAN Zhendong
World Tour Kuwait Open Kuwait City 2016,2016-03-16,MA Long,LI Ahmet,4,0,"11,11,11,11|6,3,7,4",R16,GRAND_SLAM,MS,27,Main Draw,MA Long (CHN),LI Ahmet (TUR),MA Long
World Tour Kuwait Open Kuwait City 2016,2016-03-16,SAMSONOV Vladimir,LEE Sang Su,4,3,"9,11,11,11,6,10,11|11,7,2,4,11,12,6",R16,GRAND_SLAM,MS,27,Main Draw,LEE Sang Su (KOR),SAMSONOV Vladimir (BLR),SAMSONOV Vladimir
World Tour Kuwait Open Kuwait City 2016,2016-03-16,MIZUTANI Jun,NIWA Koki,4,1,"8,11,11,11,11|11,9,7,6,9",R16,GRAND_SLAM,MS,27,Main Draw,MIZUTANI Jun (JPN),NIWA Koki (JPN),MIZUTANI Jun
World Tour Kuwait Open Kuwait City 2016,2016-03-16,XU Xin,CALDERANO Hugo,4,1,"11,9,11,11,11|8,11,9,1,6",R16,GRAND_SLAM,MS,27,Main Draw,CALDERANO Hugo (BRA),XU Xin (CHN),XU Xin
World Tour Kuwait Open Kuwait City 2016,2016-03-16,ZHANG Jike,GACINA Andrej,4,0,"11,12,12,11|9,10,10,6",R16,GRAND_SLAM,MS,27,Main Draw,ZHANG Jike (CHN),GACINA Andrej (CRO),ZHANG Jike
World Tour Kuwait Open Kuwait City 2016,2016-03-16,OVTCHAROV Dimitrij,WONG Chun Ting,4,0,"15,11,11,11|13,8,6,9",R16,GRAND_SLAM,MS,27,Main Draw,WONG Chun Ting (HKG),OVTCHAROV Dimitrij (GER),OVTCHAROV Dimitrij
World Tour Kuwait Open Kuwait City 2016,2016-03-16,TANG Peng,CHUANG Chih-Yuan,4,1,"13,14,11,9,11|11,12,9,11,5",R16,GRAND_SLAM,MS,27,Main Draw,CHUANG Chih-Yuan (TPE),TANG Peng (HKG),TANG Peng
World Tour Kuwait Open Kuwait City 2016,2016-03-16,FAN Zhendong,JEOUNG Youngsik,4,2,"8,11,11,8,11,13|11,7,6,11,8,11",R16,GRAND_SLAM,MS,27,Main Draw,JEOUNG Youngsik (KOR),FAN Zhendong (CHN),FAN Zhendong
World Tour Kuwait Open Kuwait City 2016,2016-03-16,MA Long,SAMSONOV Vladimir,4,1,"11,11,11,7,11|8,3,6,11,6",QF,GRAND_SLAM,MS,27,Main Draw,MA Long (CHN),SAMSONOV Vladimir (BLR),MA Long
World Tour Kuwait Open Kuwait City 2016,2016-03-16,XU Xin,MIZUTANI Jun,4,3,"6,11,12,11,8,9,12|11,7,10,7,11,11,10",QF,GRAND_SLAM,MS,27,Main Draw,MIZUTANI Jun (JPN),XU Xin (CHN),XU Xin
World Tour Kuwait Open Kuwait City 2016,2016-03-16,ZHANG Jike,OVTCHAROV Dimitrij,4,3,"9,11,11,9,12,9,11|11,4,7,11,10,11,8",QF,GRAND_SLAM,MS,27,Main Draw,ZHANG Jike (CHN),OVTCHAROV Dimitrij (GER),ZHANG Jike
World Tour Kuwait Open Kuwait City 2016,2016-03-16,FAN Zhendong,TANG Peng,4,2,"9,9,11,11,11,11|11,11,8,3,6,8",QF,GRAND_SLAM,MS,27,Main Draw,TANG Peng (HKG),FAN Zhendong (CHN),FAN Zhendong
World Tour Kuwait Open Kuwait City 2016,2016-03-16,MA Long,XU Xin,4,1,"8,11,11,11,11|11,5,7,8,5",SF,GRAND_SLAM,MS,27,Main Draw,MA Long (CHN),XU Xin (CHN),MA Long
World Tour Kuwait Open Kuwait City 2016,2016-03-16,ZHANG Jike,FAN Zhendong,4,1,"11,12,3,11,11|9,10,11,9,9",SF,GRAND_SLAM,MS,27,Main Draw,ZHANG Jike (CHN),FAN Zhendong (CHN),ZHANG Jike
World Tour Kuwait Open Kuwait City 2016,2016-03-16,ZHANG Jike,MA Long,4,1,"11,11,5,12,11|9,9,11,10,9",F,GRAND_SLAM,MS,27,Main Draw,MA Long (CHN),ZHANG Jike (CHN),ZHANG Jike
World Tour Kuwait Open Kuwait City 2016,2016-03-16,LIU Shiwen,JIANG Huajun,4,2,"11,11,7,14,8,11|8,6,11,12,11,9",R32,GRAND_SLAM,WS,27,Main Draw,LIU Shiwen (CHN),JIANG Huajun (HKG),LIU Shiwen
World Tour Kuwait Open Kuwait City 2016,2016-03-16,SUH Hyo Won,HUANG Yi-Hua,4,0,"11,11,11,11|6,6,5,4",R32,GRAND_SLAM,WS,27,Main Draw,HUANG Yi-Hua (TPE),SUH Hyo Won (KOR),SUH Hyo Won
World Tour Kuwait Open Kuwait City 2016,2016-03-16,JEON Jihee,TIKHOMIROVA Anna,4,3,"9,11,11,9,6,11,11|11,8,8,11,11,6,7",R32,GRAND_SLAM,WS,27,Main Draw,JEON Jihee (KOR),TIKHOMIROVA Anna (RUS),JEON Jihee
World Tour Kuwait Open Kuwait City 2016,2016-03-16,LI Xiaoxia,DOO Hoi Kem,4,1,"11,11,11,11,11|4,13,8,5,6",R32,GRAND_SLAM,WS,27,Main Draw,DOO Hoi Kem (HKG),LI Xiaoxia (CHN),LI Xiaoxia
World Tour Kuwait Open Kuwait City 2016,2016-03-16,ISHIKAWA Kasumi,ZENG Jian,4,0,"11,11,11,11|6,4,7,6",R32,GRAND_SLAM,WS,27,Main Draw,ISHIKAWA Kasumi (JPN),ZENG Jian (SGP),ISHIKAWA Kasumi
World Tour Kuwait Open Kuwait City 2016,2016-03-16,SHAN Xiaona,MORI Sakura,4,3,"11,11,11,12,7,9,11|7,7,4,14,11,11,7",R32,GRAND_SLAM,WS,27,Main Draw,MORI Sakura (JPN),SHAN Xiaona (GER),SHAN Xiaona
World Tour Kuwait Open Kuwait City 2016,2016-03-16,CHENG I-Ching,KATO Miyu,4,1,"8,11,12,23,11|11,9,10,21,6",R32,GRAND_SLAM,WS,27,Main Draw,CHENG I-Ching (TPE),KATO Miyu (JPN),CHENG I-Ching
World Tour Kuwait Open Kuwait City 2016,2016-03-16,FUKUHARA Ai,SAWETTABUT Suthasini,4,1,"11,9,11,11,11|6,11,2,9,7",R32,GRAND_SLAM,WS,27,Main Draw,SAWETTABUT Suthasini (THA),FUKUHARA Ai (JPN),FUKUHARA Ai
World Tour Kuwait Open Kuwait City 2016,2016-03-16,ZHU Yuling,SOO Wai Yam,4,2,"9,11,11,11,4,11|11,6,9,6,11,6",R32,GRAND_SLAM,WS,27,Main Draw,ZHU Yuling (MAC),SOO Wai Yam (HKG),ZHU Yuling
World Tour Kuwait Open Kuwait City 2016,2016-03-16,SOLJA Petrissa,PROKHOROVA Yulia,4,2,"11,11,9,8,11,11|7,7,11,11,3,7",R32,GRAND_SLAM,WS,27,Main Draw,PROKHOROVA Yulia (RUS),SOLJA Petrissa (GER),SOLJA Petrissa
World Tour Kuwait Open Kuwait City 2016,2016-03-16,YU Mengyu,TIE Yana,4,3,"5,11,14,11,4,6,11|11,8,12,6,11,11,8",R32,GRAND_SLAM,WS,27,Main Draw,TIE Yana (HKG),YU Mengyu (SGP),YU Mengyu
World Tour Kuwait Open Kuwait City 2016,2016-03-16,FENG Tianwei,HU Melek,4,3,"8,11,11,13,11,9,13|11,8,8,15,6,11,11",R32,GRAND_SLAM,WS,27,Main Draw,HU Melek (TUR),FENG Tianwei (SGP),FENG Tianwei
World Tour Kuwait Open Kuwait City 2016,2016-03-16,HAN Ying,EKHOLM Matilda,4,2,"11,11,8,5,11,11|5,3,11,11,9,5",R32,GRAND_SLAM,WS,27,Main Draw,HAN Ying (GER),EKHOLM Matilda (SWE),HAN Ying
World Tour Kuwait Open Kuwait City 2016,2016-03-16,HIRANO Miu,PAVLOVICH Viktoria,4,0,"11,11,11,11|8,7,3,8",R32,GRAND_SLAM,WS,27,Main Draw,PAVLOVICH Viktoria (BLR),HIRANO Miu (JPN),HIRANO Miu
World Tour Kuwait Open Kuwait City 2016,2016-03-16,ITO Mima,ZHOU Yihan,4,2,"10,6,11,11,12,11|12,11,8,9,10,9",R32,GRAND_SLAM,WS,27,Main Draw,ITO Mima (JPN),ZHOU Yihan (SGP),ITO Mima
World Tour Kuwait Open Kuwait City 2016,2016-03-16,DING Ning,SHIBATA Saki,4,0,"11,11,11,11|6,2,4,3",R32,GRAND_SLAM,WS,27,Main Draw,SHIBATA Saki (JPN),DING Ning (CHN),DING Ning
World Tour Kuwait Open Kuwait City 2016,2016-03-16,LIU Shiwen,SUH Hyo Won,4,0,"11,11,11,11|9,9,9,5",R16,GRAND_SLAM,WS,27,Main Draw,LIU Shiwen (CHN),SUH Hyo Won (KOR),LIU Shiwen
World Tour Kuwait Open Kuwait City 2016,2016-03-16,LI Xiaoxia,JEON Jihee,4,2,"11,11,9,8,11,12|6,9,11,11,7,10",R16,GRAND_SLAM,WS,27,Main Draw,JEON Jihee (KOR),LI Xiaoxia (CHN),LI Xiaoxia
World Tour Kuwait Open Kuwait City 2016,2016-03-16,ISHIKAWA Kasumi,SHAN Xiaona,4,1,"4,11,11,12,11|11,8,6,10,5",R16,GRAND_SLAM,WS,27,Main Draw,ISHIKAWA Kasumi (JPN),SHAN Xiaona (GER),ISHIKAWA Kasumi
World Tour Kuwait Open Kuwait City 2016,2016-03-16,CHENG I-Ching,FUKUHARA Ai,4,2,"8,11,7,11,11,11|11,7,11,4,4,7",R16,GRAND_SLAM,WS,27,Main Draw,CHENG I-Ching (TPE),FUKUHARA Ai (JPN),CHENG I-Ching
World Tour Kuwait Open Kuwait City 2016,2016-03-16,ZHU Yuling,SOLJA Petrissa,4,0,"11,11,12,11|4,6,10,6",R16,GRAND_SLAM,WS,27,Main Draw,ZHU Yuling (MAC),SOLJA Petrissa (GER),ZHU Yuling
World Tour Kuwait Open Kuwait City 2016,2016-03-16,FENG Tianwei,YU Mengyu,4,0,"11,11,11,11|4,4,3,4",R16,GRAND_SLAM,WS,27,Main Draw,YU Mengyu (SGP),FENG Tianwei (SGP),FENG Tianwei
World Tour Kuwait Open Kuwait City 2016,2016-03-16,HAN Ying,HIRANO Miu,4,3,"11,11,11,7,9,13,11|9,7,9,11,11,15,2",R16,GRAND_SLAM,WS,27,Main Draw,HAN Ying (GER),HIRANO Miu (JPN),HAN Ying
World Tour Kuwait Open Kuwait City 2016,2016-03-16,DING Ning,ITO Mima,4,1,"15,12,11,11,11|13,10,6,13,5",R16,GRAND_SLAM,WS,27,Main Draw,ITO Mima (JPN),DING Ning (CHN),DING Ning
World Tour Kuwait Open Kuwait City 2016,2016-03-16,LI Xiaoxia,LIU Shiwen,4,0,"11,11,11,11|5,9,6,6",QF,GRAND_SLAM,WS,27,Main Draw,LIU Shiwen (CHN),LI Xiaoxia (CHN),LI Xiaoxia
World Tour Kuwait Open Kuwait City 2016,2016-03-16,ISHIKAWA Kasumi,CHENG I-Ching,4,2,"11,7,11,11,7,11|9,11,9,6,11,6",QF,GRAND_SLAM,WS,27,Main Draw,ISHIKAWA Kasumi (JPN),CHENG I-Ching (TPE),ISHIKAWA Kasumi
World Tour Kuwait Open Kuwait City 2016,2016-03-16,FENG Tianwei,ZHU Yuling,4,1,"11,11,6,11,11|9,9,11,9,7",QF,GRAND_SLAM,WS,27,Main Draw,ZHU Yuling (MAC),FENG Tianwei (SGP),FENG Tianwei
World Tour Kuwait Open Kuwait City 2016,2016-03-16,DING Ning,HAN Ying,4,0,"11,11,11,11|5,6,9,7",QF,GRAND_SLAM,WS,27,Main Draw,HAN Ying (GER),DING Ning (CHN),DING Ning
World Tour Kuwait Open Kuwait City 2016,2016-03-16,LI Xiaoxia,ISHIKAWA Kasumi,4,1,"11,11,5,12,15|4,5,11,10,13",SF,GRAND_SLAM,WS,27,Main Draw,LI Xiaoxia (CHN),ISHIKAWA Kasumi (JPN),LI Xiaoxia
World Tour Kuwait Open Kuwait City 2016,2016-03-16,DING Ning,FENG Tianwei,4,0,"13,11,11,11|11,6,9,6",SF,GRAND_SLAM,WS,27,Main Draw,FENG Tianwei (SGP),DING Ning (CHN),DING Ning
World Tour Kuwait Open Kuwait City 2016,2016-03-16,LI Xiaoxia,DING Ning,4,1,"11,2,11,11,11|6,11,9,9,8",F,GRAND_SLAM,WS,27,Main Draw,LI Xiaoxia (CHN),DING Ning (CHN),LI Xiaoxia
World Tour Kuwait Open Kuwait City 2016,2016-03-16,GERASSIMENKO Kirill,HAMIE Mohamad,3,0,"11,11,11|8,2,4",R32,GRAND_SLAM,U21MS,27,Main Draw,HAMIE Mohamad (LBN),GERASSIMENKO Kirill (KAZ),GERASSIMENKO Kirill
World Tour Kuwait Open Kuwait City 2016,2016-03-16,SERDAROGLU David,PARK Ganghyeon,3,1,"17,4,11,14|15,11,9,12",R32,GRAND_SLAM,U21MS,27,Main Draw,PARK Ganghyeon (KOR),SERDAROGLU David (AUT),SERDAROGLU David
World Tour Kuwait Open Kuwait City 2016,2016-03-16,OIKAWA Mizuki,ISMAILOV Sadi,3,0,"12,12,14|10,10,12",R32,GRAND_SLAM,U21MS,27,Main Draw,ISMAILOV Sadi (RUS),OIKAWA Mizuki (JPN),OIKAWA Mizuki
World Tour Kuwait Open Kuwait City 2016,2016-03-16,LAM Siu Hang,ALRASHIDI Marzooq,3,1,"9,11,11,11|11,2,5,4",R32,GRAND_SLAM,U21MS,27,Main Draw,ALRASHIDI Marzooq (KUW),LAM Siu Hang (HKG),LAM Siu Hang
World Tour Kuwait Open Kuwait City 2016,2016-03-16,YANG Tzu-Yi,KHADER Khaled,3,0,"11,11,11|7,2,2",R32,GRAND_SLAM,U21MS,27,Main Draw,YANG Tzu-Yi (TPE),KHADER Khaled (JOR),YANG Tzu-Yi
World Tour Kuwait Open Kuwait City 2016,2016-03-16,MAGDY Shady,RYUZAKI Tonin,3,2,"11,8,11,8,11|8,11,8,11,2",R32,GRAND_SLAM,U21MS,27,Main Draw,MAGDY Shady (EGY),RYUZAKI Tonin (JPN),MAGDY Shady
World Tour Kuwait Open Kuwait City 2016,2016-03-16,OGATA Ryotaro,ALKHADRAWI Ali,3,2,"11,11,8,10,11|7,5,11,12,3",R32,GRAND_SLAM,U21MS,27,Main Draw,OGATA Ryotaro (JPN),ALKHADRAWI Ali (KSA),OGATA Ryotaro
World Tour Kuwait Open Kuwait City 2016,2016-03-16,TANVIRIYAVECHAKUL Padasak,ALBAHRANI Abdullah,3,0,"11,11,11|3,6,5",R32,GRAND_SLAM,U21MS,27,Main Draw,ALBAHRANI Abdullah (KUW),TANVIRIYAVECHAKUL Padasak (THA),TANVIRIYAVECHAKUL Padasak
World Tour Kuwait Open Kuwait City 2016,2016-03-16,SUN Chia-Hung,BU SHULAYBI Abdulaziz,3,0,"11,11,11|2,2,7",R32,GRAND_SLAM,U21MS,27,Main Draw,SUN Chia-Hung (TPE),BU SHULAYBI Abdulaziz (KSA),SUN Chia-Hung
World Tour Kuwait Open Kuwait City 2016,2016-03-16,CALDERANO Hugo,GERASSIMENKO Kirill,3,1,"11,7,11,11|9,11,4,6",R16,GRAND_SLAM,U21MS,27,Main Draw,CALDERANO Hugo (BRA),GERASSIMENKO Kirill (KAZ),CALDERANO Hugo
World Tour Kuwait Open Kuwait City 2016,2016-03-16,OIKAWA Mizuki,SERDAROGLU David,3,1,"11,11,10,11|7,8,12,3",R16,GRAND_SLAM,U21MS,27,Main Draw,SERDAROGLU David (AUT),OIKAWA Mizuki (JPN),OIKAWA Mizuki
World Tour Kuwait Open Kuwait City 2016,2016-03-16,LIM Jonghoon,LAM Siu Hang,3,1,"6,13,11,11|11,11,7,5",R16,GRAND_SLAM,U21MS,27,Main Draw,LIM Jonghoon (KOR),LAM Siu Hang (HKG),LIM Jonghoon
World Tour Kuwait Open Kuwait City 2016,2016-03-16,GERALDO Joao,YANG Tzu-Yi,3,0,"11,11,11|4,4,6",R16,GRAND_SLAM,U21MS,27,Main Draw,YANG Tzu-Yi (TPE),GERALDO Joao (POR),GERALDO Joao
World Tour Kuwait Open Kuwait City 2016,2016-03-16,MAGDY Shady,SAMBE Kohei,3,2,"3,12,9,15,11|11,10,11,13,8",R16,GRAND_SLAM,U21MS,27,Main Draw,SAMBE Kohei (JPN),MAGDY Shady (EGY),MAGDY Shady
World Tour Kuwait Open Kuwait City 2016,2016-03-16,ZHAI Yujia,OGATA Ryotaro,3,2,"12,8,7,11,11|10,11,11,5,9",R16,GRAND_SLAM,U21MS,27,Main Draw,OGATA Ryotaro (JPN),ZHAI Yujia (DEN),ZHAI Yujia
World Tour Kuwait Open Kuwait City 2016,2016-03-16,FLORE Tristan,TANVIRIYAVECHAKUL Padasak,3,0,"11,11,11|5,6,9",R16,GRAND_SLAM,U21MS,27,Main Draw,FLORE Tristan (FRA),TANVIRIYAVECHAKUL Padasak (THA),FLORE Tristan
World Tour Kuwait Open Kuwait City 2016,2016-03-16,HO Kwan Kit,SUN Chia-Hung,3,1,"11,10,11,11|7,12,3,9",R16,GRAND_SLAM,U21MS,27,Main Draw,SUN Chia-Hung (TPE),HO Kwan Kit (HKG),HO Kwan Kit
World Tour Kuwait Open Kuwait City 2016,2016-03-16,CALDERANO Hugo,OIKAWA Mizuki,3,0,"12,11,11|10,9,6",QF,GRAND_SLAM,U21MS,27,Main Draw,CALDERANO Hugo (BRA),OIKAWA Mizuki (JPN),CALDERANO Hugo
World Tour Kuwait Open Kuwait City 2016,2016-03-16,LIM Jonghoon,GERALDO Joao,3,2,"1,10,11,11,11|11,12,2,6,8",QF,GRAND_SLAM,U21MS,27,Main Draw,LIM Jonghoon (KOR),GERALDO Joao (POR),LIM Jonghoon
World Tour Kuwait Open Kuwait City 2016,2016-03-16,MAGDY Shady,ZHAI Yujia,3,2,"8,13,4,11,12|11,11,11,6,10",QF,GRAND_SLAM,U21MS,27,Main Draw,MAGDY Shady (EGY),ZHAI Yujia (DEN),MAGDY Shady
World Tour Kuwait Open Kuwait City 2016,2016-03-16,HO Kwan Kit,FLORE Tristan,3,1,"6,12,12,12|11,10,10,10",QF,GRAND_SLAM,U21MS,27,Main Draw,FLORE Tristan (FRA),HO Kwan Kit (HKG),HO Kwan Kit
World Tour Kuwait Open Kuwait City 2016,2016-03-16,CALDERANO Hugo,LIM Jonghoon,3,1,"11,6,11,11|9,11,7,5",SF,GRAND_SLAM,U21MS,27,Main Draw,CALDERANO Hugo (BRA),LIM Jonghoon (KOR),CALDERANO Hugo
World Tour Kuwait Open Kuwait City 2016,2016-03-16,HO Kwan Kit,MAGDY Shady,3,0,"11,11,11|5,3,9",SF,GRAND_SLAM,U21MS,27,Main Draw,MAGDY Shady (EGY),HO Kwan Kit (HKG),HO Kwan Kit
World Tour Kuwait Open Kuwait City 2016,2016-03-16,CALDERANO Hugo,HO Kwan Kit,3,1,"3,11,11,11|11,9,8,9",F,GRAND_SLAM,U21MS,27,Main Draw,CALDERANO Hugo (BRA),HO Kwan Kit (HKG),CALDERANO Hugo
World Tour Kuwait Open Kuwait City 2016,2016-03-16,PARANANG Orawan,KHOURY Malak,3,0,"11,11,11|2,2,2",R32,GRAND_SLAM,U21WS,27,Main Draw,KHOURY Malak (LBN),PARANANG Orawan (THA),PARANANG Orawan
World Tour Kuwait Open Kuwait City 2016,2016-03-16,JUNG Yumi,SALEM Noor,3,0,"11,11,11|1,2,2",R32,GRAND_SLAM,U21WS,27,Main Draw,JUNG Yumi (KOR),SALEM Noor (KUW),JUNG Yumi
World Tour Kuwait Open Kuwait City 2016,2016-03-16,ZHU Chengzhu,SHIOMI Maki,3,2,"9,8,11,11,11|11,11,9,3,9",R32,GRAND_SLAM,U21WS,27,Main Draw,SHIOMI Maki (JPN),ZHU Chengzhu (HKG),ZHU Chengzhu
World Tour Kuwait Open Kuwait City 2016,2016-03-16,SHIBATA Saki,ALENEZI Shahed,3,0,"11,11,11|3,4,5",R32,GRAND_SLAM,U21WS,27,Main Draw,SHIBATA Saki (JPN),ALENEZI Shahed (KUW),SHIBATA Saki
World Tour Kuwait Open Kuwait City 2016,2016-03-16,HIRANO Miu,PARANANG Orawan,3,2,"11,11,10,6,11|6,9,12,11,6",R16,GRAND_SLAM,U21WS,27,Main Draw,HIRANO Miu (JPN),PARANANG Orawan (THA),HIRANO Miu
World Tour Kuwait Open Kuwait City 2016,2016-03-16,LIN Ye,JUNG Yumi,3,0,"11,12,13|9,10,11",R16,GRAND_SLAM,U21WS,27,Main Draw,JUNG Yumi (KOR),LIN Ye (CAN),LIN Ye
World Tour Kuwait Open Kuwait City 2016,2016-03-16,HAYATA Hina,MAEDA Miyu,3,2,"8,11,7,11,11|11,7,11,8,8",R16,GRAND_SLAM,U21WS,27,Main Draw,HAYATA Hina (JPN),MAEDA Miyu (JPN),HAYATA Hina
World Tour Kuwait Open Kuwait City 2016,2016-03-16,ZENG Jian,SATO Hitomi,3,1,"11,11,8,11|7,5,11,5",R16,GRAND_SLAM,U21WS,27,Main Draw,ZENG Jian (SGP),SATO Hitomi (JPN),ZENG Jian
World Tour Kuwait Open Kuwait City 2016,2016-03-16,HASHIMOTO Honoka,SOO Wai Yam,3,0,"11,11,11|6,5,7",R16,GRAND_SLAM,U21WS,27,Main Draw,HASHIMOTO Honoka (JPN),SOO Wai Yam (HKG),HASHIMOTO Honoka
World Tour Kuwait Open Kuwait City 2016,2016-03-16,MORI Sakura,KATO Miyu,3,1,"11,5,13,12|9,11,11,10",R16,GRAND_SLAM,U21WS,27,Main Draw,MORI Sakura (JPN),KATO Miyu (JPN),MORI Sakura
World Tour Kuwait Open Kuwait City 2016,2016-03-16,ZHU Chengzhu,HAMAMOTO Yui,3,0,"11,11,14|8,8,12",R16,GRAND_SLAM,U21WS,27,Main Draw,HAMAMOTO Yui (AUT),ZHU Chengzhu (HKG),ZHU Chengzhu
World Tour Kuwait Open Kuwait City 2016,2016-03-16,DOO Hoi Kem,SHIBATA Saki,3,2,"9,11,2,11,11|11,6,11,3,7",R16,GRAND_SLAM,U21WS,27,Main Draw,SHIBATA Saki (JPN),DOO Hoi Kem (HKG),DOO Hoi Kem
World Tour Kuwait Open Kuwait City 2016,2016-03-16,HIRANO Miu,LIN Ye,3,1,"11,8,11,11|8,11,8,7",QF,GRAND_SLAM,U21WS,27,Main Draw,HIRANO Miu (JPN),LIN Ye (CAN),HIRANO Miu
World Tour Kuwait Open Kuwait City 2016,2016-03-16,HAYATA Hina,ZENG Jian,3,0,"11,11,11|6,6,8",QF,GRAND_SLAM,U21WS,27,Main Draw,HAYATA Hina (JPN),ZENG Jian (SGP),HAYATA Hina
World Tour Kuwait Open Kuwait City 2016,2016-03-16,HASHIMOTO Honoka,MORI Sakura,3,0,"11,11,11|7,9,5",QF,GRAND_SLAM,U21WS,27,Main Draw,HASHIMOTO Honoka (JPN),MORI Sakura (JPN),HASHIMOTO Honoka
World Tour Kuwait Open Kuwait City 2016,2016-03-16,ZHU Chengzhu,DOO Hoi Kem,3,2,"4,11,9,12,12|11,6,11,10,10",QF,GRAND_SLAM,U21WS,27,Main Draw,ZHU Chengzhu (HKG),DOO Hoi Kem (HKG),ZHU Chengzhu
