tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
Olympic Games Athens 2004,2004-08-14,WOSIK Torben,GUEYE Mohamed,4,0,"11,11,11,11|4,5,6,4",R128,OLYMPICS,MS,918,Main Draw,WOSIK Torben (GER),GUEYE Mohamed (SEN),WOSIK Torben
Olympic Games Athens 2004,2004-08-14,HE Zhiwen,GIONIS Panagiotis,4,1,"11,13,11,11,15|7,11,4,13,13",R128,OLYMPICS,MS,918,Main Draw,HE Zhiwen (ESP),GIONIS Panagiotis (GRE),HE Zhiwen
Olympic Games Athens 2004,2004-08-14,MONTEIRO Thiago,AKHLAGHPASAND Mohammadreza,4,1,"11,9,11,11,11|8,13,9,7,5",R128,OLYMPICS,MS,918,Main Draw,MONTEIRO Thiago (BRA),AKHLAGHPASAND Mohammadreza (USA),MONTEIRO Thiago
Olympic Games Athens 2004,2004-08-14,TORIOLA Segun,TABACHNIK Pablo,4,1,"12,11,11,11,11|10,8,13,3,8",R128,OLYMPICS,MS,918,Main Draw,TORIOLA Segun (NGR),TABACHNIK Pablo (ARG),TORIOLA Segun
Olympic Games Athens 2004,2004-08-14,KARAKASEVIC Aleksandar,AL-HARBI Khaled,4,0,"11,11,11,11|9,3,3,3",R128,OLYMPICS,MS,918,Main Draw,KARAKASEVIC Aleksandar (SRB),AL-HARBI Khaled (KSA),KARAKASEVIC Aleksandar
Olympic Games Athens 2004,2004-08-14,MILICEVIC Srdan,LAVALE Russell,4,2,"10,11,11,9,18,13|12,9,4,11,16,11",R128,OLYMPICS,MS,918,Main Draw,MILICEVIC Srdan (BIH),LAVALE Russell (AUS),MILICEVIC Srdan
Olympic Games Athens 2004,2004-08-14,KEEN Trinko,WOSIK Torben,4,3,"12,10,7,11,5,13,11|10,12,11,5,11,11,9",R64,OLYMPICS,MS,918,Main Draw,KEEN Trinko (NED),WOSIK Torben (GER),KEEN Trinko
Olympic Games Athens 2004,2004-08-14,LIU Song,GRUJIC Slobodan,4,1,"11,11,4,11,14|4,7,11,2,12",R64,OLYMPICS,MS,918,Main Draw,LIU Song (ARG),GRUJIC Slobodan (SRB),LIU Song
Olympic Games Athens 2004,2004-08-14,KO Lai Chak,ACHANTA Sharath,4,0,"11,11,11,11|9,5,9,6",R64,OLYMPICS,MS,918,Main Draw,KO Lai Chak (HKG),ACHANTA Sharath (IND),KO Lai Chak
Olympic Games Athens 2004,2004-08-14,PERSSON Jorgen,MEROTOHUN Monday,4,1,"9,11,11,11,11|11,5,5,7,8",R64,OLYMPICS,MS,918,Main Draw,PERSSON Jorgen (SWE),MEROTOHUN Monday (NGR),PERSSON Jorgen
Olympic Games Athens 2004,2004-08-14,KARLSSON Peter,YANG Min,4,3,"11,11,11,9,7,11,11|9,4,8,11,11,13,9",R64,OLYMPICS,MS,918,Main Draw,KARLSSON Peter (SWE),YANG Min (ITA),KARLSSON Peter
Olympic Games Athens 2004,2004-08-14,CHEN Weixing,HENZELL William,4,0,"11,11,12,11|7,3,10,6",R64,OLYMPICS,MS,918,Main Draw,CHEN Weixing (AUT),HENZELL William (AUS),CHEN Weixing
Olympic Games Athens 2004,2004-08-14,LIN Ju,SMIRNOV Alexey,4,0,"11,11,11,11|9,4,5,6",R64,OLYMPICS,MS,918,Main Draw,LIN Ju (DOM),SMIRNOV Alexey (RUS),LIN Ju
Olympic Games Athens 2004,2004-08-14,ROSSKOPF Jorg,KRZESZEWSKI Tomasz,4,1,"6,11,11,17,13|11,8,7,15,11",R64,OLYMPICS,MS,918,Main Draw,ROSSKOPF Jorg (GER),KRZESZEWSKI Tomasz (POL),ROSSKOPF Jorg
Olympic Games Athens 2004,2004-08-14,MATSUSHITA Koji,HEISTER Danny,4,0,"11,11,11,11|7,7,8,4",R64,OLYMPICS,MS,918,Main Draw,MATSUSHITA Koji (JPN),HEISTER Danny (NED),MATSUSHITA Koji
Olympic Games Athens 2004,2004-08-14,CRISAN Adrian,LUPULESKU Ilija,4,0,"11,11,15,11|9,8,13,8",R64,OLYMPICS,MS,918,Main Draw,CRISAN Adrian (ROU),LUPULESKU Ilija (USA),CRISAN Adrian
Olympic Games Athens 2004,2004-08-14,LEUNG Chu Yan,O Il,4,1,"11,11,11,11,11|3,9,13,4,8",R64,OLYMPICS,MS,918,Main Draw,LEUNG Chu Yan (HKG),O Il (PRK),LEUNG Chu Yan
Olympic Games Athens 2004,2004-08-14,BLASZCZYK Lucjan,HE Zhiwen,4,3,"11,10,11,8,7,11,11|5,12,2,11,11,6,9",R64,OLYMPICS,MS,918,Main Draw,BLASZCZYK Lucjan (POL),HE Zhiwen (ESP),BLASZCZYK Lucjan
Olympic Games Athens 2004,2004-08-14,LI Ching,MONTEIRO Thiago,4,1,"11,9,11,11,11|6,11,7,9,5",R64,OLYMPICS,MS,918,Main Draw,LI Ching (HKG),MONTEIRO Thiago (BRA),LI Ching
Olympic Games Athens 2004,2004-08-14,CHILA Patrick,TORIOLA Segun,4,2,"11,8,10,11,11,11|3,11,12,7,8,9",R64,OLYMPICS,MS,918,Main Draw,CHILA Patrick (FRA),TORIOLA Segun (NGR),CHILA Patrick
Olympic Games Athens 2004,2004-08-14,KARAKASEVIC Aleksandar,HUANG Johnny,4,2,"7,11,11,9,11,11|11,8,5,11,9,9",R64,OLYMPICS,MS,918,Main Draw,KARAKASEVIC Aleksandar (SRB),HUANG Johnny (CAN),KARAKASEVIC Aleksandar
Olympic Games Athens 2004,2004-08-14,PRIMORAC Zoran,MILICEVIC Srdan,4,1,"8,11,11,11,11|11,6,7,8,8",R64,OLYMPICS,MS,918,Main Draw,PRIMORAC Zoran (CRO),MILICEVIC Srdan (BIH),PRIMORAC Zoran
Olympic Games Athens 2004,2004-08-14,WANG Liqin,KEEN Trinko,4,1,"6,11,11,11,11|11,1,8,4,2",R32,OLYMPICS,MS,918,Main Draw,WANG Liqin (CHN),KEEN Trinko (NED),WANG Liqin
Olympic Games Athens 2004,2004-08-14,JOO Saehyuk,LIU Song,4,0,"14,11,11,11|12,9,6,8",R32,OLYMPICS,MS,918,Main Draw,JOO Saehyuk (KOR),LIU Song (ARG),JOO Saehyuk
Olympic Games Athens 2004,2004-08-14,KO Lai Chak,KORBEL Petr,4,3,"11,9,11,2,11,9,11|7,11,7,11,6,11,7",R32,OLYMPICS,MS,918,Main Draw,KO Lai Chak (HKG),KORBEL Petr (CZE),KO Lai Chak
Olympic Games Athens 2004,2004-08-14,PERSSON Jorgen,KREANGA Kalinikos,4,0,"11,11,11,11|5,7,9,8",R32,OLYMPICS,MS,918,Main Draw,PERSSON Jorgen (SWE),KREANGA Kalinikos (GRE),PERSSON Jorgen
Olympic Games Athens 2004,2004-08-14,CHUANG Chih-Yuan,KARLSSON Peter,4,2,"16,11,8,11,11,11|18,6,11,7,3,8",R32,OLYMPICS,MS,918,Main Draw,CHUANG Chih-Yuan (TPE),KARLSSON Peter (SWE),CHUANG Chih-Yuan
Olympic Games Athens 2004,2004-08-14,OH Sangeun,CHEN Weixing,4,3,"7,11,11,11,5,9,11|11,6,7,8,11,11,2",R32,OLYMPICS,MS,918,Main Draw,OH Sangeun (KOR),CHEN Weixing (AUT),OH Sangeun
Olympic Games Athens 2004,2004-08-14,LIN Ju,SAIVE Jean-Michel,4,2,"11,11,5,11,18,11|5,4,11,13,16,8",R32,OLYMPICS,MS,918,Main Draw,LIN Ju (DOM),SAIVE Jean-Michel (BEL),LIN Ju
Olympic Games Athens 2004,2004-08-14,WANG Hao,ROSSKOPF Jorg,4,1,"11,12,11,11,11|5,10,5,13,6",R32,OLYMPICS,MS,918,Main Draw,WANG Hao (CHN),ROSSKOPF Jorg (GER),WANG Hao
Olympic Games Athens 2004,2004-08-14,RYU Seungmin,MATSUSHITA Koji,4,0,"11,11,11,11|9,6,6,2",R32,OLYMPICS,MS,918,Main Draw,RYU Seungmin (KOR),MATSUSHITA Koji (JPN),RYU Seungmin
Olympic Games Athens 2004,2004-08-14,CHIANG Peng-Lung,CRISAN Adrian,4,1,"11,11,12,2,11|9,5,10,11,8",R32,OLYMPICS,MS,918,Main Draw,CHIANG Peng-Lung (TPE),CRISAN Adrian (ROU),CHIANG Peng-Lung
Olympic Games Athens 2004,2004-08-14,LEUNG Chu Yan,MAZE Michael,4,1,"6,11,11,11,11|11,5,3,8,9",R32,OLYMPICS,MS,918,Main Draw,LEUNG Chu Yan (HKG),MAZE Michael (DEN),LEUNG Chu Yan
Olympic Games Athens 2004,2004-08-14,SAMSONOV Vladimir,BLASZCZYK Lucjan,4,2,"11,5,12,8,11,11|5,11,10,11,4,9",R32,OLYMPICS,MS,918,Main Draw,SAMSONOV Vladimir (BLR),BLASZCZYK Lucjan (POL),SAMSONOV Vladimir
Olympic Games Athens 2004,2004-08-14,SCHLAGER Werner,LI Ching,4,2,"8,11,12,11,11,11|11,9,14,9,9,6",R32,OLYMPICS,MS,918,Main Draw,SCHLAGER Werner (AUT),LI Ching (HKG),SCHLAGER Werner
Olympic Games Athens 2004,2004-08-14,BOLL Timo,CHILA Patrick,4,1,"11,14,11,11,11|3,16,9,3,9",R32,OLYMPICS,MS,918,Main Draw,BOLL Timo (GER),CHILA Patrick (FRA),BOLL Timo
Olympic Games Athens 2004,2004-08-14,WALDNER Jan-Ove,KARAKASEVIC Aleksandar,4,2,"13,11,5,11,10,11|11,9,11,6,12,9",R32,OLYMPICS,MS,918,Main Draw,WALDNER Jan-Ove (SWE),KARAKASEVIC Aleksandar (SRB),WALDNER Jan-Ove
Olympic Games Athens 2004,2004-08-14,MA Lin,PRIMORAC Zoran,4,1,"11,11,11,9,11|5,3,3,11,5",R32,OLYMPICS,MS,918,Main Draw,MA Lin (CHN),PRIMORAC Zoran (CRO),MA Lin
Olympic Games Athens 2004,2004-08-14,WANG Liqin,JOO Saehyuk,4,1,"11,11,9,11,11|7,8,11,6,6",R16,OLYMPICS,MS,918,Main Draw,WANG Liqin (CHN),JOO Saehyuk (KOR),WANG Liqin
Olympic Games Athens 2004,2004-08-14,KO Lai Chak,PERSSON Jorgen,4,1,"11,11,8,11,12|7,6,11,4,10",R16,OLYMPICS,MS,918,Main Draw,KO Lai Chak (HKG),PERSSON Jorgen (SWE),KO Lai Chak
Olympic Games Athens 2004,2004-08-14,CHUANG Chih-Yuan,OH Sangeun,4,2,"12,12,6,12,9,11|10,10,11,10,11,5",R16,OLYMPICS,MS,918,Main Draw,CHUANG Chih-Yuan (TPE),OH Sangeun (KOR),CHUANG Chih-Yuan
Olympic Games Athens 2004,2004-08-14,WANG Hao,LIN Ju,4,1,"11,11,7,12,11|5,7,11,10,6",R16,OLYMPICS,MS,918,Main Draw,WANG Hao (CHN),LIN Ju (DOM),WANG Hao
Olympic Games Athens 2004,2004-08-14,RYU Seungmin,CHIANG Peng-Lung,4,3,"11,11,7,8,11,6,11|6,6,11,11,3,11,4",R16,OLYMPICS,MS,918,Main Draw,RYU Seungmin (KOR),CHIANG Peng-Lung (TPE),RYU Seungmin
Olympic Games Athens 2004,2004-08-14,LEUNG Chu Yan,SAMSONOV Vladimir,4,3,"11,6,11,6,11,7,11|7,11,9,11,5,11,8",R16,OLYMPICS,MS,918,Main Draw,LEUNG Chu Yan (HKG),SAMSONOV Vladimir (BLR),LEUNG Chu Yan
Olympic Games Athens 2004,2004-08-14,BOLL Timo,SCHLAGER Werner,4,3,"11,12,11,11,6,4,11|2,14,5,9,11,11,6",R16,OLYMPICS,MS,918,Main Draw,BOLL Timo (GER),SCHLAGER Werner (AUT),BOLL Timo
Olympic Games Athens 2004,2004-08-14,WALDNER Jan-Ove,MA Lin,4,1,"11,12,7,11,11|9,10,11,5,9",R16,OLYMPICS,MS,918,Main Draw,WALDNER Jan-Ove (SWE),MA Lin (CHN),WALDNER Jan-Ove
Olympic Games Athens 2004,2004-08-14,WANG Liqin,KO Lai Chak,4,1,"11,13,6,11,11|9,11,11,8,4",QF,OLYMPICS,MS,918,Main Draw,WANG Liqin (CHN),KO Lai Chak (HKG),WANG Liqin
Olympic Games Athens 2004,2004-08-14,WANG Hao,CHUANG Chih-Yuan,4,2,"5,12,9,11,11,11|11,10,11,4,6,7",QF,OLYMPICS,MS,918,Main Draw,WANG Hao (CHN),CHUANG Chih-Yuan (TPE),WANG Hao
Olympic Games Athens 2004,2004-08-14,RYU Seungmin,LEUNG Chu Yan,4,2,"6,10,11,11,11,11|11,12,6,6,9,5",QF,OLYMPICS,MS,918,Main Draw,RYU Seungmin (KOR),LEUNG Chu Yan (HKG),RYU Seungmin
Olympic Games Athens 2004,2004-08-14,WALDNER Jan-Ove,BOLL Timo,4,1,"11,13,6,11,13|7,11,11,7,11",QF,OLYMPICS,MS,918,Main Draw,WALDNER Jan-Ove (SWE),BOLL Timo (GER),WALDNER Jan-Ove
Olympic Games Athens 2004,2004-08-14,WANG Hao,WANG Liqin,4,1,"11,11,6,11,11|8,5,11,9,3",SF,OLYMPICS,MS,918,Main Draw,WANG Hao (CHN),WANG Liqin (CHN),WANG Hao
Olympic Games Athens 2004,2004-08-14,RYU Seungmin,WALDNER Jan-Ove,4,1,"11,9,11,11,11|9,11,9,5,5",SF,OLYMPICS,MS,918,Main Draw,RYU Seungmin (KOR),WALDNER Jan-Ove (SWE),RYU Seungmin
Olympic Games Athens 2004,2004-08-14,RYU Seungmin,WANG Hao,4,2,"11,9,11,11,11,11|3,11,9,9,13,9",F,OLYMPICS,MS,918,Main Draw,RYU Seungmin (KOR),WANG Hao (CHN),RYU Seungmin
Olympic Games Athens 2004,2004-08-14,WANG Liqin,WALDNER Jan-Ove,4,1,"10,11,11,11,11|12,3,8,7,9",3RD,OLYMPICS,MS,918,Position Draw,WANG Liqin (CHN),WALDNER Jan-Ove (SWE),WANG Liqin
Olympic Games Athens 2004,2004-08-14,BANH THUA Tawny,YOON Jihye,4,3,"8,11,9,16,3,11,11|11,9,11,14,11,8,6",R128,OLYMPICS,WS,918,Main Draw,BANH THUA Tawny (USA),YOON Jihye (KOR),BANH THUA Tawny
Olympic Games Athens 2004,2004-08-14,NEGRISOLI Laura,RAMOS Fabiola,4,1,"11,11,11,8,11|9,5,6,11,3",R128,OLYMPICS,WS,918,Main Draw,NEGRISOLI Laura (ITA),RAMOS Fabiola (VEN),NEGRISOLI Laura
Olympic Games Athens 2004,2004-08-14,KOMWONG Nanthana,DAS Mouma,4,0,"11,11,11,12|6,7,3,10",R128,OLYMPICS,WS,918,Main Draw,KOMWONG Nanthana (THA),DAS Mouma (IND),KOMWONG Nanthana
Olympic Games Athens 2004,2004-08-14,KRAVCHENKO Marina,VOLAKAKI Archontoula,4,0,"11,11,11,11|6,5,4,5",R128,OLYMPICS,WS,918,Main Draw,KRAVCHENKO Marina (ISR),VOLAKAKI Archontoula (GRE),KRAVCHENKO Marina
Olympic Games Athens 2004,2004-08-14,OSHONAIKE Olufunke,RODRIGUEZ Berta,4,0,"11,11,11,11|9,8,7,9",R128,OLYMPICS,WS,918,Main Draw,OSHONAIKE Olufunke (NGR),RODRIGUEZ Berta (CHI),OSHONAIKE Olufunke
Olympic Games Athens 2004,2004-08-14,ERDELJI Silvija,BEN KAHIA Nesrine,4,0,"11,11,11,11|3,1,3,7",R128,OLYMPICS,WS,918,Main Draw,ERDELJI Silvija (SRB),BEN KAHIA Nesrine (TUN),ERDELJI Silvija
Olympic Games Athens 2004,2004-08-14,MIAO Miao,ESPINEIRA Marisol,4,2,"11,11,5,4,11,11|8,9,11,11,6,6",R128,OLYMPICS,WS,918,Main Draw,MIAO Miao (AUS),ESPINEIRA Marisol (PER),MIAO Miao
Olympic Games Athens 2004,2004-08-14,HUANG Yi-Hua,BOUCETTA Leila,4,0,"11,11,11,11|8,3,4,7",R128,OLYMPICS,WS,918,Main Draw,HUANG Yi-Hua (TPE),BOUCETTA Leila (ALG),HUANG Yi-Hua
Olympic Games Athens 2004,2004-08-14,LAY Jian Fang,MOLNAR Cornelia,4,0,"12,11,11,13|10,5,6,11",R128,OLYMPICS,WS,918,Main Draw,LAY Jian Fang (AUS),MOLNAR Cornelia (CRO),LAY Jian Fang
Olympic Games Athens 2004,2004-08-14,FAZEKAS Maria,INOYATOVA Manzura,4,0,"11,11,11,11|6,7,3,7",R128,OLYMPICS,WS,918,Main Draw,FAZEKAS Maria (HUN),INOYATOVA Manzura (UZB),FAZEKAS Maria
Olympic Games Athens 2004,2004-08-14,RATHER Jasna,STRBIKOVA Renata,4,2,"9,6,15,11,11,11|11,11,13,4,8,9",R128,OLYMPICS,WS,918,Main Draw,RATHER Jasna (USA),STRBIKOVA Renata (CZE),RATHER Jasna
Olympic Games Athens 2004,2004-08-14,WU Xue,FADEEVA Oxana,4,1,"9,11,11,11,11|11,8,6,7,9",R128,OLYMPICS,WS,918,Main Draw,WU Xue (DOM),FADEEVA Oxana (RUS),WU Xue
Olympic Games Athens 2004,2004-08-14,CADA Petra,GUENNI Olfa,4,0,"11,11,11,11|4,7,4,7",R128,OLYMPICS,WS,918,Main Draw,CADA Petra (CAN),GUENNI Olfa (TUN),CADA Petra
Olympic Games Athens 2004,2004-08-14,STEFANOVA Nikoleta,MENAIFI Asma,4,0,"11,11,11,11|6,8,6,6",R128,OLYMPICS,WS,918,Main Draw,STEFANOVA Nikoleta (ITA),MENAIFI Asma (ALG),STEFANOVA Nikoleta
Olympic Games Athens 2004,2004-08-14,SHABAN Zeina,MEDINA Iizzwa,4,3,"11,11,11,9,11,9,11|7,13,8,11,5,11,9",R128,OLYMPICS,WS,918,Main Draw,SHABAN Zeina (JOR),MEDINA Iizzwa (HON),SHABAN Zeina
Olympic Games Athens 2004,2004-08-14,AKPAN Cecilia,SILVA Ligia,4,1,"11,11,9,12,11|8,6,11,10,8",R128,OLYMPICS,WS,918,Main Draw,AKPAN Cecilia (NGR),SILVA Ligia (BRA),AKPAN Cecilia
Olympic Games Athens 2004,2004-08-14,LI Chunli,BANH THUA Tawny,4,1,"11,12,11,8,11|8,10,9,11,9",R64,OLYMPICS,WS,918,Main Draw,LI Chunli (NZL),BANH THUA Tawny (USA),LI Chunli
Olympic Games Athens 2004,2004-08-14,GANINA Svetlana,NEGRISOLI Laura,4,2,"11,14,7,3,11,11|9,12,11,11,6,9",R64,OLYMPICS,WS,918,Main Draw,GANINA Svetlana (RUS),NEGRISOLI Laura (ITA),GANINA Svetlana
Olympic Games Athens 2004,2004-08-14,KOMWONG Nanthana,STRUSE Nicole,4,1,"11,11,9,11,13|7,4,11,7,11",R64,OLYMPICS,WS,918,Main Draw,KOMWONG Nanthana (THA),STRUSE Nicole (GER),KOMWONG Nanthana
Olympic Games Athens 2004,2004-08-14,KRAVCHENKO Marina,BADESCU Otilia,4,2,"11,11,4,11,8,11|6,9,11,3,11,6",R64,OLYMPICS,WS,918,Main Draw,KRAVCHENKO Marina (ISR),BADESCU Otilia (ROU),KRAVCHENKO Marina
Olympic Games Athens 2004,2004-08-14,TOTH Krisztina,OSHONAIKE Olufunke,4,2,"10,12,14,11,15,11|12,10,16,6,13,5",R64,OLYMPICS,WS,918,Main Draw,TOTH Krisztina (HUN),OSHONAIKE Olufunke (NGR),TOTH Krisztina
Olympic Games Athens 2004,2004-08-14,JING Junhong,ERDELJI Silvija,4,2,"11,11,10,11,4,11|3,8,12,4,11,6",R64,OLYMPICS,WS,918,Main Draw,JING Junhong (SGP),ERDELJI Silvija (SRB),JING Junhong
Olympic Games Athens 2004,2004-08-14,FUKUHARA Ai,MIAO Miao,4,3,"5,7,11,11,11,9,11|11,11,9,6,5,11,9",R64,OLYMPICS,WS,918,Main Draw,FUKUHARA Ai (JPN),MIAO Miao (AUS),FUKUHARA Ai
Olympic Games Athens 2004,2004-08-14,TAN Wenling,HUANG Yi-Hua,4,2,"11,9,11,9,13,11|3,11,9,11,11,7",R64,OLYMPICS,WS,918,Main Draw,TAN Wenling (ITA),HUANG Yi-Hua (TPE),TAN Wenling
Olympic Games Athens 2004,2004-08-14,SCHALL Elke,LAY Jian Fang,4,2,"3,11,6,11,11,12|11,6,11,7,8,10",R64,OLYMPICS,WS,918,Main Draw,SCHALL Elke (GER),LAY Jian Fang (AUS),SCHALL Elke
Olympic Games Athens 2004,2004-08-14,KIM Hyang Mi,FAZEKAS Maria,4,1,"11,11,9,11,11|7,8,11,8,8",R64,OLYMPICS,WS,918,Main Draw,KIM Hyang Mi (PRK),FAZEKAS Maria (HUN),KIM Hyang Mi
Olympic Games Athens 2004,2004-08-14,ZHANG Xueling,RATHER Jasna,4,1,"11,11,8,11,11|7,7,11,7,5",R64,OLYMPICS,WS,918,Main Draw,ZHANG Xueling (SGP),RATHER Jasna (USA),ZHANG Xueling
Olympic Games Athens 2004,2004-08-14,FUJINUMA Ai,WU Xue,4,0,"13,11,14,11|11,7,12,5",R64,OLYMPICS,WS,918,Main Draw,FUJINUMA Ai (JPN),WU Xue (DOM),FUJINUMA Ai
Olympic Games Athens 2004,2004-08-14,CADA Petra,BATORFI Csilla,4,3,"11,9,16,11,11,8,12|7,11,18,6,8,11,10",R64,OLYMPICS,WS,918,Main Draw,CADA Petra (CAN),BATORFI Csilla (HUN),CADA Petra
Olympic Games Athens 2004,2004-08-14,SCHOPP Jie,STEFANOVA Nikoleta,4,1,"11,11,11,12,11|5,13,5,10,7",R64,OLYMPICS,WS,918,Main Draw,SCHOPP Jie (GER),STEFANOVA Nikoleta (ITA),SCHOPP Jie
Olympic Games Athens 2004,2004-08-14,ZAMFIR Adriana,SHABAN Zeina,4,1,"8,11,11,11,11|11,5,8,5,4",R64,OLYMPICS,WS,918,Main Draw,ZAMFIR Adriana (ROU),SHABAN Zeina (JOR),ZAMFIR Adriana
Olympic Games Athens 2004,2004-08-14,KIM Yun Mi,AKPAN Cecilia,4,0,"11,11,11,11|5,7,6,8",R64,OLYMPICS,WS,918,Main Draw,KIM Yun Mi (PRK),AKPAN Cecilia (NGR),KIM Yun Mi
Olympic Games Athens 2004,2004-08-14,ZHANG Yining,LI Chunli,4,0,"11,12,11,11|8,10,5,7",R32,OLYMPICS,WS,918,Main Draw,ZHANG Yining (CHN),LI Chunli (NZL),ZHANG Yining
Olympic Games Athens 2004,2004-08-14,LAU Sui Fei,GANINA Svetlana,4,1,"11,11,10,11,11|3,6,12,5,6",R32,OLYMPICS,WS,918,Main Draw,LAU Sui Fei (HKG),GANINA Svetlana (RUS),LAU Sui Fei
Olympic Games Athens 2004,2004-08-14,PAVLOVICH Viktoria,KOMWONG Nanthana,4,2,"11,11,9,11,7,11|4,6,11,3,11,1",R32,OLYMPICS,WS,918,Main Draw,PAVLOVICH Viktoria (BLR),KOMWONG Nanthana (THA),PAVLOVICH Viktoria
Olympic Games Athens 2004,2004-08-14,BOROS Tamara,KRAVCHENKO Marina,4,0,"11,11,11,11|8,6,5,7",R32,OLYMPICS,WS,918,Main Draw,BOROS Tamara (CRO),KRAVCHENKO Marina (ISR),BOROS Tamara
Olympic Games Athens 2004,2004-08-14,TIE Yana,TOTH Krisztina,4,1,"11,6,12,14,11|6,11,10,12,6",R32,OLYMPICS,WS,918,Main Draw,TIE Yana (HKG),TOTH Krisztina (HUN),TIE Yana
Olympic Games Athens 2004,2004-08-14,KIM Hyon Hui,JING Junhong,4,2,"7,11,6,11,11,11|11,8,11,5,4,9",R32,OLYMPICS,WS,918,Main Draw,KIM Hyon Hui (PRK),JING Junhong (SGP),KIM Hyon Hui
Olympic Games Athens 2004,2004-08-14,FUKUHARA Ai,GAO Jun,4,0,"11,11,11,11|3,6,8,9",R32,OLYMPICS,WS,918,Main Draw,FUKUHARA Ai (JPN),GAO Jun (USA),FUKUHARA Ai
Olympic Games Athens 2004,2004-08-14,KIM Kyungah,TAN Wenling,4,1,"9,11,11,11,11|11,7,5,3,9",R32,OLYMPICS,WS,918,Main Draw,KIM Kyungah (KOR),TAN Wenling (ITA),KIM Kyungah
Olympic Games Athens 2004,2004-08-14,NIU Jianfeng,SCHALL Elke,4,3,"12,12,11,10,11,11,11|14,14,5,12,6,2,6",R32,OLYMPICS,WS,918,Main Draw,NIU Jianfeng (CHN),SCHALL Elke (GER),NIU Jianfeng
Olympic Games Athens 2004,2004-08-14,KIM Hyang Mi,STEFF Mihaela,4,2,"7,11,11,11,6,11|11,8,7,7,11,9",R32,OLYMPICS,WS,918,Main Draw,KIM Hyang Mi (PRK),STEFF Mihaela (ROU),KIM Hyang Mi
Olympic Games Athens 2004,2004-08-14,ZHANG Xueling,LEE Eunsil,4,1,"11,11,11,9,11|5,7,9,11,6",R32,OLYMPICS,WS,918,Main Draw,ZHANG Xueling (SGP),LEE Eunsil (KOR),ZHANG Xueling
Olympic Games Athens 2004,2004-08-14,FUJINUMA Ai,LIU Jia,4,3,"7,6,12,11,11,8,11|11,11,10,6,7,11,7",R32,OLYMPICS,WS,918,Main Draw,FUJINUMA Ai (JPN),LIU Jia (AUT),FUJINUMA Ai
