tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
World Tour India Open New Delhi 2017,2017-02-14,ANTHONY Amalraj,AVI-TAL Omer,4,0,"11,11,11,11|8,4,8,4",,GRAND_SLAM,MS,455,Qualification,ANTHONY Amalraj (IND),AVI-TAL Omer (PAN),ANTHONY Amalraj
World Tour India Open New Delhi 2017,2017-02-14,ROBLES Alvaro,PANDE Siddhesh,4,1,"11,12,11,9,11|2,10,7,11,8",,GRAND_SLAM,MS,455,Qualification,ROBLES Alvaro (ESP),PANDE Siddhesh (IND),ROBLES Alvaro
World Tour India Open New Delhi 2017,2017-02-14,GROVER Sudhanshu,PANDE Siddhesh,4,3,"11,16,11,7,11,11,13|4,18,13,11,2,8,11",,GRAND_SLAM,MS,455,Qualification,PANDE Siddhesh (IND),GROVER Sudhanshu (IND),GROVER Sudhanshu
World Tour India Open New Delhi 2017,2017-02-14,ROBLES Alvaro,GROVER Sudhanshu,4,0,"11,11,11,11|7,5,6,8",,GRAND_SLAM,MS,455,Qualification,ROBLES Alvaro (ESP),GROVER Sudhanshu (IND),ROBLES Alvaro
World Tour India Open New Delhi 2017,2017-02-14,DESAI Harmeet,BORO Birdie,4,2,"11,11,8,5,11,11|4,4,11,11,6,8",,GRAND_SLAM,MS,455,Qualification,DESAI Harmeet (IND),BORO Birdie (IND),DESAI Harmeet
World Tour India Open New Delhi 2017,2017-02-14,HUNG Tzu-Hsiang,IZUMO Takuto,4,2,"11,11,7,11,8,11|8,7,11,7,11,9",,GRAND_SLAM,MS,455,Qualification,IZUMO Takuto (JPN),HUNG Tzu-Hsiang (TPE),HUNG Tzu-Hsiang
World Tour India Open New Delhi 2017,2017-02-14,DESAI Harmeet,IZUMO Takuto,4,1,"11,11,8,11,11|6,6,11,8,9",,GRAND_SLAM,MS,455,Qualification,DESAI Harmeet (IND),IZUMO Takuto (JPN),DESAI Harmeet
World Tour India Open New Delhi 2017,2017-02-14,HUNG Tzu-Hsiang,BORO Birdie,4,0,"11,11,11,11|7,5,3,8",,GRAND_SLAM,MS,455,Qualification,BORO Birdie (IND),HUNG Tzu-Hsiang (TPE),HUNG Tzu-Hsiang
World Tour India Open New Delhi 2017,2017-02-14,DESAI Harmeet,HUNG Tzu-Hsiang,4,0,"11,17,11,11|5,15,4,7",,GRAND_SLAM,MS,455,Qualification,DESAI Harmeet (IND),HUNG Tzu-Hsiang (TPE),DESAI Harmeet
World Tour India Open New Delhi 2017,2017-02-14,IZUMO Takuto,BORO Birdie,4,1,"9,11,17,11,11|11,6,15,9,7",,GRAND_SLAM,MS,455,Qualification,IZUMO Takuto (JPN),BORO Birdie (IND),IZUMO Takuto
World Tour India Open New Delhi 2017,2017-02-14,GNANASEKARAN Sathiyan,YADAV Abhishek,4,0,"11,11,11,11|7,4,8,9",,GRAND_SLAM,MS,455,Qualification,GNANASEKARAN Sathiyan (IND),YADAV Abhishek (IND),GNANASEKARAN Sathiyan
