tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
Italy Open Courmayeur 2002,2002-05-02,TOKIC Bojan,QIN Zhijian,4,2,"12,11,7,11,10,12|10,8,11,5,12,10",,GRAND_SLAM,MS,1298,Qualification,TOKIC Bojan (SLO),QIN Zhijian (CHN),TOKIC Bojan
Italy Open Courmayeur 2002,2002-05-02,SORENSEN Mads,KARIMJANOV Alisher,4,0,"11,11,11,11|5,7,6,6",,GRAND_SLAM,MS,1298,Qualification,SORENSEN Mads (DEN),KARIMJANOV Alisher (UZB),SORENSEN Mads
Italy Open Courmayeur 2002,2002-05-02,KRCIL Frantisek,HUANG Wei-Chin,4,0,"11,11,11,11|5,5,9,6",,GRAND_SLAM,MS,1298,Qualification,KRCIL Frantisek (CZE),HUANG Wei-Chin (TPE),KRCIL Frantisek
Italy Open Courmayeur 2002,2002-05-02,BARHAM Dale,KRCIL Frantisek,4,2,"11,5,11,12,8,11|6,11,5,10,11,2",QR2,GRAND_SLAM,MS,1298,Qualification,BARHAM Dale (ENG),KRCIL Frantisek (CZE),BARHAM Dale
Italy Open Courmayeur 2002,2002-05-02,HUANG Wei-Chin,BARHAM Dale,4,2,"10,12,11,11,10,11|12,10,9,8,12,7",3,GRAND_SLAM,MS,1298,Qualification,HUANG Wei-Chin (TPE),BARHAM Dale (ENG),HUANG Wei-Chin
Italy Open Courmayeur 2002,2002-05-02,HERBERT Gareth,JAPEC Tomislav,4,1,"11,11,6,11,11|8,8,11,8,8",,GRAND_SLAM,MS,1298,Qualification,HERBERT Gareth (ENG),JAPEC Tomislav (CRO),HERBERT Gareth
Italy Open Courmayeur 2002,2002-05-02,HERBERT Gareth,LAI Kuan-Shen,4,1,"1,11,11,11,11|11,7,4,9,7",QR2,GRAND_SLAM,MS,1298,Qualification,HERBERT Gareth (ENG),LAI Kuan-Shen (TPE),HERBERT Gareth
Italy Open Courmayeur 2002,2002-05-02,JAPEC Tomislav,LAI Kuan-Shen,4,3,"11,11,7,9,6,11,11|8,8,11,11,11,8,9",3,GRAND_SLAM,MS,1298,Qualification,JAPEC Tomislav (CRO),LAI Kuan-Shen (TPE),JAPEC Tomislav
Italy Open Courmayeur 2002,2002-05-02,KUZMIN Fedor,RUSHTON Andrew,4,1,"8,11,11,11,11|11,8,9,8,9",,GRAND_SLAM,MS,1298,Qualification,KUZMIN Fedor (RUS),RUSHTON Andrew (ENG),KUZMIN Fedor
Italy Open Courmayeur 2002,2002-05-02,RUSHTON Andrew,MARTINEZ Lucas,4,0,"11,12,11,11|3,10,9,5",QR2,GRAND_SLAM,MS,1298,Qualification,RUSHTON Andrew (ENG),MARTINEZ Lucas (SUI),RUSHTON Andrew
Italy Open Courmayeur 2002,2002-05-02,KUZMIN Fedor,MARTINEZ Lucas,4,1,"15,11,11,11,11|17,6,1,8,6",3,GRAND_SLAM,MS,1298,Qualification,KUZMIN Fedor (RUS),MARTINEZ Lucas (SUI),KUZMIN Fedor
Italy Open Courmayeur 2002,2002-05-02,MORITA Yuki (YOB=1984),SLATINSEK Uros,4,1,"8,12,11,11,11|11,10,5,4,4",,GRAND_SLAM,MS,1298,Qualification,MORITA Yuki (YOB=1984) (JPN),SLATINSEK Uros (SLO),MORITA Yuki (YOB=1984)
Italy Open Courmayeur 2002,2002-05-02,MANSSON Magnus,MORITA Yuki (YOB=1984),4,1,"8,11,11,11,11|11,5,7,5,7",QR2,GRAND_SLAM,MS,1298,Qualification,MANSSON Magnus (SWE),MORITA Yuki (YOB=1984) (JPN),MANSSON Magnus
Italy Open Courmayeur 2002,2002-05-02,MANSSON Magnus,SLATINSEK Uros,4,2,"13,11,9,11,7,11|11,4,11,1,11,4",3,GRAND_SLAM,MS,1298,Qualification,MANSSON Magnus (SWE),SLATINSEK Uros (SLO),MANSSON Magnus
Italy Open Courmayeur 2002,2002-05-02,CIOCIU Traian,ANDREOLI Fabio,4,3,"8,11,11,9,11,10,11|11,7,7,11,4,12,9",3,GRAND_SLAM,MS,1298,Qualification,CIOCIU Traian (LUX),ANDREOLI Fabio (ITA),CIOCIU Traian
Italy Open Courmayeur 2002,2002-05-02,MOLDOVAN Istvan,SIMON Fabien,4,0,"11,11,11,11|7,9,3,0",,GRAND_SLAM,MS,1298,Qualification,MOLDOVAN Istvan (NOR),SIMON Fabien (LUX),MOLDOVAN Istvan
Italy Open Courmayeur 2002,2002-05-02,KRIVIC Jakov,SIMONER Christoph,4,0,"12,11,11,11|10,7,5,8",,GRAND_SLAM,MS,1298,Qualification,KRIVIC Jakov (CRO),SIMONER Christoph (AUT),KRIVIC Jakov
Italy Open Courmayeur 2002,2002-05-02,SIMONER Christoph,FETH Stefan,4,0,"11,11,17,11|5,1,15,4",QR2,GRAND_SLAM,MS,1298,Qualification,SIMONER Christoph (AUT),FETH Stefan (GER),SIMONER Christoph
Italy Open Courmayeur 2002,2002-05-02,KRIVIC Jakov,FETH Stefan,4,3,"11,11,7,11,6,4,11|9,9,11,8,11,11,5",3,GRAND_SLAM,MS,1298,Qualification,KRIVIC Jakov (CRO),FETH Stefan (GER),KRIVIC Jakov
Italy Open Courmayeur 2002,2002-05-02,PRESSLMAYER Bernhard,WATANABE Masato,4,2,"6,11,11,11,9,11|11,9,5,8,11,5",,GRAND_SLAM,MS,1298,Qualification,PRESSLMAYER Bernhard (AUT),WATANABE Masato (JPN),PRESSLMAYER Bernhard
Italy Open Courmayeur 2002,2002-05-02,WATANABE Masato,SU Chu-Chao,4,0,"11,11,11,11|1,4,4,6",QR2,GRAND_SLAM,MS,1298,Qualification,WATANABE Masato (JPN),SU Chu-Chao (TPE),WATANABE Masato
Italy Open Courmayeur 2002,2002-05-02,PRESSLMAYER Bernhard,SU Chu-Chao,4,0,"11,11,11,11|7,5,6,7",3,GRAND_SLAM,MS,1298,Qualification,PRESSLMAYER Bernhard (AUT),SU Chu-Chao (TPE),PRESSLMAYER Bernhard
Italy Open Courmayeur 2002,2002-05-02,CLOSSET Marc,FILIMON Lucian,4,0,"11,11,11,11|6,5,9,7",,GRAND_SLAM,MS,1298,Qualification,CLOSSET Marc (BEL),FILIMON Lucian (ROU),CLOSSET Marc
Italy Open Courmayeur 2002,2002-05-02,CLOSSET Marc,SU Chu-Chao,4,0,"11,11,11,11|3,7,6,8",QR2,GRAND_SLAM,MS,1298,Qualification,CLOSSET Marc (BEL),SU Chu-Chao (TPE),CLOSSET Marc
Italy Open Courmayeur 2002,2002-05-02,FILIMON Lucian,SU Chu-Chao,4,0,"11,11,11,11|9,6,3,8",3,GRAND_SLAM,MS,1298,Qualification,FILIMON Lucian (ROU),SU Chu-Chao (TPE),FILIMON Lucian
Italy Open Courmayeur 2002,2002-05-02,KONGSGAARD Christian,SUSS Christian,4,0,"11,12,12,14|7,10,10,12",3,GRAND_SLAM,MS,1298,Qualification,KONGSGAARD Christian (DEN),SUSS Christian (GER),KONGSGAARD Christian
Italy Open Courmayeur 2002,2002-05-02,MONTEIRO Thiago,KISHIKAWA Seiya,4,0,"11,11,11,11|6,5,9,5",,GRAND_SLAM,MS,1298,Qualification,MONTEIRO Thiago (BRA),KISHIKAWA Seiya (JPN),MONTEIRO Thiago
Italy Open Courmayeur 2002,2002-05-02,KISHIKAWA Seiya,TSENG Chun-Yuan,4,0,"11,11,11,11|9,9,9,8",QR2,GRAND_SLAM,MS,1298,Qualification,KISHIKAWA Seiya (JPN),TSENG Chun-Yuan (TPE),KISHIKAWA Seiya
Italy Open Courmayeur 2002,2002-05-02,MONTEIRO Thiago,TSENG Chun-Yuan,4,1,"11,9,11,11,12|7,11,9,8,10",3,GRAND_SLAM,MS,1298,Qualification,MONTEIRO Thiago (BRA),TSENG Chun-Yuan (TPE),MONTEIRO Thiago
Italy Open Courmayeur 2002,2002-05-02,VLASOV Grigory,OLLIVIER Brice,4,3,"8,6,7,11,11,11,12|11,11,11,5,8,5,10",,GRAND_SLAM,MS,1298,Qualification,VLASOV Grigory (RUS),OLLIVIER Brice (FRA),VLASOV Grigory
Italy Open Courmayeur 2002,2002-05-02,KITO Akira,OLLIVIER Brice,4,1,"11,11,8,11,12|7,6,11,7,10",QR2,GRAND_SLAM,MS,1298,Qualification,KITO Akira (JPN),OLLIVIER Brice (FRA),KITO Akira
Italy Open Courmayeur 2002,2002-05-02,KITO Akira,VLASOV Grigory,4,0,"11,11,11,15|5,4,8,13",3,GRAND_SLAM,MS,1298,Qualification,KITO Akira (JPN),VLASOV Grigory (RUS),KITO Akira
Italy Open Courmayeur 2002,2002-05-02,MAIER Christoph,TAKAKIWA Kenichi,4,2,"11,9,7,17,11,11|5,11,11,15,3,9",QR2,GRAND_SLAM,MS,1298,Qualification,MAIER Christoph (AUT),TAKAKIWA Kenichi (JPN),MAIER Christoph
Italy Open Courmayeur 2002,2002-05-02,QUENTEL Dorian,BALL Andreas,4,0,"12,11,14,11|10,7,12,7",,GRAND_SLAM,MS,1298,Qualification,QUENTEL Dorian (FRA),BALL Andreas (GER),QUENTEL Dorian
Italy Open Courmayeur 2002,2002-05-02,YOUNG Terry,TOMASI Stefano,4,2,"6,11,7,11,11,11|11,9,11,7,9,6",,GRAND_SLAM,MS,1298,Qualification,YOUNG Terry (ENG),TOMASI Stefano (ITA),YOUNG Terry
Italy Open Courmayeur 2002,2002-05-02,KOMAC Gregor,YOUNG Terry,4,3,"11,7,11,11,6,4,13|6,11,9,7,11,11,11",QR2,GRAND_SLAM,MS,1298,Qualification,KOMAC Gregor (SLO),YOUNG Terry (ENG),KOMAC Gregor
Italy Open Courmayeur 2002,2002-05-02,KOMAC Gregor,TOMASI Stefano,4,3,"11,11,7,5,7,17,11|8,8,11,11,11,15,9",3,GRAND_SLAM,MS,1298,Qualification,KOMAC Gregor (SLO),TOMASI Stefano (ITA),KOMAC Gregor
Italy Open Courmayeur 2002,2002-05-02,SAKAMOTO Ryusuke,VOSTES Yannick,4,0,"11,11,11,11|4,6,7,3",,GRAND_SLAM,MS,1298,Qualification,SAKAMOTO Ryusuke (JPN),VOSTES Yannick (BEL),SAKAMOTO Ryusuke
Italy Open Courmayeur 2002,2002-05-02,SAKAMOTO Ryusuke,GONZALES Raymond,4,0,"11,11,11,11|9,4,8,5",QR2,GRAND_SLAM,MS,1298,Qualification,SAKAMOTO Ryusuke (JPN),GONZALES Raymond (NOR),SAKAMOTO Ryusuke
Italy Open Courmayeur 2002,2002-05-02,GONZALES Raymond,VOSTES Yannick,4,0,"11,11,11,12|8,6,3,10",3,GRAND_SLAM,MS,1298,Qualification,GONZALES Raymond (NOR),VOSTES Yannick (BEL),GONZALES Raymond
Italy Open Courmayeur 2002,2002-05-02,CHIANG Peng-Lung,FILIMON Lucian,4,0,"11,11,11,11|2,3,7,6",R64,GRAND_SLAM,MS,1298,Main Draw,CHIANG Peng-Lung (TPE),FILIMON Lucian (ROU),CHIANG Peng-Lung
Italy Open Courmayeur 2002,2002-05-02,KLASEK Marek,SORENSEN Mads,4,1,"11,11,11,6,11|9,8,6,11,7",R64,GRAND_SLAM,MS,1298,Main Draw,KLASEK Marek (CZE),SORENSEN Mads (DEN),KLASEK Marek
Italy Open Courmayeur 2002,2002-05-02,LENGEROV Kostadin,BOBOCICA Mihai,4,0,"11,11,11,11|6,9,7,4",R64,GRAND_SLAM,MS,1298,Main Draw,LENGEROV Kostadin (AUT),BOBOCICA Mihai (ITA),LENGEROV Kostadin
Italy Open Courmayeur 2002,2002-05-02,KO Lai Chak,SABATINO Daniele,4,0,"11,11,11,11|2,6,1,5",R64,GRAND_SLAM,MS,1298,Main Draw,KO Lai Chak (HKG),SABATINO Daniele (ITA),KO Lai Chak
Italy Open Courmayeur 2002,2002-05-02,CHANG Yen-Shu,KRCIL Frantisek,4,3,"8,11,13,7,11,7,11|11,7,11,11,8,11,6",R64,GRAND_SLAM,MS,1298,Main Draw,CHANG Yen-Shu (TPE),KRCIL Frantisek (CZE),CHANG Yen-Shu
Italy Open Courmayeur 2002,2002-05-02,STEGER Bastian,MOLDOVAN Istvan,4,0,"11,11,11,11|8,8,6,3",R64,GRAND_SLAM,MS,1298,Main Draw,STEGER Bastian (GER),MOLDOVAN Istvan (NOR),STEGER Bastian
Italy Open Courmayeur 2002,2002-05-02,MONTEIRO Thiago,LUCESOLI Francesco,4,2,"12,5,9,11,11,17|10,11,11,7,6,15",R64,GRAND_SLAM,MS,1298,Main Draw,MONTEIRO Thiago (BRA),LUCESOLI Francesco (ITA),MONTEIRO Thiago
Italy Open Courmayeur 2002,2002-05-02,HAKANSSON Fredrik,MARMUREK Olivier,4,0,"11,13,11,11|4,11,4,8",R64,GRAND_SLAM,MS,1298,Main Draw,HAKANSSON Fredrik (SWE),MARMUREK Olivier (FRA),HAKANSSON Fredrik
Italy Open Courmayeur 2002,2002-05-02,KARLSSON Peter,SAKAMOTO Ryusuke,4,0,"12,12,16,11|10,10,14,8",R64,GRAND_SLAM,MS,1298,Main Draw,KARLSSON Peter (SWE),SAKAMOTO Ryusuke (JPN),KARLSSON Peter
Italy Open Courmayeur 2002,2002-05-02,NILSSON Peter,MITAMURA Muneaki,4,3,"8,10,11,12,8,11,14|11,12,5,10,11,7,12",R64,GRAND_SLAM,MS,1298,Main Draw,NILSSON Peter (SWE),MITAMURA Muneaki (JPN),NILSSON Peter
Italy Open Courmayeur 2002,2002-05-02,TOKIC Bojan,KITO Akira,4,1,"14,11,4,11,11|12,5,11,9,7",R64,GRAND_SLAM,MS,1298,Main Draw,TOKIC Bojan (SLO),KITO Akira (JPN),TOKIC Bojan
Italy Open Courmayeur 2002,2002-05-02,BENTSEN Allan,MARTINEZ Michel,4,2,"11,9,9,11,11,11|8,11,11,4,8,9",R64,GRAND_SLAM,MS,1298,Main Draw,BENTSEN Allan (DEN),MARTINEZ Michel (FRA),BENTSEN Allan
Italy Open Courmayeur 2002,2002-05-02,TASAKI Toshio,ANDREOLI Fabio,4,1,"11,8,11,11,11|8,11,6,6,8",R64,GRAND_SLAM,MS,1298,Main Draw,TASAKI Toshio (JPN),ANDREOLI Fabio (ITA),TASAKI Toshio
Italy Open Courmayeur 2002,2002-05-02,MOLIN Magnus,CLOSSET Marc,4,2,"13,11,11,11,11,11|15,4,13,7,4,5",R64,GRAND_SLAM,MS,1298,Main Draw,MOLIN Magnus (SWE),CLOSSET Marc (BEL),MOLIN Magnus
Italy Open Courmayeur 2002,2002-05-02,VARIN Eric,MAIER Christoph,4,0,"14,11,11,11|12,9,5,7",R64,GRAND_SLAM,MS,1298,Main Draw,VARIN Eric (FRA),MAIER Christoph (AUT),VARIN Eric
Italy Open Courmayeur 2002,2002-05-02,PRIMORAC Zoran,CIOCIU Traian,4,0,"11,11,11,11|5,4,8,7",R64,GRAND_SLAM,MS,1298,Main Draw,PRIMORAC Zoran (CRO),CIOCIU Traian (LUX),PRIMORAC Zoran
Italy Open Courmayeur 2002,2002-05-02,BABOOR Chetan,KELLER Raphael,4,0,"11,11,11,11|6,8,6,4",R64,GRAND_SLAM,MS,1298,Main Draw,BABOOR Chetan (IND),KELLER Raphael (SUI),BABOOR Chetan
Italy Open Courmayeur 2002,2002-05-02,MONRAD Martin,CABESTANY Cedrik,4,3,"11,13,11,10,1,10,13|5,11,7,12,11,12,11",R64,GRAND_SLAM,MS,1298,Main Draw,MONRAD Martin (DEN),CABESTANY Cedrik (FRA),MONRAD Martin
Italy Open Courmayeur 2002,2002-05-02,MATSUSHITA Koji,KUZMIN Fedor,4,0,"11,11,11,11|4,8,3,8",R64,GRAND_SLAM,MS,1298,Main Draw,MATSUSHITA Koji (JPN),KUZMIN Fedor (RUS),MATSUSHITA Koji
Italy Open Courmayeur 2002,2002-05-02,MANSSON Magnus,LI Ching,4,3,"11,11,11,7,8,9,11|3,8,6,11,11,11,8",R64,GRAND_SLAM,MS,1298,Main Draw,MANSSON Magnus (SWE),LI Ching (HKG),MANSSON Magnus
Italy Open Courmayeur 2002,2002-05-02,MORITA Yuki (YOB=1984),KEINATH Thomas,4,3,"11,14,2,3,10,11,13|9,12,11,11,12,3,11",R64,GRAND_SLAM,MS,1298,Main Draw,MORITA Yuki (YOB=1984) (JPN),KEINATH Thomas (SVK),MORITA Yuki (YOB=1984)
Italy Open Courmayeur 2002,2002-05-02,GARDOS Robert,HERBERT Gareth,4,2,"11,6,11,9,11,11|4,11,3,11,3,6",R64,GRAND_SLAM,MS,1298,Main Draw,GARDOS Robert (AUT),HERBERT Gareth (ENG),GARDOS Robert
Italy Open Courmayeur 2002,2002-05-02,ELOI Damien,JAPEC Tomislav,4,0,"11,12,11,11|3,10,8,4",R64,GRAND_SLAM,MS,1298,Main Draw,ELOI Damien (FRA),JAPEC Tomislav (CRO),ELOI Damien
Italy Open Courmayeur 2002,2002-05-02,CHEUNG Yuk,QUENTEL Dorian,4,2,"11,9,11,8,11,11|6,11,7,11,5,8",R64,GRAND_SLAM,MS,1298,Main Draw,CHEUNG Yuk (HKG),QUENTEL Dorian (FRA),CHEUNG Yuk
Italy Open Courmayeur 2002,2002-05-02,ERLANDSEN Geir,KOMAC Gregor,4,0,"11,12,12,13|9,10,10,11",R64,GRAND_SLAM,MS,1298,Main Draw,ERLANDSEN Geir (NOR),KOMAC Gregor (SLO),ERLANDSEN Geir
Italy Open Courmayeur 2002,2002-05-02,MONDELLO Massimiliano,KONGSGAARD Christian,4,2,"11,8,11,3,11,11|2,11,6,11,8,7",R64,GRAND_SLAM,MS,1298,Main Draw,MONDELLO Massimiliano (ITA),KONGSGAARD Christian (DEN),MONDELLO Massimiliano
Italy Open Courmayeur 2002,2002-05-02,LEUNG Chu Yan,SIMONER Christoph,4,1,"13,11,11,6,11|11,3,9,11,8",R64,GRAND_SLAM,MS,1298,Main Draw,LEUNG Chu Yan (HKG),SIMONER Christoph (AUT),LEUNG Chu Yan
Italy Open Courmayeur 2002,2002-05-02,GATIEN Jean-Philippe,CROTTI Mattia,4,1,"5,11,11,11,11|11,8,1,9,6",R64,GRAND_SLAM,MS,1298,Main Draw,GATIEN Jean-Philippe (FRA),CROTTI Mattia (ITA),GATIEN Jean-Philippe
Italy Open Courmayeur 2002,2002-05-02,HIELSCHER Lars,KRIVIC Jakov,4,0,"11,12,11,11|3,10,4,7",R64,GRAND_SLAM,MS,1298,Main Draw,HIELSCHER Lars (GER),KRIVIC Jakov (CRO),HIELSCHER Lars
Italy Open Courmayeur 2002,2002-05-02,BRATANOV Martin,SUSS Christian,4,1,"4,11,11,11,11|11,5,7,9,8",R64,GRAND_SLAM,MS,1298,Main Draw,BRATANOV Martin (BEL),SUSS Christian (GER),BRATANOV Martin
Italy Open Courmayeur 2002,2002-05-02,CHUANG Chih-Yuan,JOVER Sebastien,4,0,"12,11,11,13|10,5,5,11",R64,GRAND_SLAM,MS,1298,Main Draw,CHUANG Chih-Yuan (TPE),JOVER Sebastien (FRA),CHUANG Chih-Yuan
Italy Open Courmayeur 2002,2002-05-02,CHIANG Peng-Lung,KLASEK Marek,4,0,"11,11,13,11|7,3,11,8",R32,GRAND_SLAM,MS,1298,Main Draw,CHIANG Peng-Lung (TPE),KLASEK Marek (CZE),CHIANG Peng-Lung
Italy Open Courmayeur 2002,2002-05-02,LENGEROV Kostadin,KO Lai Chak,4,1,"5,11,12,11,13|11,8,10,8,11",R32,GRAND_SLAM,MS,1298,Main Draw,LENGEROV Kostadin (AUT),KO Lai Chak (HKG),LENGEROV Kostadin
Italy Open Courmayeur 2002,2002-05-02,CHANG Yen-Shu,STEGER Bastian,4,2,"11,11,7,8,11,11|5,7,11,11,9,8",R32,GRAND_SLAM,MS,1298,Main Draw,CHANG Yen-Shu (TPE),STEGER Bastian (GER),CHANG Yen-Shu
Italy Open Courmayeur 2002,2002-05-02,HAKANSSON Fredrik,MONTEIRO Thiago,4,0,"11,11,13,11|7,8,11,7",R32,GRAND_SLAM,MS,1298,Main Draw,HAKANSSON Fredrik (SWE),MONTEIRO Thiago (BRA),HAKANSSON Fredrik
Italy Open Courmayeur 2002,2002-05-02,KARLSSON Peter,NILSSON Peter,4,0,"11,11,11,11|2,8,8,7",R32,GRAND_SLAM,MS,1298,Main Draw,KARLSSON Peter (SWE),NILSSON Peter (SWE),KARLSSON Peter
Italy Open Courmayeur 2002,2002-05-02,TOKIC Bojan,BENTSEN Allan,4,2,"3,11,11,11,8,13|11,6,5,6,11,11",R32,GRAND_SLAM,MS,1298,Main Draw,TOKIC Bojan (SLO),BENTSEN Allan (DEN),TOKIC Bojan
Italy Open Courmayeur 2002,2002-05-02,TASAKI Toshio,MOLIN Magnus,4,3,"11,7,9,11,6,12,11|7,11,11,8,11,10,8",R32,GRAND_SLAM,MS,1298,Main Draw,TASAKI Toshio (JPN),MOLIN Magnus (SWE),TASAKI Toshio
Italy Open Courmayeur 2002,2002-05-02,VARIN Eric,PRESSLMAYER Bernhard,4,1,"11,11,9,11,11|6,6,11,2,5",R32,GRAND_SLAM,MS,1298,Main Draw,VARIN Eric (FRA),PRESSLMAYER Bernhard (AUT),VARIN Eric
Italy Open Courmayeur 2002,2002-05-02,PRIMORAC Zoran,BABOOR Chetan,4,1,"11,11,11,4,11|5,5,8,11,9",R32,GRAND_SLAM,MS,1298,Main Draw,PRIMORAC Zoran (CRO),BABOOR Chetan (IND),PRIMORAC Zoran
Italy Open Courmayeur 2002,2002-05-02,MATSUSHITA Koji,MONRAD Martin,4,3,"11,11,11,10,10,3,12|7,3,9,12,12,11,10",R32,GRAND_SLAM,MS,1298,Main Draw,MATSUSHITA Koji (JPN),MONRAD Martin (DEN),MATSUSHITA Koji
Italy Open Courmayeur 2002,2002-05-02,ELOI Damien,GARDOS Robert,4,1,"8,11,11,11,11|11,6,9,9,9",R32,GRAND_SLAM,MS,1298,Main Draw,ELOI Damien (FRA),GARDOS Robert (AUT),ELOI Damien
Italy Open Courmayeur 2002,2002-05-02,ERLANDSEN Geir,CHEUNG Yuk,4,3,"9,11,11,15,11,12,12|11,9,13,17,5,10,10",R32,GRAND_SLAM,MS,1298,Main Draw,ERLANDSEN Geir (NOR),CHEUNG Yuk (HKG),ERLANDSEN Geir
Italy Open Courmayeur 2002,2002-05-02,LEUNG Chu Yan,MONDELLO Massimiliano,4,1,"11,11,11,15,11|8,4,5,17,9",R32,GRAND_SLAM,MS,1298,Main Draw,LEUNG Chu Yan (HKG),MONDELLO Massimiliano (ITA),LEUNG Chu Yan
Italy Open Courmayeur 2002,2002-05-02,GATIEN Jean-Philippe,HIELSCHER Lars,4,2,"11,12,8,11,11,11|5,14,11,5,9,6",R32,GRAND_SLAM,MS,1298,Main Draw,GATIEN Jean-Philippe (FRA),HIELSCHER Lars (GER),GATIEN Jean-Philippe
Italy Open Courmayeur 2002,2002-05-02,CHUANG Chih-Yuan,BRATANOV Martin,4,2,"11,11,10,12,13,11|7,6,12,10,15,8",R32,GRAND_SLAM,MS,1298,Main Draw,CHUANG Chih-Yuan (TPE),BRATANOV Martin (BEL),CHUANG Chih-Yuan
Italy Open Courmayeur 2002,2002-05-02,CHANG Yen-Shu,HAKANSSON Fredrik,4,0,"11,11,11,11|8,9,7,8",R16,GRAND_SLAM,MS,1298,Main Draw,CHANG Yen-Shu (TPE),HAKANSSON Fredrik (SWE),CHANG Yen-Shu
Italy Open Courmayeur 2002,2002-05-02,KARLSSON Peter,TOKIC Bojan,4,0,"11,11,12,11|6,6,10,7",R16,GRAND_SLAM,MS,1298,Main Draw,KARLSSON Peter (SWE),TOKIC Bojan (SLO),KARLSSON Peter
Italy Open Courmayeur 2002,2002-05-02,TASAKI Toshio,VARIN Eric,4,1,"11,6,11,11,11|9,11,7,9,7",R16,GRAND_SLAM,MS,1298,Main Draw,TASAKI Toshio (JPN),VARIN Eric (FRA),TASAKI Toshio
Italy Open Courmayeur 2002,2002-05-02,PRIMORAC Zoran,MATSUSHITA Koji,4,2,"3,13,11,11,11,11|11,15,6,4,8,9",R16,GRAND_SLAM,MS,1298,Main Draw,PRIMORAC Zoran (CRO),MATSUSHITA Koji (JPN),PRIMORAC Zoran
Italy Open Courmayeur 2002,2002-05-02,MANSSON Magnus,ELOI Damien,4,3,"10,14,9,4,11,11,11|12,12,11,11,7,5,7",R16,GRAND_SLAM,MS,1298,Main Draw,MANSSON Magnus (SWE),ELOI Damien (FRA),MANSSON Magnus
Italy Open Courmayeur 2002,2002-05-02,LEUNG Chu Yan,ERLANDSEN Geir,4,3,"5,8,9,11,11,11,11|11,11,11,8,6,7,7",R16,GRAND_SLAM,MS,1298,Main Draw,LEUNG Chu Yan (HKG),ERLANDSEN Geir (NOR),LEUNG Chu Yan
