tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
Pro Tour STAG Belarus Open Minsk 2008,2008-05-22,IONESCU Ovidiu,VOITSEKHAU Tsimur,4,1,"11,11,11,11,11|9,13,2,8,6",,GRAND_SLAM,MS,793,Qualification,IONESCU Ovidiu (ROU),VOITSEKHAU Tsimur (BLR),IONESCU Ovidiu
Pro Tour STAG Belarus Open Minsk 2008,2008-05-22,PLATONOV Pavel,IONESCU Ovidiu,4,1,"11,15,11,8,11|9,13,6,11,9",,GRAND_SLAM,MS,793,Qualification,PLATONOV Pavel (BLR),IONESCU Ovidiu (ROU),PLATONOV Pavel
Pro Tour STAG Belarus Open Minsk 2008,2008-05-22,POPOV Dmitry,VOITSEKHAU Tsimur,4,2,"11,4,14,7,11,11|4,11,12,11,6,7",,GRAND_SLAM,MS,793,Qualification,POPOV Dmitry (RUS),VOITSEKHAU Tsimur (BLR),POPOV Dmitry
Pro Tour STAG Belarus Open Minsk 2008,2008-05-22,XU Xin,MENGE Gencay,4,0,"11,11,11,11|6,5,7,5",,GRAND_SLAM,MS,793,Qualification,XU Xin (CHN),MENGE Gencay (TUR),XU Xin
Pro Tour STAG Belarus Open Minsk 2008,2008-05-22,VINOGRADOV Alexei,SHABAN Vital,4,0,"11,11,11,11|3,7,6,4",,GRAND_SLAM,MS,793,Qualification,VINOGRADOV Alexei (RUS),SHABAN Vital (BLR),VINOGRADOV Alexei
Pro Tour STAG Belarus Open Minsk 2008,2008-05-22,MENGE Gencay,SHABAN Vital,4,0,"11,11,11,11|5,8,9,9",,GRAND_SLAM,MS,793,Qualification,MENGE Gencay (TUR),SHABAN Vital (BLR),MENGE Gencay
Pro Tour STAG Belarus Open Minsk 2008,2008-05-22,XU Xin,VINOGRADOV Alexei,4,0,"11,11,11,11|4,6,8,9",,GRAND_SLAM,MS,793,Qualification,XU Xin (CHN),VINOGRADOV Alexei (RUS),XU Xin
Pro Tour STAG Belarus Open Minsk 2008,2008-05-22,VINOGRADOV Alexei,MENGE Gencay,4,3,"18,11,5,12,11,8,11|16,7,11,14,8,11,8",,GRAND_SLAM,MS,793,Qualification,VINOGRADOV Alexei (RUS),MENGE Gencay (TUR),VINOGRADOV Alexei
Pro Tour STAG Belarus Open Minsk 2008,2008-05-22,XU Xin,SHABAN Vital,4,0,"11,11,11,11|3,1,2,2",,GRAND_SLAM,MS,793,Qualification,XU Xin (CHN),SHABAN Vital (BLR),XU Xin
Pro Tour STAG Belarus Open Minsk 2008,2008-05-22,SAMSONOV Vladimir,SZYMANSKI Filip,4,0,"11,11,11,11|2,5,4,5",R32,GRAND_SLAM,MS,793,Main Draw,SAMSONOV Vladimir (BLR),SZYMANSKI Filip (POL),SAMSONOV Vladimir
Pro Tour STAG Belarus Open Minsk 2008,2008-05-22,KOU Lei,AL-HASAN Ibrahem,4,1,"13,8,11,11,11|11,11,4,8,6",R32,GRAND_SLAM,MS,793,Main Draw,KOU Lei (UKR),AL-HASAN Ibrahem (KUW),KOU Lei
Pro Tour STAG Belarus Open Minsk 2008,2008-05-22,PLATONOV Pavel,MATTENET Adrien,4,3,"11,7,7,13,11,11,11|9,11,11,15,9,9,8",R32,GRAND_SLAM,MS,793,Main Draw,PLATONOV Pavel (BLR),MATTENET Adrien (FRA),PLATONOV Pavel
Pro Tour STAG Belarus Open Minsk 2008,2008-05-22,ZENG Cem,SENI Jonut,4,0,"11,11,11,11|6,5,6,9",R32,GRAND_SLAM,MS,793,Main Draw,ZENG Cem (TUR),SENI Jonut (ROU),ZENG Cem
Pro Tour STAG Belarus Open Minsk 2008,2008-05-22,LEBESSON Emmanuel,PRYSHCHEPA Ievgen,4,1,"7,11,11,11,11|11,3,6,3,7",R32,GRAND_SLAM,MS,793,Main Draw,LEBESSON Emmanuel (FRA),PRYSHCHEPA Ievgen (UKR),LEBESSON Emmanuel
Pro Tour STAG Belarus Open Minsk 2008,2008-05-22,UTOCHKIN Artem,SALIFOU Abdel-Kader,4,2,"1,13,12,8,11,11|11,11,10,11,5,5",R32,GRAND_SLAM,MS,793,Main Draw,UTOCHKIN Artem (RUS),SALIFOU Abdel-Kader (BEN),UTOCHKIN Artem
Pro Tour STAG Belarus Open Minsk 2008,2008-05-22,ROGIERS Benjamin,ABRAMOV Isaak,4,1,"11,11,11,11,11|8,13,9,2,8",R32,GRAND_SLAM,MS,793,Main Draw,ROGIERS Benjamin (BEL),ABRAMOV Isaak (ISR),ROGIERS Benjamin
Pro Tour STAG Belarus Open Minsk 2008,2008-05-22,CHTCHETININE Evgueni,ZAIKIN Alan,4,0,"11,11,11,11|8,9,4,7",R32,GRAND_SLAM,MS,793,Main Draw,CHTCHETININE Evgueni (BLR),ZAIKIN Alan (RUS),CHTCHETININE Evgueni
Pro Tour STAG Belarus Open Minsk 2008,2008-05-22,HABESOHN Daniel,BUROV Viacheslav,4,3,"11,7,11,11,7,6,11|9,11,5,9,11,11,4",R32,GRAND_SLAM,MS,793,Main Draw,HABESOHN Daniel (AUT),BUROV Viacheslav (RUS),HABESOHN Daniel
Pro Tour STAG Belarus Open Minsk 2008,2008-05-22,PAIKOV Mikhail,JIANG Pengfei,4,3,"11,7,11,5,11,6,11|6,11,3,11,8,11,9",R32,GRAND_SLAM,MS,793,Main Draw,PAIKOV Mikhail (RUS),JIANG Pengfei (TUR),PAIKOV Mikhail
Pro Tour STAG Belarus Open Minsk 2008,2008-05-22,CHUMAKOU Dmitry,VOSTES Yannick,4,0,"11,11,12,11|6,6,10,6",R32,GRAND_SLAM,MS,793,Main Draw,CHUMAKOU Dmitry (BLR),VOSTES Yannick (BEL),CHUMAKOU Dmitry
Pro Tour STAG Belarus Open Minsk 2008,2008-05-22,MAKSIMOV Maksim,PRESSLMAYER Bernhard,4,0,"13,11,11,11|11,9,7,9",R32,GRAND_SLAM,MS,793,Main Draw,MAKSIMOV Maksim (RUS),PRESSLMAYER Bernhard (AUT),MAKSIMOV Maksim
Pro Tour STAG Belarus Open Minsk 2008,2008-05-22,DIDUKH Oleksandr,KRIVOSHEEV Viacheslav,4,1,"14,11,11,10,11|12,5,5,12,7",R32,GRAND_SLAM,MS,793,Main Draw,DIDUKH Oleksandr (UKR),KRIVOSHEEV Viacheslav (RUS),DIDUKH Oleksandr
Pro Tour STAG Belarus Open Minsk 2008,2008-05-22,NEKHVEDOVICH Vitaly,PIETKIEWICZ Maciej,4,3,"4,18,11,11,5,7,11|11,16,7,4,11,11,4",R32,GRAND_SLAM,MS,793,Main Draw,NEKHVEDOVICH Vitaly (BLR),PIETKIEWICZ Maciej (POL),NEKHVEDOVICH Vitaly
Pro Tour STAG Belarus Open Minsk 2008,2008-05-22,XU Xin,KATKOV Ivan,4,0,"11,11,11,11|6,4,8,7",R32,GRAND_SLAM,MS,793,Main Draw,XU Xin (CHN),KATKOV Ivan (UKR),XU Xin
Pro Tour STAG Belarus Open Minsk 2008,2008-05-22,HOU Yingchao,STETSENKO Alexander,4,0,"11,11,11,11|4,8,8,4",R32,GRAND_SLAM,MS,793,Main Draw,HOU Yingchao (CAN),STETSENKO Alexander (RUS),HOU Yingchao
Pro Tour STAG Belarus Open Minsk 2008,2008-05-22,SAMSONOV Vladimir,KOU Lei,4,0,"11,11,11,11|9,6,8,5",R16,GRAND_SLAM,MS,793,Main Draw,SAMSONOV Vladimir (BLR),KOU Lei (UKR),SAMSONOV Vladimir
Pro Tour STAG Belarus Open Minsk 2008,2008-05-22,ZENG Cem,PLATONOV Pavel,4,0,"11,11,11,11|7,3,7,7",R16,GRAND_SLAM,MS,793,Main Draw,ZENG Cem (TUR),PLATONOV Pavel (BLR),ZENG Cem
Pro Tour STAG Belarus Open Minsk 2008,2008-05-22,LEBESSON Emmanuel,UTOCHKIN Artem,4,1,"4,11,11,11,11|11,5,7,3,7",R16,GRAND_SLAM,MS,793,Main Draw,LEBESSON Emmanuel (FRA),UTOCHKIN Artem (RUS),LEBESSON Emmanuel
Pro Tour STAG Belarus Open Minsk 2008,2008-05-22,CHTCHETININE Evgueni,ROGIERS Benjamin,4,0,"11,13,11,11|8,11,5,3",R16,GRAND_SLAM,MS,793,Main Draw,CHTCHETININE Evgueni (BLR),ROGIERS Benjamin (BEL),CHTCHETININE Evgueni
Pro Tour STAG Belarus Open Minsk 2008,2008-05-22,PAIKOV Mikhail,HABESOHN Daniel,4,3,"11,11,10,9,7,11,11|9,9,12,11,11,5,4",R16,GRAND_SLAM,MS,793,Main Draw,PAIKOV Mikhail (RUS),HABESOHN Daniel (AUT),PAIKOV Mikhail
Pro Tour STAG Belarus Open Minsk 2008,2008-05-22,MAKSIMOV Maksim,CHUMAKOU Dmitry,4,3,"8,11,11,11,8,7,11|11,9,3,4,11,11,6",R16,GRAND_SLAM,MS,793,Main Draw,MAKSIMOV Maksim (RUS),CHUMAKOU Dmitry (BLR),MAKSIMOV Maksim
Pro Tour STAG Belarus Open Minsk 2008,2008-05-22,DIDUKH Oleksandr,NEKHVEDOVICH Vitaly,4,2,"11,6,8,11,11,11|7,11,11,8,9,4",R16,GRAND_SLAM,MS,793,Main Draw,DIDUKH Oleksandr (UKR),NEKHVEDOVICH Vitaly (BLR),DIDUKH Oleksandr
Pro Tour STAG Belarus Open Minsk 2008,2008-05-22,XU Xin,HOU Yingchao,4,1,"11,11,12,7,11|4,6,10,11,7",R16,GRAND_SLAM,MS,793,Main Draw,XU Xin (CHN),HOU Yingchao (CAN),XU Xin
Pro Tour STAG Belarus Open Minsk 2008,2008-05-22,SAMSONOV Vladimir,ZENG Cem,4,0,"11,11,11,11|4,4,2,5",QF,GRAND_SLAM,MS,793,Main Draw,SAMSONOV Vladimir (BLR),ZENG Cem (TUR),SAMSONOV Vladimir
Pro Tour STAG Belarus Open Minsk 2008,2008-05-22,CHTCHETININE Evgueni,LEBESSON Emmanuel,4,2,"5,11,8,11,13,11|11,4,11,1,11,9",QF,GRAND_SLAM,MS,793,Main Draw,CHTCHETININE Evgueni (BLR),LEBESSON Emmanuel (FRA),CHTCHETININE Evgueni
Pro Tour STAG Belarus Open Minsk 2008,2008-05-22,PAIKOV Mikhail,MAKSIMOV Maksim,4,0,"11,11,11,11|7,7,5,5",QF,GRAND_SLAM,MS,793,Main Draw,PAIKOV Mikhail (RUS),MAKSIMOV Maksim (RUS),PAIKOV Mikhail
Pro Tour STAG Belarus Open Minsk 2008,2008-05-22,XU Xin,DIDUKH Oleksandr,4,0,"11,11,11,11|5,5,8,6",QF,GRAND_SLAM,MS,793,Main Draw,XU Xin (CHN),DIDUKH Oleksandr (UKR),XU Xin
Pro Tour STAG Belarus Open Minsk 2008,2008-05-22,SAMSONOV Vladimir,CHTCHETININE Evgueni,4,1,"11,11,11,7,11|4,6,7,11,8",SF,GRAND_SLAM,MS,793,Main Draw,SAMSONOV Vladimir (BLR),CHTCHETININE Evgueni (BLR),SAMSONOV Vladimir
