tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
GAC Group 26th Table Tennis Asian Cup Hong Kong 2013,2013-04-12,WU Yang,LEE Ho Ching,4,1,"11,6,11,11,11|9,11,5,4,4",,OTHER,WS,551,Qualification,WU Yang (CHN),LEE Ho Ching (HKG)
GAC Group 26th Table Tennis Asian Cup Hong Kong 2013,2013-04-12,WU Yang,ISHIKAWA Kasumi,4,2,"8,11,11,11,9,11|11,5,3,8,11,2",,OTHER,WS,551,Qualification,WU Yang (CHN),ISHIKAWA Kasumi (JPN)
GAC Group 26th Table Tennis Asian Cup Hong Kong 2013,2013-04-12,SEOK Hajung,LEE Ho Ching,4,0,"14,11,11,11|12,7,7,5",,OTHER,WS,551,Qualification,SEOK Hajung (KOR),LEE Ho Ching (HKG)
GAC Group 26th Table Tennis Asian Cup Hong Kong 2013,2013-04-12,ISHIKAWA Kasumi,LEE Ho Ching,4,2,"11,11,12,11,7,11|8,13,10,9,11,8",,OTHER,WS,551,Qualification,ISHIKAWA Kasumi (JPN),LEE Ho Ching (HKG)
GAC Group 26th Table Tennis Asian Cup Hong Kong 2013,2013-04-12,WU Yang,SEOK Hajung,4,0,"11,11,11,11|2,0,0,0",,OTHER,WS,551,Qualification,WU Yang (CHN),SEOK Hajung (KOR)
GAC Group 26th Table Tennis Asian Cup Hong Kong 2013,2013-04-12,KOMWONG Nanthana,KUMARESAN Shamini,4,1,"11,11,11,9,11|9,6,6,11,5",,OTHER,WS,551,Qualification,KOMWONG Nanthana (THA),KUMARESAN Shamini (IND)
GAC Group 26th Table Tennis Asian Cup Hong Kong 2013,2013-04-12,KOMWONG Nanthana,MOHAMED Aia,4,0,"11,11,11,11|4,1,5,5",,OTHER,WS,551,Qualification,KOMWONG Nanthana (THA),MOHAMED Aia (QAT)
GAC Group 26th Table Tennis Asian Cup Hong Kong 2013,2013-04-12,KUMARESAN Shamini,MOHAMED Aia,4,0,"11,11,11,11|6,7,7,7",,OTHER,WS,551,Qualification,KUMARESAN Shamini (IND),MOHAMED Aia (QAT)
GAC Group 26th Table Tennis Asian Cup Hong Kong 2013,2013-04-12,KIM Hyok Bong,YANG Zi,4,3,"11,7,11,14,10,11,11|13,11,6,12,12,8,9",QR4,OTHER,MS,551,Qualification,KIM Hyok Bong (PRK),YANG Zi (SGP)
GAC Group 26th Table Tennis Asian Cup Hong Kong 2013,2013-04-12,TANG Peng,ACHANTA Sharath,4,2,"13,7,5,11,11,11|11,11,11,1,8,7",QR4,OTHER,MS,551,Qualification,TANG Peng (HKG),ACHANTA Sharath (IND)
GAC Group 26th Table Tennis Asian Cup Hong Kong 2013,2013-04-12,ISHIKAWA Kasumi,KOMWONG Nanthana,4,2,"9,4,11,11,11,11|11,11,5,1,4,3",QR4,OTHER,WS,551,Qualification,ISHIKAWA Kasumi (JPN),KOMWONG Nanthana (THA)
GAC Group 26th Table Tennis Asian Cup Hong Kong 2013,2013-04-12,YU Mengyu,HIRANO Sayaka,4,0,"12,11,11,11|10,7,9,8",QR4,OTHER,WS,551,Qualification,YU Mengyu (SGP),HIRANO Sayaka (JPN)
GAC Group 26th Table Tennis Asian Cup Hong Kong 2013,2013-04-12,XU Xin,KIM Hyok Bong,4,0,"13,11,11,11|11,5,3,4",QF,OTHER,MS,551,Main Draw,XU Xin (CHN),KIM Hyok Bong (PRK)
GAC Group 26th Table Tennis Asian Cup Hong Kong 2013,2013-04-12,CHUANG Chih-Yuan,JIANG Tianyi,4,1,"11,11,11,11,11|13,7,9,4,3",QF,OTHER,MS,551,Main Draw,CHUANG Chih-Yuan (TPE),JIANG Tianyi (HKG)
GAC Group 26th Table Tennis Asian Cup Hong Kong 2013,2013-04-12,ALAMIYAN Noshad,CHEN Chien-An,4,0,"11,11,15,11|8,6,13,5",QF,OTHER,MS,551,Main Draw,ALAMIYAN Noshad (IRI),CHEN Chien-An (TPE)
GAC Group 26th Table Tennis Asian Cup Hong Kong 2013,2013-04-12,YAN An,TANG Peng,4,2,"12,18,9,6,11,11|10,16,11,11,5,7",QF,OTHER,MS,551,Main Draw,YAN An (CHN),TANG Peng (HKG)
