tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
World Table Tennis Championships Paris 2013,2013-05-13,PAIKOV Mikhail/NOSKOVA Yana,MICHELY Gilles/DE NUTTE Sarah,4,0,"11,16,11,11|7,14,6,2",R128,WORLD_CHAMPIONSHIPS,XD,599,Main Draw,PAIKOV Mikhail (RUS) / NOSKOVA Yana (RUS),MICHELY Gilles (LUX) / DE NUTTE Sarah (LUX),PAIKOV Mikhail
World Table Tennis Championships Paris 2013,2013-05-13,SHIBAEV Alexander/KUZMINA Elena,TANVIRIYAVECHAKUL Padasak/SAWETTABUT Suthasini,4,0,"11,11,11,15|8,4,7,13",R128,WORLD_CHAMPIONSHIPS,XD,599,Main Draw,SHIBAEV Alexander (RUS) / KUZMINA Elena (RUS),TANVIRIYAVECHAKUL Padasak (THA) / SAWETTABUT Suthasini (THA),SHIBAEV Alexander
World Table Tennis Championships Paris 2013,2013-05-13,KIM Hyok Bong/KIM Jong,LIVENTSOV Alexey/SAVELYEVA Antonina,4,0,"14,11,11,11|12,4,7,7",R64,WORLD_CHAMPIONSHIPS,XD,599,Main Draw,KIM Hyok Bong (PRK) / KIM Jong (PRK),LIVENTSOV Alexey (RUS) / SAVELYEVA Antonina (RUS),KIM Hyok Bong
World Table Tennis Championships Paris 2013,2013-05-13,CRISAN Adrian/DODEAN Daniela,PAIKOV Mikhail/NOSKOVA Yana,4,0,"12,11,11,11|10,9,9,6",R64,WORLD_CHAMPIONSHIPS,XD,599,Main Draw,CRISAN Adrian (ROU) / DODEAN Daniela (ROU),PAIKOV Mikhail (RUS) / NOSKOVA Yana (RUS),CRISAN Adrian
World Table Tennis Championships Paris 2013,2013-05-13,GHOSH Soumyajit/DAS Mouma,SHIBAEV Alexander/KUZMINA Elena,4,1,"16,11,11,8,11|14,9,8,11,8",R64,WORLD_CHAMPIONSHIPS,XD,599,Main Draw,GHOSH Soumyajit (IND) / DAS Mouma (IND),SHIBAEV Alexander (RUS) / KUZMINA Elena (RUS),GHOSH Soumyajit
World Table Tennis Championships Paris 2013,2013-05-13,LIVENTSOV Alexey/PAIKOV Mikhail,ASSAR Khalid/ASSAR Omar,4,3,"8,2,9,12,11,12,11|11,11,11,10,6,10,9",R64,WORLD_CHAMPIONSHIPS,MD,599,Main Draw,LIVENTSOV Alexey (RUS) / PAIKOV Mikhail (RUS),ASSAR Khalid (EGY) / ASSAR Omar (EGY),LIVENTSOV Alexey
World Table Tennis Championships Paris 2013,2013-05-13,LIVENTSOV Alexey/PAIKOV Mikhail,SIRUCEK Pavel/TREGLER Tomas,4,2,"11,11,8,11,8,11|8,6,11,5,11,7",R32,WORLD_CHAMPIONSHIPS,MD,599,Main Draw,LIVENTSOV Alexey (RUS) / PAIKOV Mikhail (RUS),SIRUCEK Pavel (CZE) / TREGLER Tomas (CZE),LIVENTSOV Alexey
World Table Tennis Championships Paris 2013,2013-05-13,WANG Liqin/ZHOU Yu,LIVENTSOV Alexey/PAIKOV Mikhail,4,0,"11,11,11,15|3,8,1,13",R16,WORLD_CHAMPIONSHIPS,MD,599,Main Draw,WANG Liqin (CHN) / ZHOU Yu (CHN),LIVENTSOV Alexey (RUS) / PAIKOV Mikhail (RUS),WANG Liqin
World Table Tennis Championships Paris 2013,2013-05-13,MATSUMOTO Cazuo/KUMAHARA Luca,RUMGAY Gavin/EDWARDS Gillian,4,0,"11,15,11,11|8,13,5,3",R128,WORLD_CHAMPIONSHIPS,XD,599,Main Draw,MATSUMOTO Cazuo (BRA) / KUMAHARA Luca (BRA),RUMGAY Gavin (SCO) / EDWARDS Gillian (SCO),MATSUMOTO Cazuo
World Table Tennis Championships Paris 2013,2013-05-13,YANG Zi/YU Mengyu,ALTO Gaston/IWASA Agustina,4,0,"11,11,11,12|6,5,5,10",R128,WORLD_CHAMPIONSHIPS,XD,599,Main Draw,YANG Zi (SGP) / YU Mengyu (SGP),ALTO Gaston (ARG) / IWASA Agustina (ARG),YANG Zi
World Table Tennis Championships Paris 2013,2013-05-13,JAKAB Janos/PERGEL Szandra,CHEW Clarence/LI Isabelle Siyun,4,0,"11,11,11,11|4,4,6,4",R128,WORLD_CHAMPIONSHIPS,XD,599,Main Draw,JAKAB Janos (HUN) / PERGEL Szandra (HUN),CHEW Clarence (SGP) / LI Isabelle Siyun (SGP),JAKAB Janos
World Table Tennis Championships Paris 2013,2013-05-13,YANG Zi/YU Mengyu,KOU Lei/HAPONOVA Hanna,4,1,"11,11,11,11,11|3,5,13,6,9",R64,WORLD_CHAMPIONSHIPS,XD,599,Main Draw,YANG Zi (SGP) / YU Mengyu (SGP),KOU Lei (UKR) / HAPONOVA Hanna (UKR),YANG Zi
World Table Tennis Championships Paris 2013,2013-05-13,YANG Zi/YU Mengyu,PLATONOV Pavel/PRIVALOVA Alexandra,4,2,"8,11,11,11,9,11|11,2,8,2,11,4",R32,WORLD_CHAMPIONSHIPS,XD,599,Main Draw,YANG Zi (SGP) / YU Mengyu (SGP),PLATONOV Pavel (BLR) / PRIVALOVA Alexandra (BLR),YANG Zi
World Table Tennis Championships Paris 2013,2013-05-13,VANG Bora/HU Melek,YANG Zi/YU Mengyu,4,2,"11,9,11,3,11,11|8,11,4,11,9,7",R16,WORLD_CHAMPIONSHIPS,XD,599,Main Draw,VANG Bora (TUR) / HU Melek (TUR),YANG Zi (SGP) / YU Mengyu (SGP),VANG Bora
World Table Tennis Championships Paris 2013,2013-05-13,PAK Sin Hyok/RI Mi Gyong,LASAN Sas/GALIC Alex,4,1,"11,11,11,8,11|2,7,8,11,6",R128,WORLD_CHAMPIONSHIPS,XD,599,Main Draw,PAK Sin Hyok (PRK) / RI Mi Gyong (PRK),LASAN Sas (SLO) / GALIC Alex (SLO),PAK Sin Hyok
