tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
WTT Contender Muscat 2024,2024-10-30,QIN Yuxuan,MUKHERJEE Sutirtha,3,1,"13,11,9,11|11,5,11,5",R32,WTT_CONTENDER,WS,2997,Main Draw,QIN Yuxuan (CHN),MUKHERJEE Sutirtha (IND),QIN Yuxuan
WTT Contender Muscat 2024,2024-10-30,WONG Chun Ting/CHAN Baldwin,PANG Koen/QUEK Izaac,3,1,"11,12,4,11|5,10,11,6",R16,WTT_CONTENDER,MD,2997,Main Draw,WONG Chun Ting/CHAN Baldwin (HKG),PANG Koen/QUEK Izaac (SGP),WONG Chun Ting/CHAN Baldwin
WTT Contender Muscat 2024,2024-10-30,SHAMS Navid,YOSHIYAMA Ryoichi,3,2,"7,11,7,11,11|11,5,11,7,7",R32,WTT_CONTENDER,MS,2997,Main Draw,SHAMS Navid (IRI),YOSHIYAMA Ryoichi (JPN),SHAMS Navid
WTT Contender Muscat 2024,2024-10-30,XIANG Peng/YUAN Licen,GHOSH Anirban/PAL Akash,3,0,"11,11,11|5,9,2",R16,WTT_CONTENDER,MD,2997,Main Draw,XIANG Peng/YUAN Licen (CHN),GHOSH Anirban/PAL Akash (IND),XIANG Peng/YUAN Licen
WTT Contender Muscat 2024,2024-10-30,KONG Tsz Lam/LEE Hoi Man Karen,CHITALE Diya Parag/GHORPADE Yashaswini,3,0,"11,11,11|9,6,5",R16,WTT_CONTENDER,WD,2997,Main Draw,KONG Tsz Lam/LEE Hoi Man Karen (HKG),CHITALE Diya Parag/GHORPADE Yashaswini (IND),KONG Tsz Lam/LEE Hoi Man Karen
WTT Contender Muscat 2024,2024-10-30,LIN Gaoyuan,SHAH Manush Utpalbhai,3,0,"11,11,11|7,2,5",R32,WTT_CONTENDER,MS,2997,Main Draw,LIN Gaoyuan (CHN),SHAH Manush Utpalbhai (IND),LIN Gaoyuan
WTT Contender Muscat 2024,2024-10-30,IONESCU Ovidiu,FARAJI Benyamin,3,0,"11,11,15|7,5,13",R32,WTT_CONTENDER,MS,2997,Main Draw,IONESCU Ovidiu (ROU),FARAJI Benyamin (IRI),IONESCU Ovidiu
WTT Contender Muscat 2024,2024-10-30,ODO Satsuki/TAKAMORI Mao,DAS Priyadarshini/NAINA Ms.,3,0,"11,19,11|8,17,3",R16,WTT_CONTENDER,WD,2997,Main Draw,ODO Satsuki/TAKAMORI Mao (JPN),DAS Priyadarshini/NAINA Ms. (IND),ODO Satsuki/TAKAMORI Mao
WTT Contender Muscat 2024,2024-10-30,PARK Gyuhyeon,WONG Chun Ting,3,2,"11,6,10,11,11|9,11,12,4,6",R32,WTT_CONTENDER,MS,2997,Main Draw,PARK Gyuhyeon (KOR),WONG Chun Ting (HKG),PARK Gyuhyeon
WTT Contender Muscat 2024,2024-10-30,YOON Hyobin/KIM Seoyun,HE Zhuojia/CHEN Yi,3,0,"11,11,11|7,9,6",R16,WTT_CONTENDER,WD,2997,Main Draw,YOON Hyobin/KIM Seoyun (KOR),HE Zhuojia/CHEN Yi (CHN),YOON Hyobin/KIM Seoyun
WTT Contender Muscat 2024,2024-10-30,WEN Ruibo,PAL Akash,3,1,"8,11,11,11|11,9,8,4",R32,WTT_CONTENDER,MS,2997,Main Draw,WEN Ruibo (CHN),PAL Akash (IND),WEN Ruibo
WTT Contender Muscat 2024,2024-10-30,MUKHERJEE Ayhika,BALAZOVA Barbora,3,2,"11,9,5,11,11|4,11,11,9,9",R32,WTT_CONTENDER,WS,2997,Main Draw,MUKHERJEE Ayhika (IND),BALAZOVA Barbora (SVK),MUKHERJEE Ayhika
WTT Contender Muscat 2024,2024-10-30,SHI Xunyao,HAN Feier,3,1,"11,7,11,11|7,11,8,9",R32,WTT_CONTENDER,WS,2997,Main Draw,SHI Xunyao (CHN),HAN Feier (CHN),SHI Xunyao
WTT Contender Muscat 2024,2024-10-30,YUAN Licen,OH Junsung,3,0,"11,11,11|8,5,7",R32,WTT_CONTENDER,MS,2997,Main Draw,YUAN Licen (CHN),OH Junsung (KOR),YUAN Licen
WTT Contender Muscat 2024,2024-10-30,GHOSH Swastika,LI Yake,3,1,"9,11,11,11|11,7,3,8",R32,WTT_CONTENDER,WS,2997,Main Draw,GHOSH Swastika (IND),LI Yake (CHN),GHOSH Swastika
WTT Contender Muscat 2024,2024-10-30,THAKKAR Manav Vikash,TANAKA Yuta,3,1,"11,9,11,11|9,11,8,4",R32,WTT_CONTENDER,MS,2997,Main Draw,THAKKAR Manav Vikash (IND),TANAKA Yuta (JPN),THAKKAR Manav Vikash
