tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
ITTF Asian Championships Wuxi 2017,2017-04-09,PATKAR Madhurika,NYYAZGYLYJOVA Oguljennet,3,0,"11,11,11|6,2,5",R128,OTHER,WS,515,Main Draw,NYYAZGYLYJOVA Oguljennet (TKM),PATKAR Madhurika (IND)
ITTF Asian Championships Wuxi 2017,2017-04-09,DOO Hoi Kem,SAMET Maryam,3,0,"11,11,11|6,3,5",R64,OTHER,WS,515,Main Draw,SAMET Maryam (IRI),DOO Hoi Kem (HKG)
ITTF Asian Championships Wuxi 2017,2017-04-09,HIRANO Miu,SAWETTABUT Jinnipa,3,0,"11,11,11|4,4,5",R64,OTHER,WS,515,Main Draw,HIRANO Miu (JPN),SAWETTABUT Jinnipa (THA)
ITTF Asian Championships Wuxi 2017,2017-04-09,LEE Zion,AL-WEDIAN Bara,3,0,"11,11,11|3,5,4",R64,OTHER,WS,515,Main Draw,AL-WEDIAN Bara (JOR),LEE Zion (KOR)
ITTF Asian Championships Wuxi 2017,2017-04-09,DAS Mouma,AL ABRI Noora,3,0,"11,11,11|2,6,4",R64,OTHER,WS,515,Main Draw,DAS Mouma (IND),AL ABRI Noora (QAT)
ITTF Asian Championships Wuxi 2017,2017-04-09,CHENG I-Ching,ZHANG Wanling,3,0,"11,11,11|9,6,6",R64,OTHER,WS,515,Main Draw,ZHANG Wanling (SGP),CHENG I-Ching (TPE)
ITTF Asian Championships Wuxi 2017,2017-04-09,ITO Mima,HO Ying,3,0,"11,11,12|3,2,10",R64,OTHER,WS,515,Main Draw,ITO Mima (JPN),HO Ying (MAS)
ITTF Asian Championships Wuxi 2017,2017-04-09,SOO Wai Yam,NAZIM Aishath,3,0,"11,11,11|3,4,2",R64,OTHER,WS,515,Main Draw,NAZIM Aishath (MDV),SOO Wai Yam (HKG)
ITTF Asian Championships Wuxi 2017,2017-04-09,LEE Nakyung,RI Mi Gyong,3,2,"11,11,11,6,11|13,6,5,11,7",R64,OTHER,WS,515,Main Draw,RI Mi Gyong (PRK),LEE Nakyung (KOR)
ITTF Asian Championships Wuxi 2017,2017-04-09,WU Yang,OKTARIYANI Novita,3,0,"11,11,11|5,3,7",R64,OTHER,WS,515,Main Draw,OKTARIYANI Novita (INA),WU Yang (CHN)
ITTF Asian Championships Wuxi 2017,2017-04-09,SUH Hyo Won,NGUYEN Thi Viet Linh,3,0,"11,11,11|6,4,4",R64,OTHER,WS,515,Main Draw,SUH Hyo Won (KOR),NGUYEN Thi Viet Linh (VIE)
ITTF Asian Championships Wuxi 2017,2017-04-09,LIU Hsing-Yin,MUKHERJEE Sutirtha,3,1,"11,9,11,11|9,11,9,7",R64,OTHER,WS,515,Main Draw,MUKHERJEE Sutirtha (IND),LIU Hsing-Yin (TPE)
ITTF Asian Championships Wuxi 2017,2017-04-09,KHETKHUAN Tamolwan,WONG Xin Ru,3,1,"10,11,11,11|12,3,3,5",R64,OTHER,WS,515,Main Draw,KHETKHUAN Tamolwan (THA),WONG Xin Ru (SGP)
ITTF Asian Championships Wuxi 2017,2017-04-09,ZHU Yuling,BATBAYAR Doljinzuu,3,0,"11,11,11|5,4,1",R64,OTHER,WS,515,Main Draw,BATBAYAR Doljinzuu (MGL),ZHU Yuling (MAC)
ITTF Asian Championships Wuxi 2017,2017-04-09,FENG Tianwei,MALSEVA Vilena,3,0,"11,11,11|2,6,4",R64,OTHER,WS,515,Main Draw,FENG Tianwei (SGP),MALSEVA Vilena (TKM)
ITTF Asian Championships Wuxi 2017,2017-04-09,CHEN Szu-Yu,NGUYEN Thi Nga,3,0,"11,11,11|1,8,8",R64,OTHER,WS,515,Main Draw,NGUYEN Thi Nga (VIE),CHEN Szu-Yu (TPE)
ITTF Asian Championships Wuxi 2017,2017-04-09,KOMWONG Nanthana,HAWWA Kharisma Nur,3,0,"11,11,11|4,2,4",R64,OTHER,WS,515,Main Draw,KOMWONG Nanthana (THA),HAWWA Kharisma Nur (INA)
ITTF Asian Championships Wuxi 2017,2017-04-09,HAYATA Hina,SAHASRABUDHE Pooja,3,0,"11,11,11|8,5,2",R64,OTHER,WS,515,Main Draw,SAHASRABUDHE Pooja (IND),HAYATA Hina (JPN)
ITTF Asian Championships Wuxi 2017,2017-04-09,KIM Kyungah,LEE Ho Ching,3,1,"13,9,11,11|11,11,8,9",R64,OTHER,WS,515,Main Draw,LEE Ho Ching (HKG),KIM Kyungah (KOR)
ITTF Asian Championships Wuxi 2017,2017-04-09,KATO Miyu,LIM Eunice,3,0,"11,11,11|7,7,4",R64,OTHER,WS,515,Main Draw,LIM Eunice (SGP),KATO Miyu (JPN)
ITTF Asian Championships Wuxi 2017,2017-04-09,LIU Yu-Hsin,SHAHSAVARI Neda,3,0,"11,11,11|9,5,9",R64,OTHER,WS,515,Main Draw,LIU Yu-Hsin (TPE),SHAHSAVARI Neda (IRI)
ITTF Asian Championships Wuxi 2017,2017-04-09,CHEN Meng,CHA Hyo Sim,3,0,"11,11,11|6,7,3",R64,OTHER,WS,515,Main Draw,CHA Hyo Sim (PRK),CHEN Meng (CHN)
ITTF Asian Championships Wuxi 2017,2017-04-09,CHOE Hyon Hwa (1992),SATO Hitomi,3,2,"11,8,11,11,12|13,11,8,5,10",R64,OTHER,WS,515,Main Draw,SATO Hitomi (JPN),CHOE Hyon Hwa (1992) (PRK)
ITTF Asian Championships Wuxi 2017,2017-04-09,NG Wing Nam,ASHTARI Mahshid,3,0,"11,11,11|7,9,6",R64,OTHER,WS,515,Main Draw,ASHTARI Mahshid (IRI),NG Wing Nam (HKG)
ITTF Asian Championships Wuxi 2017,2017-04-09,CHENG Hsien-Tzu,MAI Trang,3,0,"11,11,11|5,7,9",R64,OTHER,WS,515,Main Draw,CHENG Hsien-Tzu (TPE),MAI Trang (VIE)
ITTF Asian Championships Wuxi 2017,2017-04-09,YANG Ha Eun,TAN En Hui,3,0,"11,11,11|6,3,5",R64,OTHER,WS,515,Main Draw,TAN En Hui (SGP),YANG Ha Eun (KOR)
ITTF Asian Championships Wuxi 2017,2017-04-09,KIM Song I,BALLYYEVA Enejan,3,0,"11,11,11|8,3,5",R64,OTHER,WS,515,Main Draw,KIM Song I (PRK),BALLYYEVA Enejan (TKM)
ITTF Asian Championships Wuxi 2017,2017-04-09,PARANANG Orawan,MAK Tze Wing,3,2,"10,5,11,11,11|12,11,9,6,8",R64,OTHER,WS,515,Main Draw,PARANANG Orawan (THA),MAK Tze Wing (HKG)
ITTF Asian Championships Wuxi 2017,2017-04-09,JAMALIFAR Fatemeh,BATRA Manika,3,2,"11,11,5,8,11|9,6,11,11,6",R64,OTHER,WS,515,Main Draw,BATRA Manika (IND),JAMALIFAR Fatemeh (IRI)
ITTF Asian Championships Wuxi 2017,2017-04-09,LIU Shiwen,INDRIANI Lilis,3,0,"11,11,11|8,7,4",R64,OTHER,WS,515,Main Draw,INDRIANI Lilis (INA),LIU Shiwen (CHN)
ITTF Asian Championships Wuxi 2017,2017-04-09,DING Ning,NG Sock Khim,3,0,"11,11,11|2,8,5",R32,OTHER,WS,515,Main Draw,DING Ning (CHN),NG Sock Khim (MAS)
ITTF Asian Championships Wuxi 2017,2017-04-09,SAWETTABUT Suthasini,DOO Hoi Kem,3,0,"13,11,11|11,7,9",R32,OTHER,WS,515,Main Draw,SAWETTABUT Suthasini (THA),DOO Hoi Kem (HKG)
ITTF Asian Championships Wuxi 2017,2017-04-09,HIRANO Miu,LEE Zion,3,0,"12,11,11|10,4,3",R32,OTHER,WS,515,Main Draw,HIRANO Miu (JPN),LEE Zion (KOR)
ITTF Asian Championships Wuxi 2017,2017-04-09,CHENG I-Ching,DAS Mouma,3,0,"11,11,11|6,3,6",R32,OTHER,WS,515,Main Draw,DAS Mouma (IND),CHENG I-Ching (TPE)
ITTF Asian Championships Wuxi 2017,2017-04-09,ITO Mima,SOO Wai Yam,3,0,"11,11,11|5,7,6",R32,OTHER,WS,515,Main Draw,ITO Mima (JPN),SOO Wai Yam (HKG)
ITTF Asian Championships Wuxi 2017,2017-04-09,WU Yang,LEE Nakyung,3,0,"11,11,11|9,9,8",R32,OTHER,WS,515,Main Draw,LEE Nakyung (KOR),WU Yang (CHN)
ITTF Asian Championships Wuxi 2017,2017-04-09,SUH Hyo Won,LIU Hsing-Yin,3,0,"11,11,11|3,7,6",R32,OTHER,WS,515,Main Draw,SUH Hyo Won (KOR),LIU Hsing-Yin (TPE)
ITTF Asian Championships Wuxi 2017,2017-04-09,ZHU Yuling,KHETKHUAN Tamolwan,3,0,"11,11,11|7,5,2",R32,OTHER,WS,515,Main Draw,KHETKHUAN Tamolwan (THA),ZHU Yuling (MAC)
ITTF Asian Championships Wuxi 2017,2017-04-09,FENG Tianwei,CHEN Szu-Yu,3,2,"15,3,8,11,13|13,11,11,8,11",R32,OTHER,WS,515,Main Draw,FENG Tianwei (SGP),CHEN Szu-Yu (TPE)
ITTF Asian Championships Wuxi 2017,2017-04-09,HAYATA Hina,KOMWONG Nanthana,3,0,"11,11,11|9,3,8",R32,OTHER,WS,515,Main Draw,KOMWONG Nanthana (THA),HAYATA Hina (JPN)
ITTF Asian Championships Wuxi 2017,2017-04-09,KATO Miyu,KIM Kyungah,3,2,"11,5,6,11,12|5,11,11,9,10",R32,OTHER,WS,515,Main Draw,KIM Kyungah (KOR),KATO Miyu (JPN)
ITTF Asian Championships Wuxi 2017,2017-04-09,CHEN Meng,LIU Yu-Hsin,3,0,"11,11,11|5,9,5",R32,OTHER,WS,515,Main Draw,LIU Yu-Hsin (TPE),CHEN Meng (CHN)
ITTF Asian Championships Wuxi 2017,2017-04-09,CHOE Hyon Hwa (1992),NG Wing Nam,3,0,"11,11,11|9,6,7",R32,OTHER,WS,515,Main Draw,CHOE Hyon Hwa (1992) (PRK),NG Wing Nam (HKG)
ITTF Asian Championships Wuxi 2017,2017-04-09,YANG Ha Eun,CHENG Hsien-Tzu,3,1,"11,11,5,11|9,2,11,8",R32,OTHER,WS,515,Main Draw,CHENG Hsien-Tzu (TPE),YANG Ha Eun (KOR)
ITTF Asian Championships Wuxi 2017,2017-04-09,KIM Song I,PARANANG Orawan,3,1,"11,8,11,11|6,11,3,4",R32,OTHER,WS,515,Main Draw,KIM Song I (PRK),PARANANG Orawan (THA)
ITTF Asian Championships Wuxi 2017,2017-04-09,LIU Shiwen,JAMALIFAR Fatemeh,3,0,"11,11,11|4,1,1",R32,OTHER,WS,515,Main Draw,JAMALIFAR Fatemeh (IRI),LIU Shiwen (CHN)
ITTF Asian Championships Wuxi 2017,2017-04-09,DING Ning,SAWETTABUT Suthasini,3,1,"8,11,12,11|11,3,10,8",R16,OTHER,WS,515,Main Draw,DING Ning (CHN),SAWETTABUT Suthasini (THA)
ITTF Asian Championships Wuxi 2017,2017-04-09,HIRANO Miu,CHENG I-Ching,3,0,"11,11,11|6,1,9",R16,OTHER,WS,515,Main Draw,HIRANO Miu (JPN),CHENG I-Ching (TPE)
ITTF Asian Championships Wuxi 2017,2017-04-09,WU Yang,ITO Mima,3,2,"11,6,11,3,11|9,11,6,11,3",R16,OTHER,WS,515,Main Draw,ITO Mima (JPN),WU Yang (CHN)
ITTF Asian Championships Wuxi 2017,2017-04-09,ZHU Yuling,SUH Hyo Won,3,0,"11,11,11|7,4,3",R16,OTHER,WS,515,Main Draw,SUH Hyo Won (KOR),ZHU Yuling (MAC)
ITTF Asian Championships Wuxi 2017,2017-04-09,FENG Tianwei,HAYATA Hina,3,1,"11,8,13,15|5,11,11,13",R16,OTHER,WS,515,Main Draw,FENG Tianwei (SGP),HAYATA Hina (JPN)
ITTF Asian Championships Wuxi 2017,2017-04-09,CHEN Meng,KATO Miyu,3,1,"11,7,11,11|3,11,5,8",R16,OTHER,WS,515,Main Draw,KATO Miyu (JPN),CHEN Meng (CHN)
ITTF Asian Championships Wuxi 2017,2017-04-09,CHOE Hyon Hwa (1992),YANG Ha Eun,3,2,"11,9,14,8,11|5,11,12,11,7",R16,OTHER,WS,515,Main Draw,CHOE Hyon Hwa (1992) (PRK),YANG Ha Eun (KOR)
ITTF Asian Championships Wuxi 2017,2017-04-09,LIU Shiwen,KIM Song I,3,0,"11,11,11|5,8,8",R16,OTHER,WS,515,Main Draw,KIM Song I (PRK),LIU Shiwen (CHN)
ITTF Asian Championships Wuxi 2017,2017-04-09,HIRANO Miu,DING Ning,3,2,"3,12,11,16,12|11,14,9,14,10",QF,OTHER,WS,515,Main Draw,DING Ning (CHN),HIRANO Miu (JPN)
ITTF Asian Championships Wuxi 2017,2017-04-09,ZHU Yuling,WU Yang,3,0,"11,11,11|3,3,5",QF,OTHER,WS,515,Main Draw,WU Yang (CHN),ZHU Yuling (MAC)
ITTF Asian Championships Wuxi 2017,2017-04-09,CHEN Meng,FENG Tianwei,3,0,"11,11,11|7,2,8",QF,OTHER,WS,515,Main Draw,FENG Tianwei (SGP),CHEN Meng (CHN)
ITTF Asian Championships Wuxi 2017,2017-04-09,LIU Shiwen,CHOE Hyon Hwa (1992),3,0,"11,11,11|4,4,5",QF,OTHER,WS,515,Main Draw,CHOE Hyon Hwa (1992) (PRK),LIU Shiwen (CHN)
ITTF Asian Championships Wuxi 2017,2017-04-09,HIRANO Miu,ZHU Yuling,3,0,"11,11,11|7,9,8",SF,OTHER,WS,515,Main Draw,HIRANO Miu (JPN),ZHU Yuling (MAC)
ITTF Asian Championships Wuxi 2017,2017-04-09,CHEN Meng,LIU Shiwen,3,1,"11,9,11,13|8,11,8,11",SF,OTHER,WS,515,Main Draw,CHEN Meng (CHN),LIU Shiwen (CHN)
ITTF Asian Championships Wuxi 2017,2017-04-09,HIRANO Miu,CHEN Meng,3,0,"11,11,11|9,8,7",F,OTHER,WS,515,Main Draw,HIRANO Miu (JPN),CHEN Meng (CHN)
ITTF Asian Championships Wuxi 2017,2017-04-09,KANG Wi Hun,SARHAN Zubair,3,0,"11,11,11|4,4,1",R128,OTHER,MS,515,Main Draw,SARHAN Zubair (UAE),KANG Wi Hun (PRK)
ITTF Asian Championships Wuxi 2017,2017-04-09,PANG Xue Jie,FAHES Ghaleb,3,0,"11,11,11|5,3,3",R128,OTHER,MS,515,Main Draw,FAHES Ghaleb (LBN),PANG Xue Jie (SGP)
ITTF Asian Championships Wuxi 2017,2017-04-09,JEONG Sangeun,GERASSIMENKO Kirill,3,1,"8,12,12,11|11,10,10,8",R128,OTHER,MS,515,Main Draw,JEONG Sangeun (KOR),GERASSIMENKO Kirill (KAZ)
ITTF Asian Championships Wuxi 2017,2017-04-09,JIANG Tianyi,BILLAH Mahbub,3,0,"11,11,11|6,4,3",R128,OTHER,MS,515,Main Draw,JIANG Tianyi (HKG),BILLAH Mahbub (BAN)
ITTF Asian Championships Wuxi 2017,2017-04-09,KARUNARATHNA Milinda,TESHABOEV Kutbidillo,3,2,"11,12,3,8,11|8,10,11,11,4",R128,OTHER,MS,515,Main Draw,KARUNARATHNA Milinda (SRI),TESHABOEV Kutbidillo (UZB)
ITTF Asian Championships Wuxi 2017,2017-04-09,AJI Donny,RAHIM Abdul,3,0,"11,11,11|4,9,6",R128,OTHER,MS,515,Main Draw,AJI Donny (INA),RAHIM Abdul (PAK)
ITTF Asian Championships Wuxi 2017,2017-04-09,CHEN Chien-An,CHEONG Chi Cheng,3,1,"11,8,11,11|1,11,9,4",R128,OTHER,MS,515,Main Draw,CHEONG Chi Cheng (MAC),CHEN Chien-An (TPE)
ITTF Asian Championships Wuxi 2017,2017-04-09,YOSHIMURA Maharu,ABDULWAHHAB Mohammed,3,0,"11,11,11|9,6,3",R128,OTHER,MS,515,Main Draw,YOSHIMURA Maharu (JPN),ABDULWAHHAB Mohammed (QAT)
ITTF Asian Championships Wuxi 2017,2017-04-09,NGUYEN Anh Tu,RANASINGHA Imesh,3,0,"11,11,11|6,9,9",R128,OTHER,MS,515,Main Draw,NGUYEN Anh Tu (VIE),RANASINGHA Imesh (USA)
ITTF Asian Championships Wuxi 2017,2017-04-09,GNANASEKARAN Sathiyan,SALAMEH Mohammad,3,0,"11,11,11|3,2,4",R128,OTHER,MS,515,Main Draw,SALAMEH Mohammad (JOR),GNANASEKARAN Sathiyan (IND)
