tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
ITTF Latin American Cup Rio de Janeiro 2011,2011-03-17,SILVA Ligia,RODRIGUEZ Berta,4,1,"11,11,11,9,11|7,6,4,11,9",,OTHER,WS,740,Qualification,SILVA Ligia (BRA),RODRIGUEZ Berta (CHI),SILVA Ligia
ITTF Latin American Cup Rio de Janeiro 2011,2011-03-17,RODRIGUEZ Berta,DIAS Priscila,4,0,"11,11,11,11|7,5,1,4",,OTHER,WS,740,Qualification,RODRIGUEZ Berta (CHI),DIAS Priscila (BRA),RODRIGUEZ Berta
ITTF Latin American Cup Rio de Janeiro 2011,2011-03-17,MEDINA Paula,ESTRADA Andrea,4,0,"11,11,11,11|5,3,8,4",,OTHER,WS,740,Qualification,MEDINA Paula (COL),ESTRADA Andrea (GUA),MEDINA Paula
ITTF Latin American Cup Rio de Janeiro 2011,2011-03-17,MEDINA Paula,NONAKA Mariany,4,0,"11,11,11,11|7,6,5,5",,OTHER,WS,740,Qualification,MEDINA Paula (COL),NONAKA Mariany (BRA),MEDINA Paula
ITTF Latin American Cup Rio de Janeiro 2011,2011-03-17,ESTRADA Andrea,NONAKA Mariany,4,2,"9,11,11,11,11,11|11,7,13,7,6,5",,OTHER,WS,740,Qualification,ESTRADA Andrea (GUA),NONAKA Mariany (BRA),ESTRADA Andrea
ITTF Latin American Cup Rio de Janeiro 2011,2011-03-17,SILVA Yadira,KAWAI Katia,4,1,"11,8,11,11,11|5,11,6,6,9",,OTHER,WS,740,Qualification,SILVA Yadira (MEX),KAWAI Katia (BRA),SILVA Yadira
ITTF Latin American Cup Rio de Janeiro 2011,2011-03-17,SILVA Yadira,KUMAHARA Luca,4,1,"8,11,12,11,11|11,9,10,9,6",,OTHER,WS,740,Qualification,SILVA Yadira (MEX),KUMAHARA Luca (BRA),SILVA Yadira
ITTF Latin American Cup Rio de Janeiro 2011,2011-03-17,KUMAHARA Luca,KAWAI Katia,4,1,"11,7,11,11,11|8,11,7,3,6",,OTHER,WS,740,Qualification,KUMAHARA Luca (BRA),KAWAI Katia (BRA),KUMAHARA Luca
ITTF Latin American Cup Rio de Janeiro 2011,2011-03-17,WU Xue,KUMAHARA Luca,4,0,"11,11,11,11|7,3,6,5",QF,OTHER,WS,740,Main Draw,WU Xue (DOM),KUMAHARA Luca (BRA),WU Xue
ITTF Latin American Cup Rio de Janeiro 2011,2011-03-17,MEDINA Paula,RODRIGUEZ Berta,4,1,"7,11,11,11,11|11,6,8,7,5",QF,OTHER,WS,740,Main Draw,MEDINA Paula (COL),RODRIGUEZ Berta (CHI),MEDINA Paula
ITTF Latin American Cup Rio de Janeiro 2011,2011-03-17,SILVA Yadira,ESTRADA Andrea,4,0,"11,12,11,11|9,10,8,6",QF,OTHER,WS,740,Main Draw,SILVA Yadira (MEX),ESTRADA Andrea (GUA),SILVA Yadira
ITTF Latin American Cup Rio de Janeiro 2011,2011-03-17,YAMADA Jessica,SILVA Ligia,4,3,"11,11,11,9,11,6,11|13,6,7,11,9,11,8",QF,OTHER,WS,740,Main Draw,YAMADA Jessica (BRA),SILVA Ligia (BRA),YAMADA Jessica
ITTF Latin American Cup Rio de Janeiro 2011,2011-03-17,WU Xue,MEDINA Paula,4,2,"8,11,5,11,11,12|11,8,11,5,7,10",SF,OTHER,WS,740,Main Draw,WU Xue (DOM),MEDINA Paula (COL),WU Xue
ITTF Latin American Cup Rio de Janeiro 2011,2011-03-17,SILVA Yadira,YAMADA Jessica,4,3,"7,11,6,11,6,11,11|11,9,11,9,11,5,0",SF,OTHER,WS,740,Main Draw,SILVA Yadira (MEX),YAMADA Jessica (BRA),SILVA Yadira
ITTF Latin American Cup Rio de Janeiro 2011,2011-03-17,WU Xue,SILVA Yadira,4,0,"11,11,11,11|9,7,3,9",F,OTHER,WS,740,Main Draw,WU Xue (DOM),SILVA Yadira (MEX),WU Xue
