tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
ITTF Africa Olympic Qualification Tournament Khartum 2016,2016-02-16,FARAH Safa,HUSSEIN Habab,3,2,"12,15,11,4,11|10,17,7,11,7",,OLYMPICS,WS,158,Qualification,FARAH Safa (DJI),HUSSEIN Habab (SUD),FARAH Safa
ITTF Africa Olympic Qualification Tournament Khartum 2016,2016-02-16,HANFFOU Sarah,HUSSEN Haya,3,0,"11,11,11|3,7,3",,OLYMPICS,WS,158,Qualification,HANFFOU Sarah (CMR),HUSSEN Haya (SUD),HANFFOU Sarah
ITTF Africa Olympic Qualification Tournament Khartum 2016,2016-02-16,HANFFOU Sarah,THAKKAR Sejal,3,0,"11,11,11|6,2,5",,OLYMPICS,WS,158,Qualification,HANFFOU Sarah (CMR),THAKKAR Sejal (KEN),HANFFOU Sarah
ITTF Africa Olympic Qualification Tournament Khartum 2016,2016-02-16,THAKKAR Sejal,HUSSEN Haya,3,0,"11,11,11|5,8,3",,OLYMPICS,WS,158,Qualification,THAKKAR Sejal (KEN),HUSSEN Haya (SUD),THAKKAR Sejal
ITTF Africa Olympic Qualification Tournament Khartum 2016,2016-02-16,LAID Islem,NJANI Della,3,0,"11,11,11|4,1,6",,OLYMPICS,WS,158,Qualification,LAID Islem (ALG),NJANI Della (KEN),LAID Islem
ITTF Africa Olympic Qualification Tournament Khartum 2016,2016-02-16,SAIDANI Safa,OSMAN Kauthar,3,0,"11,11,11|2,6,6",,OLYMPICS,WS,158,Qualification,SAIDANI Safa (TUN),OSMAN Kauthar (SUD),SAIDANI Safa
ITTF Africa Olympic Qualification Tournament Khartum 2016,2016-02-16,SAIDANI Safa,LAID Islem,3,1,"11,11,11,11|9,8,13,7",,OLYMPICS,WS,158,Qualification,LAID Islem (ALG),SAIDANI Safa (TUN),SAIDANI Safa
ITTF Africa Olympic Qualification Tournament Khartum 2016,2016-02-16,NJANI Della,OSMAN Kauthar,3,1,"11,11,11,11|13,8,3,4",,OLYMPICS,WS,158,Qualification,NJANI Della (KEN),OSMAN Kauthar (SUD),NJANI Della
ITTF Africa Olympic Qualification Tournament Khartum 2016,2016-02-16,LAID Islem,OSMAN Kauthar,3,0,"11,11,11|2,5,4",,OLYMPICS,WS,158,Qualification,LAID Islem (ALG),OSMAN Kauthar (SUD),LAID Islem
ITTF Africa Olympic Qualification Tournament Khartum 2016,2016-02-16,SAIDANI Safa,NJANI Della,3,0,"11,11,11|3,5,2",,OLYMPICS,WS,158,Qualification,SAIDANI Safa (TUN),NJANI Della (KEN),SAIDANI Safa
ITTF Africa Olympic Qualification Tournament Khartum 2016,2016-02-16,LOGHRAIBI Lynda,GUKHOOL Widaad,3,1,"9,11,11,11|11,7,4,5",,OLYMPICS,WS,158,Qualification,LOGHRAIBI Lynda (ALG),GUKHOOL Widaad (MRI),LOGHRAIBI Lynda
ITTF Africa Olympic Qualification Tournament Khartum 2016,2016-02-16,LOGHRAIBI Lynda,NWACHUKWU Onyinyechi,3,0,"11,11,11|9,6,3",,OLYMPICS,WS,158,Qualification,LOGHRAIBI Lynda (ALG),NWACHUKWU Onyinyechi (CGO),LOGHRAIBI Lynda
ITTF Africa Olympic Qualification Tournament Khartum 2016,2016-02-16,GUKHOOL Widaad,NWACHUKWU Onyinyechi,3,0,"11,11,11|8,8,6",,OLYMPICS,WS,158,Qualification,NWACHUKWU Onyinyechi (CGO),GUKHOOL Widaad (MRI),GUKHOOL Widaad
