tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
Islamic Solidarity Games Riyadh 2025,2025-11-08,HARAC Ece,BILLINGY Jasmine,4,0,"11,11,11,11|2,4,3,7",R32,OTHER,WS,3456,Main Draw,HARAC Ece (TUR),BILLINGY Jasmine (GUY),HARAC Ece
Islamic Solidarity Games Riyadh 2025,2025-11-08,HELMY Yousra,NAKAWALA Jemimah,4,1,"7,11,11,11,11|11,7,9,3,6",QF,OTHER,WS,3456,Main Draw,NAKAWALA Jemimah (UGA),HELMY Yousra (EGY),HELMY Yousra
Islamic Solidarity Games Riyadh 2025,2025-11-08,SHAHSAVARI Neda,HARAC Ece,4,2,"11,8,14,7,11,11|9,11,12,11,4,5",QF,OTHER,WS,3456,Main Draw,HARAC Ece (TUR),SHAHSAVARI Neda (IRI),SHAHSAVARI Neda
Islamic Solidarity Games Riyadh 2025,2025-11-08,ZAZA Hend,SAFAEI Shima,4,3,"5,11,12,2,11,7,11|11,9,10,11,9,11,9",QF,OTHER,WS,3456,Main Draw,ZAZA Hend (SYR),SAFAEI Shima (IRI),ZAZA Hend
Islamic Solidarity Games Riyadh 2025,2025-11-08,ALTINKAYA Sibel,EDGHILL Chelsea,4,0,"15,11,11,11|13,5,8,1",QF,OTHER,WS,3456,Main Draw,ALTINKAYA Sibel (TUR),EDGHILL Chelsea (GUY),ALTINKAYA Sibel
Islamic Solidarity Games Riyadh 2025,2025-11-08,BELLA Maheidine/JELLOULI Milhane,ABDULWAHHAB Abdullah/ABDULWAHHAB Mohammed,3,0,"11,11,11|7,4,8",QF,OTHER,MD,3456,Main Draw,BELLA Maheidine (ALG) / JELLOULI Milhane (ALG),ABDULWAHHAB Abdullah (QAT) / ABDULWAHHAB Mohammed (QAT),BELLA Maheidine
Islamic Solidarity Games Riyadh 2025,2025-11-08,BU SHULAYBI Abdulaziz/ALKHADRAWI Ali,ISMAIL Mohamed/AHMED Moosa,3,0,"11,11,11|6,3,3",QF,OTHER,MD,3456,Main Draw,BU SHULAYBI Abdulaziz (KSA) / ALKHADRAWI Ali (KSA),ISMAIL Mohamed (MDV) / AHMED Moosa (MDV),BU SHULAYBI Abdulaziz
Islamic Solidarity Games Riyadh 2025,2025-11-08,YIGENLER Abdullah/GUNDUZ Ibrahim,KURMANGALIYEV Alan/GERASSIMENKO Kirill,3,0,"13,11,11|11,9,6",QF,OTHER,MD,3456,Main Draw,YIGENLER Abdullah (TUR) / GUNDUZ Ibrahim (TUR),KURMANGALIYEV Alan (KAZ) / GERASSIMENKO Kirill (KAZ),YIGENLER Abdullah
Islamic Solidarity Games Riyadh 2025,2025-11-08,FARAJI Benyamin/HODAEI Amir Hossein,BRYAN Nigel/BRITTON Shemar,3,0,"11,11,11|8,2,2",QF,OTHER,MD,3456,Main Draw,FARAJI Benyamin (IRI) / HODAEI Amir Hossein (IRI),BRYAN Nigel (GUY) / BRITTON Shemar (GUY),FARAJI Benyamin
Islamic Solidarity Games Riyadh 2025,2025-11-08,NAZIM Aishath/ALI Fathimath,FATHY Hend/HELMY Yousra,3,1,"3,11,13,11|11,9,11,5",QF,OTHER,WD,3456,Main Draw,NAZIM Aishath (MDV) / ALI Fathimath (MDV),FATHY Hend (EGY) / HELMY Yousra (EGY),NAZIM Aishath
Islamic Solidarity Games Riyadh 2025,2025-11-08,YILMAZ Ozge/HARAC Ece,SAHAKIAN Mariana/CHIRI Bissan,3,0,"11,11,11|3,6,4",QF,OTHER,WD,3456,Main Draw,YILMAZ Ozge (TUR) / HARAC Ece (TUR),SAHAKIAN Mariana (LBN) / CHIRI Bissan (LBN),YILMAZ Ozge
Islamic Solidarity Games Riyadh 2025,2025-11-08,SAFAEI Shima/SHAHSAVARI Neda,KUDUSOVA Saida/MURATALIEVA Raiana,3,1,"11,9,11,11|9,11,7,6",QF,OTHER,WD,3456,Main Draw,SAFAEI Shima (IRI) / SHAHSAVARI Neda (IRI),KUDUSOVA Saida (KGZ) / MURATALIEVA Raiana (KGZ),SAFAEI Shima
Islamic Solidarity Games Riyadh 2025,2025-11-08,NAKAWALA Jemimah/NANGONZI Judith,ASGAROVA Aylin/NURMATOVA Marziyya,3,2,"12,3,11,9,11|10,11,8,11,8",QF,OTHER,WD,3456,Main Draw,NAKAWALA Jemimah (UGA) / NANGONZI Judith (UGA),ASGAROVA Aylin (AZE) / NURMATOVA Marziyya (AZE),NAKAWALA Jemimah
Islamic Solidarity Games Riyadh 2025,2025-11-08,RASHED Rashed/MAHMOUD Kenda,ALKHADRAWI Ali/ALQAHTANI Nihal,3,0,"11,11,11|9,9,7",QF,OTHER,XD,3456,Main Draw,RASHED Rashed (UAE) / MAHMOUD Kenda (BRN),ALKHADRAWI Ali (KSA) / ALQAHTANI Nihal (KSA),RASHED Rashed
Islamic Solidarity Games Riyadh 2025,2025-11-08,AHMED Md Javed/SAI Khoy,AHMED Moosa/NAZIM Aishath,3,0,"14,11,11|12,5,8",QF,OTHER,XD,3456,Main Draw,AHMED Md Javed (BAN) / SAI Khoy (BAN),AHMED Moosa (MDV) / NAZIM Aishath (MDV),AHMED Md Javed
Islamic Solidarity Games Riyadh 2025,2025-11-08,AHMADZADA Adil/NURMATOVA Marziyya,BOURHAN Abdourazak Abdallah/OUMAR Nassima,3,0,"11,11,11|4,6,7",QF,OTHER,XD,3456,Main Draw,AHMADZADA Adil (AZE) / NURMATOVA Marziyya (AZE),BOURHAN Abdourazak Abdallah (DJI) / OUMAR Nassima (DJI),AHMADZADA Adil
Islamic Solidarity Games Riyadh 2025,2025-11-08,GUNDUZ Ibrahim/ALTINKAYA Sibel,BATIX Ylane/KOULAOUINHI Lorenza,3,0,"11,11,11|2,9,1",QF,OTHER,XD,3456,Main Draw,GUNDUZ Ibrahim (TUR) / ALTINKAYA Sibel (TUR),BATIX Ylane (CMR) / KOULAOUINHI Lorenza (CMR),GUNDUZ Ibrahim
Islamic Solidarity Games Riyadh 2025,2025-11-08,BELLA Maheidine/JELLOULI Milhane,BAWM Ramhimlian/RIDOY Mohutasin,3,2,"11,11,9,7,11|9,9,11,11,7",R16,OTHER,MD,3456,Main Draw,BELLA Maheidine (ALG) / JELLOULI Milhane (ALG),BAWM Ramhimlian (BAN) / RIDOY Mohutasin (BAN),BELLA Maheidine
Islamic Solidarity Games Riyadh 2025,2025-11-08,ABDULWAHHAB Abdullah/ABDULWAHHAB Mohammed,SULTONOV Ubaydullo/HASANOV Jamshed,3,0,"11,11,11|5,3,3",R16,OTHER,MD,3456,Main Draw,ABDULWAHHAB Abdullah (QAT) / ABDULWAHHAB Mohammed (QAT),SULTONOV Ubaydullo (TJK) / HASANOV Jamshed (TJK),ABDULWAHHAB Abdullah
Islamic Solidarity Games Riyadh 2025,2025-11-08,ISMAIL Mohamed/AHMED Moosa,HASANOV Hilal/GULUZADE Onur,3,1,"9,11,11,12|11,8,3,10",R16,OTHER,MD,3456,Main Draw,ISMAIL Mohamed (MDV) / AHMED Moosa (MDV),HASANOV Hilal (AZE) / GULUZADE Onur (AZE),ISMAIL Mohamed
Islamic Solidarity Games Riyadh 2025,2025-11-08,BU SHULAYBI Abdulaziz/ALKHADRAWI Ali,BAKHAUTDINOV Mavlankhan/KASYMOV Atai,3,0,"11,11,11|8,4,1",R16,OTHER,MD,3456,Main Draw,BU SHULAYBI Abdulaziz (KSA) / ALKHADRAWI Ali (KSA),BAKHAUTDINOV Mavlankhan (KGZ) / KASYMOV Atai (KGZ),BU SHULAYBI Abdulaziz
Islamic Solidarity Games Riyadh 2025,2025-11-08,NAZIM Aishath/ALI Fathimath,KHAN Kalsoom/FAWAD Hoor,3,0,"11,11,11|7,7,9",R16,OTHER,WD,3456,Main Draw,NAZIM Aishath (MDV) / ALI Fathimath (MDV),KHAN Kalsoom (PAK) / FAWAD Hoor (PAK),NAZIM Aishath
Islamic Solidarity Games Riyadh 2025,2025-11-08,SAHAKIAN Mariana/CHIRI Bissan,ALTHANI Hessa/MAHMOUD Kenda,3,1,"9,11,12,11|11,7,10,8",R16,OTHER,WD,3456,Main Draw,SAHAKIAN Mariana (LBN) / CHIRI Bissan (LBN),ALTHANI Hessa (BRN) / MAHMOUD Kenda (BRN),SAHAKIAN Mariana
Islamic Solidarity Games Riyadh 2025,2025-11-08,YILMAZ Ozge/HARAC Ece,SAI Khoy/SOMA Sonam,3,0,"11,11,11|8,5,2",R16,OTHER,WD,3456,Main Draw,YILMAZ Ozge (TUR) / HARAC Ece (TUR),SAI Khoy (BAN) / SOMA Sonam (BAN),YILMAZ Ozge
Islamic Solidarity Games Riyadh 2025,2025-11-08,SAFAEI Shima/SHAHSAVARI Neda,EDGHILL Chelsea/BILLINGY Jasmine,3,0,"11,11,11|3,5,4",R16,OTHER,WD,3456,Main Draw,SAFAEI Shima (IRI) / SHAHSAVARI Neda (IRI),EDGHILL Chelsea (GUY) / BILLINGY Jasmine (GUY),SAFAEI Shima
Islamic Solidarity Games Riyadh 2025,2025-11-08,YIGENLER Abdullah/GUNDUZ Ibrahim,ABI NADER Michel/HABACH SaadEddine,3,0,"11,11,11|5,7,7",R16,OTHER,MD,3456,Main Draw,YIGENLER Abdullah (TUR) / GUNDUZ Ibrahim (TUR),ABI NADER Michel (LBN) / HABACH SaadEddine (LBN),YIGENLER Abdullah
Islamic Solidarity Games Riyadh 2025,2025-11-08,KURMANGALIYEV Alan/GERASSIMENKO Kirill,KHAN Muhammad/KHAN Taimur,3,0,"11,11,11|7,3,5",R16,OTHER,MD,3456,Main Draw,KURMANGALIYEV Alan (KAZ) / GERASSIMENKO Kirill (KAZ),KHAN Muhammad (PAK) / KHAN Taimur (PAK),KURMANGALIYEV Alan
Islamic Solidarity Games Riyadh 2025,2025-11-08,BRYAN Nigel/BRITTON Shemar,SEBATINDIRA Joseph/MAGAYA Joshua,3,1,"6,11,11,11|11,9,5,9",R16,OTHER,MD,3456,Main Draw,BRYAN Nigel (GUY) / BRITTON Shemar (GUY),SEBATINDIRA Joseph (UGA) / MAGAYA Joshua (UGA),BRYAN Nigel
Islamic Solidarity Games Riyadh 2025,2025-11-08,FARAJI Benyamin/HODAEI Amir Hossein,SALEH Mohamed/RASHED Rashed,3,0,"11,12,11|7,10,8",R16,OTHER,MD,3456,Main Draw,FARAJI Benyamin (IRI) / HODAEI Amir Hossein (IRI),SALEH Mohamed (BRN) / RASHED Rashed (UAE),FARAJI Benyamin
Islamic Solidarity Games Riyadh 2025,2025-11-08,KUDUSOVA Saida/MURATALIEVA Raiana,ALDHAFEERI Shahah/ALDHAFEERI Ameerah,3,2,"11,11,9,5,11|3,4,11,11,6",R16,OTHER,WD,3456,Main Draw,KUDUSOVA Saida (KGZ) / MURATALIEVA Raiana (KGZ),ALDHAFEERI Shahah (KSA) / ALDHAFEERI Ameerah (KSA),KUDUSOVA Saida
Islamic Solidarity Games Riyadh 2025,2025-11-08,ASGAROVA Aylin/NURMATOVA Marziyya,ISMAILOVA Dinara/SUMAYAI Amiri,3,2,"9,11,6,11,11|11,8,11,8,6",R16,OTHER,WD,3456,Main Draw,ASGAROVA Aylin (AZE) / NURMATOVA Marziyya (AZE),ISMAILOVA Dinara (TJK) / SUMAYAI Amiri (TJK),ASGAROVA Aylin
Islamic Solidarity Games Riyadh 2025,2025-11-08,ISMAIL Mohamed/AHMED Moosa,AHMED El Hacen/SAGNA Harouna,3,0,"11,11,11|2,1,4",R32,OTHER,MD,3456,Main Draw,ISMAIL Mohamed (MDV) / AHMED Moosa (MDV),AHMED El Hacen (MTN) / SAGNA Harouna (MTN),ISMAIL Mohamed
Islamic Solidarity Games Riyadh 2025,2025-11-08,ALKHADRAWI Ali/ALQAHTANI Nihal,ABI NADER Michel/CHIRI Bissan,3,0,"11,11,12|4,5,10",R16,OTHER,XD,3456,Main Draw,ALKHADRAWI Ali (KSA) / ALQAHTANI Nihal (KSA),ABI NADER Michel (LBN) / CHIRI Bissan (LBN),ALKHADRAWI Ali
Islamic Solidarity Games Riyadh 2025,2025-11-08,AHMED Md Javed/SAI Khoy,BRITTON Shemar/EDGHILL Chelsea,3,2,"9,11,11,6,13|11,9,9,11,11",R16,OTHER,XD,3456,Main Draw,AHMED Md Javed (BAN) / SAI Khoy (BAN),BRITTON Shemar (GUY) / EDGHILL Chelsea (GUY),AHMED Md Javed
Islamic Solidarity Games Riyadh 2025,2025-11-08,AHMED Moosa/NAZIM Aishath,AGBODJAN Elias/AMAH Ayoko Fanida,3,0,"11,11,12|6,9,10",R16,OTHER,XD,3456,Main Draw,AHMED Moosa (MDV) / NAZIM Aishath (MDV),AGBODJAN Elias (TOG) / AMAH Ayoko Fanida (TOG),AHMED Moosa
Islamic Solidarity Games Riyadh 2025,2025-11-08,AHMADZADA Adil/NURMATOVA Marziyya,KHAN Muhammad/FARYAL Bisma,3,0,"11,11,13|3,8,11",R16,OTHER,XD,3456,Main Draw,AHMADZADA Adil (AZE) / NURMATOVA Marziyya (AZE),KHAN Muhammad (PAK) / FARYAL Bisma (PAK),AHMADZADA Adil
Islamic Solidarity Games Riyadh 2025,2025-11-08,BOURHAN Abdourazak Abdallah/OUMAR Nassima,BAKHAUTDINOV Mavlankhan/KUDUSOVA Saida,3,2,"12,7,9,13,11|10,11,11,11,8",R16,OTHER,XD,3456,Main Draw,BOURHAN Abdourazak Abdallah (DJI) / OUMAR Nassima (DJI),BAKHAUTDINOV Mavlankhan (KGZ) / KUDUSOVA Saida (KGZ),BOURHAN Abdourazak Abdallah
Islamic Solidarity Games Riyadh 2025,2025-11-08,BATIX Ylane/KOULAOUINHI Lorenza,SEBATINDIRA Joseph/NANGONZI Judith,3,1,"11,11,8,11|5,6,11,9",R16,OTHER,XD,3456,Main Draw,BATIX Ylane (CMR) / KOULAOUINHI Lorenza (CMR),SEBATINDIRA Joseph (UGA) / NANGONZI Judith (UGA),BATIX Ylane
Islamic Solidarity Games Riyadh 2025,2025-11-08,GERASSIMENKO Kirill,SALEH Mohamed,4,1,"11,11,11,10,11|8,5,5,12,3",R16,OTHER,MS,3456,Main Draw,SALEH Mohamed (BRN),GERASSIMENKO Kirill (KAZ),GERASSIMENKO Kirill
Islamic Solidarity Games Riyadh 2025,2025-11-08,BU SHULAYBI Abdulaziz,YIGENLER Abdullah,4,3,"12,8,6,11,11,11,11|14,11,11,9,9,8,7",R16,OTHER,MS,3456,Main Draw,YIGENLER Abdullah (TUR),BU SHULAYBI Abdulaziz (KSA),BU SHULAYBI Abdulaziz
Islamic Solidarity Games Riyadh 2025,2025-11-08,HODAEI Amir Hossein,GULUZADE Onur,4,0,"12,11,11,11|10,6,7,9",R16,OTHER,MS,3456,Main Draw,GULUZADE Onur (AZE),HODAEI Amir Hossein (IRI),HODAEI Amir Hossein
Islamic Solidarity Games Riyadh 2025,2025-11-08,BOULOUSSA Mehdi,ABDULWAHHAB Abdullah,4,1,"6,11,11,11,11|11,0,5,7,5",R16,OTHER,MS,3456,Main Draw,BOULOUSSA Mehdi (ALG),ABDULWAHHAB Abdullah (QAT),BOULOUSSA Mehdi
Islamic Solidarity Games Riyadh 2025,2025-11-08,ISMAILOV Sadi,ALKHADRAWI Ali,4,2,"11,11,6,7,11,11|5,6,11,11,9,7",R16,OTHER,MS,3456,Main Draw,ALKHADRAWI Ali (KSA),ISMAILOV Sadi (AIN),ISMAILOV Sadi
Islamic Solidarity Games Riyadh 2025,2025-11-08,KURMANGALIYEV Alan,RASHED Rashed,4,1,"11,11,11,5,11|4,6,6,11,7",R16,OTHER,MS,3456,Main Draw,KURMANGALIYEV Alan (KAZ),RASHED Rashed (UAE),KURMANGALIYEV Alan
Islamic Solidarity Games Riyadh 2025,2025-11-08,JELLOULI Milhane,ABDULWAHHAB Mohammed,4,1,"7,11,11,13,11|11,6,9,11,8",R16,OTHER,MS,3456,Main Draw,JELLOULI Milhane (ALG),ABDULWAHHAB Mohammed (QAT),JELLOULI Milhane
Islamic Solidarity Games Riyadh 2025,2025-11-08,ASSAR Omar,GUNDUZ Ibrahim,4,2,"11,11,12,8,11,11|13,3,10,11,7,9",R16,OTHER,MS,3456,Main Draw,ASSAR Omar (EGY),GUNDUZ Ibrahim (TUR),ASSAR Omar
Islamic Solidarity Games Riyadh 2025,2025-11-08,HELMY Yousra,SAI Khoy,4,0,"11,13,19,11|3,11,17,8",R16,OTHER,WS,3456,Main Draw,SAI Khoy (BAN),HELMY Yousra (EGY),HELMY Yousra
Islamic Solidarity Games Riyadh 2025,2025-11-08,NAKAWALA Jemimah,KUDUSOVA Saida,4,0,"11,11,11,11|3,4,4,2",R16,OTHER,WS,3456,Main Draw,NAKAWALA Jemimah (UGA),KUDUSOVA Saida (KGZ),NAKAWALA Jemimah
Islamic Solidarity Games Riyadh 2025,2025-11-08,SHAHSAVARI Neda,ALQAHTANI Nihal,4,0,"11,11,11,11|6,7,3,3",R16,OTHER,WS,3456,Main Draw,ALQAHTANI Nihal (KSA),SHAHSAVARI Neda (IRI),SHAHSAVARI Neda
Islamic Solidarity Games Riyadh 2025,2025-11-08,HARAC Ece,ALI Fathimath,4,2,"11,11,9,11,5,11|9,6,11,4,11,6",R16,OTHER,WS,3456,Main Draw,HARAC Ece (TUR),ALI Fathimath (MDV),HARAC Ece
Islamic Solidarity Games Riyadh 2025,2025-11-08,SAFAEI Shima,NURMATOVA Marziyya,4,2,"12,11,9,14,7,11|10,8,11,12,11,3",R16,OTHER,WS,3456,Main Draw,NURMATOVA Marziyya (AZE),SAFAEI Shima (IRI),SAFAEI Shima
Islamic Solidarity Games Riyadh 2025,2025-11-08,ZAZA Hend,SOMA Sonam,4,0,"11,11,11,11|8,4,1,8",R16,OTHER,WS,3456,Main Draw,SOMA Sonam (BAN),ZAZA Hend (SYR),ZAZA Hend
Islamic Solidarity Games Riyadh 2025,2025-11-08,EDGHILL Chelsea,NANGONZI Judith,4,3,"8,9,11,11,14,9,11|11,11,9,9,12,11,8",R16,OTHER,WS,3456,Main Draw,EDGHILL Chelsea (GUY),NANGONZI Judith (UGA),EDGHILL Chelsea
Islamic Solidarity Games Riyadh 2025,2025-11-08,ALTINKAYA Sibel,FATHY Hend,4,2,"11,3,11,11,8,11|6,11,7,9,11,7",R16,OTHER,WS,3456,Main Draw,ALTINKAYA Sibel (TUR),FATHY Hend (EGY),ALTINKAYA Sibel
Islamic Solidarity Games Riyadh 2025,2025-11-08,GERASSIMENKO Kirill,HOSSEINI Mohammad,4,0,"11,11,11,11|6,8,7,5",R32,OTHER,MS,3456,Main Draw,HOSSEINI Mohammad (AFG),GERASSIMENKO Kirill (KAZ),GERASSIMENKO Kirill
Islamic Solidarity Games Riyadh 2025,2025-11-08,SALEH Mohamed,RIDOY Mohutasin,4,0,"11,11,11,11|8,6,7,9",R32,OTHER,MS,3456,Main Draw,SALEH Mohamed (BRN),RIDOY Mohutasin (BAN),SALEH Mohamed
Islamic Solidarity Games Riyadh 2025,2025-11-08,BU SHULAYBI Abdulaziz,HASANOV Jamshed,4,2,"12,5,7,12,11,11|10,11,11,10,5,9",R32,OTHER,MS,3456,Main Draw,HASANOV Jamshed (TJK),BU SHULAYBI Abdulaziz (KSA),BU SHULAYBI Abdulaziz
Islamic Solidarity Games Riyadh 2025,2025-11-08,YIGENLER Abdullah,KHAN Muhammad,4,0,"11,11,12,13|5,9,10,11",R32,OTHER,MS,3456,Main Draw,YIGENLER Abdullah (TUR),KHAN Muhammad (PAK),YIGENLER Abdullah
Islamic Solidarity Games Riyadh 2025,2025-11-08,HODAEI Amir Hossein,JOHNSON Elishaba,4,0,"11,11,11,11|2,5,7,4",R32,OTHER,MS,3456,Main Draw,JOHNSON Elishaba (GUY),HODAEI Amir Hossein (IRI),HODAEI Amir Hossein
Islamic Solidarity Games Riyadh 2025,2025-11-08,GULUZADE Onur,AGBODJAN Elias,4,2,"4,10,11,12,11,11|11,12,3,10,3,5",R32,OTHER,MS,3456,Main Draw,AGBODJAN Elias (TOG),GULUZADE Onur (AZE),GULUZADE Onur
Islamic Solidarity Games Riyadh 2025,2025-11-08,ABDULWAHHAB Abdullah,KALAJA Kejdi,4,0,"11,11,14,11|6,3,12,3",R32,OTHER,MS,3456,Main Draw,KALAJA Kejdi (ALB),ABDULWAHHAB Abdullah (QAT),ABDULWAHHAB Abdullah
Islamic Solidarity Games Riyadh 2025,2025-11-08,BOULOUSSA Mehdi,ELTAYEB Elmutasim,4,0,"11,11,11,11|3,2,7,3",R32,OTHER,MS,3456,Main Draw,BOULOUSSA Mehdi (ALG),ELTAYEB Elmutasim (SUD),BOULOUSSA Mehdi
Islamic Solidarity Games Riyadh 2025,2025-11-08,ISMAILOV Sadi,BATIX Ylane,4,2,"9,13,7,11,11,11|11,11,11,9,6,4",R32,OTHER,MS,3456,Main Draw,ISMAILOV Sadi (AIN),BATIX Ylane (CMR),ISMAILOV Sadi
