tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
WTT Star Contender São José dos Campos 2026,2026-07-22,YIU Kwan To,CHAMBET-WEIL Remi,3,1,"11,11,9,11|8,4,11,9",QR3,WTT_STAR_CONTENDER,MS,3244,Qualification,YIU Kwan To (HKG),CHAMBET-WEIL Remi (NED),YIU Kwan To
WTT Star Contender São José dos Campos 2026,2026-07-22,DIAW Ibrahima,KOURAICHI Alexis,3,0,"11,11,13|4,9,11",QR3,WTT_STAR_CONTENDER,MS,3244,Qualification,DIAW Ibrahima (DEN),KOURAICHI Alexis (FRA),DIAW Ibrahima
WTT Star Contender São José dos Campos 2026,2026-07-22,KANO Sofia,SILVA Daiane,3,0,"11,11,11|4,4,3",QR1,WTT_STAR_CONTENDER,WS,3244,Qualification,KANO Sofia (BRA),SILVA Daiane (BRA),KANO Sofia
WTT Star Contender São José dos Campos 2026,2026-07-22,ZELINKA Jakub,LAMBIET Florent,3,2,"11,11,7,12,13|9,7,11,14,11",QR3,WTT_STAR_CONTENDER,MS,3244,Qualification,ZELINKA Jakub (SVK),LAMBIET Florent (BEL),ZELINKA Jakub
WTT Star Contender São José dos Campos 2026,2026-07-22,OTALVARO Emanuel,TURRINI Rafael,3,0,"11,11,11|5,9,7",QR3,WTT_STAR_CONTENDER,MS,3244,Qualification,OTALVARO Emanuel (COL),TURRINI Rafael (BRA),OTALVARO Emanuel
WTT Star Contender São José dos Campos 2026,2026-07-22,BORGES Bianca,SARDA Mahayla,3,0,"13,11,11|11,9,6",QR1,WTT_STAR_CONTENDER,WS,3244,Qualification,BORGES Bianca (BRA),SARDA Mahayla (BRA),BORGES Bianca
WTT Star Contender São José dos Campos 2026,2026-07-22,PRATES Jessica,ZAGO Gabriella,3,0,"11,13,11|8,11,4",QR1,WTT_STAR_CONTENDER,WS,3244,Qualification,PRATES Jessica (BRA),ZAGO Gabriella (BRA),PRATES Jessica
WTT Star Contender São José dos Campos 2026,2026-07-22,OH Junsung/YOO Yerin,CASTRO Rogelio/COSSIO Arantxa,3,2,"8,11,11,12,11|11,13,7,10,7",QR1,WTT_STAR_CONTENDER,XD,3244,Qualification,OH Junsung/YOO Yerin (KOR),CASTRO Rogelio/COSSIO Arantxa (MEX),OH Junsung/YOO Yerin
WTT Star Contender São José dos Campos 2026,2026-07-22,DUDA Benedikt/MITTELHAM Nina,FUENTES Alvaro/VEGA Sofia,3,2,"11,13,9,11,11|6,15,11,8,1",QR1,WTT_STAR_CONTENDER,XD,3244,Qualification,DUDA Benedikt/MITTELHAM Nina (GER),FUENTES Alvaro/VEGA Sofia (CHI),DUDA Benedikt/MITTELHAM Nina
WTT Star Contender São José dos Campos 2026,2026-07-22,VOS Eusebio/RIOS Valentina,OKANO Felipe/FIORE Beatriz,3,2,"6,13,6,11,11|11,11,11,6,5",QR1,WTT_STAR_CONTENDER,XD,3244,Qualification,VOS Eusebio/RIOS Valentina (CHI),OKANO Felipe/FIORE Beatriz (BRA),VOS Eusebio/RIOS Valentina
