tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
2017 European Championships Qualification 6th round 2017,2017-03-07,LI Fen,LOYEN Eline,3,1,"11,11,13,11|6,5,15,9",,OTHER,WT,841,Qualification,LI Fen (SWE),LOYEN Eline (BEL),LI Fen
2017 European Championships Qualification 6th round 2017,2017-03-07,KARAHAN Ipek,MAMMADLI Fatima,3,0,"11,11,11|2,4,6",,OTHER,WT,841,Qualification,KARAHAN Ipek (TUR),MAMMADLI Fatima (AZE),KARAHAN Ipek
2017 European Championships Qualification 6th round 2017,2017-03-07,OZKAYA Gul Pembe,IMANOVA Maryam,3,0,"13,11,11|11,7,8",,OTHER,WT,841,Qualification,OZKAYA Gul Pembe (TUR),IMANOVA Maryam (AZE),OZKAYA Gul Pembe
2017 European Championships Qualification 6th round 2017,2017-03-07,YILMAZ Ozge,QARAYEVA Nazakat,3,0,"11,11,11|6,9,5",,OTHER,WT,841,Qualification,YILMAZ Ozge (TUR),QARAYEVA Nazakat (AZE),YILMAZ Ozge
2017 European Championships Qualification 6th round 2017,2017-03-07,KONECNY Tomas,LI Ahmet,3,2,"7,5,11,11,13|11,11,9,3,11",,OTHER,MT,841,Qualification,LI Ahmet (TUR),KONECNY Tomas (CZE),KONECNY Tomas
2017 European Championships Qualification 6th round 2017,2017-03-07,GUNDUZ Ibrahim,PROKOPCOV Dmitrij,3,1,"11,6,11,11|5,11,9,7",,OTHER,MT,841,Qualification,GUNDUZ Ibrahim (TUR),PROKOPCOV Dmitrij (CZE),GUNDUZ Ibrahim
2017 European Championships Qualification 6th round 2017,2017-03-07,TREGLER Tomas,MENGE Gencay,3,0,"11,12,11|8,10,7",,OTHER,MT,841,Qualification,MENGE Gencay (TUR),TREGLER Tomas (CZE),TREGLER Tomas
2017 European Championships Qualification 6th round 2017,2017-03-07,LI Ahmet,PROKOPCOV Dmitrij,3,2,"4,11,4,11,11|11,9,11,4,6",,OTHER,MT,841,Qualification,LI Ahmet (TUR),PROKOPCOV Dmitrij (CZE),LI Ahmet
2017 European Championships Qualification 6th round 2017,2017-03-07,KONECNY Tomas,GUNDUZ Ibrahim,3,1,"11,11,11,11|13,7,6,8",,OTHER,MT,841,Qualification,GUNDUZ Ibrahim (TUR),KONECNY Tomas (CZE),KONECNY Tomas
2017 European Championships Qualification 6th round 2017,2017-03-07,CAREY Charlotte,JANJEVA Era,3,0,"11,11,11|4,3,8",,OTHER,WT,841,Qualification,CAREY Charlotte (WAL),JANJEVA Era (KOS),CAREY Charlotte
2017 European Championships Qualification 6th round 2017,2017-03-07,ROBERTS Beth,MALOKU Vlona,3,0,"11,11,11|1,5,8",,OTHER,WT,841,Qualification,ROBERTS Beth (WAL),MALOKU Vlona (KOS),ROBERTS Beth
2017 European Championships Qualification 6th round 2017,2017-03-07,HURSEY Anna,JANJEVA Nehare,3,0,"11,12,11|9,10,9",,OTHER,WT,841,Qualification,HURSEY Anna (WAL),JANJEVA Nehare (KOS),HURSEY Anna
