tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
WTT Star Contender Goa 2024,2024-01-23,KANG Dongsoo,ACHANTA Sharath Kamal,3,2,"6,10,11,17,11|11,12,4,15,3",QR2,WTT_STAR_CONTENDER,MS,2863,Qualification,KANG Dongsoo (KOR),ACHANTA Sharath Kamal (IND)
WTT Star Contender Goa 2024,2024-01-23,YOON Hyobin,SELVAKUMAR Selena,3,1,"3,11,11,11|11,2,5,8",QR2,WTT_STAR_CONTENDER,WS,2863,Qualification,YOON Hyobin (KOR),SELVAKUMAR Selena (IND)
WTT Star Contender Goa 2024,2024-01-23,HO Tin-Tin,GOGOI Trisha,3,0,"11,11,11|4,8,2",QR2,WTT_STAR_CONTENDER,WS,2863,Qualification,HO Tin-Tin (ENG),GOGOI Trisha (IND)
WTT Star Contender Goa 2024,2024-01-23,KOTECHA Taneesha/WANI Sayali,GOYAL Garima/SIVASANKAR Yashini,3,1,"11,9,11,13|8,11,8,11",QR1,WTT_STAR_CONTENDER,WD,2863,Qualification,KOTECHA Taneesha/WANI Sayali (IND),GOYAL Garima/SIVASANKAR Yashini (IND)
WTT Star Contender Goa 2024,2024-01-23,BRAMHACHARY Diya/ROHILLA Anjali,MANI Nithya/SELVAKUMAR Selena,3,1,"11,11,10,11|5,9,12,9",QR1,WTT_STAR_CONTENDER,WD,2863,Qualification,BRAMHACHARY Diya/ROHILLA Anjali (IND),MANI Nithya/SELVAKUMAR Selena (IND)
WTT Star Contender Goa 2024,2024-01-23,GHOSH Swastika/ZHANG Sofia-Xuan,GOEL Radhapriya/CHIPIA Frenaz,3,1,"11,11,8,11|7,9,11,6",QR1,WTT_STAR_CONTENDER,WD,2863,Qualification,GHOSH Swastika/ZHANG Sofia-Xuan (IND/ESP),GOEL Radhapriya/CHIPIA Frenaz (IND)
WTT Star Contender Goa 2024,2024-01-23,BERGAND Filippa/KALLBERG Christina,NAINA Ms./BAISYA Poymantee,3,2,"7,7,12,11,11|11,11,10,7,9",QR1,WTT_STAR_CONTENDER,WD,2863,Qualification,BERGAND Filippa/KALLBERG Christina (SWE),NAINA Ms./BAISYA Poymantee (IND)
WTT Star Contender Goa 2024,2024-01-23,OH Junsung/PARK Gyuhyeon,BOULOUSSA Mehdi/DIAW Ibrahima,3,1,"10,11,13,12|12,6,11,10",QR1,WTT_STAR_CONTENDER,MD,2863,Qualification,OH Junsung/PARK Gyuhyeon (KOR),BOULOUSSA Mehdi/DIAW Ibrahima (ALG/SEN)
WTT Star Contender Goa 2024,2024-01-23,CASSIN Alexandre,PARK Ganghyeon,3,0,"11,11,11|4,9,5",QR1,WTT_STAR_CONTENDER,MS,2863,Qualification,CASSIN Alexandre (FRA),PARK Ganghyeon (KOR)
WTT Star Contender Goa 2024,2024-01-23,JANG Seongil,CHEW Zhe Yu Clarence,3,1,"12,6,11,11|10,11,7,7",QR1,WTT_STAR_CONTENDER,MS,2863,Qualification,JANG Seongil (KOR),CHEW Zhe Yu Clarence (SGP)
WTT Star Contender Goa 2024,2024-01-23,PICARD Vincent,WALKER Samuel,3,0,"11,11,11|5,8,7",QR1,WTT_STAR_CONTENDER,MS,2863,Qualification,PICARD Vincent (FRA),WALKER Samuel (ENG)
WTT Star Contender Goa 2024,2024-01-23,MENG Fanbo,PRADHIVADHI Abhinandh,3,1,"11,9,11,11|3,11,7,1",QR1,WTT_STAR_CONTENDER,MS,2863,Qualification,MENG Fanbo (GER),PRADHIVADHI Abhinandh (IND)
WTT Star Contender Goa 2024,2024-01-23,SHETTY Sanil,SABHARWAL Ansh,3,0,"11,11,11|7,3,5",QR1,WTT_STAR_CONTENDER,MS,2863,Qualification,SHETTY Sanil (IND),SABHARWAL Ansh (IND)
WTT Star Contender Goa 2024,2024-01-23,BAISYA Poymantee,VARTIKAR Pritha Priya,3,0,"12,11,11|10,7,7",QR1,WTT_STAR_CONTENDER,WS,2863,Qualification,BAISYA Poymantee (IND),VARTIKAR Pritha Priya (IND)
WTT Star Contender Goa 2024,2024-01-23,RYU Hanna,BRAMHACHARY Diya,3,0,"11,11,11|3,5,7",QR1,WTT_STAR_CONTENDER,WS,2863,Qualification,RYU Hanna (KOR),BRAMHACHARY Diya (IND)
WTT Star Contender Goa 2024,2024-01-23,WANG Yi-Ju,GOYAL Garima,3,0,"13,13,11|11,11,5",QR1,WTT_STAR_CONTENDER,WS,2863,Qualification,WANG Yi-Ju (TPE),GOYAL Garima (IND)
WTT Star Contender Goa 2024,2024-01-23,GHOSH Anirban/GHOSH Swastika,DESAI Harmeet/MUKHERJEE Ayhika,3,1,"11,13,11,11|9,15,8,8",QR1,WTT_STAR_CONTENDER,XD,2863,Qualification,GHOSH Anirban/GHOSH Swastika (IND),DESAI Harmeet/MUKHERJEE Ayhika (IND)
WTT Star Contender Goa 2024,2024-01-23,SURAVAJJULA Snehit/AKULA Sreeja,PANG Yew En Koen/WONG Xin Ru,3,1,"11,13,7,11|9,11,11,8",QR1,WTT_STAR_CONTENDER,XD,2863,Qualification,SURAVAJJULA Snehit/AKULA Sreeja (IND),PANG Yew En Koen/WONG Xin Ru (SGP)
WTT Star Contender Goa 2024,2024-01-23,SHAH Manush Utpalbhai/CHITALE Diya Parag,QUEK Izaac/ZHOU Jingyi,3,0,"11,11,11|4,7,6",QR1,WTT_STAR_CONTENDER,XD,2863,Qualification,SHAH Manush Utpalbhai/CHITALE Diya Parag (IND),QUEK Izaac/ZHOU Jingyi (SGP)
WTT Star Contender Goa 2024,2024-01-23,PARK Ganghyeon/KIM Nayeong,AN Jaehyun/CHOI Hyojoo,3,0,"13,11,11|11,6,8",QR1,WTT_STAR_CONTENDER,XD,2863,Qualification,PARK Ganghyeon/KIM Nayeong (KOR),AN Jaehyun/CHOI Hyojoo (KOR)
WTT Star Contender Goa 2024,2024-01-23,CHEW Zhe Yu Clarence/ZENG Jian,PITCHFORD Liam/HURSEY Anna,3,2,"5,11,8,11,11|11,7,11,5,8",QR1,WTT_STAR_CONTENDER,XD,2863,Qualification,CHEW Zhe Yu Clarence/ZENG Jian (SGP),PITCHFORD Liam/HURSEY Anna (ENG/WAL)
WTT Star Contender Goa 2024,2024-01-23,GUNDUZ Ibrahim/ALTINKAYA Sibel,WANG Yang/KUKULKOVA Tatiana,3,0,"11,11,11|9,5,9",QR1,WTT_STAR_CONTENDER,XD,2863,Qualification,GUNDUZ Ibrahim/ALTINKAYA Sibel (TUR),WANG Yang/KUKULKOVA Tatiana (SVK)
WTT Star Contender Goa 2024,2024-01-23,CHO Daeseong/JOO Cheonhui,WALKER Samuel/HO Tin-Tin,3,0,"11,11,11|9,7,7",QR1,WTT_STAR_CONTENDER,XD,2863,Qualification,CHO Daeseong/JOO Cheonhui (KOR),WALKER Samuel/HO Tin-Tin (ENG)
WTT Star Contender Goa 2024,2024-01-23,CHO Seungmin/LEE Zion,JAIN Payas/GHORPADE Yashaswini,3,0,"11,11,13|2,4,11",QR1,WTT_STAR_CONTENDER,XD,2863,Qualification,CHO Seungmin/LEE Zion (KOR),JAIN Payas/GHORPADE Yashaswini (IND)
WTT Star Contender Goa 2024,2024-01-24,PICARD Vincent,FENG Yi-Hsin,3,1,"11,11,6,11|7,4,11,8",QR3,WTT_STAR_CONTENDER,MS,2863,Qualification,PICARD Vincent (FRA),FENG Yi-Hsin (TPE)
WTT Star Contender Goa 2024,2024-01-24,BARDET Lilian,PANG Yew En Koen,3,0,"11,11,12|8,9,10",QR3,WTT_STAR_CONTENDER,MS,2863,Qualification,BARDET Lilian (FRA),PANG Yew En Koen (SGP)
WTT Star Contender Goa 2024,2024-01-24,PARK Gyuhyeon,JANCARIK Lubomir,3,1,"10,13,11,11|12,11,9,3",QR3,WTT_STAR_CONTENDER,MS,2863,Qualification,PARK Gyuhyeon (KOR),JANCARIK Lubomir (CZE)
WTT Star Contender Goa 2024,2024-01-24,OH Junsung,LIAO Cheng-Ting,3,2,"11,11,8,10,11|7,8,11,12,5",QR3,WTT_STAR_CONTENDER,MS,2863,Qualification,OH Junsung (KOR),LIAO Cheng-Ting (TPE)
WTT Star Contender Goa 2024,2024-01-24,CHO Daeseong,STOYANOV Niagol,3,0,"11,11,11|4,6,6",QR3,WTT_STAR_CONTENDER,MS,2863,Qualification,CHO Daeseong (KOR),STOYANOV Niagol (ITA)
WTT Star Contender Goa 2024,2024-01-24,KANG Dongsoo,NUYTINCK Cedric,3,2,"11,11,5,9,11|3,3,11,11,6",QR3,WTT_STAR_CONTENDER,MS,2863,Qualification,KANG Dongsoo (KOR),NUYTINCK Cedric (BEL)
WTT Star Contender Goa 2024,2024-01-24,STUMPER Kay,BOULOUSSA Mehdi,3,1,"11,11,9,11|8,3,11,6",QR3,WTT_STAR_CONTENDER,MS,2863,Qualification,STUMPER Kay (GER),BOULOUSSA Mehdi (ALG)
WTT Star Contender Goa 2024,2024-01-24,DIAW Ibrahima,THAKKAR Manav Vikash,3,0,"12,11,11|10,6,7",QR3,WTT_STAR_CONTENDER,MS,2863,Qualification,DIAW Ibrahima (SEN),THAKKAR Manav Vikash (IND)
WTT Star Contender Goa 2024,2024-01-24,LEE Daeun,BERGAND Filippa,3,2,"12,13,11,8,11|14,11,7,11,5",QR3,WTT_STAR_CONTENDER,WS,2863,Qualification,LEE Daeun (KOR),BERGAND Filippa (SWE)
WTT Star Contender Goa 2024,2024-01-24,ZHOU Jingyi,TODOROVIC Andrea,3,2,"5,11,13,8,11|11,8,11,11,2",QR3,WTT_STAR_CONTENDER,WS,2863,Qualification,ZHOU Jingyi (SGP),TODOROVIC Andrea (SRB)
WTT Star Contender Goa 2024,2024-01-24,RYU Hanna,GHOSH Swastika,3,1,"11,8,11,11|4,11,9,6",QR3,WTT_STAR_CONTENDER,WS,2863,Qualification,RYU Hanna (KOR),GHOSH Swastika (IND)
WTT Star Contender Goa 2024,2024-01-24,ZHANG Sofia-Xuan,CHITALE Diya Parag,3,1,"11,6,14,11|5,11,12,0",QR3,WTT_STAR_CONTENDER,WS,2863,Qualification,ZHANG Sofia-Xuan (ESP),CHITALE Diya Parag (IND)
WTT Star Contender Goa 2024,2024-01-24,MANI Nithya,HO Tin-Tin,3,2,"11,6,5,11,11|7,11,11,9,7",QR3,WTT_STAR_CONTENDER,WS,2863,Qualification,MANI Nithya (IND),HO Tin-Tin (ENG)
WTT Star Contender Goa 2024,2024-01-24,CHENG Hsien-Tzu,WONG Xin Ru,3,1,"11,9,11,11|7,11,8,5",QR3,WTT_STAR_CONTENDER,WS,2863,Qualification,CHENG Hsien-Tzu (TPE),WONG Xin Ru (SGP)
WTT Star Contender Goa 2024,2024-01-24,ALTINKAYA Sibel,MUKHERJEE Ayhika,3,1,"5,11,11,11|11,9,6,6",QR3,WTT_STAR_CONTENDER,WS,2863,Qualification,ALTINKAYA Sibel (TUR),MUKHERJEE Ayhika (IND)
WTT Star Contender Goa 2024,2024-01-24,YOON Hyobin,WANG Yi-Ju,3,0,"11,12,11|5,10,9",QR3,WTT_STAR_CONTENDER,WS,2863,Qualification,YOON Hyobin (KOR),WANG Yi-Ju (TPE)
WTT Star Contender Goa 2024,2024-01-24,OH Junsung/PARK Gyuhyeon,HUANG Yan-Cheng/FENG Yi-Hsin,3,1,"11,11,8,11|7,2,11,9",QR2,WTT_STAR_CONTENDER,MD,2863,Qualification,OH Junsung/PARK Gyuhyeon (KOR),HUANG Yan-Cheng/FENG Yi-Hsin (TPE)
WTT Star Contender Goa 2024,2024-01-24,CHEW Zhe Yu Clarence/CHUA Josh Shao Han,GHOSH Anirban/SHETTY Sanil,3,1,"3,11,11,11|11,7,9,5",QR2,WTT_STAR_CONTENDER,MD,2863,Qualification,CHEW Zhe Yu Clarence/CHUA Josh Shao Han (SGP),GHOSH Anirban/SHETTY Sanil (IND)
WTT Star Contender Goa 2024,2024-01-24,CHANDRA Jeet/JAIN Payas,MALIK Yashansh/PRADHIVADHI Abhinandh,3,1,"11,11,12,11|13,7,10,4",QR2,WTT_STAR_CONTENDER,MD,2863,Qualification,CHANDRA Jeet/JAIN Payas (IND),MALIK Yashansh/PRADHIVADHI Abhinandh (IND)
WTT Star Contender Goa 2024,2024-01-24,BERGAND Filippa/KALLBERG Christina,LEE Zion/YOON Hyobin,3,2,"6,11,11,9,13|11,9,7,11,11",QR2,WTT_STAR_CONTENDER,WD,2863,Qualification,BERGAND Filippa/KALLBERG Christina (SWE),LEE Zion/YOON Hyobin (KOR)
WTT Star Contender Goa 2024,2024-01-24,ROLLAND Jules/PICARD Vincent,GUNDUZ Ibrahim/DANI Mudit,3,0,"14,11,11|12,6,6",QR2,WTT_STAR_CONTENDER,MD,2863,Qualification,ROLLAND Jules/PICARD Vincent (FRA),GUNDUZ Ibrahim/DANI Mudit (TUR/IND)
WTT Star Contender Goa 2024,2024-01-24,ALTINKAYA Sibel/TODOROVIC Andrea,GHOSH Swastika/ZHANG Sofia-Xuan,3,1,"11,9,11,11|8,11,3,3",QR2,WTT_STAR_CONTENDER,WD,2863,Qualification,ALTINKAYA Sibel/TODOROVIC Andrea (TUR/SRB),GHOSH Swastika/ZHANG Sofia-Xuan (IND/ESP)
WTT Star Contender Goa 2024,2024-01-24,KOTECHA Taneesha/WANI Sayali,GHORPADE Yashaswini/SAINI Suhana,3,1,"9,11,11,11|11,9,6,6",QR2,WTT_STAR_CONTENDER,WD,2863,Qualification,KOTECHA Taneesha/WANI Sayali (IND),GHORPADE Yashaswini/SAINI Suhana (IND)
WTT Star Contender Goa 2024,2024-01-24,HO Tin-Tin/HURSEY Anna,BRAMHACHARY Diya/ROHILLA Anjali,3,0,"11,11,11|2,8,3",QR2,WTT_STAR_CONTENDER,WD,2863,Qualification,HO Tin-Tin/HURSEY Anna (ENG/WAL),BRAMHACHARY Diya/ROHILLA Anjali (IND)
WTT Star Contender Goa 2024,2024-01-24,JANCARIK Lubomir,JANG Seongil,3,2,"9,11,8,11,11|11,9,11,7,9",QR2,WTT_STAR_CONTENDER,MS,2863,Qualification,JANCARIK Lubomir (CZE),JANG Seongil (KOR)
WTT Star Contender Goa 2024,2024-01-24,PARK Gyuhyeon,OLAH Benedek,3,2,"7,8,11,11,11|11,11,9,4,6",QR2,WTT_STAR_CONTENDER,MS,2863,Qualification,PARK Gyuhyeon (KOR),OLAH Benedek (FIN)
WTT Star Contender Goa 2024,2024-01-24,PICARD Vincent,GNANASEKARAN Sathiyan,3,2,"11,7,11,7,11|7,11,6,11,8",QR2,WTT_STAR_CONTENDER,MS,2863,Qualification,PICARD Vincent (FRA),GNANASEKARAN Sathiyan (IND)
WTT Star Contender Goa 2024,2024-01-24,CHO Daeseong,CASSIN Alexandre,3,0,"11,11,11|9,3,3",QR2,WTT_STAR_CONTENDER,MS,2863,Qualification,CHO Daeseong (KOR),CASSIN Alexandre (FRA)
WTT Star Contender Goa 2024,2024-01-24,STOYANOV Niagol,MALIK Yashansh,3,1,"11,10,11,12|9,12,3,10",QR2,WTT_STAR_CONTENDER,MS,2863,Qualification,STOYANOV Niagol (ITA),MALIK Yashansh (IND)
WTT Star Contender Goa 2024,2024-01-24,BARDET Lilian,CHUA Josh Shao Han,3,0,"11,11,11|5,4,9",QR2,WTT_STAR_CONTENDER,MS,2863,Qualification,BARDET Lilian (FRA),CHUA Josh Shao Han (SGP)
WTT Star Contender Goa 2024,2024-01-24,FENG Yi-Hsin,GUNDUZ Ibrahim,3,0,"11,11,11|6,8,5",QR2,WTT_STAR_CONTENDER,MS,2863,Qualification,FENG Yi-Hsin (TPE),GUNDUZ Ibrahim (TUR)
WTT Star Contender Goa 2024,2024-01-24,PANG Yew En Koen,DANI Mudit,3,0,"11,11,13|4,3,11",QR2,WTT_STAR_CONTENDER,MS,2863,Qualification,PANG Yew En Koen (SGP),DANI Mudit (IND)
WTT Star Contender Goa 2024,2024-01-24,RYU Hanna,MUKHERJEE Sutirtha,3,1,"11,11,10,11|8,7,12,4",QR2,WTT_STAR_CONTENDER,WS,2863,Qualification,RYU Hanna (KOR),MUKHERJEE Sutirtha (IND)
WTT Star Contender Goa 2024,2024-01-24,GHOSH Swastika,VARGHESE Jennifer,3,2,"6,13,10,11,11|11,11,12,5,4",QR2,WTT_STAR_CONTENDER,WS,2863,Qualification,GHOSH Swastika (IND),VARGHESE Jennifer (IND)
WTT Star Contender Goa 2024,2024-01-24,CHITALE Diya Parag,DAS Debolina,3,0,"11,11,11|3,8,5",QR2,WTT_STAR_CONTENDER,WS,2863,Qualification,CHITALE Diya Parag (IND),DAS Debolina (IND)
WTT Star Contender Goa 2024,2024-01-24,ZHANG Sofia-Xuan,MAJI Sayanika,3,1,"7,11,11,11|11,3,7,3",QR2,WTT_STAR_CONTENDER,WS,2863,Qualification,ZHANG Sofia-Xuan (ESP),MAJI Sayanika (IND)
WTT Star Contender Goa 2024,2024-01-24,BERGAND Filippa,GOEL Radhapriya,3,2,"11,11,7,11,11|13,8,11,9,6",QR2,WTT_STAR_CONTENDER,WS,2863,Qualification,BERGAND Filippa (SWE),GOEL Radhapriya (IND)
WTT Star Contender Goa 2024,2024-01-24,TODOROVIC Andrea,NAINA Ms.,3,0,"14,11,11|12,7,7",QR2,WTT_STAR_CONTENDER,WS,2863,Qualification,TODOROVIC Andrea (SRB),NAINA Ms. (IND)
WTT Star Contender Goa 2024,2024-01-24,ZHOU Jingyi,KOTECHA Taneesha,3,0,"13,11,11|11,5,8",QR2,WTT_STAR_CONTENDER,WS,2863,Qualification,ZHOU Jingyi (SGP),KOTECHA Taneesha (IND)
WTT Star Contender Goa 2024,2024-01-24,LEE Daeun,BAISYA Poymantee,3,0,"11,11,11|9,6,7",QR2,WTT_STAR_CONTENDER,WS,2863,Qualification,LEE Daeun (KOR),BAISYA Poymantee (IND)
WTT Star Contender Goa 2024,2024-01-24,CHEW Zhe Yu Clarence/ZENG Jian,GUNDUZ Ibrahim/ALTINKAYA Sibel,3,2,"11,7,9,11,11|6,11,11,8,8",QR2,WTT_STAR_CONTENDER,XD,2863,Qualification,CHEW Zhe Yu Clarence/ZENG Jian (SGP),GUNDUZ Ibrahim/ALTINKAYA Sibel (TUR)
WTT Star Contender Goa 2024,2024-01-24,CHO Daeseong/JOO Cheonhui,CHO Seungmin/LEE Zion,3,2,"4,11,5,11,12|11,4,11,8,10",QR2,WTT_STAR_CONTENDER,XD,2863,Qualification,CHO Daeseong/JOO Cheonhui (KOR),CHO Seungmin/LEE Zion (KOR)
WTT Star Contender Goa 2024,2024-01-24,SHAH Manush Utpalbhai/CHITALE Diya Parag,SURAVAJJULA Snehit/AKULA Sreeja,3,0,"11,11,11|4,3,8",QR2,WTT_STAR_CONTENDER,XD,2863,Qualification,SHAH Manush Utpalbhai/CHITALE Diya Parag (IND),SURAVAJJULA Snehit/AKULA Sreeja (IND)
WTT Star Contender Goa 2024,2024-01-24,PARK Ganghyeon/KIM Nayeong,GHOSH Anirban/GHOSH Swastika,3,0,"11,11,11|3,6,9",QR2,WTT_STAR_CONTENDER,XD,2863,Qualification,PARK Ganghyeon/KIM Nayeong (KOR),GHOSH Anirban/GHOSH Swastika (IND)
WTT Star Contender Goa 2024,2024-01-25,AKULA Sreeja/CHITALE Diya Parag,GHORPADE Yashaswini/SAINI Suhana,3,2,"11,10,11,11,11|8,12,13,3,7",R16,WTT_STAR_CONTENDER,WD,2863,Main Draw,AKULA Sreeja/CHITALE Diya Parag (IND),GHORPADE Yashaswini/SAINI Suhana (IND)
WTT Star Contender Goa 2024,2024-01-25,DIACONU Adina/XIAO Maria,SAWETTABUT Suthasini/PARANANG Orawan,3,1,"11,5,11,13|9,11,9,11",R16,WTT_STAR_CONTENDER,WD,2863,Main Draw,DIACONU Adina/XIAO Maria (ROU/ESP),SAWETTABUT Suthasini/PARANANG Orawan (THA)
WTT Star Contender Goa 2024,2024-01-25,PUCAR Tomislav,CHO Daeseong,3,0,"11,13,16|8,11,14",R64,WTT_STAR_CONTENDER,MS,2863,Main Draw,PUCAR Tomislav (CRO),CHO Daeseong (KOR)
WTT Star Contender Goa 2024,2024-01-25,KAO Cheng-Jui,ROLLAND Jules,3,2,"7,8,11,11,11|11,11,8,5,9",R64,WTT_STAR_CONTENDER,MS,2863,Main Draw,KAO Cheng-Jui (TPE),ROLLAND Jules (FRA)
WTT Star Contender Goa 2024,2024-01-25,MADARASZ Dora,BALAZOVA Barbora,3,2,"9,11,12,9,12|11,4,10,11,10",R64,WTT_STAR_CONTENDER,WS,2863,Main Draw,MADARASZ Dora (HUN),BALAZOVA Barbora (SVK)
WTT Star Contender Goa 2024,2024-01-25,CHENG Hsien-Tzu,SAINI Suhana,3,0,"11,11,11|1,6,3",R64,WTT_STAR_CONTENDER,WS,2863,Main Draw,CHENG Hsien-Tzu (TPE),SAINI Suhana (IND)
WTT Star Contender Goa 2024,2024-01-25,CHO Seungmin,SHAH Manush Utpalbhai,3,2,"6,11,3,11,11|11,1,11,3,9",R64,WTT_STAR_CONTENDER,MS,2863,Main Draw,CHO Seungmin (KOR),SHAH Manush Utpalbhai (IND)
WTT Star Contender Goa 2024,2024-01-25,APOLONIA Tiago,GERASSIMENKO Kirill,3,1,"11,8,13,16|8,11,11,14",R64,WTT_STAR_CONTENDER,MS,2863,Main Draw,APOLONIA Tiago (POR),GERASSIMENKO Kirill (KAZ)
WTT Star Contender Goa 2024,2024-01-25,KANG Dongsoo/PARK Ganghyeon,ACHANTA Sharath Kamal/GNANASEKARAN Sathiyan,3,0,"11,11,11|3,9,8",R16,WTT_STAR_CONTENDER,MD,2863,Main Draw,KANG Dongsoo/PARK Ganghyeon (KOR),ACHANTA Sharath Kamal/GNANASEKARAN Sathiyan (IND)
WTT Star Contender Goa 2024,2024-01-25,ALTINKAYA Sibel/TODOROVIC Andrea,MUKHERJEE Ayhika/MUKHERJEE Sutirtha,3,2,"11,14,10,10,11|9,12,12,12,2",R16,WTT_STAR_CONTENDER,WD,2863,Main Draw,ALTINKAYA Sibel/TODOROVIC Andrea (TUR/SRB),MUKHERJEE Ayhika/MUKHERJEE Sutirtha (IND)
WTT Star Contender Goa 2024,2024-01-25,HO Tin-Tin/HURSEY Anna,LUTZ Camille/PAVADE Prithika,3,0,"12,11,11|10,9,7",R16,WTT_STAR_CONTENDER,WD,2863,Main Draw,HO Tin-Tin/HURSEY Anna (ENG/WAL),LUTZ Camille/PAVADE Prithika (FRA)
WTT Star Contender Goa 2024,2024-01-25,WONG Chun Ting,DIAW Ibrahima,3,1,"11,11,10,11|7,8,12,7",R64,WTT_STAR_CONTENDER,MS,2863,Main Draw,WONG Chun Ting (HKG),DIAW Ibrahima (SEN)
WTT Star Contender Goa 2024,2024-01-25,MOREGARD Truls/KARLSSON Kristian,OH Junsung/PARK Gyuhyeon,3,1,"11,8,11,11|8,11,6,8",R16,WTT_STAR_CONTENDER,MD,2863,Main Draw,MOREGARD Truls/KARLSSON Kristian (SWE),OH Junsung/PARK Gyuhyeon (KOR)
WTT Star Contender Goa 2024,2024-01-25,GHORPADE Yashaswini,KUKULKOVA Tatiana,3,0,"11,11,11|8,4,2",R64,WTT_STAR_CONTENDER,WS,2863,Main Draw,GHORPADE Yashaswini (IND),KUKULKOVA Tatiana (SVK)
WTT Star Contender Goa 2024,2024-01-25,KALLBERG Christina,ZHANG Sofia-Xuan,3,2,"11,6,11,7,11|9,11,7,11,4",R64,WTT_STAR_CONTENDER,WS,2863,Main Draw,KALLBERG Christina (SWE),ZHANG Sofia-Xuan (ESP)
WTT Star Contender Goa 2024,2024-01-25,AN Jaehyun/LIM Jonghoon,DESAI Harmeet/SURAVAJJULA Snehit,3,0,"11,11,11|4,9,6",R16,WTT_STAR_CONTENDER,MD,2863,Main Draw,AN Jaehyun/LIM Jonghoon (KOR),DESAI Harmeet/SURAVAJJULA Snehit (IND)
WTT Star Contender Goa 2024,2024-01-25,FILUS Ruwen,PISTEJ Lubomir,3,1,"11,10,11,11|6,12,6,9",R64,WTT_STAR_CONTENDER,MS,2863,Main Draw,FILUS Ruwen (GER),PISTEJ Lubomir (SVK)
