tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
WTT Feeder Panagyurishte 2024 Presented by Asarel,2024-09-13,YOKOI Sakura,PLAIAN Tania,3,1,"7,11,11,11|11,2,3,8",R32,WTT_FEEDER,WS,2885,Main Draw,YOKOI Sakura (JPN),PLAIAN Tania (ROU),YOKOI Sakura
WTT Feeder Panagyurishte 2024 Presented by Asarel,2024-09-13,TAKEYA Misuzu,UESAWA Anne,3,1,"11,5,12,11|7,11,10,7",R32,WTT_FEEDER,WS,2885,Main Draw,TAKEYA Misuzu (JPN),UESAWA Anne (JPN),TAKEYA Misuzu
WTT Feeder Panagyurishte 2024 Presented by Asarel,2024-09-13,ODO Satsuki,ZHU Sibing,3,0,"11,11,11|4,8,4",R32,WTT_FEEDER,WS,2885,Main Draw,ODO Satsuki (JPN),ZHU Sibing (CHN),ODO Satsuki
WTT Feeder Panagyurishte 2024 Presented by Asarel,2024-09-13,ALLEGRO Martin/RASSENFOSSE Adrien,YANG Tzu-Yi/CHUANG Chia-Chuan,3,2,"13,5,12,11,11|11,11,14,7,5",R16,WTT_FEEDER,MD,2885,Main Draw,ALLEGRO Martin/RASSENFOSSE Adrien (BEL),YANG Tzu-Yi/CHUANG Chia-Chuan (TPE),ALLEGRO Martin/RASSENFOSSE Adrien
WTT Feeder Panagyurishte 2024 Presented by Asarel,2024-09-13,HAGIHARA Keishi/SUZUKI Hayate,OYEBODE John/ROSSI Carlo,3,0,"11,11,11|7,2,4",R16,WTT_FEEDER,MD,2885,Main Draw,HAGIHARA Keishi/SUZUKI Hayate (JPN),OYEBODE John/ROSSI Carlo (ITA),HAGIHARA Keishi/SUZUKI Hayate
WTT Feeder Panagyurishte 2024 Presented by Asarel,2024-09-13,QUAN Kaiyuan/ZHAO Zihao,OSIRO Pedro/TSCHANZ Cedric,3,1,"9,14,11,11|11,12,4,6",R16,WTT_FEEDER,MD,2885,Main Draw,QUAN Kaiyuan/ZHAO Zihao (CHN),OSIRO Pedro/TSCHANZ Cedric (SUI),QUAN Kaiyuan/ZHAO Zihao
WTT Feeder Panagyurishte 2024 Presented by Asarel,2024-09-13,CHANG Yu-An/LI Yan Jun,BELIK Simon/ZELINKA Jakub,3,1,"9,11,11,16|11,8,2,14",R16,WTT_FEEDER,MD,2885,Main Draw,CHANG Yu-An/LI Yan Jun (TPE),BELIK Simon/ZELINKA Jakub (CZE/SVK),CHANG Yu-An/LI Yan Jun
WTT Feeder Panagyurishte 2024 Presented by Asarel,2024-09-13,MIKI Hayato/YOKOTANI Jo,MUTTI Matteo/PUPPO Andrea,3,0,"12,12,11|10,10,4",R16,WTT_FEEDER,MD,2885,Main Draw,MIKI Hayato/YOKOTANI Jo (JPN),MUTTI Matteo/PUPPO Andrea (ITA),MIKI Hayato/YOKOTANI Jo
WTT Feeder Panagyurishte 2024 Presented by Asarel,2024-09-13,SUN Wen/XU Haidong,COTON Flavien/PORET Thibault,3,1,"9,11,11,11|11,7,5,7",R16,WTT_FEEDER,MD,2885,Main Draw,SUN Wen/XU Haidong (CHN),COTON Flavien/PORET Thibault (FRA),SUN Wen/XU Haidong
WTT Feeder Panagyurishte 2024 Presented by Asarel,2024-09-13,ZHOU Kai/ZENG Beixun,CHEN Alexander/BAGGALEY Andrew,3,0,"11,11,11|5,7,8",R16,WTT_FEEDER,MD,2885,Main Draw,ZHOU Kai/ZENG Beixun (CHN),CHEN Alexander/BAGGALEY Andrew (AUT/ENG),ZHOU Kai/ZENG Beixun
WTT Feeder Panagyurishte 2024 Presented by Asarel,2024-09-13,UEDA Jin/SAKAI Yuhi,PETKOV Vladimir/KOSTADINOV David,3,0,"11,11,11|9,7,5",R16,WTT_FEEDER,MD,2885,Main Draw,UEDA Jin/SAKAI Yuhi (JPN),PETKOV Vladimir/KOSTADINOV David (BUL),UEDA Jin/SAKAI Yuhi
WTT Feeder Panagyurishte 2024 Presented by Asarel,2024-09-13,KIMURA Kasumi/OJIO Yuna,WANG Xiaotong/HAN Feier,3,2,"11,3,11,7,11|9,11,8,11,7",R16,WTT_FEEDER,WD,2885,Main Draw,KIMURA Kasumi/OJIO Yuna (JPN),WANG Xiaotong/HAN Feier (CHN),KIMURA Kasumi/OJIO Yuna
WTT Feeder Panagyurishte 2024 Presented by Asarel,2024-09-13,YANG Yiyun/ZHU Sibing,PARK Gahyeon/KIM Seongjin,3,0,"11,12,11|9,10,6",R16,WTT_FEEDER,WD,2885,Main Draw,YANG Yiyun/ZHU Sibing (CHN),PARK Gahyeon/KIM Seongjin (KOR),YANG Yiyun/ZHU Sibing
WTT Feeder Panagyurishte 2024 Presented by Asarel,2024-09-13,XU Yi/FAN Shuhan,PERSOVA Viktoria/TOFANT Ana,3,0,"11,11,11|3,8,6",R16,WTT_FEEDER,WD,2885,Main Draw,XU Yi/FAN Shuhan (CHN),PERSOVA Viktoria/TOFANT Ana (BUL/SLO),XU Yi/FAN Shuhan
WTT Feeder Panagyurishte 2024 Presented by Asarel,2024-09-13,OKADA Kotona/BALAZOVA Barbora,BRZYSKA Anna/WIELGOS Zuzanna,3,0,"11,11,11|7,9,3",R16,WTT_FEEDER,WD,2885,Main Draw,OKADA Kotona/BALAZOVA Barbora (JPN/SVK),BRZYSKA Anna/WIELGOS Zuzanna (POL),OKADA Kotona/BALAZOVA Barbora
WTT Feeder Panagyurishte 2024 Presented by Asarel,2024-09-13,BERTRAND Irvin,YANG Tzu-Yi,3,1,"11,11,7,11|7,7,11,7",R64,WTT_FEEDER,MS,2885,Main Draw,BERTRAND Irvin (FRA),YANG Tzu-Yi (TPE),BERTRAND Irvin
WTT Feeder Panagyurishte 2024 Presented by Asarel,2024-09-13,KUKULKOVA Tatiana/LABOSOVA Ema,SZTWIERTNIA Ilona/LIS Martyna,3,0,"11,11,11|7,8,9",R16,WTT_FEEDER,WD,2885,Main Draw,KUKULKOVA Tatiana/LABOSOVA Ema (SVK),SZTWIERTNIA Ilona/LIS Martyna (POL),KUKULKOVA Tatiana/LABOSOVA Ema
WTT Feeder Panagyurishte 2024 Presented by Asarel,2024-09-13,MENG Fanbo,AMATO Antonino,3,0,"11,11,11|3,1,8",R64,WTT_FEEDER,MS,2885,Main Draw,MENG Fanbo (GER),AMATO Antonino (ITA),MENG Fanbo
WTT Feeder Panagyurishte 2024 Presented by Asarel,2024-09-13,SIPOS Rares,ROSSI Carlo,3,1,"11,11,9,11|6,7,11,5",R64,WTT_FEEDER,MS,2885,Main Draw,SIPOS Rares (ROU),ROSSI Carlo (ITA),SIPOS Rares
WTT Feeder Panagyurishte 2024 Presented by Asarel,2024-09-13,BAGGALEY Andrew,HAGIHARA Keishi,3,1,"8,11,11,11|11,7,5,4",R64,WTT_FEEDER,MS,2885,Main Draw,BAGGALEY Andrew (ENG),HAGIHARA Keishi (JPN),BAGGALEY Andrew
WTT Feeder Panagyurishte 2024 Presented by Asarel,2024-09-13,HRISTOVA Kalina/YOVKOVA Maria,GEORGIEVA Tsvetelina/MUTLU Sidelya,3,0,"11,11,11|0,0,0",R16,WTT_FEEDER,WD,2885,Main Draw,HRISTOVA Kalina/YOVKOVA Maria (BUL),GEORGIEVA Tsvetelina/MUTLU Sidelya (BUL),HRISTOVA Kalina/YOVKOVA Maria
WTT Feeder Panagyurishte 2024 Presented by Asarel,2024-09-13,YOKOTANI Jo,XU Haidong,3,1,"11,11,7,11|4,8,11,7",R64,WTT_FEEDER,MS,2885,Main Draw,YOKOTANI Jo (JPN),XU Haidong (CHN),YOKOTANI Jo
WTT Feeder Panagyurishte 2024 Presented by Asarel,2024-09-13,SUN Wen,OYEBODE John,3,0,"11,11,13|7,9,11",R64,WTT_FEEDER,MS,2885,Main Draw,SUN Wen (CHN),OYEBODE John (ITA),SUN Wen
WTT Feeder Panagyurishte 2024 Presented by Asarel,2024-09-13,QUAN Kaiyuan,RZIHAUSCHEK Julian,3,0,"11,11,11|7,2,5",R64,WTT_FEEDER,MS,2885,Main Draw,QUAN Kaiyuan (CHN),RZIHAUSCHEK Julian (AUT),QUAN Kaiyuan
WTT Feeder Panagyurishte 2024 Presented by Asarel,2024-09-13,ZELINKA Jakub,SCHWEIGER Tom,3,0,"11,11,13|5,9,11",R64,WTT_FEEDER,MS,2885,Main Draw,ZELINKA Jakub (SVK),SCHWEIGER Tom (GER),ZELINKA Jakub
WTT Feeder Panagyurishte 2024 Presented by Asarel,2024-09-13,ZHOU Kai,OEHME Benno,3,0,"11,11,11|9,7,8",R64,WTT_FEEDER,MS,2885,Main Draw,ZHOU Kai (CHN),OEHME Benno (GER),ZHOU Kai
WTT Feeder Panagyurishte 2024 Presented by Asarel,2024-09-13,KOLODZIEJCZYK Maciej,BELIK Simon,3,0,"11,11,11|9,8,8",R64,WTT_FEEDER,MS,2885,Main Draw,KOLODZIEJCZYK Maciej (AUT),BELIK Simon (CZE),KOLODZIEJCZYK Maciej
WTT Feeder Panagyurishte 2024 Presented by Asarel,2024-09-13,HUANG Yu-Chiao,TERPOU Elisavet,3,0,"11,11,11|7,3,5",R64,WTT_FEEDER,WS,2885,Main Draw,HUANG Yu-Chiao (TPE),TERPOU Elisavet (GRE),HUANG Yu-Chiao
WTT Feeder Panagyurishte 2024 Presented by Asarel,2024-09-13,REMBERT Bastien,ZHAO Zihao,3,1,"3,11,16,11|11,6,14,8",R64,WTT_FEEDER,MS,2885,Main Draw,REMBERT Bastien (FRA),ZHAO Zihao (CHN),REMBERT Bastien
WTT Feeder Panagyurishte 2024 Presented by Asarel,2024-09-13,UEDA Jin,PUPPO Andrea,3,1,"11,7,11,11|5,11,5,7",R64,WTT_FEEDER,MS,2885,Main Draw,UEDA Jin (JPN),PUPPO Andrea (ITA),UEDA Jin
WTT Feeder Panagyurishte 2024 Presented by Asarel,2024-09-13,YEH Yi-Tian,BRZYSKA Anna,3,0,"11,11,11|7,6,2",R64,WTT_FEEDER,WS,2885,Main Draw,YEH Yi-Tian (TPE),BRZYSKA Anna (POL),YEH Yi-Tian
WTT Feeder Panagyurishte 2024 Presented by Asarel,2024-09-13,TSENG Tzu-Yu,SUZUKI Hayate,3,0,"11,11,11|8,9,7",R64,WTT_FEEDER,MS,2885,Main Draw,TSENG Tzu-Yu (TPE),SUZUKI Hayate (JPN),TSENG Tzu-Yu
