tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
Oceania Championships Geelong 2006,2006-06-26,TOWNSEND Wade,LOWE Matthew,4,2,"8,11,11,11,10,11|11,5,7,5,12,6",R32,OTHER,MS,1791,Main Draw,TOWNSEND Wade (AUS),LOWE Matthew (NZL)
Oceania Championships Geelong 2006,2006-06-26,CAMPBELL Claire,SQUIRE Hanna,4,0,"11,11,11,11|5,5,6,6",R16,OTHER,WS,1791,Main Draw,CAMPBELL Claire (AUS),SQUIRE Hanna (NZL)
Oceania Championships Geelong 2006,2006-06-26,CHO May,TAPPER Melissa,4,0,"11,11,13,11|8,8,11,8",R16,OTHER,WS,1791,Main Draw,CHO May (AUS),TAPPER Melissa (AUS)
Oceania Championships Geelong 2006,2006-06-26,SANG Xu Stephanie,HER-LEE Sarah,4,1,"8,11,12,11,11|11,3,10,7,8",R16,OTHER,WS,1791,Main Draw,SANG Xu Stephanie (AUS),HER-LEE Sarah (NZL)
Oceania Championships Geelong 2006,2006-06-26,BROMLEY Michelle,BOUTEILLE Ornella,4,0,"11,11,11,11|7,4,6,5",R16,OTHER,WS,1791,Main Draw,BROMLEY Michelle (AUS),BOUTEILLE Ornella (NCL)
Oceania Championships Geelong 2006,2006-06-26,CAMPBELL Peri,HODGSON Michelle,4,1,"11,11,11,10,11|0,5,5,12,5",R16,OTHER,WS,1791,Main Draw,CAMPBELL Peri (AUS),HODGSON Michelle (AUS)
Oceania Championships Geelong 2006,2006-06-26,LI Karen,BENNETT Belgin,4,0,"11,11,11,11|3,8,2,3",R16,OTHER,WS,1791,Main Draw,LI Karen (NZL),BENNETT Belgin (AUS)
Oceania Championships Geelong 2006,2006-06-26,MIAO Miao,BUNGEY Kerry,4,0,"11,14,11,11|5,12,8,9",QuarterFinal,OTHER,WS,1791,Main Draw,MIAO Miao (AUS),BUNGEY Kerry (AUS)
Oceania Championships Geelong 2006,2006-06-26,CHO May,CAMPBELL Claire,4,1,"11,7,11,11,11|7,11,6,8,6",QuarterFinal,OTHER,WS,1791,Main Draw,CHO May (AUS),CAMPBELL Claire (AUS)
Oceania Championships Geelong 2006,2006-06-26,SANG Xu Stephanie,BROMLEY Michelle,4,0,"11,11,11,11|2,4,6,4",QuarterFinal,OTHER,WS,1791,Main Draw,SANG Xu Stephanie (AUS),BROMLEY Michelle (AUS)
Oceania Championships Geelong 2006,2006-06-26,LI Karen,CAMPBELL Peri,4,0,"11,13,11,12|5,11,6,10",QuarterFinal,OTHER,WS,1791,Main Draw,LI Karen (NZL),CAMPBELL Peri (AUS)
Oceania Championships Geelong 2006,2006-06-26,MIAO Miao,CHO May,4,2,"11,11,11,11,6,11|13,8,9,6,11,6",SemiFinal,OTHER,WS,1791,Main Draw,MIAO Miao (AUS),CHO May (AUS)
Oceania Championships Geelong 2006,2006-06-26,LI Karen,SANG Xu Stephanie,4,1,"9,11,11,11,12|11,8,7,9,10",SemiFinal,OTHER,WS,1791,Main Draw,LI Karen (NZL),SANG Xu Stephanie (AUS)
Oceania Championships Geelong 2006,2006-06-26,LI Karen,MIAO Miao,4,2,"11,8,11,2,11,11|7,11,9,11,5,6",Final,OTHER,WS,1791,Main Draw,LI Karen (NZL),MIAO Miao (AUS)
Oceania Championships Geelong 2006,2006-06-26,CARTER Piers/HENZELL William,KLOUMAN Tinihau/MU David,3,0,"11,11,11|5,7,8",R16,OTHER,MD,1791,Main Draw,CARTER Piers (AUS) / HENZELL William (AUS),KLOUMAN Tinihau (PYF) / MU David (PYF)
Oceania Championships Geelong 2006,2006-06-26,TANG George/TRAN Kiet,BELROSE Alize/DUREAU Jean-Francois,3,1,"11,11,11,11|3,7,13,4",R16,OTHER,MD,1791,Main Draw,TANG George (AUS) / TRAN Kiet (AUS),BELROSE Alize (PYF) / DUREAU Jean-Francois (PYF)
Oceania Championships Geelong 2006,2006-06-26,FRANK Robert/SHIH Andy,KAREROA MATA Ngatokorima/MATAPO Emmanuel,3,0,"11,11,11|3,5,5",R16,OTHER,MD,1791,Main Draw,FRANK Robert (AUS) / SHIH Andy (AUS),KAREROA MATA Ngatokorima (COK) / MATAPO Emmanuel (COK)
Oceania Championships Geelong 2006,2006-06-26,CARTER Piers/HENZELL William,LOWE Nathan/ZHU Ryan,3,0,"11,13,11|6,11,6",QuarterFinal,OTHER,MD,1791,Main Draw,CARTER Piers (AUS) / HENZELL William (AUS),LOWE Nathan (NZL) / ZHU Ryan (NZL)
Oceania Championships Geelong 2006,2006-06-26,CARTER Trent/SEMMLER Danny,FERNANDO Chamara/HOUSTON Scott,3,2,"11,12,7,10,11|4,10,11,12,2",QuarterFinal,OTHER,MD,1791,Main Draw,CARTER Trent (AUS) / SEMMLER Danny (AUS),FERNANDO Chamara (AUS) / HOUSTON Scott (AUS)
Oceania Championships Geelong 2006,2006-06-26,TANG George/TRAN Kiet,AKKURT Resul/TOWNSEND Wade,3,0,"11,11,11|5,4,7",QuarterFinal,OTHER,MD,1791,Main Draw,TANG George (AUS) / TRAN Kiet (AUS),AKKURT Resul (AUS) / TOWNSEND Wade (AUS)
Oceania Championships Geelong 2006,2006-06-26,CHEN Brad/ZENG Steven,FRANK Robert/SHIH Andy,3,1,"11,11,8,11|6,6,11,7",QuarterFinal,OTHER,MD,1791,Main Draw,CHEN Brad (NZL) / ZENG Steven (NZL),FRANK Robert (AUS) / SHIH Andy (AUS)
Oceania Championships Geelong 2006,2006-06-26,CARTER Trent/SEMMLER Danny,CARTER Piers/HENZELL William,3,2,"7,12,8,12,11|11,10,11,10,8",SemiFinal,OTHER,MD,1791,Main Draw,CARTER Trent (AUS) / SEMMLER Danny (AUS),CARTER Piers (AUS) / HENZELL William (AUS)
Oceania Championships Geelong 2006,2006-06-26,TANG George/TRAN Kiet,CHEN Brad/ZENG Steven,3,0,"11,11,11|6,9,8",SemiFinal,OTHER,MD,1791,Main Draw,TANG George (AUS) / TRAN Kiet (AUS),CHEN Brad (NZL) / ZENG Steven (NZL)
Oceania Championships Geelong 2006,2006-06-26,TANG George/TRAN Kiet,CARTER Trent/SEMMLER Danny,3,2,"11,8,11,13,11|6,11,8,15,8",Final,OTHER,MD,1791,Main Draw,TANG George (AUS) / TRAN Kiet (AUS),CARTER Trent (AUS) / SEMMLER Danny (AUS)
Oceania Championships Geelong 2006,2006-06-26,CARTER Trent/SEMMLER Danny,JOE Norman/WANG Qi,3,2,"11,5,11,4,11|9,11,3,11,7",R16,OTHER,MD,1791,Main Draw,CARTER Trent (AUS) / SEMMLER Danny (AUS),JOE Norman (FIJ) / WANG Qi (FIJ)
Oceania Championships Geelong 2006,2006-06-26,CHEN Brad/ZENG Steven,BATAILLARD Maxime/FREDDY Choy,3,0,"11,11,11|7,7,9",R16,OTHER,MD,1791,Main Draw,CHEN Brad (NZL) / ZENG Steven (NZL),BATAILLARD Maxime (NCL) / FREDDY Choy (KIR)
Oceania Championships Geelong 2006,2006-06-26,AKKURT Resul/TOWNSEND Wade,DEY Vincent/GILABERT Stephane,3,0,"11,11,11|7,3,8",R16,OTHER,MD,1791,Main Draw,AKKURT Resul (AUS) / TOWNSEND Wade (AUS),DEY Vincent (NCL) / GILABERT Stephane (NCL)
Oceania Championships Geelong 2006,2006-06-26,JOE Norman/WANG Qi,LOWE Matthew/ZENG Terry,3,0,"11,11,11|7,5,5",R32,OTHER,MD,1791,Main Draw,JOE Norman (FIJ) / WANG Qi (FIJ),LOWE Matthew (NZL) / ZENG Terry (NZL)
Oceania Championships Geelong 2006,2006-06-26,AKKURT Resul/TOWNSEND Wade,KWONG Calvin/PATERSON Blair,3,2,"10,11,10,14,11|12,9,12,12,6",R32,OTHER,MD,1791,Main Draw,AKKURT Resul (AUS) / TOWNSEND Wade (AUS),KWONG Calvin (NZL) / PATERSON Blair (NZL)
Oceania Championships Geelong 2006,2006-06-26,LOWE Nathan/ZHU Ryan,AMBROSINI Nicolas/DEY Jeremy,3,0,"11,11,11|5,8,4",R16,OTHER,MD,1791,Main Draw,LOWE Nathan (NZL) / ZHU Ryan (NZL),AMBROSINI Nicolas (NCL) / DEY Jeremy (NCL)
Oceania Championships Geelong 2006,2006-06-26,FERNANDO Chamara/HOUSTON Scott,BELROSE Ocean/MICHAUD Alexandre,3,0,"11,11,11|3,3,3",R16,OTHER,MD,1791,Main Draw,FERNANDO Chamara (AUS) / HOUSTON Scott (AUS),BELROSE Ocean (PYF) / MICHAUD Alexandre (PYF)
Oceania Championships Geelong 2006,2006-06-26,JOLLEY Ann Marie/TAPPER Melissa,LUI Brenda/THUNOT Tuarikirau,3,0,"11,11,11|9,5,3",R32,OTHER,WD,1791,Main Draw,JOLLEY Ann Marie (AUS) / TAPPER Melissa (AUS),LUI Brenda (PYF) / THUNOT Tuarikirau (PYF)
Oceania Championships Geelong 2006,2006-06-26,HER-LEE Sarah/HUNG Jenny,BENNETT Belgin/LE Belinda,3,0,"12,11,11|10,8,8",R32,OTHER,WD,1791,Main Draw,HER-LEE Sarah (NZL) / HUNG Jenny (NZL),BENNETT Belgin (AUS) / LE Belinda (AUS)
Oceania Championships Geelong 2006,2006-06-26,MIAO Miao/SANG Xu Stephanie,HO Sally/HU Jiani,3,0,"11,11,11|4,5,5",R16,OTHER,WD,1791,Main Draw,MIAO Miao (AUS) / SANG Xu Stephanie (AUS),HO Sally (NZL) / HU Jiani (NZL)
Oceania Championships Geelong 2006,2006-06-26,NG Cassandra/XIAO Annie,MATARIKI Pareina/KOI Julia,3,0,"11,11,12|8,5,10",R16,OTHER,WD,1791,Main Draw,NG Cassandra (AUS) / XIAO Annie (AUS),MATARIKI Pareina (VAN) / KOI Julia (FIJ)
Oceania Championships Geelong 2006,2006-06-26,JOLLEY Ann Marie/TAPPER Melissa,MCCARTHY Michelle/SQUIRE Hanna,3,1,"11,11,7,11|9,5,11,9",R16,OTHER,WD,1791,Main Draw,JOLLEY Ann Marie (AUS) / TAPPER Melissa (AUS),MCCARTHY Michelle (NZL) / SQUIRE Hanna (NZL)
Oceania Championships Geelong 2006,2006-06-26,CAMPBELL Peri/CHO May,HSIAO Rachel/SAM Cyrine,3,1,"11,11,7,11|3,3,11,4",R16,OTHER,WD,1791,Main Draw,CAMPBELL Peri (AUS) / CHO May (AUS),HSIAO Rachel (PYF) / SAM Cyrine (PYF)
Oceania Championships Geelong 2006,2006-06-26,LI Karen/SHU Sophie,CARPENTER Michelle/SCARBOROUGH Rebecca,3,1,"11,11,9,11|2,6,11,5",R16,OTHER,WD,1791,Main Draw,LI Karen (NZL) / SHU Sophie (NZL),CARPENTER Michelle (AUS) / SCARBOROUGH Rebecca (AUS)
Oceania Championships Geelong 2006,2006-06-26,MIAO Miao/SANG Xu Stephanie,NG Cassandra/XIAO Annie,3,0,"11,11,11|3,4,6",QuarterFinal,OTHER,WD,1791,Main Draw,MIAO Miao (AUS) / SANG Xu Stephanie (AUS),NG Cassandra (AUS) / XIAO Annie (AUS)
Oceania Championships Geelong 2006,2006-06-26,JOLLEY Ann Marie/TAPPER Melissa,CAMPBELL Claire/HODGSON Michelle,3,0,"11,11,11|7,4,5",QuarterFinal,OTHER,WD,1791,Main Draw,JOLLEY Ann Marie (AUS) / TAPPER Melissa (AUS),CAMPBELL Claire (AUS) / HODGSON Michelle (AUS)
Oceania Championships Geelong 2006,2006-06-26,CAMPBELL Peri/CHO May,HER-LEE Sarah/HUNG Jenny,3,2,"11,9,8,11,11|9,11,11,8,8",QuarterFinal,OTHER,WD,1791,Main Draw,CAMPBELL Peri (AUS) / CHO May (AUS),HER-LEE Sarah (NZL) / HUNG Jenny (NZL)
Oceania Championships Geelong 2006,2006-06-26,LI Karen/SHU Sophie,BROMLEY Michelle/BUNGEY Kerry,3,1,"9,11,11,11|11,7,2,9",QuarterFinal,OTHER,WD,1791,Main Draw,LI Karen (NZL) / SHU Sophie (NZL),BROMLEY Michelle (AUS) / BUNGEY Kerry (AUS)
Oceania Championships Geelong 2006,2006-06-26,MIAO Miao/SANG Xu Stephanie,JOLLEY Ann Marie/TAPPER Melissa,3,0,"11,11,11|6,4,2",SemiFinal,OTHER,WD,1791,Main Draw,MIAO Miao (AUS) / SANG Xu Stephanie (AUS),JOLLEY Ann Marie (AUS) / TAPPER Melissa (AUS)
Oceania Championships Geelong 2006,2006-06-26,CAMPBELL Peri/CHO May,LI Karen/SHU Sophie,3,2,"11,11,10,6,11|6,5,12,11,9",SemiFinal,OTHER,WD,1791,Main Draw,CAMPBELL Peri (AUS) / CHO May (AUS),LI Karen (NZL) / SHU Sophie (NZL)
Oceania Championships Geelong 2006,2006-06-26,MIAO Miao/SANG Xu Stephanie,CAMPBELL Peri/CHO May,3,2,"11,11,5,12,11|6,7,11,14,7",Final,OTHER,WD,1791,Main Draw,MIAO Miao (AUS) / SANG Xu Stephanie (AUS),CAMPBELL Peri (AUS) / CHO May (AUS)
Oceania Championships Geelong 2006,2006-06-26,CAMPBELL Claire/HODGSON Michelle,HARDY Shana/HUMUNI Cloee Sarah,3,0,"11,11,11|3,2,3",R16,OTHER,WD,1791,Main Draw,CAMPBELL Claire (AUS) / HODGSON Michelle (AUS),HARDY Shana (NCL) / HUMUNI Cloee Sarah (NCL)
Oceania Championships Geelong 2006,2006-06-26,HER-LEE Sarah/HUNG Jenny,BOUTEILLE Ornella/JACQUIN Clara,3,0,"11,11,11|6,4,6",R16,OTHER,WD,1791,Main Draw,HER-LEE Sarah (NZL) / HUNG Jenny (NZL),BOUTEILLE Ornella (NCL) / JACQUIN Clara (NCL)
Oceania Championships Geelong 2006,2006-06-26,LULU Anolyn/TOMMY Priscilla,QU Ru Juan/VAREA Grace,3,1,"11,8,11,11|4,11,9,8",R32,OTHER,WD,1791,Main Draw,LULU Anolyn (VAN) / TOMMY Priscilla (VAN),QU Ru Juan (FIJ) / VAREA Grace (FIJ)
Oceania Championships Geelong 2006,2006-06-26,BROMLEY Michelle/BUNGEY Kerry,LULU Anolyn/TOMMY Priscilla,3,1,"9,11,12,11|11,3,10,9",R16,OTHER,WD,1791,Main Draw,BROMLEY Michelle (AUS) / BUNGEY Kerry (AUS),LULU Anolyn (VAN) / TOMMY Priscilla (VAN)
Oceania Championships Geelong 2006,2006-06-26,HENZELL William/MIAO Miao,MU David/LUI Brenda,3,0,"11,11,11|3,4,5",R32,OTHER,XD,1791,Main Draw,HENZELL William (AUS) / MIAO Miao (AUS),MU David (PYF) / LUI Brenda (PYF)
Oceania Championships Geelong 2006,2006-06-26,ABBAS Roy/BENNETT Belgin,BATAILLARD Maxime/JACQUIN Clara,3,1,"11,11,6,11|8,6,11,7",R32,OTHER,XD,1791,Main Draw,ABBAS Roy (AUS) / BENNETT Belgin (AUS),BATAILLARD Maxime (NCL) / JACQUIN Clara (NCL)
Oceania Championships Geelong 2006,2006-06-26,TANG George/CAMPBELL Claire,BELROSE Alize/SAM Cyrine,3,1,"11,5,11,11|7,11,6,4",R32,OTHER,XD,1791,Main Draw,TANG George (AUS) / CAMPBELL Claire (AUS),BELROSE Alize (PYF) / SAM Cyrine (PYF)
Oceania Championships Geelong 2006,2006-06-26,TRAN Kiet/CAMPBELL Peri,KWONG Calvin/MCCARTHY Michelle,3,0,"11,11,11|9,3,7",R32,OTHER,XD,1791,Main Draw,TRAN Kiet (AUS) / CAMPBELL Peri (AUS),KWONG Calvin (NZL) / MCCARTHY Michelle (NZL)
Oceania Championships Geelong 2006,2006-06-26,AKKURT Resul/CARPENTER Michelle,SHING Yoshua/LULU Anolyn,3,1,"11,11,11,11|4,13,4,6",R32,OTHER,XD,1791,Main Draw,AKKURT Resul (AUS) / CARPENTER Michelle (AUS),SHING Yoshua (VAN) / LULU Anolyn (VAN)
Oceania Championships Geelong 2006,2006-06-26,TOWNSEND Wade/TAPPER Melissa,ZENG Steven/SHU Sophie,3,0,"11,11,11|4,9,8",R32,OTHER,XD,1791,Main Draw,TOWNSEND Wade (AUS) / TAPPER Melissa (AUS),ZENG Steven (NZL) / SHU Sophie (NZL)
Oceania Championships Geelong 2006,2006-06-26,SHIH Andy/CHO May,DEY Jeremy/BOUTEILLE Ornella,3,0,"11,11,11|7,6,3",R32,OTHER,XD,1791,Main Draw,SHIH Andy (AUS) / CHO May (AUS),DEY Jeremy (NCL) / BOUTEILLE Ornella (NCL)
Oceania Championships Geelong 2006,2006-06-26,HENZELL William/MIAO Miao,ABBAS Roy/BENNETT Belgin,3,0,"11,11,11|2,5,9",R16,OTHER,XD,1791,Main Draw,HENZELL William (AUS) / MIAO Miao (AUS),ABBAS Roy (AUS) / BENNETT Belgin (AUS)
Oceania Championships Geelong 2006,2006-06-26,TANG George/CAMPBELL Claire,ZHU Ryan/HUNG Jenny,3,2,"11,11,8,4,11|9,9,11,11,9",R16,OTHER,XD,1791,Main Draw,TANG George (AUS) / CAMPBELL Claire (AUS),ZHU Ryan (NZL) / HUNG Jenny (NZL)
Oceania Championships Geelong 2006,2006-06-26,TRAN Kiet/CAMPBELL Peri,AKKURT Resul/CARPENTER Michelle,3,0,"11,11,11|7,7,7",R16,OTHER,XD,1791,Main Draw,TRAN Kiet (AUS) / CAMPBELL Peri (AUS),AKKURT Resul (AUS) / CARPENTER Michelle (AUS)
Oceania Championships Geelong 2006,2006-06-26,HOUSTON Scott/JOLLEY Ann Marie,TOWNSEND Wade/TAPPER Melissa,3,0,"11,11,11|9,9,6",R16,OTHER,XD,1791,Main Draw,HOUSTON Scott (AUS) / JOLLEY Ann Marie (AUS),TOWNSEND Wade (AUS) / TAPPER Melissa (AUS)
Oceania Championships Geelong 2006,2006-06-26,SHIH Andy/CHO May,PATERSON Blair/SQUIRE Hanna,3,0,"11,11,11|2,6,7",R16,OTHER,XD,1791,Main Draw,SHIH Andy (AUS) / CHO May (AUS),PATERSON Blair (NZL) / SQUIRE Hanna (NZL)
Oceania Championships Geelong 2006,2006-06-26,CHEN Brad/LI Karen,FRANK Robert/BROMLEY Michelle,3,0,"11,11,11|7,9,4",R16,OTHER,XD,1791,Main Draw,CHEN Brad (NZL) / LI Karen (NZL),FRANK Robert (AUS) / BROMLEY Michelle (AUS)
Oceania Championships Geelong 2006,2006-06-26,HENZELL William/MIAO Miao,CARTER Piers/BUNGEY Kerry,3,1,"11,7,11,11|3,11,7,9",QuarterFinal,OTHER,XD,1791,Main Draw,HENZELL William (AUS) / MIAO Miao (AUS),CARTER Piers (AUS) / BUNGEY Kerry (AUS)
Oceania Championships Geelong 2006,2006-06-26,FERNANDO Chamara/SANG Xu Stephanie,TANG George/CAMPBELL Claire,3,0,"14,11,13|12,8,11",QuarterFinal,OTHER,XD,1791,Main Draw,FERNANDO Chamara (AUS) / SANG Xu Stephanie (AUS),TANG George (AUS) / CAMPBELL Claire (AUS)
Oceania Championships Geelong 2006,2006-06-26,TRAN Kiet/CAMPBELL Peri,HOUSTON Scott/JOLLEY Ann Marie,3,0,"11,11,11|6,4,6",QuarterFinal,OTHER,XD,1791,Main Draw,TRAN Kiet (AUS) / CAMPBELL Peri (AUS),HOUSTON Scott (AUS) / JOLLEY Ann Marie (AUS)
Oceania Championships Geelong 2006,2006-06-26,CHEN Brad/LI Karen,SHIH Andy/CHO May,3,0,"11,11,11|8,6,2",QuarterFinal,OTHER,XD,1791,Main Draw,CHEN Brad (NZL) / LI Karen (NZL),SHIH Andy (AUS) / CHO May (AUS)
Oceania Championships Geelong 2006,2006-06-26,HENZELL William/MIAO Miao,FERNANDO Chamara/SANG Xu Stephanie,3,2,"4,3,12,11,12|11,11,10,6,10",SemiFinal,OTHER,XD,1791,Main Draw,HENZELL William (AUS) / MIAO Miao (AUS),FERNANDO Chamara (AUS) / SANG Xu Stephanie (AUS)
Oceania Championships Geelong 2006,2006-06-26,TRAN Kiet/CAMPBELL Peri,CHEN Brad/LI Karen,3,2,"9,11,12,6,11|11,9,10,11,9",SemiFinal,OTHER,XD,1791,Main Draw,TRAN Kiet (AUS) / CAMPBELL Peri (AUS),CHEN Brad (NZL) / LI Karen (NZL)
Oceania Championships Geelong 2006,2006-06-26,HENZELL William/MIAO Miao,TRAN Kiet/CAMPBELL Peri,3,0,"11,11,11|5,8,4",Final,OTHER,XD,1791,Main Draw,HENZELL William (AUS) / MIAO Miao (AUS),TRAN Kiet (AUS) / CAMPBELL Peri (AUS)
Oceania Championships Geelong 2006,2006-06-26,TOWNSEND Wade/TAPPER Melissa,GILABERT Stephane/HARDY Shana,3,0,"11,11,11|5,2,4",QR4,OTHER,XD,1791,Qualification,TOWNSEND Wade (AUS) / TAPPER Melissa (AUS),GILABERT Stephane (NCL) / HARDY Shana (NCL)
Oceania Championships Geelong 2006,2006-06-26,CARTER Trent/HODGSON Michelle,KAREROA MATA Ngatokorima/MANICO Louisa,3,0,"11,11,11|3,3,1",QR4,OTHER,XD,1791,Qualification,CARTER Trent (AUS) / HODGSON Michelle (AUS),KAREROA MATA Ngatokorima (COK) / MANICO Louisa (COK)
Oceania Championships Geelong 2006,2006-06-26,CARTER Piers/BUNGEY Kerry,WANG Qi/KOI Julia,3,0,"11,11,11|7,7,5",R32,OTHER,XD,1791,Main Draw,CARTER Piers (AUS) / BUNGEY Kerry (AUS),WANG Qi (FIJ) / KOI Julia (FIJ)
Oceania Championships Geelong 2006,2006-06-26,FRANK Robert/BROMLEY Michelle,JOE Norman/VAREA Grace,3,0,"15,11,11|13,9,4",R32,OTHER,XD,1791,Main Draw,FRANK Robert (AUS) / BROMLEY Michelle (AUS),JOE Norman (FIJ) / VAREA Grace (FIJ)
Oceania Championships Geelong 2006,2006-06-26,FERNANDO Chamara/SANG Xu Stephanie,DEY Vincent/HUMUNI Cloee Sarah,3,0,"11,11,11|6,2,2",R32,OTHER,XD,1791,Main Draw,FERNANDO Chamara (AUS) / SANG Xu Stephanie (AUS),DEY Vincent (NCL) / HUMUNI Cloee Sarah (NCL)
Oceania Championships Geelong 2006,2006-06-26,ZHU Ryan/HUNG Jenny,CARTER Trent/HODGSON Michelle,3,1,"11,7,11,11|8,11,8,7",R32,OTHER,XD,1791,Main Draw,ZHU Ryan (NZL) / HUNG Jenny (NZL),CARTER Trent (AUS) / HODGSON Michelle (AUS)
