tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
World Tour Philippines Open Subic Bay 2014,2014-05-15,PENG Wang-Wei,ESPOSO Julius,4,0,"11,11,11,11|9,1,8,2",,GRAND_SLAM,MS,132,Qualification,PENG Wang-Wei (TPE),ESPOSO Julius (PHI),PENG Wang-Wei
World Tour Philippines Open Subic Bay 2014,2014-05-15,POUNGSRI Max,ESPOSO Julius,4,0,"11,14,11,11|3,12,9,5",,GRAND_SLAM,MS,132,Qualification,ESPOSO Julius (PHI),POUNGSRI Max (THA),POUNGSRI Max
World Tour Philippines Open Subic Bay 2014,2014-05-15,XIN Zhaoxu,SETIAWAN Syapril,3,0,"11,11,11|1,8,9",,GRAND_SLAM,U21MS,132,Qualification,XIN Zhaoxu (SGP),SETIAWAN Syapril (INA),XIN Zhaoxu
World Tour Philippines Open Subic Bay 2014,2014-05-15,XIN Zhaoxu,MORADA Mervin,3,0,"11,11,11|4,6,5",,GRAND_SLAM,U21MS,132,Qualification,XIN Zhaoxu (SGP),MORADA Mervin (PHI),XIN Zhaoxu
World Tour Philippines Open Subic Bay 2014,2014-05-15,SETIAWAN Syapril,MORADA Mervin,3,0,"11,11,11|5,7,9",,GRAND_SLAM,U21MS,132,Qualification,MORADA Mervin (PHI),SETIAWAN Syapril (INA),SETIAWAN Syapril
World Tour Philippines Open Subic Bay 2014,2014-05-15,NUYTINCK Cedric,SAKTI Andika Prayoga,3,0,"11,11,11|1,4,6",,GRAND_SLAM,U21MS,132,Qualification,NUYTINCK Cedric (BEL),SAKTI Andika Prayoga (INA),NUYTINCK Cedric
World Tour Philippines Open Subic Bay 2014,2014-05-15,NUYTINCK Cedric,RUIZ Jeremy,3,0,"11,11,11|0,6,8",,GRAND_SLAM,U21MS,132,Qualification,NUYTINCK Cedric (BEL),RUIZ Jeremy (PHI),NUYTINCK Cedric
World Tour Philippines Open Subic Bay 2014,2014-05-15,RUIZ Jeremy,SAKTI Andika Prayoga,3,0,"11,14,11|5,12,9",,GRAND_SLAM,U21MS,132,Qualification,RUIZ Jeremy (PHI),SAKTI Andika Prayoga (INA),RUIZ Jeremy
World Tour Philippines Open Subic Bay 2014,2014-05-15,SUN Chia-Hung,HO Kwan Kit,3,2,"9,4,17,11,11|11,11,15,6,3",,GRAND_SLAM,U21MS,132,Qualification,SUN Chia-Hung (TPE),HO Kwan Kit (HKG),SUN Chia-Hung
World Tour Philippines Open Subic Bay 2014,2014-05-15,LEONG Chee Feng,LEDESMA Walden,3,1,"11,9,11,11|8,11,3,3",,GRAND_SLAM,U21MS,132,Qualification,LEONG Chee Feng (MAS),LEDESMA Walden (PHI),LEONG Chee Feng
