tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
Malaysian Open Johor Bahru 2003,2003-10-02,KONG Linghui,REMY Yaccob,4,0,"11,11,11,11|7,6,3,4",R64,GRAND_SLAM,MS,1609,Main Draw,KONG Linghui (CHN),REMY Yaccob (MAS),KONG Linghui
Malaysian Open Johor Bahru 2003,2003-10-02,KONG Linghui,ROSSKOPF Jorg,4,2,"6,6,11,13,11,11|11,11,5,11,3,7",R16,GRAND_SLAM,MS,1609,Main Draw,KONG Linghui (CHN),ROSSKOPF Jorg (GER),KONG Linghui
Malaysian Open Johor Bahru 2003,2003-10-02,PERSSON Jorgen,BENTSEN Allan,4,1,"11,7,12,11,20|8,11,10,7,18",R16,GRAND_SLAM,MS,1609,Main Draw,PERSSON Jorgen (SWE),BENTSEN Allan (DEN),PERSSON Jorgen
Malaysian Open Johor Bahru 2003,2003-10-02,MAZE Michael,CHEN Qi,4,1,"11,11,11,6,11|6,3,9,11,5",R16,GRAND_SLAM,MS,1609,Main Draw,MAZE Michael (DEN),CHEN Qi (CHN),MAZE Michael
Malaysian Open Johor Bahru 2003,2003-10-02,LIU Guozheng,JINDRAK Karl,4,2,"10,9,11,11,11,11|12,11,5,9,7,5",R16,GRAND_SLAM,MS,1609,Main Draw,LIU Guozheng (CHN),JINDRAK Karl (AUT),LIU Guozheng
Malaysian Open Johor Bahru 2003,2003-10-02,HAO Shuai,MATSUSHITA Koji,4,0,"11,11,11,11|4,9,6,9",R16,GRAND_SLAM,MS,1609,Main Draw,HAO Shuai (CHN),MATSUSHITA Koji (JPN),HAO Shuai
Malaysian Open Johor Bahru 2003,2003-10-02,QIU Yike,KO Lai Chak,4,3,"6,8,11,11,8,11,11|11,11,8,8,11,6,4",R16,GRAND_SLAM,MS,1609,Main Draw,QIU Yike (CHN),KO Lai Chak (HKG),QIU Yike
Malaysian Open Johor Bahru 2003,2003-10-02,LEUNG Chu Yan,ZHANG Tai Yong,4,2,"11,10,8,11,11,11|8,12,11,6,7,3",R16,GRAND_SLAM,MS,1609,Main Draw,LEUNG Chu Yan (HKG),ZHANG Tai Yong (SGP),LEUNG Chu Yan
Malaysian Open Johor Bahru 2003,2003-10-02,SAIVE Jean-Michel,CHEN Weixing,4,2,"12,11,8,10,11,13|10,7,11,12,9,11",R16,GRAND_SLAM,MS,1609,Main Draw,SAIVE Jean-Michel (BEL),CHEN Weixing (AUT),SAIVE Jean-Michel
Malaysian Open Johor Bahru 2003,2003-10-02,KONG Linghui,PERSSON Jorgen,4,1,"11,8,11,11,11|8,11,3,6,9",QF,GRAND_SLAM,MS,1609,Main Draw,KONG Linghui (CHN),PERSSON Jorgen (SWE),KONG Linghui
Malaysian Open Johor Bahru 2003,2003-10-02,LIU Guozheng,MAZE Michael,4,2,"5,11,4,11,11,11|11,2,11,5,9,6",QF,GRAND_SLAM,MS,1609,Main Draw,LIU Guozheng (CHN),MAZE Michael (DEN),LIU Guozheng
Malaysian Open Johor Bahru 2003,2003-10-02,HAO Shuai,QIU Yike,4,3,"12,3,11,11,11,8,11|14,11,5,4,6,11,6",QF,GRAND_SLAM,MS,1609,Main Draw,HAO Shuai (CHN),QIU Yike (CHN),HAO Shuai
Malaysian Open Johor Bahru 2003,2003-10-02,SAIVE Jean-Michel,LEUNG Chu Yan,4,2,"8,11,11,3,12,11|11,7,4,11,10,6",QF,GRAND_SLAM,MS,1609,Main Draw,SAIVE Jean-Michel (BEL),LEUNG Chu Yan (HKG),SAIVE Jean-Michel
Malaysian Open Johor Bahru 2003,2003-10-02,LIU Guozheng,KONG Linghui,4,3,"10,4,7,11,11,11,14|12,11,11,8,6,7,12",SF,GRAND_SLAM,MS,1609,Main Draw,LIU Guozheng (CHN),KONG Linghui (CHN),LIU Guozheng
Malaysian Open Johor Bahru 2003,2003-10-02,HAO Shuai,SAIVE Jean-Michel,4,1,"11,12,4,11,11|8,10,11,2,9",SF,GRAND_SLAM,MS,1609,Main Draw,HAO Shuai (CHN),SAIVE Jean-Michel (BEL),HAO Shuai
Malaysian Open Johor Bahru 2003,2003-10-02,LIU Guozheng,HAO Shuai,4,2,"6,11,11,9,11,11|11,7,7,11,5,3",F,GRAND_SLAM,MS,1609,Main Draw,LIU Guozheng (CHN),HAO Shuai (CHN),LIU Guozheng
Malaysian Open Johor Bahru 2003,2003-10-02,FETH Stefan,ZHENG Qi,4,2,"7,11,11,9,11,11|11,6,8,11,6,8",,GRAND_SLAM,MS,1609,Qualification,FETH Stefan (GER),ZHENG Qi (SGP),FETH Stefan
Malaysian Open Johor Bahru 2003,2003-10-02,FETH Stefan,LING Tiing Sik,4,0,"11,11,11,11|6,9,5,8",QR2,GRAND_SLAM,MS,1609,Qualification,FETH Stefan (GER),LING Tiing Sik (MAS),FETH Stefan
Malaysian Open Johor Bahru 2003,2003-10-02,ZHENG Qi,LING Tiing Sik,4,0,"11,11,11,11|4,7,2,9",3,GRAND_SLAM,MS,1609,Qualification,ZHENG Qi (SGP),LING Tiing Sik (MAS),ZHENG Qi
Malaysian Open Johor Bahru 2003,2003-10-02,MOLDOVAN Istvan,FRENGKY Setyo,4,1,"12,11,11,11,11|14,3,4,1,5",,GRAND_SLAM,MS,1609,Qualification,MOLDOVAN Istvan (NOR),FRENGKY Setyo (INA),MOLDOVAN Istvan
Malaysian Open Johor Bahru 2003,2003-10-02,MOLDOVAN Istvan,PENG Jia Ping,4,0,"11,11,11,11|2,1,8,4",QR2,GRAND_SLAM,MS,1609,Qualification,MOLDOVAN Istvan (NOR),PENG Jia Ping (MAS),MOLDOVAN Istvan
Malaysian Open Johor Bahru 2003,2003-10-02,PENG Jia Ping,FRENGKY Setyo,4,0,"11,11,11,11|7,6,2,2",3,GRAND_SLAM,MS,1609,Qualification,PENG Jia Ping (MAS),FRENGKY Setyo (INA),PENG Jia Ping
Malaysian Open Johor Bahru 2003,2003-10-02,ZHANG Yiqin,SU Chu-Chao,4,3,"11,9,7,11,13,9,11|7,11,11,7,11,11,6",,GRAND_SLAM,MS,1609,Qualification,ZHANG Yiqin (SGP),SU Chu-Chao (TPE),ZHANG Yiqin
Malaysian Open Johor Bahru 2003,2003-10-02,SU Chu-Chao,LEE Boon Cheong,4,2,"11,14,5,14,11,11|7,12,11,16,8,7",QR2,GRAND_SLAM,MS,1609,Qualification,SU Chu-Chao (TPE),LEE Boon Cheong (MAS),SU Chu-Chao
Malaysian Open Johor Bahru 2003,2003-10-02,ZHANG Yiqin,LEE Boon Cheong,4,0,"16,11,11,11|14,4,6,3",3,GRAND_SLAM,MS,1609,Qualification,ZHANG Yiqin (SGP),LEE Boon Cheong (MAS),ZHANG Yiqin
Malaysian Open Johor Bahru 2003,2003-10-02,ZHANG Tai Yong,IPONG Hartanto,4,0,"11,11,11,11|6,6,8,5",,GRAND_SLAM,MS,1609,Qualification,ZHANG Tai Yong (SGP),IPONG Hartanto (INA),ZHANG Tai Yong
Malaysian Open Johor Bahru 2003,2003-10-02,ZHANG Tai Yong,CHIN Seow Yu,4,0,"11,11,11,11|2,4,4,2",QR2,GRAND_SLAM,MS,1609,Qualification,ZHANG Tai Yong (SGP),CHIN Seow Yu (MAS),ZHANG Tai Yong
Malaysian Open Johor Bahru 2003,2003-10-02,IPONG Hartanto,CHIN Seow Yu,4,0,"11,11,11,11|5,4,3,1",3,GRAND_SLAM,MS,1609,Qualification,IPONG Hartanto (INA),CHIN Seow Yu (MAS),IPONG Hartanto
Malaysian Open Johor Bahru 2003,2003-10-02,CAI Xiaoli,KHOMKHAM Seksak,4,0,"11,11,11,11|7,9,4,1",,GRAND_SLAM,MS,1609,Qualification,CAI Xiaoli (SGP),KHOMKHAM Seksak (THA),CAI Xiaoli
Malaysian Open Johor Bahru 2003,2003-10-02,CAI Xiaoli,TAN Chee Keong,4,0,"11,11,11,11|2,2,4,3",QR2,GRAND_SLAM,MS,1609,Qualification,CAI Xiaoli (SGP),TAN Chee Keong (MAS),CAI Xiaoli
Malaysian Open Johor Bahru 2003,2003-10-02,KHOMKHAM Seksak,TAN Chee Keong,4,0,"11,11,11,11|7,5,6,4",3,GRAND_SLAM,MS,1609,Qualification,KHOMKHAM Seksak (THA),TAN Chee Keong (MAS),KHOMKHAM Seksak
Malaysian Open Johor Bahru 2003,2003-10-02,KITO Akira,TORSUTKANOK Pornchai,4,0,"11,11,11,11|7,9,5,3",,GRAND_SLAM,MS,1609,Qualification,KITO Akira (JPN),TORSUTKANOK Pornchai (THA),KITO Akira
Malaysian Open Johor Bahru 2003,2003-10-02,KITO Akira,REMY Yaccob,4,0,"11,11,11,13|0,7,6,11",QR2,GRAND_SLAM,MS,1609,Qualification,KITO Akira (JPN),REMY Yaccob (MAS),KITO Akira
Malaysian Open Johor Bahru 2003,2003-10-02,TORSUTKANOK Pornchai,REMY Yaccob,4,0,"11,11,11,11|8,4,5,7",3,GRAND_SLAM,MS,1609,Qualification,TORSUTKANOK Pornchai (THA),REMY Yaccob (MAS),TORSUTKANOK Pornchai
Malaysian Open Johor Bahru 2003,2003-10-02,SANGUANSIN Phakpoom,JUARDIS Nisban,4,0,"11,11,11,11|4,3,5,5",,GRAND_SLAM,MS,1609,Qualification,SANGUANSIN Phakpoom (THA),JUARDIS Nisban (INA),SANGUANSIN Phakpoom
Malaysian Open Johor Bahru 2003,2003-10-02,SANGUANSIN Phakpoom,TAN Chin,4,3,"10,7,11,11,8,11,13|12,11,4,5,11,7,11",QR2,GRAND_SLAM,MS,1609,Qualification,SANGUANSIN Phakpoom (THA),TAN Chin (MAS),SANGUANSIN Phakpoom
Malaysian Open Johor Bahru 2003,2003-10-02,TAN Chin,JUARDIS Nisban,4,0,"11,11,14,11|5,6,12,6",3,GRAND_SLAM,MS,1609,Qualification,TAN Chin (MAS),JUARDIS Nisban (INA),TAN Chin
Malaysian Open Johor Bahru 2003,2003-10-02,SEN Yew Fai,KER Sze Hau,4,1,"4,11,11,11,11|11,4,7,1,5",,GRAND_SLAM,MS,1609,Qualification,SEN Yew Fai (SGP),KER Sze Hau (MAS),SEN Yew Fai
Malaysian Open Johor Bahru 2003,2003-10-02,SUSENO Anton,SEN Yew Fai,4,3,"9,8,11,11,9,11,11|11,11,7,8,11,6,9",QR2,GRAND_SLAM,MS,1609,Qualification,SUSENO Anton (INA),SEN Yew Fai (SGP),SUSENO Anton
Malaysian Open Johor Bahru 2003,2003-10-02,SUSENO Anton,KER Sze Hau,4,0,"11,11,11,11|5,6,7,6",3,GRAND_SLAM,MS,1609,Qualification,SUSENO Anton (INA),KER Sze Hau (MAS),SUSENO Anton
Malaysian Open Johor Bahru 2003,2003-10-02,SU Chi-Young,HAMIZI Pabil,4,0,"11,11,11,11|9,7,9,5",,GRAND_SLAM,MS,1609,Qualification,SU Chi-Young (TPE),HAMIZI Pabil (MAS),SU Chi-Young
Malaysian Open Johor Bahru 2003,2003-10-02,CHEN Qi,LEE Kiat Li,4,0,"11,11,11,11|2,5,6,4",QR2,GRAND_SLAM,MS,1609,Qualification,CHEN Qi (CHN),LEE Kiat Li (MAS),CHEN Qi
Malaysian Open Johor Bahru 2003,2003-10-02,CHEN Qi,SU Chi-Young,4,0,"11,11,11,11|3,6,7,6",3,GRAND_SLAM,MS,1609,Qualification,CHEN Qi (CHN),SU Chi-Young (TPE),CHEN Qi
Malaysian Open Johor Bahru 2003,2003-10-02,LEE Kiat Li,HAMIZI Pabil,4,1,"13,11,11,8,11|11,5,8,11,9",QR4,GRAND_SLAM,MS,1609,Qualification,LEE Kiat Li (MAS),HAMIZI Pabil (MAS),LEE Kiat Li
Malaysian Open Johor Bahru 2003,2003-10-02,SU Chi-Young,LEE Kiat Li,4,0,"11,11,11,11|8,3,9,5",5,GRAND_SLAM,MS,1609,Qualification,SU Chi-Young (TPE),LEE Kiat Li (MAS),SU Chi-Young
Malaysian Open Johor Bahru 2003,2003-10-02,CHEN Qi,HAMIZI Pabil,4,0,"11,11,11,11|3,3,5,7",6,GRAND_SLAM,MS,1609,Qualification,CHEN Qi (CHN),HAMIZI Pabil (MAS),CHEN Qi
Malaysian Open Johor Bahru 2003,2003-10-02,SANGUANSIN Phuchong,YEUNG Din Han,4,0,"11,11,11,12|6,7,8,10",,GRAND_SLAM,MS,1609,Qualification,SANGUANSIN Phuchong (THA),YEUNG Din Han (MAS),SANGUANSIN Phuchong
Malaysian Open Johor Bahru 2003,2003-10-02,REED Barney,SANGUANSIN Phuchong,4,3,"11,11,11,9,8,8,11|7,6,7,11,11,11,8",QR2,GRAND_SLAM,MS,1609,Qualification,REED Barney (USA),SANGUANSIN Phuchong (THA),REED Barney
Malaysian Open Johor Bahru 2003,2003-10-02,REED Barney,YEUNG Din Han,4,0,"11,11,11,11|3,2,5,6",3,GRAND_SLAM,MS,1609,Qualification,REED Barney (USA),YEUNG Din Han (MAS),REED Barney
Malaysian Open Johor Bahru 2003,2003-10-02,LI Hang,IBRAHIM Muhd Shakirin,4,1,"8,11,11,11,11|11,2,9,8,7",,GRAND_SLAM,MS,1609,Qualification,LI Hang (SGP),IBRAHIM Muhd Shakirin (MAS),LI Hang
Malaysian Open Johor Bahru 2003,2003-10-02,IBRAHIM Muhd Shakirin,GAN Sing Hwooi,4,0,"11,11,13,11|3,2,11,9",QR2,GRAND_SLAM,MS,1609,Qualification,IBRAHIM Muhd Shakirin (MAS),GAN Sing Hwooi (MAS),IBRAHIM Muhd Shakirin
Malaysian Open Johor Bahru 2003,2003-10-02,LI Hang,GAN Sing Hwooi,4,0,"11,11,11,11|7,7,5,6",3,GRAND_SLAM,MS,1609,Qualification,LI Hang (SGP),GAN Sing Hwooi (MAS),LI Hang
Malaysian Open Johor Bahru 2003,2003-10-02,LIN Ling,TOO Ning Ying,4,0,"11,11,11,11|3,3,3,3",R32,GRAND_SLAM,WS,1609,Main Draw,LIN Ling (HKG),TOO Ning Ying (MAS),LIN Ling
Malaysian Open Johor Bahru 2003,2003-10-02,CAO Zhen,WANG Chen,4,0,"11,12,11,12|4,10,6,10",R32,GRAND_SLAM,WS,1609,Main Draw,CAO Zhen (CHN),WANG Chen (USA),CAO Zhen
Malaysian Open Johor Bahru 2003,2003-10-02,SONG Ah Sim,OGIHARA Naoko,4,0,"11,11,11,15|2,8,9,13",R32,GRAND_SLAM,WS,1609,Main Draw,SONG Ah Sim (HKG),OGIHARA Naoko (JPN),SONG Ah Sim
Malaysian Open Johor Bahru 2003,2003-10-02,LAU Sui Fei,IWAMURA Chika,4,2,"8,11,6,11,11,11|11,5,11,6,2,6",R32,GRAND_SLAM,WS,1609,Main Draw,LAU Sui Fei (HKG),IWAMURA Chika (JPN),LAU Sui Fei
Malaysian Open Johor Bahru 2003,2003-10-02,FAN Ying,SHIMADA Sayuri,4,0,"11,11,11,11|2,6,4,4",R32,GRAND_SLAM,WS,1609,Main Draw,FAN Ying (CHN),SHIMADA Sayuri (JPN),FAN Ying
Malaysian Open Johor Bahru 2003,2003-10-02,BAI Yang,ITO Midori,4,0,"11,11,11,11|9,8,8,4",R32,GRAND_SLAM,WS,1609,Main Draw,BAI Yang (CHN),ITO Midori (JPN),BAI Yang
