tournament,date,player_a,player_b,country_a,country_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
2025 National Games (Mixed Doubles),2025-11-07,曹彦涛/石洵瑶,牛冠凯/王姝,CHN,CHN,3,0,,R32,CN_NATIONAL_GAMES,XD,,Main Draw,曹彦涛/石洵瑶,牛冠凯/王姝
2025 National Games (Mixed Doubles),2025-11-07,薛飞/王晓楠,何俊辉/关卓琳,CHN,CHN,3,0,,R32,CN_NATIONAL_GAMES,XD,,Main Draw,薛飞/王晓楠,何俊辉/关卓琳
2025 National Games (Mixed Doubles),2025-11-08,黄镇廷/杜凯琹,周雨/臧小桐,CHN,CHN,3,1,,R16,CN_NATIONAL_GAMES,XD,,Main Draw,黄镇廷/杜凯琹,周雨/臧小桐
2025 National Games (Mixed Doubles),2025-11-08,郝帅/刘炜珊,马特/徐嘉忆,CHN,CHN,2,3,,R16,CN_NATIONAL_GAMES,XD,,Main Draw,郝帅/刘炜珊,马特/徐嘉忆
2025 National Games (Mixed Doubles),2025-11-08,徐海东/陈幸同,赵子豪/陈熠,CHN,CHN,3,0,,R16,CN_NATIONAL_GAMES,XD,,Main Draw,徐海东/陈幸同,赵子豪/陈熠
2025 National Games (Mixed Doubles),2025-11-08,徐瑛彬/范姝涵,陈垣宇/蒯曼,CHN,CHN,0,3,,R16,CN_NATIONAL_GAMES,XD,,Main Draw,徐瑛彬/范姝涵,陈垣宇/蒯曼
2025 National Games (Mixed Doubles),2025-11-10,林高远/刘诗雯,姚钧涛/吴咏琳,CHN,CHN,3,0,,R16,CN_NATIONAL_GAMES,XD,,Main Draw,林高远/刘诗雯,姚钧涛/吴咏琳
2025 National Games (Mixed Doubles),2025-11-10,梁俨苧/何卓佳,赵钊彦/孙铭阳,CHN,CHN,0,3,,R16,CN_NATIONAL_GAMES,XD,,Main Draw,梁俨苧/何卓佳,赵钊彦/孙铭阳
2025 National Games (Mixed Doubles),2025-11-10,薛飞/王晓楠,袁励岑/王艺迪,CHN,CHN,2,3,,R16,CN_NATIONAL_GAMES,XD,,Main Draw,薛飞/王晓楠,袁励岑/王艺迪
2025 National Games (Mixed Doubles),2025-11-10,郑培锋/李仁思佳,曹彦涛/石洵瑶,CHN,CHN,3,1,,R16,CN_NATIONAL_GAMES,XD,,Main Draw,郑培锋/李仁思佳,曹彦涛/石洵瑶
2025 National Games (Mixed Doubles),2025-11-11,黄镇廷/杜凯琹,徐海东/陈幸同,CHN,CHN,1,4,,QF,CN_NATIONAL_GAMES,XD,,Main Draw,黄镇廷/杜凯琹,徐海东/陈幸同
2025 National Games (Mixed Doubles),2025-11-11,马特/徐嘉忆,陈垣宇/蒯曼,CHN,CHN,0,4,,QF,CN_NATIONAL_GAMES,XD,,Main Draw,马特/徐嘉忆,陈垣宇/蒯曼
2025 National Games (Mixed Doubles),2025-11-11,林高远/刘诗雯,赵钊彦/孙铭阳,CHN,CHN,4,1,,QF,CN_NATIONAL_GAMES,XD,,Main Draw,林高远/刘诗雯,赵钊彦/孙铭阳
2025 National Games (Mixed Doubles),2025-11-11,郑培锋/李仁思佳,袁励岑/王艺迪,CHN,CHN,0,4,,QF,CN_NATIONAL_GAMES,XD,,Main Draw,郑培锋/李仁思佳,袁励岑/王艺迪
2025 National Games (Mixed Doubles),2025-11-13,林高远/刘诗雯,袁励岑/王艺迪,CHN,CHN,4,3,,SF,CN_NATIONAL_GAMES,XD,,Main Draw,林高远/刘诗雯,袁励岑/王艺迪
2025 National Games (Mixed Doubles),2025-11-13,徐海东/陈幸同,陈垣宇/蒯曼,CHN,CHN,1,4,,SF,CN_NATIONAL_GAMES,XD,,Main Draw,徐海东/陈幸同,陈垣宇/蒯曼
2025 National Games (Mixed Doubles),2025-11-14,徐海东/陈幸同,袁励岑/王艺迪,CHN,CHN,3,4,,3RD,CN_NATIONAL_GAMES,XD,,Main Draw,徐海东/陈幸同,袁励岑/王艺迪
2025 National Games (Mixed Doubles),2025-11-14,陈垣宇/蒯曼,林高远/刘诗雯,CHN,CHN,3,4,,F,CN_NATIONAL_GAMES,XD,,Main Draw,陈垣宇/蒯曼,林高远/刘诗雯
