tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
ITTF Kazakhstan International Open Karaganda 2021,2021-09-15,CHANDRA Jeet,ALMUTAIRI Turki,4,0,"11,11,11,11|5,9,3,5",QUAL,WTT_CONTENDER,MS,2484,Qualification,CHANDRA Jeet (IND),ALMUTAIRI Turki (KSA),CHANDRA Jeet
ITTF Kazakhstan International Open Karaganda 2021,2021-09-15,SHEVNIN Semen,AL SAMHOURY Tarek,4,1,"11,11,11,7,11|5,7,7,11,5",QUAL,WTT_CONTENDER,MS,2484,Qualification,SHEVNIN Semen (RUS),AL SAMHOURY Tarek (AUT),SHEVNIN Semen
ITTF Kazakhstan International Open Karaganda 2021,2021-09-15,OKHOTNIKOVA Ekaterina,KHALIKOVA Kamila,4,0,"11,11,11,11|7,6,6,4",QUAL,WTT_CONTENDER,WS,2484,Qualification,OKHOTNIKOVA Ekaterina (RUS),KHALIKOVA Kamila (UZB),OKHOTNIKOVA Ekaterina
ITTF Kazakhstan International Open Karaganda 2021,2021-09-15,SHADRINA Daria,ASHKEYEVA Aray,4,0,"11,11,11,11|2,3,3,3",QUAL,WTT_CONTENDER,WS,2484,Qualification,SHADRINA Daria (RUS),ASHKEYEVA Aray (KAZ),SHADRINA Daria
ITTF Kazakhstan International Open Karaganda 2021,2021-09-15,ALIMBAYEVA Aiya,SULAIMANOVA Nazgul,4,0,"11,11,11,11|5,2,3,4",QUAL,WTT_CONTENDER,WS,2484,Qualification,ALIMBAYEVA Aiya (KAZ),SULAIMANOVA Nazgul (KGZ),ALIMBAYEVA Aiya
ITTF Kazakhstan International Open Karaganda 2021,2021-09-15,SAPAROVA Alsu,KOSHKUMBAYEVA Zhanerke,4,2,"11,9,11,11,11,11|8,11,7,3,13,2",QUAL,WTT_CONTENDER,WS,2484,Qualification,SAPAROVA Alsu (KAZ),KOSHKUMBAYEVA Zhanerke (KAZ),SAPAROVA Alsu
ITTF Kazakhstan International Open Karaganda 2021,2021-09-15,DAS Ankita,SANDYBAYEVA Malika,4,0,"11,11,11,11|4,9,6,6",QUAL,WTT_CONTENDER,WS,2484,Qualification,DAS Ankita (IND),SANDYBAYEVA Malika (KAZ),DAS Ankita
ITTF Kazakhstan International Open Karaganda 2021,2021-09-15,SEN Prapti,TSVIGUN Alissa,4,0,"11,11,11,11|2,5,1,6",QUAL,WTT_CONTENDER,WS,2484,Qualification,SEN Prapti (IND),TSVIGUN Alissa (KAZ),SEN Prapti
ITTF Kazakhstan International Open Karaganda 2021,2021-09-15,STEPANOVA Mariia,OMURALIEVA Altynai,4,0,"11,11,11,11|0,3,2,4",QUAL,WTT_CONTENDER,WS,2484,Qualification,STEPANOVA Mariia (RUS),OMURALIEVA Altynai (KGZ),STEPANOVA Mariia
ITTF Kazakhstan International Open Karaganda 2021,2021-09-15,PANDE Siddhesh,KENZHIGULOV Dastan,4,0,"11,11,11,11|6,7,3,7",QUAL,WTT_CONTENDER,MS,2484,Qualification,PANDE Siddhesh (IND),KENZHIGULOV Dastan (KAZ),PANDE Siddhesh
ITTF Kazakhstan International Open Karaganda 2021,2021-09-15,CHANDRA Jeet,ARTUKMETOV Irisbek,4,1,"11,11,8,13,11|8,6,11,11,6",QUAL,WTT_CONTENDER,MS,2484,Qualification,CHANDRA Jeet (IND),ARTUKMETOV Irisbek (KAZ),CHANDRA Jeet
ITTF Kazakhstan International Open Karaganda 2021,2021-09-15,SURAVAJJULA Snehit,BELAKON Viachaslau,4,0,"11,11,11,11|4,4,6,5",QUAL,WTT_CONTENDER,MS,2484,Qualification,SURAVAJJULA Snehit (IND),BELAKON Viachaslau (BLR),SURAVAJJULA Snehit
ITTF Kazakhstan International Open Karaganda 2021,2021-09-15,AL-JADAI Naif,KASYMOV Akylbek,4,0,"11,11,11,11|7,4,6,7",QUAL,WTT_CONTENDER,MS,2484,Qualification,AL-JADAI Naif (KSA),KASYMOV Akylbek (KGZ),AL-JADAI Naif
ITTF Kazakhstan International Open Karaganda 2021,2021-09-15,KHOLIKOV Elmurod,KUNATS Heorhi,4,0,"11,11,11,11|6,4,7,8",QUAL,WTT_CONTENDER,MS,2484,Qualification,KHOLIKOV Elmurod (UZB),KUNATS Heorhi (BLR),KHOLIKOV Elmurod
ITTF Kazakhstan International Open Karaganda 2021,2021-09-15,ZHOLUDEV Denis,KABURKIN Maksim,4,1,"11,11,5,11,11|7,8,11,8,6",QUAL,WTT_CONTENDER,MS,2484,Qualification,ZHOLUDEV Denis (KAZ),KABURKIN Maksim (RUS),ZHOLUDEV Denis
ITTF Kazakhstan International Open Karaganda 2021,2021-09-15,ANORBOEV Abdulaziz,SAGYNDYKOV Talgat,4,0,"11,11,11,11|9,7,5,4",QUAL,WTT_CONTENDER,MS,2484,Qualification,ANORBOEV Abdulaziz (UZB),SAGYNDYKOV Talgat (KGZ),ANORBOEV Abdulaziz
ITTF Kazakhstan International Open Karaganda 2021,2021-09-15,GROVER Sudhanshu,KHARKI Iskender,4,2,"11,10,11,11,6,11|5,12,8,5,11,7",QUAL,WTT_CONTENDER,MS,2484,Qualification,GROVER Sudhanshu (IND),KHARKI Iskender (KAZ),GROVER Sudhanshu
ITTF Kazakhstan International Open Karaganda 2021,2021-09-15,KURMAMBAYEV Sagantay,NASIRDINOV Adilet,4,0,"11,11,11,11|7,3,2,2",QUAL,WTT_CONTENDER,MS,2484,Qualification,KURMAMBAYEV Sagantay (KAZ),NASIRDINOV Adilet (KGZ),KURMAMBAYEV Sagantay
ITTF Kazakhstan International Open Karaganda 2021,2021-09-15,SHEVNIN Semen,RAITER Erik,4,3,"10,11,9,11,12,5,11|12,7,11,4,10,11,5",QUAL,WTT_CONTENDER,MS,2484,Qualification,SHEVNIN Semen (RUS),RAITER Erik (KAZ),SHEVNIN Semen
ITTF Kazakhstan International Open Karaganda 2021,2021-09-15,TYAN Stanislav,TSYHANOUSKI Mikhail,4,2,"11,11,11,6,11,11|13,9,9,11,8,6",QUAL,WTT_CONTENDER,MS,2484,Qualification,TYAN Stanislav (UZB),TSYHANOUSKI Mikhail (BLR),TYAN Stanislav
ITTF Kazakhstan International Open Karaganda 2021,2021-09-15,RAKHIMBERGANOV Jamshchid,AL SAMHOURY Tarek,4,3,"11,11,9,4,9,11,11|9,7,11,11,11,8,9",QUAL,WTT_CONTENDER,MS,2484,Qualification,RAKHIMBERGANOV Jamshchid (UZB),AL SAMHOURY Tarek (AUT),RAKHIMBERGANOV Jamshchid
ITTF Kazakhstan International Open Karaganda 2021,2021-09-15,SHADRINA Daria,ROMANOVSKAYA Angelina,4,0,"11,11,11,11|1,7,6,6",QUAL,WTT_CONTENDER,WS,2484,Qualification,SHADRINA Daria (RUS),ROMANOVSKAYA Angelina (KAZ),SHADRINA Daria
ITTF Kazakhstan International Open Karaganda 2021,2021-09-15,KHALIKOVA Kamila,SMIRNOVA Alexandra,4,3,"6,11,11,11,9,3,11|11,9,9,7,11,11,7",QUAL,WTT_CONTENDER,WS,2484,Qualification,KHALIKOVA Kamila (UZB),SMIRNOVA Alexandra (KAZ),KHALIKOVA Kamila
ITTF Kazakhstan International Open Karaganda 2021,2021-09-15,SAPAROVA Alsu,MADALIEVA Sugdiyona,4,3,"2,7,9,11,11,11,11|11,11,11,3,4,7,5",QUAL,WTT_CONTENDER,WS,2484,Qualification,SAPAROVA Alsu (KAZ),MADALIEVA Sugdiyona (UZB),SAPAROVA Alsu
ITTF Kazakhstan International Open Karaganda 2021,2021-09-15,ALIMBAYEVA Aiya,VASILENKA Darya,4,0,"0,0,0,0|0,0,0,0",QUAL,WTT_CONTENDER,WS,2484,Qualification,ALIMBAYEVA Aiya (KAZ),VASILENKA Darya (BLR),ALIMBAYEVA Aiya
ITTF Kazakhstan International Open Karaganda 2021,2021-09-15,SEN Prapti,MIRKADIROVA Sarvinoz,4,0,"11,11,11,11|6,8,4,9",QUAL,WTT_CONTENDER,WS,2484,Qualification,SEN Prapti (IND),MIRKADIROVA Sarvinoz (KAZ),SEN Prapti
ITTF Kazakhstan International Open Karaganda 2021,2021-09-15,BAKHYT Anel,OMURALIEVA Altynai,4,0,"11,11,11,11|3,6,4,7",QUAL,WTT_CONTENDER,WS,2484,Qualification,BAKHYT Anel (KAZ),OMURALIEVA Altynai (KGZ),BAKHYT Anel
ITTF Kazakhstan International Open Karaganda 2021,2021-09-15,KOTSIUR Valeriia,DAS Ankita,4,1,"11,11,8,11,12|8,1,11,8,10",QUAL,WTT_CONTENDER,WS,2484,Qualification,KOTSIUR Valeriia (RUS),DAS Ankita (IND),KOTSIUR Valeriia
ITTF Kazakhstan International Open Karaganda 2021,2021-09-15,ARTUKMETOV Irisbek,ALMUTAIRI Turki,4,2,"9,7,12,11,11,11|11,11,10,2,3,4",QUAL,WTT_CONTENDER,MS,2484,Qualification,ARTUKMETOV Irisbek (KAZ),ALMUTAIRI Turki (KSA),ARTUKMETOV Irisbek
ITTF Kazakhstan International Open Karaganda 2021,2021-09-15,KENZHIGULOV Dastan,ALSHAREIF Khalid,4,0,"0,0,0,0|0,0,0,0",QUAL,WTT_CONTENDER,MS,2484,Qualification,KENZHIGULOV Dastan (KAZ),ALSHAREIF Khalid (KSA),KENZHIGULOV Dastan
ITTF Kazakhstan International Open Karaganda 2021,2021-09-15,KURMANGALIYEV Alan,KASYMOV Akylbek,4,0,"11,11,11,11|6,1,7,9",QUAL,WTT_CONTENDER,MS,2484,Qualification,KURMANGALIYEV Alan (KAZ),KASYMOV Akylbek (KGZ),KURMANGALIYEV Alan
ITTF Kazakhstan International Open Karaganda 2021,2021-09-15,AKIMALI Bakdaulet,BELAKON Viachaslau,4,1,"11,13,9,11,11|8,11,11,8,9",QUAL,WTT_CONTENDER,MS,2484,Qualification,AKIMALI Bakdaulet (KAZ),BELAKON Viachaslau (BLR),AKIMALI Bakdaulet
ITTF Kazakhstan International Open Karaganda 2021,2021-09-15,KABURKIN Maksim,UKTAMBOEV Mukhammad,4,1,"12,11,11,6,11|10,6,4,11,9",QUAL,WTT_CONTENDER,MS,2484,Qualification,KABURKIN Maksim (RUS),UKTAMBOEV Mukhammad (UZB),KABURKIN Maksim
ITTF Kazakhstan International Open Karaganda 2021,2021-09-15,KUNATS Heorhi,KIM Temirlan,4,3,"6,8,9,11,11,11,11|11,11,11,9,4,6,8",QUAL,WTT_CONTENDER,MS,2484,Qualification,KUNATS Heorhi (BLR),KIM Temirlan (KAZ),KUNATS Heorhi
ITTF Kazakhstan International Open Karaganda 2021,2021-09-15,KHARKI Iskender,KASYMOV Atai,4,0,"11,11,11,11|5,2,1,2",QUAL,WTT_CONTENDER,MS,2484,Qualification,KHARKI Iskender (KAZ),KASYMOV Atai (KGZ),KHARKI Iskender
ITTF Kazakhstan International Open Karaganda 2021,2021-09-15,ZAKHAROV Vladislav,SAGYNDYKOV Talgat,4,2,"11,9,11,4,11,11|8,11,9,11,7,6",QUAL,WTT_CONTENDER,MS,2484,Qualification,ZAKHAROV Vladislav (KAZ),SAGYNDYKOV Talgat (KGZ),ZAKHAROV Vladislav
ITTF Kazakhstan International Open Karaganda 2021,2021-09-15,TYAN Stanislav,KURMAMBAYEV Sagantay,4,2,"12,7,12,9,11,15|10,11,10,11,7,13",QUAL,WTT_CONTENDER,MS,2484,Qualification,TYAN Stanislav (UZB),KURMAMBAYEV Sagantay (KAZ),TYAN Stanislav
ITTF Kazakhstan International Open Karaganda 2021,2021-09-15,TSYHANOUSKI Mikhail,NASIRDINOV Adilet,4,0,"11,11,11,11|3,3,4,4",QUAL,WTT_CONTENDER,MS,2484,Qualification,TSYHANOUSKI Mikhail (BLR),NASIRDINOV Adilet (KGZ),TSYHANOUSKI Mikhail
ITTF Kazakhstan International Open Karaganda 2021,2021-09-15,SHEVNIN Semen,RAKHIMBERGANOV Jamshchid,4,0,"11,11,11,13|4,7,5,11",QUAL,WTT_CONTENDER,MS,2484,Qualification,SHEVNIN Semen (RUS),RAKHIMBERGANOV Jamshchid (UZB),SHEVNIN Semen
ITTF Kazakhstan International Open Karaganda 2021,2021-09-15,RAITER Erik,AL SAMHOURY Tarek,4,0,"16,11,11,11|14,4,6,8",QUAL,WTT_CONTENDER,MS,2484,Qualification,RAITER Erik (KAZ),AL SAMHOURY Tarek (AUT),RAITER Erik
ITTF Kazakhstan International Open Karaganda 2021,2021-09-15,OKHOTNIKOVA Ekaterina,SMIRNOVA Alexandra,4,0,"11,11,11,11|2,4,4,3",QUAL,WTT_CONTENDER,WS,2484,Qualification,OKHOTNIKOVA Ekaterina (RUS),SMIRNOVA Alexandra (KAZ),OKHOTNIKOVA Ekaterina
ITTF Kazakhstan International Open Karaganda 2021,2021-09-15,ROMANOVSKAYA Angelina,ASHKEYEVA Aray,4,1,"12,11,5,11,11|10,8,11,8,9",QUAL,WTT_CONTENDER,WS,2484,Qualification,ROMANOVSKAYA Angelina (KAZ),ASHKEYEVA Aray (KAZ),ROMANOVSKAYA Angelina
ITTF Kazakhstan International Open Karaganda 2021,2021-09-15,SULAIMANOVA Nazgul,VASILENKA Darya,4,0,"0,0,0,0|0,0,0,0",QUAL,WTT_CONTENDER,WS,2484,Qualification,SULAIMANOVA Nazgul (KGZ),VASILENKA Darya (BLR),SULAIMANOVA Nazgul
ITTF Kazakhstan International Open Karaganda 2021,2021-09-15,MADALIEVA Sugdiyona,KOSHKUMBAYEVA Zhanerke,4,3,"11,12,11,11,9,11,11|13,14,9,8,11,6,6",QUAL,WTT_CONTENDER,WS,2484,Qualification,MADALIEVA Sugdiyona (UZB),KOSHKUMBAYEVA Zhanerke (KAZ),MADALIEVA Sugdiyona
ITTF Kazakhstan International Open Karaganda 2021,2021-09-15,KOTSIUR Valeriia,SANDYBAYEVA Malika,4,0,"11,11,11,11|4,6,3,1",QUAL,WTT_CONTENDER,WS,2484,Qualification,KOTSIUR Valeriia (RUS),SANDYBAYEVA Malika (KAZ),KOTSIUR Valeriia
ITTF Kazakhstan International Open Karaganda 2021,2021-09-15,MIRKADIROVA Sarvinoz,TSVIGUN Alissa,4,0,"11,11,11,11|4,4,6,3",QUAL,WTT_CONTENDER,WS,2484,Qualification,MIRKADIROVA Sarvinoz (KAZ),TSVIGUN Alissa (KAZ),MIRKADIROVA Sarvinoz
ITTF Kazakhstan International Open Karaganda 2021,2021-09-15,STEPANOVA Mariia,BAKHYT Anel,4,1,"11,11,11,7,11|3,8,7,11,7",QUAL,WTT_CONTENDER,WS,2484,Qualification,STEPANOVA Mariia (RUS),BAKHYT Anel (KAZ),STEPANOVA Mariia
ITTF Kazakhstan International Open Karaganda 2021,2021-09-15,KABURKIN Maksim,ARTUKMETOV Irisbek,4,3,"11,11,8,11,8,8,11|8,6,11,6,11,11,6",QR32,WTT_CONTENDER,MS,2484,Qualification,KABURKIN Maksim (RUS),ARTUKMETOV Irisbek (KAZ),KABURKIN Maksim
ITTF Kazakhstan International Open Karaganda 2021,2021-09-15,KUNATS Heorhi,KURMAMBAYEV Sagantay,4,2,"11,11,8,11,5,11|8,8,11,9,11,3",QR32,WTT_CONTENDER,MS,2484,Qualification,KUNATS Heorhi (BLR),KURMAMBAYEV Sagantay (KAZ),KUNATS Heorhi
ITTF Kazakhstan International Open Karaganda 2021,2021-09-15,KHARKI Iskender,KENZHIGULOV Dastan,4,2,"11,13,11,7,9,11|7,11,9,11,11,4",QR32,WTT_CONTENDER,MS,2484,Qualification,KHARKI Iskender (KAZ),KENZHIGULOV Dastan (KAZ),KHARKI Iskender
ITTF Kazakhstan International Open Karaganda 2021,2021-09-15,RAITER Erik,AKIMALI Bakdaulet,4,1,"11,11,8,11,11|5,7,11,5,4",QR32,WTT_CONTENDER,MS,2484,Qualification,RAITER Erik (KAZ),AKIMALI Bakdaulet (KAZ),RAITER Erik
ITTF Kazakhstan International Open Karaganda 2021,2021-09-15,SEN Prapti,ROMANOVSKAYA Angelina,4,2,"7,11,11,6,11,11|11,2,4,11,6,4",QR16,WTT_CONTENDER,WS,2484,Qualification,SEN Prapti (IND),ROMANOVSKAYA Angelina (KAZ),SEN Prapti
ITTF Kazakhstan International Open Karaganda 2021,2021-09-15,KOTSIUR Valeriia,BAKHYT Anel,4,0,"11,11,11,11|8,9,5,8",QR16,WTT_CONTENDER,WS,2484,Qualification,KOTSIUR Valeriia (RUS),BAKHYT Anel (KAZ),KOTSIUR Valeriia
ITTF Kazakhstan International Open Karaganda 2021,2021-09-15,ALIMBAYEVA Aiya,MADALIEVA Sugdiyona,4,1,"11,11,8,11,11|9,5,11,9,7",QR16,WTT_CONTENDER,WS,2484,Qualification,ALIMBAYEVA Aiya (KAZ),MADALIEVA Sugdiyona (UZB),ALIMBAYEVA Aiya
ITTF Kazakhstan International Open Karaganda 2021,2021-09-15,MIRKADIROVA Sarvinoz,STEPANOVA Mariia,4,2,"9,11,11,11,7,11|11,9,9,7,11,9",QR16,WTT_CONTENDER,WS,2484,Qualification,MIRKADIROVA Sarvinoz (KAZ),STEPANOVA Mariia (RUS),MIRKADIROVA Sarvinoz
ITTF Kazakhstan International Open Karaganda 2021,2021-09-15,DAS Ankita,SAPAROVA Alsu,4,0,"11,12,11,11|9,10,6,5",QR16,WTT_CONTENDER,WS,2484,Qualification,DAS Ankita (IND),SAPAROVA Alsu (KAZ),DAS Ankita
ITTF Kazakhstan International Open Karaganda 2021,2021-09-15,KHALIKOVA Kamila,SULAIMANOVA Nazgul,4,0,"11,11,11,11|5,6,3,4",QR16,WTT_CONTENDER,WS,2484,Qualification,KHALIKOVA Kamila (UZB),SULAIMANOVA Nazgul (KGZ),KHALIKOVA Kamila
ITTF Kazakhstan International Open Karaganda 2021,2021-09-15,AL-JADAI Naif,ZAKHAROV Vladislav,4,0,"11,11,11,11|8,8,2,8",QR16,WTT_CONTENDER,MS,2484,Qualification,AL-JADAI Naif (KSA),ZAKHAROV Vladislav (KAZ),AL-JADAI Naif
ITTF Kazakhstan International Open Karaganda 2021,2021-09-15,KHARKI Iskender,ZHOLUDEV Denis,4,2,"10,11,11,8,11,11|12,8,9,11,7,6",QR16,WTT_CONTENDER,MS,2484,Qualification,KHARKI Iskender (KAZ),ZHOLUDEV Denis (KAZ),KHARKI Iskender
ITTF Kazakhstan International Open Karaganda 2021,2021-09-15,RAITER Erik,KHOLIKOV Elmurod,4,3,"8,11,13,11,4,8,11|11,6,11,8,11,11,3",QR16,WTT_CONTENDER,MS,2484,Qualification,RAITER Erik (KAZ),KHOLIKOV Elmurod (UZB),RAITER Erik
ITTF Kazakhstan International Open Karaganda 2021,2021-09-15,CHANDRA Jeet,TYAN Stanislav,4,0,"11,11,11,11|5,8,8,5",QR16,WTT_CONTENDER,MS,2484,Qualification,CHANDRA Jeet (IND),TYAN Stanislav (UZB),CHANDRA Jeet
ITTF Kazakhstan International Open Karaganda 2021,2021-09-15,SURAVAJJULA Snehit,KURMANGALIYEV Alan,4,1,"11,11,8,11,11|9,6,11,6,5",QR16,WTT_CONTENDER,MS,2484,Qualification,SURAVAJJULA Snehit (IND),KURMANGALIYEV Alan (KAZ),SURAVAJJULA Snehit
ITTF Kazakhstan International Open Karaganda 2021,2021-09-15,GROVER Sudhanshu,SHEVNIN Semen,4,2,"12,11,6,9,17,11|10,7,11,11,15,8",QR16,WTT_CONTENDER,MS,2484,Qualification,GROVER Sudhanshu (IND),SHEVNIN Semen (RUS),GROVER Sudhanshu
ITTF Kazakhstan International Open Karaganda 2021,2021-09-15,KABURKIN Maksim,ANORBOEV Abdulaziz,4,1,"10,11,11,11,11|12,3,7,5,2",QR16,WTT_CONTENDER,MS,2484,Qualification,KABURKIN Maksim (RUS),ANORBOEV Abdulaziz (UZB),KABURKIN Maksim
ITTF Kazakhstan International Open Karaganda 2021,2021-09-15,PANDE Siddhesh,KUNATS Heorhi,4,2,"11,11,7,11,10,11|5,6,11,4,12,5",QR16,WTT_CONTENDER,MS,2484,Qualification,PANDE Siddhesh (IND),KUNATS Heorhi (BLR),PANDE Siddhesh
ITTF Kazakhstan International Open Karaganda 2021,2021-09-15,KENZHIGULOV Dastan/SAPAROVA Alsu,CHANDRA Jeet/NATH Kaushani,3,0,"11,11,11|6,9,5",QR16,WTT_CONTENDER,XD,2484,Qualification,KENZHIGULOV Dastan (KAZ) / SAPAROVA Alsu (KAZ),CHANDRA Jeet (IND) / NATH Kaushani (IND),KENZHIGULOV Dastan
ITTF Kazakhstan International Open Karaganda 2021,2021-09-15,RAITER Erik/ASHKEYEVA Aray,KASYMOV Akylbek/OMURALIEVA Altynai,3,0,"11,11,11|3,8,4",QR16,WTT_CONTENDER,XD,2484,Qualification,RAITER Erik (KAZ) / ASHKEYEVA Aray (KAZ),KASYMOV Akylbek (KGZ) / OMURALIEVA Altynai (KGZ),RAITER Erik
ITTF Kazakhstan International Open Karaganda 2021,2021-09-15,KENZHIGULOV Aidos/BAKHYT Anel,TYAN Stanislav/NORKULOVA Mekhriniso,3,0,"11,11,11|2,8,6",QR16,WTT_CONTENDER,XD,2484,Qualification,KENZHIGULOV Aidos (KAZ) / BAKHYT Anel (KAZ),TYAN Stanislav (UZB) / NORKULOVA Mekhriniso (UZB),KENZHIGULOV Aidos
ITTF Kazakhstan International Open Karaganda 2021,2021-09-15,ZHOLUDEV Denis/ALIMBAYEVA Aiya,SHETTY Sanil/SEN Prapti,3,0,"0,0,0|0,0,0",QR16,WTT_CONTENDER,XD,2484,Qualification,ZHOLUDEV Denis (KAZ) / ALIMBAYEVA Aiya (KAZ),SHETTY Sanil (IND) / SEN Prapti (IND),ZHOLUDEV Denis
ITTF Kazakhstan International Open Karaganda 2021,2021-09-15,ZAKHAROV Vladislav/SMIRNOVA Alexandra,KUNATS Heorhi/VASILENKA Darya,3,0,"0,0,0|0,0,0",QR16,WTT_CONTENDER,XD,2484,Qualification,ZAKHAROV Vladislav (KAZ) / SMIRNOVA Alexandra (KAZ),KUNATS Heorhi (BLR) / VASILENKA Darya (BLR),ZAKHAROV Vladislav
ITTF Kazakhstan International Open Karaganda 2021,2021-09-15,SHEVNIN Semen/STEPANOVA Mariia,KURMAMBAYEV Sagantay/SANDYBAYEVA Malika,3,0,"11,11,11|8,4,7",QR16,WTT_CONTENDER,XD,2484,Qualification,SHEVNIN Semen (RUS) / STEPANOVA Mariia (RUS),KURMAMBAYEV Sagantay (KAZ) / SANDYBAYEVA Malika (KAZ),SHEVNIN Semen
ITTF Kazakhstan International Open Karaganda 2021,2021-09-15,BELAKON Viachaslau/RAKHIMBERGANOV Jamshchid,AL-JADAI Naif/ALSHAREIF Khalid,3,0,"0,0,0|0,0,0",QR16,WTT_CONTENDER,MD,2484,Qualification,BELAKON Viachaslau (BLR) / RAKHIMBERGANOV Jamshchid (UZB),AL-JADAI Naif (KSA) / ALSHAREIF Khalid (KSA),BELAKON Viachaslau
ITTF Kazakhstan International Open Karaganda 2021,2021-09-15,RAITER Erik/ZAKHAROV Vladislav,SAGYNDYKOV Talgat/KASYMOV Akylbek,3,0,"11,13,11|7,11,3",QR16,WTT_CONTENDER,MD,2484,Qualification,RAITER Erik (KAZ) / ZAKHAROV Vladislav (KAZ),SAGYNDYKOV Talgat (KGZ) / KASYMOV Akylbek (KGZ),RAITER Erik
ITTF Kazakhstan International Open Karaganda 2021,2021-09-15,KABURKIN Maksim/KOTSIUR Valeriia,GERASSIMENKO Kirill/LAVROVA Anastassiya,3,2,"9,8,11,11,11|11,11,4,9,3",R16,WTT_CONTENDER,XD,2484,Main Draw,KABURKIN Maksim (RUS) / KOTSIUR Valeriia (RUS),GERASSIMENKO Kirill (KAZ) / LAVROVA Anastassiya (KAZ),KABURKIN Maksim
ITTF Kazakhstan International Open Karaganda 2021,2021-09-15,KENZHIGULOV Aidos/BAKHYT Anel,NASIRDINOV Adilet/SULAIMANOVA Nazgul,3,0,"11,11,11|1,2,3",R16,WTT_CONTENDER,XD,2484,Main Draw,KENZHIGULOV Aidos (KAZ) / BAKHYT Anel (KAZ),NASIRDINOV Adilet (KGZ) / SULAIMANOVA Nazgul (KGZ),KENZHIGULOV Aidos
