tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
WTTC 2024 Central Africa Regional Qualifications,2023-05-10,BATIX Ylane,SINDAYIHEBURA Davy,3,0,"11,11,11|4,4,2",,OTHER,MT,2753,Qualification,BATIX Ylane (CMR),SINDAYIHEBURA Davy (BDI),BATIX Ylane
WTTC 2024 Central Africa Regional Qualifications,2023-05-10,DINANGA Lily,DJAGANA Guynehe,3,2,"7,2,12,11,11|11,11,10,1,6",,OTHER,WS,2753,Qualification,DJAGANA Guynehe (CGO),DINANGA Lily (COD),DINANGA Lily
WTTC 2024 Central Africa Regional Qualifications,2023-05-10,TOUOZE Annie,ILUNGA Kabedi Terfile,3,1,"11,11,2,11|9,9,11,9",,OTHER,WS,2753,Qualification,TOUOZE Annie (CMR),ILUNGA Kabedi Terfile (COD),TOUOZE Annie
WTTC 2024 Central Africa Regional Qualifications,2023-05-10,NYOH OFON Derek,SINDAYIHEBURA Davy,3,0,"11,11,11|5,9,8",,OTHER,MS,2753,Qualification,NYOH OFON Derek (CMR),SINDAYIHEBURA Davy (BDI),NYOH OFON Derek
WTTC 2024 Central Africa Regional Qualifications,2023-05-10,BATIX Ylane,KAMBAMBA LOFO Grace,3,0,"11,11,11|7,3,5",,OTHER,MS,2753,Qualification,BATIX Ylane (CMR),KAMBAMBA LOFO Grace (COD),BATIX Ylane
WTTC 2024 Central Africa Regional Qualifications,2023-05-10,NGEFUASSA Exauce,EBODE Simon,3,2,"6,8,11,11,20|11,11,7,7,18",,OTHER,MS,2753,Qualification,NGEFUASSA Exauce (COD),EBODE Simon (CMR),NGEFUASSA Exauce
WTTC 2024 Central Africa Regional Qualifications,2023-05-10,KABURA Alain,TANDO Brijack,3,2,"4,11,6,11,11|11,8,11,5,7",,OTHER,MS,2753,Qualification,KABURA Alain (BDI),TANDO Brijack (CGO),KABURA Alain
WTTC 2024 Central Africa Regional Qualifications,2023-05-10,IDOWU Saheed,KASOTA Rabby,3,0,"11,11,11|3,8,5",,OTHER,MS,2753,Qualification,IDOWU Saheed (CGO),KASOTA Rabby (COD),IDOWU Saheed
WTTC 2024 Central Africa Regional Qualifications,2023-05-10,AHMED NENBA Yaoussou,MUABI Isaac,3,2,"11,9,9,11,11|5,11,11,7,7",,OTHER,MS,2753,Qualification,AHMED NENBA Yaoussou (CMR),MUABI Isaac (COD),AHMED NENBA Yaoussou
WTTC 2024 Central Africa Regional Qualifications,2023-05-10,MOHAMED Abdoulaye,MUTSHU Neredi Bovoyi,3,2,"11,15,5,11,15|2,17,11,9,13",,OTHER,MS,2753,Qualification,MUTSHU Neredi Bovoyi (COD),MOHAMED Abdoulaye (CMR),MOHAMED Abdoulaye
WTTC 2024 Central Africa Regional Qualifications,2023-05-10,NTUMNYUY Harriet,DIALUMONA Muteba Peguy,3,0,"11,11,11|5,3,9",,OTHER,WS,2753,Qualification,NTUMNYUY Harriet (CMR),DIALUMONA Muteba Peguy (COD),NTUMNYUY Harriet
WTTC 2024 Central Africa Regional Qualifications,2023-05-10,DIANDA Gloria,MUNEZERO Marie,3,1,"8,11,11,11|11,5,8,8",,OTHER,WS,2753,Qualification,MUNEZERO Marie (BDI),DIANDA Gloria (COD),DIANDA Gloria
WTTC 2024 Central Africa Regional Qualifications,2023-05-10,LITOBAKA Ammadine,GUIMFACK Saurelle,3,0,"11,11,11|4,5,4",,OTHER,WS,2753,Qualification,LITOBAKA Ammadine (COD),GUIMFACK Saurelle (CMR),LITOBAKA Ammadine
WTTC 2024 Central Africa Regional Qualifications,2023-05-10,KAYEMBE Julie,KANEZA Kevine,3,0,"11,11,11|5,4,8",,OTHER,WS,2753,Qualification,KANEZA Kevine (BDI),KAYEMBE Julie (COD),KAYEMBE Julie
WTTC 2024 Central Africa Regional Qualifications,2023-05-10,ILUNGA Kabedi Terfile,DJAGANA Guynehe,3,1,"11,11,11,11|3,5,13,6",,OTHER,WS,2753,Qualification,DJAGANA Guynehe (CGO),ILUNGA Kabedi Terfile (COD),ILUNGA Kabedi Terfile
WTTC 2024 Central Africa Regional Qualifications,2023-05-10,TOUOZE Annie,DINANGA Lily,3,1,"9,11,11,11|11,6,5,4",,OTHER,WS,2753,Qualification,DINANGA Lily (COD),TOUOZE Annie (CMR),TOUOZE Annie
WTTC 2024 Central Africa Regional Qualifications,2023-05-10,MBONGIA Christian,SINDAYIHEBURA Davy,3,0,"11,11,11|4,7,5",,OTHER,MS,2753,Qualification,SINDAYIHEBURA Davy (BDI),MBONGIA Christian (COD),MBONGIA Christian
WTTC 2024 Central Africa Regional Qualifications,2023-05-10,KAMBAMBA LOFO Grace,PENA Chelvy,3,0,"11,11,11|7,4,5",,OTHER,MS,2753,Qualification,KAMBAMBA LOFO Grace (COD),PENA Chelvy (CGO),KAMBAMBA LOFO Grace
WTTC 2024 Central Africa Regional Qualifications,2023-05-10,EBODE Simon,MANIRAMBONA Libere,3,1,"11,11,10,11|8,8,12,8",,OTHER,MS,2753,Qualification,EBODE Simon (CMR),MANIRAMBONA Libere (BDI),EBODE Simon
WTTC 2024 Central Africa Regional Qualifications,2023-05-10,MINGASHANGA Bertin,TANDO Brijack,3,0,"12,11,11|10,5,6",,OTHER,MS,2753,Qualification,TANDO Brijack (CGO),MINGASHANGA Bertin (COD),MINGASHANGA Bertin
WTTC 2024 Central Africa Regional Qualifications,2023-05-10,IDOWU Saheed,MUABI Isaac,3,0,"11,11,11|3,4,7",,OTHER,MS,2753,Qualification,IDOWU Saheed (CGO),MUABI Isaac (COD),IDOWU Saheed
WTTC 2024 Central Africa Regional Qualifications,2023-05-10,AHMED NENBA Yaoussou,KASOTA Rabby,3,0,"11,13,11|6,11,8",,OTHER,MS,2753,Qualification,KASOTA Rabby (COD),AHMED NENBA Yaoussou (CMR),AHMED NENBA Yaoussou
WTTC 2024 Central Africa Regional Qualifications,2023-05-10,MUTSHU Neredi Bovoyi,GAUCHY Arxy,3,2,"15,8,11,4,11|13,11,7,11,2",,OTHER,MS,2753,Qualification,GAUCHY Arxy (CGO),MUTSHU Neredi Bovoyi (COD),MUTSHU Neredi Bovoyi
WTTC 2024 Central Africa Regional Qualifications,2023-05-10,NTUMNYUY Harriet,DINANGA Lily,4,0,"11,11,11,11|6,7,5,8",QF,OTHER,WS,2753,Main Draw,NTUMNYUY Harriet (CMR),DINANGA Lily (COD),NTUMNYUY Harriet
WTTC 2024 Central Africa Regional Qualifications,2023-05-10,LITOBAKA Ammadine,MUNEZERO Marie,4,0,"11,11,11,11|7,3,2,5",QF,OTHER,WS,2753,Main Draw,MUNEZERO Marie (BDI),LITOBAKA Ammadine (COD),LITOBAKA Ammadine
WTTC 2024 Central Africa Regional Qualifications,2023-05-10,TOUOZE Annie,MAMBENGA Ruth,4,0,"11,11,11,11|2,9,7,9",QF,OTHER,WS,2753,Main Draw,TOUOZE Annie (CMR),MAMBENGA Ruth (COD),TOUOZE Annie
WTTC 2024 Central Africa Regional Qualifications,2023-05-10,GUIMFACK Saurelle,DIANDA Gloria,4,0,"11,11,11,11|5,5,8,9",QF,OTHER,WS,2753,Main Draw,GUIMFACK Saurelle (CMR),DIANDA Gloria (COD),GUIMFACK Saurelle
WTTC 2024 Central Africa Regional Qualifications,2023-05-10,ILUNGA Kabedi Terfile,KANEZA Kevine,3,1,"11,11,9,11|7,9,11,5",9-16,OTHER,WS,2753,Position Draw,ILUNGA Kabedi Terfile (COD),KANEZA Kevine (BDI),ILUNGA Kabedi Terfile
WTTC 2024 Central Africa Regional Qualifications,2023-05-10,KAYEMBE Julie,DJAGANA Guynehe,3,0,"11,11,11|8,4,5",9-16,OTHER,WS,2753,Position Draw,DJAGANA Guynehe (CGO),KAYEMBE Julie (COD),KAYEMBE Julie
WTTC 2024 Central Africa Regional Qualifications,2023-05-10,AHMED NENBA Yaoussou,KAMBAMBA LOFO Grace,4,3,"8,11,11,8,11,8,11|11,4,8,11,6,11,8",R16,OTHER,MS,2753,Main Draw,AHMED NENBA Yaoussou (CMR),KAMBAMBA LOFO Grace (COD),AHMED NENBA Yaoussou
WTTC 2024 Central Africa Regional Qualifications,2023-05-10,MOHAMED Abdoulaye,KABURA Alain,4,0,"11,11,11,11|7,8,4,7",R16,OTHER,MS,2753,Main Draw,MOHAMED Abdoulaye (CMR),KABURA Alain (BDI),MOHAMED Abdoulaye
WTTC 2024 Central Africa Regional Qualifications,2023-05-10,MBONGIA Christian,EBODE Simon,4,3,"5,7,12,11,7,11,11|11,11,10,8,11,6,5",R16,OTHER,MS,2753,Main Draw,EBODE Simon (CMR),MBONGIA Christian (COD),MBONGIA Christian
WTTC 2024 Central Africa Regional Qualifications,2023-05-10,NYOH OFON Derek,AHMED NENBA Yaoussou,4,0,"11,11,11,11|7,4,9,7",QF,OTHER,MS,2753,Main Draw,NYOH OFON Derek (CMR),AHMED NENBA Yaoussou (CMR),NYOH OFON Derek
WTTC 2024 Central Africa Regional Qualifications,2023-05-10,NGEFUASSA Exauce,MOHAMED Abdoulaye,4,1,"8,11,11,11,11|11,9,9,6,9",QF,OTHER,MS,2753,Main Draw,MOHAMED Abdoulaye (CMR),NGEFUASSA Exauce (COD),NGEFUASSA Exauce
WTTC 2024 Central Africa Regional Qualifications,2023-05-10,IDOWU Saheed,MINGASHANGA Bertin,4,0,"11,11,11,11|4,6,1,8",QF,OTHER,MS,2753,Main Draw,MINGASHANGA Bertin (COD),IDOWU Saheed (CGO),IDOWU Saheed
WTTC 2024 Central Africa Regional Qualifications,2023-05-10,BATIX Ylane,MBONGIA Christian,4,0,"11,11,11,11|3,2,2,4",QF,OTHER,MS,2753,Main Draw,MBONGIA Christian (COD),BATIX Ylane (CMR),BATIX Ylane
WTTC 2024 Central Africa Regional Qualifications,2023-05-10,KAYEMBE Julie,DIALUMONA Muteba Peguy,3,0,"11,11,11|9,9,8",5-8,OTHER,WS,2753,Position Draw,DIALUMONA Muteba Peguy (COD),KAYEMBE Julie (COD),KAYEMBE Julie
WTTC 2024 Central Africa Regional Qualifications,2023-05-10,NZANGANI Cyntia,ILUNGA Kabedi Terfile,3,0,"11,12,11|6,10,7",5-8,OTHER,WS,2753,Position Draw,ILUNGA Kabedi Terfile (COD),NZANGANI Cyntia (COD),NZANGANI Cyntia
WTTC 2024 Central Africa Regional Qualifications,2023-05-10,KAMBAMBA LOFO Grace,KABURA Alain,3,1,"11,7,11,11|7,11,8,6",5-8,OTHER,MS,2753,Position Draw,KAMBAMBA LOFO Grace (COD),KABURA Alain (BDI),KAMBAMBA LOFO Grace
WTTC 2024 Central Africa Regional Qualifications,2023-05-10,KASSA Gedeon,EBODE Simon,3,0,"11,11,11|5,2,4",5-8,OTHER,MS,2753,Position Draw,KASSA Gedeon (COD),EBODE Simon (CMR),KASSA Gedeon
WTTC 2024 Central Africa Regional Qualifications,2023-05-10,LITOBAKA Ammadine,NTUMNYUY Harriet,4,1,"10,11,11,11,14|12,3,1,7,12",SF,OTHER,WS,2753,Main Draw,NTUMNYUY Harriet (CMR),LITOBAKA Ammadine (COD),LITOBAKA Ammadine
WTTC 2024 Central Africa Regional Qualifications,2023-05-10,TOUOZE Annie,GUIMFACK Saurelle,4,3,"11,11,11,4,11,4,13|8,5,13,11,6,11,11",SF,OTHER,WS,2753,Main Draw,TOUOZE Annie (CMR),GUIMFACK Saurelle (CMR),TOUOZE Annie
WTTC 2024 Central Africa Regional Qualifications,2023-05-10,DINANGA Lily,MUNEZERO Marie,3,1,"11,7,11,11|8,11,7,7",5-8,OTHER,WS,2753,Position Draw,DINANGA Lily (COD),MUNEZERO Marie (BDI),DINANGA Lily
WTTC 2024 Central Africa Regional Qualifications,2023-05-10,DIANDA Gloria,MAMBENGA Ruth,3,0,"11,11,11|6,4,9",5-8,OTHER,WS,2753,Position Draw,MAMBENGA Ruth (COD),DIANDA Gloria (COD),DIANDA Gloria
WTTC 2024 Central Africa Regional Qualifications,2023-05-10,NYOH OFON Derek,NGEFUASSA Exauce,4,2,"13,11,7,11,11,11|15,8,11,6,7,9",SF,OTHER,MS,2753,Main Draw,NYOH OFON Derek (CMR),NGEFUASSA Exauce (COD),NYOH OFON Derek
WTTC 2024 Central Africa Regional Qualifications,2023-05-10,IDOWU Saheed,BATIX Ylane,4,0,"11,11,11,11|9,7,9,5",SF,OTHER,MS,2753,Main Draw,IDOWU Saheed (CGO),BATIX Ylane (CMR),IDOWU Saheed
WTTC 2024 Central Africa Regional Qualifications,2023-05-10,MOHAMED Abdoulaye,AHMED NENBA Yaoussou,3,0,"11,11,11|8,7,9",5-8,OTHER,MS,2753,Position Draw,AHMED NENBA Yaoussou (CMR),MOHAMED Abdoulaye (CMR),MOHAMED Abdoulaye
WTTC 2024 Central Africa Regional Qualifications,2023-05-10,MBONGIA Christian,MINGASHANGA Bertin,3,1,"11,13,11,13|5,11,13,11",5-8,OTHER,MS,2753,Position Draw,MINGASHANGA Bertin (COD),MBONGIA Christian (COD),MBONGIA Christian
WTTC 2024 Central Africa Regional Qualifications,2023-05-10,KAYEMBE Julie,NZANGANI Cyntia,3,2,"5,5,11,11,11|11,11,7,7,7",3RD,OTHER,WS,2753,Position Draw,KAYEMBE Julie (COD),NZANGANI Cyntia (COD),KAYEMBE Julie
WTTC 2024 Central Africa Regional Qualifications,2023-05-10,DJAGANA Guynehe,KANEZA Kevine,3,2,"11,3,11,11,11|7,11,4,13,6",3RD,OTHER,WS,2753,Position Draw,DJAGANA Guynehe (CGO),KANEZA Kevine (BDI),DJAGANA Guynehe
WTTC 2024 Central Africa Regional Qualifications,2023-05-10,DIALUMONA Muteba Peguy,ILUNGA Kabedi Terfile,3,1,"9,11,11,11|11,8,5,8",3RD,OTHER,WS,2753,Position Draw,DIALUMONA Muteba Peguy (COD),ILUNGA Kabedi Terfile (COD),DIALUMONA Muteba Peguy
WTTC 2024 Central Africa Regional Qualifications,2023-05-10,KABURA Alain,EBODE Simon,3,0,"11,11,11|5,0,0",3RD,OTHER,MS,2753,Position Draw,KABURA Alain (BDI),EBODE Simon (CMR),KABURA Alain
WTTC 2024 Central Africa Regional Qualifications,2023-05-10,KASSA Gedeon,KAMBAMBA LOFO Grace,3,0,"11,11,12|9,9,10",3RD,OTHER,MS,2753,Position Draw,KAMBAMBA LOFO Grace (COD),KASSA Gedeon (COD),KASSA Gedeon
WTTC 2024 Central Africa Regional Qualifications,2023-05-10,MUNEZERO Marie,MAMBENGA Ruth,3,2,"11,11,7,3,11|7,7,11,11,5",3RD,OTHER,WS,2753,Position Draw,MUNEZERO Marie (BDI),MAMBENGA Ruth (COD),MUNEZERO Marie
WTTC 2024 Central Africa Regional Qualifications,2023-05-10,DINANGA Lily,DIANDA Gloria,3,2,"11,5,4,11,11|7,11,11,9,5",3RD,OTHER,WS,2753,Position Draw,DINANGA Lily (COD),DIANDA Gloria (COD),DINANGA Lily
