tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
ITTF Challenge Belgium Open De Haan 2018,2018-10-23,NAGASAKI Miyu,DE NUTTE Sarah,4,0,"13,11,11,11|11,9,6,6",R16,OLYMPICS,WS,889,Main Draw,DE NUTTE Sarah (LUX),NAGASAKI Miyu (JPN),NAGASAKI Miyu
ITTF Challenge Belgium Open De Haan 2018,2018-10-23,YANG Xiaoxin,KIM Youjin,4,0,"11,11,11,12|9,3,3,10",R16,OLYMPICS,WS,889,Main Draw,KIM Youjin (KOR),YANG Xiaoxin (MON),YANG Xiaoxin
ITTF Challenge Belgium Open De Haan 2018,2018-10-23,MADARASZ Dora,GUO Xinyi,4,0,"15,11,11,13|13,4,9,11",R16,OLYMPICS,WS,889,Main Draw,MADARASZ Dora (HUN),GUO Xinyi (CHN),MADARASZ Dora
ITTF Challenge Belgium Open De Haan 2018,2018-10-23,MITTELHAM Nina,NI Xia Lian,4,3,"6,11,6,11,12,12,11|11,13,11,7,10,10,4",R16,OLYMPICS,WS,889,Main Draw,NI Xia Lian (LUX),MITTELHAM Nina (GER),MITTELHAM Nina
ITTF Challenge Belgium Open De Haan 2018,2018-10-23,DE NODREST Leo,LIND Anders,4,3,"6,6,8,11,11,11,11|11,11,11,4,8,8,9",R16,OLYMPICS,MS,889,Main Draw,LIND Anders (DEN),DE NODREST Leo (FRA),DE NODREST Leo
ITTF Challenge Belgium Open De Haan 2018,2018-10-23,NUYTINCK Cedric,ENGEMANN Gerrit,4,1,"13,11,6,11,11|11,8,11,3,5",R16,OLYMPICS,MS,889,Main Draw,ENGEMANN Gerrit (GER),NUYTINCK Cedric (BEL),NUYTINCK Cedric
ITTF Challenge Belgium Open De Haan 2018,2018-10-23,JORGIC Darko,MADRID Marcos,4,1,"11,11,8,11,11|9,7,11,6,4",R16,OLYMPICS,MS,889,Main Draw,MADRID Marcos (MEX),JORGIC Darko (SLO),JORGIC Darko
ITTF Challenge Belgium Open De Haan 2018,2018-10-23,UDA Yukiya,LI Hsin-Yang,4,2,"12,8,11,2,11,11|10,11,4,11,9,4",R16,OLYMPICS,MS,889,Main Draw,UDA Yukiya (JPN),LI Hsin-Yang (TPE),UDA Yukiya
ITTF Challenge Belgium Open De Haan 2018,2018-10-23,CHO Seungmin,KASHIWA Takeru,4,0,"11,11,13,11|9,5,11,8",R16,OLYMPICS,MS,889,Main Draw,CHO Seungmin (KOR),KASHIWA Takeru (JPN),CHO Seungmin
ITTF Challenge Belgium Open De Haan 2018,2018-10-23,QIU Dang,WALKER Samuel,4,1,"9,11,11,11,11|11,9,9,5,6",R16,OLYMPICS,MS,889,Main Draw,QIU Dang (GER),WALKER Samuel (ENG),QIU Dang
ITTF Challenge Belgium Open De Haan 2018,2018-10-23,PARK Ganghyeon,SU Zhi,4,1,"7,15,11,11,11|11,13,9,3,8",R16,OLYMPICS,MS,889,Main Draw,PARK Ganghyeon (KOR),SU Zhi (HKG),PARK Ganghyeon
ITTF Challenge Belgium Open De Haan 2018,2018-10-23,AN Jaehyun,ISHIY Vitor,4,0,"11,11,11,11|3,3,9,3",R16,OLYMPICS,MS,889,Main Draw,ISHIY Vitor (BRA),AN Jaehyun (KOR),AN Jaehyun
ITTF Challenge Belgium Open De Haan 2018,2018-10-23,BALINT Bernadett/MADARASZ Dora,BATRA Manika/KAMATH Archana,3,2,"11,6,5,11,11|7,11,11,8,5",QF,OLYMPICS,WD,889,Main Draw,BALINT Bernadett (HUN) / MADARASZ Dora (HUN),BATRA Manika (IND) / KAMATH Archana (IND),BALINT Bernadett
ITTF Challenge Belgium Open De Haan 2018,2018-10-23,EKHOLM Matilda/POTA Georgina,GASNIER Laura/ZARIF Audrey,3,1,"10,11,12,14|12,5,10,12",QF,OLYMPICS,WD,889,Main Draw,EKHOLM Matilda (SWE) / POTA Georgina (HUN),GASNIER Laura (FRA) / ZARIF Audrey (FRA),EKHOLM Matilda
ITTF Challenge Belgium Open De Haan 2018,2018-10-23,ODO Satsuki/SHIBATA Saki,CECHOVA Dana/EERLAND Britt,3,0,"11,11,11|9,6,6",QF,OLYMPICS,WD,889,Main Draw,ODO Satsuki (JPN) / SHIBATA Saki (JPN),CECHOVA Dana (CZE) / EERLAND Britt (NED),ODO Satsuki
ITTF Challenge Belgium Open De Haan 2018,2018-10-23,DE NUTTE Sarah/NI Xia Lian,MISCHEK-COLUCCI Karoline/SOLJA Amelie,3,1,"11,8,11,11|4,11,6,9",QF,OLYMPICS,WD,889,Main Draw,DE NUTTE Sarah (LUX) / NI Xia Lian (LUX),MISCHEK-COLUCCI Karoline (AUT) / SOLJA Amelie (AUT),DE NUTTE Sarah
ITTF Challenge Belgium Open De Haan 2018,2018-10-23,AGUIRRE Marcelo/MADRID Marcos,DEVOS Robin/NUYTINCK Cedric,3,1,"5,11,11,13|11,8,9,11",QF,OLYMPICS,MD,889,Main Draw,AGUIRRE Marcelo (PAR) / MADRID Marcos (MEX),DEVOS Robin (BEL) / NUYTINCK Cedric (BEL),AGUIRRE Marcelo
ITTF Challenge Belgium Open De Haan 2018,2018-10-23,ANTHONY Amalraj/SHETTY Sanil,BERGLUND Simon/BRODD Viktor,3,1,"11,8,12,11|9,11,10,7",QF,OLYMPICS,MD,889,Main Draw,ANTHONY Amalraj (IND) / SHETTY Sanil (IND),BERGLUND Simon (SWE) / BRODD Viktor (SWE),ANTHONY Amalraj
ITTF Challenge Belgium Open De Haan 2018,2018-10-23,AN Jaehyun/CHO Seungmin,DUDA Benedikt/QIU Dang,3,1,"11,14,9,11|4,12,11,8",QF,OLYMPICS,MD,889,Main Draw,AN Jaehyun (KOR) / CHO Seungmin (KOR),DUDA Benedikt (GER) / QIU Dang (GER),AN Jaehyun
ITTF Challenge Belgium Open De Haan 2018,2018-10-23,SONE Kakeru/TANAKA Yuta,ISHIY Vitor/JOUTI Eric,3,2,"11,2,11,10,11|9,11,4,12,7",QF,OLYMPICS,MD,889,Main Draw,SONE Kakeru (JPN) / TANAKA Yuta (JPN),ISHIY Vitor (BRA) / JOUTI Eric (BRA),SONE Kakeru
ITTF Challenge Belgium Open De Haan 2018,2018-10-23,TOGAMI Shunsuke,PUTUNTICA Andrei,3,2,"8,6,15,11,11|11,11,13,7,2",F,OLYMPICS,U21MS,889,Main Draw,TOGAMI Shunsuke (JPN),PUTUNTICA Andrei (MDA),TOGAMI Shunsuke
ITTF Challenge Belgium Open De Haan 2018,2018-10-23,KIM Youjin,MUKHERJEE Ayhika,3,1,"11,11,5,11|5,9,11,6",F,OLYMPICS,U21WS,889,Main Draw,KIM Youjin (KOR),MUKHERJEE Ayhika (IND),KIM Youjin
ITTF Challenge Belgium Open De Haan 2018,2018-10-23,SHIBATA Saki,MUKHERJEE Ayhika,4,0,"11,11,11,11|5,3,5,4",QF,OLYMPICS,WS,889,Main Draw,SHIBATA Saki (JPN),MUKHERJEE Ayhika (IND),SHIBATA Saki
ITTF Challenge Belgium Open De Haan 2018,2018-10-23,NAGASAKI Miyu,YANG Xiaoxin,4,2,"7,7,11,11,11,11|11,11,1,8,5,8",QF,OLYMPICS,WS,889,Main Draw,YANG Xiaoxin (MON),NAGASAKI Miyu (JPN),NAGASAKI Miyu
ITTF Challenge Belgium Open De Haan 2018,2018-10-23,SHIN Yubin,MITTELHAM Nina,4,1,"11,7,12,11,11|4,11,10,9,6",QF,OLYMPICS,WS,889,Main Draw,MITTELHAM Nina (GER),SHIN Yubin (KOR),SHIN Yubin
ITTF Challenge Belgium Open De Haan 2018,2018-10-23,HASHIMOTO Honoka,MADARASZ Dora,4,1,"13,13,9,11,11|11,11,11,3,1",QF,OLYMPICS,WS,889,Main Draw,HASHIMOTO Honoka (JPN),MADARASZ Dora (HUN),HASHIMOTO Honoka
ITTF Challenge Belgium Open De Haan 2018,2018-10-23,PARK Ganghyeon,JORGIC Darko,4,3,"2,14,3,9,12,11,11|11,12,11,11,10,9,8",QF,OLYMPICS,MS,889,Main Draw,PARK Ganghyeon (KOR),JORGIC Darko (SLO),PARK Ganghyeon
ITTF Challenge Belgium Open De Haan 2018,2018-10-23,QIU Dang,DE NODREST Leo,4,2,"3,1,11,11,11,11|11,11,2,8,8,4",QF,OLYMPICS,MS,889,Main Draw,QIU Dang (GER),DE NODREST Leo (FRA),QIU Dang
ITTF Challenge Belgium Open De Haan 2018,2018-10-23,UDA Yukiya,CHO Seungmin,4,3,"11,11,7,11,7,6,11|8,7,11,6,11,11,9",QF,OLYMPICS,MS,889,Main Draw,CHO Seungmin (KOR),UDA Yukiya (JPN),UDA Yukiya
ITTF Challenge Belgium Open De Haan 2018,2018-10-23,NUYTINCK Cedric,AN Jaehyun,4,3,"11,6,11,11,5,8,13|9,11,2,4,11,11,11",QF,OLYMPICS,MS,889,Main Draw,AN Jaehyun (KOR),NUYTINCK Cedric (BEL),NUYTINCK Cedric
ITTF Challenge Belgium Open De Haan 2018,2018-10-23,ODO Satsuki/SHIBATA Saki,EKHOLM Matilda/POTA Georgina,3,0,"11,11,12|7,9,10",SF,OLYMPICS,WD,889,Main Draw,ODO Satsuki (JPN) / SHIBATA Saki (JPN),EKHOLM Matilda (SWE) / POTA Georgina (HUN),ODO Satsuki
ITTF Challenge Belgium Open De Haan 2018,2018-10-23,DE NUTTE Sarah/NI Xia Lian,BALINT Bernadett/MADARASZ Dora,3,0,"11,11,11|4,4,8",SF,OLYMPICS,WD,889,Main Draw,DE NUTTE Sarah (LUX) / NI Xia Lian (LUX),BALINT Bernadett (HUN) / MADARASZ Dora (HUN),DE NUTTE Sarah
ITTF Challenge Belgium Open De Haan 2018,2018-10-23,SONE Kakeru/TANAKA Yuta,AGUIRRE Marcelo/MADRID Marcos,3,2,"11,11,2,9,11|9,8,11,11,7",SF,OLYMPICS,MD,889,Main Draw,SONE Kakeru (JPN) / TANAKA Yuta (JPN),AGUIRRE Marcelo (PAR) / MADRID Marcos (MEX),SONE Kakeru
ITTF Challenge Belgium Open De Haan 2018,2018-10-23,AN Jaehyun/CHO Seungmin,ANTHONY Amalraj/SHETTY Sanil,3,0,"11,11,11|6,8,7",SF,OLYMPICS,MD,889,Main Draw,AN Jaehyun (KOR) / CHO Seungmin (KOR),ANTHONY Amalraj (IND) / SHETTY Sanil (IND),AN Jaehyun
ITTF Challenge Belgium Open De Haan 2018,2018-10-23,SHIBATA Saki,NAGASAKI Miyu,4,1,"12,12,11,12,12|14,10,5,10,10",SF,OLYMPICS,WS,889,Main Draw,SHIBATA Saki (JPN),NAGASAKI Miyu (JPN),SHIBATA Saki
ITTF Challenge Belgium Open De Haan 2018,2018-10-23,HASHIMOTO Honoka,SHIN Yubin,4,2,"11,11,11,7,7,11|4,9,6,11,11,9",SF,OLYMPICS,WS,889,Main Draw,HASHIMOTO Honoka (JPN),SHIN Yubin (KOR),HASHIMOTO Honoka
ITTF Challenge Belgium Open De Haan 2018,2018-10-23,PARK Ganghyeon,QIU Dang,4,0,"11,11,11,12|8,6,6,10",SF,OLYMPICS,MS,889,Main Draw,PARK Ganghyeon (KOR),QIU Dang (GER),PARK Ganghyeon
ITTF Challenge Belgium Open De Haan 2018,2018-10-23,UDA Yukiya,NUYTINCK Cedric,4,0,"11,11,13,13|8,6,11,11",SF,OLYMPICS,MS,889,Main Draw,NUYTINCK Cedric (BEL),UDA Yukiya (JPN),UDA Yukiya
ITTF Challenge Belgium Open De Haan 2018,2018-10-23,ODO Satsuki/SHIBATA Saki,DE NUTTE Sarah/NI Xia Lian,3,0,"15,12,11|13,10,4",F,OLYMPICS,WD,889,Main Draw,ODO Satsuki (JPN) / SHIBATA Saki (JPN),DE NUTTE Sarah (LUX) / NI Xia Lian (LUX),ODO Satsuki
ITTF Challenge Belgium Open De Haan 2018,2018-10-23,AN Jaehyun/CHO Seungmin,SONE Kakeru/TANAKA Yuta,3,1,"11,9,13,11|4,11,11,5",F,OLYMPICS,MD,889,Main Draw,AN Jaehyun (KOR) / CHO Seungmin (KOR),SONE Kakeru (JPN) / TANAKA Yuta (JPN),AN Jaehyun
ITTF Challenge Belgium Open De Haan 2018,2018-10-23,SHIBATA Saki,HASHIMOTO Honoka,4,0,"11,11,11,11|7,7,7,5",F,OLYMPICS,WS,889,Main Draw,SHIBATA Saki (JPN),HASHIMOTO Honoka (JPN),SHIBATA Saki
ITTF Challenge Belgium Open De Haan 2018,2018-10-23,PARK Ganghyeon,UDA Yukiya,4,3,"14,11,11,11,7,8,12|12,8,9,13,11,11,10",F,OLYMPICS,MS,889,Main Draw,PARK Ganghyeon (KOR),UDA Yukiya (JPN),PARK Ganghyeon
