tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
Men's and Women's World Cup Hangzhou 2004,2004-10-27,WANG Hao,WALDNER Jan-Ove,4,0,"11,11,11,11|6,9,9,4",QF,WORLD_CUP,MS,1707,Main Draw,WANG Hao (CHN),WALDNER Jan-Ove (SWE),WANG Hao
Men's and Women's World Cup Hangzhou 2004,2004-10-27,MA Lin,BOLL Timo,4,1,"11,11,9,11,11|4,1,11,8,0",QF,WORLD_CUP,MS,1707,Main Draw,MA Lin (CHN),BOLL Timo (GER),MA Lin
Men's and Women's World Cup Hangzhou 2004,2004-10-27,KREANGA Kalinikos,JOO Saehyuk,4,2,"11,3,11,11,13,11|9,11,7,9,15,8",SF,WORLD_CUP,MS,1707,Main Draw,KREANGA Kalinikos (GRE),JOO Saehyuk (KOR),KREANGA Kalinikos
Men's and Women's World Cup Hangzhou 2004,2004-10-27,MA Lin,WANG Hao,4,0,"11,11,11,11|1,8,3,4",SF,WORLD_CUP,MS,1707,Main Draw,MA Lin (CHN),WANG Hao (CHN),MA Lin
Men's and Women's World Cup Hangzhou 2004,2004-10-27,ZHANG Yining,MIAO Miao,4,0,"11,11,11,11|5,4,3,7",3,WORLD_CUP,WS,1707,Qualification,ZHANG Yining (CHN),MIAO Miao (AUS),ZHANG Yining
Men's and Women's World Cup Hangzhou 2004,2004-10-27,LI Jiawei,STEFF Mihaela,4,3,"11,7,11,11,8,11,11|5,11,8,13,11,5,9",3,WORLD_CUP,WS,1707,Qualification,LI Jiawei (SGP),STEFF Mihaela (ROU),LI Jiawei
Men's and Women's World Cup Hangzhou 2004,2004-10-27,ZHANG Yining,STEFF Mihaela,4,0,"11,12,11,11|3,10,2,6",,WORLD_CUP,WS,1707,Qualification,ZHANG Yining (CHN),STEFF Mihaela (ROU),ZHANG Yining
Men's and Women's World Cup Hangzhou 2004,2004-10-27,LI Jiawei,MIAO Miao,4,0,"11,11,11,11|4,2,4,8",1,WORLD_CUP,WS,1707,Qualification,LI Jiawei (SGP),MIAO Miao (AUS),LI Jiawei
Men's and Women's World Cup Hangzhou 2004,2004-10-27,ZHANG Yining,LI Jiawei,4,1,"11,11,11,5,11|2,4,6,11,4",QR2,WORLD_CUP,WS,1707,Qualification,ZHANG Yining (CHN),LI Jiawei (SGP),ZHANG Yining
Men's and Women's World Cup Hangzhou 2004,2004-10-27,STEFF Mihaela,MIAO Miao,4,2,"7,11,11,10,11,11|11,9,7,12,5,3",QR2,WORLD_CUP,WS,1707,Qualification,STEFF Mihaela (ROU),MIAO Miao (AUS),STEFF Mihaela
Men's and Women's World Cup Hangzhou 2004,2004-10-27,WANG Nan,WU Xue,4,2,"11,9,11,11,7,12|7,11,9,9,11,10",3,WORLD_CUP,WS,1707,Qualification,WANG Nan (CHN),WU Xue (DOM),WANG Nan
Men's and Women's World Cup Hangzhou 2004,2004-10-27,TIE Yana,GAO Jun,4,2,"13,8,13,11,8,11|11,11,11,8,11,6",3,WORLD_CUP,WS,1707,Qualification,TIE Yana (HKG),GAO Jun (USA),TIE Yana
Men's and Women's World Cup Hangzhou 2004,2004-10-27,GAO Jun,WANG Nan,4,3,"11,9,8,15,8,16,11|9,11,11,13,11,14,9",,WORLD_CUP,WS,1707,Qualification,GAO Jun (USA),WANG Nan (CHN),GAO Jun
Men's and Women's World Cup Hangzhou 2004,2004-10-27,TIE Yana,WU Xue,4,0,"11,11,11,11|8,3,8,6",1,WORLD_CUP,WS,1707,Qualification,TIE Yana (HKG),WU Xue (DOM),TIE Yana
Men's and Women's World Cup Hangzhou 2004,2004-10-27,WANG Nan,TIE Yana,4,2,"11,13,11,10,11,11|6,11,8,12,13,9",QR2,WORLD_CUP,WS,1707,Qualification,WANG Nan (CHN),TIE Yana (HKG),WANG Nan
Men's and Women's World Cup Hangzhou 2004,2004-10-27,GAO Jun,WU Xue,4,1,"11,11,11,7,11|5,6,8,11,7",QR2,WORLD_CUP,WS,1707,Qualification,GAO Jun (USA),WU Xue (DOM),GAO Jun
Men's and Women's World Cup Hangzhou 2004,2004-10-27,NIU Jianfeng,BADESCU Otilia,4,1,"6,11,11,11,13|11,6,3,5,11",3,WORLD_CUP,WS,1707,Qualification,NIU Jianfeng (CHN),BADESCU Otilia (ROU),NIU Jianfeng
Men's and Women's World Cup Hangzhou 2004,2004-10-27,LAU Sui Fei,BOROS Tamara,4,3,"11,12,11,3,11,11,11|9,14,9,11,13,8,7",3,WORLD_CUP,WS,1707,Qualification,LAU Sui Fei (HKG),BOROS Tamara (CRO),LAU Sui Fei
Men's and Women's World Cup Hangzhou 2004,2004-10-27,LAU Sui Fei,NIU Jianfeng,4,3,"3,11,6,11,6,11,11|11,8,11,9,11,4,5",,WORLD_CUP,WS,1707,Qualification,LAU Sui Fei (HKG),NIU Jianfeng (CHN),LAU Sui Fei
Men's and Women's World Cup Hangzhou 2004,2004-10-27,BOROS Tamara,BADESCU Otilia,4,1,"11,6,11,11,11|5,11,9,9,5",1,WORLD_CUP,WS,1707,Qualification,BOROS Tamara (CRO),BADESCU Otilia (ROU),BOROS Tamara
Men's and Women's World Cup Hangzhou 2004,2004-10-27,BOROS Tamara,NIU Jianfeng,4,0,"11,12,11,11|9,10,4,8",QR2,WORLD_CUP,WS,1707,Qualification,BOROS Tamara (CRO),NIU Jianfeng (CHN),BOROS Tamara
Men's and Women's World Cup Hangzhou 2004,2004-10-27,BADESCU Otilia,LAU Sui Fei,4,3,"1,12,8,17,9,11,11|11,10,11,15,11,7,8",QR2,WORLD_CUP,WS,1707,Qualification,BADESCU Otilia (ROU),LAU Sui Fei (HKG),BADESCU Otilia
Men's and Women's World Cup Hangzhou 2004,2004-10-27,KIM Kyungah,OSHONAIKE Olufunke,4,0,"11,11,11,11|8,6,2,5",3,WORLD_CUP,WS,1707,Qualification,KIM Kyungah (KOR),OSHONAIKE Olufunke (NGR),KIM Kyungah
Men's and Women's World Cup Hangzhou 2004,2004-10-27,LIU Jia,PAVLOVICH Viktoria,4,3,"9,11,9,11,11,9,11|11,9,11,7,9,11,6",3,WORLD_CUP,WS,1707,Qualification,LIU Jia (AUT),PAVLOVICH Viktoria (BLR),LIU Jia
Men's and Women's World Cup Hangzhou 2004,2004-10-27,PAVLOVICH Viktoria,KIM Kyungah,4,1,"13,11,8,11,11|11,7,11,9,9",,WORLD_CUP,WS,1707,Qualification,PAVLOVICH Viktoria (BLR),KIM Kyungah (KOR),PAVLOVICH Viktoria
Men's and Women's World Cup Hangzhou 2004,2004-10-27,LIU Jia,OSHONAIKE Olufunke,4,0,"11,14,11,11|9,12,9,6",1,WORLD_CUP,WS,1707,Qualification,LIU Jia (AUT),OSHONAIKE Olufunke (NGR),LIU Jia
Men's and Women's World Cup Hangzhou 2004,2004-10-27,KIM Kyungah,LIU Jia,4,0,"13,11,11,11|11,4,8,6",QR2,WORLD_CUP,WS,1707,Qualification,KIM Kyungah (KOR),LIU Jia (AUT),KIM Kyungah
Men's and Women's World Cup Hangzhou 2004,2004-10-27,PAVLOVICH Viktoria,OSHONAIKE Olufunke,4,0,"11,11,11,11|5,8,4,5",QR2,WORLD_CUP,WS,1707,Qualification,PAVLOVICH Viktoria (BLR),OSHONAIKE Olufunke (NGR),PAVLOVICH Viktoria
Men's and Women's World Cup Hangzhou 2004,2004-10-27,ZHANG Yining,KIM Kyungah,4,0,"11,11,11,11|2,2,8,7",QF,WORLD_CUP,WS,1707,Main Draw,ZHANG Yining (CHN),KIM Kyungah (KOR),ZHANG Yining
Men's and Women's World Cup Hangzhou 2004,2004-10-27,TIE Yana,LAU Sui Fei,4,2,"9,6,11,11,11,11|11,11,9,9,9,8",QF,WORLD_CUP,WS,1707,Main Draw,TIE Yana (HKG),LAU Sui Fei (HKG),TIE Yana
Men's and Women's World Cup Hangzhou 2004,2004-10-27,LI Jiawei,PAVLOVICH Viktoria,4,2,"5,13,11,6,13,11|11,11,8,11,11,6",QF,WORLD_CUP,WS,1707,Main Draw,LI Jiawei (SGP),PAVLOVICH Viktoria (BLR),LI Jiawei
Men's and Women's World Cup Hangzhou 2004,2004-10-27,WANG Nan,BOROS Tamara,4,2,"10,5,11,11,11,11|12,11,5,7,7,8",QF,WORLD_CUP,WS,1707,Main Draw,WANG Nan (CHN),BOROS Tamara (CRO),WANG Nan
Men's and Women's World Cup Hangzhou 2004,2004-10-27,ZHANG Yining,TIE Yana,4,0,"11,11,11,11|6,4,3,4",SF,WORLD_CUP,WS,1707,Main Draw,ZHANG Yining (CHN),TIE Yana (HKG),ZHANG Yining
Men's and Women's World Cup Hangzhou 2004,2004-10-27,WANG Nan,LI Jiawei,4,2,"10,11,4,11,11,11|12,9,11,4,5,3",SF,WORLD_CUP,WS,1707,Main Draw,WANG Nan (CHN),LI Jiawei (SGP),WANG Nan
