tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,FAN Zhendong,XU Xin,4,2,"1,12,7,11,11,11|11,10,11,5,6,9",F,GRAND_SLAM,MS,22,Main Draw,XU Xin (CHN),FAN Zhendong (CHN),FAN Zhendong
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,DING Ning,YANG Xiaoxin,4,0,"11,11,11,12|6,8,2,10",R64,GRAND_SLAM,WS,22,Main Draw,DING Ning (CHN),YANG Xiaoxin (MON),DING Ning
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,HU Melek,LI Xue,4,2,"11,11,8,11,11,11|13,5,11,8,4,2",R64,GRAND_SLAM,WS,22,Main Draw,LI Xue (FRA),HU Melek (TUR),HU Melek
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,MU Zi,IVANCAN Irene,4,0,"11,12,11,11|7,10,7,5",R64,GRAND_SLAM,WS,22,Main Draw,MU Zi (CHN),IVANCAN Irene (GER),MU Zi
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,DOO Hoi Kem,ZHANG Lily,4,3,"8,13,11,7,8,12,11|11,11,7,11,11,10,9",R64,GRAND_SLAM,WS,22,Main Draw,ZHANG Lily (USA),DOO Hoi Kem (HKG),DOO Hoi Kem
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,HIRANO Miu,PROKHOROVA Yulia,4,0,"11,11,11,11|9,3,9,8",R64,GRAND_SLAM,WS,22,Main Draw,HIRANO Miu (JPN),PROKHOROVA Yulia (RUS),HIRANO Miu
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,POTA Georgina,ZHENG Jiaqi,4,2,"11,11,16,14,10,11|5,6,18,12,12,6",R64,GRAND_SLAM,WS,22,Main Draw,ZHENG Jiaqi (USA),POTA Georgina (HUN),POTA Georgina
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,HIRANO Sayaka,ODOROVA Eva,4,2,"9,12,12,11,8,11|11,10,10,9,11,4",R64,GRAND_SLAM,WS,22,Main Draw,HIRANO Sayaka (JPN),ODOROVA Eva (SVK),HIRANO Sayaka
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,WAKAMIYA Misako,LI Xiaoxia,4,3,"11,4,6,11,1,11,11|6,11,11,5,11,8,8",R64,GRAND_SLAM,WS,22,Main Draw,WAKAMIYA Misako (JPN),LI Xiaoxia (CHN),WAKAMIYA Misako
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,ISHIKAWA Kasumi,SHAO Jieni,4,0,"13,11,11,11|11,8,6,6",R64,GRAND_SLAM,WS,22,Main Draw,ISHIKAWA Kasumi (JPN),SHAO Jieni (POR),ISHIKAWA Kasumi
