tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,AKERSTROM Fabian/OVERSJO Mattias,HE Zhiwen/MACHADO Carlos,3,2,"12,11,12,11,11|14,6,14,6,6",R16,GRAND_SLAM,MD,22,Main Draw,AKERSTROM Fabian (SWE) / OVERSJO Mattias (SWE),HE Zhiwen (ESP) / MACHADO Carlos (ESP),AKERSTROM Fabian
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,FLORE Tristan/LEBESSON Emmanuel,LIVENTSOV Alexey/PAIKOV Mikhail,3,0,"11,11,11|7,7,8",R16,GRAND_SLAM,MD,22,Main Draw,FLORE Tristan (FRA) / LEBESSON Emmanuel (FRA),LIVENTSOV Alexey (RUS) / PAIKOV Mikhail (RUS),FLORE Tristan
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,HAN Ying/IVANCAN Irene,EKHOLM Matilda/KALLBERG Christina,3,2,"5,11,11,8,11|11,3,3,11,6",R16,GRAND_SLAM,WD,22,Main Draw,HAN Ying (GER) / IVANCAN Irene (GER),EKHOLM Matilda (SWE) / KALLBERG Christina (SWE),HAN Ying
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,MORIZONO Masataka/OSHIMA Yuya,HO Kwan Kit/LAM Siu Hang,3,1,"11,12,8,11|9,10,11,8",QF,GRAND_SLAM,MD,22,Main Draw,MORIZONO Masataka (JPN) / OSHIMA Yuya (JPN),HO Kwan Kit (HKG) / LAM Siu Hang (HKG),MORIZONO Masataka
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,CHEN Meng/MU Zi,JIANG Huajun/TIE Yana,3,2,"11,11,5,8,11|5,7,11,11,7",R16,GRAND_SLAM,WD,22,Main Draw,CHEN Meng (CHN) / MU Zi (CHN),JIANG Huajun (HKG) / TIE Yana (HKG),CHEN Meng
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,GRZYBOWSKA-FRANC Katarzyna/PARTYKA Natalia,PASKAUSKIENE Ruta/POTA Georgina,3,2,"16,4,9,11,11|14,11,11,7,5",QF,GRAND_SLAM,WD,22,Main Draw,GRZYBOWSKA-FRANC Katarzyna (POL) / PARTYKA Natalia (POL),PASKAUSKIENE Ruta (LTU) / POTA Georgina (HUN),GRZYBOWSKA-FRANC Katarzyna
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,FANG Bo/XU Xin,BOBOCICA Mihai/STOYANOV Niagol,3,1,"11,11,10,11|9,9,12,9",R16,GRAND_SLAM,MD,22,Main Draw,FANG Bo (KAZ) / XU Xin (CHN),BOBOCICA Mihai (ITA) / STOYANOV Niagol (ITA),FANG Bo
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,DOO Hoi Kem/LEE Ho Ching,ISHIKAWA Kasumi/ITO Mima,3,2,"11,12,8,6,11|9,10,11,11,3",R16,GRAND_SLAM,WD,22,Main Draw,DOO Hoi Kem (HKG) / LEE Ho Ching (HKG),ISHIKAWA Kasumi (JPN) / ITO Mima (JPN),DOO Hoi Kem
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,DING Ning/ZHU Yuling,HAYATA Hina/SATO Hitomi,3,2,"3,3,11,11,11|11,11,4,4,4",R16,GRAND_SLAM,WD,22,Main Draw,DING Ning (CHN) / ZHU Yuling (MAC),HAYATA Hina (JPN) / SATO Hitomi (JPN),DING Ning
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,LIN Ye/ZHOU Yihan,GRZYBOWSKA-FRANC Katarzyna/PARTYKA Natalia,3,1,"11,12,8,11|5,10,11,8",SF,GRAND_SLAM,WD,22,Main Draw,LIN Ye (CAN) / ZHOU Yihan (SGP),GRZYBOWSKA-FRANC Katarzyna (POL) / PARTYKA Natalia (POL),LIN Ye
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,MORIZONO Masataka/OSHIMA Yuya,DYJAS Jakub/GERALDO Joao,3,0,"11,11,11|4,5,8",R16,GRAND_SLAM,MD,22,Main Draw,MORIZONO Masataka (JPN) / OSHIMA Yuya (JPN),DYJAS Jakub (POL) / GERALDO Joao (POR),MORIZONO Masataka
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,PASKAUSKIENE Ruta/POTA Georgina,FENG Tianwei/YU Mengyu,3,0,"11,13,11|9,11,5",R16,GRAND_SLAM,WD,22,Main Draw,PASKAUSKIENE Ruta (LTU) / POTA Georgina (HUN),FENG Tianwei (SGP) / YU Mengyu (SGP),PASKAUSKIENE Ruta
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,LIN Ye/ZHOU Yihan,BILENKO Tetyana/PAVLOVICH Viktoria,3,0,"11,11,15|8,1,13",R16,GRAND_SLAM,WD,22,Main Draw,LIN Ye (CAN) / ZHOU Yihan (SGP),BILENKO Tetyana (UKR) / PAVLOVICH Viktoria (BLR),LIN Ye
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,LIN Ye/ZHOU Yihan,DOO Hoi Kem/LEE Ho Ching,3,2,"11,5,5,11,11|8,11,11,8,8",QF,GRAND_SLAM,WD,22,Main Draw,LIN Ye (CAN) / ZHOU Yihan (SGP),DOO Hoi Kem (HKG) / LEE Ho Ching (HKG),LIN Ye
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,CHEN Meng/MU Zi,LIN Ye/ZHOU Yihan,3,0,"11,11,11|7,9,5",F,GRAND_SLAM,WD,22,Main Draw,CHEN Meng (CHN) / MU Zi (CHN),LIN Ye (CAN) / ZHOU Yihan (SGP),CHEN Meng
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,DRINKHALL Paul/PITCHFORD Liam,KARLSSON Kristian/KARLSSON Mattias,3,1,"11,4,11,11|7,11,3,5",R16,GRAND_SLAM,MD,22,Main Draw,DRINKHALL Paul (ENG) / PITCHFORD Liam (ENG),KARLSSON Kristian (SWE) / KARLSSON Mattias (SWE),DRINKHALL Paul
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,GERELL Par/PERSSON Jon,APOLONIA Tiago/MONTEIRO Joao,3,0,"11,11,11|1,0,0",R16,GRAND_SLAM,MD,22,Main Draw,GERELL Par (SWE) / PERSSON Jon (SWE),APOLONIA Tiago (POR) / MONTEIRO Joao (POR),GERELL Par
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,FANG Bo/XU Xin,AKERSTROM Fabian/OVERSJO Mattias,3,2,"9,11,11,6,11|11,8,8,11,7",QF,GRAND_SLAM,MD,22,Main Draw,FANG Bo (KAZ) / XU Xin (CHN),AKERSTROM Fabian (SWE) / OVERSJO Mattias (SWE),FANG Bo
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,GRZYBOWSKA-FRANC Katarzyna/PARTYKA Natalia,BERGAND Filippa/HOLMSTEN Ellen,3,0,"11,11,11|6,7,9",R16,GRAND_SLAM,WD,22,Main Draw,GRZYBOWSKA-FRANC Katarzyna (POL) / PARTYKA Natalia (POL),BERGAND Filippa (SWE) / HOLMSTEN Ellen (SWE),GRZYBOWSKA-FRANC Katarzyna
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,HO Kwan Kit/LAM Siu Hang,CHIANG Hung-Chieh/CHUANG Chih-Yuan,3,1,"11,11,11,6,11|0,9,9,11,7",R16,GRAND_SLAM,MD,22,Main Draw,HO Kwan Kit (HKG) / LAM Siu Hang (HKG),CHIANG Hung-Chieh (TPE) / CHUANG Chih-Yuan (TPE),HO Kwan Kit
