tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
Pro Tour Grand Finals Stockholm 2002,2002-12-12,MA Lin,SMIRNOV Alexey,4,2,"11,11,5,11,1,11|9,7,11,9,11,4",R16,GRAND_SLAM,MS,1509,Main Draw,MA Lin (CHN),SMIRNOV Alexey (RUS),MA Lin
Pro Tour Grand Finals Stockholm 2002,2002-12-12,CHEUNG Yuk/LEUNG Chu Yan,JINDRAK Karl/SCHLAGER Werner,4,2,"4,11,11,8,11,14|11,9,9,11,7,12",QF,GRAND_SLAM,MD,1509,Main Draw,CHEUNG Yuk (HKG) / LEUNG Chu Yan (HKG),JINDRAK Karl (AUT) / SCHLAGER Werner (AUT),CHEUNG Yuk
Pro Tour Grand Finals Stockholm 2002,2002-12-12,KONG Linghui/MA Lin,HAKANSSON Fredrik/KARLSSON Peter,4,0,"11,12,11,11|7,10,9,8",QF,GRAND_SLAM,MD,1509,Main Draw,KONG Linghui (CHN) / MA Lin (CHN),HAKANSSON Fredrik (SWE) / KARLSSON Peter (SWE),KONG Linghui
Pro Tour Grand Finals Stockholm 2002,2002-12-12,KONG Linghui/MA Lin,QIN Zhijian/WANG Liqin,4,1,"2,11,11,12,11|11,8,3,10,7",SF,GRAND_SLAM,MD,1509,Main Draw,KONG Linghui (CHN) / MA Lin (CHN),QIN Zhijian (CHN) / WANG Liqin (CHN),KONG Linghui
Pro Tour Grand Finals Stockholm 2002,2002-12-12,KONG Linghui/MA Lin,KITO Akira/TASAKI Toshio,4,0,"11,11,15,11|5,5,13,7",F,GRAND_SLAM,MD,1509,Main Draw,KONG Linghui (CHN) / MA Lin (CHN),KITO Akira (JPN) / TASAKI Toshio (JPN),KONG Linghui
Pro Tour Grand Finals Stockholm 2002,2002-12-12,KITO Akira/TASAKI Toshio,CHEUNG Yuk/LEUNG Chu Yan,4,2,"11,11,11,8,11,11|13,3,8,11,9,8",SF,GRAND_SLAM,MD,1509,Main Draw,KITO Akira (JPN) / TASAKI Toshio (JPN),CHEUNG Yuk (HKG) / LEUNG Chu Yan (HKG),KITO Akira
Pro Tour Grand Finals Stockholm 2002,2002-12-12,KITO Akira/TASAKI Toshio,KO Lai Chak/LI Ching,4,1,"11,11,11,6,11|8,8,8,11,4",QF,GRAND_SLAM,MD,1509,Main Draw,KITO Akira (JPN) / TASAKI Toshio (JPN),KO Lai Chak (HKG) / LI Ching (HKG),KITO Akira
Pro Tour Grand Finals Stockholm 2002,2002-12-12,QIN Zhijian/WANG Liqin,LEE Chulseung/RYU Seungmin,4,0,"11,11,11,12|7,8,4,10",QF,GRAND_SLAM,MD,1509,Main Draw,QIN Zhijian (CHN) / WANG Liqin (CHN),LEE Chulseung (KOR) / RYU Seungmin (KOR),QIN Zhijian
Pro Tour Grand Finals Stockholm 2002,2002-12-12,LI Jia/NIU Jianfeng,FUJINUMA Ai/HIURA Reiko,4,0,"11,13,11,11|7,11,4,6",QF,GRAND_SLAM,WD,1509,Main Draw,LI Jia (CHN) / NIU Jianfeng (CHN),FUJINUMA Ai (JPN) / HIURA Reiko (JPN),LI Jia
Pro Tour Grand Finals Stockholm 2002,2002-12-12,LI Jia/NIU Jianfeng,LEE Eunsil/SUK Eunmi,4,1,"11,11,4,11,11|6,8,11,7,9",SF,GRAND_SLAM,WD,1509,Main Draw,LI Jia (CHN) / NIU Jianfeng (CHN),LEE Eunsil (KOR) / SUK Eunmi (KOR),LI Jia
Pro Tour Grand Finals Stockholm 2002,2002-12-12,LI Jia/NIU Jianfeng,LI Nan/ZHANG Yining,4,0,"11,11,11,12|9,9,6,10",F,GRAND_SLAM,WD,1509,Main Draw,LI Jia (CHN) / NIU Jianfeng (CHN),LI Nan (CHN) / ZHANG Yining (CHN),LI Jia
Pro Tour Grand Finals Stockholm 2002,2002-12-12,LI Nan/ZHANG Yining,KISHIDA Satoko/UMEMURA Aya,4,1,"11,12,9,11,11|6,10,11,8,9",QF,GRAND_SLAM,WD,1509,Main Draw,LI Nan (CHN) / ZHANG Yining (CHN),KISHIDA Satoko (JPN) / UMEMURA Aya (JPN),LI Nan
Pro Tour Grand Finals Stockholm 2002,2002-12-12,JING Junhong/LI Jiawei,FAN Ying/GUO Yue,4,1,"11,9,11,11,11|4,11,7,4,6",QF,GRAND_SLAM,WD,1509,Main Draw,JING Junhong (SGP) / LI Jiawei (SGP),FAN Ying (CHN) / GUO Yue (CHN),JING Junhong
Pro Tour Grand Finals Stockholm 2002,2002-12-12,LI Nan/ZHANG Yining,JING Junhong/LI Jiawei,4,0,"11,11,11,11|6,7,4,9",SF,GRAND_SLAM,WD,1509,Main Draw,LI Nan (CHN) / ZHANG Yining (CHN),JING Junhong (SGP) / LI Jiawei (SGP),LI Nan
Pro Tour Grand Finals Stockholm 2002,2002-12-12,LEE Eunsil/SUK Eunmi,JOHANSSON Sandra/JONSSON Susanne,4,0,"11,11,11,11|7,3,6,4",QF,GRAND_SLAM,WD,1509,Main Draw,LEE Eunsil (KOR) / SUK Eunmi (KOR),JOHANSSON Sandra (SWE) / JONSSON Susanne (SWE),LEE Eunsil
