tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
World Team Table Tennis Championships Dortmund 2012,2012-03-25,FOO Dunley,VAINULA Vallot,3,0,"11,11,11|0,0,0",,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,FOO Dunley (MAS),VAINULA Vallot (EST),FOO Dunley
World Team Table Tennis Championships Dortmund 2012,2012-03-25,SMIRNOV Aleksandr,IBRAHIM Muhd Shakirin,3,2,"11,11,9,11,11|5,13,11,9,6",,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,SMIRNOV Aleksandr (EST),IBRAHIM Muhd Shakirin (MAS),SMIRNOV Aleksandr
World Team Table Tennis Championships Dortmund 2012,2012-03-25,CHAI Kian Beng,LIBENE Toomas,3,0,"11,11,11|4,7,7",,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,CHAI Kian Beng (MAS),LIBENE Toomas (EST),CHAI Kian Beng
World Team Table Tennis Championships Dortmund 2012,2012-03-25,WANG Timothy,YIANGOU Yiangos,3,0,"11,11,11|5,6,4",,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,WANG Timothy (USA),YIANGOU Yiangos (CYP),WANG Timothy
World Team Table Tennis Championships Dortmund 2012,2012-03-25,HUGH Adam,YIANGOU Marios,3,1,"11,9,11,11|5,11,7,7",,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,HUGH Adam (USA),YIANGOU Marios (CYP),HUGH Adam
World Team Table Tennis Championships Dortmund 2012,2012-03-25,LANDERS Michael,HRISTONOV Hristo,3,2,"6,10,11,11,15|11,12,5,3,13",,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,LANDERS Michael (USA),HRISTONOV Hristo (CYP),LANDERS Michael
World Team Table Tennis Championships Dortmund 2012,2012-03-25,OLIVARES Felipe,SANTIWATTANATARM Tanapol,3,0,"11,11,11|6,3,7",,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,OLIVARES Felipe (CHI),SANTIWATTANATARM Tanapol (THA),OLIVARES Felipe
World Team Table Tennis Championships Dortmund 2012,2012-03-25,UDOMSILP Chanakarn,CONTRERAS Matias,3,2,"11,11,13,12,11|5,9,15,14,7",,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,UDOMSILP Chanakarn (THA),CONTRERAS Matias (CHI),UDOMSILP Chanakarn
World Team Table Tennis Championships Dortmund 2012,2012-03-25,PRASERTSRI Suriya,ROMAN Sebastian,3,1,"10,11,11,11|12,9,6,4",,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,PRASERTSRI Suriya (THA),ROMAN Sebastian (CHI),PRASERTSRI Suriya
World Team Table Tennis Championships Dortmund 2012,2012-03-25,OLIVARES Felipe,UDOMSILP Chanakarn,3,0,"11,11,11|5,8,4",,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,OLIVARES Felipe (CHI),UDOMSILP Chanakarn (THA),OLIVARES Felipe
World Team Table Tennis Championships Dortmund 2012,2012-03-25,SANTIWATTANATARM Tanapol,CONTRERAS Matias,3,1,"7,11,13,11|11,2,11,9",,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,SANTIWATTANATARM Tanapol (THA),CONTRERAS Matias (CHI),SANTIWATTANATARM Tanapol
World Team Table Tennis Championships Dortmund 2012,2012-03-25,MOHLER Nicola,AGURJANOVS Vladislavs,3,0,"11,11,13|8,6,11",,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,MOHLER Nicola (SUI),AGURJANOVS Vladislavs (LAT),MOHLER Nicola
World Team Table Tennis Championships Dortmund 2012,2012-03-25,BURGIS Matiss,TRUMMLER Linus,3,1,"10,11,11,11|12,9,6,5",,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,BURGIS Matiss (LAT),TRUMMLER Linus (SUI),BURGIS Matiss
World Team Table Tennis Championships Dortmund 2012,2012-03-25,WEBER Lionel,VASILJEVS Sandijs,3,1,"12,7,11,11|10,11,9,6",,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,WEBER Lionel (SUI),VASILJEVS Sandijs (LAT),WEBER Lionel
World Team Table Tennis Championships Dortmund 2012,2012-03-25,BURGIS Matiss,MOHLER Nicola,3,0,"11,11,11|7,5,8",,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,BURGIS Matiss (LAT),MOHLER Nicola (SUI),BURGIS Matiss
World Team Table Tennis Championships Dortmund 2012,2012-03-25,TRUMMLER Linus,AGURJANOVS Vladislavs,3,1,"11,7,11,11|6,11,5,7",,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,TRUMMLER Linus (SUI),AGURJANOVS Vladislavs (LAT),TRUMMLER Linus
World Team Table Tennis Championships Dortmund 2012,2012-03-25,IBRAHIM Muhd Shakirin,TORANZOS Alejandro,3,1,"12,11,8,11|10,6,11,4",,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,IBRAHIM Muhd Shakirin (MAS),TORANZOS Alejandro (PAR),IBRAHIM Muhd Shakirin
World Team Table Tennis Championships Dortmund 2012,2012-03-25,AGUIRRE Marcelo,CHAI Kian Beng,3,0,"11,13,11|5,11,5",,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,AGUIRRE Marcelo (PAR),CHAI Kian Beng (MAS),AGUIRRE Marcelo
World Team Table Tennis Championships Dortmund 2012,2012-03-25,OSORIO Santiago,FOO Dunley,3,2,"11,7,11,6,12|9,11,6,11,10",,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,OSORIO Santiago (PAR),FOO Dunley (MAS),OSORIO Santiago
World Team Table Tennis Championships Dortmund 2012,2012-03-25,AGUIRRE Marcelo,IBRAHIM Muhd Shakirin,3,0,"11,11,11|6,7,4",,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,AGUIRRE Marcelo (PAR),IBRAHIM Muhd Shakirin (MAS),AGUIRRE Marcelo
World Team Table Tennis Championships Dortmund 2012,2012-03-25,LIN Ju,HUGH Adam,3,0,"11,11,11|8,7,7",,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,LIN Ju (DOM),HUGH Adam (USA),LIN Ju
World Team Table Tennis Championships Dortmund 2012,2012-03-25,VILA BATISTA Juan,WANG Timothy,3,0,"11,11,11|4,4,4",,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,VILA BATISTA Juan (DOM),WANG Timothy (USA),VILA BATISTA Juan
World Team Table Tennis Championships Dortmund 2012,2012-03-25,SANTOS Emil,REED Barney,3,0,"14,11,11|12,5,4",,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,SANTOS Emil (DOM),REED Barney (USA),SANTOS Emil
World Team Table Tennis Championships Dortmund 2012,2012-03-25,MIKUTIS Tomas,PRASERTSRI Suriya,3,0,"11,11,11|2,5,7",,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,MIKUTIS Tomas (LTU),PRASERTSRI Suriya (THA),MIKUTIS Tomas
World Team Table Tennis Championships Dortmund 2012,2012-03-25,UDRA Alfredas,UDOMSILP Chanakarn,3,2,"5,11,11,7,11|11,9,9,11,9",,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,UDRA Alfredas (LTU),UDOMSILP Chanakarn (THA),UDRA Alfredas
World Team Table Tennis Championships Dortmund 2012,2012-03-25,ZEIMYS Kestutis,SANTIWATTANATARM Tanapol,3,0,"11,11,11|7,7,6",,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,ZEIMYS Kestutis (LTU),SANTIWATTANATARM Tanapol (THA),ZEIMYS Kestutis
World Team Table Tennis Championships Dortmund 2012,2012-03-25,AGUIRRE Marcelo,TRUMMLER Linus,3,0,"11,11,11|4,7,6",,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,AGUIRRE Marcelo (PAR),TRUMMLER Linus (SUI),AGUIRRE Marcelo
World Team Table Tennis Championships Dortmund 2012,2012-03-25,MOHLER Nicola,TORANZOS Alejandro,3,1,"11,9,11,11|8,11,4,5",,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,MOHLER Nicola (SUI),TORANZOS Alejandro (PAR),MOHLER Nicola
World Team Table Tennis Championships Dortmund 2012,2012-03-25,WEBER Lionel,OSORIO Santiago,3,0,"11,11,11|5,7,7",,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,WEBER Lionel (SUI),OSORIO Santiago (PAR),WEBER Lionel
World Team Table Tennis Championships Dortmund 2012,2012-03-25,AGUIRRE Marcelo,MOHLER Nicola,3,1,"11,11,7,11|6,8,11,7",,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,AGUIRRE Marcelo (PAR),MOHLER Nicola (SUI),AGUIRRE Marcelo
World Team Table Tennis Championships Dortmund 2012,2012-03-25,TORANZOS Alejandro,TRUMMLER Linus,3,1,"12,4,13,11|10,11,11,3",,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,TORANZOS Alejandro (PAR),TRUMMLER Linus (SUI),TORANZOS Alejandro
World Team Table Tennis Championships Dortmund 2012,2012-03-25,MIKUTIS Tomas,SANTOS Emil,3,0,"11,11,11|8,9,5",,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,MIKUTIS Tomas (LTU),SANTOS Emil (DOM),MIKUTIS Tomas
World Team Table Tennis Championships Dortmund 2012,2012-03-25,LIN Ju,UDRA Alfredas,3,1,"11,11,8,11|9,4,11,9",,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,LIN Ju (DOM),UDRA Alfredas (LTU),LIN Ju
World Team Table Tennis Championships Dortmund 2012,2012-03-25,ZEIMYS Kestutis,VILA BATISTA Juan,3,0,"13,11,11|11,3,5",,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,ZEIMYS Kestutis (LTU),VILA BATISTA Juan (DOM),ZEIMYS Kestutis
World Team Table Tennis Championships Dortmund 2012,2012-03-25,LIN Ju,MIKUTIS Tomas,3,1,"10,11,16,11|12,2,14,9",,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,LIN Ju (DOM),MIKUTIS Tomas (LTU),LIN Ju
World Team Table Tennis Championships Dortmund 2012,2012-03-25,SANTOS Emil,UDRA Alfredas,3,0,"11,11,13|6,9,11",,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,SANTOS Emil (DOM),UDRA Alfredas (LTU),SANTOS Emil
World Team Table Tennis Championships Dortmund 2012,2012-03-25,AGUIRRE Marcelo,SANTOS Emil,3,2,"7,13,14,11,11|11,11,12,13,8",,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,AGUIRRE Marcelo (PAR),SANTOS Emil (DOM),AGUIRRE Marcelo
World Team Table Tennis Championships Dortmund 2012,2012-03-25,VILA BATISTA Juan,TORANZOS Alejandro,3,1,"13,4,11,11|11,11,6,7",,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,VILA BATISTA Juan (DOM),TORANZOS Alejandro (PAR),VILA BATISTA Juan
World Team Table Tennis Championships Dortmund 2012,2012-03-25,OSORIO Santiago,GALVEZ Samuel,3,2,"9,11,3,11,11|11,6,11,6,9",,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,OSORIO Santiago (PAR),GALVEZ Samuel (DOM),OSORIO Santiago
World Team Table Tennis Championships Dortmund 2012,2012-03-25,AGUIRRE Marcelo,VILA BATISTA Juan,3,1,"9,11,11,11|11,2,3,2",,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,AGUIRRE Marcelo (PAR),VILA BATISTA Juan (DOM),AGUIRRE Marcelo
World Team Table Tennis Championships Dortmund 2012,2012-03-25,MOHLER Nicola,UDRA Alfredas,3,1,"13,9,11,13|11,11,6,11",,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,MOHLER Nicola (SUI),UDRA Alfredas (LTU),MOHLER Nicola
World Team Table Tennis Championships Dortmund 2012,2012-03-25,MIKUTIS Tomas,WEBER Lionel,3,0,"11,11,11|6,4,8",,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,MIKUTIS Tomas (LTU),WEBER Lionel (SUI),MIKUTIS Tomas
World Team Table Tennis Championships Dortmund 2012,2012-03-25,ZEIMYS Kestutis,TRUMMLER Linus,3,1,"7,11,11,15|11,8,9,13",,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,ZEIMYS Kestutis (LTU),TRUMMLER Linus (SUI),ZEIMYS Kestutis
World Team Table Tennis Championships Dortmund 2012,2012-03-25,MIKUTIS Tomas,MOHLER Nicola,3,2,"2,11,11,5,11|11,3,7,11,8",,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,MIKUTIS Tomas (LTU),MOHLER Nicola (SUI),MIKUTIS Tomas
World Team Table Tennis Championships Dortmund 2012,2012-03-25,IBRAHIM Muhd Shakirin,AGURJANOVS Vladislavs,3,2,"9,11,11,7,11|11,8,8,11,9",,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,IBRAHIM Muhd Shakirin (MAS),AGURJANOVS Vladislavs (LAT),IBRAHIM Muhd Shakirin
World Team Table Tennis Championships Dortmund 2012,2012-03-25,KARTUZOVS Olegs,CHAI Kian Beng,3,2,"10,11,9,11,11|12,8,11,9,6",,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,KARTUZOVS Olegs (LAT),CHAI Kian Beng (MAS),KARTUZOVS Olegs
World Team Table Tennis Championships Dortmund 2012,2012-03-25,BURGIS Matiss,FOO Dunley,3,0,"11,11,11|2,5,3",,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,BURGIS Matiss (LAT),FOO Dunley (MAS),BURGIS Matiss
World Team Table Tennis Championships Dortmund 2012,2012-03-25,KARTUZOVS Olegs,IBRAHIM Muhd Shakirin,3,0,"11,11,14|9,6,12",,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,KARTUZOVS Olegs (LAT),IBRAHIM Muhd Shakirin (MAS),KARTUZOVS Olegs
World Team Table Tennis Championships Dortmund 2012,2012-03-25,REED Barney,PRASERTSRI Suriya,3,0,"11,11,11|5,6,8",,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,REED Barney (USA),PRASERTSRI Suriya (THA),REED Barney
World Team Table Tennis Championships Dortmund 2012,2012-03-25,WANG Timothy,CHAITAT Chaisit,3,1,"11,11,3,11|9,8,11,4",,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,WANG Timothy (USA),CHAITAT Chaisit (THA),WANG Timothy
World Team Table Tennis Championships Dortmund 2012,2012-03-25,LI Grant,SANTIWATTANATARM Tanapol,3,2,"11,11,10,6,11|3,6,12,11,5",,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,LI Grant (USA),SANTIWATTANATARM Tanapol (THA),LI Grant
World Team Table Tennis Championships Dortmund 2012,2012-03-25,LI Grant,KARTUZOVS Olegs,3,2,"8,11,11,8,11|11,2,9,11,7",,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,LI Grant (USA),KARTUZOVS Olegs (LAT),LI Grant
World Team Table Tennis Championships Dortmund 2012,2012-03-25,WANG Timothy,AGURJANOVS Vladislavs,3,2,"11,8,11,5,11|8,11,6,11,6",,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,WANG Timothy (USA),AGURJANOVS Vladislavs (LAT),WANG Timothy
World Team Table Tennis Championships Dortmund 2012,2012-03-25,BURGIS Matiss,REED Barney,3,1,"11,11,7,11|8,6,11,7",,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,BURGIS Matiss (LAT),REED Barney (USA),BURGIS Matiss
World Team Table Tennis Championships Dortmund 2012,2012-03-25,WANG Timothy,KARTUZOVS Olegs,3,2,"11,8,6,11,11|6,11,11,5,5",,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,WANG Timothy (USA),KARTUZOVS Olegs (LAT),WANG Timothy
World Team Table Tennis Championships Dortmund 2012,2012-03-25,UDOMSILP Chanakarn,CHAI Kian Beng,3,2,"11,11,6,7,12|6,5,11,11,10",,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,UDOMSILP Chanakarn (THA),CHAI Kian Beng (MAS),UDOMSILP Chanakarn
World Team Table Tennis Championships Dortmund 2012,2012-03-25,SANTIWATTANATARM Tanapol,FOO Dunley,3,0,"11,11,12|5,8,10",,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,SANTIWATTANATARM Tanapol (THA),FOO Dunley (MAS),SANTIWATTANATARM Tanapol
World Team Table Tennis Championships Dortmund 2012,2012-03-25,WONGSIRI Nikom,IBRAHIM Muhd Shakirin,3,1,"11,11,10,11|9,9,12,6",,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,WONGSIRI Nikom (THA),IBRAHIM Muhd Shakirin (MAS),WONGSIRI Nikom
World Team Table Tennis Championships Dortmund 2012,2012-03-25,CHEAIB Dauud,LIBENE Toomas,3,0,"11,11,11|8,4,6",,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,CHEAIB Dauud (LBN),LIBENE Toomas (EST),CHEAIB Dauud
World Team Table Tennis Championships Dortmund 2012,2012-03-25,SMIRNOV Aleksandr,EL BOUBOU Rachid,3,2,"11,11,9,10,11|7,8,11,12,7",,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,SMIRNOV Aleksandr (EST),EL BOUBOU Rachid (LBN),SMIRNOV Aleksandr
World Team Table Tennis Championships Dortmund 2012,2012-03-25,MOUMJOGHLIAN Avo,VAINULA Vallot,3,0,,,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,MOUMJOGHLIAN Avo (LBN),VAINULA Vallot (EST),MOUMJOGHLIAN Avo
World Team Table Tennis Championships Dortmund 2012,2012-03-25,SMIRNOV Aleksandr,CHEAIB Dauud,3,1,"11,7,12,11|7,11,10,2",,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,SMIRNOV Aleksandr (EST),CHEAIB Dauud (LBN),SMIRNOV Aleksandr
World Team Table Tennis Championships Dortmund 2012,2012-03-25,LIBENE Toomas,EL BOUBOU Rachid,3,1,"6,11,11,11|11,6,2,7",,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,LIBENE Toomas (EST),EL BOUBOU Rachid (LBN),LIBENE Toomas
World Team Table Tennis Championships Dortmund 2012,2012-03-25,YIANGOU Marios,OLAVE Alfonso,3,0,"11,11,11|9,7,7",,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,YIANGOU Marios (CYP),OLAVE Alfonso (CHI),YIANGOU Marios
World Team Table Tennis Championships Dortmund 2012,2012-03-25,CONTRERAS Matias,HRISTONOV Hristo,3,2,"7,11,11,4,11|11,9,6,11,7",,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,CONTRERAS Matias (CHI),HRISTONOV Hristo (CYP),CONTRERAS Matias
World Team Table Tennis Championships Dortmund 2012,2012-03-25,YIANGOU Yiangos,ROMAN Sebastian,3,2,"11,7,11,8,11|6,11,9,11,9",,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,YIANGOU Yiangos (CYP),ROMAN Sebastian (CHI),YIANGOU Yiangos
World Team Table Tennis Championships Dortmund 2012,2012-03-25,YIANGOU Marios,CONTRERAS Matias,3,1,"9,11,11,11|11,4,8,4",,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,YIANGOU Marios (CYP),CONTRERAS Matias (CHI),YIANGOU Marios
World Team Table Tennis Championships Dortmund 2012,2012-03-25,SMIRNOV Aleksandr,HRISTONOV Hristo,3,0,"13,12,11|11,10,8",,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,SMIRNOV Aleksandr (EST),HRISTONOV Hristo (CYP),SMIRNOV Aleksandr
World Team Table Tennis Championships Dortmund 2012,2012-03-25,YIANGOU Marios,LIBENE Toomas,3,1,"11,11,9,11|2,8,11,7",,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,YIANGOU Marios (CYP),LIBENE Toomas (EST),YIANGOU Marios
World Team Table Tennis Championships Dortmund 2012,2012-03-25,YIANGOU Yiangos,VAINULA Vallot,3,0,,,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,YIANGOU Yiangos (CYP),VAINULA Vallot (EST),YIANGOU Yiangos
World Team Table Tennis Championships Dortmund 2012,2012-03-25,YIANGOU Marios,SMIRNOV Aleksandr,3,1,"11,11,6,11|7,2,11,8",,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,YIANGOU Marios (CYP),SMIRNOV Aleksandr (EST),YIANGOU Marios
World Team Table Tennis Championships Dortmund 2012,2012-03-25,CONTRERAS Matias,EL BOUBOU Rachid,3,2,"11,7,3,11,11|5,11,11,8,9",,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,CONTRERAS Matias (CHI),EL BOUBOU Rachid (LBN),CONTRERAS Matias
World Team Table Tennis Championships Dortmund 2012,2012-03-25,OLIVARES Felipe,CHEAIB Dauud,3,1,"12,11,6,11|10,7,11,7",,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,OLIVARES Felipe (CHI),CHEAIB Dauud (LBN),OLIVARES Felipe
World Team Table Tennis Championships Dortmund 2012,2012-03-25,OLAVE Alfonso,MOUMJOGHLIAN Avo,3,1,"11,11,9,11|9,6,11,5",,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,OLAVE Alfonso (CHI),MOUMJOGHLIAN Avo (LBN),OLAVE Alfonso
World Team Table Tennis Championships Dortmund 2012,2012-03-25,ALHAJJAI Waled Nasser,NTANDOU Stellin,3,0,"11,12,11|4,10,9",,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,ALHAJJAI Waled Nasser (QAT),NTANDOU Stellin (CGO),ALHAJJAI Waled Nasser
World Team Table Tennis Championships Dortmund 2012,2012-03-25,SAKA Suraju,ALMUGHANNE Fahed,3,2,"11,11,2,11,11|8,13,11,6,4",,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,SAKA Suraju (CGO),ALMUGHANNE Fahed (QAT),SAKA Suraju
World Team Table Tennis Championships Dortmund 2012,2012-03-25,SHEMET German,MAVOUNGOU Benoit,3,1,"8,11,11,11|11,8,9,9",,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,SHEMET German (QAT),MAVOUNGOU Benoit (CGO),SHEMET German
World Team Table Tennis Championships Dortmund 2012,2012-03-25,ALHAJJAI Waled Nasser,SAKA Suraju,3,1,"12,11,10,11|10,8,12,6",,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,ALHAJJAI Waled Nasser (QAT),SAKA Suraju (CGO),ALHAJJAI Waled Nasser
World Team Table Tennis Championships Dortmund 2012,2012-03-25,MCCREERY Paul,OVERMEYER Shane,3,1,"12,11,11,11|14,7,9,7",,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,MCCREERY Paul (IRL),OVERMEYER Shane (RSA),MCCREERY Paul
World Team Table Tennis Championships Dortmund 2012,2012-03-25,MAGUIRE Gavin,ABRAHAMS Luke,3,1,"11,11,6,11|7,6,11,6",,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,MAGUIRE Gavin (IRL),ABRAHAMS Luke (RSA),MAGUIRE Gavin
World Team Table Tennis Championships Dortmund 2012,2012-03-25,LINGEVELDT Kurt,MURPHY John,3,0,"11,11,15|9,8,13",,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,LINGEVELDT Kurt (RSA),MURPHY John (IRL),LINGEVELDT Kurt
World Team Table Tennis Championships Dortmund 2012,2012-03-25,MCCREERY Paul,ABRAHAMS Luke,3,1,"11,4,11,11|5,11,1,5",,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,MCCREERY Paul (IRL),ABRAHAMS Luke (RSA),MCCREERY Paul
World Team Table Tennis Championships Dortmund 2012,2012-03-25,CEKIC Irfan,ALRASHIDI Faisal,3,0,"11,11,11|4,7,6",,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,CEKIC Irfan (MNE),ALRASHIDI Faisal (KSA),CEKIC Irfan
World Team Table Tennis Championships Dortmund 2012,2012-03-25,AL-JADAI Naif,BAKIC Luka,3,2,"8,11,11,12,11|11,8,6,14,7",,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,AL-JADAI Naif (KSA),BAKIC Luka (MNE),AL-JADAI Naif
World Team Table Tennis Championships Dortmund 2012,2012-03-25,AL-GHAMDI Akram,BULATOVIC Dusan,3,0,"11,11,11|6,2,1",,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,AL-GHAMDI Akram (KSA),BULATOVIC Dusan (MNE),AL-GHAMDI Akram
World Team Table Tennis Championships Dortmund 2012,2012-03-25,AL-JADAI Naif,CEKIC Irfan,3,1,"8,11,11,11|11,7,5,3",,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,AL-JADAI Naif (KSA),CEKIC Irfan (MNE),AL-JADAI Naif
World Team Table Tennis Championships Dortmund 2012,2012-03-25,URIBE Salvador,VANNUCCI Marco,3,0,"11,11,11|4,9,9",,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,URIBE Salvador (MEX),VANNUCCI Marco (SMR),URIBE Salvador
World Team Table Tennis Championships Dortmund 2012,2012-03-25,MADRID Marcos,BERARDI Mattia,3,0,"11,11,11|8,4,6",,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,MADRID Marcos (MEX),BERARDI Mattia (SMR),MADRID Marcos
World Team Table Tennis Championships Dortmund 2012,2012-03-25,MUNOZ Guillermo,TENTONI Riccardo,3,0,"11,11,11|7,7,7",,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,MUNOZ Guillermo (MEX),TENTONI Riccardo (SMR),MUNOZ Guillermo
World Team Table Tennis Championships Dortmund 2012,2012-03-25,ALBAHAR Mohamed,ALMUGHANNE Fahed,3,1,"11,4,11,11|8,11,7,3",,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,ALBAHAR Mohamed (UAE),ALMUGHANNE Fahed (QAT),ALBAHAR Mohamed
World Team Table Tennis Championships Dortmund 2012,2012-03-25,OMAR Rashid,ALHAJJAI Waled Nasser,3,1,"8,11,11,11|11,9,8,9",,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,OMAR Rashid (UAE),ALHAJJAI Waled Nasser (QAT),OMAR Rashid
World Team Table Tennis Championships Dortmund 2012,2012-03-25,SHEMET German,HASSAN Rashed,3,2,"7,6,11,11,11|11,11,6,9,4",,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,SHEMET German (QAT),HASSAN Rashed (UAE),SHEMET German
World Team Table Tennis Championships Dortmund 2012,2012-03-25,ALMUGHANNE Fahed,OMAR Rashid,3,1,"11,2,11,11|8,11,9,2",,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,ALMUGHANNE Fahed (QAT),OMAR Rashid (UAE),ALMUGHANNE Fahed
World Team Table Tennis Championships Dortmund 2012,2012-03-25,ALHAJJAI Waled Nasser,ALBAHAR Mohamed,3,0,"11,11,11|5,2,7",,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,ALHAJJAI Waled Nasser (QAT),ALBAHAR Mohamed (UAE),ALHAJJAI Waled Nasser
World Team Table Tennis Championships Dortmund 2012,2012-03-25,ECHAVARRIA Alexander,MAGUIRE Gavin,3,1,"11,8,14,11|6,11,12,7",,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,ECHAVARRIA Alexander (COL),MAGUIRE Gavin (IRL),ECHAVARRIA Alexander
World Team Table Tennis Championships Dortmund 2012,2012-03-25,MCCREERY Paul,RAMOS Julian,3,2,"6,11,5,11,11|11,8,11,8,6",,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,MCCREERY Paul (IRL),RAMOS Julian (COL),MCCREERY Paul
World Team Table Tennis Championships Dortmund 2012,2012-03-25,MURPHY John,FERNANDEZ Favert,3,2,"9,4,11,13,11|11,11,7,11,6",,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,MURPHY John (IRL),FERNANDEZ Favert (COL),MURPHY John
