tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
World Team Table Tennis Championships Dortmund 2012,2012-03-25,MA Long,LASAN Sas,3,0,"11,11,11|5,7,4",GROUP,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,MA Long (CHN),LASAN Sas (SLO),MA Long
World Team Table Tennis Championships Dortmund 2012,2012-03-25,MA Lin,ZIBRAT Jan,3,0,"11,11,11|6,3,8",GROUP,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,MA Lin (CHN),ZIBRAT Jan (SLO),MA Lin
World Team Table Tennis Championships Dortmund 2012,2012-03-25,XU Xin,HORVAT Mitja,3,0,"11,11,11|7,6,6",GROUP,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,XU Xin (CHN),HORVAT Mitja (SLO),XU Xin
World Team Table Tennis Championships Dortmund 2012,2012-03-25,JIANG Tianyi,KIM Hyok Bong,3,2,"7,12,4,13,11|11,10,11,11,9",GROUP,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,JIANG Tianyi (HKG),KIM Hyok Bong (PRK),JIANG Tianyi
World Team Table Tennis Championships Dortmund 2012,2012-03-25,LEUNG Chu Yan,JANG Song Man,3,0,"11,13,11|7,11,5",GROUP,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,LEUNG Chu Yan (HKG),JANG Song Man (PRK),LEUNG Chu Yan
World Team Table Tennis Championships Dortmund 2012,2012-03-25,TANG Peng,KIM Chol Jin,3,0,"11,11,11|8,6,6",GROUP,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,TANG Peng (HKG),KIM Chol Jin (PRK),TANG Peng
World Team Table Tennis Championships Dortmund 2012,2012-03-25,LUNDQVIST Jens,KREANGA Kalinikos,3,1,"4,11,11,11|11,8,4,9",GROUP,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,LUNDQVIST Jens (SWE),KREANGA Kalinikos (GRE),LUNDQVIST Jens
World Team Table Tennis Championships Dortmund 2012,2012-03-25,GERELL Par,GIONIS Panagiotis,3,0,"11,11,11|7,9,8",GROUP,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,GERELL Par (SWE),GIONIS Panagiotis (GRE),GERELL Par
World Team Table Tennis Championships Dortmund 2012,2012-03-25,PERSSON Jorgen,PAPAGEORGIOU Konstantinos,3,1,"12,9,11,11|10,11,9,5",GROUP,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,PERSSON Jorgen (SWE),PAPAGEORGIOU Konstantinos (GRE),PERSSON Jorgen
World Team Table Tennis Championships Dortmund 2012,2012-03-25,BOLL Timo,PROKOPCOV Dmitrij,3,0,"12,11,11|10,4,5",GROUP,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,BOLL Timo (GER),PROKOPCOV Dmitrij (CZE),BOLL Timo
World Team Table Tennis Championships Dortmund 2012,2012-03-25,OVTCHAROV Dimitrij,GAVLAS Antonin,3,0,"11,11,11|6,8,7",GROUP,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,OVTCHAROV Dimitrij (GER),GAVLAS Antonin (CZE),OVTCHAROV Dimitrij
World Team Table Tennis Championships Dortmund 2012,2012-03-25,BAUM Patrick,KORBEL Petr,3,2,"11,9,6,11,11|4,11,11,7,2",GROUP,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,BAUM Patrick (GER),KORBEL Petr (CZE),BAUM Patrick
World Team Table Tennis Championships Dortmund 2012,2012-03-25,FREITAS Marcos,JEVTOVIC Marko,3,1,"11,11,10,11|8,6,12,2",GROUP,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,FREITAS Marcos (POR),JEVTOVIC Marko (SRB),FREITAS Marcos
World Team Table Tennis Championships Dortmund 2012,2012-03-25,MONTEIRO Joao,KARAKASEVIC Aleksandar,3,1,"11,12,11,11|9,10,13,9",GROUP,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,MONTEIRO Joao (POR),KARAKASEVIC Aleksandar (SRB),MONTEIRO Joao
World Team Table Tennis Championships Dortmund 2012,2012-03-25,SILVA Andre,PETO Zsolt,3,2,"11,7,11,9,11|9,11,9,11,6",GROUP,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,SILVA Andre (POR),PETO Zsolt (SRB),SILVA Andre
World Team Table Tennis Championships Dortmund 2012,2012-03-25,GAO Ning,HE Zhiwen,3,1,"11,11,10,11|6,8,12,7",GROUP,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,GAO Ning (SGP),HE Zhiwen (ESP),GAO Ning
World Team Table Tennis Championships Dortmund 2012,2012-03-25,MACHADO Carlos,YANG Zi,3,2,"5,11,10,11,11|11,9,12,6,5",GROUP,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,MACHADO Carlos (ESP),YANG Zi (SGP),MACHADO Carlos
World Team Table Tennis Championships Dortmund 2012,2012-03-25,PANG Xue Jie,CANTERO Jesus,3,2,"6,12,11,8,11|11,10,3,11,8",GROUP,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,PANG Xue Jie (SGP),CANTERO Jesus (ESP),PANG Xue Jie
World Team Table Tennis Championships Dortmund 2012,2012-03-25,MACHADO Carlos,GAO Ning,3,1,"11,7,11,11|6,11,9,2",GROUP,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,MACHADO Carlos (ESP),GAO Ning (SGP),MACHADO Carlos
World Team Table Tennis Championships Dortmund 2012,2012-03-25,YANG Zi,HE Zhiwen,3,2,"11,11,11,9,11|9,9,13,11,8",GROUP,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,YANG Zi (SGP),HE Zhiwen (ESP),YANG Zi
World Team Table Tennis Championships Dortmund 2012,2012-03-25,BOLL Timo,MACHADO Carlos,3,0,"11,11,11|7,5,5",GROUP,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,BOLL Timo (GER),MACHADO Carlos (ESP),BOLL Timo
