tournament,date,player_a,player_b,country_a,country_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,player_x_raw,player_y_raw,result_raw,games_raw,winner_raw,year_raw
2020 ITTF Finals Zhengzhou 2020,2020-11-19,SUH Hyo Won,ISHIKAWA Kasumi,KOR,JPN,4,1,"11,3,11,11,11|8,11,9,5,5",R16,GRAND_SLAM,WS,2266,Main Draw,SUH Hyo Won (KOR),ISHIKAWA Kasumi (JPN),,,1 - 4,8:11 11:3 9:11 5:11 5:11,SUH Hyo Won,2020
2020 ITTF Finals Zhengzhou 2020,2020-11-19,XU Xin,LIN Yun-Ju,CHN,TPE,4,2,"11,11,9,7,11,11|7,8,11,11,2,3",QF,GRAND_SLAM,MS,2266,Main Draw,XU Xin (CHN),LIN Yun-Ju (TPE),,,2 - 4,7:11 8:11 11:9 11:7 2:11 3:11,XU Xin,2020
2020 ITTF Finals Zhengzhou 2020,2020-11-19,JANG Woojin,LIN Gaoyuan,KOR,CHN,4,3,"11,10,1,11,12,8,11|7,12,11,7,10,11,6",QF,GRAND_SLAM,MS,2266,Main Draw,JANG Woojin (KOR),LIN Gaoyuan (CHN),,,3 - 4,7:11 12:10 11:1 7:11 10:12 11:8 6:11,JANG Woojin,2020
2020 ITTF Finals Zhengzhou 2020,2020-11-19,CHEN Meng,SUN Yingsha,CHN,CHN,4,0,"11,11,11,12|9,8,8,10",SF,GRAND_SLAM,WS,2266,Main Draw,CHEN Meng (CHN),SUN Yingsha (CHN),,,4 - 0,11:9 11:8 11:8 12:10,CHEN Meng,2020
2020 ITTF Finals Zhengzhou 2020,2020-11-19,FAN Zhendong,JANG Woojin,CHN,KOR,4,1,"11,11,13,11,11|8,4,15,8,5",SF,GRAND_SLAM,MS,2266,Main Draw,FAN Zhendong (CHN),JANG Woojin (KOR),,,4 - 1,11:8 11:4 13:15 11:8 11:5,FAN Zhendong,2020
2020 ITTF Finals Zhengzhou 2020,2020-11-19,WANG Manyu,ITO Mima,CHN,JPN,4,0,"11,11,11,11|3,4,9,6",SF,GRAND_SLAM,WS,2266,Main Draw,WANG Manyu (CHN),ITO Mima (JPN),,,4 - 0,11:3 11:4 11:9 11:6,WANG Manyu,2020
2020 ITTF Finals Zhengzhou 2020,2020-11-19,MA Long,XU Xin,CHN,CHN,4,1,"11,11,11,11,11|13,9,9,8,7",SF,GRAND_SLAM,MS,2266,Main Draw,MA Long (CHN),XU Xin (CHN),,,4 - 1,11:13 11:9 11:9 11:8 11:7,MA Long,2020
2020 ITTF Finals Zhengzhou 2020,2020-11-19,CHEN Meng,WANG Manyu,CHN,CHN,4,1,"11,11,14,11,11|9,13,12,8,5",F,GRAND_SLAM,WS,2266,Main Draw,CHEN Meng (CHN),WANG Manyu (CHN),,,4 - 1,11:9 11:13 14:12 11:8 11:5,CHEN Meng,2020
2020 ITTF Finals Zhengzhou 2020,2020-11-19,MA Long,FAN Zhendong,CHN,CHN,4,1,"13,11,12,9,11|11,7,10,11,8",F,GRAND_SLAM,MS,2266,Main Draw,MA Long (CHN),FAN Zhendong (CHN),,,1 - 4,11:13 7:11 10:12 11:9 8:11,MA Long,2020
Dishang 2020 ITTF Men’s World Cup Weihai 2020,2020-11-13,PITCHFORD Liam,CHUANG Chih-Yuan,ENG,TPE,4,1,"9,11,11,13,13|11,6,8,11,11",QUAL,WORLD_CUP,MS,2265,Qualification,PITCHFORD Liam (ENG),CHUANG Chih-Yuan (TPE),,,4 - 1,9:11 11:6 11:8 13:11 13:11,PITCHFORD Liam,2020
Dishang 2020 ITTF Men’s World Cup Weihai 2020,2020-11-13,JANG Woojin,TSUBOI Gustavo,KOR,BRA,4,0,"11,13,11,11|9,11,5,6",QUAL,WORLD_CUP,MS,2265,Qualification,JANG Woojin (KOR),TSUBOI Gustavo (BRA),,,4 - 0,11:9 13:11 11:5 11:6,JANG Woojin,2020
Dishang 2020 ITTF Men’s World Cup Weihai 2020,2020-11-13,JEOUNG Youngsik,PUCAR Tomislav,KOR,CRO,4,0,"11,11,11,13|9,8,9,11",QUAL,WORLD_CUP,MS,2265,Qualification,JEOUNG Youngsik (KOR),PUCAR Tomislav (CRO),,,4 - 0,11:9 11:8 11:9 13:11,JEOUNG Youngsik,2020
Dishang 2020 ITTF Men’s World Cup Weihai 2020,2020-11-13,WONG Chun Ting,SALEH Ahmed,HKG,EGY,4,0,"11,11,11,11|6,8,4,2",QUAL,WORLD_CUP,MS,2265,Qualification,WONG Chun Ting (HKG),SALEH Ahmed (EGY),,,4 - 0,11:6 11:8 11:4 11:2,WONG Chun Ting,2020
Dishang 2020 ITTF Men’s World Cup Weihai 2020,2020-11-13,FRANZISKA Patrick,JORGIC Darko,GER,SLO,4,0,"11,11,11,11|6,5,6,6",QUAL,WORLD_CUP,MS,2265,Qualification,FRANZISKA Patrick (GER),JORGIC Darko (SLO),,,4 - 0,11:6 11:5 11:6 11:6,FRANZISKA Patrick,2020
Dishang 2020 ITTF Men’s World Cup Weihai 2020,2020-11-13,PITCHFORD Liam,JHA Kanak,ENG,USA,4,3,"7,11,13,11,11,10,11|11,4,15,5,5,12,4",QUAL,WORLD_CUP,MS,2265,Qualification,PITCHFORD Liam (ENG),JHA Kanak (USA),,,4 - 3,7:11 11:4 13:15 11:5 11:5 10:12 11:4,PITCHFORD Liam,2020
Dishang 2020 ITTF Men’s World Cup Weihai 2020,2020-11-13,JANG Woojin,GARDOS Robert,KOR,AUT,4,2,"4,11,11,8,11,11|11,7,7,11,9,7",QUAL,WORLD_CUP,MS,2265,Qualification,JANG Woojin (KOR),GARDOS Robert (AUT),,,4 - 2,4:11 11:7 11:7 8:11 11:9 11:7,JANG Woojin,2020
Dishang 2020 ITTF Men’s World Cup Weihai 2020,2020-11-13,WONG Chun Ting,JEOUNG Youngsik,HKG,KOR,4,2,"11,10,12,11,7,12|9,12,10,7,11,10",QUAL,WORLD_CUP,MS,2265,Qualification,WONG Chun Ting (HKG),JEOUNG Youngsik (KOR),,,2 - 4,9:11 12:10 10:12 7:11 11:7 10:12,WONG Chun Ting,2020
Dishang 2020 ITTF Men’s World Cup Weihai 2020,2020-11-13,PUCAR Tomislav,SALEH Ahmed,CRO,EGY,4,2,"9,11,11,8,13,11|11,1,8,11,11,5",QUAL,WORLD_CUP,MS,2265,Qualification,PUCAR Tomislav (CRO),SALEH Ahmed (EGY),,,4 - 2,9:11 11:1 11:8 8:11 13:11 11:5,PUCAR Tomislav,2020
Dishang 2020 ITTF Men’s World Cup Weihai 2020,2020-11-13,FRANZISKA Patrick,ARUNA Quadri,GER,NGR,4,1,"11,11,11,12,11|9,5,8,14,8",QUAL,WORLD_CUP,MS,2265,Qualification,FRANZISKA Patrick (GER),ARUNA Quadri (NGR),,,4 - 1,11:9 11:5 11:8 12:14 11:8,FRANZISKA Patrick,2020
Dishang 2020 ITTF Men’s World Cup Weihai 2020,2020-11-13,GARDOS Robert,TSUBOI Gustavo,AUT,BRA,4,1,"11,11,11,7,13|7,8,6,11,11",QUAL,WORLD_CUP,MS,2265,Qualification,GARDOS Robert (AUT),TSUBOI Gustavo (BRA),,,4 - 1,11:7 11:8 11:6 7:11 13:11,GARDOS Robert,2020
Dishang 2020 ITTF Men’s World Cup Weihai 2020,2020-11-13,CHUANG Chih-Yuan,JHA Kanak,TPE,USA,4,3,"10,11,11,11,6,8,14|12,7,3,7,11,11,12",QUAL,WORLD_CUP,MS,2265,Qualification,CHUANG Chih-Yuan (TPE),JHA Kanak (USA),,,3 - 4,12:10 7:11 3:11 7:11 11:6 11:8 12:14,CHUANG Chih-Yuan,2020
Dishang 2020 ITTF Men’s World Cup Weihai 2020,2020-11-13,WONG Chun Ting,PUCAR Tomislav,HKG,CRO,4,2,"11,11,14,9,19,11|6,8,12,11,21,9",QUAL,WORLD_CUP,MS,2265,Qualification,WONG Chun Ting (HKG),PUCAR Tomislav (CRO),,,4 - 2,11:6 11:8 14:12 9:11 19:21 11:9,WONG Chun Ting,2020
Dishang 2020 ITTF Men’s World Cup Weihai 2020,2020-11-13,JEOUNG Youngsik,SALEH Ahmed,KOR,EGY,4,0,"11,11,11,11|6,6,3,6",QUAL,WORLD_CUP,MS,2265,Qualification,JEOUNG Youngsik (KOR),SALEH Ahmed (EGY),,,4 - 0,11:6 11:6 11:3 11:6,JEOUNG Youngsik,2020
Dishang 2020 ITTF Men’s World Cup Weihai 2020,2020-11-13,JORGIC Darko,ARUNA Quadri,SLO,NGR,4,2,"11,8,10,12,11,11|4,11,12,10,8,4",QUAL,WORLD_CUP,MS,2265,Qualification,JORGIC Darko (SLO),ARUNA Quadri (NGR),,,2 - 4,4:11 11:8 12:10 10:12 8:11 4:11,JORGIC Darko,2020
Dishang 2020 ITTF Men’s World Cup Weihai 2020,2020-11-13,MA Long,JORGIC Darko,CHN,SLO,4,2,"11,12,11,11,13,11|7,14,9,13,11,3",R16,WORLD_CUP,MS,2265,Main Draw,MA Long (CHN),JORGIC Darko (SLO),,,2 - 4,7:11 14:12 9:11 13:11 11:13 3:11,MA Long,2020
Dishang 2020 ITTF Men’s World Cup Weihai 2020,2020-11-13,OVTCHAROV Dimitrij,PITCHFORD Liam,GER,ENG,4,3,"12,9,4,11,13,11,11|10,11,11,5,11,13,7",R16,WORLD_CUP,MS,2265,Main Draw,OVTCHAROV Dimitrij (GER),PITCHFORD Liam (ENG),,,4 - 3,12:10 9:11 4:11 11:5 13:11 11:13 11:7,OVTCHAROV Dimitrij,2020
Dishang 2020 ITTF Men’s World Cup Weihai 2020,2020-11-13,HARIMOTO Tomokazu,GARDOS Robert,JPN,AUT,4,0,"11,11,12,11|3,7,10,8",R16,WORLD_CUP,MS,2265,Main Draw,HARIMOTO Tomokazu (JPN),GARDOS Robert (AUT),,,4 - 0,11:3 11:7 12:10 11:8,HARIMOTO Tomokazu,2020
Dishang 2020 ITTF Men’s World Cup Weihai 2020,2020-11-13,KARLSSON Mattias,WONG Chun Ting,SWE,HKG,4,3,"8,11,14,10,11,11,17|11,7,12,12,6,13,15",R16,WORLD_CUP,MS,2265,Main Draw,KARLSSON Mattias (SWE),WONG Chun Ting (HKG),,,3 - 4,11:8 7:11 12:14 12:10 6:11 13:11 15:17,KARLSSON Mattias,2020
Dishang 2020 ITTF Men’s World Cup Weihai 2020,2020-11-13,FAN Zhendong,CHUANG Chih-Yuan,CHN,TPE,4,0,"11,11,11,11|5,9,8,6",R16,WORLD_CUP,MS,2265,Main Draw,FAN Zhendong (CHN),CHUANG Chih-Yuan (TPE),,,4 - 0,11:5 11:9 11:8 11:6,FAN Zhendong,2020
Dishang 2020 ITTF Men’s World Cup Weihai 2020,2020-11-13,JEOUNG Youngsik,CALDERANO Hugo,KOR,BRA,4,2,"11,14,11,10,11,11|8,16,9,12,2,7",R16,WORLD_CUP,MS,2265,Main Draw,JEOUNG Youngsik (KOR),CALDERANO Hugo (BRA),,,4 - 2,11:8 14:16 11:9 10:12 11:2 11:7,JEOUNG Youngsik,2020
Dishang 2020 ITTF Men’s World Cup Weihai 2020,2020-11-13,LIN Yun-Ju,FRANZISKA Patrick,TPE,GER,4,2,"15,8,11,8,11,11|13,11,7,11,6,2",R16,WORLD_CUP,MS,2265,Main Draw,LIN Yun-Ju (TPE),FRANZISKA Patrick (GER),,,2 - 4,13:15 11:8 7:11 11:8 6:11 2:11,LIN Yun-Ju,2020
Dishang 2020 ITTF Men’s World Cup Weihai 2020,2020-11-13,JANG Woojin,NIWA Koki,KOR,JPN,4,3,"11,11,12,8,11,11,12|13,4,14,11,9,7,10",R16,WORLD_CUP,MS,2265,Main Draw,JANG Woojin (KOR),NIWA Koki (JPN),,,3 - 4,13:11 4:11 14:12 11:8 9:11 7:11 10:12,JANG Woojin,2020
Dishang 2020 ITTF Men’s World Cup Weihai 2020,2020-11-13,HARIMOTO Tomokazu,KARLSSON Mattias,JPN,SWE,4,1,"11,11,11,4,11|9,8,9,11,9",QF,WORLD_CUP,MS,2265,Main Draw,HARIMOTO Tomokazu (JPN),KARLSSON Mattias (SWE),,,4 - 1,11:9 11:8 11:9 4:11 11:9,HARIMOTO Tomokazu,2020
Dishang 2020 ITTF Men’s World Cup Weihai 2020,2020-11-13,MA Long,OVTCHAROV Dimitrij,CHN,GER,4,1,"11,11,11,7,11|9,4,7,11,5",QF,WORLD_CUP,MS,2265,Main Draw,MA Long (CHN),OVTCHAROV Dimitrij (GER),,,1 - 4,9:11 4:11 7:11 11:7 5:11,MA Long,2020
Dishang 2020 ITTF Men’s World Cup Weihai 2020,2020-11-13,FAN Zhendong,LIN Yun-Ju,CHN,TPE,4,2,"12,9,11,11,7,11|10,11,2,5,11,5",QF,WORLD_CUP,MS,2265,Main Draw,FAN Zhendong (CHN),LIN Yun-Ju (TPE),,,4 - 2,12:10 9:11 11:2 11:5 7:11 11:5,FAN Zhendong,2020
Dishang 2020 ITTF Men’s World Cup Weihai 2020,2020-11-13,JANG Woojin,JEOUNG Youngsik,KOR,KOR,4,2,"15,11,2,11,7,11|13,9,11,6,11,6",QF,WORLD_CUP,MS,2265,Main Draw,JANG Woojin (KOR),JEOUNG Youngsik (KOR),,,4 - 2,15:13 11:9 2:11 11:6 7:11 11:6,JANG Woojin,2020
Dishang 2020 ITTF Men’s World Cup Weihai 2020,2020-11-13,MA Long,HARIMOTO Tomokazu,CHN,JPN,4,3,"11,3,6,8,11,11,11|7,11,11,11,8,6,4",SF,WORLD_CUP,MS,2265,Main Draw,MA Long (CHN),HARIMOTO Tomokazu (JPN),,,3 - 4,7:11 11:3 11:6 11:8 8:11 6:11 4:11,MA Long,2020
Dishang 2020 ITTF Men’s World Cup Weihai 2020,2020-11-13,FAN Zhendong,JANG Woojin,CHN,KOR,4,0,"11,11,13,11|5,8,11,8",SF,WORLD_CUP,MS,2265,Main Draw,FAN Zhendong (CHN),JANG Woojin (KOR),,,4 - 0,11:5 11:8 13:11 11:8,FAN Zhendong,2020
Dishang 2020 ITTF Men’s World Cup Weihai 2020,2020-11-13,HARIMOTO Tomokazu,JANG Woojin,JPN,KOR,4,3,"7,7,11,11,14,6,11|11,11,9,6,12,11,5",2,WORLD_CUP,MS,2265,Position Draw,HARIMOTO Tomokazu (JPN),JANG Woojin (KOR),,,3 - 4,11:7 11:7 9:11 6:11 12:14 11:6 5:11,HARIMOTO Tomokazu,2020
Dishang 2020 ITTF Men’s World Cup Weihai 2020,2020-11-13,FAN Zhendong,MA Long,CHN,CHN,4,3,"3,11,11,11,7,7,11|11,8,3,6,11,11,9",F,WORLD_CUP,MS,2265,Main Draw,FAN Zhendong (CHN),MA Long (CHN),,,4 - 3,3:11 11:8 11:3 11:6 7:11 7:11 11:9,FAN Zhendong,2020
Dishang 2020 ITTF Women’s World Cup Weihai 2020,2020-11-08,PESOTSKA Margaryta,ZHANG Lily,UKR,USA,4,2,"15,11,11,7,3,12|13,6,5,11,11,10",QUAL,WORLD_CUP,WS,2263,Qualification,PESOTSKA Margaryta (UKR),ZHANG Lily (USA),,,2 - 4,13:15 6:11 5:11 11:7 11:3 10:12,PESOTSKA Margaryta,2020
Dishang 2020 ITTF Women’s World Cup Weihai 2020,2020-11-08,DIAZ Adriana,ZHANG Mo,PUR,CAN,4,1,"11,7,11,11,12|5,11,2,9,10",QUAL,WORLD_CUP,WS,2263,Qualification,DIAZ Adriana (PUR),ZHANG Mo (CAN),,,4 - 1,11:5 7:11 11:2 11:9 12:10,DIAZ Adriana,2020
Dishang 2020 ITTF Women’s World Cup Weihai 2020,2020-11-08,JEON Jihee,EERLAND Britt,KOR,NED,4,3,"7,13,13,13,7,11,11|11,15,11,11,11,9,9",QUAL,WORLD_CUP,WS,2263,Qualification,JEON Jihee (KOR),EERLAND Britt (NED),,,4 - 3,7:11 13:15 13:11 13:11 7:11 11:9 11:9,JEON Jihee,2020
Dishang 2020 ITTF Women’s World Cup Weihai 2020,2020-11-08,WU Yue,SOLJA Petrissa,USA,GER,4,3,"11,11,11,9,8,3,11|5,4,7,11,11,11,9",QUAL,WORLD_CUP,WS,2263,Qualification,WU Yue (USA),SOLJA Petrissa (GER),,,3 - 4,5:11 4:11 7:11 11:9 11:8 11:3 9:11,WU Yue,2020
Dishang 2020 ITTF Women’s World Cup Weihai 2020,2020-11-08,SUH Hyo Won,MESHREF Dina,KOR,EGY,4,1,"5,11,11,13,13|11,3,6,11,11",QUAL,WORLD_CUP,WS,2263,Qualification,SUH Hyo Won (KOR),MESHREF Dina (EGY),,,4 - 1,5:11 11:3 11:6 13:11 13:11,SUH Hyo Won,2020
Dishang 2020 ITTF Women’s World Cup Weihai 2020,2020-11-08,ZHANG Lily,DIAZ Adriana,USA,PUR,4,2,"11,7,11,11,12,11|13,11,9,9,10,5",QUAL,WORLD_CUP,WS,2263,Qualification,ZHANG Lily (USA),DIAZ Adriana (PUR),,,2 - 4,13:11 11:7 9:11 9:11 10:12 5:11,ZHANG Lily,2020
Dishang 2020 ITTF Women’s World Cup Weihai 2020,2020-11-08,HAN Ying,JEON Jihee,GER,KOR,4,0,"11,11,11,11|6,9,4,4",QUAL,WORLD_CUP,WS,2263,Qualification,HAN Ying (GER),JEON Jihee (KOR),,,0 - 4,6:11 9:11 4:11 4:11,HAN Ying,2020
Dishang 2020 ITTF Women’s World Cup Weihai 2020,2020-11-08,CHEN Szu-Yu,SOLJA Petrissa,TPE,GER,4,2,"8,11,11,9,11,11|11,2,9,11,5,9",QUAL,WORLD_CUP,WS,2263,Qualification,CHEN Szu-Yu (TPE),SOLJA Petrissa (GER),,,2 - 4,11:8 2:11 9:11 11:9 5:11 9:11,CHEN Szu-Yu,2020
Dishang 2020 ITTF Women’s World Cup Weihai 2020,2020-11-08,PESOTSKA Margaryta,ZHANG Mo,UKR,CAN,4,1,"11,11,11,16,11|2,6,13,14,4",QUAL,WORLD_CUP,WS,2263,Qualification,PESOTSKA Margaryta (UKR),ZHANG Mo (CAN),,,1 - 4,2:11 6:11 13:11 14:16 4:11,PESOTSKA Margaryta,2020
Dishang 2020 ITTF Women’s World Cup Weihai 2020,2020-11-08,SUH Hyo Won,SZOCS Bernadette,KOR,ROU,4,2,"8,11,11,13,8,11|11,3,9,11,11,7",QUAL,WORLD_CUP,WS,2263,Qualification,SUH Hyo Won (KOR),SZOCS Bernadette (ROU),,,4 - 2,8:11 11:3 11:9 13:11 8:11 11:7,SUH Hyo Won,2020
Dishang 2020 ITTF Women’s World Cup Weihai 2020,2020-11-08,DIAZ Adriana,PESOTSKA Margaryta,PUR,UKR,4,2,"11,10,11,9,12,11|9,12,7,11,10,8",QUAL,WORLD_CUP,WS,2263,Qualification,DIAZ Adriana (PUR),PESOTSKA Margaryta (UKR),,,4 - 2,11:9 10:12 11:7 9:11 12:10 11:8,DIAZ Adriana,2020
Dishang 2020 ITTF Women’s World Cup Weihai 2020,2020-11-08,HAN Ying,EERLAND Britt,GER,NED,4,0,"11,11,11,11|3,5,7,6",QUAL,WORLD_CUP,WS,2263,Qualification,HAN Ying (GER),EERLAND Britt (NED),,,4 - 0,11:3 11:5 11:7 11:6,HAN Ying,2020
Dishang 2020 ITTF Women’s World Cup Weihai 2020,2020-11-08,CHEN Szu-Yu,WU Yue,TPE,USA,4,3,"11,3,11,11,9,9,13|5,11,4,4,11,11,11",QUAL,WORLD_CUP,WS,2263,Qualification,CHEN Szu-Yu (TPE),WU Yue (USA),,,4 - 3,11:5 3:11 11:4 11:4 9:11 9:11 13:11,CHEN Szu-Yu,2020
Dishang 2020 ITTF Women’s World Cup Weihai 2020,2020-11-08,ZHANG Lily,ZHANG Mo,USA,CAN,4,3,"11,9,12,9,11,7,13|9,11,10,11,8,11,11",QUAL,WORLD_CUP,WS,2263,Qualification,ZHANG Lily (USA),ZHANG Mo (CAN),,,4 - 3,11:9 9:11 12:10 9:11 11:8 7:11 13:11,ZHANG Lily,2020
