tournament,date,player_a,player_b,country_a,country_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,player_x_raw,player_y_raw,result_raw,games_raw,winner_raw,year_raw
Women's World Cup Guangzhou 2005,2005-12-13,ZHANG Yining,GUO Yue,CHN,CHN,4,2,"9,7,11,11,11,13|11,11,8,6,8,11",QuarterFinal,WORLD_CUP,WS,1761,Main Draw,ZHANG Yining (CHN),GUO Yue (CHN),,,4 - 2,9:11 7:11 11:8 11:6 11:8 13:11,ZHANG Yining,2005
Swedish Open Gothenburg 2005,2005-11-17,MANSSON Magnus,BAGGALEY Andrew,SWE,ENG,4,1,"11,11,9,11,16|8,6,11,8,14",3,GRAND_SLAM,MS,1759,Qualification,MANSSON Magnus (SWE),BAGGALEY Andrew (ENG),,,4 - 1,11:8 11:6 9:11 11:8 16:14,MANSSON Magnus,2005
Swedish Open Gothenburg 2005,2005-11-17,DURAN Marc,ZLAMAL Jaromir,ESP,CZE,4,1,"13,11,11,13,11|11,7,8,15,3",,GRAND_SLAM,MS,1759,Qualification,DURAN Marc (ESP),ZLAMAL Jaromir (CZE),,,4 - 1,13:11 11:7 11:8 13:15 11:3,DURAN Marc,2005
Swedish Open Gothenburg 2005,2005-11-17,KISHIKAWA Seiya,ZLAMAL Jaromir,JPN,CZE,4,0,"11,11,11,11|2,3,4,5",QR2,GRAND_SLAM,MS,1759,Qualification,KISHIKAWA Seiya (JPN),ZLAMAL Jaromir (CZE),,,4 - 0,11:2 11:3 11:4 11:5,KISHIKAWA Seiya,2005
Swedish Open Gothenburg 2005,2005-11-17,KISHIKAWA Seiya,DURAN Marc,JPN,ESP,4,1,"11,11,11,7,11|8,6,8,11,7",3,GRAND_SLAM,MS,1759,Qualification,KISHIKAWA Seiya (JPN),DURAN Marc (ESP),,,4 - 1,11:8 11:6 11:8 7:11 11:7,KISHIKAWA Seiya,2005
Swedish Open Gothenburg 2005,2005-11-17,ROBERTSON Adam,FRIBY Silas,WAL,DEN,4,0,"11,11,11,11|5,4,9,9",,GRAND_SLAM,MS,1759,Qualification,ROBERTSON Adam (WAL),FRIBY Silas (DEN),,,4 - 0,11:5 11:4 11:9 11:9,ROBERTSON Adam,2005
Swedish Open Gothenburg 2005,2005-11-17,ZHANG Wilson,FRIBY Silas,CAN,DEN,4,0,"11,11,11,11|8,8,6,6",QR2,GRAND_SLAM,MS,1759,Qualification,ZHANG Wilson (CAN),FRIBY Silas (DEN),,,4 - 0,11:8 11:8 11:6 11:6,ZHANG Wilson,2005
Swedish Open Gothenburg 2005,2005-11-17,ROBERTSON Adam,ZHANG Wilson,WAL,CAN,4,3,"9,11,9,12,11,6,11|11,5,11,10,8,11,5",3,GRAND_SLAM,MS,1759,Qualification,ROBERTSON Adam (WAL),ZHANG Wilson (CAN),,,3 - 4,11:9 5:11 11:9 10:12 8:11 11:6 5:11,ROBERTSON Adam,2005
Swedish Open Gothenburg 2005,2005-11-17,KONGSGAARD Christian,BERNER Eric,DEN,NOR,4,0,"11,11,11,11|8,9,6,5",,GRAND_SLAM,MS,1759,Qualification,KONGSGAARD Christian (DEN),BERNER Eric (NOR),,,4 - 0,11:8 11:9 11:6 11:5,KONGSGAARD Christian,2005
Swedish Open Gothenburg 2005,2005-11-17,CABESTANY Cedrik,BERNER Eric,FRA,NOR,4,2,"11,11,11,10,8,11|6,7,8,12,11,9",QR2,GRAND_SLAM,MS,1759,Qualification,CABESTANY Cedrik (FRA),BERNER Eric (NOR),,,4 - 2,11:6 11:7 11:8 10:12 8:11 11:9,CABESTANY Cedrik,2005
Swedish Open Gothenburg 2005,2005-11-17,CABESTANY Cedrik,KONGSGAARD Christian,FRA,DEN,4,3,"8,11,6,11,11,11,11|11,7,11,7,13,6,9",3,GRAND_SLAM,MS,1759,Qualification,CABESTANY Cedrik (FRA),KONGSGAARD Christian (DEN),,,4 - 3,8:11 11:7 6:11 11:7 11:13 11:6 11:9,CABESTANY Cedrik,2005
Swedish Open Gothenburg 2005,2005-11-17,TAKAKIWA Kenichi,DAVIS Kyle,JPN,AUS,4,0,"11,11,11,11|9,6,6,8",,GRAND_SLAM,MS,1759,Qualification,TAKAKIWA Kenichi (JPN),DAVIS Kyle (AUS),,,4 - 0,11:9 11:6 11:6 11:8,TAKAKIWA Kenichi,2005
Swedish Open Gothenburg 2005,2005-11-17,WU Chih-Chi,DAVIS Kyle,TPE,AUS,4,1,"11,11,11,10,11|7,4,9,12,8",QR2,GRAND_SLAM,MS,1759,Qualification,WU Chih-Chi (TPE),DAVIS Kyle (AUS),,,4 - 1,11:7 11:4 11:9 10:12 11:8,WU Chih-Chi,2005
Swedish Open Gothenburg 2005,2005-11-17,TAKAKIWA Kenichi,WU Chih-Chi,JPN,TPE,4,0,"11,11,12,11|7,8,10,6",3,GRAND_SLAM,MS,1759,Qualification,TAKAKIWA Kenichi (JPN),WU Chih-Chi (TPE),,,0 - 4,7:11 8:11 10:12 6:11,TAKAKIWA Kenichi,2005
Swedish Open Gothenburg 2005,2005-11-17,HENZELL William,PLACEK Frantisek,AUS,CZE,4,0,"11,11,11,11|4,9,9,8",,GRAND_SLAM,MS,1759,Qualification,HENZELL William (AUS),PLACEK Frantisek (CZE),,,4 - 0,11:4 11:9 11:9 11:8,HENZELL William,2005
Swedish Open Gothenburg 2005,2005-11-17,HOYAMA Hugo,PLACEK Frantisek,BRA,CZE,4,1,"11,11,11,5,11|7,6,1,11,8",QR2,GRAND_SLAM,MS,1759,Qualification,HOYAMA Hugo (BRA),PLACEK Frantisek (CZE),,,4 - 1,11:7 11:6 11:1 5:11 11:8,HOYAMA Hugo,2005
Swedish Open Gothenburg 2005,2005-11-17,HOYAMA Hugo,HENZELL William,BRA,AUS,4,2,"9,11,11,8,18,11|11,6,7,11,16,8",3,GRAND_SLAM,MS,1759,Qualification,HOYAMA Hugo (BRA),HENZELL William (AUS),,,4 - 2,9:11 11:6 11:7 8:11 18:16 11:8,HOYAMA Hugo,2005
Swedish Open Gothenburg 2005,2005-11-17,ASAMOAH Cyprian,MENDEZ Rafael,SWE,MEX,4,0,"11,11,11,11|2,3,6,6",,GRAND_SLAM,MS,1759,Qualification,ASAMOAH Cyprian (SWE),MENDEZ Rafael (MEX),,,4 - 0,11:2 11:3 11:6 11:6,ASAMOAH Cyprian,2005
Swedish Open Gothenburg 2005,2005-11-17,LO Dany,MENDEZ Rafael,FRA,MEX,4,0,"11,11,11,12|9,7,0,10",QR2,GRAND_SLAM,MS,1759,Qualification,LO Dany (FRA),MENDEZ Rafael (MEX),,,4 - 0,11:9 11:7 11:0 12:10,LO Dany,2005
Swedish Open Gothenburg 2005,2005-11-17,LO Dany,ASAMOAH Cyprian,FRA,SWE,4,2,"11,11,10,12,12,11|7,5,12,14,10,7",3,GRAND_SLAM,MS,1759,Qualification,LO Dany (FRA),ASAMOAH Cyprian (SWE),,,4 - 2,11:7 11:5 10:12 12:14 12:10 11:7,LO Dany,2005
Swedish Open Gothenburg 2005,2005-11-17,FAN Guoliang,BEZARD Pierre,ESP,FRA,4,0,"11,11,11,11|2,7,5,4",,GRAND_SLAM,MS,1759,Qualification,FAN Guoliang (ESP),BEZARD Pierre (FRA),,,4 - 0,11:2 11:7 11:5 11:4,FAN Guoliang,2005
Swedish Open Gothenburg 2005,2005-11-17,AXELQVIST Johan,BEZARD Pierre,SWE,FRA,4,0,"11,11,11,11|7,7,8,9",QR2,GRAND_SLAM,MS,1759,Qualification,AXELQVIST Johan (SWE),BEZARD Pierre (FRA),,,4 - 0,11:7 11:7 11:8 11:9,AXELQVIST Johan,2005
Swedish Open Gothenburg 2005,2005-11-17,FAN Guoliang,AXELQVIST Johan,ESP,SWE,4,0,"12,11,11,11|10,7,5,1",3,GRAND_SLAM,MS,1759,Qualification,FAN Guoliang (ESP),AXELQVIST Johan (SWE),,,0 - 4,10:12 7:11 5:11 1:11,FAN Guoliang,2005
Swedish Open Gothenburg 2005,2005-11-17,VOZICKY Bohumil,HINDERSSON Mikkel,CZE,DEN,4,0,"11,11,11,11|8,0,5,3",,GRAND_SLAM,MS,1759,Qualification,VOZICKY Bohumil (CZE),HINDERSSON Mikkel (DEN),,,4 - 0,11:8 11:0 11:5 11:3,VOZICKY Bohumil,2005
Swedish Open Gothenburg 2005,2005-11-17,GORAK Daniel,HINDERSSON Mikkel,POL,DEN,4,0,"11,11,11,11|9,7,5,7",QR2,GRAND_SLAM,MS,1759,Qualification,GORAK Daniel (POL),HINDERSSON Mikkel (DEN),,,4 - 0,11:9 11:7 11:5 11:7,GORAK Daniel,2005
Swedish Open Gothenburg 2005,2005-11-17,VOZICKY Bohumil,GORAK Daniel,CZE,POL,4,0,"12,11,12,11|10,8,10,1",3,GRAND_SLAM,MS,1759,Qualification,VOZICKY Bohumil (CZE),GORAK Daniel (POL),,,0 - 4,10:12 8:11 10:12 1:11,VOZICKY Bohumil,2005
Swedish Open Gothenburg 2005,2005-11-17,MILICEVIC Srdan,OBESLO Michal,BIH,CZE,4,1,"12,11,7,11,11|10,6,11,5,4",,GRAND_SLAM,MS,1759,Qualification,MILICEVIC Srdan (BIH),OBESLO Michal (CZE),,,4 - 1,12:10 11:6 7:11 11:5 11:4,MILICEVIC Srdan,2005
Swedish Open Gothenburg 2005,2005-11-17,PHUNG Armand,OBESLO Michal,FRA,CZE,4,1,"11,7,11,11,11|2,11,5,6,5",QR2,GRAND_SLAM,MS,1759,Qualification,PHUNG Armand (FRA),OBESLO Michal (CZE),,,4 - 1,11:2 7:11 11:5 11:6 11:5,PHUNG Armand,2005
Swedish Open Gothenburg 2005,2005-11-17,PHUNG Armand,MILICEVIC Srdan,FRA,BIH,4,2,"7,11,11,14,6,11|11,7,4,12,11,9",3,GRAND_SLAM,MS,1759,Qualification,PHUNG Armand (FRA),MILICEVIC Srdan (BIH),,,4 - 2,7:11 11:7 11:4 14:12 6:11 11:9,PHUNG Armand,2005
Swedish Open Gothenburg 2005,2005-11-17,MACHADO Carlos,SEHIC Adnan,ESP,BIH,4,0,"11,11,11,11|4,2,8,9",,GRAND_SLAM,MS,1759,Qualification,MACHADO Carlos (ESP),SEHIC Adnan (BIH),,,4 - 0,11:4 11:2 11:8 11:9,MACHADO Carlos,2005
Swedish Open Gothenburg 2005,2005-11-17,KIHO Shinnosuke,SEHIC Adnan,JPN,BIH,4,1,"11,11,8,11,11|8,9,11,9,9",QR2,GRAND_SLAM,MS,1759,Qualification,KIHO Shinnosuke (JPN),SEHIC Adnan (BIH),,,4 - 1,11:8 11:9 8:11 11:9 11:9,KIHO Shinnosuke,2005
Swedish Open Gothenburg 2005,2005-11-17,MACHADO Carlos,KIHO Shinnosuke,ESP,JPN,4,1,"11,6,11,11,11|6,11,5,5,9",3,GRAND_SLAM,MS,1759,Qualification,MACHADO Carlos (ESP),KIHO Shinnosuke (JPN),,,1 - 4,6:11 11:6 5:11 5:11 9:11,MACHADO Carlos,2005
Swedish Open Gothenburg 2005,2005-11-17,LI Ping,KOSOWSKI Jakub,QAT,POL,4,0,"11,11,11,11|4,9,7,7",,GRAND_SLAM,MS,1759,Qualification,LI Ping (QAT),KOSOWSKI Jakub (POL),,,0 - 4,4:11 9:11 7:11 7:11,LI Ping,2005
Swedish Open Gothenburg 2005,2005-11-17,LI Ping,LIVENTSOV Alexey,QAT,RUS,4,1,"4,11,12,11,11|11,9,10,9,4",QR2,GRAND_SLAM,MS,1759,Qualification,LI Ping (QAT),LIVENTSOV Alexey (RUS),,,1 - 4,11:4 9:11 10:12 9:11 4:11,LI Ping,2005
Swedish Open Gothenburg 2005,2005-11-17,KOSOWSKI Jakub,LIVENTSOV Alexey,POL,RUS,4,1,"3,11,11,11,11|11,9,3,9,5",3,GRAND_SLAM,MS,1759,Qualification,KOSOWSKI Jakub (POL),LIVENTSOV Alexey (RUS),,,1 - 4,11:3 9:11 3:11 9:11 5:11,KOSOWSKI Jakub,2005
Swedish Open Gothenburg 2005,2005-11-17,SORENSEN Mads,HARA Masahiko,DEN,JPN,4,3,"10,11,14,11,13,11,11|12,8,16,6,15,1,6",,GRAND_SLAM,MS,1759,Qualification,SORENSEN Mads (DEN),HARA Masahiko (JPN),,,4 - 3,10:12 11:8 14:16 11:6 13:15 11:1 11:6,SORENSEN Mads,2005
Swedish Open Gothenburg 2005,2005-11-17,MONTEIRO Joao,HARA Masahiko,POR,JPN,4,0,"11,11,11,11|5,5,5,6",QR2,GRAND_SLAM,MS,1759,Qualification,MONTEIRO Joao (POR),HARA Masahiko (JPN),,,4 - 0,11:5 11:5 11:5 11:6,MONTEIRO Joao,2005
Swedish Open Gothenburg 2005,2005-11-17,MONTEIRO Joao,SORENSEN Mads,POR,DEN,4,1,"11,11,11,11,11|13,6,8,6,9",3,GRAND_SLAM,MS,1759,Qualification,MONTEIRO Joao (POR),SORENSEN Mads (DEN),,,4 - 1,11:13 11:6 11:8 11:6 11:9,MONTEIRO Joao,2005
Swedish Open Gothenburg 2005,2005-11-17,SVENSSON Robert,ABE Kazuhiro,SWE,JPN,4,0,"11,11,12,11|7,8,10,8",,GRAND_SLAM,MS,1759,Qualification,SVENSSON Robert (SWE),ABE Kazuhiro (JPN),,,4 - 0,11:7 11:8 12:10 11:8,SVENSSON Robert,2005
Swedish Open Gothenburg 2005,2005-11-17,MOLDOVAN Istvan,ABE Kazuhiro,NOR,JPN,4,1,"11,8,11,11,11|3,11,9,8,4",QR2,GRAND_SLAM,MS,1759,Qualification,MOLDOVAN Istvan (NOR),ABE Kazuhiro (JPN),,,4 - 1,11:3 8:11 11:9 11:8 11:4,MOLDOVAN Istvan,2005
Swedish Open Gothenburg 2005,2005-11-17,MOLDOVAN Istvan,SVENSSON Robert,NOR,SWE,4,1,"8,11,11,14,11|11,4,4,12,5",3,GRAND_SLAM,MS,1759,Qualification,MOLDOVAN Istvan (NOR),SVENSSON Robert (SWE),,,4 - 1,8:11 11:4 11:4 14:12 11:5,MOLDOVAN Istvan,2005
Swedish Open Gothenburg 2005,2005-11-17,JIANG Tianyi,QUENTEL Dorian,HKG,FRA,4,0,"13,11,11,11|11,2,5,3",,GRAND_SLAM,MS,1759,Qualification,JIANG Tianyi (HKG),QUENTEL Dorian (FRA),,,0 - 4,11:13 2:11 5:11 3:11,JIANG Tianyi,2005
Swedish Open Gothenburg 2005,2005-11-17,JIANG Tianyi,ZOOGLING Mikael,HKG,SWE,4,0,"14,11,11,11|12,2,9,3",QR2,GRAND_SLAM,MS,1759,Qualification,JIANG Tianyi (HKG),ZOOGLING Mikael (SWE),,,0 - 4,12:14 2:11 9:11 3:11,JIANG Tianyi,2005
Swedish Open Gothenburg 2005,2005-11-17,FETH Stefan,STAUFER Beat,GER,SUI,4,0,"11,11,11,11|6,6,2,7",,GRAND_SLAM,MS,1759,Qualification,FETH Stefan (GER),STAUFER Beat (SUI),,,4 - 0,11:6 11:6 11:2 11:7,FETH Stefan,2005
Swedish Open Gothenburg 2005,2005-11-17,NILSSON Peter,STAUFER Beat,SWE,SUI,4,3,"11,9,11,6,11,4,11|5,11,7,11,8,11,8",QR2,GRAND_SLAM,MS,1759,Qualification,NILSSON Peter (SWE),STAUFER Beat (SUI),,,4 - 3,11:5 9:11 11:7 6:11 11:8 4:11 11:8,NILSSON Peter,2005
Swedish Open Gothenburg 2005,2005-11-17,FETH Stefan,NILSSON Peter,GER,SWE,4,2,"11,12,12,6,9,11|7,10,10,11,11,7",3,GRAND_SLAM,MS,1759,Qualification,FETH Stefan (GER),NILSSON Peter (SWE),,,2 - 4,7:11 10:12 10:12 11:6 11:9 7:11,FETH Stefan,2005
Swedish Open Gothenburg 2005,2005-11-17,DEMEK Tomas,CARNEROS Alfredo,CZE,ESP,4,2,"6,11,11,11,12,14|11,7,6,6,14,12",,GRAND_SLAM,MS,1759,Qualification,DEMEK Tomas (CZE),CARNEROS Alfredo (ESP),,,2 - 4,11:6 7:11 6:11 6:11 14:12 12:14,DEMEK Tomas,2005
Swedish Open Gothenburg 2005,2005-11-17,BERTIN Christophe,DEMEK Tomas,FRA,CZE,4,0,"12,11,11,11|10,5,6,8",QR2,GRAND_SLAM,MS,1759,Qualification,BERTIN Christophe (FRA),DEMEK Tomas (CZE),,,4 - 0,12:10 11:5 11:6 11:8,BERTIN Christophe,2005
Swedish Open Gothenburg 2005,2005-11-17,CARNEROS Alfredo,BERTIN Christophe,ESP,FRA,4,0,"11,12,11,11|5,10,9,8",3,GRAND_SLAM,MS,1759,Qualification,CARNEROS Alfredo (ESP),BERTIN Christophe (FRA),,,0 - 4,5:11 10:12 9:11 8:11,CARNEROS Alfredo,2005
Swedish Open Gothenburg 2005,2005-11-17,STENBERG Mattias,MONZO Oriol,SWE,ESP,4,0,"11,11,11,11|4,4,2,3",,GRAND_SLAM,MS,1759,Qualification,STENBERG Mattias (SWE),MONZO Oriol (ESP),,,4 - 0,11:4 11:4 11:2 11:3,STENBERG Mattias,2005
Swedish Open Gothenburg 2005,2005-11-17,RUBTSOV Igor,MONZO Oriol,RUS,ESP,4,0,"11,11,11,15|2,1,6,13",QR2,GRAND_SLAM,MS,1759,Qualification,RUBTSOV Igor (RUS),MONZO Oriol (ESP),,,4 - 0,11:2 11:1 11:6 15:13,RUBTSOV Igor,2005
Swedish Open Gothenburg 2005,2005-11-17,STENBERG Mattias,RUBTSOV Igor,SWE,RUS,4,3,"11,11,13,8,12,9,11|5,9,11,11,14,11,7",3,GRAND_SLAM,MS,1759,Qualification,STENBERG Mattias (SWE),RUBTSOV Igor (RUS),,,3 - 4,5:11 9:11 11:13 11:8 14:12 11:9 7:11,STENBERG Mattias,2005
Swedish Open Gothenburg 2005,2005-11-17,TANG Peng,PIACENTINI Valentino,HKG,ITA,4,3,"11,11,11,15,11,7,11|3,13,7,17,5,11,7",,GRAND_SLAM,MS,1759,Qualification,TANG Peng (HKG),PIACENTINI Valentino (ITA),,,3 - 4,3:11 13:11 7:11 17:15 5:11 11:7 7:11,TANG Peng,2005
Swedish Open Gothenburg 2005,2005-11-17,TANG Peng,SAKAMOTO Ryusuke,HKG,JPN,4,2,"11,11,11,13,6,11|13,5,9,11,11,7",QR2,GRAND_SLAM,MS,1759,Qualification,TANG Peng (HKG),SAKAMOTO Ryusuke (JPN),,,2 - 4,13:11 5:11 9:11 11:13 11:6 7:11,TANG Peng,2005
Swedish Open Gothenburg 2005,2005-11-17,SAKAMOTO Ryusuke,PIACENTINI Valentino,JPN,ITA,4,1,"11,11,7,11,11|9,8,11,5,7",3,GRAND_SLAM,MS,1759,Qualification,SAKAMOTO Ryusuke (JPN),PIACENTINI Valentino (ITA),,,4 - 1,11:9 11:8 7:11 11:5 11:7,SAKAMOTO Ryusuke,2005
Swedish Open Gothenburg 2005,2005-11-17,JAKAB Janos,ONO Tatsuya,HUN,JPN,4,0,"11,11,11,12|6,9,6,10",,GRAND_SLAM,MS,1759,Qualification,JAKAB Janos (HUN),ONO Tatsuya (JPN),,,4 - 0,11:6 11:9 11:6 12:10,JAKAB Janos,2005
Swedish Open Gothenburg 2005,2005-11-17,KIM Junghoon,JACKSON Peter,KOR,NZL,4,1,"11,11,11,9,11|8,9,7,11,9",QR2,GRAND_SLAM,MS,1759,Qualification,KIM Junghoon (KOR),JACKSON Peter (NZL),,,4 - 1,11:8 11:9 11:7 9:11 11:9,KIM Junghoon,2005
Swedish Open Gothenburg 2005,2005-11-17,KIM Junghoon,ONO Tatsuya,KOR,JPN,4,1,"11,8,11,11,11|4,11,9,3,6",3,GRAND_SLAM,MS,1759,Qualification,KIM Junghoon (KOR),ONO Tatsuya (JPN),,,4 - 1,11:4 8:11 11:9 11:3 11:6,KIM Junghoon,2005
Swedish Open Gothenburg 2005,2005-11-17,JAKAB Janos,JACKSON Peter,HUN,NZL,4,0,"11,11,11,11|9,6,6,1",QR4,GRAND_SLAM,MS,1759,Qualification,JAKAB Janos (HUN),JACKSON Peter (NZL),,,4 - 0,11:9 11:6 11:6 11:1,JAKAB Janos,2005
Swedish Open Gothenburg 2005,2005-11-17,JAKAB Janos,KIM Junghoon,HUN,KOR,4,3,"10,9,11,7,11,11,12|12,11,9,11,3,9,10",5,GRAND_SLAM,MS,1759,Qualification,JAKAB Janos (HUN),KIM Junghoon (KOR),,,3 - 4,12:10 11:9 9:11 11:7 3:11 9:11 10:12,JAKAB Janos,2005
Swedish Open Gothenburg 2005,2005-11-17,ONO Tatsuya,JACKSON Peter,JPN,NZL,4,1,"11,11,6,11,11|7,9,11,5,5",6,GRAND_SLAM,MS,1759,Qualification,ONO Tatsuya (JPN),JACKSON Peter (NZL),,,4 - 1,11:7 11:9 6:11 11:5 11:5,ONO Tatsuya,2005
Swedish Open Gothenburg 2005,2005-11-17,LEE Jungsam,BUBA Ondrej,KOR,CZE,4,0,"11,11,11,11|3,4,7,9",,GRAND_SLAM,MS,1759,Qualification,LEE Jungsam (KOR),BUBA Ondrej (CZE),,,4 - 0,11:3 11:4 11:7 11:9,LEE Jungsam,2005
Swedish Open Gothenburg 2005,2005-11-17,BOBILLIER Loic,GREEN Wally,FRA,USA,4,0,"11,11,11,11|9,6,5,7",QR2,GRAND_SLAM,MS,1759,Qualification,BOBILLIER Loic (FRA),GREEN Wally (USA),,,4 - 0,11:9 11:6 11:5 11:7,BOBILLIER Loic,2005
Swedish Open Gothenburg 2005,2005-11-17,BOBILLIER Loic,BUBA Ondrej,FRA,CZE,4,1,"11,11,9,13,11|5,9,11,11,6",3,GRAND_SLAM,MS,1759,Qualification,BOBILLIER Loic (FRA),BUBA Ondrej (CZE),,,4 - 1,11:5 11:9 9:11 13:11 11:6,BOBILLIER Loic,2005
Swedish Open Gothenburg 2005,2005-11-17,LEE Jungsam,GREEN Wally,KOR,USA,4,0,"11,11,11,11|7,4,3,9",QR4,GRAND_SLAM,MS,1759,Qualification,LEE Jungsam (KOR),GREEN Wally (USA),,,4 - 0,11:7 11:4 11:3 11:9,LEE Jungsam,2005
Swedish Open Gothenburg 2005,2005-11-17,BOBILLIER Loic,LEE Jungsam,FRA,KOR,4,2,"9,11,9,14,11,11|11,7,11,12,8,3",5,GRAND_SLAM,MS,1759,Qualification,BOBILLIER Loic (FRA),LEE Jungsam (KOR),,,4 - 2,9:11 11:7 9:11 14:12 11:8 11:3,BOBILLIER Loic,2005
Swedish Open Gothenburg 2005,2005-11-17,BUBA Ondrej,GREEN Wally,CZE,USA,4,2,"6,11,11,7,11,11|11,7,3,11,6,8",6,GRAND_SLAM,MS,1759,Qualification,BUBA Ondrej (CZE),GREEN Wally (USA),,,4 - 2,6:11 11:7 11:3 7:11 11:6 11:8,BUBA Ondrej,2005
Swedish Open Gothenburg 2005,2005-11-17,BOLL Timo,TOKIC Bojan,GER,SLO,4,0,"11,11,11,11|7,5,7,4",R64,GRAND_SLAM,MS,1759,Main Draw,BOLL Timo (GER),TOKIC Bojan (SLO),,,4 - 0,11:7 11:5 11:7 11:4,BOLL Timo,2005
Swedish Open Gothenburg 2005,2005-11-17,TOSIC Roko,LUNDQVIST Jens,CRO,SWE,4,1,"8,11,11,11,11|11,8,4,7,7",R64,GRAND_SLAM,MS,1759,Main Draw,TOSIC Roko (CRO),LUNDQVIST Jens (SWE),,,4 - 1,8:11 11:8 11:4 11:7 11:7,TOSIC Roko,2005
Swedish Open Gothenburg 2005,2005-11-17,ELOI Damien,YOON Jaeyoung,FRA,KOR,4,2,"9,8,12,12,11,14|11,11,10,10,9,12",R64,GRAND_SLAM,MS,1759,Main Draw,ELOI Damien (FRA),YOON Jaeyoung (KOR),,,4 - 2,9:11 8:11 12:10 12:10 11:9 14:12,ELOI Damien,2005
Swedish Open Gothenburg 2005,2005-11-17,LEE Jungwoo,MIZUTANI Jun,KOR,JPN,4,1,"11,11,10,11,11|8,6,12,8,9",R64,GRAND_SLAM,MS,1759,Main Draw,LEE Jungwoo (KOR),MIZUTANI Jun (JPN),,,1 - 4,8:11 6:11 12:10 8:11 9:11,LEE Jungwoo,2005
Swedish Open Gothenburg 2005,2005-11-17,JOO Saehyuk,LO Dany,KOR,FRA,4,2,"11,8,13,11,11,11|8,11,15,3,3,4",R64,GRAND_SLAM,MS,1759,Main Draw,JOO Saehyuk (KOR),LO Dany (FRA),,,4 - 2,11:8 8:11 13:15 11:3 11:3 11:4,JOO Saehyuk,2005
Swedish Open Gothenburg 2005,2005-11-17,MA Long,YOSHIDA Kaii,CHN,JPN,4,1,"11,11,11,11,11|8,8,7,13,8",R64,GRAND_SLAM,MS,1759,Main Draw,MA Long (CHN),YOSHIDA Kaii (JPN),,,1 - 4,8:11 8:11 7:11 13:11 8:11,MA Long,2005
Swedish Open Gothenburg 2005,2005-11-17,WOSIK Torben,TANG Peng,GER,HKG,4,1,"11,3,11,13,11|8,11,5,11,6",R64,GRAND_SLAM,MS,1759,Main Draw,WOSIK Torben (GER),TANG Peng (HKG),,,4 - 1,11:8 3:11 11:5 13:11 11:6,WOSIK Torben,2005
Swedish Open Gothenburg 2005,2005-11-17,SCHLAGER Werner,JIANG Weizhong,AUT,CRO,4,1,"11,8,11,11,11|9,11,8,8,6",R64,GRAND_SLAM,MS,1759,Main Draw,SCHLAGER Werner (AUT),JIANG Weizhong (CRO),,,1 - 4,9:11 11:8 8:11 8:11 6:11,SCHLAGER Werner,2005
Swedish Open Gothenburg 2005,2005-11-17,CHUANG Chih-Yuan,VOZICKY Bohumil,TPE,CZE,4,2,"11,4,9,11,11,11|9,11,11,7,8,3",R64,GRAND_SLAM,MS,1759,Main Draw,CHUANG Chih-Yuan (TPE),VOZICKY Bohumil (CZE),,,4 - 2,11:9 4:11 9:11 11:7 11:8 11:3,CHUANG Chih-Yuan,2005
Swedish Open Gothenburg 2005,2005-11-17,HIELSCHER Lars,MANSSON Magnus,GER,SWE,4,3,"11,7,11,8,11,9,12|8,11,2,11,4,11,10",R64,GRAND_SLAM,MS,1759,Main Draw,HIELSCHER Lars (GER),MANSSON Magnus (SWE),,,3 - 4,8:11 11:7 2:11 11:8 4:11 11:9 10:12,HIELSCHER Lars,2005
Swedish Open Gothenburg 2005,2005-11-17,TAN Ruiwu,WANG Jianfeng,CRO,NOR,4,0,"11,12,11,14|7,10,7,12",R64,GRAND_SLAM,MS,1759,Main Draw,TAN Ruiwu (CRO),WANG Jianfeng (NOR),,,4 - 0,11:7 12:10 11:7 14:12,TAN Ruiwu,2005
Swedish Open Gothenburg 2005,2005-11-17,KARLSSON Peter,HOYAMA Hugo,SWE,BRA,4,1,"11,11,11,9,11|7,2,9,11,6",R64,GRAND_SLAM,MS,1759,Main Draw,KARLSSON Peter (SWE),HOYAMA Hugo (BRA),,,1 - 4,7:11 2:11 9:11 11:9 6:11,KARLSSON Peter,2005
Swedish Open Gothenburg 2005,2005-11-17,HAO Shuai,CARNEROS Alfredo,CHN,ESP,4,0,"11,12,11,11|4,10,7,5",R64,GRAND_SLAM,MS,1759,Main Draw,HAO Shuai (CHN),CARNEROS Alfredo (ESP),,,4 - 0,11:4 12:10 11:7 11:5,HAO Shuai,2005
Swedish Open Gothenburg 2005,2005-11-17,LEUNG Chu Yan,HABESOHN Daniel,HKG,AUT,4,0,"11,11,11,11|7,8,7,7",R64,GRAND_SLAM,MS,1759,Main Draw,LEUNG Chu Yan (HKG),HABESOHN Daniel (AUT),,,0 - 4,7:11 8:11 7:11 7:11,LEUNG Chu Yan,2005
Swedish Open Gothenburg 2005,2005-11-17,ZHANG Chao,FEJER-KONNERTH Zoltan,CHN,GER,4,3,"13,8,11,10,11,10,11|11,11,8,12,7,12,9",R64,GRAND_SLAM,MS,1759,Main Draw,ZHANG Chao (CHN),FEJER-KONNERTH Zoltan (GER),,,3 - 4,11:13 11:8 8:11 12:10 7:11 12:10 9:11,ZHANG Chao,2005
